,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,8296,8852.0,8545.6,8387.0,8766.0,,9523.4,8118.0,10061.1,8784.4,,9465.0,12483.0,8996.1,8386.9,7807.5,9267.9,6607.3,7694.0,9690.0,,6398.4,5181.1,7929.1,9880.8,8330.4,8836.0,556.0,249.6,91.0,470.0,,1227.4,-178.0,1765.1,488.4,,1169.0,4187.0,700.1,90.9,-488.5,971.9,-1688.7,-602.0,1394.0,,-1897.6,-3114.9,-366.9,1584.8,34.4,540.0,True,True,True,,False,True,False,True,,False,False,False,True,True,False,False,False,False,,False,False,True,False,True,True
Hawaii,716,692.0,731.5,692.0,671.0,,687.9,545.0,754.4,612.0,,,,485.5,670.6,1162.0,779.6,741.3,714.0,582.0,,454.1,352.6,707.0,572.6,743.6,642.0,-24.0,15.5,-24.0,-45.0,,-28.1,-171.0,38.4,-104.0,,,,-230.5,-45.4,446.0,63.6,25.3,-2.0,-134.0,,-261.9,-363.4,-9.0,-143.4,27.6,-74.0,True,False,False,,False,False,False,False,,,,False,False,False,False,False,True,False,,False,False,True,False,False,False
Idaho,3406,3049.0,3121.0,2650.0,2427.0,,2431.7,1523.0,3571.2,3598.2,,3195.0,2300.0,3080.4,3341.8,2113.2,2420.2,2349.9,2939.6,3494.0,,1459.4,1357.4,2719.5,2409.6,3012.5,3063.0,-357.0,-285.0,-756.0,-979.0,,-974.3,-1883.0,165.2,192.2,,-211.0,-1106.0,-325.6,-64.2,-1292.8,-985.8,-1056.1,-466.4,88.0,,-1946.6,-2048.6,-686.5,-996.4,-393.5,-343.0,True,False,False,,False,False,True,True,,True,False,True,True,False,False,False,False,True,,False,False,False,False,False,True
Illinois,14009,13732.0,13579.1,13579.0,14213.0,,12392.3,4415.0,14400.5,14267.9,,14367.0,14180.0,14999.3,12799.4,12636.9,11638.7,12174.3,13947.7,15017.0,,10586.0,18982.1,14153.8,11422.0,14286.4,14106.0,-277.0,-429.9,-430.0,204.0,,-1616.7,-9594.0,391.5,258.9,,358.0,171.0,990.3,-1209.6,-1372.1,-2370.3,-1834.7,-61.3,1008.0,,-3423.0,4973.1,144.8,-2587.0,277.4,97.0,False,False,True,,False,False,False,True,,False,True,False,False,False,False,False,True,False,,False,False,True,False,False,True
Indiana,7510,5790.0,5837.8,5838.0,5935.0,,5589.8,4799.0,6577.0,5728.8,,6227.0,4088.0,5939.5,5123.4,7237.9,6545.5,6348.3,6209.1,6247.0,,4207.4,9096.4,5432.6,5679.0,7161.3,5964.0,-1720.0,-1672.2,-1672.0,-1575.0,,-1920.2,-2711.0,-933.0,-1781.2,,-1283.0,-3422.0,-1570.5,-2386.6,-272.1,-964.5,-1161.7,-1300.9,-1263.0,,-3302.6,1586.4,-2077.4,-1831.0,-348.7,-1546.0,True,True,True,,False,False,True,False,,True,False,True,False,True,True,True,True,True,,False,True,False,False,True,True
Iowa,6393,6104.0,6175.3,6024.0,5268.0,,5469.0,5097.0,5850.0,6466.0,,7173.0,6830.0,6155.6,6692.8,3557.1,6703.8,5586.6,6134.6,7148.0,,4259.9,3030.4,6031.4,5546.5,6264.3,5901.0,-289.0,-217.7,-369.0,-1125.0,,-924.0,-1296.0,-543.0,73.0,,780.0,437.0,-237.4,299.8,-2835.9,310.8,-806.4,-258.4,755.0,,-2133.1,-3362.6,-361.6,-846.5,-128.7,-492.0,True,False,False,,False,False,False,True,,False,False,True,False,False,False,False,True,False,,False,False,False,False,True,False
Kansas,4072,4167.0,4060.6,3699.0,2614.0,,3562.0,3699.0,3177.7,4276.8,,4259.0,4451.0,3578.0,5197.4,3389.1,4194.7,2807.0,3848.7,4715.0,,1743.5,4970.8,4181.3,3958.2,3438.4,4341.0,95.0,-11.4,-373.0,-1458.0,,-510.0,-373.0,-894.3,204.8,,187.0,379.0,-494.0,1125.4,-682.9,122.7,-1265.0,-223.3,643.0,,-2328.5,898.8,109.3,-113.8,-633.6,269.0,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Kentucky,5965,4930.0,4909.9,4851.0,5927.0,,4604.4,4389.0,9111.5,4963.4,,5511.0,6123.0,5359.6,5023.4,4308.1,4793.6,4124.5,4850.7,5819.0,,3474.5,5664.8,4693.4,4652.2,5324.1,5272.0,-1035.0,-1055.1,-1114.0,-38.0,,-1360.6,-1576.0,3146.5,-1001.6,,-454.0,158.0,-605.4,-941.6,-1656.9,-1171.4,-1840.5,-1114.3,-146.0,,-2490.5,-300.2,-1271.6,-1312.8,-640.9,-693.0,False,False,True,,False,False,False,True,,True,True,True,True,False,False,False,False,True,,False,True,False,False,True,True
Louisiana,3473,3645.0,3656.3,3526.0,3293.0,,3452.2,2622.0,7474.2,3742.0,,3099.0,5419.0,3336.1,3526.1,2774.2,3336.4,3622.7,3726.4,3283.0,,2300.5,0.0,3165.7,5010.5,3112.0,2923.0,172.0,183.3,53.0,-180.0,,-20.8,-851.0,4001.2,269.0,,-374.0,1946.0,-136.9,53.1,-698.8,-136.6,149.7,253.4,-190.0,,-1172.5,-3473.0,-307.3,1537.5,-361.0,-550.0,False,True,False,,True,False,False,False,,False,False,True,True,False,True,True,False,False,,False,False,False,False,False,False
Maine,226,224.0,225.6,216.0,254.0,,214.3,101.0,235.5,257.4,,206.0,188.0,238.6,241.5,370.5,226.2,175.5,209.7,229.0,,172.1,106.5,229.6,197.2,201.0,239.0,-2.0,-0.4,-10.0,28.0,,-11.7,-125.0,9.5,31.4,,-20.0,-38.0,12.6,15.5,144.5,0.2,-50.5,-16.3,3.0,,-53.9,-119.5,3.6,-28.8,-25.0,13.0,True,False,False,,False,False,False,False,,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,False
Maryland,3847,3228.0,3251.6,3228.0,2766.0,,3479.6,383.0,4091.6,3182.4,,3332.0,3890.0,3399.1,2743.5,4523.8,4061.4,3030.0,3315.3,3434.0,,2251.0,4699.7,2884.9,4172.4,3068.9,3181.0,-619.0,-595.4,-619.0,-1081.0,,-367.4,-3464.0,244.6,-664.6,,-515.0,43.0,-447.9,-1103.5,676.8,214.4,-817.0,-531.7,-413.0,,-1596.0,852.7,-962.1,325.4,-778.1,-666.0,True,False,False,,True,False,True,False,,True,True,True,False,False,True,False,True,True,,False,False,False,True,False,False
Massachusetts,4253,2869.0,2901.2,2901.0,3141.0,,2703.7,161.0,3644.0,2604.3,,1626.0,2490.0,3291.8,2379.6,3245.1,2585.5,3557.3,3645.6,3255.0,,3598.2,2211.3,2957.2,2205.6,3660.5,3320.0,-1384.0,-1351.8,-1352.0,-1112.0,,-1549.3,-4092.0,-609.0,-1648.7,,-2627.0,-1763.0,-961.2,-1873.4,-1007.9,-1667.5,-695.7,-607.4,-998.0,,-654.8,-2041.7,-1295.8,-2047.4,-592.5,-933.0,True,True,True,,False,False,True,False,,False,False,True,False,True,False,True,True,True,,True,False,True,False,True,True
Michigan,6898,6286.0,6394.0,5761.0,6597.0,,5760.5,1010.0,5073.1,6398.7,,6039.0,7408.0,6863.9,6460.6,9499.4,5877.4,3570.3,5378.2,6594.0,,1171.4,8741.4,6553.5,4429.0,4817.4,6032.0,-612.0,-504.0,-1137.0,-301.0,,-1137.5,-5888.0,-1824.9,-499.3,,-859.0,510.0,-34.1,-437.4,2601.4,-1020.6,-3327.7,-1519.8,-304.0,,-5726.6,1843.4,-344.5,-2469.0,-2080.6,-866.0,True,False,True,,False,False,False,True,,False,True,True,True,False,False,False,False,True,,False,False,True,False,False,False
Minnesota,7128,6938.0,6844.4,6802.0,7722.0,,5247.9,1523.0,6339.4,7120.3,,7388.0,8176.0,5698.4,5676.8,4685.9,5138.0,7383.1,7328.6,8178.0,,6511.1,6803.2,6802.3,5550.5,9323.3,7450.0,-190.0,-283.6,-326.0,594.0,,-1880.1,-5605.0,-788.6,-7.7,,260.0,1048.0,-1429.6,-1451.2,-2442.1,-1990.0,255.1,200.6,1050.0,,-616.9,-324.8,-325.7,-1577.5,2195.3,322.0,False,False,False,,False,False,False,True,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Mississippi,3490,3590.0,3566.9,3078.0,2712.0,,3077.7,2127.0,3147.0,3069.0,,3994.0,3180.0,3524.3,3553.1,1967.6,2421.4,2878.9,3238.7,3997.0,,1868.2,40.0,3405.9,3963.7,3294.6,3561.0,100.0,76.9,-412.0,-778.0,,-412.3,-1363.0,-343.0,-421.0,,504.0,-310.0,34.3,63.1,-1522.4,-1068.6,-611.1,-251.3,507.0,,-1621.8,-3450.0,-84.1,473.7,-195.4,71.0,True,False,False,,False,False,False,False,,False,False,True,True,False,False,False,False,False,,False,False,True,False,False,True
Missouri,9124,10642.0,10617.5,9921.0,9296.0,,10589.2,8294.0,12037.7,10159.4,,11473.0,9146.0,11332.1,9920.8,7254.7,9450.5,10661.2,10781.7,11969.0,,7499.4,28851.2,9494.1,10383.2,11845.0,10165.0,1518.0,1493.5,797.0,172.0,,1465.2,-830.0,2913.7,1035.4,,2349.0,22.0,2208.1,796.8,-1869.3,326.5,1537.2,1657.7,2845.0,,-1624.6,19727.2,370.1,1259.2,2721.0,1041.0,True,True,True,,True,True,False,True,,False,True,False,True,False,True,False,False,False,,False,False,True,True,False,True
Montana,2449,1744.0,1734.5,1560.0,815.0,,1425.9,579.0,1709.3,2274.6,,1782.0,1898.0,1607.6,2140.8,797.7,1467.7,1748.9,1862.2,2164.0,,1450.7,2196.3,1524.9,1778.6,2423.7,1954.0,-705.0,-714.5,-889.0,-1634.0,,-1023.1,-1870.0,-739.7,-174.4,,-667.0,-551.0,-841.4,-308.2,-1651.3,-981.3,-700.1,-586.8,-285.0,,-998.3,-252.7,-924.1,-670.4,-25.3,-495.0,False,False,False,,False,False,False,True,,True,True,False,True,False,False,True,True,True,,False,True,False,True,True,True
Nebraska,3807,2799.0,2814.9,2799.0,3828.0,,2837.1,760.0,2886.8,2710.5,,2922.0,2399.0,3237.1,2993.5,2138.6,2792.1,2906.9,3385.0,3399.0,,2039.1,1965.7,2597.4,2161.9,3321.4,2781.0,-1008.0,-992.1,-1008.0,21.0,,-969.9,-3047.0,-920.2,-1096.5,,-885.0,-1408.0,-569.9,-813.5,-1668.4,-1014.9,-900.1,-422.0,-408.0,,-1767.9,-1841.3,-1209.6,-1645.1,-485.6,-1026.0,True,False,True,,True,False,True,False,,True,False,True,True,False,False,True,True,True,,False,False,False,False,True,False
Nevada,3353,2936.0,2883.3,2594.0,3607.0,,2177.3,1449.0,2474.1,3350.3,,3213.0,1916.0,2901.1,2593.7,1769.5,1543.2,2916.3,3068.4,3434.0,,1873.9,6188.4,2722.0,3030.4,3362.5,3036.0,-417.0,-469.7,-759.0,254.0,,-1175.7,-1904.0,-878.9,-2.7,,-140.0,-1437.0,-451.9,-759.3,-1583.5,-1809.8,-436.7,-284.6,81.0,,-1479.1,2835.4,-631.0,-322.6,9.5,-317.0,False,False,True,,False,False,False,True,,True,False,False,False,False,False,False,True,True,,False,False,False,True,True,True
New Hampshire,476,201.0,208.3,244.0,264.0,,248.7,1.0,296.2,120.2,,223.0,244.0,225.9,193.1,499.5,380.7,243.8,264.8,257.0,,185.0,28.6,197.9,256.4,276.6,215.0,-275.0,-267.7,-232.0,-212.0,,-227.3,-475.0,-179.8,-355.8,,-253.0,-232.0,-250.1,-282.9,23.5,-95.3,-232.2,-211.2,-219.0,,-291.0,-447.4,-278.1,-219.6,-199.4,-261.0,True,True,True,,True,False,True,False,,True,True,True,False,True,True,True,True,True,,False,False,False,True,True,True
New Jersey,4726,3541.0,3521.8,3522.0,4795.0,,2961.7,25.0,3995.6,4304.3,,2347.0,3368.0,3130.8,2821.5,6775.8,3030.6,3945.9,4555.1,3569.0,,3350.3,812.1,3612.4,3082.0,4657.2,3820.0,-1185.0,-1204.2,-1204.0,69.0,,-1764.3,-4701.0,-730.4,-421.7,,-2379.0,-1358.0,-1595.2,-1904.5,2049.8,-1695.4,-780.1,-170.9,-1157.0,,-1375.7,-3913.9,-1113.6,-1644.0,-68.8,-906.0,False,False,True,,False,False,True,True,,False,False,False,False,False,False,True,True,True,,False,False,True,False,True,True
New Mexico,1604,1180.0,1176.5,1178.0,864.0,,910.8,405.0,979.6,1611.4,,1221.0,2007.0,1086.7,1234.8,1143.9,1163.8,1266.8,1312.8,1441.0,,,3915.8,1107.8,1266.2,1653.9,1299.0,-424.0,-427.5,-426.0,-740.0,,-693.2,-1199.0,-624.4,7.4,,-383.0,403.0,-517.3,-369.2,-460.1,-440.2,-337.2,-291.2,-163.0,,,2311.8,-496.2,-337.8,49.9,-305.0,False,False,False,,False,False,False,True,,True,True,False,True,False,False,True,True,True,,,False,False,True,True,True
New York,8600,5722.0,5783.1,5406.0,5919.0,,4417.5,15.0,6477.6,5897.6,,3507.0,3043.0,6106.9,4808.1,11074.2,4931.1,5406.2,6104.1,5625.0,,4741.9,3989.2,5087.0,5161.0,6679.2,6037.0,-2878.0,-2816.9,-3194.0,-2681.0,,-4182.5,-8585.0,-2122.4,-2702.4,,-5093.0,-5557.0,-2493.1,-3791.9,2474.2,-3668.9,-3193.8,-2495.9,-2975.0,,-3858.1,-4610.8,-3513.0,-3439.0,-1920.8,-2563.0,True,False,True,,False,False,True,True,,False,False,True,False,True,False,False,True,False,,False,False,False,False,True,True
North Carolina,9112,13813.0,13717.9,10919.0,8416.0,,9571.5,11800.0,12341.9,9041.7,,14207.0,9604.0,9358.5,14770.2,8435.9,7680.4,10275.9,10919.0,15352.0,,7101.1,21243.0,12694.5,12605.0,20504.8,14300.0,4701.0,4605.9,1807.0,-696.0,,459.5,2688.0,3229.9,-70.3,,5095.0,492.0,246.5,5658.2,-676.1,-1431.6,1163.9,1807.0,6240.0,,-2010.9,12131.0,3582.5,3493.0,11392.8,5188.0,True,True,True,,True,True,True,True,,False,True,True,False,True,True,True,True,False,,True,False,True,True,False,False
North Dakota,2754,2773.0,2817.3,2664.0,2515.0,,2507.3,6.0,2777.2,3245.6,,3378.0,2575.0,3121.1,3023.1,986.9,3361.2,2720.3,2664.1,3386.0,,2264.0,2427.2,2668.2,3200.0,2974.9,2490.0,19.0,63.3,-90.0,-239.0,,-246.7,-2748.0,23.2,491.6,,624.0,-179.0,367.1,269.1,-1767.1,607.2,-33.7,-89.9,632.0,,-490.0,-326.8,-85.8,446.0,220.9,-264.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Ohio,7957,6462.0,6570.4,6144.0,5473.0,,6143.9,6041.0,7064.0,6451.6,,6677.0,5468.0,6210.8,5992.9,9360.8,6428.3,5940.0,6650.3,6635.0,,4165.6,4482.7,5613.5,6411.0,6585.3,6245.0,-1495.0,-1386.6,-1813.0,-2484.0,,-1813.1,-1916.0,-893.0,-1505.4,,-1280.0,-2489.0,-1746.2,-1964.1,1403.8,-1528.7,-2017.0,-1306.7,-1322.0,,-3791.4,-3474.3,-2343.5,-1546.0,-1371.7,-1712.0,True,False,False,,False,False,True,False,,True,False,False,False,True,False,False,True,True,,False,False,False,False,True,False
Oklahoma,7238,7706.0,7760.3,7133.0,7593.0,,7629.9,5481.0,7884.8,8252.1,,7941.0,6620.0,8369.1,9729.3,5362.9,7779.0,6073.1,7133.2,9174.0,,5447.7,8435.0,6669.9,6814.4,6705.4,7634.0,468.0,522.3,-105.0,355.0,,391.9,-1757.0,646.8,1014.1,,703.0,-618.0,1131.1,2491.3,-1875.1,541.0,-1164.9,-104.8,1936.0,,-1790.3,1197.0,-568.1,-423.6,-532.6,396.0,False,True,True,,True,False,False,False,,False,False,False,False,False,False,False,True,False,,False,False,False,True,False,True
Oregon,1930,1982.0,1932.4,1932.0,2163.0,,1642.7,1121.0,1635.1,2243.8,,2027.0,2056.0,1783.3,2160.2,2851.6,1193.5,1814.2,2153.8,2186.0,,1469.4,4029.8,1783.3,1707.9,2360.5,2125.0,52.0,2.4,2.0,233.0,,-287.3,-809.0,-294.9,313.8,,97.0,126.0,-146.7,230.2,921.6,-736.5,-115.8,223.8,256.0,,-460.6,2099.8,-146.7,-222.1,430.5,195.0,True,True,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Pennsylvania,6305,5697.0,5772.4,5497.0,5047.0,,5492.5,1368.0,6207.1,5722.2,,5367.0,4828.0,5885.8,5496.9,7957.6,4968.5,5301.8,6153.2,6147.0,,3885.5,14134.0,5673.6,5462.2,6166.8,5473.0,-608.0,-532.6,-808.0,-1258.0,,-812.5,-4937.0,-97.9,-582.8,,-938.0,-1477.0,-419.2,-808.1,1652.6,-1336.5,-1003.2,-151.8,-158.0,,-2419.5,7829.0,-631.4,-842.8,-138.2,-832.0,True,False,False,,False,False,True,True,,False,False,True,False,False,False,False,True,True,,False,False,False,False,True,False
Rhode Island,895,561.0,562.7,554.0,680.0,,706.5,0.0,559.2,750.8,,579.0,2118.0,698.8,605.6,732.8,852.3,263.9,435.7,750.0,,173.9,928.5,554.1,643.3,457.4,417.0,-334.0,-332.3,-341.0,-215.0,,-188.5,-895.0,-335.8,-144.2,,-316.0,1223.0,-196.2,-289.4,-162.2,-42.7,-631.1,-459.3,-145.0,,-721.0,33.5,-340.9,-251.7,-437.6,-478.0,True,False,True,,True,False,False,True,,True,False,True,True,True,True,False,False,True,,False,True,False,True,False,False
South Carolina,5618,8033.0,8180.4,6795.0,5786.0,,7087.5,3416.0,7196.5,5129.7,,8435.0,6492.0,6553.3,8310.6,2702.8,7838.7,5413.5,6584.6,8577.0,,,9147.7,7213.9,7542.8,6755.8,7442.0,2415.0,2562.4,1177.0,168.0,,1469.5,-2202.0,1578.5,-488.3,,2817.0,874.0,935.3,2692.6,-2915.2,2220.7,-204.5,966.6,2959.0,,,3529.7,1595.9,1924.8,1137.8,1824.0,False,True,True,,True,True,True,True,,False,True,True,False,False,True,True,True,False,,,False,True,True,True,True
