,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,40621,55160.0,54462.8,48777.0,57963.0,,45162.7,49566.0,52059.9,,51600.0,42576.5,50757.6,34522.0,48114.6,36297.4,51561.2,,27168.9,42179.8,57004.7,36574.5,37503.0,14539.0,13841.8,8156.0,17342.0,,4541.7,8945.0,11438.9,,10979.0,1955.5,10136.6,-6099.0,7493.6,-4323.6,10940.2,,-13452.1,1558.8,16383.7,-4046.5,-3118.0,True,True,False,,True,True,True,,True,True,True,True,True,True,True,,True,True,False,True,True
Hawaii,3228,6216.0,6231.4,5251.0,5102.0,,5739.9,4785.0,6741.7,,,6423.6,15129.6,7211.9,7648.4,4484.6,5177.5,,2964.8,12387.6,6787.6,4295.0,5326.0,2988.0,3003.4,2023.0,1874.0,,2511.9,1557.0,3513.7,,,3195.6,11901.6,3983.9,4420.4,1256.6,1949.5,,-263.2,9159.6,3559.6,1067.0,2098.0,False,True,True,,True,True,False,,,False,False,False,False,True,True,,True,False,False,True,True
Idaho,10228,7224.0,7109.3,6951.0,3181.0,,6425.0,6940.0,10547.1,,7303.0,5498.0,10459.6,8626.7,6773.3,4807.3,6533.5,,513.2,5481.6,7254.8,1538.7,5343.0,-3004.0,-3118.7,-3277.0,-7047.0,,-3803.0,-3288.0,319.1,,-2925.0,-4730.0,231.6,-1601.3,-3454.7,-5420.7,-3694.5,,-9714.8,-4746.4,-2973.2,-8689.3,-4885.0,False,False,False,,False,False,True,,True,False,True,True,False,False,False,,False,False,True,False,False
Illinois,52680,68144.0,68740.7,63089.0,124757.0,,54546.8,13351.0,66754.3,,46341.0,56418.5,81930.2,52204.8,90774.9,39050.5,58614.4,,41708.1,76858.9,53064.1,89729.8,61666.0,15464.0,16060.7,10409.0,72077.0,,1866.8,-39329.0,14074.3,,-6339.0,3738.5,29250.2,-475.2,38094.9,-13629.5,5934.4,,-10971.9,24178.9,384.1,37049.8,8986.0,False,True,False,,True,False,True,,True,True,False,True,False,True,True,,True,False,True,False,True
Indiana,25098,26108.0,25765.6,25385.0,30368.0,,26241.2,19718.0,27202.8,,21828.0,26275.5,30103.8,28226.8,29990.4,19177.0,25176.6,,17873.4,21605.5,23165.8,24314.7,24388.0,1010.0,667.6,287.0,5270.0,,1143.2,-5380.0,2104.8,,-3270.0,1177.5,5005.8,3128.8,4892.4,-5921.0,78.6,,-7224.6,-3492.5,-1932.2,-783.3,-710.0,True,True,False,,False,False,False,,False,False,False,False,False,False,True,,False,False,False,True,True
Iowa,22611,24312.0,22235.6,22552.0,23668.0,,26497.7,26186.0,25172.3,,26008.0,33483.1,32070.0,13493.3,54437.3,13610.0,20417.7,,12042.4,19543.4,18348.0,13754.0,16287.0,1701.0,-375.4,-59.0,1057.0,,3886.7,3575.0,2561.3,,3397.0,10872.1,9459.0,-9117.7,31826.3,-9001.0,-2193.3,,-10568.6,-3067.6,-4263.0,-8857.0,-6324.0,True,True,True,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False
Kansas,16945,16244.0,16129.4,13568.0,21086.0,,15765.1,12365.0,15779.9,,15934.0,16745.1,27282.0,13885.2,17055.0,8278.5,13172.6,,6998.3,10059.1,15018.1,9774.0,12199.0,-701.0,-815.6,-3377.0,4141.0,,-1179.9,-4580.0,-1165.1,,-1011.0,-199.9,10337.0,-3059.8,110.0,-8666.5,-3772.4,,-9946.7,-6885.9,-1926.9,-7171.0,-4746.0,False,False,False,,False,False,False,,False,True,False,False,True,False,False,,False,False,False,False,False
Kentucky,19537,19548.0,19528.2,19282.0,24122.0,,19614.9,17105.0,34209.8,,21758.0,20726.8,26401.9,20733.7,19516.0,12080.8,17681.5,,10138.5,15873.3,14867.0,18302.9,17991.0,11.0,-8.8,-255.0,4585.0,,77.9,-2432.0,14672.8,,2221.0,1189.8,6864.9,1196.7,-21.0,-7456.2,-1855.5,,-9398.5,-3663.7,-4670.0,-1234.1,-1546.0,True,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False
Louisiana,16467,20920.0,18556.0,16520.0,32543.0,,15394.5,14026.0,46806.9,,19627.0,17369.5,12698.6,9804.5,7385.6,16410.3,19031.0,,11038.6,15735.6,22987.0,17074.3,12180.0,4453.0,2089.0,53.0,16076.0,,-1072.5,-2441.0,30339.9,,3160.0,902.5,-3768.4,-6662.5,-9081.4,-56.7,2564.0,,-5428.4,-731.4,6520.0,607.3,-4287.0,True,True,False,,True,True,False,,True,True,True,False,False,True,True,,False,True,False,True,True
Maine,852,564.0,582.4,647.0,526.0,,634.1,305.0,930.5,,570.0,775.4,1188.9,1281.8,770.2,539.6,714.0,,663.9,525.9,724.2,966.1,618.0,-288.0,-269.6,-205.0,-326.0,,-217.9,-547.0,78.5,,-282.0,-76.6,336.9,429.8,-81.8,-312.4,-138.0,,-188.1,-326.1,-127.8,114.1,-234.0,True,True,False,,True,False,True,,True,True,False,False,True,False,True,,True,False,True,True,True
Maryland,15212,17252.0,17133.0,15666.0,25450.0,,16999.2,1109.0,16591.0,,15000.0,16469.4,15241.8,14328.3,10365.9,12048.2,16443.0,,8182.0,16772.2,19394.6,23081.8,17767.0,2040.0,1921.0,454.0,10238.0,,1787.2,-14103.0,1379.0,,-212.0,1257.4,29.8,-883.7,-4846.1,-3163.8,1231.0,,-7030.0,1560.2,4182.6,7869.8,2555.0,True,True,False,,True,False,True,,True,True,True,True,False,False,True,,False,True,False,False,False
Massachusetts,12107,0.0,0.0,6360.0,11195.0,,50760.5,844.0,11252.9,,6917.0,9756.5,1271.5,7741.2,12419.9,5160.8,9729.1,,5799.4,2306.2,,20758.2,0.0,-12107.0,-12107.0,-5747.0,-912.0,,38653.5,-11263.0,-854.1,,-5190.0,-2350.5,-10835.5,-4365.8,312.9,-6946.2,-2377.9,,-6307.6,-9800.8,,8651.2,-12107.0,False,True,True,,False,True,True,,True,True,True,True,True,True,True,,True,True,,True,False
Michigan,24080,24220.0,23562.7,22330.0,44573.0,,17349.0,9693.0,20623.9,,21520.0,21999.4,23574.6,30060.7,23273.0,10903.5,15656.7,,2579.7,34361.9,17563.7,13685.2,17124.0,140.0,-517.3,-1750.0,20493.0,,-6731.0,-14387.0,-3456.1,,-2560.0,-2080.6,-505.4,5980.7,-807.0,-13176.5,-8423.3,,-21500.3,10281.9,-6516.3,-10394.8,-6956.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False
Minnesota,22907,22492.0,23151.1,21700.0,28443.0,,23228.4,1889.0,22289.5,,26167.0,23942.4,24342.1,17744.0,22804.4,15996.9,20354.2,,16647.8,19512.0,18799.3,23154.4,24878.0,-415.0,244.1,-1207.0,5536.0,,321.4,-21018.0,-617.5,,3260.0,1035.4,1435.1,-5163.0,-102.6,-6910.1,-2552.8,,-6259.2,-3395.0,-4107.7,247.4,1971.0,True,False,False,,True,False,False,,False,False,False,False,True,False,False,,False,False,False,True,False
Mississippi,13689,17796.0,17070.0,13696.0,17075.0,,14396.1,11024.0,17157.0,,19189.0,14883.5,14250.1,11544.1,11977.7,11380.8,14976.2,,7750.9,14197.2,17998.7,11374.3,12456.0,4107.0,3381.0,7.0,3386.0,,707.1,-2665.0,3468.0,,5500.0,1194.5,561.1,-2144.9,-1711.3,-2308.2,1287.2,,-5938.1,508.2,4309.7,-2314.7,-1233.0,True,True,True,,True,True,True,,False,True,True,True,True,True,True,,False,True,False,True,True
Missouri,41574,40012.0,38413.7,34066.0,51718.0,,36456.2,29707.0,35975.0,,32027.0,42405.1,43664.4,28692.8,29257.4,32319.4,37111.9,,21164.1,29895.2,31804.1,53633.3,36570.0,-1562.0,-3160.3,-7508.0,10144.0,,-5117.8,-11867.0,-5599.0,,-9547.0,831.1,2090.4,-12881.2,-12316.6,-9254.6,-4462.1,,-20409.9,-11678.8,-9769.9,12059.3,-5004.0,False,False,False,,False,False,False,,False,True,False,False,False,False,False,,False,False,False,False,False
Montana,6192,3652.0,3595.4,3338.0,2989.0,,3816.8,2555.0,3355.6,,4912.0,3876.6,5957.9,3118.1,3490.0,3291.8,3391.1,,2559.4,1745.3,3735.1,4129.2,4387.0,-2540.0,-2596.6,-2854.0,-3203.0,,-2375.2,-3637.0,-2836.4,,-1280.0,-2315.4,-234.1,-3073.9,-2702.0,-2900.2,-2800.9,,-3632.6,-4446.7,-2456.9,-2062.8,-1805.0,False,False,False,,True,False,False,,True,True,True,False,False,False,False,,False,False,True,True,True
Nebraska,11598,8208.0,8550.6,6477.0,5940.0,,8225.5,916.0,7442.8,,10277.0,9485.5,11413.3,6326.1,11051.5,3830.0,6131.6,,2316.5,7095.3,6970.9,4947.6,8367.0,-3390.0,-3047.4,-5121.0,-5658.0,,-3372.5,-10682.0,-4155.2,,-1321.0,-2112.5,-184.7,-5271.9,-546.5,-7768.0,-5466.4,,-9281.5,-4502.7,-4627.1,-6650.4,-3231.0,True,False,False,,True,False,False,,True,True,True,False,True,False,False,,False,False,False,False,True
Nevada,10606,10564.0,10763.0,9449.0,7436.0,,10562.2,9919.0,11489.8,,9786.0,9403.6,9900.8,6487.7,9815.1,7839.4,9792.9,,5089.2,8237.9,12066.1,8071.5,7691.0,-42.0,157.0,-1157.0,-3170.0,,-43.8,-687.0,883.8,,-820.0,-1202.4,-705.2,-4118.3,-790.9,-2766.6,-813.1,,-5516.8,-2368.1,1460.1,-2534.5,-2915.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False
New Hampshire,1173,712.0,684.9,695.0,1441.0,,661.1,7.0,751.3,,486.0,613.2,768.8,1356.7,116.6,548.9,844.2,,479.7,604.3,1085.5,1161.9,986.0,-461.0,-488.1,-478.0,268.0,,-511.9,-1166.0,-421.7,,-687.0,-559.8,-404.2,183.7,-1056.4,-624.1,-328.8,,-693.3,-568.7,-87.5,-11.1,-187.0,False,False,True,,False,False,True,,False,False,True,True,False,False,True,,False,False,True,True,True
New Jersey,15708,9708.0,9964.7,9898.0,14578.0,,6030.1,58.0,10629.8,,10541.0,9481.8,9029.8,14615.8,12580.9,6385.2,10325.6,,11211.6,9413.6,8496.2,8131.0,10875.0,-6000.0,-5743.3,-5810.0,-1130.0,,-9677.9,-15650.0,-5078.2,,-5167.0,-6226.2,-6678.2,-1092.2,-3127.1,-9322.8,-5382.4,,-4496.4,-6294.4,-7211.8,-7577.0,-4833.0,True,True,True,,False,False,True,,True,False,False,True,True,False,True,,True,False,False,False,True
New Mexico,4248,3480.0,3498.5,2984.0,3361.0,,3134.9,1695.0,3012.4,,3581.0,3101.3,3474.0,4671.7,1917.4,2378.5,2904.8,,1399.5,3047.6,4555.1,2713.8,3106.0,-768.0,-749.5,-1264.0,-887.0,,-1113.1,-2553.0,-1235.6,,-667.0,-1146.7,-774.0,423.7,-2330.6,-1869.5,-1343.2,,-2848.5,-1200.4,307.1,-1534.2,-1142.0,True,False,False,,False,False,False,,True,False,False,True,False,False,False,,False,False,True,False,False
New York,25295,21480.0,21270.2,21388.0,35580.0,,11697.0,87.0,23500.4,,10034.0,20338.2,22041.1,32052.9,18446.0,14140.4,22922.4,,24903.6,18412.3,22480.6,22395.9,24008.0,-3815.0,-4024.8,-3907.0,10285.0,,-13598.0,-25208.0,-1794.6,,-15261.0,-4956.8,-3253.9,6757.9,-6849.0,-11154.6,-2372.6,,-391.4,-6882.7,-2814.4,-2899.1,-1287.0,False,False,False,,False,False,True,,False,False,True,False,False,False,True,,True,False,True,True,True
North Carolina,36191,42956.0,42209.3,38251.0,46620.0,,40496.7,51146.0,37926.6,,47103.0,45463.6,52705.0,31548.4,30762.1,26006.5,39687.1,,20338.2,31313.8,43670.7,33904.5,44229.0,6765.0,6018.3,2060.0,10429.0,,4305.7,14955.0,1735.6,,10912.0,9272.6,16514.0,-4642.6,-5428.9,-10184.5,3496.1,,-15852.8,-4877.2,7479.7,-2286.5,8038.0,True,True,False,,True,False,True,,False,False,False,True,True,False,True,,False,True,False,True,False
North Dakota,9800,7400.0,7606.0,7606.0,8852.0,,9765.7,65.0,8164.5,,7587.0,8692.9,8770.4,3064.9,12339.2,7750.5,7284.9,,5879.3,7389.3,10340.7,9548.2,7556.0,-2400.0,-2194.0,-2194.0,-948.0,,-34.3,-9735.0,-1635.5,,-2213.0,-1107.1,-1029.6,-6735.1,2539.2,-2049.5,-2515.1,,-3920.7,-2410.7,540.7,-251.8,-2244.0,True,True,True,,True,False,True,,True,True,True,False,False,True,False,,False,False,True,True,True
Ohio,28181,33860.0,32671.7,32213.0,40316.0,,30992.8,22072.0,30081.0,,31866.0,36013.5,37930.9,36569.7,26085.0,20412.1,33391.2,,11954.7,26583.8,28250.6,35811.3,35117.0,5679.0,4490.7,4032.0,12135.0,,2811.8,-6109.0,1900.0,,3685.0,7832.5,9749.9,8388.7,-2096.0,-7768.9,5210.2,,-16226.3,-1597.2,69.6,7630.3,6936.0,True,True,False,,True,False,True,,True,False,False,False,True,False,True,,False,True,True,False,False
Oklahoma,27561,23336.0,23501.9,19743.0,35924.0,,21713.6,16141.0,17984.9,,22231.0,24085.3,34876.5,20036.6,17377.8,15101.8,20236.4,,11882.5,17324.9,18872.0,24962.2,23796.0,-4225.0,-4059.1,-7818.0,8363.0,,-5847.4,-11420.0,-9576.1,,-5330.0,-3475.7,7315.5,-7524.4,-10183.2,-12459.2,-7324.6,,-15678.5,-10236.1,-8689.0,-2598.8,-3765.0,True,False,False,,False,False,False,,False,True,False,False,False,False,False,,False,False,False,True,True
Oregon,6655,6252.0,6190.3,5839.0,6385.0,,5796.0,5335.0,5848.3,,5593.0,5670.6,9169.2,11115.6,5723.0,4283.0,5782.1,,3834.0,4282.2,5907.3,6581.6,5918.0,-403.0,-464.7,-816.0,-270.0,,-859.0,-1320.0,-806.7,,-1062.0,-984.4,2514.2,4460.6,-932.0,-2372.0,-872.9,,-2821.0,-2372.8,-747.7,-73.4,-737.0,False,False,True,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,True,False
Pennsylvania,22958,22816.0,21890.4,21873.0,44414.0,,22356.9,2132.0,21116.9,,16770.0,24039.0,23784.8,28318.2,18495.2,14571.1,22034.5,,9486.2,24780.1,21160.4,28129.6,27637.0,-142.0,-1067.6,-1085.0,21456.0,,-601.1,-20826.0,-1841.1,,-6188.0,1081.0,826.8,5360.2,-4462.8,-8386.9,-923.5,,-13471.8,1822.1,-1797.6,5171.6,4679.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False
Rhode Island,2963,2240.0,2274.8,1961.0,2031.0,,1395.5,1.0,5704.9,,3355.0,2174.1,1485.9,3142.0,3913.0,795.6,1652.7,,193.2,2655.7,2667.5,1911.0,1128.0,-723.0,-688.2,-1002.0,-932.0,,-1567.5,-2962.0,2741.9,,392.0,-788.9,-1477.1,179.0,950.0,-2167.4,-1310.3,,-2769.8,-307.3,-295.5,-1052.0,-1835.0,True,False,False,,False,False,False,,True,False,False,True,False,False,False,,False,True,True,False,False
South Carolina,26602,28160.0,26114.2,22716.0,41773.0,,23150.2,11043.0,21891.3,,23229.0,28622.2,32120.6,8659.9,13637.3,18154.3,26315.8,,10337.3,22460.6,29436.8,26680.6,26793.0,1558.0,-487.8,-3886.0,15171.0,,-3451.8,-15559.0,-4710.7,,-3373.0,2020.2,5518.6,-17942.1,-12964.7,-8447.7,-286.2,,-16264.7,-4141.4,2834.8,78.6,191.0,True,False,False,,False,False,False,,False,False,False,False,False,False,True,,False,False,False,True,True
South Dakota,9097,7788.0,7248.7,7409.0,12862.0,,9142.1,204.0,8279.8,,7997.0,10920.7,10750.2,1509.7,11538.6,4891.3,6462.4,,5270.1,11015.7,11095.9,5317.5,6512.0,-1309.0,-1848.3,-1688.0,3765.0,,45.1,-8893.0,-817.2,,-1100.0,1823.7,1653.2,-7587.3,2441.6,-4205.7,-2634.6,,-3826.9,1918.7,1998.9,-3779.5,-2585.0,False,False,False,,True,False,True,,True,False,False,False,False,False,False,,False,False,False,False,False
Tennessee,37233,40328.0,40692.2,36466.0,41083.0,,41278.6,23024.0,40919.4,,33819.0,38269.0,47825.9,28398.0,24777.4,33220.9,42326.7,,25257.5,26697.8,39630.1,40209.4,28624.0,3095.0,3459.2,-767.0,3850.0,,4045.6,-14209.0,3686.4,,-3414.0,1036.0,10592.9,-8835.0,-12455.6,-4012.1,5093.7,,-11975.5,-10535.2,2397.1,2976.4,-8609.0,False,True,False,,False,False,False,,False,True,False,False,False,False,False,,False,False,True,True,False
Texas,133653,116256.0,116111.7,99893.0,202180.0,,94590.4,89732.0,110313.3,,133335.0,83167.3,105967.4,77919.6,106251.8,58292.8,97095.0,,52363.7,82315.8,132576.9,76631.1,92591.0,-17397.0,-17541.3,-33760.0,68527.0,,-39062.6,-43921.0,-23339.7,,-318.0,-50485.7,-27685.6,-55733.4,-27401.2,-75360.2,-36558.0,,-81289.3,-51337.2,-1076.1,-57021.9,-41062.0,False,False,False,,False,False,False,,True,False,False,False,False,False,False,,False,False,True,False,False
Utah,21953,11464.0,10919.6,10341.0,10099.0,,12441.8,5704.0,10386.0,,9910.0,11873.9,12445.5,6212.2,17037.3,8614.0,11300.8,,5000.3,8881.3,11513.8,11133.9,11009.0,-10489.0,-11033.4,-11612.0,-11854.0,,-9511.2,-16249.0,-11567.0,,-12043.0,-10079.1,-9507.5,-15740.8,-4915.7,-13339.0,-10652.2,,-16952.7,-13071.7,-10439.2,-10819.1,-10944.0,False,False,False,,True,False,False,,False,True,True,False,True,False,False,,False,False,True,False,False
Vermont,131,168.0,164.3,170.0,315.0,,137.0,44.0,175.4,,201.0,225.2,531.7,557.0,296.0,32.8,113.6,,97.0,212.6,213.9,100.3,153.0,37.0,33.3,39.0,184.0,,6.0,-87.0,44.4,,70.0,94.2,400.7,426.0,165.0,-98.2,-17.4,,-34.0,81.6,82.9,-30.7,22.0,True,False,False,,True,False,False,,False,False,False,False,False,False,True,,True,False,False,True,True
Virginia,25076,27548.0,27133.0,26361.0,38534.0,,27102.2,6073.0,29908.2,,20131.0,27594.1,36541.6,24807.3,24993.2,21627.2,29248.7,,21560.0,23686.7,24615.9,31472.4,0.0,2472.0,2057.0,1285.0,13458.0,,2026.2,-19003.0,4832.2,,-4945.0,2518.1,11465.6,-268.7,-82.8,-3448.8,4172.7,,-3516.0,-1389.3,-460.1,6396.4,-25076.0,True,True,False,,True,False,False,,False,False,False,True,True,False,False,,False,True,True,False,False
Washington,13311,11828.0,11689.1,11064.0,14318.0,,9841.6,20594.0,11377.0,,8892.0,11163.1,12298.0,14418.7,9031.8,8713.5,11020.9,,8196.0,9480.5,12658.8,9924.3,10585.0,-1483.0,-1621.9,-2247.0,1007.0,,-3469.4,7283.0,-1934.0,,-4419.0,-2147.9,-1013.0,1107.7,-4279.2,-4597.5,-2290.1,,-5115.0,-3830.5,-652.2,-3386.7,-2726.0,False,False,True,,False,False,False,,False,False,True,True,False,False,False,,False,False,True,False,False
