,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01043,591,266.0,3025.3,,,,802.0,102.7,286.4,313.3,860.6,,,-325.0,2434.3,,,,211.0,-488.3,-304.6,-277.7,269.6,,,False,,,,True,False,True,True,True,,
01045,605,308.0,,,,,537.0,155.6,170.9,188.8,459.4,,,-297.0,,,,,-68.0,-449.4,-434.1,-416.2,-145.6,,,,,,,True,False,False,False,True,,
01047,333,315.0,,,,,572.0,88.8,3.2,38.7,191.1,,,-18.0,,,,,239.0,-244.2,-329.8,-294.3,-141.9,,,,,,,False,False,False,False,False,,
01049,646,665.0,1630.1,,,,927.0,306.0,205.3,165.2,362.5,,,19.0,984.1,,,,281.0,-340.0,-440.7,-480.8,-283.5,,,False,,,,False,False,False,False,False,,
01051,928,595.0,1277.1,,,,631.0,360.1,247.5,456.9,391.3,,,-333.0,349.1,,,,-297.0,-567.9,-680.5,-471.1,-536.7,,,False,,,,True,False,False,False,False,,
01053,413,203.0,,,,,806.0,49.6,0.8,106.2,152.5,,,-210.0,,,,,393.0,-363.4,-412.2,-306.8,-260.5,,,,,,,False,False,False,False,False,,
01055,1306,868.0,3657.7,,,,1222.0,459.5,470.3,583.0,514.1,,,-438.0,2351.7,,,,-84.0,-846.5,-835.7,-723.0,-791.9,,,False,,,,True,False,False,False,False,,
01057,219,231.0,,,,,147.0,96.8,94.8,192.4,157.2,,,12.0,,,,,-72.0,-122.2,-124.2,-26.6,-61.8,,,,,,,False,False,False,False,False,,
01059,498,385.0,,,,,442.0,225.5,25.2,439.5,300.4,,,-113.0,,,,,-56.0,-272.5,-472.8,-58.5,-197.6,,,,,,,True,False,False,True,False,,
01061,425,147.0,,,,,398.0,34.9,137.0,63.4,641.7,,,-278.0,,,,,-27.0,-390.1,-288.0,-361.6,216.7,,,,,,,True,False,False,False,True,,
01063,42,49.0,,,,,80.0,10.2,0.2,75.7,30.6,,,7.0,,,,,38.0,-31.8,-41.8,33.7,-11.4,,,,,,,False,False,False,False,False,,
01065,150,154.0,,,,,184.0,16.1,3.4,78.0,178.8,,,4.0,,,,,34.0,-133.9,-146.6,-72.0,28.8,,,,,,,False,False,False,False,False,,
01067,269,105.0,,,,,121.0,11.0,79.2,36.7,94.4,,,-164.0,,,,,-148.0,-258.0,-189.8,-232.3,-174.6,,,,,,,True,False,False,False,False,,
01069,1760,868.0,3138.2,,,,1199.0,407.5,343.5,477.8,1873.3,,,-892.0,1378.2,,,,-561.0,-1352.5,-1416.5,-1282.2,113.3,,,False,,,,True,False,False,False,True,,
01071,532,1064.0,1192.8,,,,532.0,624.8,290.4,777.5,619.4,,,532.0,660.8,,,,0.0,92.8,-241.6,245.5,87.4,,,False,,,,True,True,True,True,True,,
01073,6445,6552.0,28204.9,,,,6420.0,4676.4,1361.5,1583.6,3485.4,,,107.0,21759.9,,,,-25.0,-1768.6,-5083.5,-4861.4,-2959.6,,,False,,,,True,False,False,False,False,,
01075,150,133.0,,,,,118.0,27.5,99.1,21.3,50.4,,,-17.0,,,,,-32.0,-122.5,-50.9,-128.7,-99.6,,,,,,,False,False,False,False,False,,
01077,564,518.0,950.8,,,,808.0,228.8,286.6,159.7,646.6,,,-46.0,386.8,,,,244.0,-335.2,-277.4,-404.3,82.6,,,False,,,,False,False,False,False,False,,
01079,261,133.0,,,,,337.0,65.7,232.8,120.6,239.0,,,-128.0,,,,,76.0,-195.3,-28.2,-140.4,-22.0,,,,,,,True,False,True,False,True,,
01081,3112,700.0,4047.3,,,,1112.0,400.9,388.5,250.1,539.2,,,-2412.0,935.3,,,,-2000.0,-2711.1,-2723.5,-2861.9,-2572.8,,,True,,,,True,False,False,False,False,,
01083,790,798.0,1802.9,,,,795.0,621.1,336.2,271.0,597.4,,,8.0,1012.9,,,,5.0,-168.9,-453.8,-519.0,-192.6,,,False,,,,True,False,False,False,False,,
01085,71,42.0,,,,,87.0,3.1,0.7,5.0,23.1,,,-29.0,,,,,16.0,-67.9,-70.3,-66.0,-47.9,,,,,,,True,False,False,False,False,,
01087,122,77.0,,,,,114.0,4.6,11.8,50.4,115.8,,,-45.0,,,,,-8.0,-117.4,-110.2,-71.6,-6.2,,,,,,,True,False,False,False,True,,
01089,2503,2429.0,19775.4,,,,2653.0,1647.9,762.9,440.4,1483.4,,,-74.0,17272.4,,,,150.0,-855.1,-1740.1,-2062.6,-1019.6,,,False,,,,False,False,False,False,False,,
01091,150,210.0,,,,,305.0,44.9,0.7,119.9,292.0,,,60.0,,,,,155.0,-105.1,-149.3,-30.1,142.0,,,,,,,False,False,False,True,False,,
01093,350,210.0,,,,,307.0,120.9,110.8,71.7,132.9,,,-140.0,,,,,-43.0,-229.1,-239.2,-278.3,-217.1,,,,,,,True,False,False,False,False,,
01095,766,679.0,2902.3,,,,1136.0,155.5,186.9,88.3,376.9,,,-87.0,2136.3,,,,370.0,-610.5,-579.1,-677.7,-389.1,,,False,,,,False,False,False,False,False,,
01097,2668,7875.0,7043.3,,,,7123.0,2953.5,2610.9,1427.7,9743.1,,,5207.0,4375.3,,,,4455.0,285.5,-57.1,-1240.3,7075.1,,,True,,,,True,True,True,True,False,,
01099,96,91.0,,,,,274.0,9.5,30.7,107.6,57.9,,,-5.0,,,,,178.0,-86.5,-65.3,11.6,-38.1,,,,,,,False,False,False,False,False,,
01101,1842,3220.0,919.9,,,,2671.0,963.3,1057.3,2638.7,3418.4,,,1378.0,-922.1,,,,829.0,-878.7,-784.7,796.7,1576.4,,,True,,,,True,True,True,True,False,,
01103,908,833.0,818.8,,,,1193.0,289.4,299.3,467.9,679.9,,,-75.0,-89.2,,,,285.0,-618.6,-608.7,-440.1,-228.1,,,False,,,,False,False,False,False,False,,
01105,54,105.0,,,,,84.0,27.5,0.0,19.1,118.4,,,51.0,,,,,30.0,-26.5,-54.0,-34.9,64.4,,,,,,,True,True,False,True,False,,
01107,237,294.0,,,,,231.0,136.4,70.1,198.4,139.8,,,57.0,,,,,-6.0,-100.6,-166.9,-38.6,-97.2,,,,,,,True,False,False,True,False,,
01109,443,133.0,,,,,341.0,10.0,0.1,207.8,256.4,,,-310.0,,,,,-102.0,-433.0,-442.9,-235.2,-186.6,,,,,,,True,False,False,True,True,,
01111,273,91.0,,,,,195.0,11.6,64.8,86.1,64.9,,,-182.0,,,,,-78.0,-261.4,-208.2,-186.9,-208.1,,,,,,,True,False,False,False,False,,
01113,377,329.0,1991.7,,,,539.0,37.5,53.1,62.4,813.0,,,-48.0,1614.7,,,,162.0,-339.5,-323.9,-314.6,436.0,,,False,,,,False,False,False,False,False,,
01115,947,469.0,1149.5,,,,689.0,255.5,416.2,161.5,326.7,,,-478.0,202.5,,,,-258.0,-691.5,-530.8,-785.5,-620.3,,,True,,,,True,False,False,False,False,,
01117,2670,1442.0,8499.5,,,,1667.0,1103.4,424.5,864.6,836.4,,,-1228.0,5829.5,,,,-1003.0,-1566.6,-2245.5,-1805.4,-1833.6,,,False,,,,True,False,False,False,False,,
01119,56,91.0,,,,,133.0,4.9,0.3,80.9,107.3,,,35.0,,,,,77.0,-51.1,-55.7,24.9,51.3,,,,,,,False,False,False,True,False,,
01121,830,791.0,1364.1,,,,807.0,422.7,320.0,488.8,713.5,,,-39.0,534.1,,,,-23.0,-407.3,-510.0,-341.2,-116.5,,,False,,,,True,False,False,False,False,,
01123,226,231.0,,,,,359.0,39.4,33.2,33.8,263.1,,,5.0,,,,,133.0,-186.6,-192.8,-192.2,37.1,,,,,,,False,False,False,False,False,,
01125,4587,1547.0,1094.8,,,,2012.0,1104.2,457.6,1599.9,1078.6,,,-3040.0,-3492.2,,,,-2575.0,-3482.8,-4129.4,-2987.1,-3508.4,,,False,,,,True,False,False,True,False,,
01127,751,553.0,526.7,,,,752.0,225.0,117.2,320.0,322.8,,,-198.0,-224.3,,,,1.0,-526.0,-633.8,-431.0,-428.2,,,False,,,,True,False,False,False,False,,
01129,111,546.0,,,,,247.0,17.0,101.0,140.2,427.4,,,435.0,,,,,136.0,-94.0,-10.0,29.2,316.4,,,,,,,True,True,True,True,True,,
01131,71,154.0,,,,,106.0,25.6,1.3,52.3,66.4,,,83.0,,,,,35.0,-45.4,-69.7,-18.7,-4.6,,,,,,,True,True,True,True,True,,
01133,284,98.0,,,,,268.0,82.3,101.6,131.2,50.6,,,-186.0,,,,,-16.0,-201.7,-182.4,-152.8,-233.4,,,,,,,True,False,True,True,False,,
02013,10,0.0,,,,,,,,0.3,0.6,,,-10.0,,,,,,,,-9.7,-9.4,,,,,,,,,,True,True,,
02016,6,7.0,,,,,,,,4.6,6.3,,,1.0,,,,,,,,-1.4,0.3,,,,,,,,,,False,True,,
02020,2304,2156.0,3665.2,,,,,1227.2,850.6,1451.3,2745.7,,,-148.0,1361.2,,,,,-1076.8,-1453.4,-852.7,441.7,,,False,,,,,False,False,False,False,,
02050,93,49.0,,,,,,8.2,,7.6,58.7,,,-44.0,,,,,,-84.8,,-85.4,-34.3,,,,,,,,False,,False,True,,
02060,0,14.0,,,,,,2.2,,0.5,17.6,,,14.0,,,,,,2.2,,0.5,17.6,,,,,,,,True,,True,False,,
02068,10,0.0,,,,,,,,0.0,,,,-10.0,,,,,,,,-10.0,,,,,,,,,,,False,,,
02070,7,7.0,,,,,,2.6,,2.9,,,,0.0,,,,,,-4.4,,-4.2,,,,,,,,,False,,False,,,
02090,777,350.0,761.2,,,,,360.0,163.3,161.7,323.3,,,-427.0,-15.8,,,,,-417.0,-613.7,-615.3,-453.7,,,True,,,,,True,False,False,False,,
02100,1,7.0,,,,,,,,0.0,9.9,,,6.0,,,,,,,,-1.0,8.9,,,,,,,,,,True,False,,
02105,0,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,True,,,
02110,167,287.0,,,,,,145.0,3.5,357.3,120.6,,,120.0,,,,,,-22.0,-163.5,190.3,-46.4,,,,,,,,True,False,False,True,,
02122,117,231.0,487.4,,,,,54.7,166.2,252.3,288.7,,,114.0,370.4,,,,,-62.3,49.2,135.3,171.7,,,False,,,,,True,True,False,False,,
02130,14,14.0,,,,,,5.6,,11.3,27.1,,,0.0,,,,,,-8.4,,-2.7,13.1,,,,,,,,False,,False,False,,
02150,22,28.0,,,,,,1.9,,3.1,21.0,,,6.0,,,,,,-20.1,,-18.9,-1.0,,,,,,,,False,,False,True,,
02158,6,14.0,,,,,,,,3.2,13.5,,,8.0,,,,,,,,-2.8,7.5,,,,,,,,,,True,True,,
02164,21,0.0,,,,,,,,0.0,,,,-21.0,,,,,,,,-21.0,,,,,,,,,,,False,,,
02170,287,336.0,1008.2,,,,,112.5,237.9,175.3,272.6,,,49.0,721.2,,,,,-174.5,-49.1,-111.7,-14.4,,,False,,,,,False,False,False,True,,
02180,61,35.0,,,,,,2.5,,2.4,,,,-26.0,,,,,,-58.5,,-58.6,,,,,,,,,False,,False,,,
02185,127,21.0,,,,,,4.4,,21.5,,,,-106.0,,,,,,-122.6,,-105.5,,,,,,,,,False,,True,,,
02188,96,35.0,,,,,,9.5,,22.3,,,,-61.0,,,,,,-86.5,,-73.7,,,,,,,,,False,,False,,,
02195,2,7.0,,,,,,0.6,,1.3,3.0,,,5.0,,,,,,-1.4,,-0.7,1.0,,,,,,,,True,,True,True,,
02198,18,35.0,,,,,,4.5,,25.4,17.2,,,17.0,,,,,,-13.5,,7.4,-0.8,,,,,,,,True,,True,True,,
02220,26,35.0,,,,,,4.4,,13.1,47.3,,,9.0,,,,,,-21.6,,-12.9,21.3,,,,,,,,False,,False,False,,
02230,0,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,True,,,
02240,13,14.0,,,,,,1.6,,6.1,,,,1.0,,,,,,-11.4,,-6.9,,,,,,,,,False,,False,,,
02261,23,63.0,,,,,,14.3,,38.3,,,,40.0,,,,,,-8.7,,15.3,,,,,,,,,True,,True,,,
02275,5,0.0,,,,,,,,0.1,8.3,,,-5.0,,,,,,,,-4.9,3.3,,,,,,,,,,True,True,,
02282,17,14.0,,,,,,,,9.4,18.6,,,-3.0,,,,,,,,-7.6,1.6,,,,,,,,,,False,True,,
02290,28,42.0,,,,,,19.2,,4.4,,,,14.0,,,,,,-8.8,,-23.6,,,,,,,,,True,,False,,,
04001,355,602.0,1335.6,,,,323.0,81.1,17.8,476.2,480.3,,,247.0,980.6,,,,-32.0,-273.9,-337.2,121.2,125.3,,,False,,,,True,False,False,True,True,,
04003,165,1120.0,3220.7,,,,520.0,28.0,292.7,41.1,709.1,,,955.0,3055.7,,,,355.0,-137.0,127.7,-123.9,544.1,,,False,,,,True,True,True,True,True,,
04005,1123,637.0,1789.3,,,,471.0,207.8,190.4,124.8,440.7,,,-486.0,666.3,,,,-652.0,-915.2,-932.6,-998.2,-682.3,,,False,,,,False,False,False,False,False,,
04007,452,651.0,791.8,,,,353.0,225.9,108.2,352.0,546.6,,,199.0,339.8,,,,-99.0,-226.1,-343.8,-100.0,94.6,,,False,,,,True,False,False,True,True,,
04009,282,399.0,,,,,248.0,228.6,0.1,123.8,425.5,,,117.0,,,,,-34.0,-53.4,-281.9,-158.2,143.5,,,,,,,True,True,False,False,False,,
04011,4,0.0,,,,,25.0,2.0,,16.8,14.2,,,-4.0,,,,,21.0,-2.0,,12.8,10.2,,,,,,,False,True,,False,False,,
04012,63,84.0,,,,,70.0,7.9,3.6,86.7,68.1,,,21.0,,,,,7.0,-55.1,-59.4,23.7,5.1,,,,,,,True,False,False,False,True,,
04013,14103,23240.0,31311.7,,,,21704.0,17056.5,5301.7,5553.5,7077.0,,,9137.0,17208.7,,,,7601.0,2953.5,-8801.3,-8549.5,-7026.0,,,False,,,,True,True,True,True,True,,
04015,707,1386.0,1495.3,,,,1676.0,451.8,338.0,967.5,1136.5,,,679.0,788.3,,,,969.0,-255.2,-369.0,260.5,429.5,,,False,,,,False,True,True,True,True,,
04017,378,581.0,664.3,,,,468.0,196.0,47.5,117.7,593.2,,,203.0,286.3,,,,90.0,-182.0,-330.5,-260.3,215.2,,,False,,,,True,True,False,False,False,,
04019,6550,11095.0,7896.0,,,,3968.0,7827.3,2769.0,9682.3,7315.0,,,4545.0,1346.0,,,,-2582.0,1277.3,-3781.0,3132.3,765.0,,,True,,,,True,True,True,True,True,,
04021,2033,2296.0,2240.9,,,,2561.0,1183.3,632.2,237.7,1216.8,,,263.0,207.9,,,,528.0,-849.7,-1400.8,-1795.3,-816.2,,,True,,,,False,False,False,False,False,,
04023,214,273.0,,,,,595.0,43.8,10.0,942.2,187.7,,,59.0,,,,,381.0,-170.2,-204.0,728.2,-26.3,,,,,,,False,False,False,False,True,,
04025,475,1078.0,3649.1,,,,1441.0,787.6,675.9,1110.6,511.7,,,603.0,3174.1,,,,966.0,312.6,200.9,635.6,36.7,,,False,,,,False,True,True,False,True,,
04027,962,2387.0,7331.6,,,,763.0,384.1,72.1,379.1,3645.2,,,1425.0,6369.6,,,,-199.0,-577.9,-889.9,-582.9,2683.2,,,False,,,,True,True,True,True,False,,
05001,208,238.0,,,,,317.0,58.9,84.1,76.2,217.2,,,30.0,,,,,109.0,-149.1,-123.9,-131.8,9.2,,,,,,,False,False,False,False,True,,
05003,100,210.0,,,,,317.0,153.4,97.7,76.8,234.5,,,110.0,,,,,217.0,53.4,-2.3,-23.2,134.5,,,,,,,False,True,True,True,False,,
05005,316,70.0,,,,,250.0,17.7,,35.8,73.2,,,-246.0,,,,,-66.0,-298.3,,-280.2,-242.8,,,,,,,True,False,,False,True,,
05007,1972,1015.0,2117.0,,,,2089.0,293.0,289.1,365.5,623.8,,,-957.0,145.0,,,,117.0,-1679.0,-1682.9,-1606.5,-1348.2,,,True,,,,True,False,False,False,False,,
05009,571,119.0,,,,,194.0,52.9,133.2,27.9,848.8,,,-452.0,,,,,-377.0,-518.1,-437.8,-543.1,277.8,,,,,,,True,False,True,False,True,,
05011,127,224.0,,,,,175.0,28.0,63.8,90.1,79.8,,,97.0,,,,,48.0,-99.0,-63.2,-36.9,-47.2,,,,,,,True,False,True,True,True,,
05013,21,0.0,,,,,42.0,,,2.7,,,,-21.0,,,,,21.0,,,-18.3,,,,,,,,False,,,True,,,
05015,363,210.0,,,,,114.0,25.1,72.7,114.6,237.6,,,-153.0,,,,,-249.0,-337.9,-290.3,-248.4,-125.4,,,,,,,False,False,False,False,True,,
05017,94,1330.0,,,,,267.0,265.2,392.0,73.8,676.4,,,1236.0,,,,,173.0,171.2,298.0,-20.2,582.4,,,,,,,True,True,True,True,True,,
05019,195,63.0,,,,,217.0,9.6,57.2,41.2,76.0,,,-132.0,,,,,22.0,-185.4,-137.8,-153.8,-119.0,,,,,,,True,False,False,False,True,,
05021,187,105.0,,,,,160.0,24.2,75.2,16.1,237.4,,,-82.0,,,,,-27.0,-162.8,-111.8,-170.9,50.4,,,,,,,True,False,False,False,True,,
05023,141,182.0,,,,,254.0,94.6,69.7,104.8,69.1,,,41.0,,,,,113.0,-46.4,-71.3,-36.2,-71.9,,,,,,,False,False,False,True,False,,
05025,73,140.0,,,,,79.0,27.5,32.6,30.5,149.5,,,67.0,,,,,6.0,-45.5,-40.4,-42.5,76.5,,,,,,,True,True,True,True,False,,
05027,304,189.0,,,,,355.0,92.8,0.0,30.4,127.4,,,-115.0,,,,,51.0,-211.2,-304.0,-273.6,-176.6,,,,,,,True,False,False,False,False,,
05029,132,84.0,,,,,307.0,18.7,84.6,31.1,116.9,,,-48.0,,,,,175.0,-113.3,-47.4,-100.9,-15.1,,,,,,,False,False,True,False,True,,
05031,1754,959.0,2392.8,,,,1422.0,204.1,510.6,194.7,866.2,,,-795.0,638.8,,,,-332.0,-1549.9,-1243.4,-1559.3,-887.8,,,True,,,,True,False,False,False,False,,
05033,832,637.0,1523.7,,,,1029.0,395.2,258.4,457.2,588.9,,,-195.0,691.7,,,,197.0,-436.8,-573.6,-374.8,-243.1,,,False,,,,False,False,False,False,False,,
05035,545,763.0,,,,,802.0,370.7,202.4,989.0,872.1,,,218.0,,,,,257.0,-174.3,-342.6,444.0,327.1,,,,,,,False,True,False,False,False,,
05037,253,189.0,,,,,269.0,31.8,132.9,148.3,177.9,,,-64.0,,,,,16.0,-221.2,-120.1,-104.7,-75.1,,,,,,,True,False,False,False,False,,
05039,104,49.0,,,,,94.0,23.7,,4.0,117.8,,,-55.0,,,,,-10.0,-80.3,,-100.0,13.8,,,,,,,True,False,,False,True,,
05041,106,126.0,,,,,194.0,24.7,30.9,46.7,92.9,,,20.0,,,,,88.0,-81.3,-75.1,-59.3,-13.1,,,,,,,False,False,False,False,True,,
05043,111,392.0,,,,,293.0,410.0,82.1,243.7,225.1,,,281.0,,,,,182.0,299.0,-28.9,132.7,114.1,,,,,,,True,False,True,True,True,,
05045,1304,595.0,3483.9,,,,1138.0,415.2,232.2,648.6,767.8,,,-709.0,2179.9,,,,-166.0,-888.8,-1071.8,-655.4,-536.2,,,False,,,,True,False,False,True,True,,
05047,182,91.0,,,,,169.0,56.0,79.6,34.1,630.1,,,-91.0,,,,,-13.0,-126.0,-102.4,-147.9,448.1,,,,,,,True,False,False,False,False,,
05049,149,49.0,,,,,81.0,11.6,,81.8,124.3,,,-100.0,,,,,-68.0,-137.4,,-67.2,-24.7,,,,,,,True,False,,True,True,,
05051,850,1239.0,1475.9,,,,1484.0,926.8,535.0,467.9,1604.4,,,389.0,625.9,,,,634.0,76.8,-315.0,-382.1,754.4,,,False,,,,False,True,True,True,False,,
05053,130,91.0,,,,,168.0,38.8,76.5,26.0,67.8,,,-39.0,,,,,38.0,-91.2,-53.5,-104.0,-62.2,,,,,,,True,False,False,False,False,,
05055,419,406.0,,,,,642.0,244.5,373.5,72.3,894.8,,,-13.0,,,,,223.0,-174.5,-45.5,-346.7,475.8,,,,,,,False,False,False,False,False,,
05057,139,182.0,,,,,218.0,72.1,43.7,40.3,304.9,,,43.0,,,,,79.0,-66.9,-95.3,-98.7,165.9,,,,,,,False,False,False,False,False,,
05059,326,637.0,,,,,659.0,535.7,25.0,524.1,261.9,,,311.0,,,,,333.0,209.7,-301.0,198.1,-64.1,,,,,,,False,True,True,True,True,,
05061,136,217.0,,,,,138.0,43.0,1.7,127.1,209.6,,,81.0,,,,,2.0,-93.0,-134.3,-8.9,73.6,,,,,,,True,False,False,True,True,,
05063,606,784.0,,,,,613.0,258.6,248.9,69.3,992.5,,,178.0,,,,,7.0,-347.4,-357.1,-536.6,386.5,,,,,,,True,False,False,False,False,,
05065,207,70.0,,,,,124.0,8.4,,0.0,146.9,,,-137.0,,,,,-83.0,-198.6,,-207.0,-60.1,,,,,,,True,False,,False,True,,
05067,297,105.0,,,,,353.0,24.9,58.3,68.2,204.3,,,-192.0,,,,,56.0,-272.1,-238.7,-228.8,-92.7,,,,,,,True,False,False,False,True,,
05069,1842,1057.0,888.2,,,,1132.0,742.8,269.0,574.0,1134.6,,,-785.0,-953.8,,,,-710.0,-1099.2,-1573.0,-1268.0,-707.4,,,False,,,,True,False,False,False,True,,
05071,189,168.0,,,,,363.0,34.8,5.8,114.5,114.8,,,-21.0,,,,,174.0,-154.2,-183.2,-74.5,-74.2,,,,,,,False,False,False,False,False,,
05073,62,42.0,,,,,43.0,9.8,,7.8,33.6,,,-20.0,,,,,-19.0,-52.2,,-54.2,-28.4,,,,,,,True,False,,False,False,,
05075,257,140.0,,,,,219.0,14.5,89.3,23.7,160.8,,,-117.0,,,,,-38.0,-242.5,-167.7,-233.3,-96.2,,,,,,,True,False,False,False,True,,
05077,178,56.0,,,,,319.0,194.7,6.4,389.8,394.6,,,-122.0,,,,,141.0,16.7,-171.6,211.8,216.6,,,,,,,False,True,False,False,False,,
05079,796,546.0,,,,,368.0,527.3,2.5,569.8,448.4,,,-250.0,,,,,-428.0,-268.7,-793.5,-226.2,-347.6,,,,,,,False,False,False,True,False,,
05081,156,245.0,,,,,84.0,334.3,0.0,101.2,492.6,,,89.0,,,,,-72.0,178.3,-156.0,-54.8,336.6,,,,,,,True,False,False,True,False,,
05083,110,574.0,,,,,293.0,511.1,133.1,111.6,581.2,,,464.0,,,,,183.0,401.1,23.1,1.6,471.2,,,,,,,True,True,True,True,False,,
