,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
02016,3,10.0,0.0,,,,,8.3,,,,,6.2,8.1,,,7.0,-3.0,,,,,5.3,,,,,3.2,5.1,,,True,,,,,True,,,,,True,True,,
02020,1727,1490.0,2635.0,,,,,2427.7,,834.2,813.0,,975.7,982.9,,,-237.0,908.0,,,,,700.7,,-892.8,-914.0,,-751.3,-744.1,,,False,,,,,False,,False,False,,False,False,,
02050,65,95.0,0.0,,,,,36.1,,7.6,,,16.8,62.8,,,30.0,-65.0,,,,,-28.9,,-57.4,,,-48.2,-2.2,,,False,,,,,True,,False,,,False,True,,
02060,0,0.0,0.0,,,,,0.0,,0.5,,,0.5,,,,0.0,0.0,,,,,0.0,,0.5,,,0.5,,,,True,,,,,True,,False,,,False,,,
02068,9,0.0,0.0,,,,,1.9,,,,,0.0,,,,-9.0,-9.0,,,,,-7.1,,,,,-9.0,,,,False,,,,,True,,,,,False,,,
02070,4,0.0,0.0,,,,,25.8,,0.2,,,0.2,0.8,,,-4.0,-4.0,,,,,21.8,,-3.8,,,-3.8,-3.2,,,False,,,,,False,,True,,,True,True,,
02090,630,355.0,0.0,,,,,537.1,,431.4,214.8,,261.3,211.5,,,-275.0,-630.0,,,,,-92.9,,-198.6,-415.2,,-368.7,-418.5,,,False,,,,,True,,True,False,,False,False,,
02100,1,0.0,0.0,,,,,1.0,,,,,0.0,2.5,,,-1.0,-1.0,,,,,-0.0,,,,,-1.0,1.5,,,False,,,,,True,,,,,False,False,,
02105,0,0.0,0.0,,,,,9.9,,,,,0.0,,,,0.0,0.0,,,,,9.9,,,,,0.0,,,,True,,,,,False,,,,,True,,,
02110,131,70.0,65.0,,,,,112.8,,12.2,38.9,,28.3,33.9,,,-61.0,-66.0,,,,,-18.2,,-118.8,-92.1,,-102.7,-97.1,,,False,,,,,True,,False,False,,False,False,,
02122,59,55.0,83.0,,,,,180.6,,6.9,181.4,,8.2,52.8,,,-4.0,24.0,,,,,121.6,,-52.1,122.4,,-50.8,-6.2,,,False,,,,,False,,False,False,,False,False,,
02130,8,10.0,0.0,,,,,9.9,,4.8,,,8.5,15.6,,,2.0,-8.0,,,,,1.9,,-3.2,,,0.5,7.6,,,False,,,,,True,,False,,,True,False,,
02150,16,0.0,0.0,,,,,5.4,,0.5,,,2.7,,,,-16.0,-16.0,,,,,-10.6,,-15.5,,,-13.3,,,,False,,,,,True,,True,,,True,,,
02158,6,0.0,0.0,,,,,,,,,,0.0,0.9,,,-6.0,-6.0,,,,,,,,,,-6.0,-5.1,,,False,,,,,,,,,,True,True,,
02164,20,0.0,0.0,,,,,2.2,,,,,0.0,,,,-20.0,-20.0,,,,,-17.8,,,,,-20.0,,,,False,,,,,True,,,,,False,,,
02170,188,230.0,343.0,,,,,587.9,,75.9,337.3,,81.9,156.3,,,42.0,155.0,,,,,399.9,,-112.1,149.3,,-106.1,-31.7,,,False,,,,,False,,False,False,,False,True,,
02180,46,30.0,0.0,,,,,14.7,,4.9,,,16.1,29.2,,,-16.0,-46.0,,,,,-31.3,,-41.1,,,-29.9,-16.8,,,False,,,,,False,,False,,,False,False,,
02185,112,30.0,,,,,,37.0,,4.9,,,6.0,,,,-82.0,,,,,,-75.0,,-107.1,,,-106.0,,,,,,,,,True,,False,,,False,,,
