,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,IHME-CurveFit,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-IHME-CurveFit,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-IHME-CurveFit,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01103,1026,1704.0,2778.8,,,818.7,,,678.0,1752.8,,,-207.3,,,False,,,True,,
01105,71,168.0,,,,105.6,,,97.0,,,,34.6,,,,,,True,,
01107,277,264.0,,,,116.4,,,-13.0,,,,-160.6,,,,,,False,,
01109,478,472.0,,,,592.7,,,-6.0,,,,114.7,,,,,,False,,
01111,289,80.0,,,,247.9,,,-209.0,,,,-41.1,,,,,,True,,
01113,425,1384.0,1701.0,,,1831.1,,,959.0,1276.0,,,1406.1,,,False,,,False,,
01115,1032,1272.0,2375.8,,,632.3,,,240.0,1343.8,,,-399.7,,,False,,,False,,
01117,2900,2448.0,5832.1,,,1526.8,,,-452.0,2932.1,,,-1373.2,,,False,,,False,,
01119,72,0.0,,,,44.4,,,-72.0,,,,-27.6,,,,,,True,,
01121,973,1176.0,4223.4,,,1896.0,,,203.0,3250.4,,,923.0,,,False,,,False,,
01123,273,424.0,,,,490.8,,,151.0,,,,217.8,,,,,,False,,
01125,4836,2712.0,2057.4,,,1496.8,,,-2124.0,-2778.6,,,-3339.2,,,False,,,False,,
01127,847,560.0,429.8,,,276.3,,,-287.0,-417.2,,,-570.7,,,False,,,False,,
01129,187,656.0,,,,397.5,,,469.0,,,,210.5,,,,,,True,,
01131,97,208.0,,,,112.3,,,111.0,,,,15.3,,,,,,True,,
01133,306,192.0,,,,83.3,,,-114.0,,,,-222.7,,,,,,False,,
02013,10,8.0,,,,,,,-2.0,,,,,,,,,,,,
02016,7,0.0,,,,,,,-7.0,,,,,,,,,,,,
02020,2621,2648.0,6205.9,,,3736.2,,,27.0,3584.9,,,1115.2,,,False,,,False,,
02050,100,16.0,,,,,,,-84.0,,,,,,,,,,,,
02060,0,24.0,,,,19.3,,,24.0,,,,19.3,,,,,,True,,
02068,10,0.0,,,,,,,-10.0,,,,,,,,,,,,
02070,8,0.0,,,,,,,-8.0,,,,,,,,,,,,
02090,830,224.0,679.0,,,451.6,,,-606.0,-151.0,,,-378.4,,,True,,,True,,
02100,1,0.0,,,,,,,-1.0,,,,,,,,,,,,
02105,0,0.0,,,,,,,0.0,,,,,,,,,,,,
02110,219,112.0,,,,607.7,,,-107.0,,,,388.7,,,,,,False,,
02122,148,128.0,1289.8,,,70.5,,,-20.0,1141.8,,,-77.5,,,False,,,False,,
02130,18,16.0,,,,32.7,,,-2.0,,,,14.7,,,,,,False,,
02150,39,0.0,,,,4.7,,,-39.0,,,,-34.3,,,,,,True,,
02158,8,16.0,,,,,,,8.0,,,,,,,,,,,,
02164,22,0.0,,,,,,,-22.0,,,,,,,,,,,,
02170,334,296.0,914.6,,,129.2,,,-38.0,580.6,,,-204.8,,,False,,,False,,
02180,64,16.0,,,,,,,-48.0,,,,,,,,,,,,
02185,133,40.0,,,,,,,-93.0,,,,,,,,,,,,
02188,102,88.0,,,,,,,-14.0,,,,,,,,,,,,
02195,3,0.0,,,,0.8,,,-3.0,,,,-2.2,,,,,,True,,
02198,24,24.0,,,,7.6,,,0.0,,,,-16.4,,,,,,False,,
02220,31,32.0,,,,68.8,,,1.0,,,,37.8,,,,,,False,,
02230,0,0.0,,,,,,,0.0,,,,,,,,,,,,
02240,15,16.0,,,,,,,1.0,,,,,,,,,,,,
02261,32,40.0,,,,,,,8.0,,,,,,,,,,,,
02275,5,32.0,,,,,,,27.0,,,,,,,,,,,,
02282,19,0.0,,,,1.1,,,-19.0,,,,-17.9,,,,,,True,,
02290,34,48.0,,,,,,,14.0,,,,,,,,,,,,
04001,441,808.0,556.9,,,695.6,,,367.0,115.9,,,254.6,,,True,,,True,,
04003,325,616.0,2156.7,,,381.9,,,291.0,1831.7,,,56.9,,,False,,,True,,
04005,1214,896.0,3526.2,,,618.3,,,-318.0,2312.2,,,-595.7,,,False,,,False,,
04007,545,664.0,1638.9,,,517.5,,,119.0,1093.9,,,-27.5,,,False,,,True,,
04009,339,488.0,,,,931.4,,,149.0,,,,592.4,,,,,,False,,
04011,4,16.0,,,,23.4,,,12.0,,,,19.4,,,,,,False,,
04012,77,48.0,,,,53.7,,,-29.0,,,,-23.3,,,,,,True,,
04013,17423,50000.0,66705.5,,,19370.0,,,32577.0,49282.5,,,1947.0,,,False,,,True,,
04015,905,1280.0,8362.8,,,2308.6,,,375.0,7457.8,,,1403.6,,,False,,,False,,
04017,461,904.0,2810.3,,,831.6,,,443.0,2349.3,,,370.6,,,False,,,True,,
04019,8135,10024.0,26645.0,,,4454.4,,,1889.0,18510.0,,,-3680.6,,,False,,,False,,
04021,2361,1624.0,5435.2,,,923.2,,,-737.0,3074.2,,,-1437.8,,,False,,,False,,
04023,257,384.0,,,,161.7,,,127.0,,,,-95.3,,,,,,True,,
04025,629,1616.0,5568.1,,,877.1,,,987.0,4939.1,,,248.1,,,False,,,True,,
04027,1305,3472.0,5451.6,,,4284.9,,,2167.0,4146.6,,,2979.9,,,False,,,False,,
05001,242,144.0,,,,543.8,,,-98.0,,,,301.8,,,,,,False,,
05003,130,672.0,,,,921.0,,,542.0,,,,791.0,,,,,,False,,
05005,326,88.0,,,,79.6,,,-238.0,,,,-246.4,,,,,,False,,
05007,2117,2080.0,1080.1,,,1236.9,,,-37.0,-1036.9,,,-880.1,,,False,,,False,,
05009,588,368.0,,,,1357.4,,,-220.0,,,,769.4,,,,,,False,,
05011,159,352.0,,,,156.2,,,193.0,,,,-2.8,,,,,,True,,
05013,22,24.0,,,,,,,2.0,,,,,,,,,,,,
05015,393,128.0,,,,255.8,,,-265.0,,,,-137.2,,,,,,True,,
05017,287,1656.0,,,,1037.8,,,1369.0,,,,750.8,,,,,,True,,
05019,204,200.0,,,,421.1,,,-4.0,,,,217.1,,,,,,False,,
05021,202,200.0,,,,86.8,,,-2.0,,,,-115.2,,,,,,False,,
05023,167,120.0,,,,48.3,,,-47.0,,,,-118.7,,,,,,False,,
05025,93,240.0,,,,292.9,,,147.0,,,,199.9,,,,,,False,,
05027,331,224.0,,,,163.7,,,-107.0,,,,-167.3,,,,,,False,,
05029,144,128.0,,,,250.5,,,-16.0,,,,106.5,,,,,,False,,
05031,1891,1856.0,2772.0,,,2085.0,,,-35.0,881.0,,,194.0,,,False,,,False,,
05033,923,784.0,1846.0,,,872.0,,,-139.0,923.0,,,-51.0,,,False,,,True,,
05035,654,1280.0,,,,1101.8,,,626.0,,,,447.8,,,,,,True,,
05037,280,264.0,,,,539.8,,,-16.0,,,,259.8,,,,,,False,,
05039,111,40.0,,,,,,,-71.0,,,,,,,,,,,,
05041,124,384.0,,,,194.9,,,260.0,,,,70.9,,,,,,True,,
05043,167,344.0,,,,247.7,,,177.0,,,,80.7,,,,,,True,,
05045,1389,800.0,2355.3,,,1487.7,,,-589.0,966.3,,,98.7,,,False,,,True,,
05047,195,168.0,,,,654.3,,,-27.0,,,,459.3,,,,,,False,,
05049,156,104.0,,,,116.3,,,-52.0,,,,-39.7,,,,,,True,,
05051,1027,1240.0,1912.4,,,5236.8,,,213.0,885.4,,,4209.8,,,False,,,False,,
05053,143,88.0,,,,21.1,,,-55.0,,,,-121.9,,,,,,False,,
05055,477,912.0,,,,1213.1,,,435.0,,,,736.1,,,,,,False,,
05057,165,256.0,,,,279.8,,,91.0,,,,114.8,,,,,,False,,
05059,417,632.0,,,,257.0,,,215.0,,,,-160.0,,,,,,True,,
05061,167,336.0,,,,124.7,,,169.0,,,,-42.3,,,,,,True,,
05063,718,1176.0,,,,1368.8,,,458.0,,,,650.8,,,,,,False,,
05065,219,64.0,,,,116.8,,,-155.0,,,,-102.2,,,,,,True,,
05067,312,408.0,,,,307.6,,,96.0,,,,-4.4,,,,,,True,,
05069,1993,1632.0,737.9,,,1494.1,,,-361.0,-1255.1,,,-498.9,,,False,,,False,,
05071,213,368.0,,,,239.8,,,155.0,,,,26.8,,,,,,True,,
05073,68,32.0,,,,32.0,,,-36.0,,,,-36.0,,,,,,False,,
05075,277,216.0,,,,183.1,,,-61.0,,,,-93.9,,,,,,False,,
05077,186,64.0,,,,521.0,,,-122.0,,,,335.0,,,,,,False,,
05079,874,352.0,,,,462.0,,,-522.0,,,,-412.0,,,,,,True,,
05081,191,224.0,,,,236.5,,,33.0,,,,45.5,,,,,,False,,
05083,194,888.0,,,,571.5,,,694.0,,,,377.5,,,,,,True,,
05085,794,736.0,962.7,,,794.1,,,-58.0,168.7,,,0.1,,,False,,,True,,
05087,105,128.0,,,,231.4,,,23.0,,,,126.4,,,,,,False,,
05089,82,16.0,,,,25.4,,,-66.0,,,,-56.6,,,,,,True,,
05091,398,408.0,,,,188.7,,,10.0,,,,-209.3,,,,,,False,,
05093,780,1840.0,,,,902.4,,,1060.0,,,,122.4,,,,,,True,,
05095,86,56.0,,,,41.8,,,-30.0,,,,-44.2,,,,,,False,,
05097,135,72.0,,,,,,,-63.0,,,,,,,,,,,,
05099,96,64.0,,,,83.1,,,-32.0,,,,-12.9,,,,,,True,,
05101,149,72.0,,,,,,,-77.0,,,,,,,,,,,,
05103,178,176.0,,,,215.0,,,-2.0,,,,37.0,,,,,,False,,
05105,46,8.0,,,,9.9,,,-38.0,,,,-36.1,,,,,,True,,
05107,237,304.0,,,,255.5,,,67.0,,,,18.5,,,,,,True,,
05109,136,192.0,,,,,,,56.0,,,,,,,,,,,,
05111,439,904.0,,,,850.8,,,465.0,,,,411.8,,,,,,True,,
05113,140,96.0,,,,127.2,,,-44.0,,,,-12.8,,,,,,True,,
05115,937,1056.0,1603.9,,,1875.0,,,119.0,666.9,,,938.0,,,False,,,False,,
05117,69,216.0,,,,209.8,,,147.0,,,,140.8,,,,,,True,,
05119,4240,5416.0,6600.4,,,3357.4,,,1176.0,2360.4,,,-882.6,,,False,,,True,,
05121,261,312.0,,,,1605.2,,,51.0,,,,1344.2,,,,,,False,,
05123,366,608.0,,,,549.3,,,242.0,,,,183.3,,,,,,True,,
05125,1231,1192.0,2175.0,,,933.6,,,-39.0,944.0,,,-297.4,,,False,,,False,,
05127,54,136.0,,,,320.9,,,82.0,,,,266.9,,,,,,False,,
05129,126,32.0,,,,38.3,,,-94.0,,,,-87.7,,,,,,True,,
05131,1793,3272.0,5596.9,,,2415.2,,,1479.0,3803.9,,,622.2,,,False,,,True,,
05133,225,440.0,,,,178.7,,,215.0,,,,-46.3,,,,,,True,,
05135,147,72.0,,,,121.7,,,-75.0,,,,-25.3,,,,,,True,,
05137,305,120.0,,,,128.1,,,-185.0,,,,-176.9,,,,,,True,,
05139,464,384.0,,,,514.6,,,-80.0,,,,50.6,,,,,,True,,
05141,126,24.0,,,,13.8,,,-102.0,,,,-112.2,,,,,,False,,
05143,3609,2528.0,3351.8,,,1592.3,,,-1081.0,-257.2,,,-2016.7,,,True,,,False,,
05145,641,512.0,733.0,,,1446.1,,,-129.0,92.0,,,805.1,,,True,,,False,,
05147,39,16.0,,,,,,,-23.0,,,,,,,,,,,,
05149,203,424.0,,,,747.3,,,221.0,,,,544.3,,,,,,False,,
06001,8408,13832.0,17663.1,,,21880.0,,,5424.0,9255.1,,,13472.0,,,False,,,False,,
06003,0,0.0,,,,,,,0.0,,,,,,,,,,,,
06005,132,312.0,,,,362.3,,,180.0,,,,230.3,,,,,,False,,
06007,1784,1232.0,3471.9,,,3138.6,,,-552.0,1687.9,,,1354.6,,,False,,,False,,
06009,177,176.0,,,,282.9,,,-1.0,,,,105.9,,,,,,False,,
06011,179,312.0,,,,400.3,,,133.0,,,,221.3,,,,,,False,,
06013,8047,9728.0,16386.5,,,7125.9,,,1681.0,8339.5,,,-921.1,,,False,,,True,,
06015,48,88.0,,,,130.3,,,40.0,,,,82.3,,,,,,False,,
06017,451,736.0,2624.0,,,348.4,,,285.0,2173.0,,,-102.6,,,False,,,True,,
06019,11824,20736.0,33073.3,,,17420.4,,,8912.0,21249.3,,,5596.4,,,False,,,True,,
06021,273,280.0,,,,373.2,,,7.0,,,,100.2,,,,,,False,,
06023,236,392.0,406.2,,,246.5,,,156.0,170.2,,,10.5,,,False,,,True,,
06025,2354,2272.0,10714.6,,,899.7,,,-82.0,8360.6,,,-1454.3,,,False,,,False,,
06027,127,104.0,,,,88.1,,,-23.0,,,,-38.9,,,,,,False,,
06029,9717,21952.0,42718.8,,,29633.3,,,12235.0,33001.8,,,19916.3,,,False,,,False,,
06031,3325,584.0,1025.0,,,1314.2,,,-2741.0,-2300.0,,,-2010.8,,,True,,,True,,
06033,362,200.0,517.5,,,680.4,,,-162.0,155.5,,,318.4,,,True,,,False,,
06035,124,56.0,,,,2282.8,,,-68.0,,,,2158.8,,,,,,False,,
06037,66860,127368.0,204917.9,,,93150.7,,,60508.0,138057.9,,,26290.7,,,False,,,True,,
06039,2340,2872.0,5010.9,,,2949.6,,,532.0,2670.9,,,609.6,,,False,,,False,,
06041,1516,2344.0,9502.9,,,733.4,,,828.0,7986.9,,,-782.6,,,False,,,True,,
06043,16,48.0,,,,39.4,,,32.0,,,,23.4,,,,,,True,,
06045,608,544.0,775.5,,,895.1,,,-64.0,167.5,,,287.1,,,False,,,False,,
06047,4038,5816.0,12360.4,,,2960.9,,,1778.0,8322.4,,,-1077.1,,,False,,,True,,
06049,24,24.0,,,,,,,0.0,,,,,,,,,,,,
06051,16,88.0,,,,93.2,,,72.0,,,,77.2,,,,,,False,,
06053,5007,3320.0,6853.9,,,5595.2,,,-1687.0,1846.9,,,588.2,,,False,,,True,,
06055,691,1264.0,3123.8,,,1218.3,,,573.0,2432.8,,,527.3,,,False,,,True,,
06057,223,184.0,859.3,,,540.3,,,-39.0,636.3,,,317.3,,,False,,,False,,
06059,15281,17944.0,71531.9,,,7020.0,,,2663.0,56250.9,,,-8261.0,,,False,,,False,,
06061,1442,2192.0,5967.2,,,3459.3,,,750.0,4525.2,,,2017.3,,,False,,,False,,
06063,17,8.0,,,,29.4,,,-9.0,,,,12.4,,,,,,False,,
06065,19482,27528.0,59583.2,,,18465.3,,,8046.0,40101.2,,,-1016.7,,,False,,,True,,
06067,12060,7800.0,23523.7,,,2911.1,,,-4260.0,11463.7,,,-9148.9,,,False,,,False,,
06069,653,696.0,1465.4,,,524.5,,,43.0,812.4,,,-128.5,,,False,,,False,,
06071,20559,22048.0,36380.7,,,17557.2,,,1489.0,15821.7,,,-3001.8,,,False,,,False,,
06073,16421,21848.0,53868.1,,,14134.0,,,5427.0,37447.1,,,-2287.0,,,False,,,True,,
06075,3982,5672.0,7813.5,,,5532.3,,,1690.0,3831.5,,,1550.3,,,False,,,True,,
06077,8182,6560.0,15622.9,,,4326.0,,,-1622.0,7440.9,,,-3856.0,,,False,,,False,,
06079,1592,2480.0,6134.0,,,1412.6,,,888.0,4542.0,,,-179.4,,,False,,,True,,
06081,4097,4528.0,4539.1,,,6999.3,,,431.0,442.1,,,2902.3,,,False,,,False,,
06083,2545,4296.0,7184.9,,,4201.0,,,1751.0,4639.9,,,1656.0,,,False,,,True,,
06085,10259,9232.0,17924.2,,,6377.7,,,-1027.0,7665.2,,,-3881.3,,,False,,,False,,
06087,1246,688.0,3622.5,,,801.9,,,-558.0,2376.5,,,-444.1,,,False,,,True,,
06089,628,392.0,792.4,,,1097.5,,,-236.0,164.4,,,469.5,,,True,,,False,,
06091,3,8.0,,,,,,,5.0,,,,,,,,,,,,
06093,81,160.0,,,,75.3,,,79.0,,,,-5.7,,,,,,True,,
06095,2491,3344.0,,,,1462.5,,,853.0,,,,-1028.5,,,,,,False,,
06097,4321,3896.0,,,,2263.7,,,-425.0,,,,-2057.3,,,,,,False,,
06099,7137,5408.0,24245.1,,,8253.6,,,-1729.0,17108.1,,,1116.6,,,False,,,True,,
06101,847,1224.0,2067.8,,,855.4,,,377.0,1220.8,,,8.4,,,False,,,True,,
06103,346,336.0,306.5,,,975.3,,,-10.0,-39.5,,,629.3,,,False,,,False,,
06105,13,0.0,,,,,,,-13.0,,,,,,,,,,,,
06107,5924,8168.0,13694.9,,,7462.6,,,2244.0,7770.9,,,1538.6,,,False,,,True,,
06109,78,88.0,270.3,,,173.8,,,10.0,192.3,,,95.8,,,False,,,False,,
06111,4974,6416.0,22110.0,,,3704.0,,,1442.0,17136.0,,,-1270.0,,,False,,,True,,
06113,1177,1440.0,2272.2,,,582.3,,,263.0,1095.2,,,-594.7,,,False,,,False,,
06115,600,936.0,1839.6,,,611.5,,,336.0,1239.6,,,11.5,,,False,,,True,,
08001,3287,3360.0,2610.8,,,2950.8,,,73.0,-676.2,,,-336.2,,,False,,,False,,
08003,24,24.0,,,,21.5,,,0.0,,,,-2.5,,,,,,False,,
08005,2349,2832.0,1359.1,,,1696.1,,,483.0,-989.9,,,-652.9,,,False,,,False,,
08007,21,16.0,,,,,,,-5.0,,,,,,,,,,,,
08009,6,0.0,,,,1.0,,,-6.0,,,,-5.0,,,,,,True,,
08011,3,32.0,,,,,,,29.0,,,,,,,,,,,,
08013,2543,1088.0,1031.8,,,1149.3,,,-1455.0,-1511.2,,,-1393.7,,,False,,,True,,
08014,226,432.0,88.5,,,210.5,,,206.0,-137.5,,,-15.5,,,True,,,True,,
08015,37,128.0,,,,256.9,,,91.0,,,,219.9,,,,,,False,,
08017,6,0.0,,,,1.5,,,-6.0,,,,-4.5,,,,,,True,,
08019,17,24.0,,,,17.1,,,7.0,,,,0.1,,,,,,True,,
08021,15,0.0,,,,4.5,,,-15.0,,,,-10.5,,,,,,True,,
08023,11,0.0,,,,12.7,,,-11.0,,,,1.7,,,,,,True,,
08025,2,0.0,,,,1.5,,,-2.0,,,,-0.5,,,,,,True,,
08027,7,8.0,,,,10.5,,,1.0,,,,3.5,,,,,,False,,
08029,73,128.0,,,,69.5,,,55.0,,,,-3.5,,,,,,True,,
08031,3555,3840.0,2866.8,,,4558.3,,,285.0,-688.2,,,1003.3,,,False,,,False,,
08033,2,0.0,,,,,,,-2.0,,,,,,,,,,,,
08035,1035,816.0,1014.6,,,732.1,,,-219.0,-20.4,,,-302.9,,,True,,,False,,
08037,155,632.0,68.6,,,910.2,,,477.0,-86.4,,,755.2,,,True,,,False,,
08039,65,152.0,,,,143.0,,,87.0,,,,78.0,,,,,,True,,
08041,2180,3336.0,3604.4,,,2617.9,,,1156.0,1424.4,,,437.9,,,False,,,True,,
08043,56,104.0,,,,1579.6,,,48.0,,,,1523.6,,,,,,False,,
08045,203,472.0,1305.9,,,1031.9,,,269.0,1102.9,,,828.9,,,False,,,False,,
08047,3,0.0,,,,,,,-3.0,,,,,,,,,,,,
08049,37,24.0,,,,108.6,,,-13.0,,,,71.6,,,,,,False,,
08051,28,184.0,,,,115.1,,,156.0,,,,87.1,,,,,,True,,
08053,0,0.0,,,,,,,0.0,,,,,,,,,,,,
08055,17,16.0,,,,13.8,,,-1.0,,,,-3.2,,,,,,False,,
08057,1,8.0,,,,8.4,,,7.0,,,,7.4,,,,,,False,,
08059,1854,1960.0,739.8,,,1096.3,,,106.0,-1114.2,,,-757.7,,,False,,,False,,
08061,1,0.0,,,,,,,-1.0,,,,,,,,,,,,
08063,34,64.0,,,,27.7,,,30.0,,,,-6.3,,,,,,True,,
08065,23,56.0,,,,26.1,,,33.0,,,,3.1,,,,,,True,,
08067,71,72.0,141.8,,,32.7,,,1.0,70.8,,,-38.3,,,False,,,False,,
08069,1200,1240.0,855.1,,,716.9,,,40.0,-344.9,,,-483.1,,,False,,,False,,
08071,8,16.0,,,,,,,8.0,,,,,,,,,,,,
08073,10,16.0,,,,8.5,,,6.0,,,,-1.5,,,,,,True,,
08075,271,32.0,,,,9.5,,,-239.0,,,,-261.5,,,,,,False,,
08077,395,328.0,655.5,,,306.5,,,-67.0,260.5,,,-88.5,,,False,,,False,,
08079,2,0.0,,,,,,,-2.0,,,,,,,,,,,,
08081,18,16.0,,,,11.0,,,-2.0,,,,-7.0,,,,,,False,,
08083,35,32.0,,,,15.4,,,-3.0,,,,-19.6,,,,,,False,,
08085,90,152.0,,,,37.7,,,62.0,,,,-52.3,,,,,,True,,
08087,81,64.0,,,,66.7,,,-17.0,,,,-14.3,,,,,,True,,
08089,35,136.0,,,,103.4,,,101.0,,,,68.4,,,,,,True,,
08091,18,8.0,,,,2.3,,,-10.0,,,,-15.7,,,,,,False,,
08093,18,8.0,,,,7.3,,,-10.0,,,,-10.7,,,,,,False,,
08095,15,0.0,,,,5.5,,,-15.0,,,,-9.5,,,,,,True,,
08097,49,152.0,,,,151.0,,,103.0,,,,102.0,,,,,,True,,
08099,42,32.0,,,,20.9,,,-10.0,,,,-21.1,,,,,,False,,
08101,493,608.0,435.0,,,767.6,,,115.0,-58.0,,,274.6,,,True,,,False,,
08103,11,72.0,,,,25.6,,,61.0,,,,14.6,,,,,,True,,
08105,9,16.0,,,,42.5,,,7.0,,,,33.5,,,,,,False,,
08107,42,128.0,,,,82.4,,,86.0,,,,40.4,,,,,,True,,
08109,5,0.0,,,,41.2,,,-5.0,,,,36.2,,,,,,False,,
08111,4,0.0,,,,,,,-4.0,,,,,,,,,,,,
08113,11,96.0,,,,79.9,,,85.0,,,,68.9,,,,,,True,,
08115,4,0.0,,,,,,,-4.0,,,,,,,,,,,,
08117,155,40.0,,,,40.0,,,-115.0,,,,-115.0,,,,,,True,,
08119,56,88.0,,,,59.8,,,32.0,,,,3.8,,,,,,True,,
08121,22,0.0,,,,19.7,,,-22.0,,,,-2.3,,,,,,True,,
08123,1213,1368.0,539.6,,,1234.8,,,155.0,-673.4,,,21.8,,,False,,,True,,
08125,68,8.0,,,,14.7,,,-60.0,,,,-53.3,,,,,,True,,
09001,2444,1304.0,398.9,,,1203.6,,,-1140.0,-2045.1,,,-1240.4,,,False,,,False,,
09003,2235,928.0,632.9,,,2017.9,,,-1307.0,-1602.1,,,-217.1,,,False,,,True,,
09005,291,104.0,111.5,,,126.4,,,-187.0,-179.4,,,-164.6,,,True,,,True,,
09007,219,152.0,149.6,,,124.3,,,-67.0,-69.4,,,-94.7,,,False,,,False,,
09009,1440,832.0,1341.3,,,970.8,,,-608.0,-98.7,,,-469.2,,,True,,,True,,
09011,775,248.0,157.9,,,247.1,,,-527.0,-617.1,,,-527.9,,,False,,,False,,
09013,393,296.0,106.8,,,179.4,,,-97.0,-286.2,,,-213.6,,,False,,,False,,
