,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,29264,34071.0,32484.4,30480.0,36526.0,,31395.5,29102.0,30008.7,,32978.0,33146.2,35214.0,21897.3,32719.0,25311.1,31355.4,30662.0,,17756.3,22703.0,26239.4,34495.5,27789.9,27824.0,4807.0,3220.4,1216.0,7262.0,,2131.5,-162.0,744.7,,3714.0,3882.2,5950.0,-7366.7,3455.0,-3952.9,2091.4,1398.0,,-11507.7,-6561.0,-3024.6,5231.5,-1474.1,-1440.0,True,True,False,,True,True,True,,True,True,False,False,True,True,True,True,,False,False,True,False,True,True
Hawaii,2146,2685.0,2770.4,2664.0,1542.0,,2541.0,3043.0,4324.4,,,1509.2,3601.1,4285.5,4281.0,2005.2,2185.4,1888.0,,1465.0,388.4,3418.1,2362.8,1448.2,1861.0,539.0,624.4,518.0,-604.0,,395.0,897.0,2178.4,,,-636.8,1455.1,2139.5,2135.0,-140.8,39.4,-258.0,,-681.0,-1757.6,1272.1,216.8,-697.8,-285.0,False,True,False,,True,False,False,,,False,False,False,False,True,True,True,,False,False,False,True,False,True
Idaho,8535,5079.0,4956.7,5058.0,4269.0,,4883.4,4925.0,7552.3,,7266.0,5295.0,6676.6,5534.5,4594.0,4785.5,4209.4,7090.0,,1419.5,4786.5,4147.4,5224.5,6730.0,4345.0,-3456.0,-3578.3,-3477.0,-4266.0,,-3651.6,-3610.0,-982.7,,-1269.0,-3240.0,-1858.4,-3000.5,-3941.0,-3749.5,-4325.6,-1445.0,,-7115.4,-3748.5,-4387.6,-3310.5,-1805.0,-4190.0,False,False,False,,False,False,True,,True,True,True,True,False,False,False,True,,False,False,False,True,True,False
Illinois,40783,35691.0,35612.7,32953.0,49144.0,,33155.0,11668.0,37261.2,,39816.0,44080.9,44060.8,32262.6,67103.9,24971.7,30911.7,38767.0,,27665.5,64840.7,30506.2,36308.4,30824.8,31996.0,-5092.0,-5170.3,-7830.0,8361.0,,-7628.0,-29115.0,-3521.8,,-967.0,3297.9,3277.8,-8520.4,26320.9,-15811.3,-9871.3,-2016.0,,-13117.5,24057.7,-10276.8,-4474.6,-9958.2,-8787.0,False,False,False,,False,False,True,,True,True,True,False,False,False,False,True,,False,False,False,True,False,False
Indiana,19498,16800.0,17711.5,17582.0,19225.0,,18572.0,14511.0,18352.6,,15960.0,15368.6,19781.6,18284.3,21406.5,19007.7,18183.5,21905.0,,11777.8,28174.1,13455.9,17428.8,25481.1,14648.0,-2698.0,-1786.5,-1916.0,-273.0,,-926.0,-4987.0,-1145.4,,-3538.0,-4129.4,283.6,-1213.7,1908.5,-490.3,-1314.5,2407.0,,-7720.2,8676.1,-6042.1,-2069.2,5983.1,-4850.0,True,True,True,,True,False,True,,False,False,True,True,True,True,True,True,,False,False,False,True,False,False
Iowa,18096,13545.0,12497.4,12408.0,16141.0,,14323.2,16655.0,12951.7,,13835.0,10440.7,17611.0,9369.1,31242.6,10002.7,10992.3,14357.0,,8935.9,10281.6,10259.8,11755.7,8336.2,9580.0,-4551.0,-5598.6,-5688.0,-1955.0,,-3772.8,-1441.0,-5144.3,,-4261.0,-7655.3,-485.0,-8726.9,13146.6,-8093.3,-7103.7,-3739.0,,-9160.1,-7814.4,-7836.2,-6340.3,-9759.8,-8516.0,False,False,True,,True,True,False,,True,False,True,False,False,False,False,True,,False,False,False,False,False,False
Kansas,12067,9006.0,8800.7,8497.0,8460.0,,8171.9,10314.0,7076.3,,11527.0,7173.9,14187.2,9061.5,12989.9,4297.2,6862.1,7629.0,,4035.4,15243.5,6995.5,9352.9,4039.1,5700.0,-3061.0,-3266.3,-3570.0,-3607.0,,-3895.1,-1753.0,-4990.7,,-540.0,-4893.1,2120.2,-3005.5,922.9,-7769.8,-5204.9,-4438.0,,-8031.6,3176.5,-5071.5,-2714.1,-8027.9,-6367.0,False,False,False,,False,True,False,,True,False,True,True,True,False,False,False,,False,False,False,True,False,False
Kentucky,15586,11853.0,11628.7,12480.0,14607.0,,13654.0,12821.0,19493.6,,16964.0,14716.5,15731.7,12641.3,14362.8,10859.3,11818.4,13553.0,,8042.2,17091.3,8483.7,10558.6,12817.0,9256.0,-3733.0,-3957.3,-3106.0,-979.0,,-1932.0,-2765.0,3907.6,,1378.0,-869.5,145.7,-2944.7,-1223.2,-4726.7,-3767.6,-2033.0,,-7543.8,1505.3,-7102.3,-5027.4,-2769.0,-6330.0,False,True,True,,True,True,False,,True,True,True,True,True,False,False,True,,False,True,False,False,True,False
Louisiana,11227,14103.0,14125.8,12979.0,23666.0,,10322.1,9539.0,32606.7,,15262.0,8901.2,11324.4,6863.4,5203.1,12934.8,12873.9,15828.0,,6359.5,2260.7,14133.4,17383.4,13207.5,8181.0,2876.0,2898.8,1752.0,12439.0,,-904.9,-1688.0,21379.7,,4035.0,-2325.8,97.4,-4363.6,-6023.9,1707.8,1646.9,4601.0,,-4867.5,-8966.3,2906.4,6156.4,1980.5,-3046.0,False,True,False,,True,True,False,,False,True,True,False,False,True,True,False,,False,False,False,False,True,False
Maine,650,603.0,600.3,574.0,379.0,,528.0,221.0,534.5,,1162.0,691.5,827.8,915.9,597.1,466.0,555.1,731.0,,418.9,238.6,580.8,558.1,819.2,513.0,-47.0,-49.7,-76.0,-271.0,,-122.0,-429.0,-115.5,,512.0,41.5,177.8,265.9,-52.9,-184.0,-94.9,81.0,,-231.1,-411.4,-69.2,-91.9,169.2,-137.0,False,False,False,,False,False,False,,False,True,False,False,False,False,False,False,,False,False,False,False,False,False
Maryland,11286,11778.0,11736.4,10936.0,25240.0,,13109.1,1167.0,11528.4,,11473.0,13832.9,10501.8,11252.9,7973.4,9195.8,11804.4,13058.0,,8027.3,14343.8,10559.2,13862.8,11833.9,11784.0,492.0,450.4,-350.0,13954.0,,1823.1,-10119.0,242.4,,187.0,2546.9,-784.2,-33.1,-3312.6,-2090.2,518.4,1772.0,,-3258.7,3057.8,-726.8,2576.8,547.9,498.0,True,True,False,,False,False,True,,True,False,False,True,False,False,False,False,,False,False,False,False,False,False
Massachusetts,9763,7032.0,7056.2,6171.0,11830.0,,1939.0,230.0,6887.2,,5408.0,7524.5,264.8,6766.1,9503.2,5799.8,7096.1,3424.0,,3220.7,4149.0,5724.7,,18099.2,6395.0,-2731.0,-2706.8,-3592.0,2067.0,,-7824.0,-9533.0,-2875.8,,-4355.0,-2238.5,-9498.2,-2996.9,-259.8,-3963.2,-2666.9,-6339.0,,-6542.3,-5614.0,-4038.3,,8336.2,-3368.0,True,False,True,,False,False,False,,False,True,False,False,True,False,True,False,,False,False,False,,False,False
Michigan,18213,17601.0,17863.2,16218.0,31109.0,,15640.0,7054.0,12708.5,,16173.0,19900.3,16496.2,20863.2,17358.9,9973.9,13816.1,17000.0,,2687.5,24609.3,22917.5,13395.2,14371.2,19183.0,-612.0,-349.8,-1995.0,12896.0,,-2573.0,-11159.0,-5504.5,,-2040.0,1687.3,-1716.8,2650.2,-854.1,-8239.1,-4396.9,-1213.0,,-15525.5,6396.3,4704.5,-4817.8,-3841.8,970.0,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Minnesota,19199,11124.0,10909.7,10752.0,10527.0,,14118.3,2489.0,12964.6,,14751.0,9322.6,13630.4,11569.1,16814.5,8763.6,10546.2,11138.0,,9240.2,20237.2,8827.5,10784.0,9896.9,7609.0,-8075.0,-8289.3,-8447.0,-8672.0,,-5080.7,-16710.0,-6234.4,,-4448.0,-9876.4,-5568.6,-7629.9,-2384.5,-10435.4,-8652.8,-8061.0,,-9958.8,1038.2,-10371.5,-8415.0,-9302.1,-11590.0,False,False,False,,True,False,True,,True,False,True,True,True,False,False,True,,False,True,False,False,False,False
Mississippi,10547,9426.0,9918.7,7722.0,7450.0,,8488.3,7489.0,9366.2,,10766.0,7148.5,9122.4,7303.8,8270.0,6556.1,7604.1,7062.0,,5330.1,1830.8,6719.1,12263.4,5933.2,6405.0,-1121.0,-628.3,-2825.0,-3097.0,,-2058.7,-3058.0,-1180.8,,219.0,-3398.5,-1424.6,-3243.2,-2277.0,-3990.9,-2942.9,-3485.0,,-5216.9,-8716.2,-3827.9,1716.4,-4613.8,-4142.0,True,False,False,,False,False,False,,True,False,False,False,False,False,False,False,,False,False,False,False,False,False
Missouri,30340,27357.0,26326.5,25828.0,26114.0,,29907.5,22649.0,24887.9,,23112.0,34241.3,32740.0,19818.9,23714.7,30033.9,28047.3,36236.0,,17244.7,76243.5,19597.7,27578.2,36076.4,24522.0,-2983.0,-4013.5,-4512.0,-4226.0,,-432.5,-7691.0,-5452.1,,-7228.0,3901.3,2400.0,-10521.1,-6625.3,-306.1,-2292.7,5896.0,,-13095.3,45903.5,-10742.3,-2761.8,5736.4,-5818.0,False,False,False,,True,False,False,,False,False,True,False,False,True,True,False,,False,False,False,True,False,False
Montana,5431,2283.0,2223.8,2048.0,1679.0,,2461.1,1859.0,2263.5,,3276.0,2776.6,3455.9,2134.6,2632.1,1953.7,2009.0,2143.0,,1250.2,5452.7,1091.6,2396.6,2157.0,1943.0,-3148.0,-3207.2,-3383.0,-3752.0,,-2969.9,-3572.0,-3167.5,,-2155.0,-2654.4,-1975.1,-3296.4,-2798.9,-3477.3,-3422.0,-3288.0,,-4180.8,21.7,-4339.4,-3034.4,-3274.0,-3488.0,False,False,False,,True,False,False,,True,True,True,False,True,False,False,False,,False,True,False,True,False,False
Nebraska,9283,6945.0,7049.0,5428.0,5246.0,,6184.6,480.0,5094.7,,6133.0,8374.4,8286.0,4452.4,8088.7,4610.3,5336.1,7239.0,,3167.6,5313.2,6470.8,5430.2,5458.6,6388.0,-2338.0,-2234.0,-3855.0,-4037.0,,-3098.4,-8803.0,-4188.3,,-3150.0,-908.6,-997.0,-4830.6,-1194.3,-4672.7,-3946.9,-2044.0,,-6115.4,-3969.8,-2812.2,-3852.8,-3824.4,-2895.0,True,False,False,,False,False,False,,False,True,True,False,True,False,False,True,,False,False,False,False,False,False
Nevada,8488,6354.0,6289.3,5526.0,5125.0,,7025.6,5853.0,6627.4,,6047.0,3849.7,5893.3,3844.9,6426.8,4409.4,5034.9,4051.0,,3460.0,18997.4,5432.7,7505.9,4250.0,4254.0,-2134.0,-2198.7,-2962.0,-3363.0,,-1462.4,-2635.0,-1860.6,,-2441.0,-4638.3,-2594.7,-4643.1,-2061.2,-4078.6,-3453.1,-4437.0,,-5028.0,10509.4,-3055.3,-982.1,-4238.0,-4234.0,False,False,False,,True,False,True,,False,False,False,False,True,False,False,False,,False,False,False,True,False,False
New Hampshire,945,684.0,692.2,676.0,2622.0,,749.5,4.0,638.2,,624.0,1032.4,711.4,1056.5,106.5,638.0,780.1,1197.0,,568.5,64.4,668.7,839.0,1308.3,1126.0,-261.0,-252.8,-269.0,1677.0,,-195.5,-941.0,-306.8,,-321.0,87.4,-233.6,111.5,-838.5,-307.0,-164.9,252.0,,-376.5,-880.6,-276.3,-106.0,363.3,181.0,True,False,False,,True,False,False,,False,True,True,True,False,False,True,True,,False,False,False,True,False,True
New Jersey,11239,7770.0,7438.8,7905.0,20018.0,,5851.5,113.0,7069.9,,8438.0,10392.4,5881.4,13572.1,9140.2,5841.7,8329.9,7823.0,,8825.9,2404.1,9045.3,6861.7,5736.3,8312.0,-3469.0,-3800.2,-3334.0,8779.0,,-5387.5,-11126.0,-4169.1,,-2801.0,-846.6,-5357.6,2333.1,-2098.8,-5397.3,-2909.1,-3416.0,,-2413.1,-8834.9,-2193.7,-4377.3,-5502.7,-2927.0,False,True,False,,False,False,False,,True,True,False,True,True,False,True,True,,True,False,True,False,False,True
New Mexico,3635,1839.0,1805.6,1777.0,1360.0,,2131.3,1115.0,2072.8,,2594.0,1777.3,2280.0,2693.5,1325.8,1633.1,1926.3,1848.0,,1023.0,11161.5,1408.6,3157.0,1754.6,1364.0,-1796.0,-1829.4,-1858.0,-2275.0,,-1503.7,-2520.0,-1562.2,,-1041.0,-1857.7,-1355.0,-941.5,-2309.2,-2001.9,-1708.7,-1787.0,,-2612.0,7526.5,-2226.4,-478.0,-1880.4,-2271.0,False,False,False,,True,False,True,,True,False,True,True,False,False,True,True,,False,False,False,True,False,False
New York,19720,14604.0,14550.6,14401.0,23173.0,,9974.3,52.0,14568.1,,8056.0,18337.0,14000.7,21734.5,13935.9,11279.5,16034.7,15021.0,,12293.5,3248.2,16270.2,16488.0,16188.5,13867.0,-5116.0,-5169.4,-5319.0,3453.0,,-9745.7,-19668.0,-5151.9,,-11664.0,-1383.0,-5719.3,2014.5,-5784.1,-8440.5,-3685.3,-4699.0,,-7426.5,-16471.8,-3449.8,-3232.0,-3531.5,-5853.0,False,False,True,,False,False,False,,False,True,False,True,False,False,True,True,,False,False,True,True,True,False
North Carolina,27941,23769.0,22353.5,22425.0,21512.0,,23902.5,37478.0,23467.3,,27301.0,20597.8,28668.8,24110.7,23098.2,20294.3,22330.2,24414.0,,17560.7,62020.6,16394.1,27759.8,18532.8,15892.0,-4172.0,-5587.5,-5516.0,-6429.0,,-4038.5,9537.0,-4473.7,,-640.0,-7343.2,727.8,-3830.3,-4842.8,-7646.7,-5610.8,-3527.0,,-10380.3,34079.6,-11546.9,-181.2,-9408.2,-12049.0,False,False,False,,True,False,False,,True,False,True,True,False,False,False,True,,False,False,False,True,False,False
North Dakota,7983,5451.0,5336.9,5406.0,4586.0,,7757.6,35.0,5703.3,,4521.0,6541.8,5532.8,2249.2,9486.3,7311.5,5535.9,8841.0,,5793.9,4963.5,4508.1,6062.6,8922.6,4888.0,-2532.0,-2646.1,-2577.0,-3397.0,,-225.4,-7948.0,-2279.7,,-3462.0,-1441.2,-2450.2,-5733.8,1503.3,-671.5,-2447.1,858.0,,-2189.1,-3019.5,-3474.9,-1920.4,939.6,-3095.0,False,False,False,,True,False,True,,False,True,True,False,True,True,True,True,,True,False,False,True,True,False
Ohio,21398,20349.0,20657.3,19497.0,18897.0,,22470.0,16809.0,17435.4,,19580.0,24527.9,23221.5,24639.4,19454.8,16959.6,20937.5,23037.0,,10003.5,14582.9,13504.0,20169.6,20679.4,18394.0,-1049.0,-740.7,-1901.0,-2501.0,,1072.0,-4589.0,-3962.6,,-1818.0,3129.9,1823.5,3241.4,-1943.2,-4438.4,-460.5,1639.0,,-11394.5,-6815.1,-7894.0,-1228.4,-718.6,-3004.0,True,False,False,,False,False,False,,False,False,False,False,False,False,True,False,,False,False,False,False,True,False
Oklahoma,22089,16416.0,16476.2,14640.0,19947.0,,17301.7,11691.0,12487.2,,15197.0,21060.5,22114.6,14018.9,13554.9,13529.8,15993.0,20129.0,,10441.6,58074.5,11056.1,14297.0,17980.0,15186.0,-5673.0,-5612.8,-7449.0,-2142.0,,-4787.3,-10398.0,-9601.8,,-6892.0,-1028.5,25.6,-8070.1,-8534.1,-8559.2,-6096.0,-1960.0,,-11647.4,35985.5,-11032.9,-7792.0,-4109.0,-6903.0,True,False,True,,True,False,False,,False,True,True,False,False,False,False,True,,False,False,False,False,True,False
Oregon,5355,3900.0,3942.7,3878.0,4250.0,,3978.6,3483.0,3508.2,,3975.0,3932.0,5037.0,7269.5,4008.1,3143.1,3938.0,3505.0,,2371.6,10907.4,2668.9,4049.4,4256.3,3748.0,-1455.0,-1412.3,-1477.0,-1105.0,,-1376.4,-1872.0,-1846.8,,-1380.0,-1423.0,-318.0,1914.5,-1346.9,-2211.9,-1417.0,-1850.0,,-2983.4,5552.4,-2686.1,-1305.6,-1098.7,-1607.0,True,False,True,,True,False,False,,True,True,True,False,True,False,True,False,,False,False,False,True,True,False
Pennsylvania,17603,16065.0,16061.0,13001.0,22773.0,,16445.8,1446.0,10997.6,,13752.0,21336.1,15668.1,20035.8,13914.0,8064.9,13647.7,14651.0,,3318.7,39914.4,11680.5,15913.1,11652.1,17790.0,-1538.0,-1542.0,-4602.0,5170.0,,-1157.2,-16157.0,-6605.4,,-3851.0,3733.1,-1934.9,2432.8,-3689.0,-9538.1,-3955.3,-2952.0,,-14284.3,22311.4,-5922.5,-1689.9,-5950.9,187.0,False,False,False,,True,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,False,True
Rhode Island,2301,1986.0,2016.1,1446.0,1456.0,,1120.5,0.0,5268.6,,4882.0,1504.9,1418.1,3307.7,2759.8,869.9,1218.1,870.0,,1192.9,2549.8,2065.8,2229.6,1399.9,1490.0,-315.0,-284.9,-855.0,-845.0,,-1180.5,-2301.0,2967.6,,2581.0,-796.1,-882.9,1006.7,458.8,-1431.1,-1082.9,-1431.0,,-1108.1,248.8,-235.2,-71.4,-901.1,-811.0,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,False,True,True,True,False,False
South Carolina,20913,17067.0,17851.0,16187.0,15478.0,,19264.4,8206.0,17023.4,,15493.0,20967.2,17590.6,5975.3,9907.7,25651.9,19961.2,31981.0,,8613.3,35383.7,10839.6,20221.5,38172.6,14277.0,-3846.0,-3062.0,-4726.0,-5435.0,,-1648.6,-12707.0,-3889.6,,-5420.0,54.2,-3322.4,-14937.7,-11005.3,4738.9,-951.8,11068.0,,-12299.7,14470.7,-10073.4,-691.5,17259.6,-6636.0,True,False,False,,True,False,False,,False,True,True,False,False,False,True,False,,False,False,False,True,False,False
South Dakota,7549,4644.0,5122.9,4192.0,4284.0,,5600.6,131.0,5067.5,,5414.0,5548.3,5264.0,1092.5,8130.5,4112.2,4039.0,5605.0,,3026.9,9060.2,3706.4,3587.0,4117.8,2723.0,-2905.0,-2426.1,-3357.0,-3265.0,,-1948.4,-7418.0,-2481.5,,-2135.0,-2000.7,-2285.0,-6456.5,581.5,-3436.8,-3510.0,-1944.0,,-4522.1,1511.2,-3842.6,-3962.0,-3431.2,-4826.0,True,False,False,,True,False,True,,True,True,True,False,True,False,False,True,,False,True,False,False,False,False
Tennessee,28704,25587.0,25640.7,20686.0,68997.0,,24687.3,16939.0,21723.3,,22566.0,24091.0,34010.6,19046.9,18459.8,17233.7,20432.3,30693.0,,12720.4,68912.3,15852.0,26686.1,21976.2,19742.0,-3117.0,-3063.3,-8018.0,40293.0,,-4016.7,-11765.0,-6980.7,,-6138.0,-4613.0,5306.6,-9657.1,-10244.2,-11470.3,-8271.7,1989.0,,-15983.6,40208.3,-12852.0,-2017.9,-6727.8,-8962.0,True,False,False,,False,False,False,,False,False,False,False,False,False,False,True,,False,False,False,True,False,False
