,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Oklahoma,42950,33026.0,,,39613.0,40587.0,16280.6,12646.2,25415.1,24734.6,21358.0,-9924.0,,,-3337.0,-2363.0,-26669.4,-30303.8,-17534.9,-18215.4,-21592.0,,,True,True,False,False,False,False,False
Oregon,11493,14056.0,,,15391.0,9975.0,8461.3,10745.6,10016.4,12265.4,11939.0,2563.0,,,3898.0,-1518.0,-3031.7,-747.4,-1476.6,772.4,446.0,,,False,True,False,True,True,True,True
Pennsylvania,37707,41062.0,,,5644.0,22406.0,19314.1,25222.9,47244.5,37216.9,31697.0,3355.0,,,-32063.0,-15301.0,-18392.9,-12484.1,9537.5,-490.1,-6010.0,,,False,False,False,False,False,True,False
Rhode Island,4871,4179.0,,,11.0,2545.0,1201.0,1200.5,4442.4,3943.0,1693.0,-692.0,,,-4860.0,-2326.0,-3670.0,-3670.5,-428.6,-928.0,-3178.0,,,False,False,False,False,True,False,False
South Carolina,45009,44954.0,,,33443.0,38599.0,17493.0,21884.3,31906.4,17067.2,14983.0,-55.0,,,-11566.0,-6410.0,-27516.0,-23124.7,-13102.6,-27941.8,-30026.0,,,False,False,False,False,False,False,False
South Dakota,13868,4487.0,,,565.0,3355.0,3241.2,4358.7,8833.6,7998.9,4046.0,-9381.0,,,-13303.0,-10513.0,-10626.8,-9509.3,-5034.4,-5869.1,-9822.0,,,False,False,False,False,True,True,False
Tennessee,67848,78134.0,,,60758.0,65379.0,53811.2,43878.4,46504.0,46359.7,36179.0,10286.0,,,-7090.0,-2469.0,-14036.8,-23969.6,-21344.0,-21488.3,-31669.0,,,True,True,False,False,False,False,False
Texas,240250,342440.0,,,289534.0,394550.0,257593.0,133620.6,193336.8,180659.3,162910.0,102190.0,,,49284.0,154300.0,17343.0,-106629.4,-46913.2,-59590.7,-77340.0,,,True,False,True,False,True,True,True
Utah,29904,17990.0,,,12561.0,14361.0,10062.7,8045.3,18294.2,10751.4,8308.0,-11914.0,,,-17343.0,-15543.0,-19841.3,-21858.7,-11609.8,-19152.6,-21596.0,,,False,False,False,False,True,False,False
Vermont,269,385.0,,,18.0,218.0,208.4,118.9,407.2,963.5,449.0,116.0,,,-251.0,-51.0,-60.6,-150.1,138.2,694.5,180.0,,,False,True,True,False,False,False,False
Virginia,45053,45927.0,,,10723.0,31631.0,26444.0,23897.7,30700.8,32045.5,0.0,874.0,,,-34330.0,-13422.0,-18609.0,-21155.3,-14352.2,-13007.5,-45053.0,,,False,False,False,False,False,False,False
Washington,23709,30534.0,,,35620.0,19743.0,18090.8,20582.2,32109.0,20537.6,24028.0,6825.0,,,11911.0,-3966.0,-5618.2,-3126.8,8400.0,-3171.4,319.0,,,False,True,True,True,False,True,True
West Virginia,8019,6293.0,,,5626.0,4698.0,4109.1,3713.5,4313.4,7618.0,6727.0,-1726.0,,,-2393.0,-3321.0,-3909.9,-4305.5,-3705.6,-401.0,-1292.0,,,False,False,False,False,False,True,True
Wisconsin,65742,35861.0,,,24544.0,30534.0,22079.9,20252.7,11202.0,30785.7,20300.0,-29881.0,,,-41198.0,-35208.0,-43662.1,-45489.3,-54540.0,-34956.3,-45442.0,,,False,False,False,False,False,False,False
Wyoming,3146,1484.0,,,1167.0,1484.0,1271.2,740.8,1744.5,4357.4,1212.0,-1662.0,,,-1979.0,-1662.0,-1874.8,-2405.2,-1401.5,1211.4,-1934.0,,,False,False,False,False,True,True,False
US,2022769,2542652.0,1705942.0,1694664.7,1806516.0,2072326.0,1181795.8,1303683.1,1831083.4,1628769.1,1351176.0,519883.0,-316827.0,-328104.3,-216253.0,49557.0,-840973.2,-719085.9,-191685.6,-393999.9,-671593.0,True,True,True,True,False,False,True,True,False
