,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
02150,16,24.0,0.0,,,,,0.8,19.2,16.6,,,8.0,-16.0,,,,,-15.2,3.2,0.6,,,False,,,,,False,True,True,,
02158,6,0.0,0.0,,,,,,0.5,2.0,,,-6.0,-6.0,,,,,,-5.5,-4.0,,,False,,,,,,True,True,,
02164,20,0.0,0.0,,,,,,0.0,,,,-20.0,-20.0,,,,,,-20.0,,,,False,,,,,,False,,,
02170,237,312.0,390.0,,,,,252.9,256.1,235.9,,,75.0,153.0,,,,,15.9,19.1,-1.1,,,False,,,,,True,True,True,,
02180,53,36.0,0.0,,,,,3.1,37.2,,,,-17.0,-53.0,,,,,-49.9,-15.8,,,,False,,,,,False,True,,,
02185,119,54.0,,,,,,2.2,33.6,,,,-65.0,,,,,,-116.8,-85.4,,,,,,,,,False,False,,,
02188,78,108.0,0.0,,,,,7.8,39.8,,,,30.0,-78.0,,,,,-70.2,-38.2,,,,False,,,,,False,False,,,
02195,1,0.0,0.0,,,,,0.3,0.0,0.5,,,-1.0,-1.0,,,,,-0.7,-1.0,-0.5,,,False,,,,,True,True,True,,
02198,11,42.0,,,,,,2.1,7.0,,,,31.0,,,,,,-8.9,-4.0,,,,,,,,,True,True,,,
02220,20,18.0,0.0,,,,,3.0,1.1,10.5,,,-2.0,-20.0,,,,,-17.0,-18.9,-9.5,,,False,,,,,False,False,False,,
02230,0,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,0.0,,,,True,,,,,,True,,,
02240,11,0.0,0.0,,,,,1.0,5.5,,,,-11.0,-11.0,,,,,-10.0,-5.5,,,,False,,,,,True,True,,,
02261,13,60.0,0.0,,,,,7.8,26.5,,,,47.0,-13.0,,,,,-5.2,13.5,,,,True,,,,,True,True,,,
02275,4,6.0,0.0,,,,,,1.1,10.6,,,2.0,-4.0,,,,,,-2.9,6.6,,,False,,,,,,False,False,,
02282,17,0.0,0.0,,,,,,2.1,6.7,,,-17.0,-17.0,,,,,,-14.9,-10.3,,,False,,,,,,True,True,,
02290,18,54.0,0.0,,,,,13.4,11.9,,,,36.0,-18.0,,,,,-4.6,-6.1,,,,True,,,,,True,True,,,
04001,295,360.0,540.0,,,,188.0,58.8,69.6,331.0,,,65.0,245.0,,,,-107.0,-236.2,-225.4,36.0,,,False,,,,False,False,False,True,,
04003,131,186.0,130.0,,,,394.0,20.3,47.3,168.1,,,55.0,-1.0,,,,263.0,-110.7,-83.7,37.1,,,True,,,,False,False,False,True,,
04005,1054,414.0,286.0,,,,343.0,164.2,102.8,447.4,,,-640.0,-768.0,,,,-711.0,-889.8,-951.2,-606.6,,,False,,,,False,False,False,True,,
04007,376,456.0,201.0,,,,186.0,273.8,54.3,165.9,,,80.0,-175.0,,,,-190.0,-102.2,-321.7,-210.1,,,False,,,,False,False,False,False,,
04009,214,408.0,269.0,,,,83.0,253.5,171.0,421.9,,,194.0,55.0,,,,-131.0,39.5,-43.0,207.9,,,True,,,,True,True,True,False,,
04011,4,0.0,0.0,,,,8.0,9.0,8.4,9.5,,,-4.0,-4.0,,,,4.0,5.0,4.4,5.5,,,False,,,,False,False,False,False,,
04012,58,30.0,1.0,,,,115.0,0.8,9.2,29.7,,,-28.0,-57.0,,,,57.0,-57.2,-48.8,-28.3,,,False,,,,False,False,False,False,,
04013,11283,16920.0,19492.0,,,,14408.0,10072.7,2796.5,7711.1,,,5637.0,8209.0,,,,3125.0,-1210.3,-8486.5,-3571.9,,,False,,,,True,True,False,True,,
04015,571,816.0,544.0,,,,1412.0,314.1,202.4,295.5,,,245.0,-27.0,,,,841.0,-256.9,-368.6,-275.5,,,True,,,,False,False,False,False,,
04017,329,294.0,176.0,,,,244.0,85.9,104.8,465.3,,,-35.0,-153.0,,,,-85.0,-243.1,-224.2,136.3,,,False,,,,False,False,False,False,,
04019,5417,6798.0,3423.0,,,,3803.0,2339.7,1033.2,3708.9,,,1381.0,-1994.0,,,,-1614.0,-3077.3,-4383.8,-1708.1,,,False,,,,False,False,False,False,,
04021,1568,2790.0,10010.0,,,,2404.0,1475.9,1642.3,1909.1,,,1222.0,8442.0,,,,836.0,-92.1,74.3,341.1,,,False,,,,True,True,True,True,,
04023,176,228.0,112.0,,,,695.0,44.5,23.1,163.3,,,52.0,-64.0,,,,519.0,-131.5,-152.9,-12.7,,,False,,,,False,False,False,True,,
04025,374,606.0,280.0,,,,1168.0,316.9,139.0,308.8,,,232.0,-94.0,,,,794.0,-57.1,-235.0,-65.2,,,True,,,,False,True,False,True,,
04027,772,1140.0,764.0,,,,802.0,203.5,130.1,876.4,,,368.0,-8.0,,,,30.0,-568.5,-641.9,104.4,,,True,,,,True,False,False,True,,
05001,191,102.0,83.0,,,,218.0,30.9,156.3,103.3,,,-89.0,-108.0,,,,27.0,-160.1,-34.7,-87.7,,,False,,,,True,False,True,True,,
05003,75,144.0,49.0,,,,232.0,38.0,99.9,242.8,,,69.0,-26.0,,,,157.0,-37.0,24.9,167.8,,,True,,,,False,True,True,False,,
05005,290,156.0,444.0,,,,210.0,91.0,59.2,80.2,,,-134.0,154.0,,,,-80.0,-199.0,-230.8,-209.8,,,False,,,,True,False,False,False,,
05007,1806,996.0,1434.0,,,,1937.0,394.3,554.7,598.1,,,-810.0,-372.0,,,,131.0,-1411.7,-1251.3,-1207.9,,,True,,,,True,False,False,False,,
05009,539,192.0,95.0,,,,202.0,171.3,0.3,275.6,,,-347.0,-444.0,,,,-337.0,-367.7,-538.7,-263.4,,,False,,,,True,False,False,True,,
05011,94,198.0,156.0,,,,119.0,88.8,205.1,133.8,,,104.0,62.0,,,,25.0,-5.2,111.1,39.8,,,True,,,,True,True,False,True,,
05013,14,42.0,31.0,,,,48.0,,18.7,,,,28.0,17.0,,,,34.0,,4.7,,,,True,,,,False,,True,,,
05015,317,276.0,391.0,,,,141.0,69.2,66.5,235.4,,,-41.0,74.0,,,,-176.0,-247.8,-250.5,-81.6,,,False,,,,False,False,False,False,,
05017,78,96.0,182.0,,,,181.0,7.4,35.6,401.6,,,18.0,104.0,,,,103.0,-70.6,-42.4,323.6,,,False,,,,False,False,False,False,,
05019,175,120.0,52.0,,,,200.0,15.1,39.0,67.5,,,-55.0,-123.0,,,,25.0,-159.9,-136.0,-107.5,,,False,,,,True,False,False,False,,
05021,170,102.0,114.0,,,,100.0,67.8,221.7,162.2,,,-68.0,-56.0,,,,-70.0,-102.2,51.7,-7.8,,,True,,,,False,False,True,True,,
05023,118,138.0,292.0,,,,217.0,41.0,3.0,61.4,,,20.0,174.0,,,,99.0,-77.0,-115.0,-56.6,,,False,,,,False,False,False,False,,
05025,63,60.0,53.0,,,,53.0,6.0,11.5,157.7,,,-3.0,-10.0,,,,-10.0,-57.0,-51.5,94.7,,,False,,,,False,False,False,False,,
05027,272,192.0,182.0,,,,269.0,86.5,98.8,110.3,,,-80.0,-90.0,,,,-3.0,-185.5,-173.2,-161.7,,,False,,,,True,False,False,False,,
05029,106,156.0,242.0,,,,243.0,80.9,71.5,99.5,,,50.0,136.0,,,,137.0,-25.1,-34.5,-6.5,,,False,,,,False,True,True,True,,
05031,1552,1212.0,1908.0,,,,938.0,430.6,248.0,807.1,,,-340.0,356.0,,,,-614.0,-1121.4,-1304.0,-744.9,,,False,,,,False,False,False,False,,
05033,716,696.0,825.0,,,,602.0,283.2,418.6,610.8,,,-20.0,109.0,,,,-114.0,-432.8,-297.4,-105.2,,,False,,,,False,False,False,False,,
05035,442,618.0,361.0,,,,536.0,194.9,427.7,660.5,,,176.0,-81.0,,,,94.0,-247.1,-14.3,218.5,,,True,,,,True,False,True,False,,
05037,237,96.0,99.0,,,,117.0,16.3,38.1,78.8,,,-141.0,-138.0,,,,-120.0,-220.7,-198.9,-158.2,,,True,,,,True,False,False,False,,
05039,83,120.0,72.0,,,,77.0,71.7,0.0,93.9,,,37.0,-11.0,,,,-6.0,-11.3,-83.0,10.9,,,True,,,,True,True,False,True,,
05041,96,60.0,12.0,,,,156.0,24.9,31.3,61.6,,,-36.0,-84.0,,,,60.0,-71.1,-64.7,-34.4,,,False,,,,False,False,False,True,,
05043,69,252.0,453.0,,,,226.0,82.8,34.7,139.0,,,183.0,384.0,,,,157.0,13.8,-34.3,70.0,,,False,,,,True,True,True,True,,
05045,1194,660.0,1126.0,,,,921.0,506.8,469.6,513.0,,,-534.0,-68.0,,,,-273.0,-687.2,-724.4,-681.0,,,True,,,,True,False,False,False,,
05047,172,60.0,38.0,,,,143.0,14.0,33.1,126.1,,,-112.0,-134.0,,,,-29.0,-158.0,-138.9,-45.9,,,False,,,,True,False,False,True,,
05049,141,48.0,45.0,,,,51.0,34.1,27.9,30.2,,,-93.0,-96.0,,,,-90.0,-106.9,-113.1,-110.8,,,False,,,,True,False,False,False,,
05051,731,714.0,425.0,,,,1036.0,572.9,345.6,706.3,,,-17.0,-306.0,,,,305.0,-158.1,-385.4,-24.7,,,False,,,,False,False,False,False,,
05053,114,96.0,70.0,,,,155.0,40.2,83.4,49.3,,,-18.0,-44.0,,,,41.0,-73.8,-30.6,-64.7,,,False,,,,False,False,False,False,,
05055,376,258.0,58.0,,,,341.0,159.8,166.7,211.8,,,-118.0,-318.0,,,,-35.0,-216.2,-209.3,-164.2,,,False,,,,True,False,False,False,,
05057,101,228.0,171.0,,,,254.0,181.9,140.9,345.6,,,127.0,70.0,,,,153.0,80.9,39.9,244.6,,,True,,,,False,True,True,False,,
05059,270,336.0,506.0,,,,438.0,87.7,173.8,117.9,,,66.0,236.0,,,,168.0,-182.3,-96.2,-152.1,,,False,,,,False,False,False,False,,
05061,114,132.0,60.0,,,,130.0,20.6,48.6,43.0,,,18.0,-54.0,,,,16.0,-93.4,-65.4,-71.0,,,False,,,,True,False,False,False,,
05063,534,432.0,367.0,,,,388.0,199.5,40.3,580.9,,,-102.0,-167.0,,,,-146.0,-334.5,-493.7,46.9,,,False,,,,False,False,False,True,,
05065,190,96.0,154.0,,,,65.0,30.1,44.8,112.9,,,-94.0,-36.0,,,,-125.0,-159.9,-145.2,-77.1,,,True,,,,False,False,False,True,,
05067,250,282.0,162.0,,,,190.0,705.1,0.0,291.5,,,32.0,-88.0,,,,-60.0,455.1,-250.0,41.5,,,False,,,,False,False,False,False,,
05069,1631,1266.0,1279.0,,,,943.0,1235.3,145.6,1179.9,,,-365.0,-352.0,,,,-688.0,-395.7,-1485.4,-451.1,,,True,,,,False,False,False,False,,
05071,142,282.0,153.0,,,,289.0,50.4,146.4,170.8,,,140.0,11.0,,,,147.0,-91.6,4.4,28.8,,,True,,,,False,True,True,True,,
05073,56,36.0,19.0,,,,53.0,23.3,20.7,24.5,,,-20.0,-37.0,,,,-3.0,-32.7,-35.3,-31.5,,,False,,,,True,False,False,False,,
05075,247,60.0,47.0,,,,121.0,7.9,9.8,71.0,,,-187.0,-200.0,,,,-126.0,-239.1,-237.2,-176.0,,,False,,,,True,False,False,True,,
05077,88,540.0,0.0,,,,189.0,5.8,410.5,560.0,,,452.0,-88.0,,,,101.0,-82.2,322.5,472.0,,,True,,,,True,True,True,False,,
05079,712,504.0,,,,,259.0,27.2,192.7,424.1,,,-208.0,,,,,-453.0,-684.8,-519.3,-287.9,,,,,,,False,False,False,False,,
05081,117,234.0,212.0,,,,112.0,165.8,85.9,490.8,,,117.0,95.0,,,,-5.0,48.8,-31.1,373.8,,,True,,,,True,True,True,False,,
05083,96,78.0,35.0,,,,227.0,19.3,190.6,422.6,,,-18.0,-61.0,,,,131.0,-76.7,94.6,326.6,,,False,,,,False,False,False,False,,
05085,660,468.0,512.0,,,,545.0,291.3,320.4,519.1,,,-192.0,-148.0,,,,-115.0,-368.7,-339.6,-140.9,,,True,,,,True,False,False,True,,
05087,89,54.0,40.0,,,,96.0,4.6,0.0,111.2,,,-35.0,-49.0,,,,7.0,-84.4,-89.0,22.2,,,False,,,,True,False,False,True,,
05089,66,48.0,75.0,,,,72.0,21.1,20.8,23.4,,,-18.0,9.0,,,,6.0,-44.9,-45.2,-42.6,,,True,,,,True,False,False,False,,
05091,334,180.0,99.0,,,,423.0,84.5,65.7,103.7,,,-154.0,-235.0,,,,89.0,-249.5,-268.3,-230.3,,,False,,,,True,False,False,False,,
05093,513,696.0,245.0,,,,515.0,606.0,281.4,709.0,,,183.0,-268.0,,,,2.0,93.0,-231.6,196.0,,,False,,,,True,True,False,False,,
05095,55,96.0,82.0,,,,101.0,64.5,44.6,52.1,,,41.0,27.0,,,,46.0,9.5,-10.4,-2.9,,,True,,,,False,True,True,True,,
05097,111,90.0,116.0,,,,59.0,15.2,15.8,,,,-21.0,5.0,,,,-52.0,-95.8,-95.2,,,,True,,,,False,False,False,,,
05099,76,54.0,0.0,,,,99.0,6.5,41.0,46.3,,,-22.0,-76.0,,,,23.0,-69.5,-35.0,-29.7,,,False,,,,False,False,False,False,,
05101,143,6.0,0.0,,,,57.0,0.0,3.3,,,,-137.0,-143.0,,,,-86.0,-143.0,-139.8,,,,False,,,,True,False,False,,,
