,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Indiana,38742,33846.0,22662.4,19627.0,34563.0,,30264.0,8356.0,21434.5,5037.9,13584.0,28822.0,39280.2,36643.8,20104.0,17332.7,16536.0,,21336.2,9929.7,22019.4,19706.4,25523.6,23932.0,-4896.0,-16079.6,-19115.0,-4179.0,,-8478.0,-30386.0,-17307.5,-33704.1,-25158.0,-9920.0,538.2,-2098.2,-18638.0,-21409.3,-22206.0,,-17405.8,-28812.3,-16722.6,-19035.6,-13218.4,-14810.0,False,False,True,,False,False,False,False,False,False,True,True,False,False,False,,False,False,False,False,False,False
Iowa,36305,23586.0,15723.1,13523.0,46776.0,,22162.9,3126.0,10670.0,4384.5,7629.0,19797.0,16275.6,15918.1,15716.9,13743.7,15605.0,,20740.5,4162.2,29242.4,11198.9,28616.3,20121.0,-12719.0,-20581.9,-22782.0,10471.0,,-14142.1,-33179.0,-25635.0,-31920.5,-28676.0,-16508.0,-20029.4,-20386.9,-20588.1,-22561.3,-20700.0,,-15564.5,-32142.8,-7062.6,-25106.1,-7688.7,-16184.0,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,True,False
Kansas,23337,21018.0,14196.1,12042.0,33579.0,,16862.6,14181.0,9554.3,3373.3,8226.0,22608.0,21061.6,15868.7,12982.3,12659.8,15462.0,,12696.3,10462.3,11852.6,12526.2,22501.1,19119.0,-2319.0,-9140.9,-11295.0,10242.0,,-6474.4,-9156.0,-13782.7,-19963.7,-15111.0,-729.0,-2275.4,-7468.3,-10354.7,-10677.2,-7875.0,,-10640.7,-12874.7,-11484.4,-10810.8,-835.9,-4218.0,False,False,False,,False,False,False,False,False,True,True,False,False,False,False,,False,False,False,False,True,False
Kentucky,28935,24816.0,16387.2,15023.0,34927.0,,20518.5,21846.0,19032.4,4099.9,12835.0,26074.0,26870.9,22837.2,8980.8,11788.7,12891.0,,5303.5,13088.3,23715.9,12706.8,14503.6,24918.0,-4119.0,-12547.8,-13912.0,5992.0,,-8416.5,-7089.0,-9902.6,-24835.1,-16100.0,-2861.0,-2064.1,-6097.8,-19954.2,-17146.3,-16044.0,,-23631.5,-15846.7,-5219.1,-16228.2,-14431.4,-4017.0,False,False,False,,False,False,False,False,False,True,True,False,False,False,False,,False,False,False,False,False,True
Louisiana,25681,29898.0,18754.7,14878.0,19085.0,,11600.4,33346.0,45399.1,2047.9,12041.0,41588.0,18603.2,14012.6,19277.0,12580.2,7141.0,,19669.7,20909.9,23170.9,,10828.1,9178.0,4217.0,-6926.3,-10803.0,-6596.0,,-14080.6,7665.0,19718.1,-23633.1,-13640.0,15907.0,-7077.8,-11668.4,-6404.0,-13100.8,-18540.0,,-6011.3,-4771.1,-2510.1,,-14852.9,-16503.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,,False,False
Maine,1167,1044.0,669.0,585.0,2133.0,,921.4,211.0,560.4,212.0,321.0,876.0,1667.2,363.3,573.6,662.5,988.0,,404.7,885.9,821.8,659.3,2452.6,2268.0,-123.0,-498.0,-582.0,966.0,,-245.6,-956.0,-606.6,-955.0,-846.0,-291.0,500.2,-803.7,-593.4,-504.5,-179.0,,-762.3,-281.1,-345.2,-507.7,1285.6,1101.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Maryland,23296,22980.0,14307.5,12523.0,24297.0,,16276.4,3573.0,18550.5,2957.0,8265.0,20587.0,19926.8,15099.0,13948.4,11930.2,9026.0,,17254.2,23318.9,27176.8,,15789.8,13259.0,-316.0,-8988.5,-10773.0,1001.0,,-7019.6,-19723.0,-4745.5,-20339.0,-15031.0,-2709.0,-3369.2,-8197.0,-9347.6,-11365.8,-14270.0,,-6041.8,22.9,3880.8,,-7506.2,-10037.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,,False,False
Massachusetts,16456,12966.0,9009.8,5316.0,353.0,,12095.2,3034.0,10840.3,1549.4,2743.0,39427.0,8934.5,19598.3,4668.7,4716.0,5485.0,,5600.5,1263.0,19099.5,,288.3,9873.0,-3490.0,-7446.2,-11140.0,-16103.0,,-4360.8,-13422.0,-5615.7,-14906.6,-13713.0,22971.0,-7521.5,3142.3,-11787.3,-11740.0,-10971.0,,-10855.5,-15193.0,2643.5,,-16167.7,-6583.0,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,,False,False,True,,False,False
Michigan,35227,25572.0,17030.4,17605.0,27248.0,,24790.5,12766.0,25417.8,4432.8,10106.0,25718.0,45670.9,27585.2,18213.0,15086.9,12359.0,,20872.6,20729.4,32506.3,,29232.4,12948.0,-9655.0,-18196.6,-17622.0,-7979.0,,-10436.5,-22461.0,-9809.2,-30794.2,-25121.0,-9509.0,10443.9,-7641.8,-17014.0,-20140.1,-22868.0,,-14354.4,-14497.6,-2720.7,,-5994.6,-22279.0,False,False,True,,False,False,False,False,False,True,False,True,False,False,False,,False,False,True,,True,False
Minnesota,33920,26724.0,17757.8,16768.0,35345.0,,21682.1,4283.0,15496.1,4415.5,9681.0,27607.0,23893.6,20971.4,18432.4,14567.6,11962.0,,18649.6,3258.8,29071.8,14386.4,33636.6,23487.0,-7196.0,-16162.2,-17152.0,1425.0,,-12237.9,-29637.0,-18423.9,-29504.5,-24239.0,-6313.0,-10026.4,-12948.6,-15487.6,-19352.4,-21958.0,,-15270.4,-30661.2,-4848.2,-19533.6,-283.4,-10433.0,False,False,True,,False,False,False,False,False,True,False,False,False,False,False,,False,False,True,False,True,False
Mississippi,22899,33078.0,22792.0,16807.0,42695.0,,18520.4,20453.0,17956.2,5501.3,16411.0,26789.0,19120.8,16154.4,20960.8,17242.2,13998.0,,15964.2,12338.6,38660.1,18514.5,25548.7,10690.0,10179.0,-107.0,-6092.0,19796.0,,-4378.6,-2446.0,-4942.8,-17397.7,-6488.0,3890.0,-3778.2,-6744.6,-1938.2,-5656.8,-8901.0,,-6934.8,-10560.4,15761.1,-4384.5,2649.7,-12209.0,True,True,False,,True,True,True,False,True,True,True,True,True,True,True,,True,False,False,True,True,False
Missouri,57678,47688.0,25893.9,25271.0,57280.0,,34566.7,38613.0,28681.5,7542.6,21314.0,40040.0,43661.1,32498.7,23934.3,24246.4,23824.0,,25219.3,28605.8,18630.8,22496.5,28613.5,31944.0,-9990.0,-31784.1,-32407.0,-398.0,,-23111.3,-19065.0,-28996.5,-50135.4,-36364.0,-17638.0,-14016.9,-25179.3,-33743.7,-33431.6,-33854.0,,-32458.7,-29072.2,-39047.2,-35181.5,-29064.5,-25734.0,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Montana,7980,4302.0,2854.9,2603.0,3644.0,,4389.6,3829.0,3193.0,706.9,2165.0,7244.0,4632.6,4286.5,2686.7,2238.4,1821.0,,1718.5,6462.7,2282.6,2703.2,3417.8,3707.0,-3678.0,-5125.1,-5377.0,-4336.0,,-3590.4,-4151.0,-4787.0,-7273.1,-5815.0,-736.0,-3347.4,-3693.5,-5293.3,-5741.6,-6159.0,,-6261.5,-1517.3,-5697.4,-5276.8,-4562.2,-4273.0,False,False,False,,True,False,False,False,False,True,True,False,False,False,False,,False,True,False,False,False,False
Nebraska,15623,9234.0,6201.8,5618.0,8887.0,,8442.8,1412.0,5374.9,1500.6,3754.0,10185.0,8214.3,14787.5,4016.6,4759.6,4208.0,,5191.0,4745.8,9452.3,6273.9,4679.6,5091.0,-6389.0,-9421.2,-10005.0,-6736.0,,-7180.2,-14211.0,-10248.1,-14122.4,-11869.0,-5438.0,-7408.7,-835.5,-11606.4,-10863.4,-11415.0,,-10432.0,-10877.2,-6170.7,-9349.1,-10943.4,-10532.0,False,False,False,,False,False,False,False,False,True,False,True,False,False,False,,False,False,True,False,False,False
Nevada,16639,26766.0,18083.5,14195.0,25075.0,,15442.0,24653.0,14903.2,3653.0,9487.0,21441.0,12830.8,17378.0,14406.8,11580.1,9337.0,,14437.4,14967.9,23478.4,16189.7,13208.7,13134.0,10127.0,1444.5,-2444.0,8436.0,,-1197.0,8014.0,-1735.8,-12986.0,-7152.0,4802.0,-3808.2,739.0,-2232.2,-5058.9,-7302.0,,-2201.6,-1671.1,6839.4,-449.3,-3430.3,-3505.0,True,True,True,,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,True,True,True
New Hampshire,1503,684.0,467.4,436.0,785.0,,577.5,20.0,677.5,119.4,349.0,716.0,1565.4,149.4,343.9,372.3,273.0,,449.4,104.9,641.1,1052.8,543.5,344.0,-819.0,-1035.6,-1067.0,-718.0,,-925.5,-1483.0,-825.5,-1383.6,-1154.0,-787.0,62.4,-1353.6,-1159.1,-1130.7,-1230.0,,-1053.6,-1398.1,-861.9,-450.2,-959.5,-1159.0,False,False,True,,False,False,False,False,False,True,True,False,False,False,False,,False,False,False,True,False,False
New Jersey,18230,11424.0,7463.4,8053.0,17559.0,,13750.5,247.0,12220.6,1831.7,3073.0,10579.0,18717.7,15706.0,5220.8,5969.4,5767.0,,21161.0,2329.1,10189.8,,10442.4,4728.0,-6806.0,-10766.6,-10177.0,-671.0,,-4479.5,-17983.0,-6009.4,-16398.3,-15157.0,-7651.0,487.7,-2524.0,-13009.2,-12260.6,-12463.0,,2931.0,-15900.9,-8040.2,,-7787.6,-13502.0,False,False,True,,True,False,True,False,False,False,True,True,False,False,False,,True,False,False,,False,False
New Mexico,5994,6000.0,3959.7,3344.0,5352.0,,2456.9,3421.0,3707.8,988.6,2226.0,6239.0,5951.1,3141.3,3907.3,3268.0,2277.0,,4610.9,5875.8,4138.7,4410.6,6285.8,3162.0,6.0,-2034.3,-2650.0,-642.0,,-3537.1,-2573.0,-2286.2,-5005.4,-3768.0,245.0,-42.9,-2852.7,-2086.7,-2726.0,-3717.0,,-1383.1,-118.2,-1855.3,-1583.4,291.8,-2832.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
New York,34195,25584.0,17231.8,15682.0,30049.0,,19662.3,180.0,27056.4,4419.4,8568.0,11557.0,50138.3,25077.7,13733.4,15383.3,12829.0,,22884.6,213.2,16270.0,,24517.0,21287.0,-8611.0,-16963.2,-18513.0,-4146.0,,-14532.7,-34015.0,-7138.6,-29775.6,-25627.0,-22638.0,15943.3,-9117.3,-20461.6,-18811.7,-21366.0,,-11310.4,-33981.8,-17925.0,,-9678.0,-12908.0,False,False,True,,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,,False,False
North Carolina,57997,59616.0,39548.5,35741.0,103488.0,,40763.3,79472.0,28317.2,10164.8,25503.0,50094.0,47491.5,38267.4,41028.2,35723.4,29884.0,,40340.9,44212.0,47309.4,37369.3,86214.9,34461.0,1619.0,-18448.5,-22256.0,45491.0,,-17233.7,21475.0,-29679.8,-47832.2,-32494.0,-7903.0,-10505.5,-19729.6,-16968.8,-22273.6,-28113.0,,-17656.1,-13785.0,-10687.6,-20627.7,28217.9,-23536.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
North Dakota,13398,7752.0,5145.1,4855.0,15590.0,,7230.4,195.0,4682.2,1308.7,2593.0,6117.0,4001.7,5462.5,6269.8,4879.5,5902.0,,6905.2,2770.7,8428.4,5369.2,14023.4,8418.0,-5646.0,-8252.9,-8543.0,2192.0,,-6167.6,-13203.0,-8715.8,-12089.3,-10805.0,-7281.0,-9396.3,-7935.5,-7128.2,-8518.5,-7496.0,,-6492.8,-10627.3,-4969.6,-8028.8,625.4,-4980.0,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,True,True
Ohio,43801,38946.0,26434.0,21922.0,43360.0,,25693.7,29341.0,21869.6,6495.8,16082.0,38948.0,55818.4,29848.2,20350.9,21131.6,15684.0,,22487.2,3092.3,37334.2,22486.4,27630.5,26823.0,-4855.0,-17367.0,-21879.0,-441.0,,-18107.3,-14460.0,-21931.4,-37305.2,-27719.0,-4853.0,12017.4,-13952.8,-23450.1,-22669.4,-28117.0,,-21313.8,-40708.7,-6466.8,-21314.6,-16170.5,-16978.0,False,False,True,,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,False
Oklahoma,38149,28806.0,17720.3,16914.0,47992.0,,18088.0,25820.0,14808.2,4767.3,12269.0,30465.0,30939.6,17412.4,19638.5,14233.7,13498.0,,13037.3,16504.5,24445.9,15972.2,31962.4,20121.0,-9343.0,-20428.7,-21235.0,9843.0,,-20061.0,-12329.0,-23340.8,-33381.7,-25880.0,-7684.0,-7209.4,-20736.6,-18510.5,-23915.3,-24651.0,,-25111.7,-21644.5,-13703.1,-22176.8,-6186.6,-18028.0,False,False,False,,False,False,False,False,False,True,True,False,False,False,False,,False,False,False,False,True,False
Oregon,9801,10152.0,6775.4,5969.0,9137.0,,8476.0,16248.0,5649.9,1345.2,4489.0,7838.0,17857.9,8801.7,6459.7,5601.1,4088.0,,6295.7,11158.5,9089.5,5988.6,7773.6,8979.0,351.0,-3025.6,-3832.0,-664.0,,-1325.0,6447.0,-4151.1,-8455.8,-5312.0,-1963.0,8056.9,-999.3,-3341.3,-4199.9,-5713.0,,-3505.3,1357.5,-711.5,-3812.4,-2027.4,-822.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Pennsylvania,33078,27774.0,18021.6,15494.0,23698.0,,23171.0,4017.0,20354.3,4614.5,9255.0,19144.0,47788.9,19232.7,15138.5,16030.2,12284.0,,17114.6,14536.9,21976.8,18082.2,19751.0,19282.0,-5304.0,-15056.4,-17584.0,-9380.0,,-9907.0,-29061.0,-12723.7,-28463.5,-23823.0,-13934.0,14710.9,-13845.3,-17939.5,-17047.8,-20794.0,,-15963.4,-18541.1,-11101.2,-14995.8,-13327.0,-13796.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Rhode Island,4184,4122.0,2884.8,2010.0,2978.0,,2910.4,5.0,4241.8,665.5,998.0,7974.0,3017.6,5298.4,1417.6,1693.0,1705.0,,1580.7,178.5,4956.9,,3173.8,1904.0,-62.0,-1299.2,-2174.0,-1206.0,,-1273.6,-4179.0,57.8,-3518.5,-3186.0,3790.0,-1166.4,1114.4,-2766.4,-2491.0,-2479.0,,-2603.3,-4005.5,772.9,,-1010.2,-2280.0,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,,False,False
South Carolina,39596,32478.0,20997.5,16806.0,28922.0,,16137.5,20147.0,16428.5,4827.2,14364.0,26792.0,16573.4,21423.7,20231.0,17348.6,10959.0,,16764.6,25207.1,27854.1,21961.4,23779.7,14858.0,-7118.0,-18598.5,-22790.0,-10674.0,,-23458.5,-19449.0,-23167.5,-34768.8,-25232.0,-12804.0,-23022.6,-18172.3,-19365.0,-22247.4,-28637.0,,-22831.4,-14388.9,-11741.9,-17634.6,-15816.3,-24738.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
South Dakota,12851,6102.0,4041.4,4056.0,9481.0,,7361.1,416.0,3167.2,1293.8,1466.0,4272.0,1877.3,5078.0,4698.8,4205.3,5375.0,,7097.5,865.3,9387.8,1941.1,15567.5,8991.0,-6749.0,-8809.6,-8795.0,-3370.0,,-5489.9,-12435.0,-9683.8,-11557.2,-11385.0,-8579.0,-10973.7,-7773.0,-8152.2,-8645.7,-7476.0,,-5753.5,-11985.7,-3463.2,-10909.9,2716.5,-3860.0,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,,True,False,True,False,True,True
Tennessee,57512,62016.0,44217.6,32621.0,59503.0,,28125.8,38414.0,37097.2,10346.2,29579.0,49757.0,45689.7,33643.6,44156.0,27752.9,21673.0,,44520.6,26969.3,40019.3,34656.8,44025.6,29881.0,4504.0,-13294.4,-24891.0,1991.0,,-29386.2,-19098.0,-20414.8,-47165.8,-27933.0,-7755.0,-11822.3,-23868.4,-13356.0,-29759.1,-35839.0,,-12991.4,-30542.7,-17492.7,-22855.2,-13486.4,-27631.0,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
