,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01021,66,114.0,108.3,,100.0,208.0,,,,,,132.4,,,168.0,,103.9,45.0,,48.7,72.4,,213.0,23.0,,63.7,,96.3,,,,,172.2,38.0,48.0,42.3,,34.0,142.0,,,,,,66.4,,,102.0,,37.9,-21.0,,-17.3,6.4,,147.0,-43.0,,-2.3,,30.3,,,,,106.2,-28.0,True,,True,False,,,,,,False,,,False,,True,True,,True,True,,False,True,,True,,True,,,,,False,True
01023,15,3.0,2.9,,4.0,2.0,,,,,,6.8,,,25.0,,5.6,4.6,,4.7,10.0,,,14.0,,9.4,,3.5,,,,,6.1,6.6,-12.0,-12.1,,-11.0,-13.0,,,,,,-8.2,,,10.0,,-9.4,-10.4,,-10.3,-5.0,,,-1.0,,-5.6,,-11.5,,,,,-8.9,-8.4,False,,True,False,,,,,,True,,,True,,True,True,,True,True,,,True,,True,,True,,,,,True,True
01025,60,42.0,38.9,,37.0,29.0,,,,,,44.3,,,76.0,,49.8,12.1,,22.1,35.3,,,57.0,,4.5,,41.7,,,,,28.8,1.7,-18.0,-21.1,,-23.0,-31.0,,,,,,-15.7,,,16.0,,-10.2,-47.9,,-37.9,-24.7,,,-3.0,,-55.5,,-18.3,,,,,-31.2,-58.3,False,,False,False,,,,,,True,,,True,,True,False,,False,False,,,True,,False,,False,,,,,False,False
01027,27,49.0,57.5,,37.0,41.0,,,,,,34.8,,,30.0,,49.3,13.2,,19.7,32.7,,83.0,1.0,,26.9,,42.9,,,,,54.4,16.2,22.0,30.5,,10.0,14.0,,,,,,7.8,,,3.0,,22.3,-13.8,,-7.3,5.7,,56.0,-26.0,,-0.1,,15.9,,,,,27.4,-10.8,False,,True,True,,,,,,True,,,True,,False,True,,True,True,,False,False,,True,,True,,,,,False,True
01029,36,60.0,60.1,,42.0,43.0,,,,,,37.7,,,40.0,,53.4,8.0,,32.9,37.5,,72.0,102.0,,16.1,,54.5,,,,,57.0,,24.0,24.1,,6.0,7.0,,,,,,1.7,,,4.0,,17.4,-28.0,,-3.1,1.5,,36.0,66.0,,-19.9,,18.5,,,,,21.0,,False,,True,True,,,,,,True,,,True,,True,False,,True,True,,False,False,,True,,True,,,,,True,
01031,104,78.0,57.4,,69.0,138.0,,,,,,102.7,,,148.0,,58.5,64.6,,50.3,63.7,,194.0,43.0,,82.4,,75.0,,,,,121.6,5.6,-26.0,-46.6,,-35.0,34.0,,,,,,-1.3,,,44.0,,-45.5,-39.4,,-53.7,-40.3,,90.0,-61.0,,-21.6,,-29.0,,,,,17.6,-98.4,False,,False,False,,,,,,True,,,False,,False,False,,False,False,,False,False,,True,,False,,,,,True,False
01033,68,53.0,55.3,,51.0,111.0,,,,,,58.3,,,127.0,,47.1,34.5,,48.3,70.4,,69.0,23.0,,45.9,,46.9,,,,,39.9,26.5,-15.0,-12.7,,-17.0,43.0,,,,,,-9.7,,,59.0,,-20.9,-33.5,,-19.7,2.4,,1.0,-45.0,,-22.1,,-21.1,,,,,-28.1,-41.5,True,,False,False,,,,,,True,,,False,,False,False,,False,True,,True,False,,False,,False,,,,,False,False
01035,5,12.0,21.1,,8.0,5.0,,,,,,14.8,,,23.0,,15.7,7.0,,1.9,7.7,0.0,,24.0,,4.3,,10.1,,,,,15.7,11.5,7.0,16.1,,3.0,0.0,,,,,,9.8,,,18.0,,10.7,2.0,,-3.1,2.7,-5.0,,19.0,,-0.7,,5.1,,,,,10.7,6.5,False,,True,True,,,,,,False,,,False,,False,True,,True,True,True,,False,,True,,True,,,,,False,True
01037,7,10.0,11.7,,6.0,31.0,,,,,,9.4,,,21.0,,6.1,5.8,,1.9,6.0,1.5,,1.0,,5.9,,8.6,,,,,7.5,11.3,3.0,4.7,,-1.0,24.0,,,,,,2.4,,,14.0,,-0.9,-1.2,,-5.1,-1.0,-5.5,,-6.0,,-1.1,,1.6,,,,,0.5,4.3,False,,True,False,,,,,,True,,,False,,True,True,,False,True,False,,False,,True,,True,,,,,True,False
01039,76,99.0,153.0,,52.0,52.0,,,,,,97.1,,,111.0,,109.4,40.5,,29.1,43.7,0.2,,61.0,,31.4,,79.2,,,,,116.2,10.6,23.0,77.0,,-24.0,-24.0,,,,,,21.1,,,35.0,,33.4,-35.5,,-46.9,-32.3,-75.8,,-15.0,,-44.6,,3.2,,,,,40.2,-65.4,False,,False,False,,,,,,True,,,False,,False,False,,False,False,False,,True,,False,,True,,,,,False,False
01041,7,15.0,12.8,,14.0,1.0,,,,,,20.1,,,40.0,,18.0,12.1,,7.8,14.3,0.0,,17.0,,21.4,,19.3,,,,,27.3,33.6,8.0,5.8,,7.0,-6.0,,,,,,13.1,,,33.0,,11.0,5.1,,0.8,7.3,-7.0,,10.0,,14.4,,12.3,,,,,20.3,26.6,True,,True,True,,,,,,False,,,False,,False,True,,True,True,True,,False,,False,,False,,,,,False,False
01043,63,69.0,124.1,,56.0,164.0,,,,,,113.5,,,291.0,,56.5,53.6,,21.7,46.7,51.5,,31.0,,32.8,,61.5,,,,,153.0,48.0,6.0,61.1,,-7.0,101.0,,,,,,50.5,,,228.0,,-6.5,-9.4,,-41.3,-16.3,-11.5,,-32.0,,-30.2,,-1.5,,,,,90.0,-15.0,False,,False,False,,,,,,False,,,False,,False,False,,False,False,False,,False,,False,,True,,,,,False,False
01045,116,59.0,87.1,,45.0,146.0,,,,,,95.0,,,111.0,,38.3,46.1,,31.6,45.0,0.3,,0.0,,32.1,,51.4,,,,,121.2,93.4,-57.0,-28.9,,-71.0,30.0,,,,,,-21.0,,,-5.0,,-77.7,-69.9,,-84.4,-71.0,-115.7,,-116.0,,-83.9,,-64.6,,,,,5.2,-22.6,True,,False,True,,,,,,True,,,True,,False,False,,False,False,False,,False,,False,,False,,,,,True,True
01047,19,54.0,105.1,,46.0,52.0,,,,,,70.9,,,103.0,,47.2,19.6,,8.6,28.3,0.5,,36.0,,18.5,,45.7,,,,,54.5,,35.0,86.1,,27.0,33.0,,,,,,51.9,,,84.0,,28.2,0.6,,-10.4,9.3,-18.5,,17.0,,-0.5,,26.7,,,,,35.5,,False,,True,True,,,,,,False,,,False,,True,True,,True,True,True,,True,,True,,True,,,,,False,
01049,183,70.0,81.0,,63.0,131.0,,,,,,84.0,,,237.0,,62.4,56.7,,48.6,73.0,5.7,165.0,11.0,,26.8,,63.2,,,,,73.9,115.3,-113.0,-102.0,,-120.0,-52.0,,,,,,-99.0,,,54.0,,-120.6,-126.3,,-134.4,-110.0,-177.3,-18.0,-172.0,,-156.2,,-119.8,,,,,-109.1,-67.7,True,,False,True,,,,,,True,,,True,,False,False,,False,True,False,True,False,,False,,False,,,,,True,True
01051,155,148.0,152.9,,131.0,190.0,,,,,,134.0,,,179.0,,148.0,57.1,,61.3,81.6,6.0,296.0,83.0,,83.0,,131.6,,,,,176.1,,-7.0,-2.1,,-24.0,35.0,,,,,,-21.0,,,24.0,,-7.0,-97.9,,-93.7,-73.4,-149.0,141.0,-72.0,,-72.0,,-23.4,,,,,21.1,,True,,False,False,,,,,,False,,,False,,False,False,,False,False,False,False,False,,False,,False,,,,,False,
01053,45,51.0,43.8,,30.0,7.0,,,,,,76.4,,,114.0,,55.0,28.4,,15.0,29.7,0.2,,68.0,,8.6,,42.4,,,,,103.5,50.2,6.0,-1.2,,-15.0,-38.0,,,,,,31.4,,,69.0,,10.0,-16.6,,-30.0,-15.3,-44.8,,23.0,,-36.4,,-2.6,,,,,58.5,5.2,True,,False,False,,,,,,False,,,False,,False,False,,False,False,False,,False,,False,,True,,,,,False,True
01055,173,156.0,160.6,,130.0,284.0,,,,,,216.5,,,275.0,,111.6,117.4,,130.1,144.1,8.3,375.0,0.0,,92.2,,128.4,,,,,246.9,130.1,-17.0,-12.4,,-43.0,111.0,,,,,,43.5,,,102.0,,-61.4,-55.6,,-42.9,-28.9,-164.7,202.0,-173.0,,-80.8,,-44.6,,,,,73.9,-42.9,True,,False,False,,,,,,False,,,False,,False,False,,False,False,False,False,False,,False,,False,,,,,False,False
01057,20,39.0,36.4,,35.0,25.0,,,,,,27.4,,,38.0,,40.2,16.4,,24.9,35.0,0.2,60.0,30.0,,35.9,,35.4,,,,,44.8,,19.0,16.4,,15.0,5.0,,,,,,7.4,,,18.0,,20.2,-3.6,,4.9,15.0,-19.8,40.0,10.0,,15.9,,15.4,,,,,24.8,,True,,True,True,,,,,,True,,,True,,False,True,,True,True,False,False,True,,True,,True,,,,,False,
01059,65,30.0,42.8,,31.0,44.0,,,,,,50.5,,,136.0,,30.8,27.7,,25.2,41.7,4.7,41.0,37.0,,47.3,,30.0,,,,,64.6,57.0,-35.0,-22.2,,-34.0,-21.0,,,,,,-14.5,,,71.0,,-34.2,-37.3,,-39.8,-23.3,-60.3,-24.0,-28.0,,-17.7,,-35.0,,,,,-0.4,-8.0,True,,True,True,,,,,,True,,,False,,True,False,,False,True,False,True,True,,True,,False,,,,,True,True
01061,98,62.0,72.5,,53.0,128.0,,,,,,54.8,,,61.0,,50.0,40.8,,36.2,51.7,0.6,130.0,1.0,,58.4,,52.6,,,,,75.6,22.6,-36.0,-25.5,,-45.0,30.0,,,,,,-43.2,,,-37.0,,-48.0,-57.2,,-61.8,-46.3,-97.4,32.0,-97.0,,-39.6,,-45.4,,,,,-22.4,-75.4,True,,False,True,,,,,,False,,,False,,False,False,,False,False,False,True,False,,False,,False,,,,,True,False
01063,5,3.0,3.5,,2.0,0.0,,,,,,6.5,,,12.0,,5.3,3.6,,0.0,1.1,0.0,,0.0,,2.1,,2.8,,,,,6.7,16.6,-2.0,-1.5,,-3.0,-5.0,,,,,,1.5,,,7.0,,0.3,-1.4,,-5.0,-3.9,-5.0,,-5.0,,-2.9,,-2.2,,,,,1.7,11.6,True,,False,False,,,,,,True,,,False,,True,True,,False,False,False,,False,,False,,False,,,,,True,False
01065,20,23.0,19.0,,19.0,9.0,,,,,,15.7,,,54.0,,25.7,8.0,,19.2,27.4,0.6,,25.0,,15.2,,20.6,,,,,29.0,8.9,3.0,-1.0,,-1.0,-11.0,,,,,,-4.3,,,34.0,,5.7,-12.0,,-0.8,7.4,-19.4,,5.0,,-4.8,,0.6,,,,,9.0,-11.1,True,,True,False,,,,,,False,,,False,,False,False,,True,False,False,,False,,False,,True,,,,,False,False
01067,64,38.0,40.8,,28.0,12.0,,,,,,35.1,,,28.0,,30.0,16.2,,11.2,24.0,0.0,89.0,7.0,,30.7,,35.9,,,,,45.2,13.8,-26.0,-23.2,,-36.0,-52.0,,,,,,-28.9,,,-36.0,,-34.0,-47.8,,-52.8,-40.0,-64.0,25.0,-57.0,,-33.3,,-28.1,,,,,-18.8,-50.2,True,,False,False,,,,,,False,,,False,,False,False,,False,False,False,True,False,,False,,False,,,,,True,False
01069,435,204.0,264.1,,129.0,334.0,,,,,,339.9,,,225.0,,128.6,150.6,,121.0,128.2,7.2,,17.0,,75.8,,182.2,,,,,327.0,34.7,-231.0,-170.9,,-306.0,-101.0,,,,,,-95.1,,,-210.0,,-306.4,-284.4,,-314.0,-306.8,-427.8,,-418.0,,-359.2,,-252.8,,,,,-108.0,-400.3,True,,False,True,,,,,,True,,,True,,False,False,,False,False,False,,False,,False,,False,,,,,True,False
01071,111,81.0,86.0,,65.0,42.0,,,,,,78.5,,,149.0,,66.5,39.8,,42.9,64.7,0.9,142.0,23.0,,46.4,,66.9,,,,,76.0,103.2,-30.0,-25.0,,-46.0,-69.0,,,,,,-32.5,,,38.0,,-44.5,-71.2,,-68.1,-46.3,-110.1,31.0,-88.0,,-64.7,,-44.1,,,,,-35.0,-7.8,True,,False,False,,,,,,False,,,False,,False,False,,False,False,False,False,False,,False,,False,,,,,False,True
01073,951,765.0,825.3,779.9,673.0,707.0,,,,,,900.3,,,1561.0,,713.5,520.2,,571.4,635.9,116.4,1107.0,344.0,,201.9,,660.3,673.0,,,,488.4,269.1,-186.0,-125.7,-171.1,-278.0,-244.0,,,,,,-50.7,,,610.0,,-237.5,-430.8,,-379.6,-315.1,-834.6,156.0,-607.0,,-749.1,,-290.7,-278.0,,,,-462.6,-681.9,True,True,False,False,,,,,,True,,,False,,False,False,,False,False,False,True,False,,False,,False,False,,,,False,False
01075,32,22.0,14.1,,14.0,3.0,,,,,,17.2,,,40.0,,25.5,8.9,,9.5,20.4,1.1,,0.0,,11.6,,20.0,,,,,22.8,14.2,-10.0,-17.9,,-18.0,-29.0,,,,,,-14.8,,,8.0,,-6.5,-23.1,,-22.5,-11.6,-30.9,,-32.0,,-20.4,,-12.0,,,,,-9.2,-17.8,False,,False,False,,,,,,False,,,True,,True,False,,False,False,False,,False,,False,,False,,,,,True,False
01077,95,72.0,77.4,,69.0,95.0,,,,,,71.0,,,211.0,,68.5,50.2,,53.1,77.1,55.2,117.0,44.0,,61.1,,67.5,,,,,66.6,72.3,-23.0,-17.6,,-26.0,0.0,,,,,,-24.0,,,116.0,,-26.5,-44.8,,-41.9,-17.9,-39.8,22.0,-51.0,,-33.9,,-27.5,,,,,-28.4,-22.7,True,,False,True,,,,,,False,,,False,,False,False,,False,True,False,True,False,,False,,False,,,,,False,True
01079,28,38.0,42.9,,36.0,63.0,,,,,,35.6,,,80.0,,38.2,20.8,,9.1,23.9,20.7,42.0,45.0,,7.5,,35.8,,,,,39.9,12.3,10.0,14.9,,8.0,35.0,,,,,,7.6,,,52.0,,10.2,-7.2,,-18.9,-4.1,-7.3,14.0,17.0,,-20.5,,7.8,,,,,11.9,-15.7,False,,True,False,,,,,,True,,,False,,False,True,,False,True,True,False,False,,False,,True,,,,,False,False
01081,225,192.0,44.3,,187.0,244.0,,,,,,648.1,,,425.0,,229.2,197.7,,97.9,181.9,2.7,,246.0,,219.0,,180.1,402.0,,,,545.3,115.3,-33.0,-180.7,,-38.0,19.0,,,,,,423.1,,,200.0,,4.2,-27.3,,-127.1,-43.1,-222.3,,21.0,,-6.0,,-44.9,177.0,,,,320.3,-109.7,False,,False,True,,,,,,False,,,False,,True,True,,False,False,False,,True,,True,,False,False,,,,False,False
01083,154,128.0,126.0,,121.0,192.0,,,,,,111.1,,,254.0,,120.5,47.6,,102.3,124.3,53.5,197.0,101.0,,73.6,,104.6,,,,,140.7,77.9,-26.0,-28.0,,-33.0,38.0,,,,,,-42.9,,,100.0,,-33.5,-106.4,,-51.7,-29.7,-100.5,43.0,-53.0,,-80.4,,-49.4,,,,,-13.3,-76.1,False,,False,False,,,,,,False,,,False,,False,False,,False,False,False,False,False,,False,,False,,,,,True,False
01085,8,8.0,4.6,,5.0,0.0,,,,,,9.4,,,21.0,,6.5,3.0,,1.4,5.0,0.1,,0.0,,3.3,,6.9,,,,,10.3,20.9,0.0,-3.4,,-3.0,-8.0,,,,,,1.4,,,13.0,,-1.5,-5.0,,-6.6,-3.0,-7.9,,-8.0,,-4.7,,-1.1,,,,,2.3,12.9,False,,False,False,,,,,,False,,,False,,False,False,,False,False,False,,False,,False,,False,,,,,False,False
01087,9,4.0,3.6,,5.0,9.0,,,,,,17.6,,,21.0,,5.5,10.0,,3.4,7.9,0.0,,11.0,,8.3,,5.8,,,,,40.9,36.0,-5.0,-5.4,,-4.0,0.0,,,,,,8.6,,,12.0,,-3.5,1.0,,-5.6,-1.1,-9.0,,2.0,,-0.7,,-3.2,,,,,31.9,27.0,False,,True,True,,,,,,False,,,False,,True,True,,False,True,False,,True,,True,,True,,,,,False,False
01089,337,374.0,387.6,382.1,296.0,421.0,,,,,,330.0,,,626.0,,293.8,325.9,,280.0,308.6,202.3,607.0,376.0,,211.8,,295.9,293.0,,,,430.8,236.6,37.0,50.6,45.1,-41.0,84.0,,,,,,-7.0,,,289.0,,-43.2,-11.1,,-57.0,-28.4,-134.7,270.0,39.0,,-125.2,,-41.1,-44.0,,,,93.8,-100.4,False,False,False,False,,,,,,True,,,False,,False,True,,False,True,False,False,False,,False,,False,False,,,,False,False
01091,22,21.0,16.2,,16.0,4.0,,,,,,25.5,,,62.0,,21.8,8.9,,13.1,20.6,0.1,38.0,31.0,,8.0,,17.6,,,,,22.3,4.0,-1.0,-5.8,,-6.0,-18.0,,,,,,3.5,,,40.0,,-0.2,-13.1,,-8.9,-1.4,-21.9,16.0,9.0,,-14.0,,-4.4,,,,,0.3,-18.0,False,,False,False,,,,,,False,,,False,,True,False,,False,False,False,False,False,,False,,False,,,,,True,False
01093,30,27.0,16.1,,19.0,7.0,,,,,,46.3,,,68.0,,18.9,23.3,,10.1,22.4,0.4,,2.0,,19.0,,22.6,,,,,53.4,40.4,-3.0,-13.9,,-11.0,-23.0,,,,,,16.3,,,38.0,,-11.1,-6.7,,-19.9,-7.6,-29.6,,-28.0,,-11.0,,-7.4,,,,,23.4,10.4,False,,False,False,,,,,,False,,,False,,False,False,,False,False,False,,False,,False,,False,,,,,False,False
01095,92,122.0,114.4,,93.0,58.0,,,,,,90.5,,,312.0,,114.3,57.7,,58.9,93.2,6.3,242.0,68.0,,24.0,,104.5,,,,,133.8,107.0,30.0,22.4,,1.0,-34.0,,,,,,-1.5,,,220.0,,22.3,-34.3,,-33.1,1.2,-85.7,150.0,-24.0,,-68.0,,12.5,,,,,41.8,15.0,True,,True,False,,,,,,True,,,False,,True,False,,False,True,False,False,True,,False,,True,,,,,False,True
01097,327,334.0,342.6,397.6,334.0,361.0,,,,,,354.8,,,713.0,,320.4,287.8,,284.7,372.2,111.6,474.0,488.0,,206.3,,354.5,273.0,,,,202.5,,7.0,15.6,70.6,7.0,34.0,,,,,,27.8,,,386.0,,-6.6,-39.2,,-42.3,45.2,-215.4,147.0,161.0,,-120.7,,27.5,-54.0,,,,-124.5,,False,False,False,False,,,,,,False,,,False,,True,False,,False,False,False,False,False,,False,,False,False,,,,False,
