,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,54411,77680.0,90145.0,,61385.4,65682.0,68343.0,50338.9,67100.4,39456.2,,48984.9,70007.3,44665.3,46527.0,23269.0,35734.0,,6974.4,11271.0,13932.0,-4072.1,12689.4,-14954.8,,-5426.1,15596.3,-9745.7,-7884.0,False,,True,True,True,True,True,True,,True,True,True,True
Hawaii,4782,8915.0,12529.0,,11790.2,5835.0,,10742.7,10573.0,7785.6,,11642.6,7592.5,9939.3,9422.0,4133.0,7747.0,,7008.2,1053.0,,5960.7,5791.0,3003.6,,6860.6,2810.5,5157.3,4640.0,False,,False,True,,False,False,True,,False,True,False,False
Idaho,12034,10045.0,9929.0,,8218.7,9159.0,8443.0,12220.4,9673.1,5949.7,,3997.6,9119.9,6533.7,5509.0,-1989.0,-2105.0,,-3815.3,-2875.0,-3591.0,186.4,-2360.9,-6084.3,,-8036.4,-2914.1,-5500.3,-6525.0,False,,False,False,False,True,False,False,,False,False,False,False
Illinois,69716,66825.0,67691.0,,61097.4,10083.0,60902.0,65042.5,115770.9,45677.0,,44964.3,73749.0,55738.0,52596.0,-2891.0,-2025.0,,-8618.6,-59633.0,-8814.0,-4673.5,46054.9,-24039.0,,-24751.7,4033.0,-13978.0,-17120.0,True,,False,False,False,False,False,False,,False,False,False,False
Indiana,31625,35585.0,59373.0,,30502.4,23149.0,28366.0,40054.0,37938.3,21833.3,,22135.3,36725.9,36883.4,35319.0,3960.0,27748.0,,-1122.6,-8476.0,-3259.0,8429.0,6313.3,-9791.7,,-9489.7,5100.9,5258.4,3694.0,False,,True,False,True,False,False,False,,False,False,False,True
Iowa,28689,38080.0,70081.0,,37341.3,26701.0,27445.0,15883.8,60777.2,27750.6,,30445.1,31390.4,64107.1,30170.0,9391.0,41392.0,,8652.3,-1988.0,-1244.0,-12805.2,32088.2,-938.4,,1756.1,2701.4,35418.1,1481.0,False,,True,True,True,False,False,True,,True,True,False,True
Kansas,20999,21035.0,32125.0,,19360.6,13390.0,19411.0,18254.7,18848.8,10926.1,,10648.4,13568.0,13128.0,17645.0,36.0,11126.0,,-1638.4,-7609.0,-1588.0,-2744.3,-2150.2,-10072.9,,-10350.6,-7431.0,-7871.0,-3354.0,False,,False,False,False,False,False,False,,False,False,False,False
Kentucky,24424,22555.0,36033.0,,21739.8,21023.0,22593.0,28291.8,23205.7,14917.7,,13354.9,17652.7,24789.2,23437.0,-1869.0,11609.0,,-2684.2,-3401.0,-1831.0,3867.8,-1218.3,-9506.3,,-11069.1,-6771.3,365.2,-987.0,False,,False,False,True,False,True,False,,False,False,True,True
Louisiana,21882,22615.0,23216.0,,15262.6,19343.0,24708.0,12594.1,10373.7,18836.1,,2941.6,20305.1,15212.2,9796.0,733.0,1334.0,,-6619.4,-2539.0,2826.0,-9287.9,-11508.3,-3045.9,,-18940.4,-1576.9,-6669.8,-12086.0,False,,False,False,False,False,False,False,,False,False,False,False
Maine,993,870.0,2371.0,,846.5,380.0,558.0,1774.3,356.7,638.0,,673.9,758.2,1796.1,1101.0,-123.0,1378.0,,-146.5,-613.0,-435.0,781.3,-636.3,-355.0,,-319.1,-234.8,803.1,108.0,False,,False,False,False,False,False,False,,False,False,False,True
Maryland,19525,18855.0,21885.0,,14526.6,2024.0,16929.0,17999.5,13190.9,11799.8,,8807.1,13128.5,17039.5,15211.0,-670.0,2360.0,,-4998.4,-17501.0,-2596.0,-1525.5,-6334.1,-7725.2,,-10717.9,-6396.5,-2485.5,-4314.0,False,,False,False,False,False,False,False,,False,False,False,False
Massachusetts,14172,13350.0,11395.0,,8069.6,1806.0,10140.0,10816.2,15612.8,7183.6,,36536.4,15229.4,383.7,11989.0,-822.0,-2777.0,,-6102.4,-12366.0,-4032.0,-3355.8,1440.8,-6988.4,,22364.4,1057.4,-13788.3,-2183.0,False,,False,False,False,False,False,False,,False,False,False,False
Michigan,30135,25460.0,30947.0,,24761.1,11817.0,26822.0,41406.0,29044.0,23276.1,,24564.0,33090.0,34087.1,26948.0,-4675.0,812.0,,-5373.9,-18318.0,-3313.0,11271.0,-1091.0,-6858.9,,-5571.0,2955.0,3952.1,-3187.0,True,,False,False,True,False,True,False,,False,True,True,True
Minnesota,28530,26950.0,39902.0,,26597.4,3055.0,31624.0,21881.2,21423.3,22132.8,,19686.0,24322.1,50062.0,27559.0,-1580.0,11372.0,,-1932.6,-25475.0,3094.0,-6648.8,-7106.7,-6397.2,,-8844.0,-4207.9,21532.0,-971.0,False,,False,False,False,False,False,False,,False,False,False,True
Mississippi,18138,23805.0,28094.0,,18469.8,15559.0,24639.0,16036.3,14852.5,12823.9,,10112.5,16807.4,15473.8,13014.0,5667.0,9956.0,,331.8,-2579.0,6501.0,-2101.7,-3285.5,-5314.1,,-8025.5,-1330.6,-2664.2,-5124.0,False,,True,True,False,True,True,True,,False,True,True,True
Missouri,51834,41080.0,47216.0,,43195.1,32380.0,35195.0,37975.3,32173.2,34218.3,,28527.7,25186.6,52758.4,35884.0,-10754.0,-4618.0,,-8638.9,-19454.0,-16639.0,-13858.7,-19660.8,-17615.7,,-23306.3,-26647.4,924.4,-15950.0,True,,True,False,False,False,False,False,,False,False,True,False
Montana,7105,4375.0,4821.0,,4147.3,3283.0,5645.0,4223.9,4171.1,3473.0,,3973.1,2595.6,6655.7,4076.0,-2730.0,-2284.0,,-2957.7,-3822.0,-1460.0,-2881.1,-2933.9,-3632.0,,-3131.9,-4509.4,-449.3,-3029.0,True,,False,False,True,False,False,False,,False,False,True,False
Nebraska,13650,9865.0,17547.0,,10355.8,1647.0,10052.0,7648.6,13957.7,7518.5,,5403.0,8878.5,16631.2,8003.0,-3785.0,3897.0,,-3294.2,-12003.0,-3598.0,-6001.4,307.7,-6131.5,,-8247.0,-4771.5,2981.2,-5647.0,False,,True,False,True,False,True,False,,False,False,True,False
Nevada,13247,16960.0,9237.0,,15779.1,15813.0,14101.0,9335.0,14200.7,11264.7,,7535.7,15867.4,9738.7,8567.0,3713.0,-4010.0,,2532.1,2566.0,854.0,-3912.0,953.7,-1982.3,,-5711.3,2620.4,-3508.3,-4680.0,False,,True,True,True,False,True,True,,False,True,True,False
New Hampshire,1351,760.0,1328.0,,500.8,12.0,622.0,1774.2,126.2,393.2,,498.4,511.3,582.3,588.0,-591.0,-23.0,,-850.2,-1339.0,-729.0,423.2,-1224.8,-957.8,,-852.6,-839.7,-768.7,-763.0,True,,False,False,False,True,False,False,,False,False,False,False
New Jersey,18457,9870.0,11899.0,,5684.1,121.0,9050.0,17885.5,15002.4,6604.4,,6068.2,10159.1,9811.4,7888.0,-8587.0,-6558.0,,-12772.9,-18336.0,-9407.0,-571.5,-3454.6,-11852.6,,-12388.8,-8297.9,-8645.6,-10569.0,True,,False,False,False,True,True,False,,False,True,False,False
New Mexico,5118,4380.0,5294.0,,4006.1,2331.0,4380.0,5187.5,2696.8,2712.5,,2076.9,3151.5,4141.9,3962.0,-738.0,176.0,,-1111.9,-2787.0,-738.0,69.5,-2421.2,-2405.5,,-3041.1,-1966.5,-976.1,-1156.0,True,,False,False,False,True,False,False,,False,False,False,False
New York,30551,21185.0,28058.0,,7250.3,136.0,11744.0,43061.9,23368.0,13623.2,,22582.3,16285.1,19071.4,19369.0,-9366.0,-2493.0,,-23300.7,-30415.0,-18807.0,12510.9,-7183.0,-16927.8,,-7968.7,-14265.9,-11479.6,-11182.0,True,,False,False,False,False,True,False,,True,False,False,False
North Carolina,46509,57180.0,81137.0,,49019.7,65195.0,56666.0,41116.5,36838.7,33561.4,,37618.2,42176.0,67819.5,53089.0,10671.0,34628.0,,2510.7,18686.0,10157.0,-5392.5,-9670.3,-12947.6,,-8890.8,-4333.0,21310.5,6580.0,False,,True,False,True,True,True,False,,True,True,False,True
North Dakota,11650,8740.0,15744.0,,10965.6,115.0,8221.0,3804.9,13104.6,7749.9,,10106.0,7093.9,12677.1,7120.0,-2910.0,4094.0,,-684.4,-11535.0,-3429.0,-7845.1,1454.6,-3900.1,,-1544.0,-4556.1,1027.1,-4530.0,False,,True,False,False,False,True,False,,True,False,True,False
Ohio,36646,35775.0,58670.0,,29412.0,24421.0,35076.0,48117.6,27496.8,24385.8,,20319.8,33046.1,46774.5,27160.0,-871.0,22024.0,,-7234.0,-12225.0,-1570.0,11471.6,-9149.2,-12260.2,,-16326.2,-3599.9,10128.5,-9486.0,False,,False,False,False,False,False,False,,False,False,False,False
Oklahoma,33395,23770.0,29937.0,,23029.3,20860.0,28515.0,26232.8,16683.2,19940.1,,12795.6,19082.6,31306.6,19592.0,-9625.0,-3458.0,,-10365.7,-12535.0,-4880.0,-7162.2,-16711.8,-13454.9,,-20599.4,-14312.4,-2088.4,-13803.0,True,,False,False,True,True,False,False,,False,False,True,False
Oregon,8218,7915.0,7078.0,,7609.2,7566.0,6624.0,15510.6,7625.3,5304.7,,4142.4,6996.4,7262.2,6307.0,-303.0,-1140.0,,-608.8,-652.0,-1594.0,7292.6,-592.7,-2913.3,,-4075.6,-1221.6,-955.8,-1911.0,False,,False,False,False,False,False,False,,False,False,False,False
Pennsylvania,28662,22080.0,25754.0,,20045.8,2427.0,15792.0,38552.6,18649.0,14669.8,,13020.1,18063.1,20797.9,17730.0,-6582.0,-2908.0,,-8616.2,-26235.0,-12870.0,9890.6,-10013.0,-13992.2,,-15641.9,-10598.9,-7864.1,-10932.0,True,,False,False,False,False,False,False,,False,False,False,False
Rhode Island,3523,3305.0,5407.0,,1848.3,2.0,2769.0,3693.7,5254.5,1228.8,,286.6,3682.3,2496.2,2407.0,-218.0,1884.0,,-1674.7,-3521.0,-754.0,170.7,1731.5,-2294.2,,-3236.4,159.3,-1026.8,-1116.0,False,,False,False,False,True,False,False,,False,True,False,False
South Carolina,33642,29770.0,48550.0,,25607.9,13958.0,25854.0,12031.0,17724.7,23493.5,,29986.0,29504.8,45859.2,23886.0,-3872.0,14908.0,,-8034.1,-19684.0,-7788.0,-21611.0,-15917.3,-10148.5,,-3656.0,-4137.2,12217.2,-9756.0,False,,False,False,False,False,False,False,,True,False,False,False
South Dakota,11044,9035.0,19853.0,,11478.7,297.0,6288.0,1896.7,17266.4,11230.4,,9310.2,6989.9,27398.3,10112.0,-2009.0,8809.0,,434.7,-10747.0,-4756.0,-9147.3,6222.4,186.4,,-1733.8,-4054.1,16354.3,-932.0,False,,True,False,False,False,False,True,,True,False,False,True
Tennessee,47315,50985.0,59890.0,,41281.9,27922.0,42088.0,38665.5,30914.4,28772.7,,26584.0,33081.6,31295.4,31057.0,3670.0,12575.0,,-6033.1,-19393.0,-5227.0,-8649.5,-16400.6,-18542.3,,-20731.0,-14233.4,-16019.6,-16258.0,False,,False,False,False,False,False,False,,False,False,False,False
Texas,162972,187360.0,321690.0,,139347.7,131217.0,192306.0,113905.7,153264.9,84689.7,,61896.0,146053.1,89943.5,104074.0,24388.0,158718.0,,-23624.3,-31755.0,29334.0,-49066.3,-9707.1,-78282.3,,-101076.0,-16918.9,-73028.5,-58898.0,False,,True,False,False,False,True,False,,False,True,False,False
Utah,24819,12960.0,13109.0,,14109.3,7179.0,11787.0,8295.2,7980.9,9382.5,,6163.0,13107.9,14573.0,10938.0,-11859.0,-11710.0,,-10709.7,-17640.0,-13032.0,-16523.8,-16838.1,-15436.5,,-18656.0,-11711.1,-10246.0,-13881.0,True,,True,False,False,False,False,False,,False,True,True,False
Vermont,173,260.0,329.0,,234.9,46.0,288.0,800.6,374.1,188.9,,100.9,283.4,512.7,292.0,87.0,156.0,,61.9,-127.0,115.0,627.6,201.1,15.9,,-72.1,110.4,339.7,119.0,False,,True,False,False,False,False,True,,True,False,False,False
Virginia,31994,33630.0,47667.0,,29676.4,7494.0,25810.0,34320.2,26991.7,22735.0,,19929.5,31243.2,43334.4,0.0,1636.0,15673.0,,-2317.6,-24500.0,-6184.0,2326.2,-5002.3,-9259.0,,-12064.5,-750.8,11340.4,-31994.0,False,,False,False,False,False,False,False,,False,True,False,False
Washington,16405,16420.0,20501.0,,10733.8,25923.0,13668.0,21372.8,12508.0,11727.5,,6650.9,14451.9,14938.6,16108.0,15.0,4096.0,,-5671.2,9518.0,-2737.0,4967.8,-3897.0,-4677.5,,-9754.1,-1953.1,-1466.4,-297.0,False,,False,False,False,False,False,False,,False,False,False,False
West Virginia,6511,3925.0,5247.0,,3568.2,3571.0,3881.0,7216.0,3003.1,3606.6,,2004.3,3077.8,7280.2,3687.0,-2586.0,-1264.0,,-2942.8,-2940.0,-2630.0,705.0,-3507.9,-2904.4,,-4506.7,-3433.2,769.2,-2824.0,True,,False,False,False,True,False,False,,False,False,True,False
Wisconsin,55998,23955.0,28921.0,,27237.4,16548.0,25584.0,27508.4,21051.2,14486.2,,11034.5,16028.9,22134.8,21155.0,-32043.0,-27077.0,,-28760.6,-39450.0,-30414.0,-28489.6,-34946.8,-41511.8,,-44963.5,-39969.1,-33863.2,-34843.0,True,,True,False,True,True,False,False,,False,False,False,False
Wyoming,2570,1260.0,900.0,,1132.8,802.0,1657.0,1564.1,1253.7,947.5,,50.1,1095.3,338.2,1247.0,-1310.0,-1670.0,,-1437.2,-1768.0,-913.0,-1005.9,-1316.3,-1622.5,,-2519.9,-1474.7,-2231.8,-1323.0,False,,False,False,True,True,False,False,,False,False,False,False
US,1427496,1470120.0,1864424.0,1144688.0,900866.2,961846.0,1580259.0,1277191.4,1259745.8,812510.7,1129923.0,853168.1,1414832.7,1201770.6,1064422.0,42624.0,436928.0,-282808.0,-526629.8,-465650.0,152763.0,-150304.6,-167750.2,-614985.3,-297573.0,-574327.9,-12663.3,-225725.4,-363074.0,False,False,False,False,False,False,False,False,False,False,True,False,False
