,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,46115,62144.0,61655.3,50517.0,71061.0,,50296.7,55361.0,47640.4,56835.0,47257.1,42252.4,56017.1,34255.2,47401.7,,41417.1,57064.5,58548.3,39460.3,41973.0,16029.0,15540.3,4402.0,24946.0,,4181.7,9246.0,1525.4,10720.0,1142.1,-3862.6,9902.1,-11859.8,1286.7,,-4697.9,10949.5,12433.3,-6654.7,-4142.0,True,True,False,,True,True,True,True,True,True,True,True,True,,True,True,True,True,True
Hawaii,4066,7132.0,7268.4,7391.0,9699.0,,8996.4,5005.0,17099.1,,7539.5,8638.8,8182.7,6543.2,6061.2,,9970.7,6428.3,9794.7,8023.1,7634.0,3066.0,3202.4,3325.0,5633.0,,4930.4,939.0,13033.1,,3473.5,4572.8,4116.7,2477.2,1995.2,,5904.7,2362.3,5728.7,3957.1,3568.0,False,False,False,,False,True,False,,False,False,False,True,True,,False,True,False,False,False
Idaho,8628,8036.0,7914.3,7559.0,7804.0,,6743.6,7692.0,17372.3,6904.0,15578.2,10170.6,8038.1,5160.5,6398.6,,3554.1,7521.6,7650.4,5663.0,4889.0,-592.0,-713.7,-1069.0,-824.0,,-1884.4,-936.0,8744.3,-1724.0,6950.2,1542.6,-589.9,-3467.5,-2229.4,,-5073.9,-1106.4,-977.6,-2965.0,-3739.0,False,False,False,,False,False,False,False,False,False,True,False,False,,False,False,False,False,False
Illinois,55707,53460.0,53265.4,49441.0,53439.0,,49908.4,9672.0,73040.5,50278.0,39511.3,52504.0,87187.2,39821.1,46726.7,,37855.1,58703.0,43246.7,47195.2,45523.0,-2247.0,-2441.6,-6266.0,-2268.0,,-5798.6,-46035.0,17333.5,-5429.0,-16195.7,-3203.0,31480.2,-15885.9,-8980.3,,-17851.9,2996.0,-12460.3,-8511.8,-10184.0,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Indiana,24115,28468.0,28281.8,26240.0,45260.0,,24639.1,19203.0,27854.5,22884.0,19711.5,32170.9,29783.4,18960.7,24782.1,,18793.2,29740.7,21564.4,29836.5,29355.0,4353.0,4166.8,2125.0,21145.0,,524.1,-4912.0,3739.5,-1231.0,-4403.5,8055.9,5668.4,-5154.3,667.1,,-5321.8,5625.7,-2550.6,5721.5,5240.0,True,True,False,,True,False,True,True,False,False,False,False,True,,False,False,True,False,False
Iowa,22296,30464.0,29714.3,29398.0,55349.0,,28925.2,23338.0,31050.1,22089.0,35918.4,13098.9,43007.3,23828.1,25540.4,,28011.3,26168.7,18140.2,53121.0,26920.0,8168.0,7418.3,7102.0,33053.0,,6629.2,1042.0,8754.1,-207.0,13622.4,-9197.1,20711.3,1532.1,3244.4,,5715.3,3872.7,-4155.8,30825.0,4624.0,True,True,False,,True,True,False,True,False,False,False,True,True,,True,True,True,False,True
Kansas,16510,16828.0,16707.9,14394.0,24812.0,,15463.3,10913.0,17080.9,16081.0,22749.7,14922.1,14897.5,9382.0,11749.7,,9232.0,11586.2,14206.5,11111.7,15214.0,318.0,197.9,-2116.0,8302.0,,-1046.7,-5597.0,570.9,-429.0,6239.7,-1587.9,-1612.5,-7128.0,-4760.3,,-7278.0,-4923.8,-2303.5,-5398.3,-1296.0,True,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Kentucky,18459,18044.0,18153.2,17967.0,27573.0,,17566.1,16898.0,33314.3,18657.0,20782.4,21746.6,18392.9,12901.9,17376.8,,11472.9,14955.3,13409.4,20020.1,18990.0,-415.0,-305.8,-492.0,9114.0,,-892.9,-1561.0,14855.3,198.0,2323.4,3287.6,-66.1,-5557.1,-1082.2,,-6986.1,-3503.7,-5049.6,1561.1,531.0,True,False,False,,False,False,False,True,False,False,True,False,False,,False,False,False,False,False
Louisiana,18208,18092.0,18081.3,15772.0,18123.0,,13108.5,16721.0,27831.4,19812.0,6345.2,10521.6,9263.0,16582.2,17148.2,,2692.0,17009.1,21260.1,13310.7,9002.0,-116.0,-126.7,-2436.0,-85.0,,-5099.5,-1487.0,9623.4,1604.0,-11862.8,-7686.4,-8945.0,-1625.8,-1059.8,,-15516.0,-1198.9,3052.1,-4897.3,-9206.0,False,False,True,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Maine,767,696.0,731.0,680.0,1747.0,,678.7,340.0,618.6,437.0,1061.1,1371.7,297.5,555.5,700.7,,549.5,616.5,712.0,1281.6,853.0,-71.0,-36.0,-87.0,980.0,,-88.3,-427.0,-148.4,-330.0,294.1,604.7,-469.5,-211.5,-66.3,,-217.5,-150.5,-55.0,514.6,86.0,True,False,False,,False,False,False,False,False,False,False,False,True,,False,False,True,False,False
Maryland,15678,15084.0,14580.6,12903.0,17176.0,,12061.1,1927.0,14166.3,14218.0,9056.7,14807.9,11151.7,10336.8,12902.7,,7435.0,11018.4,,14250.9,12790.0,-594.0,-1097.4,-2775.0,1498.0,,-3616.9,-13751.0,-1511.7,-1460.0,-6621.3,-870.1,-4526.3,-5341.2,-2775.3,,-8243.0,-4659.6,,-1427.1,-2888.0,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Massachusetts,9919,10680.0,10630.6,8125.0,8999.0,,6802.7,1743.0,8593.0,8588.0,2625.7,8452.0,12219.6,6299.0,9649.3,,32628.7,12126.9,,356.7,9804.0,761.0,711.6,-1794.0,-920.0,,-3116.3,-8176.0,-1326.0,-1331.0,-7293.3,-1467.0,2300.6,-3620.0,-269.7,,22709.7,2207.9,,-9562.3,-115.0,True,False,False,,False,False,False,False,False,False,False,False,True,,False,False,,False,True
Michigan,23237,20368.0,21301.0,20878.0,24202.0,,20326.0,10048.0,22627.8,21996.0,13402.1,32755.4,22973.7,20337.4,20182.1,,18021.5,26048.3,,26656.5,21570.0,-2869.0,-1936.0,-2359.0,965.0,,-2911.0,-13189.0,-609.2,-1241.0,-9834.9,9518.4,-263.3,-2899.6,-3054.9,,-5215.5,2811.3,,3419.5,-1667.0,True,True,True,,False,False,True,True,False,False,True,False,False,,False,True,,False,True
Minnesota,21402,21560.0,21384.1,21096.0,30635.0,,21156.5,2914.0,30796.3,24822.0,17547.4,17891.0,17293.4,19139.5,23013.7,,16466.6,19960.7,16396.1,38244.7,22721.0,158.0,-17.9,-306.0,9233.0,,-245.5,-18488.0,9394.3,3420.0,-3854.6,-3511.0,-4108.6,-2262.5,1611.7,,-4935.4,-1441.3,-5005.9,16842.7,1319.0,True,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Mississippi,14648,19044.0,18840.8,14271.0,22085.0,,15429.4,13447.0,17119.7,19835.0,10715.1,13489.5,12698.4,11421.0,17213.3,,8760.6,14277.4,17823.5,13578.8,12018.0,4396.0,4192.8,-377.0,7437.0,,781.4,-1201.0,2471.7,5187.0,-3932.9,-1158.5,-1949.6,-3227.0,2565.3,,-5887.4,-370.6,3175.5,-1069.2,-2630.0,True,True,False,,True,True,True,False,True,True,True,True,True,,False,True,True,True,True
Missouri,40338,32864.0,29538.1,29904.0,36645.0,,34717.8,26727.0,32851.1,28823.0,33976.1,31150.1,26390.5,29508.6,29499.6,,24867.4,21871.0,33553.6,42338.4,30079.0,-7474.0,-10799.9,-10434.0,-3693.0,,-5620.2,-13611.0,-7486.9,-11515.0,-6361.9,-9187.9,-13947.5,-10829.4,-10838.4,,-15470.6,-18467.0,-6784.4,2000.4,-10259.0,False,False,True,,True,False,False,False,True,False,False,False,False,,False,False,True,True,False
Montana,4656,3500.0,3453.4,3377.0,3670.0,,3299.6,2704.0,2544.7,4419.0,5224.1,3430.0,3322.7,2973.6,3329.2,,3484.0,2252.0,3325.7,5100.8,3324.0,-1156.0,-1202.6,-1279.0,-986.0,,-1356.4,-1952.0,-2111.3,-237.0,568.1,-1226.0,-1333.3,-1682.4,-1326.8,,-1172.0,-2404.0,-1330.3,444.8,-1332.0,False,False,True,,False,False,False,True,True,False,False,False,False,,False,False,False,True,False
Nebraska,9843,7892.0,7591.7,8065.0,13331.0,,8248.5,1566.0,10596.6,8120.0,11311.7,6235.8,10787.6,6546.8,8193.9,,4579.6,7279.0,6573.5,12891.8,6794.0,-1951.0,-2251.3,-1778.0,3488.0,,-1594.5,-8277.0,753.6,-1723.0,1468.7,-3607.2,944.6,-3296.2,-1649.1,,-5263.4,-2564.0,-3269.5,3048.8,-3049.0,False,True,False,,True,False,True,True,True,False,True,False,True,,False,False,False,False,False
Nevada,9894,13568.0,13471.1,11296.0,7806.0,,12883.2,13475.0,11053.3,11817.0,10844.7,8011.9,12044.0,9806.3,10859.9,,6778.7,12917.1,13879.4,8652.3,7844.0,3674.0,3577.1,1402.0,-2088.0,,2989.2,3581.0,1159.3,1923.0,950.7,-1882.1,2150.0,-87.7,965.9,,-3115.3,3023.1,3985.4,-1241.7,-2050.0,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,False,True,True
New Hampshire,875,608.0,598.4,475.0,996.0,,411.0,11.0,440.6,500.0,812.1,1382.3,113.8,344.3,531.7,,407.4,435.8,1040.7,474.8,485.0,-267.0,-276.6,-400.0,121.0,,-464.0,-864.0,-434.4,-375.0,-62.9,507.3,-761.2,-530.7,-343.3,,-467.6,-439.2,165.7,-400.2,-390.0,False,False,True,,False,False,False,False,True,False,False,False,False,,False,False,True,False,False
New Jersey,11530,7896.0,7304.1,7478.0,9289.0,,4996.8,117.0,6404.9,7946.0,2081.6,14034.6,11795.7,5797.2,8055.7,,5095.5,8138.2,,8176.0,6612.0,-3634.0,-4225.9,-4052.0,-2241.0,,-6533.2,-11413.0,-5125.1,-3584.0,-9448.4,2504.6,265.7,-5732.8,-3474.3,,-6434.5,-3391.8,,-3354.0,-4918.0,False,False,True,,False,False,False,True,False,True,True,False,True,,False,True,,True,False
New Mexico,3514,3504.0,3416.5,3274.0,4131.0,,3238.8,2059.0,2893.0,3612.0,3659.0,4209.8,2322.6,2401.1,3364.1,,1801.7,2675.9,4297.7,3393.2,3285.0,-10.0,-97.5,-240.0,617.0,,-275.2,-1455.0,-621.0,98.0,145.0,695.8,-1191.4,-1112.9,-149.9,,-1712.3,-838.1,783.7,-120.8,-229.0,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
New York,21358,16948.0,16914.4,15592.0,21693.0,,6869.3,132.0,13604.8,10418.0,5983.0,32608.2,18694.0,12004.8,17073.1,,18467.1,13520.9,,15415.0,15850.0,-4410.0,-4443.6,-5766.0,335.0,,-14488.7,-21226.0,-7753.2,-10940.0,-15375.0,11250.2,-2664.0,-9353.2,-4284.9,,-2890.9,-7837.1,,-5943.0,-5508.0,False,False,True,,False,False,False,False,False,False,True,False,True,,True,False,,False,False
North Carolina,37397,45744.0,46177.4,42025.0,62787.0,,39223.1,53395.0,32250.6,45307.0,51185.3,34142.9,30482.8,29147.1,41763.7,,32526.5,35748.5,42688.6,54117.4,44892.0,8347.0,8780.4,4628.0,25390.0,,1826.1,15998.0,-5146.4,7910.0,13788.3,-3254.1,-6914.2,-8249.9,4366.7,,-4870.5,-1648.5,5291.6,16720.4,7495.0,False,True,False,,True,False,True,True,False,True,True,True,True,,True,True,True,False,True
North Dakota,8896,6992.0,6822.3,7383.0,12037.0,,8448.0,109.0,11990.6,6421.0,9282.4,3174.6,9550.5,6572.0,7378.0,,9071.6,5832.0,9160.4,10427.0,6307.0,-1904.0,-2073.7,-1513.0,3141.0,,-448.0,-8787.0,3094.6,-2475.0,386.4,-5721.4,654.5,-2324.0,-1518.0,,175.6,-3064.0,264.4,1531.0,-2589.0,False,True,False,,True,False,False,False,True,False,True,False,True,,True,False,True,True,False
Ohio,28689,28620.0,28295.9,27832.0,44775.0,,24112.2,20519.0,24460.2,28052.0,27126.5,39000.2,22691.5,21214.6,28705.5,,17376.8,26987.4,23469.3,36620.1,22785.0,-69.0,-393.1,-857.0,16086.0,,-4576.8,-8170.0,-4228.8,-637.0,-1562.5,10311.2,-5997.5,-7474.4,16.5,,-11312.2,-1701.6,-5219.7,7931.1,-5904.0,False,False,False,,False,False,False,False,False,False,False,False,True,,False,False,False,False,False
Oklahoma,26157,19016.0,18722.5,18666.0,23243.0,,18549.8,17243.0,17363.0,22593.0,28016.9,21683.7,13922.7,17216.7,19001.3,,11181.0,15861.9,16381.7,25407.0,16935.0,-7141.0,-7434.5,-7491.0,-2914.0,,-7607.2,-8914.0,-8794.0,-3564.0,1859.9,-4473.3,-12234.3,-8940.3,-7155.7,,-14976.0,-10295.1,-9775.3,-750.0,-9222.0,False,False,True,,False,False,False,True,True,True,False,False,False,,False,False,False,True,False
Oregon,6288,6332.0,6423.5,5999.0,5623.0,,6136.0,6269.0,6169.9,5564.0,8701.4,12504.0,6257.8,4619.7,6052.6,,3509.6,5708.0,5785.0,6006.0,5325.0,44.0,135.5,-289.0,-665.0,,-152.0,-19.0,-118.1,-724.0,2413.4,6216.0,-30.2,-1668.3,-235.4,,-2778.4,-580.0,-503.0,-282.0,-963.0,False,False,False,,False,True,False,False,False,False,True,False,False,,False,False,False,False,False
Pennsylvania,22357,17664.0,16015.8,14978.0,20004.0,,16300.5,2330.0,14533.8,13002.0,12191.6,30175.8,15432.6,12840.3,17847.7,,10797.9,15130.2,17915.0,17097.9,14836.0,-4693.0,-6341.2,-7379.0,-2353.0,,-6056.5,-20027.0,-7823.2,-9355.0,-10165.4,7818.8,-6924.4,-9516.7,-4509.3,,-11559.1,-7226.8,-4442.0,-5259.1,-7521.0,False,False,True,,False,False,False,False,False,False,False,False,True,,False,False,True,False,False
Rhode Island,2628,2644.0,2580.3,1862.0,4125.0,,1554.0,2.0,3983.5,2486.0,1070.4,2858.2,4025.3,1064.4,1650.3,,246.6,2890.6,2881.5,2057.2,2035.0,16.0,-47.7,-766.0,1497.0,,-1074.0,-2626.0,1355.5,-142.0,-1557.6,230.2,1397.3,-1563.6,-977.7,,-2381.4,262.6,253.5,-570.8,-593.0,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
South Carolina,28024,23816.0,24528.3,22071.0,37066.0,,20699.5,12321.0,16435.6,21316.0,20738.9,10108.7,15159.8,20465.9,26233.5,,24150.4,23965.0,25450.9,36798.4,20760.0,-4208.0,-3495.7,-5953.0,9042.0,,-7324.5,-15703.0,-11588.4,-6708.0,-7285.1,-17915.3,-12864.2,-7558.1,-1790.5,,-3873.6,-4059.0,-2573.1,8774.4,-7264.0,True,False,False,,False,False,False,False,False,False,False,False,True,,True,True,True,False,False
South Dakota,8191,7228.0,7666.2,8003.0,14896.0,,8747.3,265.0,9844.2,5008.0,10928.7,1581.2,13261.3,9492.3,7743.2,,7768.8,5733.6,6050.4,23835.2,8677.0,-963.0,-524.8,-188.0,6705.0,,556.3,-7926.0,1653.2,-3183.0,2737.7,-6609.8,5070.3,1301.3,-447.8,,-422.2,-2457.4,-2140.6,15644.2,486.0,True,True,False,,True,False,False,False,False,False,False,False,True,,True,False,False,False,True
Tennessee,38611,40788.0,40873.7,30303.0,46584.0,,33403.3,24233.0,33583.9,33986.0,76065.2,32315.5,26269.4,24896.7,27316.1,,23028.3,28694.0,36043.3,27142.4,27855.0,2177.0,2262.7,-8308.0,7973.0,,-5207.7,-14378.0,-5027.1,-4625.0,37454.2,-6295.5,-12341.6,-13714.3,-11294.9,,-15582.7,-9917.0,-2567.7,-11468.6,-10756.0,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Texas,128991,149888.0,149854.4,114668.0,240113.0,,115256.5,112744.0,107129.3,154471.0,118410.6,95339.8,128161.5,73756.7,112770.5,,54328.1,120484.0,142366.9,80219.3,92256.0,20897.0,20863.4,-14323.0,111122.0,,-13734.5,-16247.0,-21861.7,25480.0,-10580.4,-33651.2,-829.5,-55234.3,-16220.5,,-74662.9,-8507.0,13375.9,-48771.7,-36735.0,True,True,False,,True,True,False,False,True,False,True,False,True,,False,True,True,False,False
Utah,18141,10368.0,10295.6,9874.0,10280.0,,11262.3,6218.0,7902.0,9414.0,10511.8,6939.0,6723.8,8199.0,10697.0,,5182.4,10582.0,10365.9,11528.2,9273.0,-7773.0,-7845.4,-8267.0,-7861.0,,-6878.7,-11923.0,-10239.0,-8727.0,-7629.2,-11202.0,-11417.2,-9942.0,-7444.0,,-12958.6,-7559.0,-7775.1,-6612.8,-8868.0,False,False,False,,True,False,False,False,True,False,False,False,True,,False,True,False,True,False
Vermont,134,208.0,209.9,215.0,248.0,,196.8,41.0,165.1,230.0,335.5,619.2,288.7,165.7,240.8,,88.3,226.7,,370.7,228.0,74.0,75.9,81.0,114.0,,62.8,-93.0,31.1,96.0,201.5,485.2,154.7,31.7,106.8,,-45.7,92.7,,236.7,94.0,False,False,False,,True,False,True,False,False,False,False,True,False,,True,False,,False,False
Virginia,26599,26904.0,24571.0,24498.0,36945.0,,23996.6,7043.0,28065.8,21574.0,25295.9,27745.3,22146.5,19775.2,24525.6,,16707.7,25382.0,22805.2,34380.3,0.0,305.0,-2028.0,-2101.0,10346.0,,-2602.4,-19556.0,1466.8,-5025.0,-1303.1,1146.3,-4452.5,-6823.8,-2073.4,,-9891.3,-1217.0,-3793.8,7781.3,-26599.0,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Washington,11951,13136.0,13127.8,11898.0,16089.0,,9232.8,20906.0,10425.3,11425.0,11352.2,17206.5,10541.8,10213.8,11939.6,,5841.2,11979.5,12283.9,12346.9,13294.0,1185.0,1176.8,-53.0,4138.0,,-2718.2,8955.0,-1525.7,-526.0,-598.8,5255.5,-1409.2,-1737.2,-11.4,,-6109.8,28.5,332.9,395.9,1343.0,True,True,False,,False,False,False,True,True,False,False,False,True,,False,True,True,True,False
West Virginia,5197,3140.0,3140.0,3117.0,4039.0,,2889.4,2910.0,3033.0,3119.0,6648.9,5662.4,2478.1,3115.1,3227.8,,1760.8,2554.9,2911.2,5496.5,2995.0,-2057.0,-2057.0,-2080.0,-1158.0,,-2307.6,-2287.0,-2164.0,-2078.0,1451.9,465.4,-2718.9,-2081.9,-1969.2,,-3436.2,-2642.1,-2285.8,299.5,-2202.0,True,False,True,,False,False,False,False,True,True,False,False,True,,False,False,False,True,False
Wisconsin,38845,19164.0,19321.5,18182.0,22541.0,,21493.2,14010.0,18605.2,20232.0,25036.4,22461.5,17256.2,12846.6,16053.1,,9532.3,13827.0,18256.0,18336.3,17916.0,-19681.0,-19523.5,-20663.0,-16304.0,,-17351.8,-24835.0,-20239.8,-18613.0,-13808.6,-16383.5,-21588.8,-25998.4,-22791.9,,-29312.7,-25018.0,-20589.0,-20508.7,-20929.0,True,False,True,,True,False,False,True,True,True,False,False,False,,False,False,False,False,False
Wyoming,1670,1008.0,991.7,907.0,702.0,,930.2,673.0,1075.5,1323.0,3737.7,1258.2,1012.1,819.5,879.7,,45.3,900.2,803.2,311.9,1020.0,-662.0,-678.3,-763.0,-968.0,,-739.8,-997.0,-594.5,-347.0,2067.7,-411.8,-657.9,-850.5,-790.3,,-1624.7,-769.8,-866.8,-1358.1,-650.0,False,False,False,,False,False,True,True,False,True,True,False,False,,False,False,False,False,True
US,1118287,1176096.0,1175583.5,1049755.0,1440563.0,952218.0,779810.6,817640.0,1082876.2,1285417.0,1095817.6,1043278.5,1026626.6,709968.2,1064707.0,934841.8,731870.4,1145135.5,1044053.3,1001350.0,923907.0,57809.0,57296.5,-68532.0,322276.0,-166069.0,-338476.4,-300647.0,-35410.8,167130.0,-22469.4,-75008.5,-91660.4,-408318.8,-53580.0,-183445.2,-386416.6,26848.5,-74233.7,-116937.0,-194380.0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
