,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Hawaii,5849,7655.0,10353.0,,15486.8,6234.0,,11683.6,42106.3,7066.0,,6398.8,10321.0,9792.1,6998.0,1806.0,4504.0,,9637.8,385.0,,5834.6,36257.3,1217.0,,549.8,4472.0,3943.1,1149.0,False,,False,True,,False,False,True,,True,False,False,True
Idaho,10637,10920.0,7478.0,,6942.6,11268.0,9339.0,15131.4,12084.3,5418.8,,6017.4,9347.1,4541.8,5010.0,283.0,-3159.0,,-3694.4,631.0,-1298.0,4494.4,1447.3,-5218.2,,-4619.6,-1289.9,-6095.2,-5627.0,False,,False,False,False,False,False,False,,False,False,False,False
Illinois,69072,69250.0,105334.0,,58901.7,8135.0,53917.0,69938.6,110226.1,46915.3,,63843.4,72891.2,81122.6,68165.0,178.0,36262.0,,-10170.3,-60937.0,-15155.0,866.6,41154.1,-22156.7,,-5228.6,3819.2,12050.6,-907.0,False,,False,False,False,False,False,False,,False,False,False,False
Indiana,31232,28205.0,28629.0,,25547.3,7813.0,24184.0,39280.2,36643.8,18164.1,,18525.3,19429.1,22548.2,21282.0,-3027.0,-2603.0,,-5684.7,-23419.0,-7048.0,8048.2,5411.8,-13067.9,,-12706.7,-11802.9,-8683.8,-9950.0,True,,False,False,False,False,False,False,,False,False,False,False
Iowa,29912,19655.0,37752.0,,17836.3,2982.0,16653.0,16275.6,15918.1,14190.6,,17742.3,24059.3,24292.5,17885.0,-10257.0,7840.0,,-12075.7,-26930.0,-13259.0,-13636.4,-13993.9,-15721.4,,-12169.7,-5852.7,-5619.5,-12027.0,True,,False,False,False,False,False,False,,False,True,True,False
Kansas,20717,17515.0,27322.0,,13871.6,12107.0,19390.0,21061.6,15868.7,11670.4,,10813.2,10593.5,19059.5,17071.0,-3202.0,6605.0,,-6845.4,-8610.0,-1327.0,344.6,-4848.3,-9046.6,,-9903.8,-10123.5,-1657.5,-3646.0,False,,False,False,True,True,False,False,,False,False,True,False
Kentucky,22970,20680.0,28478.0,,17129.9,18538.0,22354.0,26870.9,22837.2,8283.1,,4700.0,20066.1,12880.7,21901.0,-2290.0,5508.0,,-5840.1,-4432.0,-616.0,3900.9,-132.8,-14686.9,,-18270.0,-2903.9,-10089.3,-1069.0,False,,False,False,True,False,True,False,,False,False,False,True
Louisiana,23432,24915.0,16105.0,,10138.1,29571.0,34690.0,18603.2,14012.6,17566.3,,17299.0,20373.6,10310.9,8806.0,1483.0,-7327.0,,-13293.9,6139.0,11258.0,-4828.8,-9419.4,-5865.7,,-6133.0,-3058.4,-13121.1,-14626.0,False,,False,False,False,False,False,False,,False,False,False,False
Maine,941,870.0,1704.0,,752.3,196.0,727.0,1667.2,363.3,520.9,,354.0,705.9,1779.1,1682.0,-71.0,763.0,,-188.7,-745.0,-214.0,726.2,-577.7,-420.1,,-587.0,-235.1,838.1,741.0,False,,False,False,False,False,False,False,,False,False,False,False
Maryland,19449,19150.0,19984.0,,14058.1,3476.0,17800.0,19926.8,15099.0,12665.8,,14682.7,22799.8,14147.3,12183.0,-299.0,535.0,,-5390.9,-15973.0,-1649.0,477.8,-4350.0,-6783.2,,-4766.3,3350.8,-5301.7,-7266.0,False,,False,False,False,False,False,False,,False,False,False,False
Massachusetts,12203,10805.0,342.0,,10422.5,2976.0,30827.0,8934.5,19598.3,4321.0,,4937.1,15352.0,285.0,8723.0,-1398.0,-11861.0,,-1780.5,-9227.0,18624.0,-3268.5,7395.3,-7882.0,,-7265.9,3149.0,-11918.0,-3480.0,False,,False,False,False,False,False,False,,False,False,False,False
Michigan,28329,21310.0,22415.0,,20577.8,11374.0,22038.0,45670.9,27585.2,16483.6,,17887.8,26910.3,24686.6,11885.0,-7019.0,-5914.0,,-7751.2,-16955.0,-6291.0,17341.9,-743.8,-11845.4,,-10441.2,-1418.7,-3642.4,-16444.0,True,,False,False,True,False,True,False,,False,True,True,False
Minnesota,26792,22270.0,28773.0,,17856.2,4172.0,22739.0,23893.6,20971.4,16650.7,,16078.8,24071.4,28238.0,20549.0,-4522.0,1981.0,,-8935.8,-22620.0,-4053.0,-2898.4,-5820.6,-10141.3,,-10713.2,-2720.6,1446.0,-6243.0,True,,False,False,True,True,False,False,,False,True,True,False
Mississippi,19409,27565.0,34592.0,,15571.0,18341.0,22569.0,19120.8,16154.4,18926.5,,14004.1,32416.5,22992.7,10137.0,8156.0,15183.0,,-3838.0,-1068.0,3160.0,-288.2,-3254.6,-482.5,,-5404.9,13007.5,3583.7,-9272.0,False,,True,True,True,True,True,True,,True,False,True,False
Missouri,48554,39740.0,46948.0,,29144.8,33249.0,34086.0,43661.1,32498.7,22019.7,,21938.5,17336.4,25438.1,29042.0,-8814.0,-1606.0,,-19409.2,-15305.0,-14468.0,-4892.9,-16055.3,-26534.3,,-26615.5,-31217.6,-23115.9,-19512.0,True,,False,False,False,True,False,False,,False,False,False,False
Montana,5531,3585.0,2990.0,,3418.5,3290.0,5931.0,4632.6,4286.5,2461.4,,1532.4,2001.8,2986.7,3213.0,-1946.0,-2541.0,,-2112.5,-2241.0,400.0,-898.4,-1244.5,-3069.6,,-3998.6,-3529.2,-2544.3,-2318.0,False,,False,False,True,True,True,False,,False,False,False,False
Nebraska,11816,7695.0,7318.0,,7064.9,1370.0,8562.0,8214.3,14787.5,3721.8,,4540.2,7874.7,4261.5,4657.0,-4121.0,-4498.0,,-4751.1,-10446.0,-3254.0,-3601.7,2971.5,-8094.2,,-7275.8,-3941.3,-7554.5,-7159.0,False,,False,False,True,True,True,False,,False,True,False,False
Nevada,13286,22305.0,20930.0,,13143.1,21554.0,18611.0,12830.8,17378.0,13012.9,,12849.2,19849.7,12127.3,12198.0,9019.0,7644.0,,-142.9,8268.0,5325.0,-455.2,4092.0,-273.1,,-436.8,6563.7,-1158.7,-1088.0,True,,True,True,True,True,True,True,,True,True,True,True
New Hampshire,1027,570.0,639.0,,563.0,19.0,596.0,1565.4,149.4,320.0,,387.4,542.0,482.1,320.0,-457.0,-388.0,,-464.0,-1008.0,-431.0,538.4,-877.6,-707.0,,-639.6,-485.0,-544.9,-707.0,True,,False,False,True,False,False,False,,False,False,False,False
New Jersey,13504,9520.0,14401.0,,11825.1,243.0,9622.0,18717.7,15706.0,4839.4,,17987.5,8613.5,9152.3,4430.0,-3984.0,897.0,,-1678.9,-13261.0,-3882.0,5213.7,2202.0,-8664.6,,4483.5,-4890.5,-4351.7,-9074.0,True,,True,False,True,False,True,False,,False,False,False,False
New Mexico,4390,5000.0,4414.0,,2124.5,3116.0,5353.0,5951.1,3141.3,3539.7,,3952.4,3652.8,5373.5,2901.0,610.0,24.0,,-2265.5,-1274.0,963.0,1561.1,-1248.7,-850.3,,-437.6,-737.2,983.5,-1489.0,True,,False,False,False,False,False,False,,True,False,False,False
New York,26030,21320.0,24618.0,,17074.8,178.0,10711.0,50138.3,25077.7,12556.6,,19212.6,14288.5,20638.1,18620.0,-4710.0,-1412.0,,-8955.2,-25852.0,-15319.0,24108.3,-952.3,-13473.4,,-6817.4,-11741.5,-5391.9,-7410.0,True,,False,False,False,False,True,False,,False,False,False,False
North Carolina,48885,49680.0,83557.0,,33743.4,67672.0,41736.0,47491.5,38267.4,36987.9,,34841.0,41376.8,71418.2,30914.0,795.0,34672.0,,-15141.6,18787.0,-7149.0,-1393.5,-10617.6,-11897.1,,-14044.0,-7508.2,22533.2,-17971.0,False,,False,False,False,False,False,False,,False,False,False,False
North Dakota,10644,6460.0,12494.0,,5787.3,189.0,4986.0,4001.7,5462.5,5593.7,,6215.1,6969.8,11889.7,7147.0,-4184.0,1850.0,,-4856.7,-10455.0,-5658.0,-6642.3,-5181.5,-5050.3,,-4428.9,-3674.2,1245.7,-3497.0,True,,False,False,False,False,False,False,,False,True,True,True
Ohio,35844,32455.0,35666.0,,21751.9,25737.0,32482.0,55818.4,29848.2,18541.2,,19671.3,31330.4,24400.6,24047.0,-3389.0,-178.0,,-14092.1,-10107.0,-3362.0,19974.4,-5995.8,-17302.8,,-16172.7,-4513.6,-11443.4,-11797.0,True,,False,False,True,False,False,False,,False,False,False,False
Oklahoma,30911,24005.0,38755.0,,15417.6,22203.0,25231.0,30939.6,17412.4,17580.7,,11478.6,20924.7,27436.8,17939.0,-6906.0,7844.0,,-15493.4,-8708.0,-5680.0,28.6,-13498.6,-13330.3,,-19432.4,-9986.3,-3474.2,-12972.0,False,,False,False,True,True,False,False,,False,False,True,False
Oregon,7871,8460.0,7598.0,,7173.7,13427.0,6844.0,17857.9,8801.7,5819.8,,5509.6,7629.6,6828.5,7815.0,589.0,-273.0,,-697.3,5556.0,-1027.0,9986.9,930.7,-2051.2,,-2361.4,-241.4,-1042.5,-56.0,True,,False,False,False,False,False,False,,False,True,False,True
Pennsylvania,26773,23145.0,19763.0,,19595.2,3929.0,16332.0,47788.9,19232.7,13798.5,,14721.4,19124.8,17430.5,17110.0,-3628.0,-7010.0,,-7177.8,-22844.0,-10441.0,21015.9,-7540.3,-12974.5,,-12051.6,-7648.2,-9342.5,-9663.0,False,,False,False,False,False,False,False,,False,False,False,False
Rhode Island,3289,3435.0,2494.0,,2553.1,5.0,7114.0,3017.6,5298.4,1283.9,,1356.0,4060.4,2736.0,1710.0,146.0,-795.0,,-735.9,-3284.0,3825.0,-271.4,2009.4,-2005.1,,-1933.0,771.4,-553.0,-1579.0,False,,False,False,False,False,False,False,,False,False,False,False
South Carolina,33978,27065.0,23973.0,,13854.5,18365.0,23078.0,16573.4,21423.7,18336.3,,14842.0,23397.8,21339.1,13828.0,-6913.0,-10005.0,,-20123.5,-15613.0,-10900.0,-17404.6,-12554.3,-15641.7,,-19136.0,-10580.2,-12638.9,-20150.0,False,,False,False,False,False,False,False,,False,False,False,False
South Dakota,9998,5085.0,7623.0,,5888.2,384.0,3537.0,1877.3,5078.0,4228.7,,5975.6,7106.4,12981.6,7250.0,-4913.0,-2375.0,,-4109.8,-9614.0,-6461.0,-8120.7,-4920.0,-5769.3,,-4022.4,-2891.6,2983.6,-2748.0,True,,True,False,False,False,False,False,,True,True,True,True
Tennessee,48808,51680.0,49312.0,,24675.4,34446.0,41835.0,45689.7,33643.6,39890.3,,38571.0,35855.9,39517.5,27699.0,2872.0,504.0,,-24132.6,-14362.0,-6973.0,-3118.3,-15164.4,-8917.7,,-10237.0,-12952.1,-9290.5,-21109.0,True,,False,False,False,False,False,False,,False,False,False,False
Texas,167155,213985.0,160107.0,,150884.3,167500.0,261172.0,149037.4,175989.0,105434.1,,118458.8,188411.8,86019.0,133579.0,46830.0,-7048.0,,-16270.7,345.0,94017.0,-18117.6,8834.0,-61720.9,,-48696.2,21256.8,-81136.0,-33576.0,True,,True,True,False,True,True,False,,False,True,False,True
Utah,20733,12465.0,11337.0,,8564.9,8285.0,11138.0,9912.6,8970.8,8416.8,,6978.0,13437.5,8866.1,7786.0,-8268.0,-9396.0,,-12168.1,-12448.0,-9595.0,-10820.4,-11762.2,-12316.2,,-13755.0,-7295.5,-11866.9,-12947.0,False,,False,False,False,False,False,False,,False,True,False,False
Vermont,186,220.0,336.0,,255.9,40.0,149.0,786.4,370.2,90.3,,125.7,241.3,292.0,192.0,34.0,150.0,,69.9,-146.0,-37.0,600.4,184.2,-95.7,,-60.3,55.3,106.0,6.0,False,,False,False,False,False,False,False,,False,False,False,True
Virginia,33336,31590.0,34524.0,,23258.7,8438.0,23863.0,36725.1,28625.8,21825.6,,19676.9,28658.0,27497.2,0.0,-1746.0,1188.0,,-10077.3,-24898.0,-9473.0,3389.1,-4710.2,-11510.4,,-13659.1,-4678.0,-5838.8,-33336.0,True,,False,False,False,False,False,False,,False,False,False,False
Washington,16048,18550.0,17894.0,,16746.7,26283.0,13560.0,27453.0,14517.5,12044.9,,12170.3,17569.1,14871.9,15485.0,2502.0,1846.0,,698.7,10235.0,-2488.0,11405.0,-1530.5,-4003.1,,-3877.7,1521.1,-1176.1,-563.0,True,,True,False,True,False,True,False,,False,True,True,True
West Virginia,5982,3615.0,4822.0,,2193.7,3982.0,3362.0,8027.9,3327.3,2092.2,,2287.2,2639.2,2682.9,3178.0,-2367.0,-1160.0,,-3788.3,-2000.0,-2620.0,2045.9,-2654.7,-3889.8,,-3694.8,-3342.8,-3299.1,-2804.0,True,,False,True,False,True,False,False,,False,False,False,False
Wisconsin,43636,24765.0,30144.0,,20091.3,17477.0,23574.0,31768.0,22810.4,17231.0,,11690.7,18810.9,20136.9,16967.0,-18871.0,-13492.0,,-23544.7,-26159.0,-20062.0,-11868.0,-20825.6,-26405.0,,-31945.3,-24825.1,-23499.1,-26669.0,True,,False,False,False,True,False,False,,False,False,False,False
Wyoming,1930,1580.0,948.0,,915.7,882.0,1256.0,1850.6,1265.7,997.8,,620.4,1562.2,1746.1,1870.0,-350.0,-982.0,,-1014.3,-1048.0,-674.0,-79.4,-664.3,-932.2,,-1309.6,-367.8,-183.9,-60.0,False,,False,False,False,True,False,False,,False,False,True,True
US,1413447,1529735.0,1509733.0,988304.0,955560.8,1086585.0,1544508.0,1511834.9,1425214.9,826467.9,1599420.3,951126.1,1265976.4,1019842.0,956771.0,116288.0,96286.0,-425143.0,-457886.2,-326862.0,131061.0,98387.9,11767.9,-586979.1,185973.3,-462320.9,-147470.6,-393605.0,-456676.0,True,False,False,False,False,True,True,False,False,False,False,False,False
