,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01021,105,237.0,243.3,,201.0,217.0,,,,,,,,158.0,,133.3,51.7,,200.7,95.9,,253.0,109.0,,78.0,205.5,,,,,206.6,152.0,132.0,138.3,,96.0,112.0,,,,,,,,53.0,,28.3,-53.3,,95.7,-9.1,,148.0,4.0,,-27.0,100.5,,,,,101.6,47.0,False,,True,True,,,,,,,,True,,True,True,,True,True,,False,True,,True,True,,,,,True,True
01023,10,16.0,15.7,,13.0,0.0,,,,,,,,20.0,,13.1,5.8,,2.7,8.2,,,20.0,,13.1,,,,,,19.6,9.6,6.0,5.7,,3.0,-10.0,,,,,,,,10.0,,3.1,-4.2,,-7.3,-1.8,,,10.0,,3.1,,,,,,9.6,-0.4,True,,True,False,,,,,,,,False,,True,True,,False,True,,,False,,True,,,,,,False,True
01025,46,114.0,104.3,,37.0,4.0,,,,,,,,75.0,,22.7,14.8,,51.4,21.1,,38.0,63.0,,3.3,,,,,,89.4,43.7,68.0,58.3,,-9.0,-42.0,,,,,,,,29.0,,-23.3,-31.2,,5.4,-24.9,,-8.0,17.0,,-42.7,,,,,,43.4,-2.3,True,,True,True,,,,,,,,True,,True,True,,True,True,,True,True,,True,,,,,,True,True
01027,49,115.0,111.0,,63.0,26.0,,,,,,,,32.0,,82.1,15.1,,78.2,47.7,,110.0,208.0,,32.1,,,,,,297.5,65.2,66.0,62.0,,14.0,-23.0,,,,,,,,-17.0,,33.1,-34.0,,29.2,-1.3,,61.0,159.0,,-16.9,,,,,,248.5,16.2,True,,True,True,,,,,,,,True,,True,True,,True,True,,True,False,,True,,,,,,False,True
01029,28,51.0,49.1,,35.0,27.0,,,,,,,,38.0,,66.3,13.3,,27.0,32.8,,62.0,8.0,,29.0,,,,,,76.8,48.8,23.0,21.1,,7.0,-1.0,,,,,,,,10.0,,38.3,-14.7,,-1.0,4.8,,34.0,-20.0,,1.0,,,,,,48.8,20.8,True,,True,True,,,,,,,,True,,False,True,,True,True,,False,True,,True,,,,,,False,True
01031,83,232.0,269.1,,142.0,99.0,,,,,,,,142.0,,117.2,46.5,,184.2,66.6,,239.0,114.0,,17.6,196.4,,,,,224.7,83.6,149.0,186.1,,59.0,16.0,,,,,,,,59.0,,34.2,-36.5,,101.2,-16.4,,156.0,31.0,,-65.4,113.4,,,,,141.7,0.6,False,,True,True,,,,,,,,True,,True,True,,True,True,,False,True,,True,True,,,,,True,True
01033,62,86.0,92.1,,86.0,97.0,,,,,,,,139.0,,7.8,37.1,,78.6,78.3,,94.0,58.0,,12.7,88.4,,,,,93.9,79.5,24.0,30.1,,24.0,35.0,,,,,,,,77.0,,-54.2,-24.9,,16.6,16.3,,32.0,-4.0,,-49.3,26.4,,,,,31.9,17.5,False,,False,False,,,,,,,,False,,False,False,,True,True,,False,True,,False,False,,,,,False,True
01035,12,80.0,82.1,,22.0,5.0,,,,,,,,22.0,,25.4,9.0,,41.4,15.4,9.9,,37.0,,1.8,,,,,,57.1,23.5,68.0,70.1,,10.0,-7.0,,,,,,,,10.0,,13.4,-3.0,,29.4,3.4,-2.1,,25.0,,-10.2,,,,,,45.1,11.5,False,,True,True,,,,,,,,True,,True,True,,True,True,True,,True,,True,,,,,,True,True
01037,9,47.0,47.3,,33.0,43.0,,,,,,,,20.0,,33.1,6.7,,34.6,14.0,5.0,,24.0,,15.8,,,,,,56.8,21.3,38.0,38.3,,24.0,34.0,,,,,,,,11.0,,24.1,-2.3,,25.6,5.0,-4.0,,15.0,,6.8,,,,,,47.8,12.3,False,,True,True,,,,,,,,True,,True,True,,True,True,True,,True,,True,,,,,,False,True
01039,97,464.0,457.2,,112.0,72.0,,,,,,,,112.0,,316.8,41.5,,389.5,86.7,61.8,,345.0,,60.0,,,,,,506.5,109.6,367.0,360.2,,15.0,-25.0,,,,,,,,15.0,,219.8,-55.5,,292.5,-10.3,-35.2,,248.0,,-37.0,,,,,,409.5,12.6,True,,True,True,,,,,,,,True,,True,True,,True,True,True,,True,,True,,,,,,False,True
01041,18,105.0,116.3,,31.0,6.0,,,,,,,,47.0,,65.4,13.6,,23.3,24.1,24.5,36.0,33.0,,1.2,,,,,,105.5,48.6,87.0,98.3,,13.0,-12.0,,,,,,,,29.0,,47.4,-4.4,,5.3,6.1,6.5,18.0,15.0,,-16.8,,,,,,87.5,30.6,False,,True,True,,,,,,,,True,,True,True,,True,True,True,True,True,,True,,,,,,False,True
01043,67,324.0,351.8,,166.0,7.0,,,,,,,,271.0,,143.5,65.8,,206.6,101.8,73.7,312.0,230.0,,19.3,277.8,,,,,187.7,117.0,257.0,284.8,,99.0,-60.0,,,,,,,,204.0,,76.5,-1.2,,139.6,34.8,6.7,245.0,163.0,,-47.7,210.8,,,,,120.7,50.0,False,,True,True,,,,,,,,True,,True,True,,True,True,True,True,True,,True,True,,,,,True,True
01045,70,240.0,268.0,,153.0,266.0,,,,,,,,108.0,,118.6,47.1,,187.4,67.0,61.8,247.0,106.0,,2.5,211.2,,,,,242.3,152.4,170.0,198.0,,83.0,196.0,,,,,,,,38.0,,48.6,-22.9,,117.4,-3.0,-8.2,177.0,36.0,,-67.5,141.2,,,,,172.3,82.4,False,,True,False,,,,,,,,True,,True,True,,True,True,True,False,True,,True,True,,,,,False,True
01047,46,263.0,273.3,,105.0,75.0,,,,,,,,105.0,,104.8,19.2,,192.5,63.2,31.7,229.0,125.0,,38.5,221.2,,,,,330.8,51.7,217.0,227.3,,59.0,29.0,,,,,,,,59.0,,58.8,-26.8,,146.5,17.2,-14.3,183.0,79.0,,-7.5,175.2,,,,,284.8,5.7,False,,True,True,,,,,,,,True,,True,True,,True,True,True,True,True,,True,True,,,,,False,True
01049,81,204.0,206.6,,128.0,8.0,,,,,,,,194.0,,12.3,48.8,,157.4,98.6,22.0,196.0,161.0,,29.2,193.5,,,,,161.2,185.3,123.0,125.6,,47.0,-73.0,,,,,,,,113.0,,-68.7,-32.2,,76.4,17.6,-59.0,115.0,80.0,,-51.8,112.5,,,,,80.2,104.3,False,,True,True,,,,,,,,True,,True,True,,True,True,True,True,True,,True,True,,,,,True,True
01051,126,331.0,326.1,,192.0,415.0,,,,,,,,187.0,,94.5,50.2,,196.8,132.1,97.3,327.0,216.0,,61.8,302.7,,,,,315.1,147.3,205.0,200.1,,66.0,289.0,,,,,,,,61.0,,-31.5,-75.8,,70.8,6.1,-28.7,201.0,90.0,,-64.2,176.7,,,,,189.1,21.3,True,,True,False,,,,,,,,True,,True,True,,True,True,True,True,True,,True,True,,,,,True,True
01053,52,269.0,270.9,,122.0,3.0,,,,,,,,111.0,,133.1,32.1,,168.4,51.4,47.4,247.0,115.0,,24.4,223.9,,,,,165.9,101.2,217.0,218.9,,70.0,-49.0,,,,,,,,59.0,,81.1,-19.9,,116.4,-0.6,-4.6,195.0,63.0,,-27.6,171.9,,,,,113.9,49.2,False,,True,True,,,,,,,,True,,True,True,,True,True,True,True,True,,True,True,,,,,True,True
01055,163,479.0,462.9,,226.0,203.0,,,,,,,,248.0,,165.6,117.4,,422.7,147.1,149.8,470.0,280.0,,86.4,405.1,,,,,377.9,286.1,316.0,299.9,,63.0,40.0,,,,,,,,85.0,,2.6,-45.6,,259.7,-15.9,-13.2,307.0,117.0,,-76.6,242.1,,,,,214.9,123.1,True,,True,True,,,,,,,,True,,True,True,,True,True,True,True,True,,True,True,,,,,True,True
01057,38,77.0,83.2,,37.0,19.0,,,,,,,,35.0,,64.7,23.1,,49.3,26.9,29.3,85.0,31.0,,25.7,,,,,,86.7,38.8,39.0,45.2,,-1.0,-19.0,,,,,,,,-3.0,,26.7,-14.9,,11.3,-11.1,-8.7,47.0,-7.0,,-12.3,,,,,,48.7,0.8,False,,True,True,,,,,,,,True,,True,True,,True,True,True,False,True,,True,,,,,,False,True
01059,39,99.0,103.2,,65.0,50.0,,,,,,,,131.0,,7.8,21.6,,44.1,50.7,63.5,99.0,75.0,,42.3,90.4,,,,,94.6,87.0,60.0,64.2,,26.0,11.0,,,,,,,,92.0,,-31.2,-17.4,,5.1,11.7,24.5,60.0,36.0,,3.3,51.4,,,,,55.6,48.0,False,,True,True,,,,,,,,False,,True,True,,True,True,True,False,True,,True,True,,,,,True,True
01061,63,152.0,154.9,,85.0,85.0,,,,,,,,63.0,,107.1,38.9,,124.0,46.2,34.3,145.0,75.0,,20.2,,,,,,121.3,84.6,89.0,91.9,,22.0,22.0,,,,,,,,0.0,,44.1,-24.1,,61.0,-16.8,-28.7,82.0,12.0,,-42.8,,,,,,58.3,21.6,False,,True,True,,,,,,,,True,,True,True,,True,True,True,True,True,,True,,,,,,True,True
01063,3,18.0,16.7,,3.0,0.0,,,,,,,,10.0,,1.2,3.4,,0.1,4.5,0.0,,8.0,,2.8,,,,,,13.4,19.6,15.0,13.7,,0.0,-3.0,,,,,,,,7.0,,-1.8,0.4,,-2.9,1.5,-3.0,,5.0,,-0.2,,,,,,10.4,16.6,True,,True,True,,,,,,,,True,,True,True,,True,True,True,,True,,True,,,,,,True,False
01065,30,61.0,62.0,,27.0,8.0,,,,,,,,47.0,,26.6,7.2,,28.3,19.5,12.0,21.0,27.0,,2.0,,,,,,45.9,31.9,31.0,32.0,,-3.0,-22.0,,,,,,,,17.0,,-3.4,-22.8,,-1.7,-10.5,-18.0,-9.0,-3.0,,-28.0,,,,,,15.9,1.9,False,,True,True,,,,,,,,True,,True,True,,True,True,True,True,True,,True,,,,,,True,True
01067,31,108.0,114.4,,31.0,13.0,,,,,,,,24.0,,75.2,15.0,,81.4,29.4,24.9,103.0,46.0,,28.1,,,,,,110.7,51.8,77.0,83.4,,0.0,-18.0,,,,,,,,-7.0,,44.2,-16.0,,50.4,-1.6,-6.1,72.0,15.0,,-2.9,,,,,,79.7,20.8,False,,True,True,,,,,,,,True,,True,True,,True,True,True,True,True,,True,,,,,,False,True
01069,210,705.0,730.5,,507.0,1450.0,,,,,,,,214.0,,414.5,119.6,,600.2,163.3,195.2,670.0,288.0,,90.5,618.4,,,,,722.5,238.7,495.0,520.5,,297.0,1240.0,,,,,,,,4.0,,204.5,-90.4,,390.2,-46.7,-14.8,460.0,78.0,,-119.5,408.4,,,,,512.5,28.7,False,,True,False,,,,,,,,True,,True,True,,True,True,True,True,True,,True,True,,,,,False,True
01071,76,140.0,145.2,,93.0,88.0,,,,,,,,127.0,,15.7,52.2,,96.8,88.7,36.5,145.0,132.0,,47.5,133.5,,,,,140.6,184.2,64.0,69.2,,17.0,12.0,,,,,,,,51.0,,-60.3,-23.8,,20.8,12.7,-39.5,69.0,56.0,,-28.5,57.5,,,,,64.6,108.2,False,,True,True,,,,,,,,True,,True,True,,True,True,True,False,True,,True,True,,,,,False,False
01073,751,1634.0,1526.2,771.0,1466.0,2804.0,,,,,,,,1483.0,,17.9,546.8,,1529.5,846.9,745.5,1833.0,981.0,,565.1,1446.5,1596.0,,,,1793.3,1034.1,883.0,775.2,20.0,715.0,2053.0,,,,,,,,732.0,,-733.1,-204.2,,778.5,95.9,-5.5,1082.0,230.0,,-185.9,695.5,845.0,,,,1042.3,283.1,True,True,True,False,,,,,,,,True,,True,True,,True,True,True,False,True,,True,True,True,,,,False,True
01075,24,56.0,55.1,,31.0,0.0,,,,,,,,37.0,,31.4,12.1,,32.4,23.0,10.9,21.0,30.0,,10.4,,,,,,42.6,36.2,32.0,31.1,,7.0,-24.0,,,,,,,,13.0,,7.4,-11.9,,8.4,-1.0,-13.1,-3.0,6.0,,-13.6,,,,,,18.6,12.2,True,,True,True,,,,,,,,True,,True,True,,True,True,True,True,True,,True,,,,,,True,True
01077,78,123.0,131.1,,105.0,131.0,,,,,,,,229.0,,5.4,61.1,,92.2,84.5,51.4,140.0,101.0,,52.0,117.4,,,,,121.8,144.3,45.0,53.1,,27.0,53.0,,,,,,,,151.0,,-72.6,-16.9,,14.2,6.5,-26.6,62.0,23.0,,-26.0,39.4,,,,,43.8,66.3,False,,True,False,,,,,,,,False,,False,True,,True,True,True,False,True,,True,True,,,,,True,False
01079,33,53.0,50.7,,28.0,7.0,,,,,,,,75.0,,10.6,32.8,,25.2,28.4,28.6,57.0,17.0,,17.2,,,,,,57.4,50.3,20.0,17.7,,-5.0,-26.0,,,,,,,,42.0,,-22.4,-0.2,,-7.8,-4.6,-4.4,24.0,-16.0,,-15.8,,,,,,24.4,17.3,True,,True,False,,,,,,,,False,,False,True,,True,True,True,False,True,,True,,,,,,False,True
01081,223,2112.0,2086.1,,1488.0,5966.0,,,,,,,,481.0,,1344.6,166.2,,1630.6,535.2,587.4,1803.0,1008.0,,132.0,1746.8,,,,,1683.4,307.3,1889.0,1863.1,,1265.0,5743.0,,,,,,,,258.0,,1121.6,-56.8,,1407.6,312.2,364.4,1580.0,785.0,,-91.0,1523.8,,,,,1460.4,84.3,True,,True,False,,,,,,,,True,,True,True,,True,True,True,True,True,,True,True,,,,,True,True
01083,118,197.0,190.1,,177.0,205.0,,,,,,,,241.0,,23.1,53.3,,182.6,150.4,96.4,229.0,103.0,,50.4,172.2,,,,,201.0,205.9,79.0,72.1,,59.0,87.0,,,,,,,,123.0,,-94.9,-64.7,,64.6,32.4,-21.6,111.0,-15.0,,-67.6,54.2,,,,,83.0,87.9,True,,True,False,,,,,,,,False,,False,True,,True,True,True,False,True,,True,True,,,,,False,False
01085,8,41.0,40.8,,16.0,0.0,,,,,,,,19.0,,0.2,3.0,,17.4,15.7,0.1,,23.0,,4.5,,,,,,34.2,28.9,33.0,32.8,,8.0,-8.0,,,,,,,,11.0,,-7.8,-5.0,,9.4,7.7,-7.9,,15.0,,-3.5,,,,,,26.2,20.9,True,,True,True,,,,,,,,True,,True,True,,True,True,True,,True,,True,,,,,,True,True
01087,7,56.0,57.0,,17.0,13.0,,,,,,,,20.0,,51.1,13.4,,13.0,17.0,12.7,21.0,28.0,,7.4,,,,,,50.6,40.0,49.0,50.0,,10.0,6.0,,,,,,,,13.0,,44.1,6.4,,6.0,10.0,5.7,14.0,21.0,,0.4,,,,,,43.6,33.0,False,,True,True,,,,,,,,True,,True,True,,True,True,True,True,True,,True,,,,,,True,True
01089,359,716.0,660.3,333.5,540.0,455.0,,,,,,,,640.0,,24.4,317.9,,765.3,469.0,168.2,792.0,367.0,,107.9,610.3,666.0,,,,668.1,610.6,357.0,301.3,-25.5,181.0,96.0,,,,,,,,281.0,,-334.6,-41.1,,406.3,110.0,-190.8,433.0,8.0,,-251.1,251.3,307.0,,,,309.1,251.6,True,True,True,True,,,,,,,,True,,True,True,,False,True,True,False,True,,True,True,True,,,,True,True
01091,24,43.0,41.1,,17.0,0.0,,,,,,,,59.0,,16.5,11.9,,19.8,16.5,0.1,43.0,17.0,,7.9,,,,,,35.1,25.0,19.0,17.1,,-7.0,-24.0,,,,,,,,35.0,,-7.5,-12.1,,-4.2,-7.5,-23.9,19.0,-7.0,,-16.1,,,,,,11.1,1.0,True,,True,False,,,,,,,,False,,True,True,,True,True,False,False,True,,True,,,,,,True,True
01093,34,158.0,155.2,,67.0,0.0,,,,,,,,67.0,,73.1,31.8,,146.6,55.9,37.3,159.0,67.0,,9.3,,,,,,185.4,67.4,124.0,121.2,,33.0,-34.0,,,,,,,,33.0,,39.1,-2.2,,112.6,21.9,3.3,125.0,33.0,,-24.7,,,,,,151.4,33.4,True,,True,True,,,,,,,,True,,True,True,,True,True,True,False,True,,True,,,,,,False,True
01095,135,285.0,290.5,,165.0,16.0,,,,,,,,291.0,,9.1,54.0,,212.8,117.8,77.1,253.0,203.0,,24.5,249.4,,,,,220.8,229.0,150.0,155.5,,30.0,-119.0,,,,,,,,156.0,,-125.9,-81.0,,77.8,-17.2,-57.9,118.0,68.0,,-110.5,114.4,,,,,85.8,94.0,False,,True,True,,,,,,,,False,,True,True,,True,True,True,True,True,,True,True,,,,,True,True
01097,393,561.0,547.7,234.2,326.0,96.0,,,,,,,,619.0,,8.1,248.9,,458.2,282.5,163.3,608.0,465.0,,28.4,596.0,370.0,,,,833.2,313.6,168.0,154.7,-158.8,-67.0,-297.0,,,,,,,,226.0,,-384.9,-144.1,,65.2,-110.5,-229.7,215.0,72.0,,-364.6,203.0,-23.0,,,,440.2,-79.4,True,True,True,False,,,,,,,,False,,False,True,,True,True,False,False,True,,False,False,True,,,,False,True
01099,16,131.0,130.4,,22.0,0.0,,,,,,,,43.0,,78.0,11.1,,13.6,21.9,9.9,,62.0,,6.2,,,,,,215.4,33.9,115.0,114.4,,6.0,-16.0,,,,,,,,27.0,,62.0,-4.9,,-2.4,5.9,-6.1,,46.0,,-9.8,,,,,,199.4,17.9,True,,True,True,,,,,,,,True,,True,True,,True,True,True,,True,,True,,,,,,False,True
01101,196,532.0,532.3,204.3,433.0,600.0,,,,,,,,461.0,,11.9,114.1,,424.3,271.7,246.7,552.0,233.0,,146.0,517.2,531.0,,,,440.9,249.8,336.0,336.3,8.3,237.0,404.0,,,,,,,,265.0,,-184.1,-81.9,,228.3,75.7,50.7,356.0,37.0,,-50.0,321.2,335.0,,,,244.9,53.8,False,True,True,False,,,,,,,,True,,True,True,,True,True,True,False,True,,True,True,True,,,,True,True
01103,113,237.0,222.9,,206.0,222.0,,,,,,,,289.0,,10.7,68.6,,194.1,127.4,48.0,247.0,108.0,,67.0,218.5,,,,,226.5,215.3,124.0,109.9,,93.0,109.0,,,,,,,,176.0,,-102.3,-44.4,,81.1,14.4,-65.0,134.0,-5.0,,-46.0,105.5,,,,,113.5,102.3,True,,True,True,,,,,,,,False,,True,True,,True,True,True,False,True,,True,True,,,,,True,True
01105,4,52.0,52.5,,6.0,0.0,,,,,,,,15.0,,2.0,4.8,,5.7,9.8,0.0,,26.0,,1.2,,,,,,30.2,18.8,48.0,48.5,,2.0,-4.0,,,,,,,,11.0,,-2.0,0.8,,1.7,5.8,-4.0,,22.0,,-2.8,,,,,,26.2,14.8,False,,True,True,,,,,,,,True,,True,True,,True,True,True,,True,,True,,,,,,True,True
01107,32,70.0,77.3,,30.0,27.0,,,,,,,,48.0,,34.5,15.9,,29.9,30.2,20.8,70.0,42.0,,18.0,,,,,,67.9,51.3,38.0,45.3,,-2.0,-5.0,,,,,,,,16.0,,2.5,-16.1,,-2.1,-1.8,-11.2,38.0,10.0,,-14.0,,,,,,35.9,19.3,False,,True,True,,,,,,,,True,,True,True,,True,True,True,False,True,,True,,,,,,True,True
