,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01049,463,570.0,1447.8,297.0,,,,810.0,270.3,199.7,160.4,339.4,,,107.0,984.8,-166.0,,,,347.0,-192.7,-263.3,-302.6,-123.6,,,False,False,,,,False,False,False,False,False,,
01051,773,510.0,1138.4,292.0,,,,560.0,322.1,237.6,408.3,359.1,,,-263.0,365.4,-481.0,,,,-213.0,-450.9,-535.4,-364.7,-413.9,,,False,False,,,,True,False,False,False,False,,
01053,368,174.0,,163.0,,,,703.0,47.7,0.7,96.3,140.4,,,-194.0,,-205.0,,,,335.0,-320.3,-367.3,-271.7,-227.6,,,,False,,,,False,False,False,False,False,,
01055,1133,744.0,3152.4,283.0,,,,1066.0,413.4,451.5,544.3,473.0,,,-389.0,2019.4,-850.0,,,,-67.0,-719.6,-681.5,-588.7,-660.0,,,False,False,,,,True,False,False,False,False,,
01057,199,198.0,,274.0,,,,128.0,82.1,89.5,169.8,132.6,,,-1.0,,75.0,,,,-71.0,-116.9,-109.5,-29.2,-66.4,,,,False,,,,False,False,False,False,False,,
01059,433,330.0,,419.0,,,,390.0,207.3,24.5,385.7,264.1,,,-103.0,,-14.0,,,,-43.0,-225.7,-408.5,-47.3,-168.9,,,,True,,,,True,False,False,True,False,,
01061,327,126.0,,67.0,,,,342.0,33.9,125.4,61.2,530.8,,,-201.0,,-260.0,,,,15.0,-293.1,-201.6,-265.8,203.8,,,,False,,,,True,False,False,False,False,,
01063,37,42.0,,15.0,,,,72.0,9.4,0.2,65.5,27.8,,,5.0,,-22.0,,,,35.0,-27.6,-36.8,28.5,-9.2,,,,False,,,,False,False,False,False,False,,
01065,130,132.0,,119.0,,,,164.0,15.5,3.3,68.6,154.1,,,2.0,,-11.0,,,,34.0,-114.5,-126.7,-61.4,24.1,,,,False,,,,False,False,False,False,False,,
01067,205,90.0,,61.0,,,,106.0,10.7,73.4,32.6,81.3,,,-115.0,,-144.0,,,,-99.0,-194.3,-131.6,-172.4,-123.7,,,,False,,,,True,False,False,False,False,,
01069,1325,744.0,2523.6,951.0,,,,1038.0,375.6,326.5,430.9,1614.9,,,-581.0,1198.6,-374.0,,,,-287.0,-949.4,-998.5,-894.1,289.9,,,False,True,,,,True,False,False,False,True,,
01071,421,912.0,1047.8,1011.0,,,,465.0,549.3,279.9,673.5,565.0,,,491.0,626.8,590.0,,,,44.0,128.3,-141.1,252.5,144.0,,,False,False,,,,True,True,True,True,True,,
01073,5494,5616.0,23179.1,2436.0,,,,5621.0,4133.2,1337.3,1509.0,3227.0,,,122.0,17685.1,-3058.0,,,,127.0,-1360.8,-4156.7,-3985.0,-2267.0,,,False,False,,,,False,False,False,False,False,,
01075,118,114.0,,89.0,,,,104.0,24.5,92.7,20.7,47.4,,,-4.0,,-29.0,,,,-14.0,-93.5,-25.3,-97.3,-70.6,,,,False,,,,False,False,False,False,False,,
01077,469,444.0,848.4,167.0,,,,704.0,204.5,273.6,151.8,561.3,,,-25.0,379.4,-302.0,,,,235.0,-264.5,-195.4,-317.2,92.3,,,False,False,,,,False,False,False,False,False,,
01079,233,114.0,,25.0,,,,292.0,57.0,211.7,105.0,205.2,,,-119.0,,-208.0,,,,59.0,-176.0,-21.3,-128.0,-27.8,,,,False,,,,True,False,True,False,True,,
01081,2887,600.0,3348.8,239.0,,,,984.0,355.3,372.2,239.9,483.4,,,-2287.0,461.8,-2648.0,,,,-1903.0,-2531.7,-2514.8,-2647.1,-2403.6,,,True,False,,,,True,False,False,False,False,,
01083,636,684.0,1578.9,461.0,,,,692.0,546.0,321.9,257.8,536.8,,,48.0,942.9,-175.0,,,,56.0,-90.0,-314.1,-378.2,-99.2,,,False,False,,,,False,False,False,False,False,,
01085,63,36.0,,9.0,,,,79.0,3.0,0.6,4.9,21.4,,,-27.0,,-54.0,,,,16.0,-60.0,-62.4,-58.1,-41.6,,,,False,,,,True,False,False,False,False,,
01087,113,66.0,,51.0,,,,101.0,4.5,11.0,45.3,100.8,,,-47.0,,-62.0,,,,-12.0,-108.5,-102.0,-67.7,-12.2,,,,False,,,,True,False,False,False,True,,
01089,2166,2082.0,15768.5,1480.0,,,,2312.0,1437.3,741.4,418.2,1361.2,,,-84.0,13602.5,-686.0,,,,146.0,-728.7,-1424.6,-1747.8,-804.8,,,False,False,,,,False,False,False,False,False,,
01091,128,180.0,,171.0,,,,269.0,41.7,0.7,108.6,254.7,,,52.0,,43.0,,,,141.0,-86.3,-127.3,-19.4,126.7,,,,True,,,,False,False,False,True,False,,
01093,320,180.0,,88.0,,,,269.0,104.9,105.5,66.9,122.7,,,-140.0,,-232.0,,,,-51.0,-215.1,-214.5,-253.1,-197.3,,,,False,,,,True,False,False,False,False,,
01095,674,582.0,2498.8,173.0,,,,997.0,140.0,183.6,88.0,347.6,,,-92.0,1824.8,-501.0,,,,323.0,-534.0,-490.4,-586.0,-326.4,,,False,False,,,,False,False,False,False,False,,
01097,2341,6750.0,6271.0,4078.0,,,,6169.0,2590.6,2514.6,1315.5,8548.1,,,4409.0,3930.0,1737.0,,,,3828.0,249.6,173.6,-1025.5,6207.1,,,True,True,,,,True,True,True,True,False,,
01099,89,78.0,,42.0,,,,241.0,9.4,29.9,93.7,52.9,,,-11.0,,-47.0,,,,152.0,-79.6,-59.1,4.7,-36.1,,,,False,,,,False,False,False,True,False,,
01101,1649,2760.0,864.9,2425.0,,,,2361.0,911.3,1011.6,2270.7,2930.2,,,1111.0,-784.1,776.0,,,,712.0,-737.7,-637.4,621.7,1281.2,,,True,True,,,,True,True,True,True,False,,
01103,756,714.0,764.6,293.0,,,,1041.0,274.3,290.1,423.3,604.0,,,-42.0,8.6,-463.0,,,,285.0,-481.7,-465.9,-332.7,-152.0,,,True,False,,,,False,False,False,False,False,,
01105,50,90.0,,50.0,,,,76.0,24.2,0.0,18.2,106.9,,,40.0,,0.0,,,,26.0,-25.8,-50.0,-31.8,56.9,,,,True,,,,True,True,False,True,False,,
01107,221,252.0,,230.0,,,,203.0,118.2,66.8,171.1,128.2,,,31.0,,9.0,,,,-18.0,-102.8,-154.2,-49.9,-92.8,,,,True,,,,True,False,False,False,False,,
01109,410,114.0,,56.0,,,,301.0,9.8,0.1,179.9,215.8,,,-296.0,,-354.0,,,,-109.0,-400.2,-409.9,-230.1,-194.2,,,,False,,,,True,False,False,True,True,,
01111,221,78.0,,8.0,,,,172.0,10.8,60.6,74.5,59.8,,,-143.0,,-213.0,,,,-49.0,-210.2,-160.4,-146.5,-161.2,,,,False,,,,True,False,False,False,False,,
01113,315,282.0,1688.7,108.0,,,,477.0,35.1,51.9,61.4,702.0,,,-33.0,1373.7,-207.0,,,,162.0,-279.9,-263.1,-253.6,387.0,,,False,False,,,,False,False,False,False,False,,
01115,807,402.0,1038.6,132.0,,,,603.0,229.6,395.5,156.8,299.1,,,-405.0,231.6,-675.0,,,,-204.0,-577.4,-411.5,-650.2,-507.9,,,True,False,,,,True,False,False,False,False,,
01117,2297,1236.0,6845.8,615.0,,,,1463.0,977.6,413.7,781.4,769.4,,,-1061.0,4548.8,-1682.0,,,,-834.0,-1319.4,-1883.3,-1515.6,-1527.6,,,False,False,,,,True,False,False,False,False,,
01119,53,78.0,,79.0,,,,119.0,4.9,0.3,72.6,91.5,,,25.0,,26.0,,,,66.0,-48.1,-52.7,19.6,38.5,,,,False,,,,False,False,False,True,False,,
01121,743,678.0,1211.4,404.0,,,,704.0,382.6,305.6,447.3,646.0,,,-65.0,468.4,-339.0,,,,-39.0,-360.4,-437.4,-295.7,-97.0,,,False,False,,,,True,False,False,False,False,,
01123,193,198.0,,153.0,,,,317.0,34.8,32.4,33.4,230.0,,,5.0,,-40.0,,,,124.0,-158.2,-160.6,-159.6,37.0,,,,False,,,,False,False,False,False,False,,
01125,4021,1326.0,1014.8,845.0,,,,1769.0,988.3,443.8,1417.8,967.8,,,-2695.0,-3006.2,-3176.0,,,,-2252.0,-3032.7,-3577.2,-2603.2,-3053.2,,,False,False,,,,True,False,False,True,False,,
01127,649,474.0,481.0,358.0,,,,659.0,216.0,113.4,286.2,293.2,,,-175.0,-168.0,-291.0,,,,10.0,-433.0,-535.6,-362.8,-355.8,,,True,False,,,,True,False,False,False,False,,
01129,85,468.0,,597.0,,,,218.0,16.8,95.9,129.0,377.4,,,383.0,,512.0,,,,133.0,-68.2,10.9,44.0,292.4,,,,False,,,,True,True,True,True,True,,
01131,65,132.0,,91.0,,,,95.0,24.3,1.3,45.9,62.4,,,67.0,,26.0,,,,30.0,-40.7,-63.7,-19.1,-2.6,,,,True,,,,True,True,True,True,True,,
01133,261,84.0,,48.0,,,,234.0,73.9,95.2,114.0,46.4,,,-177.0,,-213.0,,,,-27.0,-187.1,-165.8,-147.0,-214.6,,,,False,,,,True,False,True,True,False,,
02013,7,0.0,,0.0,,,,,,,0.3,0.4,,,-7.0,,-7.0,,,,,,,-6.7,-6.6,,,,False,,,,,,,True,True,,
02016,6,6.0,,0.0,,,,,,,4.5,5.2,,,0.0,,-6.0,,,,,,,-1.5,-0.8,,,,False,,,,,,,False,False,,
02020,1816,1848.0,3142.4,2521.0,,,,,1145.6,810.0,1306.1,2457.6,,,32.0,1326.4,705.0,,,,,-670.4,-1006.0,-509.9,641.6,,,False,False,,,,,False,False,False,False,,
02050,81,42.0,,0.0,,,,,7.9,,6.5,45.8,,,-39.0,,-81.0,,,,,-73.1,,-74.5,-35.2,,,,False,,,,,False,,False,True,,
02060,0,12.0,,0.0,,,,,2.0,,0.5,14.9,,,12.0,,0.0,,,,,2.0,,0.5,14.9,,,,True,,,,,True,,True,False,,
02068,6,0.0,,0.0,,,,,,,0.0,,,,-6.0,,-6.0,,,,,,,-6.0,,,,,False,,,,,,,False,,,
02070,6,6.0,,0.0,,,,,2.6,,2.5,,,,0.0,,-6.0,,,,,-3.4,,-3.5,,,,,False,,,,,False,,False,,,
02090,601,300.0,634.6,0.0,,,,,305.3,149.7,143.0,284.6,,,-301.0,33.6,-601.0,,,,,-295.7,-451.3,-458.0,-316.4,,,True,False,,,,,True,False,False,False,,
02100,1,6.0,,0.0,,,,,,,0.0,7.7,,,5.0,,-1.0,,,,,,,-1.0,6.7,,,,True,,,,,,,True,False,,
02105,0,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,0.0,,,,,True,,,,,,,True,,,
02110,154,246.0,,253.0,,,,,136.5,3.3,310.2,112.9,,,92.0,,99.0,,,,,-17.5,-150.7,156.2,-41.1,,,,False,,,,,True,False,False,True,,
02122,101,198.0,429.0,141.0,,,,,54.1,148.0,216.8,247.9,,,97.0,328.0,40.0,,,,,-46.9,47.0,115.8,146.9,,,False,True,,,,,True,True,False,False,,
02130,13,12.0,,0.0,,,,,5.5,,10.4,22.7,,,-1.0,,-13.0,,,,,-7.5,,-2.6,9.7,,,,False,,,,,False,,False,False,,
02150,16,24.0,,0.0,,,,,1.9,,2.7,16.6,,,8.0,,-16.0,,,,,-14.1,,-13.2,0.6,,,,False,,,,,False,,False,True,,
02158,4,12.0,,0.0,,,,,,,2.9,11.3,,,8.0,,-4.0,,,,,,,-1.1,7.3,,,,True,,,,,,,True,True,,
02164,18,0.0,,0.0,,,,,,,0.0,,,,-18.0,,-18.0,,,,,,,-18.0,,,,,False,,,,,,,False,,,
02170,227,288.0,809.5,430.0,,,,,100.5,214.6,158.3,242.4,,,61.0,582.5,203.0,,,,,-126.5,-12.4,-68.7,15.4,,,False,False,,,,,False,True,False,True,,
02180,45,30.0,,0.0,,,,,2.4,,2.1,,,,-15.0,,-45.0,,,,,-42.6,,-42.9,,,,,False,,,,,False,,False,,,
02185,102,18.0,,0.0,,,,,4.3,,18.8,,,,-84.0,,-102.0,,,,,-97.7,,-83.2,,,,,False,,,,,False,,True,,,
02188,63,30.0,,0.0,,,,,9.3,,19.8,,,,-33.0,,-63.0,,,,,-53.7,,-43.2,,,,,False,,,,,False,,False,,,
02195,1,6.0,,0.0,,,,,0.6,,1.1,2.7,,,5.0,,-1.0,,,,,-0.4,,0.1,1.7,,,,True,,,,,True,,True,True,,
02198,18,30.0,,,,,,,4.4,,24.7,15.3,,,12.0,,,,,,,-13.6,,6.7,-2.7,,,,,,,,,False,,True,True,,
02220,17,30.0,,0.0,,,,,4.3,,11.4,39.1,,,13.0,,-17.0,,,,,-12.7,,-5.6,22.1,,,,False,,,,,True,,True,False,,
02230,0,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,0.0,,,,,True,,,,,,,True,,,
02240,10,12.0,,0.0,,,,,1.6,,5.3,,,,2.0,,-10.0,,,,,-8.4,,-4.7,,,,,False,,,,,False,,False,,,
02261,18,54.0,,0.0,,,,,14.1,,34.2,,,,36.0,,-18.0,,,,,-3.9,,16.2,,,,,True,,,,,True,,True,,,
02275,5,0.0,,0.0,,,,,,,0.1,6.0,,,-5.0,,-5.0,,,,,,,-4.9,1.0,,,,False,,,,,,,True,True,,
02282,17,12.0,,0.0,,,,,,,8.2,16.0,,,-5.0,,-17.0,,,,,,,-8.8,-1.0,,,,False,,,,,,,False,True,,
02290,25,36.0,,0.0,,,,,17.9,,4.0,,,,11.0,,-25.0,,,,,-7.1,,-21.1,,,,,False,,,,,True,,False,,,
04001,301,516.0,1162.0,766.0,,,,301.0,78.9,17.5,419.2,427.9,,,215.0,861.0,465.0,,,,0.0,-222.1,-283.5,118.2,126.9,,,False,False,,,,True,False,False,True,True,,
04003,146,960.0,2717.7,1745.0,,,,468.0,27.7,279.0,41.0,633.8,,,814.0,2571.7,1599.0,,,,322.0,-118.3,133.0,-105.0,487.8,,,False,False,,,,True,True,True,True,True,,
04005,900,546.0,1559.6,366.0,,,,417.0,189.9,183.1,120.7,396.9,,,-354.0,659.6,-534.0,,,,-483.0,-710.1,-716.9,-779.3,-503.1,,,False,False,,,,False,False,False,False,False,,
04007,311,558.0,714.8,396.0,,,,312.0,200.8,104.7,315.2,482.2,,,247.0,403.8,85.0,,,,1.0,-110.2,-206.3,4.2,171.2,,,False,True,,,,True,True,True,True,True,,
04009,223,342.0,,303.0,,,,217.0,205.6,0.1,118.4,385.2,,,119.0,,80.0,,,,-6.0,-17.4,-222.9,-104.6,162.2,,,,True,,,,True,True,False,True,False,,
04011,4,0.0,,0.0,,,,22.0,1.9,,14.5,10.2,,,-4.0,,-4.0,,,,18.0,-2.1,,10.5,6.2,,,,False,,,,False,True,,False,False,,
04012,58,72.0,,34.0,,,,65.0,7.8,3.5,75.4,60.8,,,14.0,,-24.0,,,,7.0,-50.2,-54.5,17.4,2.8,,,,False,,,,True,False,False,False,True,,
04013,12098,19920.0,29403.9,11617.0,,,,19509.0,15341.4,5230.7,5443.1,6843.5,,,7822.0,17305.9,-481.0,,,,7411.0,3243.4,-6867.3,-6654.9,-5254.5,,,False,True,,,,True,True,True,True,True,,
04015,636,1188.0,1392.5,484.0,,,,1441.0,426.7,327.7,843.4,1036.7,,,552.0,756.5,-152.0,,,,805.0,-209.3,-308.3,207.4,400.7,,,False,True,,,,False,True,True,True,True,,
04017,341,498.0,614.7,284.0,,,,436.0,178.4,46.8,110.9,528.4,,,157.0,273.7,-57.0,,,,95.0,-162.6,-294.2,-230.1,187.4,,,False,True,,,,True,False,False,False,False,,
04019,6024,9510.0,7201.0,12837.0,,,,3641.0,7054.8,2655.3,8951.3,6596.3,,,3486.0,1177.0,6813.0,,,,-2383.0,1030.8,-3368.7,2927.3,572.3,,,True,False,,,,True,True,True,True,True,,
04021,1854,1968.0,2091.1,1661.0,,,,2270.0,1044.5,613.5,232.6,1121.3,,,114.0,237.1,-193.0,,,,416.0,-809.5,-1240.5,-1621.4,-732.7,,,False,False,,,,False,False,False,False,False,,
04023,166,234.0,,145.0,,,,542.0,43.1,9.8,824.4,170.4,,,68.0,,-21.0,,,,376.0,-122.9,-156.2,658.4,4.4,,,,True,,,,False,False,False,False,True,,
04025,394,924.0,3026.9,445.0,,,,1238.0,686.2,627.8,964.8,478.5,,,530.0,2632.9,51.0,,,,844.0,292.2,233.8,570.8,84.5,,,False,True,,,,False,True,True,False,True,,
04027,826,2046.0,6578.9,1450.0,,,,747.0,379.0,71.8,368.1,3164.6,,,1220.0,5752.9,624.0,,,,-79.0,-447.0,-754.2,-457.9,2338.6,,,False,True,,,,True,True,True,True,False,,
05001,158,204.0,,117.0,,,,271.0,54.5,78.7,68.4,184.0,,,46.0,,-41.0,,,,113.0,-103.5,-79.3,-89.6,26.0,,,,True,,,,False,False,False,False,True,,
05003,80,180.0,,141.0,,,,270.0,135.5,93.5,72.0,203.5,,,100.0,,61.0,,,,190.0,55.5,13.5,-8.0,123.5,,,,True,,,,False,True,True,True,False,,
05005,256,60.0,,141.0,,,,211.0,17.3,,31.0,57.3,,,-196.0,,-115.0,,,,-45.0,-238.7,,-225.0,-198.7,,,,True,,,,True,False,,False,False,,
05007,1628,870.0,1925.3,375.0,,,,1782.0,285.8,281.9,345.4,569.5,,,-758.0,297.3,-1253.0,,,,154.0,-1342.2,-1346.1,-1282.5,-1058.5,,,True,False,,,,True,False,False,False,False,,
05009,486,102.0,,30.0,,,,164.0,48.5,121.3,26.8,672.7,,,-384.0,,-456.0,,,,-322.0,-437.5,-364.7,-459.2,186.7,,,,False,,,,True,False,True,False,True,,
05011,124,192.0,,273.0,,,,149.0,26.7,60.2,85.6,74.3,,,68.0,,149.0,,,,25.0,-97.3,-63.8,-38.4,-49.7,,,,False,,,,True,False,True,True,True,,
05013,21,0.0,,0.0,,,,35.0,,,2.5,,,,-21.0,,-21.0,,,,14.0,,,-18.5,,,,,False,,,,True,,,True,,,
05015,269,180.0,,165.0,,,,98.0,24.2,68.8,99.7,196.7,,,-89.0,,-104.0,,,,-171.0,-244.8,-200.2,-169.3,-72.3,,,,False,,,,False,False,False,False,True,,
05017,86,1140.0,,610.0,,,,230.0,260.6,370.5,70.5,600.5,,,1054.0,,524.0,,,,144.0,174.6,284.5,-15.5,514.5,,,,True,,,,True,True,True,True,True,,
05019,156,54.0,,34.0,,,,182.0,9.5,53.0,38.7,69.4,,,-102.0,,-122.0,,,,26.0,-146.5,-103.0,-117.3,-86.6,,,,False,,,,True,False,False,False,True,,
05021,149,90.0,,144.0,,,,136.0,21.3,68.4,14.1,192.6,,,-59.0,,-5.0,,,,-13.0,-127.7,-80.6,-134.9,43.6,,,,True,,,,True,False,False,False,True,,
05023,111,156.0,,144.0,,,,217.0,83.7,64.1,92.0,64.3,,,45.0,,33.0,,,,106.0,-27.3,-46.9,-19.0,-46.7,,,,True,,,,False,True,False,True,False,,
05025,67,120.0,,160.0,,,,67.0,27.0,30.6,28.2,128.8,,,53.0,,93.0,,,,0.0,-40.0,-36.4,-38.8,61.8,,,,False,,,,True,True,True,True,False,,
05027,202,162.0,,120.0,,,,295.0,81.7,0.0,27.9,115.0,,,-40.0,,-82.0,,,,93.0,-120.3,-202.0,-174.1,-87.0,,,,False,,,,False,False,False,False,False,,
05029,102,72.0,,83.0,,,,260.0,16.6,75.4,27.9,101.0,,,-30.0,,-19.0,,,,158.0,-85.4,-26.6,-74.1,-1.0,,,,True,,,,False,False,True,False,True,,
05031,1461,822.0,1965.3,531.0,,,,1213.0,200.6,487.0,191.5,758.7,,,-639.0,504.3,-930.0,,,,-248.0,-1260.4,-974.0,-1269.5,-702.3,,,True,False,,,,True,False,False,False,False,,
05033,672,546.0,1248.4,511.0,,,,863.0,372.0,244.5,397.8,495.3,,,-126.0,576.4,-161.0,,,,191.0,-300.0,-427.5,-274.2,-176.7,,,False,False,,,,False,False,False,False,False,,
05035,484,654.0,,377.0,,,,685.0,352.1,194.9,852.4,750.5,,,170.0,,-107.0,,,,201.0,-131.9,-289.1,368.4,266.5,,,,True,,,,False,True,False,False,False,,
05037,210,162.0,,313.0,,,,229.0,30.7,122.9,129.6,155.3,,,-48.0,,103.0,,,,19.0,-179.3,-87.1,-80.4,-54.7,,,,False,,,,True,False,False,False,False,,
05039,97,42.0,,15.0,,,,79.0,20.7,,3.7,98.1,,,-55.0,,-82.0,,,,-18.0,-76.3,,-93.2,1.1,,,,False,,,,True,False,,False,True,,
05041,84,108.0,,135.0,,,,166.0,22.6,29.6,45.1,84.9,,,24.0,,51.0,,,,82.0,-61.4,-54.4,-38.9,0.9,,,,False,,,,False,False,False,False,True,,
05043,105,336.0,,552.0,,,,249.0,343.5,76.7,220.1,206.6,,,231.0,,447.0,,,,144.0,238.5,-28.3,115.1,101.6,,,,False,,,,True,False,True,True,True,,
05045,1077,510.0,2831.5,313.0,,,,972.0,368.6,222.9,564.0,671.8,,,-567.0,1754.5,-764.0,,,,-105.0,-708.4,-854.1,-513.0,-405.2,,,False,False,,,,True,False,False,True,True,,
05047,141,78.0,,15.0,,,,141.0,47.2,73.2,29.5,498.2,,,-63.0,,-126.0,,,,0.0,-93.8,-67.8,-111.5,357.2,,,,False,,,,True,False,False,False,False,,
05049,110,42.0,,84.0,,,,69.0,10.7,,70.6,92.6,,,-68.0,,-26.0,,,,-41.0,-99.3,,-39.4,-17.4,,,,True,,,,True,False,,True,True,,
