,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01059,482,735.0,,,,,290.7,551.4,,,253.0,,,,,-191.3,69.4,,,,,,,True,True,,
01061,347,287.0,,,,,37.4,120.5,,,-60.0,,,,,-309.6,-226.5,,,,,,,False,False,,
01063,45,77.0,,,,,11.2,52.5,,,32.0,,,,,-33.8,7.5,,,,,,,False,True,,
01065,154,175.0,,,,,26.6,186.4,,,21.0,,,,,-127.4,32.4,,,,,,,False,False,,
01067,220,147.0,,,,,31.0,63.9,,,-73.0,,,,,-189.0,-156.1,,,,,,,False,False,,
01069,1462,777.0,2583.1,,,,297.6,4342.3,,,-685.0,1121.1,,,,-1164.4,2880.3,,,False,,,,False,False,,
01071,560,1295.0,2321.3,,,,1039.1,837.7,,,735.0,1761.3,,,,479.1,277.7,,,False,,,,True,True,,
01073,6438,10528.0,12244.2,,,,9557.0,6511.8,,,4090.0,5806.2,,,,3119.0,73.8,,,False,,,,True,True,,
01075,137,203.0,,,,,94.8,71.5,,,66.0,,,,,-42.2,-65.5,,,,,,,True,True,,
01077,538,903.0,1797.7,,,,452.2,710.2,,,365.0,1259.7,,,,-85.8,172.2,,,False,,,,True,True,,
01079,257,350.0,,,,,128.6,621.6,,,93.0,,,,,-128.4,364.6,,,,,,,False,False,,
01081,3052,1435.0,4830.8,,,,1276.2,841.8,,,-1617.0,1778.8,,,,-1775.8,-2210.2,,,False,,,,False,False,,
01083,759,1141.0,3202.9,,,,994.3,1085.9,,,382.0,2443.9,,,,235.3,326.9,,,False,,,,True,True,,
01085,74,182.0,,,,,15.8,80.9,,,108.0,,,,,-58.2,6.9,,,,,,,True,True,,
01087,133,210.0,,,,,30.9,190.6,,,77.0,,,,,-102.1,57.6,,,,,,,False,True,,
01089,2484,3479.0,7795.1,,,,2544.6,2757.3,,,995.0,5311.1,,,,60.6,273.3,,,False,,,,True,True,,
01091,162,329.0,,,,,98.6,485.5,,,167.0,,,,,-63.4,323.5,,,,,,,True,False,,
01093,361,294.0,,,,,143.3,271.1,,,-67.0,,,,,-217.7,-89.9,,,,,,,False,False,,
01095,750,1764.0,3722.8,,,,1244.6,814.1,,,1014.0,2972.8,,,,494.6,64.1,,,False,,,,True,True,,
01097,3439,9590.0,11084.2,,,,6814.5,13467.4,,,6151.0,7645.2,,,,3375.5,10028.4,,,False,,,,True,False,,
01099,114,238.0,,,,,32.1,152.1,,,124.0,,,,,-81.9,38.1,,,,,,,True,True,,
01101,2008,3612.0,6968.4,,,,2868.1,3668.2,,,1604.0,4960.4,,,,860.1,1660.2,,,False,,,,True,False,,
01103,874,1491.0,2494.9,,,,674.9,760.1,,,617.0,1620.9,,,,-199.1,-113.9,,,False,,,,True,True,,
01105,67,147.0,,,,,31.4,97.3,,,80.0,,,,,-35.6,30.3,,,,,,,True,True,,
01107,261,231.0,,,,,166.1,108.4,,,-30.0,,,,,-94.9,-152.6,,,,,,,False,False,,
01109,445,413.0,,,,,87.5,506.7,,,-32.0,,,,,-357.5,61.7,,,,,,,False,False,,
01111,237,70.0,,,,,23.2,218.0,,,-167.0,,,,,-213.8,-19.0,,,,,,,False,True,,
01113,363,1211.0,1534.6,,,,667.9,1635.9,,,848.0,1171.6,,,,304.9,1272.9,,,False,,,,True,False,,
01115,892,1113.0,2114.7,,,,718.8,601.4,,,221.0,1222.7,,,,-173.2,-290.6,,,False,,,,True,False,,
01117,2527,2142.0,5141.0,,,,1614.3,1422.5,,,-385.0,2614.0,,,,-912.7,-1104.5,,,False,,,,False,False,,
01119,69,0.0,,,,,0.3,38.5,,,-69.0,,,,,-68.7,-30.5,,,,,,,True,True,,
01121,886,1029.0,3496.4,,,,649.0,1702.1,,,143.0,2610.4,,,,-237.0,816.1,,,False,,,,False,False,,
01123,240,371.0,,,,,140.1,433.3,,,131.0,,,,,-99.9,193.3,,,,,,,True,False,,
01125,4270,2373.0,1921.4,,,,1480.5,1380.5,,,-1897.0,-2348.6,,,,-2789.5,-2889.5,,,False,,,,False,False,,
01127,745,490.0,407.9,,,,130.3,258.2,,,-255.0,-337.1,,,,-614.7,-486.8,,,False,,,,False,False,,
01129,161,574.0,,,,,181.5,364.0,,,413.0,,,,,20.5,203.0,,,,,,,True,True,,
01131,91,182.0,,,,,49.1,104.6,,,91.0,,,,,-41.9,13.6,,,,,,,True,True,,
01133,283,168.0,,,,,89.5,79.0,,,-115.0,,,,,-193.5,-204.0,,,,,,,False,False,,
02013,7,7.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,
02016,7,0.0,,,,,,,,,-7.0,,,,,,,,,,,,,,,,
02020,2133,2317.0,5276.7,,,,1007.7,3411.5,,,184.0,3143.7,,,,-1125.3,1278.5,,,False,,,,False,False,,
02050,88,14.0,,,,,1.0,,,,-74.0,,,,,-87.0,,,,,,,,False,,,
02060,0,21.0,,,,,1.4,16.9,,,21.0,,,,,1.4,16.9,,,,,,,True,True,,
02068,6,0.0,,,,,,,,,-6.0,,,,,,,,,,,,,,,,
02070,7,0.0,,,,,0.0,,,,-7.0,,,,,-7.0,,,,,,,,True,,,
02090,654,196.0,585.5,,,,143.1,397.1,,,-458.0,-68.5,,,,-510.9,-256.9,,,True,,,,False,True,,
02100,1,0.0,,,,,,,,,-1.0,,,,,,,,,,,,,,,,
02105,0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,
02110,206,98.0,,,,,36.4,503.2,,,-108.0,,,,,-169.6,297.2,,,,,,,False,False,,
02122,132,112.0,1073.5,,,,24.9,66.2,,,-20.0,941.5,,,,-107.1,-65.8,,,False,,,,False,False,,
02130,17,14.0,,,,,1.4,27.9,,,-3.0,,,,,-15.6,10.9,,,,,,,False,False,,
02150,33,0.0,,,,,0.1,3.3,,,-33.0,,,,,-32.9,-29.7,,,,,,,True,True,,
02158,6,14.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,
02164,19,0.0,,,,,,,,,-19.0,,,,,,,,,,,,,,,,
02170,274,259.0,786.3,,,,152.3,121.3,,,-15.0,512.3,,,,-121.7,-152.7,,,False,,,,False,False,,
02180,48,14.0,,,,,0.5,,,,-34.0,,,,,-47.5,,,,,,,,False,,,
02185,108,35.0,,,,,0.4,,,,-73.0,,,,,-107.6,,,,,,,,False,,,
02188,69,77.0,,,,,1.7,,,,8.0,,,,,-67.3,,,,,,,,False,,,
02195,2,0.0,,,,,0.1,0.6,,,-2.0,,,,,-1.9,-1.4,,,,,,,True,True,,
02198,24,21.0,,,,,0.2,6.9,,,-3.0,,,,,-23.8,-17.1,,,,,,,False,False,,
02220,22,28.0,,,,,0.9,57.5,,,6.0,,,,,-21.1,35.5,,,,,,,False,False,,
02230,0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,
02240,12,14.0,,,,,1.4,,,,2.0,,,,,-10.6,,,,,,,,False,,,
02261,27,35.0,,,,,2.2,,,,8.0,,,,,-24.8,,,,,,,,False,,,
02275,5,28.0,,,,,,,,,23.0,,,,,,,,,,,,,,,,
02282,19,0.0,,,,,,0.9,,,-19.0,,,,,,-18.1,,,,,,,,True,,
02290,31,42.0,,,,,5.3,,,,11.0,,,,,-25.7,,,,,,,,False,,,
04001,387,707.0,520.3,,,,243.2,622.6,,,320.0,133.3,,,,-143.8,235.6,,,True,,,,True,True,,
04003,306,539.0,1952.4,,,,69.8,349.6,,,233.0,1646.4,,,,-236.2,43.6,,,False,,,,False,True,,
04005,991,784.0,3016.1,,,,377.4,574.1,,,-207.0,2025.1,,,,-613.6,-416.9,,,False,,,,False,False,,
04007,404,581.0,1437.6,,,,367.6,465.2,,,177.0,1033.6,,,,-36.4,61.2,,,False,,,,True,True,,
04009,280,427.0,,,,,238.8,841.9,,,147.0,,,,,-41.2,561.9,,,,,,,True,False,,
04011,4,14.0,,,,,0.1,18.9,,,10.0,,,,,-3.9,14.9,,,,,,,True,False,,
04012,72,42.0,,,,,0.6,48.7,,,-30.0,,,,,-71.4,-23.3,,,,,,,False,True,,
04013,15418,43750.0,63495.1,,,,29242.5,18544.5,,,28332.0,48077.1,,,,13824.5,3126.5,,,False,,,,True,True,,
04015,834,1120.0,7171.7,,,,476.6,2038.3,,,286.0,6337.7,,,,-357.4,1204.3,,,False,,,,False,False,,
04017,424,791.0,2553.7,,,,277.0,761.9,,,367.0,2129.7,,,,-147.0,337.9,,,False,,,,True,True,,
04019,7609,8771.0,23468.8,,,,6975.1,4180.2,,,1162.0,15859.8,,,,-633.9,-3428.8,,,False,,,,True,False,,
04021,2182,1421.0,5110.1,,,,371.9,864.9,,,-761.0,2928.1,,,,-1810.1,-1317.1,,,False,,,,False,False,,
04023,209,336.0,,,,,69.0,154.3,,,127.0,,,,,-140.0,-54.7,,,,,,,False,True,,
04025,548,1414.0,4554.4,,,,984.7,823.3,,,866.0,4006.4,,,,436.7,275.3,,,False,,,,True,True,,
04027,1169,3038.0,5146.1,,,,666.6,3797.5,,,1869.0,3977.1,,,,-502.4,2628.5,,,False,,,,True,False,,
05001,192,126.0,,,,,26.1,470.9,,,-66.0,,,,,-165.9,278.9,,,,,,,False,False,,
05003,110,588.0,,,,,746.2,781.0,,,478.0,,,,,636.2,671.0,,,,,,,False,False,,
05005,266,77.0,,,,,17.0,66.1,,,-189.0,,,,,-249.0,-199.9,,,,,,,False,False,,
05007,1773,1820.0,1034.2,,,,484.8,1138.7,,,47.0,-738.8,,,,-1288.2,-634.3,,,False,,,,False,False,,
05009,503,322.0,,,,,143.5,1099.2,,,-181.0,,,,,-359.5,596.2,,,,,,,False,False,,
05011,156,308.0,,,,,162.2,144.1,,,152.0,,,,,6.2,-11.9,,,,,,,True,True,,
05013,22,21.0,,,,,,,,,-1.0,,,,,,,,,,,,,,,,
05015,299,112.0,,,,,23.8,214.5,,,-187.0,,,,,-275.2,-84.5,,,,,,,False,True,,
05017,279,1449.0,,,,,344.3,925.4,,,1170.0,,,,,65.3,646.4,,,,,,,True,True,,
05019,165,175.0,,,,,20.5,369.7,,,10.0,,,,,-144.5,204.7,,,,,,,False,False,,
05021,164,175.0,,,,,226.1,80.7,,,11.0,,,,,62.1,-83.3,,,,,,,False,False,,
05023,137,105.0,,,,,67.4,45.2,,,-32.0,,,,,-69.6,-91.8,,,,,,,False,False,,
05025,87,210.0,,,,,21.5,252.9,,,123.0,,,,,-65.5,165.9,,,,,,,True,False,,
05027,229,196.0,,,,,19.2,149.7,,,-33.0,,,,,-209.8,-79.3,,,,,,,False,False,,
05029,114,112.0,,,,,59.5,220.1,,,-2.0,,,,,-54.5,106.1,,,,,,,False,False,,
05031,1598,1624.0,2317.7,,,,595.9,1840.1,,,26.0,719.7,,,,-1002.1,242.1,,,False,,,,False,False,,
05033,763,686.0,1508.9,,,,226.4,750.6,,,-77.0,745.9,,,,-536.6,-12.4,,,False,,,,False,True,,
05035,593,1120.0,,,,,301.0,971.6,,,527.0,,,,,-292.0,378.6,,,,,,,True,True,,
05037,237,231.0,,,,,51.6,461.0,,,-6.0,,,,,-185.4,224.0,,,,,,,False,False,,
05039,104,35.0,,,,,43.4,,,,-69.0,,,,,-60.6,,,,,,,,True,,,
05041,102,336.0,,,,,173.2,182.5,,,234.0,,,,,71.2,80.5,,,,,,,True,True,,
05043,161,301.0,,,,,281.5,227.7,,,140.0,,,,,120.5,66.7,,,,,,,True,True,,
05045,1162,700.0,2090.7,,,,499.8,1339.0,,,-462.0,928.7,,,,-662.2,177.0,,,False,,,,False,True,,
05047,154,147.0,,,,,110.1,553.8,,,-7.0,,,,,-43.9,399.8,,,,,,,False,False,,
05049,117,91.0,,,,,18.7,96.1,,,-26.0,,,,,-98.3,-20.9,,,,,,,False,True,,
05051,892,1085.0,1647.4,,,,1317.7,4402.4,,,193.0,755.4,,,,425.7,3510.4,,,False,,,,False,False,,
05053,130,77.0,,,,,16.0,20.5,,,-53.0,,,,,-114.0,-109.5,,,,,,,False,False,,
05055,397,798.0,,,,,639.2,1007.8,,,401.0,,,,,242.2,610.8,,,,,,,True,False,,
05057,127,224.0,,,,,75.0,238.1,,,97.0,,,,,-52.0,111.1,,,,,,,True,False,,
05059,375,553.0,,,,,467.1,237.8,,,178.0,,,,,92.1,-137.2,,,,,,,True,True,,
05061,133,294.0,,,,,122.5,117.1,,,161.0,,,,,-10.5,-15.9,,,,,,,True,True,,
05063,599,1029.0,,,,,747.5,1209.4,,,430.0,,,,,148.5,610.4,,,,,,,True,False,,
05065,194,56.0,,,,,13.2,96.3,,,-138.0,,,,,-180.8,-97.7,,,,,,,False,True,,
05067,214,357.0,,,,,2125.5,268.4,,,143.0,,,,,1911.5,54.4,,,,,,,False,True,,
05069,1621,1428.0,659.9,,,,968.9,1323.8,,,-193.0,-961.1,,,,-652.1,-297.2,,,False,,,,False,False,,
05071,184,322.0,,,,,65.7,224.0,,,138.0,,,,,-118.3,40.0,,,,,,,True,True,,
05073,52,28.0,,,,,17.3,27.0,,,-24.0,,,,,-34.7,-25.0,,,,,,,False,False,,
05075,229,189.0,,,,,49.3,163.4,,,-40.0,,,,,-179.7,-65.6,,,,,,,False,False,,
05077,163,56.0,,,,,2.3,430.4,,,-107.0,,,,,-160.7,267.4,,,,,,,False,False,,
05079,799,308.0,,,,,58.7,407.7,,,-491.0,,,,,-740.3,-391.3,,,,,,,False,True,,
05081,175,196.0,,,,,156.4,208.8,,,21.0,,,,,-18.6,33.8,,,,,,,True,False,,
05083,157,777.0,,,,,881.0,519.0,,,620.0,,,,,724.0,362.0,,,,,,,False,True,,
05085,663,644.0,825.1,,,,187.8,710.0,,,-19.0,162.1,,,,-475.2,47.0,,,False,,,,False,False,,
05087,81,112.0,,,,,2.9,194.3,,,31.0,,,,,-78.1,113.3,,,,,,,False,False,,
05089,70,14.0,,,,,14.3,20.2,,,-56.0,,,,,-55.7,-49.8,,,,,,,True,True,,
05091,320,357.0,,,,,142.6,175.8,,,37.0,,,,,-177.4,-144.2,,,,,,,False,False,,
05093,686,1610.0,,,,,1920.9,844.6,,,924.0,,,,,1234.9,158.6,,,,,,,False,True,,
05095,73,49.0,,,,,36.0,36.0,,,-24.0,,,,,-37.0,-37.0,,,,,,,False,False,,
05097,118,63.0,,,,,6.8,,,,-55.0,,,,,-111.2,,,,,,,,False,,,
05099,85,56.0,,,,,11.3,71.5,,,-29.0,,,,,-73.7,-13.5,,,,,,,False,True,,
05101,137,63.0,,,,,3.9,,,,-74.0,,,,,-133.1,,,,,,,,False,,,
05103,161,154.0,,,,,80.1,185.4,,,-7.0,,,,,-80.9,24.4,,,,,,,False,False,,
05105,40,7.0,,,,,34.6,7.7,,,-33.0,,,,,-5.4,-32.3,,,,,,,True,True,,
05107,179,266.0,,,,,144.0,223.9,,,87.0,,,,,-35.0,44.9,,,,,,,True,True,,
05109,126,168.0,,,,,46.0,,,,42.0,,,,,-80.0,,,,,,,,False,,,
05111,382,791.0,,,,,456.9,754.8,,,409.0,,,,,74.9,372.8,,,,,,,True,True,,
05113,120,84.0,,,,,22.8,108.4,,,-36.0,,,,,-97.2,-11.6,,,,,,,False,True,,
05115,801,924.0,1452.4,,,,210.2,1637.2,,,123.0,651.4,,,,-590.8,836.2,,,False,,,,False,False,,
05117,60,189.0,,,,,59.0,183.7,,,129.0,,,,,-1.0,123.7,,,,,,,True,True,,
05119,3655,4739.0,5883.9,,,,4391.5,3101.6,,,1084.0,2228.9,,,,736.5,-553.4,,,False,,,,True,True,,
05121,205,273.0,,,,,150.1,1247.2,,,68.0,,,,,-54.9,1042.2,,,,,,,True,False,,
05123,310,532.0,,,,,138.0,489.7,,,222.0,,,,,-172.0,179.7,,,,,,,True,True,,
05125,1027,1043.0,1889.8,,,,594.3,847.5,,,16.0,862.8,,,,-432.7,-179.5,,,False,,,,False,False,,
05127,42,119.0,,,,,47.5,273.2,,,77.0,,,,,5.5,231.2,,,,,,,True,False,,
05129,113,28.0,,,,,4.8,32.5,,,-85.0,,,,,-108.2,-80.5,,,,,,,False,True,,
05131,1544,2863.0,4673.8,,,,1528.5,2247.9,,,1319.0,3129.8,,,,-15.5,703.9,,,False,,,,True,True,,
05133,214,385.0,,,,,70.5,167.1,,,171.0,,,,,-143.5,-46.9,,,,,,,True,True,,
05135,115,63.0,,,,,7.2,98.1,,,-52.0,,,,,-107.8,-16.9,,,,,,,False,True,,
05137,279,105.0,,,,,14.8,110.7,,,-174.0,,,,,-264.2,-168.3,,,,,,,False,True,,
05139,413,336.0,,,,,175.7,444.9,,,-77.0,,,,,-237.3,31.9,,,,,,,False,True,,
05141,120,21.0,,,,,8.1,12.7,,,-99.0,,,,,-111.9,-107.3,,,,,,,False,False,,
05143,3111,2212.0,3115.9,,,,410.7,1468.8,,,-899.0,4.9,,,,-2700.3,-1642.2,,,True,,,,False,False,,
05145,520,448.0,599.9,,,,406.3,1136.6,,,-72.0,79.9,,,,-113.7,616.6,,,False,,,,False,False,,
05147,31,14.0,,,,,8.3,,,,-17.0,,,,,-22.7,,,,,,,,False,,,
05149,188,371.0,,,,,32.8,638.9,,,183.0,,,,,-155.2,450.9,,,,,,,True,False,,
06001,7923,12103.0,14929.4,,,,7627.8,18723.0,,,4180.0,7006.4,,,,-295.2,10800.0,,,False,,,,True,False,,
06003,0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,False,,,
06005,132,273.0,,,,,94.9,311.8,,,141.0,,,,,-37.1,179.8,,,,,,,True,False,,
06007,1724,1078.0,2796.4,,,,223.8,2800.7,,,-646.0,1072.4,,,,-1500.2,1076.7,,,False,,,,False,False,,
06009,170,154.0,,,,,9.0,244.9,,,-16.0,,,,,-161.0,74.9,,,,,,,False,False,,
06011,170,273.0,,,,,7.2,349.9,,,103.0,,,,,-162.8,179.9,,,,,,,False,False,,
06013,7447,8512.0,14068.0,,,,9232.9,6478.3,,,1065.0,6621.0,,,,1785.9,-968.7,,,False,,,,False,True,,
06015,41,77.0,,,,,11.5,105.3,,,36.0,,,,,-29.5,64.3,,,,,,,True,False,,
06017,380,644.0,2142.1,,,,138.4,323.8,,,264.0,1762.1,,,,-241.6,-56.2,,,False,,,,True,True,,
06019,11168,18144.0,29368.5,,,,13079.5,15683.1,,,6976.0,18200.5,,,,1911.5,4515.1,,,False,,,,True,True,,
06021,248,245.0,,,,,42.1,317.6,,,-3.0,,,,,-205.9,69.6,,,,,,,False,False,,
06023,219,343.0,335.0,,,,54.0,224.5,,,124.0,116.0,,,,-165.0,5.5,,,True,,,,False,True,,
06025,2142,1988.0,9461.6,,,,716.3,857.8,,,-154.0,7319.6,,,,-1425.7,-1284.2,,,False,,,,False,False,,
06027,123,91.0,,,,,35.6,76.9,,,-32.0,,,,,-87.4,-46.1,,,,,,,False,False,,
06029,9239,19208.0,37787.5,,,,17281.2,25758.1,,,9969.0,28548.5,,,,8042.2,16519.1,,,False,,,,True,False,,
06031,3178,511.0,972.4,,,,66.7,1136.9,,,-2667.0,-2205.6,,,,-3111.3,-2041.1,,,True,,,,False,True,,
06033,320,175.0,429.4,,,,39.2,555.8,,,-145.0,109.4,,,,-280.8,235.8,,,True,,,,False,False,,
06035,122,49.0,,,,,1.7,1923.0,,,-73.0,,,,,-120.3,1801.0,,,,,,,False,False,,
06037,60210,111447.0,179961.3,,,,107379.9,85946.7,,,51237.0,119751.3,,,,47169.9,25736.7,,,False,,,,True,True,,
06039,2179,2513.0,4442.7,,,,392.2,2709.7,,,334.0,2263.7,,,,-1786.8,530.7,,,False,,,,False,False,,
06041,1443,2051.0,8443.1,,,,805.4,707.0,,,608.0,7000.1,,,,-637.6,-736.0,,,False,,,,False,False,,
06043,15,42.0,,,,,11.3,35.9,,,27.0,,,,,-3.7,20.9,,,,,,,True,True,,
06045,528,476.0,677.5,,,,1272.6,773.5,,,-52.0,149.5,,,,744.6,245.5,,,False,,,,False,False,,
06047,3877,5089.0,11055.1,,,,1329.8,2749.3,,,1212.0,7178.1,,,,-2547.2,-1127.7,,,False,,,,False,True,,
06049,24,21.0,,,,,0.1,,,,-3.0,,,,,-23.9,,,,,,,,False,,,
06051,12,77.0,,,,,5.7,86.6,,,65.0,,,,,-6.3,74.6,,,,,,,True,False,,
06053,4595,2905.0,6144.3,,,,1256.1,4980.0,,,-1690.0,1549.3,,,,-3338.9,385.0,,,True,,,,False,True,,
06055,623,1106.0,2566.8,,,,121.8,1092.6,,,483.0,1943.8,,,,-501.2,469.6,,,False,,,,False,True,,
06057,212,161.0,690.7,,,,7.5,463.4,,,-51.0,478.7,,,,-204.5,251.4,,,False,,,,False,False,,
06059,13993,15701.0,62150.4,,,,11137.6,6673.3,,,1708.0,48157.4,,,,-2855.4,-7319.7,,,False,,,,False,False,,
06061,1381,1918.0,4950.4,,,,2339.3,3033.8,,,537.0,3569.4,,,,958.3,1652.8,,,False,,,,False,False,,
06063,16,7.0,,,,,3.6,23.7,,,-9.0,,,,,-12.4,7.7,,,,,,,False,True,,
06065,17726,24087.0,51698.0,,,,15423.2,17096.6,,,6361.0,33972.0,,,,-2302.8,-629.4,,,False,,,,True,True,,
06067,11388,6825.0,20131.2,,,,5514.1,2783.7,,,-4563.0,8743.2,,,,-5873.9,-8604.3,,,False,,,,False,False,,
06069,631,609.0,1211.1,,,,58.4,479.6,,,-22.0,580.1,,,,-572.6,-151.4,,,False,,,,False,False,,
06071,18934,19292.0,33321.2,,,,12198.2,15947.1,,,358.0,14387.2,,,,-6735.8,-2986.9,,,False,,,,False,False,,
06073,14552,19117.0,45418.9,,,,9574.6,12931.9,,,4565.0,30866.9,,,,-4977.4,-1620.1,,,False,,,,False,True,,
06075,3644,4963.0,6560.6,,,,2395.6,4853.3,,,1319.0,2916.6,,,,-1248.4,1209.3,,,False,,,,True,True,,
06077,7891,5740.0,14458.3,,,,1824.5,4005.5,,,-2151.0,6567.3,,,,-6066.5,-3885.5,,,False,,,,False,False,,
06079,1451,2170.0,5006.8,,,,1123.1,1301.6,,,719.0,3555.8,,,,-327.9,-149.4,,,False,,,,True,True,,
06081,3733,3962.0,3945.3,,,,2070.3,6009.2,,,229.0,212.3,,,,-1662.7,2276.2,,,True,,,,False,False,,
06083,2333,3759.0,6331.1,,,,846.1,3752.2,,,1426.0,3998.1,,,,-1486.9,1419.2,,,False,,,,False,True,,
06085,9555,8078.0,14940.0,,,,6216.0,5805.1,,,-1477.0,5385.0,,,,-3339.0,-3749.9,,,False,,,,False,False,,
06087,1095,602.0,2889.5,,,,220.8,745.3,,,-493.0,1794.5,,,,-874.2,-349.7,,,False,,,,False,True,,
06089,388,343.0,692.9,,,,110.6,940.1,,,-45.0,304.9,,,,-277.4,552.1,,,False,,,,False,False,,
06091,3,7.0,,,,,0.1,,,,4.0,,,,,-2.9,,,,,,,,True,,,
06093,79,140.0,,,,,35.5,66.0,,,61.0,,,,,-43.5,-13.0,,,,,,,True,True,,
06095,2280,2926.0,,,,,1197.6,1394.1,,,646.0,,,,,-1082.4,-885.9,,,,,,,False,False,,
