,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Maryland,7439,7852.0,7796.2,7400.0,13159.0,,8547.1,967.0,7820.6,,7923.0,7943.0,9182.9,7242.0,6942.9,5584.9,6734.7,7990.9,8610.0,,5540.6,9642.0,7238.1,9118.6,8045.1,8150.0,413.0,357.2,-39.0,5720.0,,1108.1,-6472.0,381.6,,484.0,504.0,1743.9,-197.0,-496.1,-1854.1,-704.3,551.9,1171.0,,-1898.4,2203.0,-200.9,1679.6,606.1,711.0,True,True,False,,False,False,True,,False,False,False,True,False,False,False,False,False,,False,False,True,False,False,False
Massachusetts,5510,4688.0,5697.9,4362.0,6354.0,,1251.1,198.0,4615.5,,3634.0,3740.0,5039.6,150.2,4469.9,6206.4,4248.0,4666.1,2512.0,,2671.1,2839.7,4085.1,,9184.9,4249.0,-822.0,187.9,-1148.0,844.0,,-4258.9,-5312.0,-894.5,,-1876.0,-1770.0,-470.4,-5359.8,-1040.1,696.4,-1262.0,-843.9,-2998.0,,-2838.9,-2670.3,-1424.9,,3674.9,-1261.0,True,False,False,,False,False,False,,False,False,True,False,False,True,False,False,False,,False,False,False,,False,False
Michigan,11315,11734.0,11933.3,11047.0,15421.0,,10268.9,5008.0,8776.9,,11220.0,11057.0,13095.6,11269.6,13858.0,11461.5,7109.9,9208.7,10752.0,,2134.5,15891.8,14348.6,8935.9,9759.9,12525.0,419.0,618.3,-268.0,4106.0,,-1046.1,-6307.0,-2538.1,,-95.0,-258.0,1780.6,-45.4,2543.0,146.5,-4205.1,-2106.3,-563.0,,-9180.5,4576.8,3033.6,-2379.1,-1555.1,1210.0,False,True,False,,False,False,False,,True,True,False,True,False,True,False,False,False,,False,False,False,False,False,False
Minnesota,12071,7416.0,7267.3,7360.0,7230.0,,9449.0,2066.0,8825.1,,8068.0,9603.0,6901.8,8977.9,7908.2,11071.7,6616.3,7366.1,7812.0,,6680.7,13429.6,6342.8,7084.1,7270.2,5850.0,-4655.0,-4803.7,-4711.0,-4841.0,,-2622.0,-10005.0,-3245.9,,-4003.0,-2468.0,-5169.2,-3093.1,-4162.8,-999.3,-5454.7,-4704.9,-4259.0,,-5390.3,1358.6,-5728.2,-4986.9,-4800.8,-6221.0,False,False,False,,True,False,True,,True,True,False,True,True,True,False,False,True,,False,True,False,False,False,False
Mississippi,7057,6284.0,6507.9,5392.0,4612.0,,5736.5,5449.0,6524.4,,6732.0,7217.0,5408.4,6331.3,5143.8,5882.9,4902.8,5177.5,5136.0,,3922.7,1788.7,4972.5,8155.0,4487.5,4977.0,-773.0,-549.1,-1665.0,-2445.0,,-1320.5,-1608.0,-532.6,,-325.0,160.0,-1648.6,-725.7,-1913.2,-1174.1,-2154.2,-1879.5,-1921.0,,-3134.3,-5268.3,-2084.5,1098.0,-2569.5,-2080.0,True,False,False,,False,False,True,,True,True,False,True,False,False,False,False,False,,False,False,False,False,False,False
Missouri,21216,18238.0,17769.2,17260.0,16856.0,,20366.9,15386.0,17044.4,,20814.0,15936.0,22810.3,21196.6,13625.0,15958.6,21455.9,19286.7,23334.0,,12327.3,47157.2,14505.9,18273.1,24139.7,17672.0,-2978.0,-3446.8,-3956.0,-4360.0,,-849.1,-5830.0,-4171.6,,-402.0,-5280.0,1594.3,-19.4,-7591.0,-5257.4,239.9,-1929.3,2118.0,,-8888.7,25941.2,-6710.1,-2942.9,2923.7,-3544.0,False,False,False,,True,False,False,,True,False,True,True,False,False,True,True,True,,False,False,False,True,True,False
Montana,2982,1522.0,1470.1,1405.0,1066.0,,1646.9,1280.0,1471.9,,1609.0,2137.0,1837.3,2160.7,1449.9,1743.6,1436.1,1372.4,1513.0,,917.8,3196.8,907.2,1605.3,1508.1,1402.0,-1460.0,-1511.9,-1577.0,-1916.0,,-1335.1,-1702.0,-1510.1,,-1373.0,-845.0,-1144.7,-821.3,-1532.1,-1238.4,-1545.9,-1609.6,-1469.0,,-2064.2,214.8,-2074.8,-1376.7,-1473.9,-1580.0,False,False,False,,True,False,False,,True,True,True,True,False,True,False,False,False,,False,True,False,True,False,False
Nebraska,5476,4630.0,4772.9,3717.0,3513.0,,4068.6,399.0,3472.6,,4770.0,4157.0,5497.5,5325.1,3037.1,5238.1,3288.8,3647.3,4521.0,,2310.2,3591.3,4509.3,3696.8,3785.7,4325.0,-846.0,-703.1,-1759.0,-1963.0,,-1407.4,-5077.0,-2003.4,,-706.0,-1319.0,21.5,-150.9,-2438.9,-237.9,-2187.2,-1828.7,-955.0,,-3165.8,-1884.7,-966.7,-1779.2,-1690.3,-1151.0,True,False,False,,False,False,False,,True,False,True,True,False,True,False,False,False,,False,False,False,False,False,False
Nevada,5135,4236.0,4183.3,3919.0,3613.0,,4799.9,4273.0,4521.8,,4406.0,4217.0,2937.3,4038.1,2701.6,4588.2,3248.8,3476.8,3059.0,,2607.5,12809.0,3842.5,4901.1,3159.4,3234.0,-899.0,-951.7,-1216.0,-1522.0,,-335.1,-862.0,-613.2,,-729.0,-918.0,-2197.7,-1096.9,-2433.4,-546.8,-1886.2,-1658.2,-2076.0,,-2527.5,7674.0,-1292.5,-233.9,-1975.6,-1901.0,False,False,False,,True,True,True,,True,False,False,False,False,True,False,False,False,,False,False,False,True,False,False
New Hampshire,469,456.0,455.2,456.0,1212.0,,498.3,3.0,419.7,,442.0,412.0,645.9,475.4,685.0,86.1,467.5,516.5,708.0,,403.0,49.4,457.3,549.8,739.0,658.0,-13.0,-13.8,-13.0,743.0,,29.3,-466.0,-49.3,,-27.0,-57.0,176.9,6.4,216.0,-382.9,-1.5,47.5,239.0,,-66.0,-419.6,-11.7,80.8,270.0,189.0,False,False,False,,False,False,False,,False,False,False,True,False,False,True,False,False,,False,False,True,False,False,False
