,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01021,351,168.0,174.2,,131.0,238.0,,,,,,,73.0,,248.5,105.9,,121.8,129.4,,167.0,240.0,,61.4,,127.1,,,,,90.4,633.3,-183.0,-176.8,,-220.0,-113.0,,,,,,,-278.0,,-102.5,-245.1,,-229.2,-221.6,,-184.0,-111.0,,-289.6,,-223.9,,,,,-260.6,282.3,True,,False,True,,,,,,,False,,True,False,,False,False,,False,True,,False,,False,,,,,False,False
01023,23,8.0,7.7,,8.0,14.0,,,,,,,15.0,,56.1,14.2,,5.5,13.2,,,16.0,,2.3,,,,,,,8.7,18.4,-15.0,-15.3,,-15.0,-9.0,,,,,,,-8.0,,33.1,-8.8,,-17.5,-9.8,,,-7.0,,-20.7,,,,,,,-14.3,-4.6,False,,False,True,,,,,,,True,,False,True,,False,True,,,True,,False,,,,,,,True,True
01025,156,16.0,16.5,,17.0,22.0,,,,,,,58.0,,65.4,41.0,,1.2,15.6,,,6.0,,14.3,,,,,,,23.0,135.4,-140.0,-139.5,,-139.0,-134.0,,,,,,,-98.0,,-90.6,-115.0,,-154.8,-140.4,,,-150.0,,-141.7,,,,,,,-133.0,-20.6,True,,True,True,,,,,,,True,,True,True,,False,False,,,False,,False,,,,,,,True,True
01027,164,58.0,49.3,,46.0,28.0,,,,,,,17.0,,123.3,32.6,,51.6,67.2,,110.0,15.0,,31.1,,,,,,,33.2,113.7,-106.0,-114.7,,-118.0,-136.0,,,,,,,-147.0,,-40.7,-131.4,,-112.4,-96.8,,-54.0,-149.0,,-132.9,,,,,,,-130.8,-50.3,False,,False,False,,,,,,,False,,True,False,,False,True,,True,False,,False,,,,,,,False,True
01029,111,74.0,63.3,,66.0,65.0,,,,,,,23.0,,154.6,27.7,,71.6,78.3,,127.0,77.0,,65.8,,,,,,,32.3,220.8,-37.0,-47.7,,-45.0,-46.0,,,,,,,-88.0,,43.6,-83.3,,-39.4,-32.7,,16.0,-34.0,,-45.2,,,,,,,-78.7,109.8,False,,False,False,,,,,,,False,,False,False,,False,True,,True,True,,False,,,,,,,False,False
01031,310,136.0,162.3,,106.0,219.0,,,,,,,106.0,,142.6,107.9,,102.4,90.2,,130.0,99.0,,17.8,,,,,,,46.9,185.5,-174.0,-147.7,,-204.0,-91.0,,,,,,,-204.0,,-167.4,-202.1,,-207.6,-219.8,,-180.0,-211.0,,-292.2,,,,,,,-263.1,-124.5,True,,False,True,,,,,,,False,,True,False,,False,False,,False,False,,False,,,,,,,False,True
01033,139,66.0,68.6,,70.0,115.0,,,,,,,104.0,,127.5,79.0,,37.1,71.2,,48.0,57.0,,8.0,,85.5,,,,,49.5,118.2,-73.0,-70.4,,-69.0,-24.0,,,,,,,-35.0,,-11.5,-60.0,,-101.9,-67.8,,-91.0,-82.0,,-131.0,,-53.5,,,,,-89.5,-20.8,True,,True,True,,,,,,,True,,True,True,,False,True,,False,False,,False,,True,,,,,False,True
01035,92,18.0,20.9,,14.0,0.0,,,,,,,17.0,,19.1,19.2,,3.3,13.4,0.0,,45.0,,6.0,,,,,,,7.5,51.9,-74.0,-71.1,,-78.0,-92.0,,,,,,,-75.0,,-72.9,-72.8,,-88.7,-78.6,-92.0,,-47.0,,-86.0,,,,,,,-84.5,-40.1,True,,False,False,,,,,,,False,,True,True,,False,False,False,,True,,False,,,,,,,False,True
01037,57,10.0,10.0,,9.0,0.0,,,,,,,16.0,,7.2,14.5,,5.6,10.7,4.6,,31.0,,22.5,,,,,,,3.7,57.9,-47.0,-47.0,,-48.0,-57.0,,,,,,,-41.0,,-49.8,-42.5,,-51.4,-46.3,-52.4,,-26.0,,-34.5,,,,,,,-53.3,0.9,False,,False,False,,,,,,,True,,False,True,,False,True,False,,True,,True,,,,,,,False,True
01039,566,46.0,46.1,,44.0,15.0,,,,,,,61.0,,89.9,82.7,,24.6,42.1,21.0,,110.0,,24.1,,,,,,,9.5,321.6,-520.0,-519.9,,-522.0,-551.0,,,,,,,-505.0,,-476.1,-483.3,,-541.4,-523.9,-545.0,,-456.0,,-541.9,,,,,,,-556.5,-244.4,True,,False,False,,,,,,,True,,True,True,,False,False,False,,True,,False,,,,,,,False,True
01041,120,36.0,36.4,,23.0,0.0,,,,,,,34.0,,70.3,29.5,,15.7,26.2,0.0,,40.0,,1.0,,,,,,,17.1,108.5,-84.0,-83.6,,-97.0,-120.0,,,,,,,-86.0,,-49.7,-90.5,,-104.3,-93.8,-120.0,,-80.0,,-119.0,,,,,,,-102.9,-11.5,True,,False,False,,,,,,,False,,True,False,,False,False,False,,True,,False,,,,,,,False,True
01043,393,104.0,91.4,,101.0,141.0,,,,,,,170.0,,145.6,147.6,,53.7,110.9,69.1,111.0,134.0,,4.7,,101.2,,,,,79.7,239.6,-289.0,-301.6,,-292.0,-252.0,,,,,,,-223.0,,-247.4,-245.4,,-339.3,-282.1,-323.9,-282.0,-259.0,,-388.4,,-291.8,,,,,-313.3,-153.4,False,,False,True,,,,,,,True,,True,True,,False,True,False,True,True,,False,,False,,,,,False,True
01045,299,126.0,148.1,,84.0,245.0,,,,,,,84.0,,133.4,87.9,,81.4,74.3,66.6,125.0,147.0,,29.8,,102.9,,,,,34.1,348.3,-173.0,-150.9,,-215.0,-54.0,,,,,,,-215.0,,-165.6,-211.1,,-217.6,-224.7,-232.4,-174.0,-152.0,,-269.2,,-196.1,,,,,-264.9,49.3,True,,False,True,,,,,,,False,,True,False,,False,False,False,False,True,,False,,False,,,,,False,True
01047,320,68.0,65.5,,55.0,44.0,,,,,,,59.0,,116.3,46.4,,23.0,50.6,0.7,80.0,102.0,,51.9,,65.9,,,,,38.9,194.0,-252.0,-254.5,,-265.0,-276.0,,,,,,,-261.0,,-203.7,-273.6,,-297.0,-269.4,-319.3,-240.0,-218.0,,-268.1,,-254.1,,,,,-281.1,-126.0,False,,False,False,,,,,,,False,,True,False,,False,False,False,True,True,,False,,False,,,,,False,True
01049,274,76.0,75.4,,78.0,60.0,,,,,,,139.0,,152.5,100.5,,71.4,103.2,41.5,91.0,89.0,,56.3,,92.8,,,,,56.5,336.0,-198.0,-198.6,,-196.0,-214.0,,,,,,,-135.0,,-121.5,-173.5,,-202.6,-170.8,-232.5,-183.0,-185.0,,-217.7,,-181.2,,,,,-217.5,62.0,False,,True,False,,,,,,,True,,True,True,,False,True,False,True,True,,False,,True,,,,,False,True
01051,481,186.0,186.6,,173.0,350.0,,,,,,,110.0,,253.1,95.6,,138.0,184.1,78.1,232.0,169.0,,137.5,,172.4,,,,,117.7,275.5,-295.0,-294.4,,-308.0,-131.0,,,,,,,-371.0,,-227.9,-385.4,,-343.0,-296.9,-402.9,-249.0,-312.0,,-343.5,,-308.6,,,,,-363.3,-205.5,True,,False,True,,,,,,,False,,True,False,,False,False,False,True,False,,False,,False,,,,,False,True
01053,320,86.0,85.9,,69.0,22.0,,,,,,,84.0,,125.9,79.0,,50.1,88.4,0.3,108.0,47.0,,34.1,,68.1,,,,,52.5,403.5,-234.0,-234.1,,-251.0,-298.0,,,,,,,-236.0,,-194.1,-241.0,,-269.9,-231.6,-319.7,-212.0,-273.0,,-285.9,,-251.9,,,,,-267.5,83.5,False,,False,False,,,,,,,False,,True,False,,False,True,False,True,False,,False,,False,,,,,False,True
01055,635,216.0,188.6,,204.0,557.0,,,,,,,198.0,,279.7,268.3,,208.0,238.9,137.4,243.0,256.0,,143.9,,195.7,,,,,144.0,661.9,-419.0,-446.4,,-431.0,-78.0,,,,,,,-437.0,,-355.3,-366.7,,-427.0,-396.1,-497.6,-392.0,-379.0,,-491.1,,-439.3,,,,,-491.0,26.9,False,,False,True,,,,,,,False,,True,True,,False,True,False,True,True,,False,,False,,,,,False,True
01057,116,60.0,61.9,,53.0,20.0,,,,,,,26.0,,102.2,50.2,,66.2,68.4,34.6,124.0,61.0,,44.3,,,,,,,26.1,187.4,-56.0,-54.1,,-63.0,-96.0,,,,,,,-90.0,,-13.8,-65.8,,-49.8,-47.6,-81.4,8.0,-55.0,,-71.7,,,,,,,-89.9,71.4,True,,False,False,,,,,,,False,,True,False,,True,True,False,True,True,,False,,,,,,,False,False
01059,129,100.0,92.7,,93.0,110.0,,,,,,,94.0,,142.7,44.7,,91.2,119.6,9.6,128.0,70.0,,61.8,,82.9,,,,,72.9,137.3,-29.0,-36.3,,-36.0,-19.0,,,,,,,-35.0,,13.7,-84.3,,-37.8,-9.4,-119.4,-1.0,-59.0,,-67.2,,-46.1,,,,,-56.1,8.3,False,,False,True,,,,,,,False,,True,False,,False,True,False,True,False,,False,,False,,,,,False,True
01061,214,32.0,42.3,,41.0,37.0,,,,,,,42.0,,62.7,67.8,,19.5,41.2,50.3,,55.0,,23.4,,,,,,,27.2,153.2,-182.0,-171.7,,-173.0,-177.0,,,,,,,-172.0,,-151.3,-146.2,,-194.5,-172.8,-163.7,,-159.0,,-190.6,,,,,,,-186.8,-60.8,True,,True,True,,,,,,,True,,True,True,,False,True,True,,True,,False,,,,,,,False,True
01063,21,0.0,1.8,,1.0,0.0,,,,,,,8.0,,10.6,7.6,,0.1,1.3,0.0,51.0,15.0,,6.3,,,,,,,6.9,31.3,-21.0,-19.2,,-20.0,-21.0,,,,,,,-13.0,,-10.4,-13.4,,-20.9,-19.7,-21.0,30.0,-6.0,,-14.7,,,,,,,-14.1,10.3,True,,True,False,,,,,,,True,,True,True,,True,True,True,False,True,,True,,,,,,,True,True
01065,85,30.0,31.2,,21.0,12.0,,,,,,,28.0,,66.8,15.5,,11.4,30.6,0.7,,42.0,,1.5,,,,,,,18.7,75.3,-55.0,-53.8,,-64.0,-73.0,,,,,,,-57.0,,-18.2,-69.5,,-73.6,-54.4,-84.3,,-43.0,,-83.5,,,,,,,-66.3,-9.7,True,,False,False,,,,,,,False,,True,False,,False,True,False,,True,,False,,,,,,,False,True
01067,146,30.0,25.8,,25.0,14.0,,,,,,,23.0,,58.1,32.0,,14.6,28.7,23.4,,36.0,,28.2,,,,,,,15.2,114.4,-116.0,-120.2,,-121.0,-132.0,,,,,,,-123.0,,-87.9,-114.0,,-131.4,-117.3,-122.6,,-110.0,,-117.8,,,,,,,-130.8,-31.6,False,,False,False,,,,,,,False,,True,True,,False,False,False,,True,,False,,,,,,,False,True
01069,909,174.0,163.4,,172.0,71.0,,,,,,,172.0,,199.4,256.2,,148.4,171.9,161.8,164.0,155.0,,75.8,,203.0,,,,,102.0,473.2,-735.0,-745.6,,-737.0,-838.0,,,,,,,-737.0,,-709.6,-652.8,,-760.6,-737.1,-747.2,-745.0,-754.0,,-833.2,,-706.0,,,,,-807.0,-435.8,False,,False,False,,,,,,,False,,True,True,,False,False,False,False,False,,False,,True,,,,,False,True
01071,222,82.0,96.3,,77.0,34.0,,,,,,,89.0,,129.9,107.0,,54.2,85.9,73.0,73.0,55.0,,39.2,,72.4,,,,,54.6,352.4,-140.0,-125.7,,-145.0,-188.0,,,,,,,-133.0,,-92.1,-115.0,,-167.8,-136.1,-149.0,-149.0,-167.0,,-182.8,,-149.6,,,,,-167.4,130.4,True,,False,False,,,,,,,True,,True,True,,False,True,False,False,False,,False,,False,,,,,False,True
01073,2399,1582.0,1502.9,1291.2,1328.0,1387.0,,,,,,,969.0,,1629.2,1171.7,,1546.1,1523.4,443.4,1517.0,2338.0,,637.2,,1329.7,1271.0,,,,1019.9,3386.4,-817.0,-896.1,-1107.8,-1071.0,-1012.0,,,,,,,-1430.0,,-769.8,-1227.3,,-852.9,-875.6,-1955.6,-882.0,-61.0,,-1761.8,,-1069.3,-1128.0,,,,-1379.1,987.4,False,False,False,False,,,,,,,False,,True,False,,False,False,False,False,True,,False,,False,False,,,,False,False
01075,78,18.0,18.0,,17.0,0.0,,,,,,,25.0,,52.1,22.7,,9.4,20.1,14.7,,41.0,,1.2,,,,,,,9.7,35.9,-60.0,-60.0,,-61.0,-78.0,,,,,,,-53.0,,-25.9,-55.3,,-68.6,-57.9,-63.3,,-37.0,,-76.8,,,,,,,-68.3,-42.1,False,,False,False,,,,,,,True,,True,True,,False,True,False,,True,,False,,,,,,,False,True
01077,195,102.0,109.2,,103.0,191.0,,,,,,,177.0,,156.2,129.4,,72.6,106.6,93.2,95.0,123.0,,89.6,,81.3,,,,,68.4,241.3,-93.0,-85.8,,-92.0,-4.0,,,,,,,-18.0,,-38.8,-65.6,,-122.4,-88.4,-101.8,-100.0,-72.0,,-105.4,,-113.7,,,,,-126.6,46.3,True,,True,True,,,,,,,True,,True,True,,False,True,False,False,True,,False,,False,,,,,False,True
01079,91,56.0,56.6,,51.0,54.0,,,,,,,49.0,,122.7,62.9,,33.0,47.9,54.8,58.0,139.0,,31.2,,,,,,,27.1,265.6,-35.0,-34.4,,-40.0,-37.0,,,,,,,-42.0,,31.7,-28.1,,-58.0,-43.1,-36.2,-33.0,48.0,,-59.8,,,,,,,-63.9,174.6,True,,False,False,,,,,,,False,,True,True,,False,False,False,True,False,,False,,,,,,,False,False
01081,2304,254.0,229.1,,224.0,348.0,,,,,,,394.0,,381.9,338.5,,167.5,218.9,177.7,200.0,416.0,,10.7,,195.4,196.0,,,,247.3,1084.3,-2050.0,-2074.9,,-2080.0,-1956.0,,,,,,,-1910.0,,-1922.1,-1965.5,,-2136.5,-2085.1,-2126.3,-2104.0,-1888.0,,-2293.3,,-2108.6,-2108.0,,,,-2056.7,-1219.7,False,,False,True,,,,,,,True,,True,True,,False,False,False,False,True,,False,,False,False,,,,False,True
01083,325,156.0,152.1,,149.0,85.0,,,,,,,193.0,,197.2,111.9,,158.3,186.8,109.0,220.0,263.0,,94.0,,130.2,,,,,63.8,552.3,-169.0,-172.9,,-176.0,-240.0,,,,,,,-132.0,,-127.8,-213.1,,-166.7,-138.2,-216.0,-105.0,-62.0,,-231.0,,-194.8,,,,,-261.2,227.3,False,,False,False,,,,,,,True,,True,False,,True,True,False,True,True,,False,,False,,,,,False,False
01085,49,2.0,0.9,,3.0,0.0,,,,,,,19.0,,13.0,7.2,,0.1,4.1,0.1,,12.0,,4.9,,,,,,,6.8,58.0,-47.0,-48.1,,-46.0,-49.0,,,,,,,-30.0,,-36.0,-41.8,,-48.9,-44.9,-48.9,,-37.0,,-44.1,,,,,,,-42.2,9.0,False,,True,False,,,,,,,True,,True,True,,False,True,False,,True,,True,,,,,,,True,True
01087,61,22.0,24.4,,19.0,25.0,,,,,,,17.0,,123.6,26.6,,4.0,19.5,0.0,,21.0,,13.0,,,,,,,13.4,113.2,-39.0,-36.6,,-42.0,-36.0,,,,,,,-44.0,,62.6,-34.4,,-57.0,-41.5,-61.0,,-40.0,,-48.0,,,,,,,-47.6,52.2,True,,False,True,,,,,,,False,,False,True,,False,False,False,,False,,False,,,,,,,False,False
01089,1090,492.0,450.9,519.1,496.0,403.0,,,,,,,609.0,,692.8,643.8,,495.7,556.3,241.4,661.0,522.0,,52.2,,360.7,591.0,,,,355.8,1646.6,-598.0,-639.1,-570.9,-594.0,-687.0,,,,,,,-481.0,,-397.2,-446.2,,-594.3,-533.7,-848.6,-429.0,-568.0,,-1037.8,,-729.3,-499.0,,,,-734.2,556.6,False,True,True,False,,,,,,,True,,True,True,,True,True,False,True,True,,False,,False,True,,,,False,True
01091,65,26.0,26.5,,23.0,2.0,,,,,,,33.0,,71.1,24.4,,13.8,30.9,0.2,,49.0,,19.3,,,,,,,12.1,69.1,-39.0,-38.5,,-42.0,-63.0,,,,,,,-32.0,,6.1,-40.6,,-51.2,-34.1,-64.8,,-16.0,,-45.7,,,,,,,-52.9,4.1,True,,False,False,,,,,,,True,,True,False,,False,True,False,,True,,False,,,,,,,False,True
01093,185,98.0,92.5,,54.0,12.0,,,,,,,45.0,,135.0,66.5,,55.1,76.8,32.3,103.0,159.0,,24.3,,,,,,,59.8,133.0,-87.0,-92.5,,-131.0,-173.0,,,,,,,-140.0,,-50.0,-118.5,,-129.9,-108.2,-152.7,-82.0,-26.0,,-160.7,,,,,,,-125.2,-52.0,False,,False,False,,,,,,,False,,True,False,,False,False,False,True,True,,False,,,,,,,False,True
01095,407,88.0,106.1,,79.0,15.0,,,,,,,217.0,,148.6,109.7,,39.9,79.3,9.7,68.0,161.0,,24.4,,123.2,,,,,86.3,497.3,-319.0,-300.9,,-328.0,-392.0,,,,,,,-190.0,,-258.4,-297.3,,-367.1,-327.7,-397.3,-339.0,-246.0,,-382.6,,-283.8,,,,,-320.7,90.3,True,,False,False,,,,,,,True,,True,True,,False,False,False,False,True,,False,,True,,,,,False,True
01097,895,458.0,476.3,512.0,488.0,644.0,,,,,,,671.0,,670.2,618.4,,483.6,467.5,372.1,362.0,488.0,,64.5,,785.9,392.0,,,,386.2,920.3,-437.0,-418.7,-383.0,-407.0,-251.0,,,,,,,-224.0,,-224.8,-276.6,,-411.4,-427.5,-522.9,-533.0,-407.0,,-830.5,,-109.1,-503.0,,,,-508.8,25.3,True,True,True,True,,,,,,,True,,True,True,,True,True,False,False,True,,False,,True,False,,,,False,True
01099,146,16.0,17.7,,11.0,0.0,,,,,,,30.0,,45.1,21.4,,2.3,9.9,7.6,,44.0,,2.2,,,,,,,6.5,113.5,-130.0,-128.3,,-135.0,-146.0,,,,,,,-116.0,,-100.9,-124.6,,-143.7,-136.1,-138.4,,-102.0,,-143.8,,,,,,,-139.5,-32.5,True,,False,False,,,,,,,True,,True,True,,False,False,False,,True,,False,,,,,,,False,True
01101,738,410.0,408.3,409.7,376.0,262.0,,,,,,,351.0,,468.1,246.7,,353.8,439.2,47.3,415.0,690.0,,160.0,,296.1,386.0,,,,321.3,753.6,-328.0,-329.7,-328.3,-362.0,-476.0,,,,,,,-387.0,,-269.9,-491.3,,-384.2,-298.8,-690.7,-323.0,-48.0,,-578.0,,-441.9,-352.0,,,,-416.7,15.6,False,False,False,False,,,,,,,False,,True,False,,False,True,False,True,True,,False,,False,False,,,,False,True
01103,348,146.0,126.5,,131.0,158.0,,,,,,,211.0,,229.4,154.0,,103.8,150.0,86.6,128.0,229.0,,103.7,,136.3,,,,,114.5,480.7,-202.0,-221.5,,-217.0,-190.0,,,,,,,-137.0,,-118.6,-194.0,,-244.2,-198.0,-261.4,-220.0,-119.0,,-244.3,,-211.7,,,,,-233.5,132.7,False,,False,True,,,,,,,True,,True,True,,False,True,False,False,True,,False,,False,,,,,False,True
