,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,8852,12116.0,12159.7,10917.0,8983.0,,10944.8,9436.0,11250.7,12128.1,,13047.0,13695.0,12659.6,11942.4,7206.5,10514.1,9751.4,11092.3,12194.0,,7121.2,11642.6,12205.4,10728.8,10699.0,3264.0,3307.7,2065.0,131.0,,2092.8,584.0,2398.7,3276.1,,4195.0,4843.0,3807.6,3090.4,-1645.5,1662.1,899.4,2240.3,3342.0,,-1730.8,2790.6,3353.4,1876.8,1847.0,False,True,True,,True,True,True,False,,False,False,False,True,True,True,True,True,False,,True,True,False,True,True
Hawaii,720,738.0,794.2,701.0,598.0,,761.5,781.0,626.1,681.8,,,,654.5,771.7,1087.3,1032.4,664.7,554.0,545.0,,447.5,849.6,681.3,628.3,601.0,18.0,74.2,-19.0,-122.0,,41.5,61.0,-93.9,-38.2,,,,-65.5,51.7,367.3,312.4,-55.3,-166.0,-175.0,,-272.5,129.6,-38.7,-91.7,-119.0,False,False,False,,False,False,False,False,,,,False,False,False,False,False,False,False,,False,False,False,False,False
Idaho,3049,2080.0,2105.6,1930.0,1354.0,,1813.0,1529.0,3289.3,1998.4,,2078.0,2244.0,2089.5,2422.8,1783.3,1499.0,1903.4,2219.9,2820.0,,1541.4,1944.0,1834.3,2259.3,1966.0,-969.0,-943.4,-1119.0,-1695.0,,-1236.0,-1520.0,240.3,-1050.6,,-971.0,-805.0,-959.5,-626.2,-1265.7,-1550.0,-1145.6,-829.1,-229.0,,-1507.6,-1105.0,-1214.7,-789.7,-1083.0,True,False,False,,False,False,True,False,,False,True,True,True,False,False,False,True,True,,False,False,False,True,False
Illinois,13732,13042.0,13279.9,12390.0,12525.0,,12579.2,5397.0,12481.6,13140.8,,13859.0,12534.0,13568.2,12389.7,10638.0,11804.8,11314.1,12045.3,12764.0,,10333.2,13024.0,11231.2,13444.5,11941.0,-690.0,-452.1,-1342.0,-1207.0,,-1152.8,-8335.0,-1250.4,-591.2,,127.0,-1198.0,-163.8,-1342.3,-3094.0,-1927.2,-2417.9,-1686.7,-968.0,,-3398.8,-708.0,-2500.8,-287.5,-1791.0,True,False,False,,False,False,False,True,,True,False,True,False,False,False,False,False,False,,False,False,False,True,False
Indiana,5790,6198.0,6105.7,5742.0,5742.0,,5838.0,4993.0,5528.2,6191.6,,6348.0,4510.0,6276.7,6840.7,5698.1,6788.4,5336.0,5329.4,6502.0,,4646.2,6167.0,5893.4,6220.9,6000.0,408.0,315.7,-48.0,-48.0,,48.0,-797.0,-261.8,401.6,,558.0,-1280.0,486.7,1050.7,-91.9,998.4,-454.0,-460.6,712.0,,-1143.8,377.0,103.4,430.9,210.0,True,True,True,,True,False,True,True,,False,False,False,False,True,False,False,False,False,,False,True,True,False,True
Iowa,6104,5599.0,5729.1,5380.0,4958.0,,4987.9,5558.0,4927.9,5756.0,,6008.0,5380.0,5278.5,6001.8,2913.8,6187.2,5238.3,5026.5,6090.0,,4778.1,5485.5,4220.2,6739.2,5014.0,-505.0,-374.9,-724.0,-1146.0,,-1116.1,-546.0,-1176.1,-348.0,,-96.0,-724.0,-825.5,-102.2,-3190.2,83.2,-865.7,-1077.5,-14.0,,-1325.9,-618.5,-1883.8,635.2,-1090.0,True,False,False,,False,False,False,True,,True,False,False,True,False,True,False,False,True,,False,False,False,False,False
Kansas,5619,3828.0,3744.2,3502.0,3033.0,,3131.7,3667.0,3695.1,3647.9,,3877.0,3924.0,3323.7,4625.5,2829.0,4137.0,2701.8,3495.2,3871.0,,1740.9,3992.1,3552.2,3304.5,3152.0,-1791.0,-1874.8,-2117.0,-2586.0,,-2487.3,-1952.0,-1923.9,-1971.1,,-1742.0,-1695.0,-2295.3,-993.5,-2790.0,-1482.0,-2917.2,-2123.8,-1748.0,,-3878.1,-1626.9,-2066.8,-2314.5,-2467.0,False,False,False,,False,False,False,False,,True,True,False,True,False,True,False,False,True,,False,True,False,False,False
Kentucky,4930,4691.0,4696.1,4468.0,4287.0,,4468.1,4373.0,9868.0,4518.3,,5228.0,6164.0,4750.6,5184.8,3822.1,4717.6,4053.8,4436.0,5196.0,,3580.1,4676.3,3624.8,4561.1,4279.0,-239.0,-233.9,-462.0,-643.0,,-461.9,-557.0,4938.0,-411.7,,298.0,1234.0,-179.4,254.8,-1107.9,-212.4,-876.2,-494.0,266.0,,-1349.9,-253.7,-1305.2,-368.9,-651.0,True,False,False,,False,False,False,False,,False,False,True,False,False,True,False,False,False,,False,False,False,False,False
Louisiana,3830,4109.0,4198.4,3937.0,3263.0,,4041.0,3148.0,7173.3,4148.8,,3250.0,6224.0,3530.7,3918.8,2203.5,3570.9,4050.3,3773.4,3774.0,,2571.8,4236.6,5400.3,3247.2,4184.0,279.0,368.4,107.0,-567.0,,211.0,-682.0,3343.3,318.8,,-580.0,2394.0,-299.3,88.8,-1626.5,-259.1,220.3,-56.6,-56.0,,-1258.2,406.6,1570.3,-582.8,354.0,False,True,False,,True,False,False,False,,False,False,False,True,False,True,True,True,True,,False,False,False,False,False
Maine,224,200.0,205.2,205.0,215.0,,185.4,93.0,219.8,315.7,,207.0,475.0,207.5,308.1,294.1,207.3,213.6,237.8,230.0,,97.4,185.8,190.9,267.3,237.0,-24.0,-18.8,-19.0,-9.0,,-38.6,-131.0,-4.2,91.7,,-17.0,251.0,-16.5,84.1,70.1,-16.7,-10.4,13.8,6.0,,-126.6,-38.2,-33.1,43.3,13.0,True,True,True,,False,False,True,False,,True,False,True,False,False,True,True,True,True,,False,False,False,False,True
Maryland,3228,4211.0,4137.1,3997.0,4563.0,,3997.2,355.0,3478.2,4484.7,,4274.0,4540.0,4275.3,3951.3,3559.0,4479.3,3369.3,3798.7,4580.0,,2480.4,4224.2,4606.9,4118.3,3895.0,983.0,909.1,769.0,1335.0,,769.2,-2873.0,250.2,1256.7,,1046.0,1312.0,1047.3,723.3,331.0,1251.3,141.3,570.7,1352.0,,-747.6,996.2,1378.9,890.3,667.0,True,True,False,,True,False,True,False,,False,False,False,True,True,False,True,True,False,,True,False,False,True,True
Massachusetts,2869,2641.0,4391.2,2340.0,2340.0,,630.9,57.0,2278.6,2378.6,,1801.0,2188.0,2543.1,2181.6,2344.6,3166.6,2699.0,2922.0,1094.0,,1266.7,2570.1,2510.9,3927.3,2968.0,-228.0,1522.2,-529.0,-529.0,,-2238.1,-2812.0,-590.4,-490.4,,-1068.0,-681.0,-325.9,-687.4,-524.4,297.6,-170.0,53.0,-1775.0,,-1602.3,-298.9,-358.1,1058.3,99.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,True,True,False,,False,False,False,False,True
Michigan,6286,5029.0,4799.5,4861.0,6473.0,,5371.1,2275.0,5115.2,4882.5,,4845.0,7298.0,5535.3,5370.9,6406.6,5794.6,2725.6,4300.0,5889.0,,1520.8,4596.1,4534.7,4020.0,3386.0,-1257.0,-1486.5,-1425.0,187.0,,-914.9,-4011.0,-1170.8,-1403.5,,-1441.0,1012.0,-750.7,-915.1,120.6,-491.4,-3560.4,-1986.0,-397.0,,-4765.1,-1689.9,-1751.3,-2266.0,-2900.0,False,False,True,,True,False,True,False,,False,True,True,True,True,True,False,False,True,,False,False,False,False,False
Minnesota,6938,5133.0,5182.4,5102.0,3870.0,,4525.5,1721.0,6091.2,5060.5,,5359.0,5026.0,4956.5,5101.9,3840.9,3778.8,7434.0,6005.6,4936.0,,4452.2,5226.5,4585.0,9682.1,6643.0,-1805.0,-1755.6,-1836.0,-3068.0,,-2412.5,-5217.0,-846.8,-1877.5,,-1579.0,-1912.0,-1981.5,-1836.1,-3097.1,-3159.2,496.0,-932.4,-2002.0,,-2485.8,-1711.5,-2353.0,2744.1,-295.0,True,False,False,,False,False,True,False,,True,False,False,False,False,False,True,True,False,,False,True,False,False,True
Mississippi,3590,3467.0,3343.8,3057.0,2119.0,,2947.5,2431.0,3140.1,3635.0,,3853.0,3750.0,3573.5,3240.1,2345.2,2724.6,3041.3,3075.4,3407.0,,1799.4,3271.3,3880.0,3135.5,2944.0,-123.0,-246.2,-533.0,-1471.0,,-642.5,-1159.0,-449.9,45.0,,263.0,160.0,-16.5,-349.9,-1244.8,-865.4,-548.7,-514.6,-183.0,,-1790.6,-318.7,290.0,-454.5,-646.0,False,False,False,,False,False,False,True,,False,False,True,False,False,False,False,False,False,,False,False,False,False,False
Missouri,10642,10574.0,10512.1,9605.0,9605.0,,10660.9,8020.0,11069.8,10585.1,,11131.0,8989.0,10082.7,11296.5,6618.0,8875.6,8982.3,9454.8,11729.0,,7175.5,10051.1,10507.5,9927.5,10219.0,-68.0,-129.9,-1037.0,-1037.0,,18.9,-2622.0,427.8,-56.9,,489.0,-1653.0,-559.3,654.5,-4024.0,-1766.4,-1659.7,-1187.2,1087.0,,-3466.5,-590.9,-134.5,-714.5,-423.0,False,False,False,,True,False,False,True,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Montana,1744,1238.0,1200.3,1200.0,431.0,,1004.0,620.0,1303.7,1140.7,,1254.0,1216.0,1034.7,1313.6,760.9,903.7,1325.4,1232.9,1423.0,,831.7,1112.7,1026.0,1707.6,1241.0,-506.0,-543.7,-544.0,-1313.0,,-740.0,-1124.0,-440.3,-603.3,,-490.0,-528.0,-709.3,-430.4,-983.1,-840.3,-418.6,-511.1,-321.0,,-912.3,-631.3,-718.0,-36.4,-503.0,False,False,False,,False,False,True,False,,True,False,False,True,False,False,True,False,True,,False,False,False,True,True
Nebraska,2799,2677.0,2695.6,2546.0,2259.0,,2545.8,689.0,2445.2,2823.3,,2805.0,2022.0,2962.2,3019.1,1593.1,2632.6,2409.9,2882.2,3289.0,,1721.9,2675.7,2009.5,2890.8,2416.0,-122.0,-103.4,-253.0,-540.0,,-253.2,-2110.0,-353.8,24.3,,6.0,-777.0,163.2,220.1,-1205.9,-166.4,-389.1,83.2,490.0,,-1077.1,-123.3,-789.5,91.8,-383.0,True,False,False,,False,False,False,True,,True,False,False,False,False,False,False,True,False,,False,False,False,True,False
Nevada,2936,2199.0,2313.5,2077.0,1752.0,,2006.9,1812.0,2394.1,2256.8,,2277.0,1632.0,2080.0,2076.5,1395.5,1820.5,2241.5,2238.9,1887.0,,1873.2,2179.9,2535.9,2250.6,2371.0,-737.0,-622.5,-859.0,-1184.0,,-929.1,-1124.0,-541.9,-679.2,,-659.0,-1304.0,-856.0,-859.5,-1540.5,-1115.5,-694.5,-697.1,-1049.0,,-1062.8,-756.1,-400.1,-685.4,-565.0,True,False,False,,False,False,True,True,,True,False,False,False,False,False,True,True,False,,False,False,True,True,True
New Hampshire,201,268.0,269.6,261.0,383.0,,261.1,1.0,223.9,484.0,,267.0,195.0,262.8,274.2,324.6,347.7,235.8,259.8,356.0,,203.4,268.9,282.2,344.1,254.0,67.0,68.6,60.0,182.0,,60.1,-200.0,22.9,283.0,,66.0,-6.0,61.8,73.2,123.6,146.7,34.8,58.8,155.0,,2.4,67.9,81.2,143.1,53.0,False,True,False,,True,False,True,False,,True,True,True,False,False,False,True,True,False,,True,False,False,False,True
New Jersey,3541,2972.0,2948.6,2972.0,2217.0,,2519.1,40.0,2984.1,3141.0,,2001.0,3254.0,2986.4,2562.4,3846.0,2945.8,2886.4,3433.4,3096.0,,4886.3,3245.3,2849.3,3820.5,3201.0,-569.0,-592.4,-569.0,-1324.0,,-1021.9,-3501.0,-556.9,-400.0,,-1540.0,-287.0,-554.6,-978.6,305.0,-595.2,-654.6,-107.6,-445.0,,1345.3,-295.7,-691.7,279.5,-340.0,False,False,False,,False,False,True,True,,False,True,True,False,True,False,False,True,True,,False,True,False,True,True
New Mexico,1180,851.0,820.4,758.0,596.0,,707.1,420.0,682.9,850.3,,887.0,1409.0,810.2,860.4,787.3,460.8,757.9,823.9,879.0,,453.8,834.0,1040.2,834.3,778.0,-329.0,-359.6,-422.0,-584.0,,-472.9,-760.0,-497.1,-329.7,,-293.0,229.0,-369.8,-319.6,-392.7,-719.2,-422.1,-356.1,-301.0,,-726.2,-346.0,-139.8,-345.7,-402.0,False,False,False,,False,False,False,False,,True,True,False,True,False,False,False,False,True,,False,False,True,False,False
New York,5918,5398.0,5271.1,5156.0,4296.0,,4225.4,15.0,5751.5,5383.0,,3496.0,3283.0,5487.2,4940.2,6723.8,4746.9,5177.2,5911.2,5256.0,,5140.3,5298.8,5753.0,5156.0,5660.0,-520.0,-646.9,-762.0,-1622.0,,-1692.6,-5903.0,-166.5,-535.0,,-2422.0,-2635.0,-430.8,-977.8,805.8,-1171.1,-740.8,-6.8,-662.0,,-777.7,-619.2,-165.0,-762.0,-258.0,False,False,False,,False,False,True,False,,False,False,True,False,False,False,False,True,False,,False,False,True,False,True
North Carolina,9508,8509.0,8576.9,8427.0,7466.0,,8182.3,12524.0,9270.8,7988.9,,8907.0,9124.0,8554.5,9103.5,6723.9,7840.6,8427.4,8228.5,8329.0,,6182.1,8263.0,9119.9,9361.7,7957.0,-999.0,-931.1,-1081.0,-2042.0,,-1325.7,3016.0,-237.2,-1519.1,,-601.0,-384.0,-953.5,-404.5,-2784.1,-1667.4,-1080.6,-1279.5,-1179.0,,-3325.9,-1245.0,-388.1,-146.3,-1551.0,True,False,False,,False,False,True,False,,True,True,True,True,False,False,False,False,False,,False,False,True,True,False
North Dakota,2773,2456.0,2463.2,2277.0,1149.0,,2282.8,11.0,2345.7,2781.6,,2653.0,1915.0,2232.7,2566.6,796.2,2965.8,2472.4,2277.1,2871.0,,1707.7,2218.6,2742.1,2849.8,2410.0,-317.0,-309.8,-496.0,-1624.0,,-490.2,-2762.0,-427.3,8.6,,-120.0,-858.0,-540.3,-206.4,-1976.8,192.8,-300.6,-495.9,98.0,,-1065.3,-554.4,-30.9,76.8,-363.0,True,False,False,,False,False,False,True,,True,False,False,True,False,True,True,False,True,,False,False,True,True,False
Ohio,6462,6979.0,6914.8,6604.0,6604.0,,7290.8,6243.0,7266.7,7076.2,,7077.0,6072.0,7133.8,7749.8,7749.2,6611.2,5568.1,6462.5,7170.0,,4410.2,6691.0,6765.3,6419.3,6431.0,517.0,452.8,142.0,142.0,,828.8,-219.0,804.7,614.2,,615.0,-390.0,671.8,1287.8,1287.2,149.2,-893.9,0.5,708.0,,-2051.8,229.0,303.3,-42.7,-31.0,True,True,True,,False,True,False,False,,False,True,False,False,False,True,False,True,False,,False,True,True,True,True
Oklahoma,7706,7145.0,7054.2,6581.0,6068.0,,6555.6,5130.0,7690.3,7255.9,,7587.0,5575.0,7289.3,8122.4,4712.8,6497.2,7035.1,7582.3,8277.0,,5268.5,6351.7,5501.0,8412.8,7159.0,-561.0,-651.8,-1125.0,-1638.0,,-1150.4,-2576.0,-15.7,-450.1,,-119.0,-2131.0,-416.7,416.4,-2993.2,-1208.8,-670.9,-123.7,571.0,,-2437.5,-1354.3,-2205.0,706.8,-547.0,False,False,False,,False,False,True,True,,True,False,True,True,False,False,False,True,False,,False,False,False,False,True
Oregon,1982,1186.0,1175.0,1352.0,832.0,,1352.4,1142.0,1436.4,1511.5,,1259.0,1580.0,1454.0,1652.2,2225.4,1231.4,1762.3,1484.7,1162.0,,1072.6,1058.0,1379.6,1887.7,1487.0,-796.0,-807.0,-630.0,-1150.0,,-629.6,-840.0,-545.6,-470.5,,-723.0,-402.0,-528.0,-329.8,243.4,-750.6,-219.7,-497.3,-820.0,,-909.4,-924.0,-602.4,-94.3,-495.0,False,True,False,,True,False,True,True,,True,True,True,True,True,True,True,True,False,,False,False,True,True,True
Pennsylvania,5697,5601.0,5625.8,5466.0,6278.0,,5957.4,986.0,5338.9,5746.9,,5493.0,5466.0,5744.8,5984.2,6444.8,4883.3,4459.0,5637.1,6177.0,,3495.0,5331.5,5554.4,5461.1,5366.0,-96.0,-71.2,-231.0,581.0,,260.4,-4711.0,-358.1,49.9,,-204.0,-231.0,47.8,287.2,747.8,-813.7,-1238.0,-59.9,480.0,,-2202.0,-365.5,-142.6,-235.9,-331.0,True,False,False,,False,False,False,True,,False,False,True,False,False,False,False,True,False,,False,False,False,False,False
Rhode Island,691,715.0,730.4,624.0,291.0,,656.8,0.0,997.0,884.2,,582.0,1902.0,743.2,667.2,857.6,848.9,367.5,624.3,555.0,,224.6,718.7,830.2,443.7,510.0,24.0,39.4,-67.0,-400.0,,-34.2,-691.0,306.0,193.2,,-109.0,1211.0,52.2,-23.8,166.6,157.9,-323.5,-66.7,-136.0,,-466.4,27.7,139.2,-247.3,-181.0,False,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False,False,,False,False,False,False,False
South Carolina,8033,7262.0,7170.3,5951.0,5951.0,,6973.8,3276.0,6294.6,7131.0,,7133.0,6907.0,6425.1,7444.2,2162.6,7343.6,4539.8,5211.8,8008.0,,1912.9,6719.0,7104.8,5385.3,6234.0,-771.0,-862.7,-2082.0,-2082.0,,-1059.2,-4757.0,-1738.4,-902.0,,-900.0,-1126.0,-1607.9,-588.8,-5870.4,-689.4,-3493.2,-2821.2,-25.0,,-6120.1,-1314.0,-928.2,-2647.7,-1799.0,False,False,False,,False,False,False,False,,False,False,False,True,False,True,False,False,True,,False,False,False,False,False
South Dakota,2689,2007.0,2054.1,1914.0,1469.0,,1831.9,43.0,1425.6,2091.4,,2008.0,2015.0,2021.7,2119.4,393.0,2470.3,2112.2,1863.2,2246.0,,1552.0,1913.7,1393.9,2688.7,1944.0,-682.0,-634.9,-775.0,-1220.0,,-857.1,-2646.0,-1263.4,-597.6,,-681.0,-674.0,-667.3,-569.6,-2296.0,-218.7,-576.8,-825.8,-443.0,,-1137.0,-775.3,-1295.1,-0.3,-745.0,True,False,False,,False,False,False,True,,True,True,True,True,False,True,True,False,True,,False,False,False,True,False
Tennessee,9452,10548.0,10376.7,9542.0,9090.0,,9542.1,6606.0,13034.0,8895.8,,10289.0,9143.0,8242.7,12511.6,6426.8,6674.8,11725.6,11235.2,10793.0,,8175.9,9492.5,9471.6,10997.7,11425.0,1096.0,924.7,90.0,-362.0,,90.1,-2846.0,3582.0,-556.2,,837.0,-309.0,-1209.3,3059.6,-3025.2,-2777.2,2273.6,1783.2,1341.0,,-1276.1,40.5,19.6,1545.7,1973.0,True,True,True,,True,False,False,True,,True,True,False,False,False,False,False,False,False,,False,True,True,False,False
