,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01047,384,40.0,39.3,,68.0,72.0,,,,,329.0,108.3,108.2,,38.9,147.3,2.0,,69.1,61.6,,,,,105.0,-344.0,-344.7,,-316.0,-312.0,,,,,-55.0,-275.7,-275.8,,-345.1,-236.7,-382.0,,-314.9,-322.4,,,,,-279.0,False,,True,True,,,,,True,True,True,,False,True,False,,True,True,,,,,True
01049,372,272.0,253.1,,231.0,194.0,,,,,421.0,359.8,267.4,,154.6,230.5,114.7,,120.5,396.3,,,,,533.9,-100.0,-118.9,,-141.0,-178.0,,,,,49.0,-12.2,-104.6,,-217.4,-141.5,-257.3,,-251.5,24.3,,,,,161.9,False,,False,False,,,,,True,True,False,,False,False,False,,False,True,,,,,False
01051,677,332.0,344.0,,332.0,357.0,,,,,394.0,410.8,215.2,,220.9,375.2,134.5,,109.7,267.1,,,,,576.1,-345.0,-333.0,,-345.0,-320.0,,,,,-283.0,-266.2,-461.8,,-456.1,-301.8,-542.5,,-567.3,-409.9,,,,,-100.9,True,,False,True,,,,,True,True,False,,False,True,False,,False,False,,,,,True
01053,405,160.0,161.8,,119.0,59.0,,,,,365.0,219.4,182.3,,28.2,121.9,0.8,,48.8,101.2,,,,,306.8,-245.0,-243.2,,-286.0,-346.0,,,,,-40.0,-185.6,-222.7,,-376.8,-283.1,-404.2,,-356.2,-303.8,,,,,-98.2,True,,False,False,,,,,True,True,True,,False,False,False,,False,False,,,,,True
01055,846,660.0,603.8,,533.0,552.0,,,,,534.0,646.0,696.0,,357.7,462.7,279.7,,456.3,458.8,,,,,896.7,-186.0,-242.2,,-313.0,-294.0,,,,,-312.0,-200.0,-150.0,,-488.3,-383.3,-566.3,,-389.7,-387.2,,,,,50.7,False,,False,False,,,,,False,False,True,,False,False,False,,False,False,,,,,True
01057,173,76.0,79.6,,76.0,45.0,,,,,91.0,155.8,102.0,,30.0,61.5,73.3,,31.8,106.9,,,,,111.5,-97.0,-93.4,,-97.0,-128.0,,,,,-82.0,-17.2,-71.0,,-143.0,-111.5,-99.7,,-141.2,-66.1,,,,,-61.5,True,,False,False,,,,,True,True,True,,False,False,False,,False,True,,,,,True
01059,243,420.0,418.2,,289.0,357.0,,,,,284.0,212.7,89.1,,230.0,303.7,219.1,,226.8,279.3,,,,,683.3,177.0,175.2,,46.0,114.0,,,,,41.0,-30.3,-153.9,,-13.0,60.7,-23.9,,-16.2,36.3,,,,,440.3,True,,True,True,,,,,True,True,True,,True,True,True,,True,True,,,,,False
01061,255,120.0,160.4,,127.0,220.0,,,,,218.0,270.3,193.3,,35.2,107.5,98.8,,65.3,119.4,,,,,190.2,-135.0,-94.6,,-128.0,-35.0,,,,,-37.0,15.3,-61.7,,-219.8,-147.5,-156.2,,-189.7,-135.6,,,,,-64.8,True,,True,True,,,,,True,True,True,,False,False,False,,False,False,,,,,True
01063,30,24.0,27.5,,19.0,8.0,,,,,50.0,52.9,21.7,,11.7,27.7,0.2,,12.6,18.9,,,,,32.3,-6.0,-2.5,,-11.0,-22.0,,,,,20.0,22.9,-8.3,,-18.3,-2.3,-29.8,,-17.4,-11.1,,,,,2.3,True,,False,False,,,,,False,False,False,,False,True,False,,False,False,,,,,True
01065,113,60.0,61.0,,59.0,41.0,,,,,106.0,81.1,38.6,,17.0,61.1,2.2,,6.4,79.3,,,,,103.9,-53.0,-52.0,,-54.0,-72.0,,,,,-7.0,-31.9,-74.4,,-96.0,-51.9,-110.8,,-106.6,-33.7,,,,,-9.1,True,,False,False,,,,,True,True,False,,False,True,False,,False,True,,,,,True
01067,186,72.0,67.9,,65.0,90.0,,,,,100.0,122.7,69.7,,14.2,63.6,41.4,,14.5,60.0,,,,,111.0,-114.0,-118.1,,-121.0,-96.0,,,,,-86.0,-63.3,-116.3,,-171.8,-122.4,-144.6,,-171.5,-126.0,,,,,-75.0,False,,False,True,,,,,True,True,False,,False,False,False,,False,False,,,,,True
01069,1096,328.0,294.9,,323.0,227.0,,,,,743.0,656.0,552.0,,198.6,328.8,240.0,,108.0,312.6,,,,,595.9,-768.0,-801.1,,-773.0,-869.0,,,,,-353.0,-440.0,-544.0,,-897.4,-767.2,-856.0,,-988.0,-783.4,,,,,-500.1,False,,False,False,,,,,True,True,True,,False,True,False,,False,False,,,,,True
01071,318,200.0,226.2,,199.0,60.0,,,,,259.0,312.6,295.6,,151.4,220.6,172.7,,65.2,191.7,,,,,418.8,-118.0,-91.8,,-119.0,-258.0,,,,,-59.0,-5.4,-22.4,,-166.6,-97.4,-145.3,,-252.8,-126.3,,,,,100.8,True,,False,False,,,,,True,True,True,,False,True,False,,False,False,,,,,True
01073,4085,4048.0,3703.5,3939.7,3679.0,11869.0,,,,,2500.0,3296.7,3064.4,,4623.3,3734.4,751.1,,1735.0,2940.1,4412.0,,,,6857.7,-37.0,-381.5,-145.3,-406.0,7784.0,,,,,-1585.0,-788.3,-1020.6,,538.3,-350.6,-3333.9,,-2350.0,-1144.9,327.0,,,,2772.7,False,False,False,False,,,,,False,False,False,,False,False,False,,False,False,False,,,,False
01075,100,36.0,31.9,,40.0,23.0,,,,,94.0,78.9,59.6,,11.9,45.4,43.7,,10.7,61.1,,,,,62.6,-64.0,-68.1,,-60.0,-77.0,,,,,-6.0,-21.1,-40.4,,-88.1,-54.6,-56.3,,-89.3,-38.9,,,,,-37.4,False,,True,False,,,,,True,True,True,,False,True,True,,False,True,,,,,True
01077,315,312.0,291.0,,288.0,414.0,,,,,560.0,436.7,357.0,,166.9,287.3,166.9,,141.4,276.9,,,,,439.6,-3.0,-24.0,,-27.0,99.0,,,,,245.0,121.7,42.0,,-148.1,-27.7,-148.1,,-173.6,-38.1,,,,,124.6,False,,False,False,,,,,False,False,False,,False,False,False,,False,False,,,,,False
01079,178,184.0,181.4,,182.0,247.0,,,,,185.0,253.7,148.8,,169.3,210.4,98.0,,22.7,166.7,,,,,274.3,6.0,3.4,,4.0,69.0,,,,,7.0,75.7,-29.2,,-8.7,32.4,-80.0,,-155.3,-11.3,,,,,96.3,True,,True,False,,,,,False,False,False,,False,False,False,,False,False,,,,,False
01081,2721,1136.0,1109.5,,1070.0,3389.0,,,,,977.0,801.6,657.2,,1369.8,1033.6,350.4,,3459.5,775.3,2890.0,,,,1255.0,-1585.0,-1611.5,,-1651.0,668.0,,,,,-1744.0,-1919.4,-2063.8,,-1351.2,-1687.4,-2370.6,,738.5,-1945.7,169.0,,,,-1466.0,False,,False,True,,,,,False,False,False,,True,False,False,,True,False,True,,,,True
01083,484,384.0,368.6,,364.0,359.0,,,,,484.0,502.2,250.0,,356.4,385.7,193.0,,226.8,310.6,,,,,608.7,-100.0,-115.4,,-120.0,-125.0,,,,,0.0,18.2,-234.0,,-127.6,-98.3,-291.0,,-257.2,-173.4,,,,,124.7,False,,False,False,,,,,True,True,False,,False,True,False,,False,False,,,,,False
01085,60,56.0,39.3,,34.0,0.0,,,,,68.0,42.2,17.6,,8.2,50.5,0.8,,24.2,38.5,,,,,82.3,-4.0,-20.7,,-26.0,-60.0,,,,,8.0,-17.8,-42.4,,-51.8,-9.5,-59.2,,-35.8,-21.5,,,,,22.3,False,,False,False,,,,,False,False,False,,False,False,False,,False,False,,,,,False
01087,91,68.0,62.3,,58.0,61.0,,,,,80.0,152.6,69.7,,15.9,75.8,0.0,,47.9,58.0,,,,,98.8,-23.0,-28.7,,-33.0,-30.0,,,,,-11.0,61.6,-21.3,,-75.1,-15.2,-91.0,,-43.1,-33.0,,,,,7.8,False,,False,False,,,,,True,False,True,,False,True,False,,False,False,,,,,True
01089,1718,1140.0,1031.2,1211.4,1104.0,2582.0,,,,,1401.0,1307.4,1507.2,,1170.0,1121.3,325.0,,0.0,808.8,1046.0,,,,1932.2,-578.0,-686.8,-506.6,-614.0,864.0,,,,,-317.0,-410.6,-210.8,,-548.0,-596.7,-1393.0,,-1718.0,-909.2,-672.0,,,,214.2,False,True,False,False,,,,,True,True,True,,True,False,False,,False,False,False,,,,True
01091,98,68.0,73.6,,61.0,49.0,,,,,190.0,90.2,57.1,,9.2,58.6,0.5,,24.8,78.0,,,,,103.1,-30.0,-24.4,,-37.0,-49.0,,,,,92.0,-7.8,-40.9,,-88.8,-39.4,-97.5,,-73.2,-20.0,,,,,5.1,True,,False,False,,,,,False,True,False,,False,False,False,,False,True,,,,,True
01093,259,240.0,229.3,,184.0,378.0,,,,,184.0,246.0,163.6,,102.9,184.2,63.3,,55.7,140.4,,,,,314.5,-19.0,-29.7,,-75.0,119.0,,,,,-75.0,-13.0,-95.4,,-156.1,-74.8,-195.7,,-203.3,-118.6,,,,,55.5,False,,False,False,,,,,False,True,False,,False,False,False,,False,False,,,,,False
01095,480,248.0,289.8,,228.0,167.0,,,,,581.0,420.6,312.4,,96.5,214.8,57.0,,60.9,395.3,,,,,544.4,-232.0,-190.2,,-252.0,-313.0,,,,,101.0,-59.4,-167.6,,-383.5,-265.2,-423.0,,-419.1,-84.7,,,,,64.4,True,,False,False,,,,,True,True,True,,False,False,False,,False,True,,,,,True
01097,1452,1644.0,1607.5,1888.8,1591.0,1634.0,,,,,1981.0,1549.5,1936.1,,1683.8,1377.8,908.4,,393.5,3358.6,782.0,,,,2931.8,192.0,155.5,436.8,139.0,182.0,,,,,529.0,97.5,484.1,,231.8,-74.2,-543.6,,-1058.5,1906.6,-670.0,,,,1479.8,True,False,True,True,,,,,False,True,False,,False,True,False,,False,False,False,,,,False
01099,157,0.0,1.7,,11.0,5.0,,,,,171.0,68.5,75.3,,5.2,26.4,22.9,,5.3,5.3,,,,,31.5,-157.0,-155.3,,-146.0,-152.0,,,,,14.0,-88.5,-81.7,,-151.8,-130.6,-134.1,,-151.7,-151.7,,,,,-125.5,True,,True,True,,,,,True,True,True,,True,True,True,,True,True,,,,,True
01101,1184,1012.0,1008.3,1203.8,997.0,852.0,,,,,1183.0,784.3,544.8,,828.2,1126.6,224.7,,895.1,1006.2,1075.0,,,,1837.4,-172.0,-175.7,19.8,-187.0,-332.0,,,,,-1.0,-399.7,-639.2,,-355.8,-57.4,-959.3,,-288.9,-177.8,-109.0,,,,653.4,False,True,False,False,,,,,True,False,False,,False,True,False,,False,False,True,,,,False
01103,515,660.0,622.7,,602.0,1199.0,,,,,620.0,667.8,390.2,,495.2,616.8,152.8,,205.8,551.9,,,,,1002.1,145.0,107.7,,87.0,684.0,,,,,105.0,152.8,-124.8,,-19.8,101.8,-362.2,,-309.2,36.9,,,,,487.1,True,,True,False,,,,,True,False,True,,True,True,False,,False,True,,,,,False
01105,67,36.0,34.8,,26.0,8.0,,,,,61.0,38.0,33.3,,5.0,24.2,0.0,,6.4,43.7,,,,,69.6,-31.0,-32.2,,-41.0,-59.0,,,,,-6.0,-29.0,-33.7,,-62.0,-42.8,-67.0,,-60.6,-23.3,,,,,2.6,False,,False,False,,,,,True,True,False,,False,False,False,,False,True,,,,,True
01107,137,136.0,141.4,,125.0,186.0,,,,,148.0,178.6,83.0,,68.0,123.9,67.8,,80.0,79.6,,,,,202.9,-1.0,4.4,,-12.0,49.0,,,,,11.0,41.6,-54.0,,-69.0,-13.1,-69.2,,-57.0,-57.4,,,,,65.9,False,,False,False,,,,,False,False,False,,False,False,False,,False,False,,,,,False
01109,381,172.0,121.5,,139.0,198.0,,,,,335.0,232.1,109.5,,51.6,134.2,59.2,,44.4,152.8,,,,,256.3,-209.0,-259.5,,-242.0,-183.0,,,,,-46.0,-148.9,-271.5,,-329.4,-246.8,-321.8,,-336.6,-228.2,,,,,-124.7,False,,False,True,,,,,True,True,False,,False,False,False,,False,False,,,,,True
01111,188,120.0,106.3,,105.0,28.0,,,,,128.0,155.3,101.0,,64.0,119.4,34.2,,6.2,106.0,,,,,159.2,-68.0,-81.7,,-83.0,-160.0,,,,,-60.0,-32.7,-87.0,,-124.0,-68.6,-153.8,,-181.8,-82.0,,,,,-28.8,False,,False,False,,,,,True,True,False,,False,False,False,,False,False,,,,,True
01113,235,152.0,141.5,,140.0,99.0,,,,,347.0,233.2,186.1,,55.2,154.6,100.1,,26.9,219.7,,,,,291.9,-83.0,-93.5,,-95.0,-136.0,,,,,112.0,-1.8,-48.9,,-179.8,-80.4,-134.9,,-208.1,-15.3,,,,,56.9,False,,False,False,,,,,False,True,True,,False,True,False,,False,True,,,,,True
01115,705,428.0,426.7,,365.0,733.0,,,,,362.0,641.9,394.8,,270.6,397.1,176.3,,108.3,299.2,,,,,689.1,-277.0,-278.3,,-340.0,28.0,,,,,-343.0,-63.1,-310.2,,-434.4,-307.9,-528.7,,-596.7,-405.8,,,,,-15.9,False,,False,True,,,,,False,True,False,,False,False,False,,False,False,,,,,True
01117,2061,1200.0,1184.5,,1187.0,4075.0,,,,,850.0,1145.1,994.7,,2058.8,1633.7,615.4,,2679.9,792.0,4346.0,,,,1881.7,-861.0,-876.5,,-874.0,2014.0,,,,,-1211.0,-915.9,-1066.3,,-2.2,-427.3,-1445.6,,618.9,-1269.0,2285.0,,,,-179.3,False,,False,False,,,,,False,False,False,,True,True,False,,True,False,False,,,,True
01119,43,20.0,15.9,,20.0,28.0,,,,,87.0,55.9,14.7,,2.4,27.0,0.3,,1.9,29.2,,,,,30.5,-23.0,-27.1,,-23.0,-15.0,,,,,44.0,12.9,-28.3,,-40.6,-16.0,-42.7,,-41.1,-13.8,,,,,-12.5,False,,False,True,,,,,False,True,False,,False,True,False,,False,True,,,,,True
01121,922,288.0,301.8,,273.0,259.0,,,,,404.0,324.3,581.6,,184.4,270.8,198.5,,106.5,244.8,,,,,429.5,-634.0,-620.2,,-649.0,-663.0,,,,,-518.0,-597.7,-340.4,,-737.6,-651.2,-723.5,,-815.5,-677.2,,,,,-492.5,True,,False,False,,,,,True,True,True,,False,False,False,,False,False,,,,,True
01123,241,20.0,28.8,,58.0,69.0,,,,,248.0,131.7,128.7,,23.9,62.2,26.2,,45.8,63.4,,,,,53.8,-221.0,-212.2,,-183.0,-172.0,,,,,7.0,-109.3,-112.3,,-217.1,-178.8,-214.8,,-195.2,-177.6,,,,,-187.2,True,,True,True,,,,,True,True,True,,True,True,True,,True,True,,,,,True
01125,3541,1244.0,1190.6,,1197.0,1274.0,,,,,1292.0,1304.0,739.2,,1235.6,1195.2,300.9,,585.8,935.9,1208.0,,,,1987.1,-2297.0,-2350.4,,-2344.0,-2267.0,,,,,-2249.0,-2237.0,-2801.8,,-2305.4,-2345.8,-3240.1,,-2955.2,-2605.1,-2333.0,,,,-1553.9,False,,False,True,,,,,True,True,False,,False,False,False,,False,False,False,,,,True
01127,508,408.0,427.0,,306.0,753.0,,,,,379.0,476.4,155.2,,148.0,294.4,71.0,,30.1,245.4,,,,,648.4,-100.0,-81.0,,-202.0,245.0,,,,,-129.0,-31.6,-352.8,,-360.0,-213.6,-437.0,,-477.9,-262.6,,,,,140.4,True,,False,False,,,,,False,True,False,,False,False,False,,False,False,,,,,False
01129,69,48.0,69.3,,51.0,25.0,,,,,132.0,126.5,81.4,,9.6,59.0,0.0,,13.1,50.3,,,,,89.0,-21.0,0.3,,-18.0,-44.0,,,,,63.0,57.5,12.4,,-59.4,-10.0,-69.0,,-55.9,-18.7,,,,,20.0,True,,True,False,,,,,False,False,True,,False,True,False,,False,True,,,,,True
01131,62,40.0,42.4,,36.0,30.0,,,,,78.0,43.6,36.7,,6.6,34.9,0.6,,43.9,35.3,,,,,74.6,-22.0,-19.6,,-26.0,-32.0,,,,,16.0,-18.4,-25.3,,-55.4,-27.1,-61.4,,-18.1,-26.7,,,,,12.6,True,,False,False,,,,,True,True,False,,False,False,False,,True,False,,,,,True
01133,206,160.0,160.2,,137.0,124.0,,,,,157.0,167.1,92.5,,107.1,143.5,52.1,,62.0,125.1,,,,,213.8,-46.0,-45.8,,-69.0,-82.0,,,,,-49.0,-38.9,-113.5,,-98.9,-62.5,-153.9,,-144.0,-80.9,,,,,7.8,True,,False,False,,,,,False,True,False,,False,False,False,,False,False,,,,,True
