,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Maryland,11365,12939.0,12941.2,12143.0,17917.0,,12526.9,1012.0,12402.3,,11726.0,13016.3,12216.0,11076.6,8201.9,9902.3,12443.5,,,6620.5,13000.2,14475.3,16851.7,13544.0,1574.0,1576.2,778.0,6552.0,,1161.9,-10353.0,1037.3,,361.0,1651.3,851.0,-288.4,-3163.1,-1462.7,1078.5,,,-4744.5,1635.2,3110.3,5486.7,2179.0,False,True,False,,True,False,True,,True,False,True,True,False,True,True,,,False,False,False,False,False
Massachusetts,7854,0.0,0.0,4857.0,7985.0,,41332.3,787.0,8146.4,,5375.0,7391.1,538.9,5736.5,9123.1,4278.5,7385.6,,,5132.6,841.6,,12167.1,0.0,-7854.0,-7854.0,-2997.0,131.0,,33478.3,-7067.0,292.4,,-2479.0,-462.9,-7315.1,-2117.5,1269.1,-3575.5,-468.4,,,-2721.4,-7012.4,,4313.1,-7854.0,False,True,True,,False,True,True,,True,True,True,True,True,True,True,,,True,True,,True,False
Michigan,17182,18165.0,17742.7,17086.0,29813.0,,13212.0,7733.0,15154.7,,16448.0,16485.5,18159.0,22365.4,17267.5,8804.6,11885.4,,,2289.0,24584.7,13175.8,10869.7,13620.0,983.0,560.7,-96.0,12631.0,,-3970.0,-9449.0,-2027.3,,-734.0,-696.5,977.0,5183.4,85.5,-8377.4,-5296.6,,,-14893.0,7402.7,-4006.2,-6312.3,-3562.0,True,True,False,,False,False,False,,True,True,True,False,True,False,False,,,False,False,False,False,False
Minnesota,15779,16869.0,17310.0,16360.0,20470.0,,17352.3,1729.0,16588.8,,19199.0,18395.5,18448.8,13639.0,16856.5,13045.4,15519.4,,,13155.5,15309.9,14472.0,17504.6,18737.0,1090.0,1531.0,581.0,4691.0,,1573.3,-14050.0,809.8,,3420.0,2616.5,2669.8,-2140.0,1077.5,-2733.6,-259.6,,,-2623.5,-469.1,-1307.0,1725.6,2958.0,False,True,False,,False,False,True,,False,False,False,False,True,False,True,,,False,True,False,False,False
Mississippi,10199,13347.0,12780.4,11014.0,12635.0,,11243.0,8984.0,13069.3,,14449.0,12252.8,11762.6,9120.5,9564.2,9282.1,11353.7,,,6380.5,11333.9,13539.6,9386.7,10242.0,3148.0,2581.4,815.0,2436.0,,1044.0,-1215.0,2870.3,,4250.0,2053.8,1563.6,-1078.5,-634.8,-916.9,1154.7,,,-3818.5,1134.9,3340.6,-812.3,43.0,True,True,True,,True,True,True,,False,True,True,True,True,True,True,,,False,True,False,True,True
Missouri,30335,30009.0,29281.6,26503.0,37325.0,,27397.4,22708.0,27072.0,,24697.0,33266.7,32632.1,22088.6,22278.3,25882.0,28283.4,,,17203.5,24227.7,23989.9,39004.2,29262.0,-326.0,-1053.4,-3832.0,6990.0,,-2937.6,-7627.0,-3263.0,,-5638.0,2931.7,2297.1,-8246.4,-8056.7,-4453.0,-2051.6,,,-13131.5,-6107.3,-6345.1,8669.2,-1073.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
Montana,3743,2739.0,2705.1,2508.0,2169.0,,2818.8,1976.0,2500.1,,3609.0,2967.7,4241.8,2378.9,2600.3,2615.5,2551.2,,,2002.0,1524.0,2782.9,3068.5,3250.0,-1004.0,-1037.9,-1235.0,-1574.0,,-924.2,-1767.0,-1242.9,,-134.0,-775.3,498.8,-1364.1,-1142.7,-1127.5,-1191.8,,,-1741.0,-2219.0,-960.1,-674.5,-493.0,False,False,False,,True,False,False,,True,True,True,False,False,False,False,,,False,False,True,True,True
Nebraska,7791,6156.0,6377.0,4966.0,4569.0,,6102.2,835.0,5550.9,,7761.0,7265.5,8006.6,4856.6,8026.2,3211.7,4703.2,,,1996.6,5489.3,5264.6,3986.8,6425.0,-1635.0,-1414.0,-2825.0,-3222.0,,-1688.8,-6956.0,-2240.1,,-30.0,-525.5,215.6,-2934.4,235.2,-4579.3,-3087.8,,,-5794.4,-2301.7,-2526.4,-3804.2,-1366.0,True,False,False,,False,False,False,,True,True,True,False,True,False,False,,,False,False,False,False,True
Nevada,7253,7923.0,8019.0,7439.0,5771.0,,8126.3,8034.0,8809.3,,7651.0,7402.9,7720.2,5163.9,7845.7,6448.5,7495.3,,,4335.0,6596.3,8949.5,6620.6,6341.0,670.0,766.0,186.0,-1482.0,,873.3,781.0,1556.3,,398.0,149.9,467.2,-2089.1,592.7,-804.5,242.3,,,-2918.0,-656.7,1696.5,-632.4,-912.0,False,True,False,,False,False,False,,True,True,True,False,True,False,True,,,False,True,False,True,False
New Hampshire,697,534.0,506.0,517.0,951.0,,489.8,6.0,551.3,,365.0,466.3,556.6,982.9,102.9,450.5,624.0,,,373.7,473.2,799.5,789.0,691.0,-163.0,-191.0,-180.0,254.0,,-207.2,-691.0,-145.7,,-332.0,-230.7,-140.4,285.9,-594.1,-246.5,-73.0,,,-323.3,-223.8,102.5,92.0,-6.0,False,False,False,,False,False,True,,False,False,True,False,False,False,True,,,False,False,True,True,True
New Jersey,9103,7281.0,7425.1,7468.0,10273.0,,4762.4,54.0,7667.2,,8277.0,7311.2,7063.0,10855.1,9246.7,5253.4,7596.7,,,8680.5,7231.0,6481.4,6292.8,8035.0,-1822.0,-1677.9,-1635.0,1170.0,,-4340.6,-9049.0,-1435.8,,-826.0,-1791.8,-2040.0,1752.1,143.7,-3849.6,-1506.3,,,-422.5,-1872.0,-2621.6,-2810.2,-1068.0,True,True,True,,False,False,True,,True,True,False,True,True,False,True,,,True,False,False,False,True
New Mexico,2644,2610.0,2628.7,2287.0,2453.0,,2339.0,1410.0,2295.0,,2790.0,2445.1,2604.8,3148.4,1554.6,1939.0,2189.3,,,1159.6,2409.9,3371.3,2141.8,2423.0,-34.0,-15.3,-357.0,-191.0,,-305.0,-1234.0,-349.0,,146.0,-198.9,-39.2,504.4,-1089.4,-705.0,-454.7,,,-1484.4,-234.1,727.3,-502.2,-221.0,True,False,False,,False,False,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
New York,15988,16110.0,15986.2,15998.0,24608.0,,9727.6,82.0,16668.4,,7896.0,15447.7,16631.7,23099.9,13845.5,11658.1,17070.7,,,19384.4,14412.1,16751.0,16312.7,17640.0,122.0,-1.8,10.0,8620.0,,-6260.4,-15906.0,680.4,,-8092.0,-540.3,643.7,7111.9,-2142.5,-4329.9,1082.7,,,3396.4,-1575.9,763.0,324.7,1652.0,True,True,False,,False,False,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
North Carolina,27079,32217.0,31781.1,29170.0,34230.0,,30762.3,39346.0,28407.6,,35270.0,35588.5,39581.1,24590.8,23781.1,21283.0,30023.2,,,16294.5,25131.1,32801.1,26695.3,34104.0,5138.0,4702.1,2091.0,7151.0,,3683.3,12267.0,1328.6,,8191.0,8509.5,12502.1,-2488.2,-3297.9,-5796.0,2944.2,,,-10784.5,-1947.9,5722.1,-383.7,7025.0,True,True,False,,True,False,True,,False,False,False,True,True,False,True,,,False,True,False,True,False
North Dakota,7046,5550.0,5701.6,5738.0,6334.0,,7143.1,59.0,6045.3,,5605.0,6590.6,6837.5,2396.7,8390.8,6144.7,5511.8,,,5110.8,5978.6,7193.9,7441.4,5998.0,-1496.0,-1344.4,-1308.0,-712.0,,97.1,-6987.0,-1000.7,,-1441.0,-455.4,-208.5,-4649.3,1344.8,-901.3,-1534.2,,,-1935.2,-1067.4,147.9,395.4,-1048.0,True,True,True,,True,False,True,,True,True,True,False,True,True,False,,,False,True,True,True,True
Ohio,20224,25395.0,24696.8,24214.0,29347.0,,23219.3,17197.0,22504.9,,23843.0,27626.3,28433.9,27785.9,19898.7,16726.1,24843.0,,,10181.3,21311.9,21383.1,26293.0,26677.0,5171.0,4472.8,3990.0,9123.0,,2995.3,-3027.0,2280.9,,3619.0,7402.3,8209.9,7561.9,-325.3,-3497.9,4619.0,,,-10042.7,1087.9,1159.1,6069.0,6453.0,True,True,False,,True,True,True,,True,False,False,False,True,True,True,,,False,True,True,False,False
Oklahoma,20323,17502.0,17694.3,15108.0,25253.0,,16147.7,12524.0,13657.4,,16543.0,19074.7,25116.0,15488.6,13288.8,12150.4,15277.8,,,9742.2,14043.5,14272.3,19021.8,18703.0,-2821.0,-2628.7,-5215.0,4930.0,,-4175.3,-7799.0,-6665.6,,-3780.0,-1248.3,4793.0,-4834.4,-7034.2,-8172.6,-5045.2,,,-10580.8,-6279.5,-6050.7,-1301.2,-1620.0,True,False,False,,False,False,False,,False,True,False,False,False,False,False,,,False,False,False,True,True
Oregon,4725,4689.0,4633.6,4434.0,4570.0,,4326.0,4178.0,4428.4,,4404.0,4336.6,6547.4,8400.6,4411.8,3499.9,4371.4,,,3088.6,3487.3,4452.7,4969.1,4527.0,-36.0,-91.4,-291.0,-155.0,,-399.0,-547.0,-296.6,,-321.0,-388.4,1822.4,3675.6,-313.2,-1225.1,-353.6,,,-1636.4,-1237.7,-272.3,244.1,-198.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
Pennsylvania,16653,17112.0,16610.2,16448.0,30189.0,,16323.5,1960.0,15666.1,,12770.0,18478.7,18215.5,20840.5,14061.1,11917.8,16377.1,,,7571.3,18683.1,15885.3,20251.0,20088.0,459.0,-42.8,-205.0,13536.0,,-329.5,-14693.0,-986.9,,-3883.0,1825.7,1562.5,4187.5,-2591.9,-4735.2,-275.9,,,-9081.7,2030.1,-767.7,3598.0,3435.0,True,True,False,,True,False,False,,False,False,False,False,False,False,True,,,False,False,False,False,False
Rhode Island,2068,1680.0,1695.2,1496.0,1526.0,,1080.0,1.0,4035.7,,2838.0,1696.5,1217.4,2245.7,2828.8,651.1,1264.9,,,171.8,1956.5,1962.7,1486.9,964.0,-388.0,-372.8,-572.0,-542.0,,-988.0,-2067.0,1967.7,,770.0,-371.5,-850.6,177.7,760.8,-1416.9,-803.1,,,-1896.2,-111.5,-105.3,-581.1,-1104.0,True,False,False,,False,False,False,,False,True,False,True,False,False,False,,,False,True,True,False,False
South Carolina,20984,21120.0,19690.0,17844.0,29506.0,,17557.9,9138.0,16406.6,,18069.0,22664.5,25711.2,6874.5,10934.5,14738.1,19525.2,,,8355.7,18000.9,22019.6,20558.6,21544.0,136.0,-1294.0,-3140.0,8522.0,,-3426.1,-11846.0,-4577.4,,-2915.0,1680.5,4727.2,-14109.5,-10049.5,-6245.9,-1458.8,,,-12628.3,-2983.1,1035.6,-425.4,560.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
South Dakota,6244,5841.0,5540.4,5581.0,9199.0,,6749.1,172.0,6022.9,,5958.0,8114.6,7843.6,1179.7,8247.7,4066.7,4855.6,,,4390.0,7958.6,7523.6,4340.9,5451.0,-403.0,-703.6,-663.0,2955.0,,505.1,-6072.0,-221.1,,-286.0,1870.6,1599.6,-5064.3,2003.7,-2177.3,-1388.4,,,-1854.0,1714.6,1279.6,-1903.1,-793.0,False,False,False,,False,False,True,,True,False,False,False,False,False,False,,,False,False,False,False,False
Tennessee,28529,30246.0,30465.4,27745.0,29881.0,,31085.7,18659.0,30839.3,,25313.0,29946.2,33956.1,22248.4,19690.1,27097.8,32206.2,,,20076.6,22053.0,29851.0,31260.7,23993.0,1717.0,1936.4,-784.0,1352.0,,2556.7,-9870.0,2310.3,,-3216.0,1417.2,5427.1,-6280.6,-8838.9,-1431.2,3677.2,,,-8452.4,-6476.0,1322.0,2731.7,-4536.0,False,True,True,,False,False,False,,False,True,False,False,False,True,False,,,False,False,True,False,False
Texas,98496,87192.0,86860.6,77833.0,135357.0,,72201.2,72881.0,84029.5,,100877.0,63873.6,84285.6,61312.7,83828.5,48307.1,73696.4,,,42515.7,66812.3,98839.3,63081.9,76390.0,-11304.0,-11635.4,-20663.0,36861.0,,-26294.8,-25615.0,-14466.5,,2381.0,-34622.4,-14210.4,-37183.3,-14667.5,-50188.9,-24799.6,,,-55980.3,-31683.7,343.3,-35414.1,-22106.0,False,False,False,,False,False,False,,True,False,False,False,False,False,False,,,False,False,True,False,False
Utah,15275,8598.0,8280.8,7764.0,7454.0,,9449.2,4630.0,7741.1,,7394.0,9143.8,9107.0,4867.6,11848.8,7043.4,8587.4,,,4052.8,7136.7,8613.8,8205.4,8572.0,-6677.0,-6994.2,-7511.0,-7821.0,,-5825.8,-10645.0,-7533.9,,-7881.0,-6131.2,-6168.0,-10407.4,-3426.2,-8231.6,-6687.6,,,-11222.2,-8138.3,-6661.2,-7069.6,-6703.0,False,False,False,,True,False,False,,False,True,True,False,True,False,False,,,False,False,True,False,False
Vermont,92,126.0,124.4,127.0,215.0,,109.5,36.0,127.2,,153.0,171.7,329.2,396.6,214.5,28.2,85.6,,,77.6,155.7,158.8,81.9,120.0,34.0,32.4,35.0,123.0,,17.5,-56.0,35.2,,61.0,79.7,237.2,304.6,122.5,-63.8,-6.4,,,-14.4,63.7,66.8,-10.1,28.0,True,False,False,,True,False,False,,False,False,False,False,False,False,True,,,True,False,False,True,True
Virginia,19681,20661.0,20335.3,19867.0,27694.0,,20391.3,5447.0,22360.8,,15758.0,21202.1,26832.4,18786.9,18957.2,17762.0,22075.4,,,16827.1,18521.2,18611.2,23601.5,0.0,980.0,654.3,186.0,8013.0,,710.3,-14234.0,2679.8,,-3923.0,1521.1,7151.4,-894.1,-723.8,-1919.0,2394.4,,,-2853.9,-1159.8,-1069.8,3920.5,-19681.0,True,True,False,,True,False,False,,False,False,False,True,True,False,False,,,False,False,False,False,False
Washington,8994,8871.0,8771.0,8476.0,10561.0,,7794.6,15577.0,8569.9,,7047.0,8601.2,9663.1,10894.3,7164.3,7138.0,8414.7,,,6750.8,7513.5,9504.3,7800.0,8269.0,-123.0,-223.0,-518.0,1567.0,,-1199.4,6583.0,-424.1,,-1947.0,-392.8,669.1,1900.3,-1829.7,-1856.0,-579.3,,,-2243.2,-1480.5,510.3,-1194.0,-725.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
