,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,78705,130446.0,108689.0,,90085.6,102778.0,105489.0,51896.7,66217.0,94801.5,61108.1,85844.0,51741.0,29984.0,,11380.6,24073.0,26784.0,-26808.3,-12488.0,16096.5,-17596.9,7139.0,True,,True,True,True,True,True,True,True,True
Hawaii,7380,8874.0,11748.0,,17960.3,7423.0,,11322.8,5645.0,15680.6,19743.0,10345.0,1494.0,4368.0,,10580.3,43.0,,3942.8,-1735.0,8300.6,12363.0,2965.0,False,,False,True,,False,False,False,False,False
Idaho,12821,17868.0,17115.0,,10729.2,13789.0,13788.0,7438.0,8773.9,9071.0,8363.4,8674.0,5047.0,4294.0,,-2091.8,968.0,967.0,-5383.0,-4047.1,-3750.0,-4457.6,-4147.0,True,,True,True,True,False,True,True,True,True
Illinois,82922,71118.0,99519.0,,68355.8,6667.0,53752.0,42883.5,64274.2,113245.9,70458.5,55473.0,-11804.0,16597.0,,-14566.2,-76255.0,-29170.0,-40038.5,-18647.8,30323.9,-12463.5,-27449.0,False,,False,False,False,False,False,False,False,False
Indiana,36873,38334.0,53096.0,,42968.1,9565.0,27353.0,22790.6,30609.3,48774.9,31838.3,42179.0,1461.0,16223.0,,6095.1,-27308.0,-9520.0,-14082.4,-6263.7,11901.9,-5034.7,5306.0,False,,False,False,False,False,False,False,False,False
Iowa,33843,21180.0,37677.0,,15803.5,2805.0,14724.0,14742.8,13793.2,15587.5,28452.0,11948.0,-12663.0,3834.0,,-18039.5,-31038.0,-19119.0,-19100.2,-20049.8,-18255.5,-5391.0,-21895.0,True,,False,False,False,False,False,False,True,False
Kansas,24220,20532.0,47465.0,,,13186.0,18450.0,10392.9,6778.9,11743.1,18186.2,16526.0,-3688.0,23245.0,,,-11034.0,-5770.0,-13827.1,-17441.1,-12476.9,-6033.8,-7694.0,False,,,False,False,False,False,False,False,False
Kentucky,27106,26112.0,40880.0,,,16826.0,22610.0,11380.2,8729.9,26630.4,17441.8,20905.0,-994.0,13774.0,,,-10280.0,-4496.0,-15725.8,-18376.1,-475.6,-9664.2,-6201.0,False,,,False,False,False,False,True,False,False
Louisiana,28415,47946.0,30545.0,,,37776.0,54929.0,22691.0,24046.5,35118.4,14418.5,13956.0,19531.0,2130.0,,,9361.0,26514.0,-5724.0,-4368.5,6703.4,-13996.5,-14459.0,True,,,True,False,True,True,True,True,True
Maine,1115,696.0,965.0,,,206.0,144.0,552.9,712.5,749.8,1446.4,560.0,-419.0,-150.0,,,-909.0,-971.0,-562.1,-402.5,-365.2,331.4,-555.0,True,,,False,False,False,True,True,True,False
Maryland,23279,30672.0,40924.0,,,5768.0,20020.0,15759.6,23968.8,35708.5,16769.4,20037.0,7393.0,17645.0,,,-17511.0,-3259.0,-7519.4,689.8,12429.5,-6509.6,-3242.0,False,,,False,True,False,True,False,True,True
Massachusetts,14272,14928.0,1432.0,,,4917.0,11822.0,8948.4,779.2,20667.7,2721.8,12228.0,656.0,-12840.0,,,-9355.0,-2450.0,-5323.6,-13492.8,6395.7,-11550.2,-2044.0,False,,,False,False,False,False,False,False,False
Michigan,32591,33546.0,56489.0,,,1277.0,31752.0,18709.5,19724.2,41243.1,29225.5,32404.0,955.0,23898.0,,,-31314.0,-839.0,-13881.5,-12866.8,8652.1,-3365.5,-187.0,False,,,False,True,False,False,False,False,True
Minnesota,31246,25872.0,23132.0,,,5533.0,28781.0,18401.2,18804.8,16155.2,24046.5,18673.0,-5374.0,-8114.0,,,-25713.0,-2465.0,-12844.8,-12441.2,-15090.8,-7199.5,-12573.0,False,,,False,True,False,False,False,False,False
Mississippi,24922,30654.0,21690.0,,,32307.0,32875.0,13414.2,12606.1,22919.3,11865.9,14495.0,5732.0,-3232.0,,,7385.0,7953.0,-11507.8,-12315.9,-2002.7,-13056.1,-10427.0,True,,,False,False,False,False,True,False,False
Missouri,56502,53898.0,106563.0,,,42317.0,34995.0,35264.2,27932.8,126683.8,59479.9,36512.0,-2604.0,50061.0,,,-14185.0,-21507.0,-21237.8,-28569.2,70181.8,2977.9,-19990.0,False,,,False,False,False,False,False,False,False
Montana,6248,4620.0,3224.0,,,3330.0,6919.0,3484.0,2747.7,1907.9,4614.4,4403.0,-1628.0,-3024.0,,,-2918.0,671.0,-2764.0,-3500.3,-4340.1,-1633.6,-1845.0,False,,,False,True,False,False,False,False,False
Nebraska,13355,11976.0,16642.0,,,1208.0,9106.0,6217.7,6370.4,12061.4,8325.9,8645.0,-1379.0,3287.0,,,-12147.0,-4249.0,-7137.3,-6984.6,-1293.6,-5029.1,-4710.0,False,,,False,False,False,False,True,False,False
Nevada,17747,31134.0,20446.0,,,35351.0,22817.0,20294.6,17397.4,21052.0,18493.1,15446.0,13387.0,2699.0,,,17604.0,5070.0,2547.6,-349.6,3305.0,746.1,-2301.0,True,,,False,True,True,True,True,True,True
New Hampshire,1141,972.0,1431.0,,,31.0,877.0,476.9,688.5,1023.7,749.2,762.0,-169.0,290.0,,,-1110.0,-264.0,-664.1,-452.5,-117.3,-391.8,-379.0,False,,,False,False,False,False,True,False,False
New Jersey,15408,18078.0,27867.0,,,345.0,9676.0,8222.4,12859.8,24608.6,17620.8,16842.0,2670.0,12459.0,,,-15063.0,-5732.0,-7185.6,-2548.2,9200.6,2212.8,1434.0,False,,,False,False,False,True,False,True,True
New Mexico,5390,7122.0,6266.0,,,5057.0,8501.0,3532.6,3737.7,5988.5,4012.3,3623.0,1732.0,876.0,,,-333.0,3111.0,-1857.4,-1652.3,598.5,-1377.7,-1767.0,True,,,True,False,False,True,True,True,False
New York,29859,27336.0,32107.0,,,198.0,11422.0,15552.4,19690.8,22931.2,34736.7,28551.0,-2523.0,2248.0,,,-29661.0,-18437.0,-14306.6,-10168.2,-6927.8,4877.7,-1308.0,True,,,False,False,False,False,False,False,True
North Carolina,59754,52536.0,52865.0,,,65398.0,55434.0,32008.1,34819.3,41840.6,32165.7,32725.0,-7218.0,-6889.0,,,5644.0,-4320.0,-27745.9,-24934.7,-17913.4,-27588.3,-27029.0,True,,,True,True,False,False,False,False,False
North Dakota,11936,5616.0,6102.0,,,316.0,4936.0,3823.6,6082.1,6812.5,5850.1,4459.0,-6320.0,-5834.0,,,-11620.0,-7000.0,-8112.4,-5853.9,-5123.5,-6085.9,-7477.0,True,,,False,False,False,True,True,True,False
Ohio,42335,46230.0,54769.0,,,25484.0,40984.0,23330.4,21762.9,40515.5,27077.5,35108.0,3895.0,12434.0,,,-16851.0,-1351.0,-19004.6,-20572.1,-1819.5,-15257.5,-7227.0,False,,,False,True,False,False,True,False,False
Oklahoma,35712,28308.0,26639.0,,,34428.0,34499.0,15360.0,11393.7,22605.0,22620.4,19835.0,-7404.0,-9073.0,,,-1284.0,-1213.0,-20352.0,-24318.3,-13107.0,-13091.6,-15877.0,False,,,True,True,False,False,False,False,False
Oregon,9563,12048.0,11655.0,,,13293.0,8874.0,7838.5,9346.5,8850.8,10863.4,10594.0,2485.0,2092.0,,,3730.0,-689.0,-1724.5,-216.5,-712.2,1300.4,1031.0,True,,,False,True,True,True,True,True,True
Pennsylvania,31402,35196.0,58977.0,,,5575.0,19674.0,17976.0,22112.0,40653.9,32541.3,28100.0,3794.0,27575.0,,,-25827.0,-11728.0,-13426.0,-9290.0,9251.9,1139.3,-3302.0,False,,,False,False,False,False,False,True,True
Rhode Island,3976,3582.0,5796.0,,,11.0,2435.0,1127.7,1038.7,3747.5,3463.3,1609.0,-394.0,1820.0,,,-3965.0,-1541.0,-2848.3,-2937.3,-228.5,-512.7,-2367.0,False,,,False,False,False,False,True,False,False
South Carolina,39391,38532.0,27894.0,,,30825.0,34088.0,16574.4,19704.2,28108.1,16337.0,14564.0,-859.0,-11497.0,,,-8566.0,-5303.0,-22816.6,-19686.8,-11282.9,-23054.0,-24827.0,False,,,False,False,False,False,False,False,False
South Dakota,11015,3846.0,4087.0,,,533.0,2868.0,3008.8,3824.3,6719.4,6809.6,3633.0,-7169.0,-6928.0,,,-10482.0,-8147.0,-8006.2,-7190.7,-4295.6,-4205.4,-7382.0,True,,,False,False,False,False,True,True,False
Tennessee,59144,66972.0,69684.0,,,54938.0,56444.0,49723.5,39227.3,42715.8,43288.1,34356.0,7828.0,10540.0,,,-4206.0,-2700.0,-9420.5,-19916.7,-16428.2,-15855.9,-24788.0,False,,,True,True,False,False,False,False,False
Texas,209941,293520.0,315604.0,,,260024.0,338509.0,238322.7,120436.8,174033.7,172265.9,153981.0,83579.0,105663.0,,,50083.0,128568.0,28381.7,-89504.2,-35907.3,-37675.1,-55960.0,False,,,True,False,True,False,True,True,True
Utah,23226,15420.0,13204.0,,,11522.0,12368.0,9318.3,7317.7,15870.8,9709.6,7854.0,-7806.0,-10022.0,,,-11704.0,-10858.0,-13907.7,-15908.3,-7355.2,-13516.4,-15372.0,False,,,False,False,False,False,True,False,False
Vermont,230,330.0,497.0,,,17.0,187.0,194.6,106.3,347.3,713.5,365.0,100.0,267.0,,,-213.0,-43.0,-35.4,-123.7,117.3,483.5,135.0,False,,,False,True,True,False,False,False,False
Virginia,39658,39366.0,40602.0,,,10478.0,28207.0,24541.4,21348.4,27063.9,29268.3,0.0,-292.0,944.0,,,-29180.0,-11451.0,-15116.6,-18309.6,-12594.1,-10389.7,-39658.0,False,,,False,False,False,False,False,False,False
Washington,18945,26172.0,25405.0,,,30797.0,17713.0,16778.3,18489.9,27934.5,18672.9,21650.0,7227.0,6460.0,,,11852.0,-1232.0,-2166.7,-455.1,8989.5,-272.1,2705.0,True,,,False,True,True,True,False,True,True
West Virginia,6705,5394.0,7941.0,,,4867.0,4050.0,3784.3,3267.8,3824.3,6490.9,5786.0,-1311.0,1236.0,,,-1838.0,-2655.0,-2920.7,-3437.2,-2880.7,-214.1,-919.0,True,,,False,False,False,False,False,True,True
Wisconsin,48589,30738.0,33312.0,,,22324.0,26047.0,20457.1,18167.3,10730.2,27717.7,19067.0,-17851.0,-15277.0,,,-26265.0,-22542.0,-28131.9,-30421.7,-37858.8,-20871.3,-29522.0,True,,,False,False,False,False,False,False,False
Wyoming,2246,1272.0,782.0,,,1049.0,1269.0,1175.6,665.8,1507.4,3558.5,1095.0,-974.0,-1464.0,,,-1197.0,-977.0,-1070.4,-1580.2,-738.6,1312.5,-1151.0,False,,,False,False,False,False,True,False,False
US,1718230,2179416.0,2731750.0,1535004.0,1477994.8,1608653.0,1811066.0,1098238.6,1167895.2,1621965.6,1484512.6,1259213.0,461186.0,1013520.0,-183226.0,-240235.2,-109577.0,92836.0,-619991.4,-550334.8,-96264.4,-233717.4,-459017.0,False,True,True,True,True,False,False,True,True,True
