,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01021,435,342.0,352.7,,246.0,598.0,,,,,,,,253.0,,264.4,176.8,,134.3,203.4,,525.0,85.0,,110.1,284.4,,,,,475.9,776.1,-93.0,-82.3,,-189.0,163.0,,,,,,,,-182.0,,-170.6,-258.2,,-300.7,-231.6,,90.0,-350.0,,-324.9,-150.6,,,,,40.9,341.1,True,,False,False,,,,,,,,False,,False,False,,False,False,,True,False,,False,False,,,,,True,False
01023,27,24.0,23.2,,21.0,21.0,,,,,,,,39.0,,94.7,26.0,,6.0,18.7,,,28.0,,0.6,23.2,,,,,35.2,28.7,-3.0,-3.8,,-6.0,-6.0,,,,,,,,12.0,,67.7,-1.0,,-21.0,-8.3,,,1.0,,-26.4,-3.8,,,,,8.2,1.7,False,,False,False,,,,,,,,False,,False,True,,False,False,,,True,,False,False,,,,,False,True
01025,165,39.0,38.7,,56.0,54.0,,,,,,,,140.0,,139.9,85.0,,4.1,54.1,,,6.0,,36.7,89.6,,,,,92.5,314.3,-126.0,-126.3,,-109.0,-111.0,,,,,,,,-25.0,,-25.1,-80.0,,-160.9,-110.9,,,-159.0,,-128.3,-75.4,,,,,-72.5,149.3,False,,True,True,,,,,,,,True,,True,True,,False,True,,,False,,False,True,,,,,True,False
01027,193,150.0,136.8,,95.0,93.0,,,,,,,,54.0,,196.2,47.8,,60.6,97.4,,238.0,58.0,,53.8,132.3,,,,,187.7,104.9,-43.0,-56.2,,-98.0,-100.0,,,,,,,,-139.0,,3.2,-145.2,,-132.4,-95.6,,45.0,-135.0,,-139.2,-60.7,,,,,-5.3,-88.1,False,,False,False,,,,,,,,False,,True,False,,False,False,,False,False,,False,False,,,,,True,False
01029,148,96.0,80.2,,72.0,109.0,,,,,,,,48.0,,332.3,36.5,,52.1,62.8,,95.0,70.0,,14.0,99.3,,,,,114.6,513.6,-52.0,-67.8,,-76.0,-39.0,,,,,,,,-100.0,,184.3,-111.5,,-95.9,-85.2,,-53.0,-78.0,,-134.0,-48.7,,,,,-33.4,365.6,False,,False,True,,,,,,,,False,,False,False,,False,False,,False,False,,False,True,,,,,True,False
01031,378,66.0,94.8,,91.0,82.0,,,,,,,,287.0,,157.9,166.1,,18.0,87.1,,44.0,35.0,,21.3,88.2,,,,,129.5,246.6,-312.0,-283.2,,-287.0,-296.0,,,,,,,,-91.0,,-220.1,-211.9,,-360.0,-290.9,,-334.0,-343.0,,-356.7,-289.8,,,,,-248.5,-131.4,True,,True,True,,,,,,,,True,,True,True,,False,True,,False,False,,False,True,,,,,True,True
01033,172,168.0,172.4,,161.0,184.0,,,,,,,,310.0,,259.4,123.1,,66.0,143.1,,146.0,35.0,,13.1,154.6,,,,,297.2,239.4,-4.0,0.4,,-11.0,12.0,,,,,,,,138.0,,87.4,-48.9,,-106.0,-28.9,,-26.0,-137.0,,-158.9,-17.4,,,,,125.2,67.4,True,,False,False,,,,,,,,False,,False,False,,False,False,,False,False,,False,False,,,,,False,False
01035,101,0.0,3.8,,9.0,5.0,,,,,,,,48.0,,7.2,29.4,,46.1,16.4,0.0,,2.0,,13.6,5.7,,,,,22.8,59.5,-101.0,-97.2,,-92.0,-96.0,,,,,,,,-53.0,,-93.8,-71.6,,-54.9,-84.6,-101.0,,-99.0,,-87.4,-95.3,,,,,-78.2,-41.5,True,,True,True,,,,,,,,True,,True,True,,True,True,True,,True,,True,True,,,,,True,True
01037,63,0.0,1.3,,4.0,0.0,,,,,,,,32.0,,3.0,22.8,,0.0,2.5,9.8,107.0,0.0,,6.0,7.6,,,,,7.2,133.6,-63.0,-61.7,,-59.0,-63.0,,,,,,,,-31.0,,-60.0,-40.2,,-63.0,-60.5,-53.2,44.0,-63.0,,-57.0,-55.4,,,,,-55.8,70.6,True,,True,False,,,,,,,,True,,True,True,,True,True,True,True,False,,True,True,,,,,True,False
01039,589,18.0,25.1,,40.0,41.0,,,,,,,,205.0,,107.4,137.6,,20.2,42.4,40.2,,4.0,,13.5,27.3,,,,,28.2,743.5,-571.0,-563.9,,-549.0,-548.0,,,,,,,,-384.0,,-481.6,-451.4,,-568.8,-546.6,-548.8,,-585.0,,-575.5,-561.7,,,,,-560.8,154.5,True,,True,True,,,,,,,,True,,True,True,,True,True,True,,False,,False,True,,,,,True,True
01041,138,33.0,33.3,,32.0,22.0,,,,,,,,93.0,,126.4,48.1,,1.3,19.9,0.0,,8.0,,1.4,88.3,,,,,58.0,222.3,-105.0,-104.7,,-106.0,-116.0,,,,,,,,-45.0,,-11.6,-89.9,,-136.7,-118.1,-138.0,,-130.0,,-136.6,-49.7,,,,,-80.0,84.3,True,,False,False,,,,,,,,True,,True,True,,False,False,False,,False,,False,True,,,,,True,True
01043,445,90.0,43.3,,105.0,120.0,,,,,,,,444.0,,167.3,240.1,,5.7,100.6,105.8,49.0,40.0,,46.9,117.6,,,,,201.7,552.3,-355.0,-401.7,,-340.0,-325.0,,,,,,,,-1.0,,-277.7,-204.9,,-439.3,-344.4,-339.2,-396.0,-405.0,,-398.1,-327.4,,,,,-243.3,107.3,False,,True,True,,,,,,,,True,,True,True,,False,True,True,False,False,,False,True,,,,,True,True
01045,362,66.0,102.3,,80.0,76.0,,,,,,,,226.0,,99.0,147.4,,7.3,65.2,103.1,40.0,18.0,,59.0,75.3,,,,,129.2,423.8,-296.0,-259.7,,-282.0,-286.0,,,,,,,,-136.0,,-263.0,-214.6,,-354.7,-296.8,-258.9,-322.0,-344.0,,-303.1,-286.7,,,,,-232.8,61.8,True,,True,True,,,,,,,,True,,True,True,,False,False,True,False,False,,False,True,,,,,True,True
01047,354,81.0,78.5,,66.0,64.0,,,,,,,,204.0,,159.5,73.8,,10.3,63.0,1.1,,41.0,,51.3,70.3,,,,,111.1,213.1,-273.0,-275.5,,-288.0,-290.0,,,,,,,,-150.0,,-194.5,-280.2,,-343.7,-291.0,-352.9,,-313.0,,-302.7,-283.7,,,,,-242.9,-140.9,False,,False,False,,,,,,,,True,,True,False,,False,False,False,,False,,False,False,,,,,True,True
01049,312,180.0,169.1,,145.0,134.0,,,,,,,,316.0,,391.7,154.4,,74.1,144.7,74.7,126.0,116.0,,77.1,216.4,,,,,361.6,675.7,-132.0,-142.9,,-167.0,-178.0,,,,,,,,4.0,,79.7,-157.6,,-237.9,-167.3,-237.3,-186.0,-196.0,,-234.9,-95.6,,,,,49.6,363.7,False,,False,False,,,,,,,,True,,True,False,,False,False,False,False,False,,False,True,,,,,True,False
01051,574,309.0,315.6,,304.0,408.0,,,,,,,,319.0,,459.6,179.3,,133.5,236.0,109.1,312.0,108.0,,187.6,309.0,,,,,448.4,501.0,-265.0,-258.4,,-270.0,-166.0,,,,,,,,-255.0,,-114.4,-394.7,,-440.5,-338.0,-464.9,-262.0,-466.0,,-386.4,-265.0,,,,,-125.6,-73.0,True,,False,True,,,,,,,,True,,True,False,,False,False,False,True,False,,False,False,,,,,True,True
01053,363,108.0,108.2,,85.0,37.0,,,,,,,,240.0,,208.1,121.0,,5.4,75.9,0.5,52.0,40.0,,51.5,82.7,,,,,165.3,1030.1,-255.0,-254.8,,-278.0,-326.0,,,,,,,,-123.0,,-154.9,-242.0,,-357.6,-287.1,-362.5,-311.0,-323.0,,-311.5,-280.3,,,,,-197.7,667.1,True,,False,False,,,,,,,,True,,True,True,,False,False,False,False,False,,False,False,,,,,True,False
01055,743,309.0,263.6,,247.0,159.0,,,,,,,,443.0,,499.3,450.7,,126.8,249.7,207.7,192.0,148.0,,219.6,225.1,,,,,559.2,473.4,-434.0,-479.4,,-496.0,-584.0,,,,,,,,-300.0,,-243.7,-292.3,,-616.2,-493.3,-535.3,-551.0,-595.0,,-523.4,-517.9,,,,,-183.8,-269.6,False,,False,False,,,,,,,,True,,True,True,,False,False,False,False,False,,False,False,,,,,True,True
01057,146,81.0,86.8,,66.0,44.0,,,,,,,,75.0,,188.5,70.2,,51.1,65.9,51.1,,86.0,,50.4,86.7,,,,,104.2,266.7,-65.0,-59.2,,-80.0,-102.0,,,,,,,,-71.0,,42.5,-75.8,,-94.9,-80.1,-94.9,,-60.0,,-95.6,-59.3,,,,,-41.8,120.7,True,,False,False,,,,,,,,False,,True,False,,False,False,False,,True,,False,True,,,,,True,False
01059,179,192.0,183.0,,180.0,199.0,,,,,,,,281.0,,282.1,68.5,,82.8,161.1,173.1,217.0,88.0,,62.4,159.7,,,,,251.8,332.9,13.0,4.0,,1.0,20.0,,,,,,,,102.0,,103.1,-110.5,,-96.2,-17.9,-5.9,38.0,-91.0,,-116.6,-19.3,,,,,72.8,153.9,True,,True,False,,,,,,,,False,,False,False,,False,False,True,False,False,,False,False,,,,,False,False
01061,230,60.0,82.2,,61.0,64.0,,,,,,,,126.0,,65.1,127.9,,11.6,56.1,87.3,30.0,20.0,,45.0,50.6,,,,,96.4,422.8,-170.0,-147.8,,-169.0,-166.0,,,,,,,,-104.0,,-164.9,-102.1,,-218.4,-173.9,-142.7,-200.0,-210.0,,-185.0,-179.4,,,,,-133.6,192.8,True,,True,True,,,,,,,,True,,True,True,,False,False,True,False,False,,False,False,,,,,True,False
01063,21,24.0,26.6,,14.0,3.0,,,,,,,,20.0,,11.1,16.4,,1.8,15.3,0.1,,0.0,,40.6,18.3,,,,,29.3,49.6,3.0,5.6,,-7.0,-18.0,,,,,,,,-1.0,,-9.9,-4.6,,-19.2,-5.7,-20.9,,-21.0,,19.6,-2.7,,,,,8.3,28.6,False,,False,False,,,,,,,,True,,False,False,,False,False,False,,False,,False,True,,,,,False,False
01065,100,27.0,27.6,,26.0,22.0,,,,,,,,69.0,,81.4,27.5,,2.1,26.2,1.1,,23.0,,9.0,42.9,,,,,47.3,69.7,-73.0,-72.4,,-74.0,-78.0,,,,,,,,-31.0,,-18.6,-72.5,,-97.9,-73.8,-98.9,,-77.0,,-91.0,-57.1,,,,,-52.7,-30.3,True,,False,False,,,,,,,,True,,True,True,,False,False,False,,False,,False,True,,,,,True,True
01067,161,75.0,70.8,,57.0,70.0,,,,,,,,57.0,,139.1,54.8,,13.1,46.9,34.5,,22.0,,48.2,80.8,,,,,102.1,230.5,-86.0,-90.2,,-104.0,-91.0,,,,,,,,-104.0,,-21.9,-106.2,,-147.9,-114.1,-126.5,,-139.0,,-112.8,-80.2,,,,,-58.9,69.5,False,,False,False,,,,,,,,False,,True,False,,False,False,False,,False,,False,True,,,,,True,True
01069,996,300.0,277.3,,262.0,168.0,,,,,,,,437.0,,424.8,439.3,,114.2,198.4,226.4,156.0,67.0,,86.8,272.8,,,,,430.1,963.9,-696.0,-718.7,,-734.0,-828.0,,,,,,,,-559.0,,-571.2,-556.7,,-881.8,-797.6,-769.6,-840.0,-929.0,,-909.2,-723.2,,,,,-565.9,-32.1,False,,False,False,,,,,,,,True,,True,True,,False,False,False,False,False,,False,False,,,,,True,True
01071,263,165.0,181.6,,153.0,90.0,,,,,,,,208.0,,322.2,209.2,,76.4,123.3,116.5,93.0,29.0,,41.8,155.1,,,,,307.3,984.9,-98.0,-81.4,,-110.0,-173.0,,,,,,,,-55.0,,59.2,-53.8,,-186.6,-139.7,-146.5,-170.0,-234.0,,-221.2,-107.9,,,,,44.3,721.9,True,,False,False,,,,,,,,True,,True,True,,False,False,False,False,False,,False,False,,,,,True,False
01073,3190,2685.0,2463.1,2257.3,2140.0,1747.0,,,,,,,,2312.0,,2687.1,2102.9,,1728.4,2330.0,583.3,3125.0,1643.0,,1178.3,2127.6,2018.0,,,,4532.6,4600.0,-505.0,-726.9,-932.7,-1050.0,-1443.0,,,,,,,,-878.0,,-502.9,-1087.1,,-1461.6,-860.0,-2606.7,-65.0,-1547.0,,-2011.7,-1062.4,-1172.0,,,,1342.6,1410.0,False,False,False,False,,,,,,,,False,,True,False,,False,False,False,True,False,,False,False,False,,,,False,False
01075,87,36.0,33.7,,29.0,21.0,,,,,,,,78.0,,93.7,39.4,,6.0,31.3,27.2,,18.0,,9.1,22.8,,,,,57.3,29.8,-51.0,-53.3,,-58.0,-66.0,,,,,,,,-9.0,,6.7,-47.6,,-81.0,-55.7,-59.8,,-69.0,,-77.9,-64.2,,,,,-29.7,-57.2,False,,False,False,,,,,,,,True,,True,True,,False,False,False,,False,,False,False,,,,,True,False
01077,246,207.0,221.8,,197.0,217.0,,,,,,,,509.0,,343.7,253.8,,108.2,196.5,125.1,175.0,128.0,,70.3,156.7,,,,,343.8,350.8,-39.0,-24.2,,-49.0,-29.0,,,,,,,,263.0,,97.7,7.8,,-137.8,-49.5,-120.9,-71.0,-118.0,,-175.7,-89.3,,,,,97.8,104.8,True,,False,True,,,,,,,,False,,False,True,,False,False,False,False,False,,False,False,,,,,False,False
01079,119,177.0,182.9,,152.0,373.0,,,,,,,,156.0,,242.3,122.1,,72.5,117.0,72.7,267.0,37.0,,18.9,158.0,,,,,243.5,645.9,58.0,63.9,,33.0,254.0,,,,,,,,37.0,,123.3,3.1,,-46.5,-2.0,-46.3,148.0,-82.0,,-100.1,39.0,,,,,124.5,526.9,False,,True,False,,,,,,,,True,,False,True,,True,True,True,False,False,,False,True,,,,,False,False
01081,2431,798.0,773.5,,713.0,1132.0,,,,,,,,912.0,,823.4,513.0,,303.4,580.9,334.2,1522.0,326.0,,390.5,644.1,1020.0,,,,1148.4,3629.9,-1633.0,-1657.5,,-1718.0,-1299.0,,,,,,,,-1519.0,,-1607.6,-1918.0,,-2127.6,-1850.1,-2096.8,-909.0,-2105.0,,-2040.5,-1786.9,-1411.0,,,,-1282.6,1198.9,False,,False,True,,,,,,,,True,,True,False,,False,False,False,True,False,,False,False,True,,,,True,True
01083,403,240.0,235.4,,203.0,246.0,,,,,,,,429.0,,285.4,167.2,,88.4,193.5,152.6,203.0,101.0,,157.1,190.5,,,,,367.3,668.5,-163.0,-167.6,,-200.0,-157.0,,,,,,,,26.0,,-117.6,-235.8,,-314.6,-209.5,-250.4,-200.0,-302.0,,-245.9,-212.5,,,,,-35.7,265.5,False,,False,True,,,,,,,,True,,True,False,,False,False,False,False,False,,False,False,,,,,True,False
01085,52,12.0,6.5,,8.0,0.0,,,,,,,,46.0,,29.0,11.6,,1.0,19.6,0.4,,0.0,,6.4,11.2,,,,,22.6,96.2,-40.0,-45.5,,-44.0,-52.0,,,,,,,,-6.0,,-23.0,-40.4,,-51.0,-32.4,-51.6,,-52.0,,-45.6,-40.8,,,,,-29.4,44.2,False,,False,False,,,,,,,,True,,True,False,,False,True,False,,False,,False,False,,,,,True,False
01087,72,57.0,57.2,,48.0,59.0,,,,,,,,37.0,,249.5,50.7,,7.5,49.0,0.0,,3.0,,23.5,52.9,,,,,78.9,320.2,-15.0,-14.8,,-24.0,-13.0,,,,,,,,-35.0,,177.5,-21.3,,-64.5,-23.0,-72.0,,-69.0,,-48.5,-19.1,,,,,6.9,248.2,True,,False,True,,,,,,,,False,,False,False,,False,False,False,,False,,False,False,,,,,True,False
01089,1336,1146.0,1049.1,1009.6,1039.0,1722.0,,,,,,,,1155.0,,1340.9,1191.1,,832.5,1048.7,265.2,2037.0,743.0,,366.0,778.1,1100.0,,,,1647.1,2044.2,-190.0,-286.9,-326.4,-297.0,386.0,,,,,,,,-181.0,,4.9,-144.9,,-503.5,-287.3,-1070.8,701.0,-593.0,,-970.0,-557.9,-236.0,,,,311.1,708.2,False,False,False,False,,,,,,,,True,,True,True,,False,False,False,False,False,,False,False,False,,,,False,False
01091,78,60.0,62.3,,40.0,25.0,,,,,,,,112.0,,134.7,37.0,,12.7,40.3,0.3,,37.0,,24.3,62.4,,,,,86.9,130.6,-18.0,-15.7,,-38.0,-53.0,,,,,,,,34.0,,56.7,-41.0,,-65.3,-37.7,-77.7,,-41.0,,-53.7,-15.6,,,,,8.9,52.6,True,,False,False,,,,,,,,False,,False,False,,False,False,False,,False,,False,True,,,,,True,False
01093,234,63.0,56.0,,61.0,74.0,,,,,,,,153.0,,96.5,102.9,,19.5,77.3,48.9,65.0,48.0,,34.8,42.6,,,,,117.9,74.4,-171.0,-178.0,,-173.0,-160.0,,,,,,,,-81.0,,-137.5,-131.1,,-214.5,-156.7,-185.1,-169.0,-186.0,,-199.2,-191.4,,,,,-116.1,-159.6,False,,False,True,,,,,,,,True,,True,True,,False,True,False,True,False,,False,False,,,,,True,True
01095,451,63.0,84.3,,80.0,27.0,,,,,,,,495.0,,215.1,169.0,,16.7,94.1,28.7,34.0,67.0,,53.3,172.9,,,,,206.0,602.7,-388.0,-366.7,,-371.0,-424.0,,,,,,,,44.0,,-235.9,-282.0,,-434.3,-356.9,-422.3,-417.0,-384.0,,-397.7,-278.1,,,,,-245.0,151.7,True,,True,False,,,,,,,,True,,True,True,,False,True,False,False,True,,False,True,,,,,True,True
01097,1124,984.0,1002.9,955.9,954.0,1131.0,,,,,,,,1275.0,,1254.0,1218.8,,517.4,741.8,618.0,568.0,346.0,,191.5,1829.4,438.0,,,,1854.3,1617.7,-140.0,-121.1,-168.1,-170.0,7.0,,,,,,,,151.0,,130.0,94.8,,-606.6,-382.2,-506.0,-556.0,-778.0,,-932.5,705.4,-686.0,,,,730.3,493.7,True,False,False,True,,,,,,,,False,,True,True,,False,False,False,False,False,,False,False,False,,,,False,False
01099,154,0.0,0.0,,4.0,0.0,,,,,,,,93.0,,55.5,38.3,,0.0,8.0,15.0,,16.0,,2.3,1.8,,,,,13.9,132.0,-154.0,-154.0,,-150.0,-154.0,,,,,,,,-61.0,,-98.5,-115.7,,-154.0,-146.0,-139.0,,-138.0,,-151.7,-152.2,,,,,-140.1,-22.0,False,,True,False,,,,,,,,True,,True,True,,True,True,True,,True,,True,True,,,,,True,True
01101,943,723.0,720.5,692.0,670.0,866.0,,,,,,,,842.0,,777.8,404.9,,282.5,484.6,142.5,476.0,141.0,,263.7,751.3,395.0,,,,1158.3,857.7,-220.0,-222.5,-251.0,-273.0,-77.0,,,,,,,,-101.0,,-165.2,-538.1,,-660.5,-458.4,-800.5,-467.0,-802.0,,-679.3,-191.7,-548.0,,,,215.3,-85.3,False,False,False,True,,,,,,,,True,,True,False,,False,False,False,False,False,,False,True,False,,,,True,True
