,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01049,2940,2344.0,,,,,1313.0,,3067.7,614.4,678.0,,974.0,-596.0,,,,,-1627.0,,127.7,-2325.6,-2262.0,,-1966.0,,,,,False,,True,False,False,,False
01051,2278,1008.0,,,,,550.0,,945.5,3.2,822.8,,808.0,-1270.0,,,,,-1728.0,,-1332.5,-2274.8,-1455.2,,-1470.0,,,,,False,,False,False,False,,False
01053,652,184.0,,,,,604.0,,361.6,0.1,100.6,,276.0,-468.0,,,,,-48.0,,-290.4,-651.9,-551.4,,-376.0,,,,,True,,True,False,False,,True
01055,4558,2512.0,,,,,1561.0,,2096.5,7.3,1207.2,,1263.0,-2046.0,,,,,-2997.0,,-2461.5,-4550.7,-3350.8,,-3295.0,,,,,False,,False,False,False,,False
01057,712,304.0,,,,,194.0,,592.2,0.7,,,388.0,-408.0,,,,,-518.0,,-119.8,-711.3,,,-324.0,,,,,False,,True,False,,,True
01059,962,624.0,,,,,576.0,,810.5,441.5,281.1,,1646.0,-338.0,,,,,-386.0,,-151.5,-520.5,-680.9,,684.0,,,,,False,,True,False,False,,False
01061,580,616.0,,,,,272.0,,552.5,0.1,,,144.0,36.0,,,,,-308.0,,-27.5,-579.9,,,-436.0,,,,,False,,True,False,,,False
01063,243,104.0,,,,,61.0,,161.6,0.0,,,50.0,-139.0,,,,,-182.0,,-81.4,-243.0,,,-193.0,,,,,False,,True,False,,,False
01065,492,264.0,,,,,197.0,,486.3,0.4,,,37.0,-228.0,,,,,-295.0,,-5.7,-491.6,,,-455.0,,,,,False,,True,False,,,False
01067,363,696.0,,,,,119.0,,460.7,143.9,,,41.0,333.0,,,,,-244.0,,97.7,-219.1,,,-322.0,,,,,True,,True,True,,,True
01069,2353,4392.0,,,,,1044.0,,867.2,1174.4,1679.1,,510.0,2039.0,,,,,-1309.0,,-1485.8,-1178.6,-673.9,,-1843.0,,,,,True,,True,True,True,,True
01071,2508,1480.0,,,,,1057.0,,1805.9,402.7,455.0,,410.0,-1028.0,,,,,-1451.0,,-702.1,-2105.3,-2053.0,,-2098.0,,,,,False,,True,False,False,,False
01073,21898,7480.0,,,,,5879.0,,6131.0,252.9,3492.1,,4562.0,-14418.0,,,,,-16019.0,,-15767.0,-21645.1,-18405.9,,-17336.0,,,,,False,,False,False,False,,False
01075,451,352.0,,,,,181.0,,567.6,83.2,,,139.0,-99.0,,,,,-270.0,,116.6,-367.8,,,-312.0,,,,,False,,False,False,,,False
01077,3238,1864.0,,,,,1499.0,,1750.3,702.9,895.8,,943.0,-1374.0,,,,,-1739.0,,-1487.7,-2535.1,-2342.2,,-2295.0,,,,,False,,False,False,False,,False
01079,877,544.0,,,,,493.0,,907.5,116.4,,,0.0,-333.0,,,,,-384.0,,30.5,-760.6,,,-877.0,,,,,False,,True,False,,,False
01081,2756,904.0,,,,,1211.0,,701.1,15.9,782.2,,740.0,-1852.0,,,,,-1545.0,,-2054.9,-2740.1,-1973.8,,-2016.0,,,,,True,,False,False,False,,False
01083,3024,1472.0,,,,,1392.0,,1484.7,932.5,702.6,,603.0,-1552.0,,,,,-1632.0,,-1539.3,-2091.5,-2321.4,,-2421.0,,,,,False,,True,False,False,,False
01085,181,104.0,,,,,45.0,,147.2,0.2,,,0.0,-77.0,,,,,-136.0,,-33.8,-180.8,,,-181.0,,,,,False,,True,False,,,False
01087,362,56.0,,,,,101.0,,332.4,0.0,,,10.0,-306.0,,,,,-261.0,,-29.6,-362.0,,,-352.0,,,,,True,,True,False,,,False
01089,9792,3096.0,,,,,3794.0,,2687.0,86.6,1219.9,,759.0,-6696.0,,,,,-5998.0,,-7105.0,-9705.4,-8572.1,,-9033.0,,,,,True,,False,False,False,,False
01091,586,416.0,,,,,306.0,,762.8,0.3,,,80.0,-170.0,,,,,-280.0,,176.8,-585.7,,,-506.0,,,,,False,,False,False,,,False
01093,768,312.0,,,,,393.0,,367.6,0.2,155.7,,344.0,-456.0,,,,,-375.0,,-400.4,-767.8,-612.3,,-424.0,,,,,True,,True,False,False,,True
01095,3949,1128.0,,,,,1525.0,,961.7,7.8,439.0,,2304.0,-2821.0,,,,,-2424.0,,-2987.3,-3941.2,-3510.0,,-1645.0,,,,,True,,False,False,False,,True
01097,6364,21056.0,,,,,8275.0,,1889.8,2952.5,6771.9,,48222.0,14692.0,,,,,1911.0,,-4474.2,-3411.5,407.9,,41858.0,,,,,True,,True,True,True,,False
01099,378,176.0,,,,,244.0,,382.2,0.0,,,172.0,-202.0,,,,,-134.0,,4.2,-378.0,,,-206.0,,,,,True,,True,False,,,False
01101,4472,4904.0,,,,,1556.0,,2624.5,1895.8,2341.0,,6021.0,432.0,,,,,-2916.0,,-1847.5,-2576.2,-2131.0,,1549.0,,,,,False,,False,False,False,,False
01103,5104,1880.0,,,,,1669.0,,1949.8,31.3,1281.8,,750.0,-3224.0,,,,,-3435.0,,-3154.2,-5072.7,-3822.2,,-4354.0,,,,,False,,True,False,False,,False
01105,196,96.0,,,,,52.0,,84.2,0.0,,,8.0,-100.0,,,,,-144.0,,-111.8,-196.0,,,-188.0,,,,,False,,False,False,,,False
01107,704,552.0,,,,,252.0,,899.5,83.2,,,126.0,-152.0,,,,,-452.0,,195.5,-620.8,,,-578.0,,,,,False,,False,False,,,False
01109,475,288.0,,,,,298.0,,393.5,0.0,166.0,,312.0,-187.0,,,,,-177.0,,-81.5,-475.0,-309.0,,-163.0,,,,,True,,True,False,False,,True
01111,337,336.0,,,,,255.0,,618.1,0.4,,,230.0,-1.0,,,,,-82.0,,281.1,-336.6,,,-107.0,,,,,False,,False,False,,,False
01113,641,368.0,,,,,510.0,,396.0,0.2,122.0,,472.0,-273.0,,,,,-131.0,,-245.0,-640.8,-519.0,,-169.0,,,,,True,,True,False,False,,True
01115,2775,1520.0,,,,,783.0,,1893.2,21.1,773.9,,408.0,-1255.0,,,,,-1992.0,,-881.8,-2753.9,-2001.1,,-2367.0,,,,,False,,True,False,False,,False
01117,6362,3064.0,,,,,1333.0,,2607.8,197.7,1288.3,,1472.0,-3298.0,,,,,-5029.0,,-3754.2,-6164.3,-5073.7,,-4890.0,,,,,False,,False,False,False,,False
01119,268,64.0,,,,,115.0,,93.6,0.0,,,35.0,-204.0,,,,,-153.0,,-174.4,-268.0,,,-233.0,,,,,True,,True,False,,,False
01121,1970,992.0,,,,,880.0,,1230.0,0.4,350.1,,584.0,-978.0,,,,,-1090.0,,-740.0,-1969.6,-1619.9,,-1386.0,,,,,False,,True,False,False,,False
01123,840,400.0,,,,,346.0,,643.7,0.4,235.5,,711.0,-440.0,,,,,-494.0,,-196.3,-839.6,-604.5,,-129.0,,,,,False,,True,False,False,,True
01125,6276,4112.0,,,,,2308.0,,2756.5,6.2,4681.4,,1021.0,-2164.0,,,,,-3968.0,,-3519.5,-6269.8,-1594.6,,-5255.0,,,,,False,,False,False,True,,False
01127,1910,1160.0,,,,,858.0,,1006.3,0.7,616.7,,371.0,-750.0,,,,,-1052.0,,-903.7,-1909.3,-1293.3,,-1539.0,,,,,False,,False,False,False,,False
01129,344,1040.0,,,,,326.0,,333.1,90.9,,,228.0,696.0,,,,,-18.0,,-10.9,-253.1,,,-116.0,,,,,True,,True,True,,,True
01131,244,104.0,,,,,48.0,,63.9,0.1,,,22.0,-140.0,,,,,-196.0,,-180.1,-243.9,,,-222.0,,,,,False,,False,False,,,False
01133,805,320.0,,,,,335.0,,674.2,0.7,,,106.0,-485.0,,,,,-470.0,,-130.8,-804.3,,,-699.0,,,,,True,,True,False,,,False
02013,29,8.0,,,,,,,482.7,,,,0.0,-21.0,,,,,,,453.7,,,,-29.0,,,,,,,False,,,,False
02016,72,0.0,,,,,,,302.5,,,,122.0,-72.0,,,,,,,230.5,,,,50.0,,,,,,,False,,,,True
02020,14437,6848.0,,,,,,,7292.0,1981.4,2266.6,,867.0,-7589.0,,,,,,,-7145.0,-12455.6,-12170.4,,-13570.0,,,,,,,True,False,False,,False
02050,1697,1024.0,,,,,,,3815.6,0.1,,,353.0,-673.0,,,,,,,2118.6,-1696.9,,,-1344.0,,,,,,,False,False,,,False
02060,0,0.0,,,,,,,161.8,,,,,0.0,,,,,,,161.8,,,,,,,,,,,False,,,,
02068,36,32.0,,,,,,,614.8,,,,74.0,-4.0,,,,,,,578.8,,,,38.0,,,,,,,False,,,,False
02070,68,72.0,,,,,,,2136.8,,,,206.0,4.0,,,,,,,2068.8,,,,138.0,,,,,,,False,,,,False
02090,2636,1440.0,,,,,,,2348.5,582.9,1537.0,,414.0,-1196.0,,,,,,,-287.5,-2053.1,-1099.0,,-2222.0,,,,,,,True,False,True,,False
02100,10,0.0,,,,,,,258.0,,,,0.0,-10.0,,,,,,,248.0,,,,-10.0,,,,,,,False,,,,False
02105,0,0.0,,,,,,,198.4,,,,,0.0,,,,,,,198.4,,,,,,,,,,,False,,,,
02110,503,264.0,,,,,,,737.5,154.8,,,381.0,-239.0,,,,,,,234.5,-348.2,,,-122.0,,,,,,,True,False,,,True
02122,2617,824.0,,,,,,,1173.1,162.2,,,1374.0,-1793.0,,,,,,,-1443.9,-2454.8,,,-1243.0,,,,,,,True,False,,,True
02130,153,8.0,,,,,,,107.0,,,,13.0,-145.0,,,,,,,-46.0,,,,-140.0,,,,,,,True,,,,True
02150,707,24.0,,,,,,,226.5,,,,299.0,-683.0,,,,,,,-480.5,,,,-408.0,,,,,,,True,,,,True
02158,508,1104.0,,,,,,,309.5,,,,348.0,596.0,,,,,,,-198.5,,,,-160.0,,,,,,,True,,,,True
02164,55,296.0,,,,,,,270.1,,,,57.0,241.0,,,,,,,215.1,,,,2.0,,,,,,,True,,,,True
02170,4820,1360.0,,,,,,,2166.9,251.0,,,1761.0,-3460.0,,,,,,,-2653.1,-4569.0,,,-3059.0,,,,,,,True,False,,,True
02180,139,112.0,,,,,,,118.9,0.0,,,92.0,-27.0,,,,,,,-20.1,-139.0,,,-47.0,,,,,,,True,False,,,False
02185,508,240.0,,,,,,,980.2,0.0,,,259.0,-268.0,,,,,,,472.2,-508.0,,,-249.0,,,,,,,False,False,,,True
02188,164,152.0,,,,,,,240.0,0.0,,,0.0,-12.0,,,,,,,76.0,-164.0,,,-164.0,,,,,,,False,False,,,False
02195,14,0.0,,,,,,,396.0,,,,123.0,-14.0,,,,,,,382.0,,,,109.0,,,,,,,False,,,,False
02198,34,0.0,,,,,,,81.7,,,,116.0,-34.0,,,,,,,47.7,,,,82.0,,,,,,,False,,,,False
02220,184,8.0,,,,,,,66.1,,,,8.0,-176.0,,,,,,,-117.9,,,,-176.0,,,,,,,True,,,,False
02230,10,40.0,,,,,,,75.7,,,,45.0,30.0,,,,,,,65.7,,,,35.0,,,,,,,False,,,,False
02240,318,56.0,,,,,,,1522.0,,,,168.0,-262.0,,,,,,,1204.0,,,,-150.0,,,,,,,False,,,,True
02261,155,72.0,,,,,,,373.3,117.2,,,103.0,-83.0,,,,,,,218.3,-37.8,,,-52.0,,,,,,,False,True,,,True
02275,6,0.0,,,,,,,89.5,,,,0.0,-6.0,,,,,,,83.5,,,,-6.0,,,,,,,False,,,,False
02282,19,24.0,,,,,,,157.6,,,,6.0,5.0,,,,,,,138.6,,,,-13.0,,,,,,,False,,,,False
02290,99,56.0,,,,,,,326.1,0.0,,,55.0,-43.0,,,,,,,227.1,-99.0,,,-44.0,,,,,,,False,False,,,False
04001,2939,600.0,,,,,1384.0,,340.6,0.8,251.3,,160.0,-2339.0,,,,,-1555.0,,-2598.4,-2938.2,-2687.7,,-2779.0,,,,,True,,False,False,False,,False
04003,3885,640.0,,,,,1030.0,,761.2,0.2,221.8,,713.0,-3245.0,,,,,-2855.0,,-3123.8,-3884.8,-3663.2,,-3172.0,,,,,True,,True,False,False,,True
04005,4866,2456.0,,,,,1272.0,,1109.3,942.0,1203.6,,1391.0,-2410.0,,,,,-3594.0,,-3756.7,-3924.0,-3662.4,,-3475.0,,,,,False,,False,False,False,,False
04007,2119,928.0,,,,,695.0,,2222.1,625.1,299.7,,2228.0,-1191.0,,,,,-1424.0,,103.1,-1493.9,-1819.3,,109.0,,,,,False,,True,False,False,,True
04009,1658,704.0,,,,,227.0,,1230.5,166.7,351.1,,712.0,-954.0,,,,,-1431.0,,-427.5,-1491.3,-1306.9,,-946.0,,,,,False,,True,False,False,,True
04011,256,224.0,,,,,92.0,,709.2,0.0,,,391.0,-32.0,,,,,-164.0,,453.2,-256.0,,,135.0,,,,,False,,False,False,,,False
04012,548,176.0,,,,,47.0,,666.9,0.0,,,621.0,-372.0,,,,,-501.0,,118.9,-548.0,,,73.0,,,,,False,,True,False,,,True
04013,123894,31800.0,,,,,20168.0,,19705.0,656.8,16279.2,,32825.0,-92094.0,,,,,-103726.0,,-104189.0,-123237.2,-107614.8,,-91069.0,,,,,False,,False,False,False,,True
04015,5499,704.0,,,,,1306.0,,761.7,39.9,528.8,,1078.0,-4795.0,,,,,-4193.0,,-4737.3,-5459.1,-4970.2,,-4421.0,,,,,True,,True,False,False,,True
04017,3936,1024.0,,,,,2214.0,,900.3,4.4,241.8,,923.0,-2912.0,,,,,-1722.0,,-3035.7,-3931.6,-3694.2,,-3013.0,,,,,True,,False,False,False,,False
04019,30629,4592.0,,,,,2576.0,,2875.3,50.6,2264.6,,3547.0,-26037.0,,,,,-28053.0,,-27753.7,-30578.4,-28364.4,,-27082.0,,,,,False,,False,False,False,,False
04021,11794,3056.0,,,,,1567.0,,2850.5,9.9,1327.7,,3557.0,-8738.0,,,,,-10227.0,,-8943.5,-11784.1,-10466.3,,-8237.0,,,,,False,,False,False,False,,True
04023,2341,248.0,,,,,302.0,,358.8,0.3,85.7,,0.0,-2093.0,,,,,-2039.0,,-1982.2,-2340.7,-2255.3,,-2341.0,,,,,True,,True,False,False,,False
04025,6263,864.0,,,,,1395.0,,787.2,538.1,682.4,,621.0,-5399.0,,,,,-4868.0,,-5475.8,-5724.9,-5580.6,,-5642.0,,,,,True,,False,False,False,,False
04027,11148,2480.0,,,,,324.0,,1231.9,1.9,1877.0,,7214.0,-8668.0,,,,,-10824.0,,-9916.1,-11146.1,-9271.0,,-3934.0,,,,,False,,False,False,False,,True
05001,524,448.0,,,,,347.0,,607.0,0.1,,,0.0,-76.0,,,,,-177.0,,83.0,-523.9,,,-524.0,,,,,False,,False,False,,,False
05003,619,264.0,,,,,295.0,,393.9,0.6,,,164.0,-355.0,,,,,-324.0,,-225.1,-618.4,,,-455.0,,,,,True,,True,False,,,False
05005,1173,888.0,,,,,859.0,,2591.7,229.7,,,517.0,-285.0,,,,,-314.0,,1418.7,-943.3,,,-656.0,,,,,False,,False,False,,,False
05007,7492,3800.0,,,,,4683.0,,2862.2,3682.8,2191.3,,2733.0,-3692.0,,,,,-2809.0,,-4629.8,-3809.2,-5300.7,,-4759.0,,,,,True,,False,False,False,,False
05009,1292,584.0,,,,,915.0,,855.7,0.5,,,584.0,-708.0,,,,,-377.0,,-436.3,-1291.5,,,-708.0,,,,,True,,True,False,,,False
05011,431,112.0,,,,,175.0,,318.7,0.0,,,349.0,-319.0,,,,,-256.0,,-112.3,-431.0,,,-82.0,,,,,True,,True,False,,,True
05013,147,48.0,,,,,52.0,,188.7,,,,170.0,-99.0,,,,,-95.0,,41.7,,,,23.0,,,,,True,,True,,,,True
05015,921,480.0,,,,,448.0,,788.0,0.0,,,153.0,-441.0,,,,,-473.0,,-133.0,-921.0,,,-768.0,,,,,False,,True,False,,,False
05017,297,160.0,,,,,215.0,,116.0,0.2,77.2,,655.0,-137.0,,,,,-82.0,,-181.0,-296.8,-219.8,,358.0,,,,,True,,False,False,False,,False
05019,702,224.0,,,,,383.0,,695.6,154.2,,,123.0,-478.0,,,,,-319.0,,-6.4,-547.8,,,-579.0,,,,,True,,True,False,,,False
05021,726,384.0,,,,,349.0,,1023.2,84.4,,,174.0,-342.0,,,,,-377.0,,297.2,-641.6,,,-552.0,,,,,False,,True,False,,,False
05023,563,208.0,,,,,660.0,,797.9,91.9,,,257.0,-355.0,,,,,97.0,,234.9,-471.1,,,-306.0,,,,,True,,True,False,,,True
05025,282,192.0,,,,,96.0,,173.9,25.1,,,223.0,-90.0,,,,,-186.0,,-108.1,-256.9,,,-59.0,,,,,False,,False,False,,,True
05027,717,328.0,,,,,376.0,,548.6,0.0,,,158.0,-389.0,,,,,-341.0,,-168.4,-717.0,,,-559.0,,,,,True,,True,False,,,False
05029,724,104.0,,,,,720.0,,416.6,0.0,,,69.0,-620.0,,,,,-4.0,,-307.4,-724.0,,,-655.0,,,,,True,,True,False,,,False
05031,4680,3040.0,,,,,3272.0,,3905.6,1458.4,1510.8,,2982.0,-1640.0,,,,,-1408.0,,-774.4,-3221.6,-3169.2,,-1698.0,,,,,True,,True,False,False,,False
05033,1977,1128.0,,,,,1933.0,,1444.5,567.7,544.3,,814.0,-849.0,,,,,-44.0,,-532.5,-1409.3,-1432.7,,-1163.0,,,,,True,,True,False,False,,False
05035,1614,1280.0,,,,,1175.0,,1311.3,353.6,502.7,,419.0,-334.0,,,,,-439.0,,-302.7,-1260.4,-1111.3,,-1195.0,,,,,False,,True,False,False,,False
05037,644,272.0,,,,,480.0,,600.7,1.0,,,0.0,-372.0,,,,,-164.0,,-43.3,-643.0,,,-644.0,,,,,True,,True,False,,,False
05039,244,16.0,,,,,135.0,,52.5,0.0,,,2.0,-228.0,,,,,-109.0,,-191.5,-244.0,,,-242.0,,,,,True,,True,False,,,False
05041,431,240.0,,,,,178.0,,328.8,47.8,,,113.0,-191.0,,,,,-253.0,,-102.2,-383.2,,,-318.0,,,,,False,,True,False,,,False
05043,856,200.0,,,,,297.0,,558.7,0.0,,,322.0,-656.0,,,,,-559.0,,-297.3,-856.0,,,-534.0,,,,,True,,True,False,,,True
05045,3221,1464.0,,,,,2466.0,,1672.6,4.7,567.7,,768.0,-1757.0,,,,,-755.0,,-1548.4,-3216.3,-2653.3,,-2453.0,,,,,True,,True,False,False,,False
05047,476,504.0,,,,,544.0,,885.9,0.0,,,0.0,28.0,,,,,68.0,,409.9,-476.0,,,-476.0,,,,,False,,False,False,,,False
05049,439,360.0,,,,,203.0,,1337.1,86.6,,,150.0,-79.0,,,,,-236.0,,898.1,-352.4,,,-289.0,,,,,False,,False,False,,,False
05051,2568,1568.0,,,,,2125.0,,1214.5,511.6,587.6,,347.0,-1000.0,,,,,-443.0,,-1353.5,-2056.4,-1980.4,,-2221.0,,,,,True,,False,False,False,,False
05053,489,176.0,,,,,254.0,,288.1,0.1,,,67.0,-313.0,,,,,-235.0,,-200.9,-488.9,,,-422.0,,,,,True,,True,False,,,False
05055,2591,1536.0,,,,,1212.0,,2410.5,419.6,738.2,,609.0,-1055.0,,,,,-1379.0,,-180.5,-2171.4,-1852.8,,-1982.0,,,,,False,,True,False,False,,False
05057,559,352.0,,,,,353.0,,688.6,187.5,,,1.0,-207.0,,,,,-206.0,,129.6,-371.5,,,-558.0,,,,,True,,True,False,,,False
05059,1134,728.0,,,,,811.0,,469.4,3.7,236.2,,0.0,-406.0,,,,,-323.0,,-664.6,-1130.3,-897.8,,-1134.0,,,,,True,,False,False,False,,False
05061,448,248.0,,,,,254.0,,364.0,1.0,,,128.0,-200.0,,,,,-194.0,,-84.0,-447.0,,,-320.0,,,,,True,,True,False,,,False
05063,1038,648.0,,,,,1495.0,,863.4,1.4,549.7,,308.0,-390.0,,,,,457.0,,-174.6,-1036.6,-488.3,,-730.0,,,,,False,,True,False,False,,False
05065,585,1240.0,,,,,325.0,,3545.0,51.9,,,259.0,655.0,,,,,-260.0,,2960.0,-533.1,,,-326.0,,,,,True,,False,True,,,True
05067,1975,664.0,,,,,705.0,,1456.6,312.3,,,47.0,-1311.0,,,,,-1270.0,,-518.4,-1662.7,,,-1928.0,,,,,True,,True,False,,,False
05069,2043,1600.0,,,,,1393.0,,1357.2,0.3,1247.1,,2.0,-443.0,,,,,-650.0,,-685.8,-2042.7,-795.9,,-2041.0,,,,,False,,False,False,False,,False
05071,607,536.0,,,,,966.0,,473.3,2.8,,,429.0,-71.0,,,,,359.0,,-133.7,-604.2,,,-178.0,,,,,False,,False,False,,,False
05073,143,144.0,,,,,80.0,,253.0,43.7,,,82.0,1.0,,,,,-63.0,,110.0,-99.3,,,-61.0,,,,,False,,False,False,,,False
05075,596,616.0,,,,,528.0,,1742.1,170.7,,,111.0,20.0,,,,,-68.0,,1146.1,-425.3,,,-485.0,,,,,False,,False,False,,,False
05077,258,80.0,,,,,256.0,,62.7,0.1,75.4,,67.0,-178.0,,,,,-2.0,,-195.3,-257.9,-182.6,,-191.0,,,,,True,,False,False,False,,False
05079,422,744.0,,,,,287.0,,233.4,0.4,423.8,,3678.0,322.0,,,,,-135.0,,-188.6,-421.6,1.8,,3256.0,,,,,True,,True,False,True,,False
05081,276,264.0,,,,,229.0,,250.4,0.1,,,136.0,-12.0,,,,,-47.0,,-25.6,-275.9,,,-140.0,,,,,False,,False,False,,,False
05083,676,360.0,,,,,717.0,,781.5,0.0,,,228.0,-316.0,,,,,41.0,,105.5,-676.0,,,-448.0,,,,,True,,True,False,,,False
05085,1898,1384.0,,,,,1221.0,,1480.4,616.5,706.3,,852.0,-514.0,,,,,-677.0,,-417.6,-1281.5,-1191.7,,-1046.0,,,,,False,,True,False,False,,False
05087,480,136.0,,,,,361.0,,403.2,0.1,,,17.0,-344.0,,,,,-119.0,,-76.8,-479.9,,,-463.0,,,,,True,,True,False,,,False
05089,408,144.0,,,,,227.0,,384.1,54.1,,,285.0,-264.0,,,,,-181.0,,-23.9,-353.9,,,-123.0,,,,,True,,True,False,,,True
05091,1085,1672.0,,,,,716.0,,2517.0,452.4,533.2,,0.0,587.0,,,,,-369.0,,1432.0,-632.6,-551.8,,-1085.0,,,,,True,,False,False,True,,False
05093,1819,1456.0,,,,,1309.0,,2150.2,237.0,916.0,,1082.0,-363.0,,,,,-510.0,,331.2,-1582.0,-903.0,,-737.0,,,,,False,,True,False,False,,False
