,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Idaho,38235,38068.0,57422.4,37934.9,40991.0,32351.0,,36202.4,42258.0,99007.4,50315.3,,44067.0,52342.0,37389.8,57581.0,22269.8,57924.3,39530.0,38598.6,51241.6,55496.0,,38023.1,34108.2,,41684.0,67580.1,33967.7,18629.5,43550.0,41461.1,-167.0,19187.4,-300.1,2756.0,-5884.0,,-2032.6,4023.0,60772.4,12080.3,,5832.0,14107.0,-845.2,19346.0,-15965.2,19689.3,1295.0,363.6,13006.6,17261.0,,-211.9,-4126.8,,3449.0,29345.1,-4267.3,-19605.5,5315.0,3226.1,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Illinois,248081,333204.0,386325.1,329239.0,328448.0,255015.0,,302402.2,694646.0,673938.4,556668.0,,336203.0,508821.5,302551.6,386727.0,281208.6,308710.4,321367.5,299295.0,400857.0,425093.0,,280185.0,182429.4,,447278.6,712629.9,335605.8,142188.5,282720.0,367173.5,85123.0,138244.1,81158.0,80367.0,6934.0,,54321.2,446565.0,425857.4,308587.0,,88122.0,260740.5,54470.6,138646.0,33127.6,60629.4,73286.5,51214.0,152776.0,177012.0,,32104.0,-65651.6,,199197.6,464548.9,87524.8,-105892.5,34639.0,119092.5,False,True,True,True,,True,False,False,False,,False,False,True,False,True,True,True,True,False,False,,True,True,,False,False,False,False,True,False
Indiana,168688,177184.0,231386.4,178552.7,243108.0,169247.0,,159394.2,300012.0,309824.2,261120.3,,198930.0,257621.2,276269.5,261796.0,134745.0,354342.9,180460.0,188243.9,247650.1,240975.0,,194013.3,94474.5,,242240.9,330990.9,264484.8,104223.7,287098.0,256021.4,8496.0,62698.4,9864.7,74420.0,559.0,,-9293.8,131324.0,141136.2,92432.3,,30242.0,88933.2,107581.5,93108.0,-33943.0,185654.9,11772.0,19555.9,78962.1,72287.0,,25325.3,-74213.5,,73552.9,162302.9,95796.8,-64464.3,118410.0,87333.4,False,False,False,True,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Iowa,57756,102592.0,100512.0,100273.8,97168.0,76011.0,,88973.6,173063.0,152560.9,161350.8,,120111.0,185608.2,78257.4,147777.0,60457.7,97682.1,82356.5,88299.7,141706.4,119737.0,,47965.9,138147.1,,93126.5,231847.0,58928.6,27692.5,83161.0,109493.6,44836.0,42756.0,42517.8,39412.0,18255.0,,31217.6,115307.0,94804.9,103594.8,,62355.0,127852.2,20501.4,90021.0,2701.7,39926.1,24600.5,30543.7,83950.4,61981.0,,-9790.1,80391.1,,35370.5,174091.0,1172.6,-30063.5,25405.0,51737.6,True,True,True,True,,True,False,False,False,,False,False,True,False,True,True,True,True,False,False,,True,False,,True,False,True,True,True,False
Kansas,66489,78172.0,115465.9,79615.4,79111.0,78471.0,,72568.5,146067.0,48444.3,96966.5,,73955.0,100237.8,140032.1,127571.0,47398.1,146029.0,38486.5,65142.4,90905.7,111816.0,,71714.7,98094.3,,67771.0,116745.6,42560.3,27395.8,84097.0,87033.6,11683.0,48976.9,13126.4,12622.0,11982.0,,6079.5,79578.0,-18044.7,30477.5,,7466.0,33748.8,73543.1,61082.0,-19090.9,79540.0,-28002.5,-1346.6,24416.7,45327.0,,5225.7,31605.3,,1282.0,50256.6,-23928.7,-39093.2,17608.0,20544.6,False,False,False,False,,True,False,False,False,,True,False,False,False,False,False,False,True,False,False,,True,False,,True,False,False,False,False,False
Kentucky,84655,79084.0,140732.9,78162.6,102024.0,87268.0,,73870.1,76065.0,180479.0,106464.1,,97030.0,118997.5,112599.7,131411.0,51923.7,115563.4,104504.0,100248.9,111245.6,113575.0,,142048.2,86775.9,,82139.1,123537.9,146884.1,60107.1,106309.0,80007.5,-5571.0,56077.9,-6492.4,17369.0,2613.0,,-10784.9,-8590.0,95824.0,21809.1,,12375.0,34342.5,27944.7,46756.0,-32731.3,30908.4,19849.0,15593.9,26590.6,28920.0,,57393.2,2120.9,,-2515.9,38882.9,62229.1,-24547.9,21654.0,-4647.5,False,False,False,True,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,True,,True,False,False,False,False,True
Louisiana,65725,58912.0,128026.2,59030.9,78297.0,90250.0,,64726.2,36222.0,281332.4,58876.0,,77892.0,54000.6,770532.7,88229.0,63374.8,178484.1,87326.0,88546.7,113202.9,98681.0,,80803.8,17031.6,,43879.9,82299.6,60692.5,71436.1,120159.0,113102.8,-6813.0,62301.2,-6694.1,12572.0,24525.0,,-998.8,-29503.0,215607.4,-6849.0,,12167.0,-11724.4,704807.7,22504.0,-2350.2,112759.1,21601.0,22821.7,47477.9,32956.0,,15078.8,-48693.4,,-21845.1,16574.6,-5032.5,5711.1,54434.0,47377.8,False,True,False,False,,True,False,False,False,,False,False,False,False,True,False,False,False,False,False,,False,False,,False,False,True,True,False,False
Maine,8615,5328.0,2456.0,5351.0,6575.0,6243.0,,5424.7,19571.0,6772.9,7279.0,,7198.0,7830.3,8881.9,8988.0,9141.4,20614.7,5966.5,7537.6,9923.4,13877.0,,4534.5,4308.7,,6091.6,8837.9,5712.3,6895.5,5019.0,7048.3,-3287.0,-6159.0,-3264.0,-2040.0,-2372.0,,-3190.3,10956.0,-1842.1,-1336.0,,-1417.0,-784.7,266.9,373.0,526.4,11999.7,-2648.5,-1077.4,1308.4,5262.0,,-4080.5,-4306.3,,-2523.4,222.9,-2902.7,-1719.5,-3596.0,-1566.7,False,True,True,True,,True,False,True,True,,True,True,True,True,True,False,True,True,True,False,,False,False,,True,True,True,True,False,True
Maryland,68783,63524.0,114929.8,62904.1,83215.0,82149.0,,57922.2,263383.0,95627.5,75438.5,,57233.0,76188.1,122942.9,106237.0,70094.5,183477.6,91102.5,86285.6,99412.2,85389.0,,75843.0,65083.9,,57790.8,65236.4,156091.6,72554.5,104659.0,79644.6,-5259.0,46146.8,-5878.9,14432.0,13366.0,,-10860.8,194600.0,26844.5,6655.5,,-11550.0,7405.1,54159.9,37454.0,1311.5,114694.6,22319.5,17502.6,30629.2,16606.0,,7060.0,-3699.1,,-10992.2,-3546.6,87308.6,3771.5,35876.0,10861.6,False,False,False,False,,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,,False,True,,False,True,False,True,False,False
Massachusetts,115115,72052.0,83453.8,74827.7,89531.0,61487.0,,72005.6,136645.0,156186.1,133016.5,,79388.0,105357.1,116471.4,114556.0,90632.0,146255.6,98728.0,89389.9,113034.4,102960.0,,78492.1,100598.9,,118638.4,112312.3,123479.8,68192.5,71071.0,83750.0,-43063.0,-31661.2,-40287.3,-25584.0,-53628.0,,-43109.4,21530.0,41071.1,17901.5,,-35727.0,-9757.9,1356.4,-559.0,-24483.0,31140.6,-16387.0,-25725.1,-2080.6,-12155.0,,-36622.9,-14516.1,,3523.4,-2802.7,8364.8,-46922.5,-44044.0,-31365.0,True,True,True,False,,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,True,False,False,True
Michigan,167035,212916.0,219933.2,215347.9,284866.0,189696.0,,214584.2,451211.0,499404.3,404313.6,,266513.0,301659.4,318568.6,331860.0,236053.6,460907.4,335748.0,225080.8,283644.9,290938.0,,264437.6,478017.7,,206965.0,374601.2,390009.1,94625.1,294568.0,303802.4,45881.0,52898.2,48312.9,117831.0,22661.0,,47549.2,284176.0,332369.3,237278.6,,99478.0,134624.4,151533.6,164825.0,69018.6,293872.4,168713.0,58045.8,116609.9,123903.0,,97402.6,310982.7,,39930.0,207566.2,222974.1,-72409.9,127533.0,136767.4,False,False,False,True,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,True,False,False,False,False,False
Minnesota,131683,187696.0,241508.4,189444.1,229328.0,161122.0,,166800.4,422294.0,268771.2,294498.0,,263083.0,264479.5,389981.7,283877.0,103962.1,420829.5,176264.5,187582.0,269348.2,267007.0,,173483.1,46099.5,,174312.1,326969.9,267005.8,110834.7,204911.0,272370.7,56013.0,109825.4,57761.1,97645.0,29439.0,,35117.4,290611.0,137088.2,162815.0,,131400.0,132796.5,258298.7,152194.0,-27720.9,289146.5,44581.5,55899.0,137665.2,135324.0,,41800.1,-85583.5,,42629.1,195286.9,135322.8,-20848.3,73228.0,140687.7,False,False,False,True,,True,False,False,False,,False,False,False,False,True,False,True,True,False,False,,True,False,,True,False,False,True,False,False
Mississippi,49710,36244.0,44106.5,35452.5,41918.0,31700.0,,27903.1,26079.0,63263.8,44911.1,,46743.0,50029.3,55199.1,64056.0,24912.1,47636.0,36884.0,43109.5,48498.6,57455.0,,45513.1,24793.6,,37672.2,51607.9,33807.1,31019.8,45618.0,35131.6,-13466.0,-5603.5,-14257.5,-7792.0,-18010.0,,-21806.9,-23631.0,13553.8,-4798.9,,-2967.0,319.3,5489.1,14346.0,-24797.9,-2074.0,-12826.0,-6600.5,-1211.4,7745.0,,-4196.9,-24916.4,,-12037.8,1897.9,-15902.9,-18690.2,-4092.0,-14578.4,True,False,True,False,,False,False,False,True,,True,True,True,False,False,True,True,True,True,True,,True,False,,True,True,False,False,True,False
Missouri,99319,116236.0,163523.0,114487.3,136114.0,87075.0,,130184.5,294120.0,200356.5,181246.5,,121611.0,202842.3,157973.6,162810.0,70515.4,221518.0,116801.5,137189.5,180262.3,165656.0,,113126.6,195759.1,,134602.0,280977.9,103098.3,75936.7,149637.0,131098.2,16917.0,64204.0,15168.3,36795.0,-12244.0,,30865.5,194801.0,101037.5,81927.5,,22292.0,103523.3,58654.6,63491.0,-28803.6,122199.0,17482.5,37870.5,80943.3,66337.0,,13807.6,96440.1,,35283.0,181658.9,3779.3,-23382.3,50318.0,31779.2,False,True,False,True,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,True,False,,False,False,True,False,False,False
Montana,22077,34624.0,50540.6,35130.9,38922.0,30121.0,,32140.1,19698.0,56363.2,40637.3,,40373.0,53247.0,77627.4,49533.0,13629.3,41987.8,35284.5,36043.1,41185.6,49378.0,,45862.4,37080.4,,25456.6,50721.0,44414.6,16638.0,47749.0,32706.2,12547.0,28463.6,13053.9,16845.0,8044.0,,10063.1,-2379.0,34286.2,18560.3,,18296.0,31170.0,55550.4,27456.0,-8447.7,19910.8,13207.5,13966.1,19108.6,27301.0,,23785.4,15003.4,,3379.6,28644.0,22337.6,-5439.0,25672.0,10629.2,False,False,False,True,,True,True,False,False,,False,False,False,False,True,False,False,False,False,False,,False,False,,True,False,False,True,False,True
Nebraska,42386,64780.0,101671.6,66217.2,69835.0,54746.0,,58864.5,84091.0,85147.1,88051.5,,77331.0,98706.0,87007.6,102093.0,38828.4,110821.9,51262.5,54572.3,84355.1,92619.0,,59132.6,66108.3,,72425.0,106761.5,61592.4,22210.7,65197.0,70905.0,22394.0,59285.6,23831.2,27449.0,12360.0,,16478.5,41705.0,42761.1,45665.5,,34945.0,56320.0,44621.6,59707.0,-3557.6,68435.9,8876.5,12186.3,41969.1,50233.0,,16746.6,23722.3,,30039.0,64375.5,19206.4,-20175.3,22811.0,28519.0,False,False,False,True,,True,False,False,False,,False,False,False,False,True,False,True,True,False,False,,True,False,,False,False,True,True,False,False
Nevada,70125,50908.0,74936.0,50971.5,67067.0,54065.0,,50521.8,87681.0,103996.2,70800.3,,52146.0,67583.5,85554.1,74818.0,53067.9,84639.1,74962.0,63294.1,80745.2,66553.0,,67360.1,5789.1,,35175.1,82853.6,60592.4,44446.9,76084.0,70131.2,-19217.0,4811.0,-19153.5,-3058.0,-16060.0,,-19603.2,17556.0,33871.2,675.3,,-17979.0,-2541.5,15429.1,4693.0,-17057.1,14514.1,4837.0,-6830.9,10620.2,-3572.0,,-2764.9,-64335.9,,-34949.9,12728.6,-9532.6,-25678.1,5959.0,6.2,True,True,True,True,,False,True,False,True,,True,True,True,True,True,True,True,True,True,True,,True,False,,False,True,True,False,True,True
New Hampshire,18294,11976.0,26435.6,11850.9,15575.0,15362.0,,12812.6,34696.0,15916.7,17435.2,,16856.0,13377.6,42894.8,18487.0,19754.7,42333.8,22010.5,15367.7,19436.8,21799.0,,,21726.2,,14658.9,12356.8,35537.1,15082.7,20183.0,11746.2,-6318.0,8141.6,-6443.1,-2719.0,-2932.0,,-5481.4,16402.0,-2377.3,-858.8,,-1438.0,-4916.4,24600.8,193.0,1460.7,24039.8,3716.5,-2926.3,1142.8,3505.0,,,3432.2,,-3635.1,-5937.2,17243.1,-3211.3,1889.0,-6547.8,False,False,True,True,,True,False,True,True,,True,True,False,True,True,False,True,True,True,True,,,True,,True,True,False,True,True,False
New Jersey,144120,109212.0,148381.4,108074.3,151132.0,132454.0,,143599.1,233491.0,254647.5,157963.1,,100062.0,140096.4,242968.3,183970.0,139494.8,234973.9,173821.5,131101.9,163427.4,143088.0,,,113104.7,,179487.5,171785.7,265059.7,87297.9,104658.0,154832.6,-34908.0,4261.4,-36045.7,7012.0,-11666.0,,-520.9,89371.0,110527.5,13843.1,,-44058.0,-4023.6,98848.3,39850.0,-4625.2,90853.9,29701.5,-13018.1,19307.4,-1032.0,,,-31015.3,,35367.5,27665.7,120939.7,-56822.1,-39462.0,10712.6,True,False,True,True,,True,False,False,True,,False,True,False,False,True,False,True,True,True,True,,,True,,False,True,False,False,False,True
New Mexico,49490,65076.0,84688.1,63890.5,78353.0,77404.0,,60881.0,65845.0,133968.7,91218.9,,78729.0,67801.2,82038.4,117092.0,45622.3,113279.4,110386.0,93351.3,95803.4,93419.0,,123187.5,269455.9,,70095.7,76317.6,158364.3,50540.2,76226.0,87728.3,15586.0,35198.1,14400.5,28863.0,27914.0,,11391.0,16355.0,84478.7,41728.9,,29239.0,18311.2,32548.4,67602.0,-3867.7,63789.4,60896.0,43861.3,46313.4,43929.0,,73697.5,219965.9,,20605.7,26827.6,108874.3,1050.2,26736.0,38238.3,False,True,False,False,,True,False,False,False,,False,False,False,False,True,False,False,False,False,False,,False,False,,False,False,False,True,False,False
