,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,159395,89340.0,31971.6,112700.0,,30304.0,,74228.0,164562.4,43506.4,78924.0,119158.1,98737.5,,,31719.0,10514.1,59016.0,-70055.0,-127423.4,-46695.0,,-129091.0,,-85167.0,5167.4,-115888.6,-80471.0,-40236.9,-60657.5,,,-127676.0,-148880.9,-100379.0,False,True,,False,,False,True,False,False,True,True,,,False,False,False
Hawaii,3616,3540.0,938.5,2186.0,,1185.0,,,5153.1,3349.3,10701.3,2538.2,3380.0,,,1589.0,1775.2,2177.0,-76.0,-2677.5,-1430.0,,-2431.0,,,1537.1,-266.7,7085.3,-1077.8,-236.0,,,-2027.0,-1840.8,-1439.0,False,False,,False,,,False,False,False,False,False,,,False,False,False
Idaho,47752,45025.0,62103.0,44187.0,,17194.0,,48401.0,67860.6,63165.9,24854.2,75532.3,52221.5,,,21837.7,23579.9,18426.0,-2727.0,14351.0,-3565.0,,-30558.0,,649.0,20108.6,15413.9,-22897.8,27780.3,4469.5,,,-25914.3,-24172.1,-29326.0,False,False,,False,,True,False,False,False,False,False,,,False,False,False
Illinois,331382,425035.0,736680.3,402700.0,,482951.0,,367423.0,534367.2,1084068.8,317788.4,1003236.2,717931.0,,,190526.6,224387.2,184996.0,93653.0,405298.3,71318.0,,151569.0,,36041.0,202985.2,752686.8,-13593.6,671854.2,386549.0,,,-140855.4,-106994.8,-146386.0,False,True,,False,,True,False,False,True,False,False,,,False,False,False
Indiana,212984,195825.0,271787.2,244230.0,,605740.0,,220293.0,237755.7,438588.7,163897.6,364741.6,362420.0,,,161967.4,168596.1,265772.0,-17159.0,58803.2,31246.0,,392756.0,,7309.0,24771.7,225604.7,-49086.4,151757.6,149436.0,,,-51016.6,-44387.9,52788.0,False,False,,False,,True,False,False,False,False,False,,,False,False,False
Iowa,83404,166505.0,269158.5,171238.0,,249062.0,,158821.0,173056.3,453009.5,94327.7,488227.0,261126.5,,,96170.2,46298.7,173109.0,83101.0,185754.5,87834.0,,165658.0,,75417.0,89652.3,369605.5,10923.7,404823.0,177722.5,,,12766.2,-37105.3,89705.0,False,False,,False,,True,False,False,True,False,False,,,True,True,False
Kansas,86036,88755.0,129756.4,100665.0,,41214.0,,94926.0,93637.6,89137.4,54508.0,213554.0,70031.5,,,57556.9,32174.0,28765.0,2719.0,43720.4,14629.0,,-44822.0,,8890.0,7601.6,3101.4,-31528.0,127518.0,-16004.5,,,-28479.1,-53862.0,-57271.0,False,False,,False,,False,False,False,False,False,False,,,False,False,False
Kentucky,104426,82380.0,141016.2,102557.0,,38480.0,,71811.0,113026.9,114344.5,63428.3,106671.9,99216.5,,,75272.6,66450.5,95965.0,-22046.0,36590.2,-1869.0,,-65946.0,,-32615.0,8600.9,9918.5,-40997.7,2245.9,-5209.5,,,-29153.4,-37975.5,-8461.0,False,True,,False,,False,True,True,False,True,True,,,False,False,True
Louisiana,80453,51330.0,60994.3,57257.0,,6796.0,,43087.0,32311.9,196762.3,42333.7,33347.0,27980.0,,,31141.8,35504.8,45680.0,-29123.0,-19458.7,-23196.0,,-73657.0,,-37366.0,-48141.1,116309.3,-38119.3,-47106.0,-52473.0,,,-49311.2,-44948.2,-34773.0,True,True,,False,,False,False,False,False,False,False,,,False,False,False
Maine,9947,5955.0,9543.6,12967.0,,60661.0,,6680.0,6283.3,69371.5,11840.6,53026.9,6804.0,,,3656.8,8745.0,5937.0,-3992.0,-403.4,3020.0,,50714.0,,-3267.0,-3663.7,59424.5,1893.6,43079.9,-3143.0,,,-6290.2,-1202.0,-4010.0,True,True,,False,,True,True,False,True,False,True,,,False,True,False
Maryland,84664,55875.0,123748.7,81619.0,,43763.0,,51504.0,82691.3,128259.1,70223.3,179221.1,87231.0,,,30716.7,87870.4,48519.0,-28789.0,39084.7,-3045.0,,-40901.0,,-33160.0,-1972.7,43595.1,-14440.7,94557.1,2567.0,,,-53947.3,3206.4,-36145.0,False,True,,False,,False,True,False,True,False,True,,,False,True,False
Massachusetts,133128,82830.0,93643.7,106363.0,,48895.0,,92924.0,105742.8,205529.4,118224.9,238771.5,123433.5,,,63587.2,125743.4,67513.0,-50298.0,-39484.3,-26765.0,,-84233.0,,-40204.0,-27385.2,72401.4,-14903.1,105643.5,-9694.5,,,-69540.8,-7384.6,-65615.0,True,True,,False,,True,True,False,True,False,True,,,False,True,False
Michigan,220264,233595.0,443366.6,288526.0,,767857.0,,258543.0,277538.0,482491.7,296299.4,613274.6,391079.0,,,174902.8,148551.5,332556.0,13331.0,223102.6,68262.0,,547593.0,,38279.0,57274.0,262227.7,76035.4,393010.6,170815.0,,,-45361.2,-71712.5,112292.0,False,False,,False,,False,False,False,False,False,False,,,False,False,False
Minnesota,178607,205370.0,459360.1,246827.0,,355515.0,,310958.0,213224.1,634981.1,142537.4,403358.4,472672.0,,,106300.3,172584.9,103483.0,26763.0,280753.1,68220.0,,176908.0,,132351.0,34617.1,456374.1,-36069.6,224751.4,294065.0,,,-72306.7,-6022.1,-75124.0,False,False,,False,,False,False,False,False,False,False,,,False,True,False
Mississippi,58771,37275.0,41952.0,32396.0,,11340.0,,41302.0,53448.1,59807.4,28040.9,40794.4,44339.5,,,29960.7,37035.4,25355.0,-21496.0,-16819.0,-26375.0,,-47431.0,,-17469.0,-5322.9,1036.4,-30730.1,-17976.6,-14431.5,,,-28810.3,-21735.6,-33416.0,True,False,,False,,True,True,True,False,True,True,,,False,False,False
Missouri,128469,174105.0,324322.1,190610.0,,63412.0,,157034.0,215325.5,359325.9,86861.4,308982.8,181211.0,,,111363.0,93296.5,39129.0,45636.0,195853.1,62141.0,,-65057.0,,28565.0,86856.5,230856.9,-41607.6,180513.8,52742.0,,,-17106.0,-35172.5,-89340.0,False,False,,False,,True,False,False,True,False,False,,,True,True,False
Montana,30733,34690.0,28520.3,30000.0,,25618.0,,39030.0,51533.2,36081.7,16342.6,47078.6,40500.5,,,14333.6,32018.7,10963.0,3957.0,-2212.7,-733.0,,-5115.0,,8297.0,20800.2,5348.7,-14390.4,16345.6,9767.5,,,-16399.4,1285.7,-19770.0,True,True,,False,,False,False,False,False,False,False,,,False,True,False
Nebraska,58581,72195.0,176495.5,59356.0,,81028.0,,80636.0,97139.6,155935.4,44046.5,156943.7,103799.0,,,65644.4,27601.8,23344.0,13614.0,117914.5,775.0,,22447.0,,22055.0,38558.6,97354.4,-14534.5,98362.7,45218.0,,,7063.4,-30979.2,-35237.0,False,True,,False,,False,False,False,False,False,False,,,True,False,False
Nevada,82852,51300.0,63201.5,62634.0,,11340.0,,45408.0,70582.4,92242.3,53487.0,83511.7,72052.5,,,22762.7,42194.3,36365.0,-31552.0,-19650.5,-20218.0,,-71512.0,,-37444.0,-12269.6,9390.3,-29365.0,659.7,-10799.5,,,-60089.3,-40657.7,-46487.0,True,True,,False,,False,True,True,True,True,True,,,False,False,False
New Hampshire,21288,10400.0,34107.3,17522.0,,10124.0,,11409.0,9467.6,31710.6,12446.4,44662.2,20164.0,,,7872.5,24143.6,11726.0,-10888.0,12819.3,-3766.0,,-11164.0,,-9879.0,-11820.4,10422.6,-8841.6,23374.2,-1124.0,,,-13415.5,2855.6,-9562.0,False,True,,False,,True,False,True,True,False,True,,,False,True,True
New Jersey,175854,110770.0,176507.4,150712.0,,98192.0,,94457.0,147300.7,144474.1,185674.5,282012.8,194779.0,,,81553.6,149214.7,86567.0,-65084.0,653.4,-25142.0,,-77662.0,,-81397.0,-28553.3,-31379.9,9820.5,106158.8,18925.0,,,-94300.4,-26639.3,-89287.0,True,True,,False,,False,True,True,True,False,True,,,False,True,False
New Mexico,65759,47500.0,46709.6,51633.0,,13552.0,,48408.0,76253.0,139641.1,43170.5,111991.3,66423.5,,,37220.6,28418.5,25166.0,-18259.0,-19049.4,-14126.0,,-52207.0,,-17351.0,10494.0,73882.1,-22588.5,46232.3,664.5,,,-28538.4,-37340.5,-40593.0,False,True,,False,,True,True,False,False,False,True,,,False,False,False
New York,285857,154715.0,125317.9,240861.0,,60965.0,,135156.0,159247.0,616098.1,324426.0,470361.4,253161.5,,,113109.4,215646.8,151239.0,-131142.0,-160539.1,-44996.0,,-224892.0,,-150701.0,-126610.0,330241.1,38569.0,184504.4,-32695.5,,,-172747.6,-70210.2,-134618.0,False,True,,False,,False,True,False,True,False,True,,,False,True,False
North Carolina,163150,89365.0,65583.5,94355.0,,48220.0,,93583.0,118175.8,98349.3,122400.4,107600.6,100809.5,,,109510.3,100327.1,66245.0,-73785.0,-97566.5,-68795.0,,-114930.0,,-69567.0,-44974.2,-64800.7,-40749.6,-55549.4,-62340.5,,,-53639.7,-62822.9,-96905.0,False,True,,False,,True,True,True,True,True,True,,,True,True,False
North Dakota,26912,48340.0,40530.9,37409.0,,46742.0,,51058.0,78032.5,31041.7,18282.3,81353.5,46169.0,,,37558.0,17692.5,28709.0,21428.0,13618.9,10497.0,,19830.0,,24146.0,51120.5,4129.7,-8629.7,54441.5,19257.0,,,10646.0,-9219.5,1797.0,True,True,,True,,False,False,True,True,False,True,,,True,True,True
Ohio,324186,222580.0,363649.4,295140.0,,56739.0,,258338.0,243422.0,675607.9,250660.1,503109.1,488817.0,,,99358.4,305019.8,146629.0,-101606.0,39463.4,-29046.0,,-267447.0,,-65848.0,-80764.0,351421.9,-73525.9,178923.1,164631.0,,,-224827.6,-19166.2,-177557.0,True,True,,False,,True,True,False,True,False,False,,,False,True,False
Oklahoma,105663,92270.0,134023.2,132254.0,,34556.0,,114701.0,92008.0,254652.9,44783.5,177380.3,132548.0,,,42770.4,105423.9,42901.0,-13393.0,28360.2,26591.0,,-71107.0,,9038.0,-13655.0,148989.9,-60879.5,71717.3,26885.0,,,-62892.6,-239.1,-62762.0,False,False,,False,,True,False,False,False,False,False,,,False,True,False
Oregon,45796,32155.0,40322.5,39762.0,,13900.0,,32164.0,41859.4,114400.4,41926.0,126065.2,47356.5,,,14848.3,51184.8,31389.0,-13641.0,-5473.5,-6034.0,,-31896.0,,-13632.0,-3936.6,68604.4,-3870.0,80269.2,1560.5,,,-30947.7,5388.8,-14407.0,True,True,,False,,True,True,False,True,False,True,,,False,True,False
Pennsylvania,288673,158645.0,315307.6,256266.0,,164596.0,,164460.0,214985.1,600306.7,241461.9,436036.2,287739.0,,,118261.8,194065.1,128308.0,-130028.0,26634.6,-32407.0,,-124077.0,,-124213.0,-73687.9,311633.7,-47211.1,147363.2,-934.0,,,-170411.2,-94607.9,-160365.0,True,True,,True,,True,True,False,True,False,True,,,False,True,False
Rhode Island,36283,25745.0,28512.2,18781.0,,23435.0,,24969.0,32695.9,42492.4,16321.2,54509.1,27099.0,,,20343.9,8172.2,9483.0,-10538.0,-7770.8,-17502.0,,-12848.0,,-11314.0,-3587.1,6209.4,-19961.8,18226.1,-9184.0,,,-15939.1,-28110.8,-26800.0,True,False,,False,,False,True,True,False,False,True,,,False,False,False
South Carolina,76523,46360.0,41294.1,56306.0,,15986.0,,46539.0,56285.3,49421.5,47025.1,35944.7,52883.5,,,22238.0,64722.6,40089.0,-30163.0,-35228.9,-20217.0,,-60537.0,,-29984.0,-20237.7,-27101.5,-29497.9,-40578.3,-23639.5,,,-54285.0,-11800.4,-36434.0,False,True,,False,,True,True,True,True,False,True,,,False,True,False
South Dakota,30154,51030.0,47282.3,50519.0,,30984.0,,48904.0,77373.8,50137.4,17527.7,77255.0,50130.5,,,28778.8,21511.6,0.0,20876.0,17128.3,20365.0,,830.0,,18750.0,47219.8,19983.4,-12626.3,47101.0,19976.5,,,-1375.2,-8642.4,-30154.0,True,True,,True,,True,False,True,True,False,True,,,True,True,False
Tennessee,198531,134525.0,234169.8,181809.0,,48532.0,,138595.0,166135.8,321774.4,92624.2,249451.9,195415.5,,,111923.3,135826.9,66072.0,-64006.0,35638.8,-16722.0,,-149999.0,,-59936.0,-32395.2,123243.4,-105906.8,50920.9,-3115.5,,,-86607.7,-62704.1,-132459.0,True,True,,False,,True,True,False,False,True,True,,,False,True,False
Texas,477711,335840.0,434773.4,422514.0,,80878.0,,402809.0,458170.4,946187.6,354744.7,446686.1,435669.0,,,157477.8,272718.3,242427.0,-141871.0,-42937.6,-55197.0,,-396833.0,,-74902.0,-19540.6,468476.6,-122966.3,-31024.9,-42042.0,,,-320233.2,-204992.7,-235284.0,True,True,,False,,True,True,False,True,True,True,,,False,False,False
Utah,97829,104530.0,136757.2,84006.0,,21925.0,,109646.0,143484.5,110148.8,74335.0,200979.9,133973.5,,,85659.8,63637.9,42288.0,6701.0,38928.2,-13823.0,,-75904.0,,11817.0,45655.5,12319.8,-23494.0,103150.9,36144.5,,,-12169.2,-34191.1,-55541.0,False,False,,False,,False,False,False,False,False,False,,,False,False,False
Vermont,3500,2480.0,2717.3,6318.0,,793.0,,2751.0,1516.7,37412.5,2828.2,21780.6,6837.5,,,1283.7,14783.9,3995.0,-1020.0,-782.7,2818.0,,-2707.0,,-749.0,-1983.3,33912.5,-671.8,18280.6,3337.5,,,-2216.3,11283.9,495.0,True,False,,False,,True,False,False,True,False,False,,,False,False,True
Virginia,102173,49630.0,157802.6,53084.0,,28294.0,,48881.0,63311.6,92105.1,74729.2,64672.0,52487.5,,,33272.5,34074.7,44096.0,-52543.0,55629.6,-49089.0,,-73879.0,,-53292.0,-38861.4,-10067.9,-27443.8,-37501.0,-49685.5,,,-68900.5,-68098.3,-58077.0,False,True,,False,,False,True,True,True,True,True,,,False,False,False
Washington,89209,58600.0,113204.9,90679.0,,15522.0,,55295.0,59427.8,189439.1,94570.7,281022.7,105774.0,,,38952.7,131438.5,57938.0,-30609.0,23995.9,1470.0,,-73687.0,,-33914.0,-29781.2,100230.1,5361.7,191813.7,16565.0,,,-50256.3,42229.5,-31271.0,True,True,,False,,False,True,False,True,False,True,,,False,False,False
West Virginia,38423,25915.0,39895.0,41481.0,,13175.0,,23230.0,33874.1,86917.6,21919.5,39823.5,35063.5,,,12599.0,42607.2,12913.0,-12508.0,1472.0,3058.0,,-25248.0,,-15193.0,-4548.9,48494.6,-16503.5,1400.5,-3359.5,,,-25824.0,4184.2,-25510.0,True,True,,False,,False,True,False,False,True,True,,,False,True,False
Wisconsin,167075,230505.0,137319.7,226266.0,,91869.0,,281385.0,355304.5,304311.9,132660.0,334959.6,293199.5,,,278063.5,99325.2,56435.0,63430.0,-29755.3,59191.0,,-75206.0,,114310.0,188229.5,137236.9,-34415.0,167884.6,126124.5,,,110988.5,-67749.8,-110640.0,True,True,,False,,False,False,False,True,False,False,,,False,False,False
Wyoming,19607,26420.0,35395.1,22362.0,,17559.0,,28649.0,30917.8,76034.2,12402.8,50693.4,39518.5,,,28322.5,10429.8,10657.0,6813.0,15788.1,2755.0,,-2048.0,,9042.0,11310.8,56427.2,-7204.2,31086.4,19911.5,,,8715.5,-9177.2,-8950.0,False,True,,True,,False,False,False,False,False,False,,,False,False,False
US,6739186,5089050.0,7243375.7,6078539.0,15818408.0,4748869.0,5566283.0,5157633.0,6462283.1,11406533.8,4967701.7,10399503.1,8363417.5,6764218.5,4608400.0,6591471.0,4718540.1,3577192.0,-1650136.0,504189.7,-660647.0,9079222.0,-1990317.0,-1172903.0,-1581553.0,-276902.9,4667347.8,-1771484.3,3660317.1,1624231.5,25032.5,-2130786.0,-147715.0,-2020645.9,-3161994.0,True,True,False,False,True,True,True,False,False,False,True,True,False,True,False,False
