,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Maryland,103473,40558.0,37110.2,,46073.2,,32609.0,39339.5,29100.8,27233.3,43202.0,-62915.0,-66362.8,,-57399.8,,-70864.0,-64133.5,-74372.2,-76239.7,-60271.0,False,,True,,False,False,False,False,True
Massachusetts,160694,63616.0,43601.3,,76078.3,,60013.0,58493.4,47528.0,36067.0,66009.0,-97078.0,-117092.7,,-84615.7,,-100681.0,-102200.6,-113166.0,-124627.0,-94685.0,False,,True,,False,False,False,False,True
Michigan,298650,152558.0,195345.0,,191117.3,,150986.0,138325.8,171704.9,81140.3,341506.0,-146092.0,-103305.0,,-107532.7,,-147664.0,-160324.2,-126945.1,-217509.7,42856.0,True,,True,,False,False,True,False,True
Minnesota,246163,114450.0,118634.3,,125659.6,,143258.0,108408.9,123582.8,47118.7,78418.0,-131713.0,-127528.7,,-120503.4,,-102905.0,-137754.1,-122580.2,-199044.3,-167745.0,True,,True,,True,False,True,False,False
Mississippi,71951,35504.0,33883.5,,30149.7,,35347.0,40147.8,44139.1,26470.5,27578.0,-36447.0,-38067.5,,-41801.3,,-36604.0,-31803.2,-27811.9,-45480.5,-44373.0,False,,False,,False,True,True,False,False
Missouri,186630,113141.0,107888.5,,113771.2,,88696.0,115075.5,140414.2,79922.7,42529.0,-73489.0,-78741.5,,-72858.8,,-97934.0,-71554.5,-46215.8,-106707.3,-144101.0,False,,True,,False,True,True,False,False
Montana,43818,39613.0,37915.0,,35332.1,,37156.0,60283.6,125422.6,12594.3,20708.0,-4205.0,-5903.0,,-8485.9,,-6662.0,16465.6,81604.6,-31223.7,-23110.0,False,,False,,False,False,False,False,False
Nebraska,84683,52619.0,108230.6,,54621.9,,48752.0,52912.0,83015.4,26625.1,29961.0,-32064.0,23547.6,,-30061.1,,-35931.0,-31771.0,-1667.6,-58057.9,-54722.0,True,,True,,False,True,True,False,False
Nevada,101097,41643.0,18502.2,,40619.0,,31092.0,43043.7,32130.1,16116.0,40191.0,-59454.0,-82594.8,,-60478.0,,-70005.0,-58053.3,-68966.9,-84981.0,-60906.0,False,,False,,False,True,False,False,False
New Hampshire,24525,5922.0,791.3,,5958.5,,4934.0,4614.7,6070.1,5563.8,8911.0,-18603.0,-23733.7,,-18566.5,,-19591.0,-19910.3,-18454.9,-18961.2,-15614.0,False,,True,,False,False,True,False,True
