,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Illinois,416389,368586.0,614841.9,779547.0,,417480.5,274994.0,,275223.0,304080.2,326291.7,726274.0,181804.7,221477.0,-47803.0,198452.9,363158.0,,1091.5,-141395.0,,-141166.0,-112308.8,-90097.3,309885.0,-234584.3,-194912.0,False,False,,True,False,,False,False,False,False,False,False
Indiana,252149,158184.0,201170.3,256953.0,,142687.4,643094.0,,134208.0,133494.5,257938.4,287976.5,136269.3,241346.0,-93965.0,-50978.7,4804.0,,-109461.6,390945.0,,-117941.0,-118654.5,5789.4,35827.5,-115879.7,-10803.0,True,True,,False,False,,False,False,True,True,False,True
Iowa,116705,130464.0,219547.7,193441.0,,138330.9,76426.0,,119711.0,83046.6,221215.4,215153.0,61751.7,313738.0,13759.0,102842.7,76736.0,,21625.9,-40279.0,,3006.0,-33658.4,104510.4,98448.0,-54953.3,197033.0,False,False,,False,False,,True,False,False,False,False,False
Kansas,103877,71592.0,109982.6,91746.0,,66043.1,45452.0,,52869.0,40400.4,118696.5,107933.5,36922.5,36356.0,-32285.0,6105.6,-12131.0,,-37833.9,-58425.0,,-51008.0,-63476.6,14819.5,4056.5,-66954.5,-67521.0,True,True,,False,False,,False,False,True,True,False,False
Kentucky,120902,74652.0,80672.1,96749.0,,67167.2,44461.0,,65016.0,74088.4,134790.3,103732.0,84583.1,81870.0,-46250.0,-40229.9,-24153.0,,-53734.8,-76441.0,,-55886.0,-46813.6,13888.3,-17170.0,-36318.9,-39032.0,True,True,,False,False,,False,False,True,True,True,True
Louisiana,90719,26550.0,22570.6,43615.0,,25882.0,5793.0,,27397.0,35591.9,24722.7,24100.5,21981.6,16962.0,-64169.0,-68148.4,-47104.0,,-64837.0,-84926.0,,-63322.0,-55127.1,-65996.3,-66618.5,-68737.4,-73757.0,False,True,,False,False,,True,True,False,False,False,False
Maine,11138,5628.0,86474.9,22302.0,,5364.0,5254.0,,6899.0,3620.4,13096.7,9250.0,3675.4,18638.0,-5510.0,75336.9,11164.0,,-5774.0,-5884.0,,-4239.0,-7517.6,1958.7,-1888.0,-7462.6,7500.0,False,False,,False,False,,True,False,True,True,False,False
Maryland,95839,45804.0,49329.7,84801.0,,48371.9,15650.0,,32274.0,31849.7,37037.1,62871.5,28646.7,45792.0,-50035.0,-46509.3,-11038.0,,-47467.1,-80189.0,,-63565.0,-63989.3,-58801.9,-32967.5,-67192.3,-50047.0,True,True,,True,False,,False,False,False,True,False,False
Massachusetts,149694,66000.0,53849.6,89406.0,,65967.9,25374.0,,72673.0,52247.3,44292.3,113155.5,47965.3,56640.0,-83694.0,-95844.4,-60288.0,,-83726.1,-124320.0,,-77021.0,-97446.7,-105401.7,-36538.5,-101728.7,-93054.0,False,True,,False,False,,True,False,False,True,False,False
Michigan,266983,190002.0,271646.3,320577.0,,232930.5,428696.0,,190791.0,156325.0,246139.1,363606.5,146060.9,300292.0,-76981.0,4663.3,53594.0,,-34052.5,161713.0,,-76192.0,-110658.0,-20843.9,96623.5,-120922.1,33309.0,True,True,,True,False,,True,False,True,False,False,True
Minnesota,219681,158892.0,325636.4,306853.0,,162883.7,172562.0,,191162.0,107539.7,289428.1,307142.0,69932.6,81998.0,-60789.0,105955.4,87172.0,,-56797.3,-47119.0,,-28519.0,-112141.3,69747.1,87461.0,-149748.4,-137683.0,False,False,,True,True,,True,False,False,False,False,False
Mississippi,66226,34350.0,32792.6,45536.0,,23700.9,12042.0,,33666.0,39561.7,35194.2,31630.5,29551.2,24684.0,-31876.0,-33433.4,-20690.0,,-42525.1,-54184.0,,-32560.0,-26664.3,-31031.8,-34595.5,-36674.8,-41542.0,False,True,,False,False,,False,True,True,False,False,False
Missouri,163600,137694.0,99465.6,223079.0,,143492.7,62523.0,,124260.0,103634.0,189568.2,194634.5,76178.8,40728.0,-25906.0,-64134.4,59479.0,,-20107.3,-101077.0,,-39340.0,-59966.0,25968.2,31034.5,-87421.2,-122872.0,False,False,,True,False,,False,False,False,False,False,False
Montana,37671,36882.0,25658.9,34751.0,,38482.9,27911.0,,34516.0,43805.2,93887.5,37265.0,12335.1,16873.0,-789.0,-12012.1,-2920.0,,811.9,-9760.0,,-3155.0,6134.2,56216.5,-406.0,-25335.9,-20798.0,False,False,,False,False,,False,False,False,True,False,False
Nebraska,73020,69978.0,61351.1,103908.0,,69311.5,69504.0,,78946.0,55873.8,125095.8,113202.5,69663.1,21840.0,-3042.0,-11668.9,30888.0,,-3708.5,-3516.0,,5926.0,-17146.2,52075.8,40182.5,-3356.9,-51180.0,False,False,,False,False,,False,False,False,False,False,False
Nevada,93112,47910.0,132506.9,74232.0,,41547.3,10062.0,,41199.0,36245.1,35088.9,70533.5,19891.0,39067.0,-45202.0,39394.9,-18880.0,,-51564.7,-83050.0,,-51913.0,-56866.9,-58023.1,-22578.5,-73221.0,-54045.0,True,True,,False,False,,False,False,False,True,False,False
New Hampshire,23368,6942.0,8299.1,14644.0,,7241.2,4392.0,,9448.0,6266.0,18897.9,10416.0,7468.3,10395.0,-16426.0,-15068.9,-8724.0,,-16126.8,-18976.0,,-13920.0,-17102.0,-4470.1,-12952.0,-15899.7,-12973.0,True,True,,True,False,,True,False,True,True,True,True
New Jersey,174835,88176.0,57507.6,156945.0,,79323.5,107303.0,,61204.0,68747.5,52447.0,144248.0,71607.5,73195.0,-86659.0,-117327.4,-17890.0,,-95511.5,-67532.0,,-113631.0,-106087.5,-122388.0,-30587.0,-103227.5,-101640.0,False,True,,False,True,,False,False,False,True,False,False
New Mexico,75259,43086.0,49121.3,48875.0,,36248.2,11817.0,,41587.0,45508.0,64714.5,61044.0,34141.2,24122.0,-32173.0,-26137.7,-26384.0,,-39010.8,-63442.0,,-33672.0,-29751.0,-10544.5,-14215.0,-41117.8,-51137.0,True,True,,False,False,,False,True,True,True,False,False
New York,317560,108390.0,212073.6,208861.0,,303481.8,46136.0,,88806.0,73301.1,82438.2,160822.0,62115.8,112212.0,-209170.0,-105486.4,-108699.0,,-14078.2,-271424.0,,-228754.0,-244258.9,-235121.8,-156738.0,-255444.2,-205348.0,True,True,,True,False,,False,False,False,True,False,True
North Carolina,181023,99660.0,117942.0,117796.0,,92201.7,57148.0,,92266.0,105446.9,123627.7,119203.0,108575.3,87008.0,-81363.0,-63081.0,-63227.0,,-88821.3,-123875.0,,-88757.0,-75576.1,-57395.3,-61820.0,-72447.7,-94015.0,True,True,,False,False,,False,True,True,True,True,False
North Dakota,36580,55728.0,65670.1,45407.0,,49908.5,50405.0,,54220.0,33809.9,111964.5,73274.5,39342.0,40013.0,19148.0,29090.1,8827.0,,13328.5,13825.0,,17640.0,-2770.1,75384.5,36694.5,2762.0,3433.0,False,True,,True,True,,True,True,False,False,True,True
Ohio,368702,180180.0,363295.1,349135.0,,162920.0,60525.0,,187533.0,152487.8,198400.7,341236.5,75578.7,143577.0,-188522.0,-5406.9,-19567.0,,-205782.0,-308177.0,,-181169.0,-216214.2,-170301.3,-27465.5,-293123.3,-225125.0,True,True,,False,False,,True,False,True,True,False,False
Oklahoma,124117,53934.0,72583.6,64327.0,,51138.6,38457.0,,70627.0,62790.4,80308.0,74804.5,32805.9,34039.0,-70183.0,-51533.4,-59790.0,,-72978.4,-85660.0,,-53490.0,-61326.6,-43809.0,-49312.5,-91311.1,-90078.0,True,True,,False,False,,True,True,True,True,False,False
Oregon,52227,27996.0,47210.6,51584.0,,29126.8,12046.0,,25366.0,19781.6,45403.3,41644.0,12331.9,34867.0,-24231.0,-5016.4,-643.0,,-23100.2,-40181.0,,-26861.0,-32445.4,-6823.7,-10583.0,-39895.1,-17360.0,True,True,,True,False,,False,False,True,True,False,True
Pennsylvania,320402,118212.0,174809.1,199418.0,,119765.5,64309.0,,113330.0,108384.8,138726.7,188710.5,94279.3,105414.0,-202190.0,-145592.9,-120984.0,,-200636.5,-256093.0,,-207072.0,-212017.2,-181675.3,-131691.5,-226122.7,-214988.0,True,True,,True,False,,False,False,True,True,False,False
Rhode Island,41432,21036.0,18165.7,16133.0,,23576.0,16481.0,,22366.0,26180.0,16807.5,32324.5,11157.5,8607.0,-20396.0,-23266.3,-25299.0,,-17856.0,-24951.0,,-19066.0,-15252.0,-24624.5,-9107.5,-30274.5,-32825.0,False,False,,True,False,,True,True,False,True,False,False
South Carolina,85795,48780.0,20328.5,61135.0,,43818.7,17417.0,,46986.0,45867.0,46992.9,45374.5,21018.5,35450.0,-37015.0,-65466.5,-24660.0,,-41976.3,-68378.0,,-38809.0,-39928.0,-38802.1,-40420.5,-64776.5,-50345.0,False,True,,False,False,,False,False,False,False,False,False
South Dakota,40360,47904.0,64635.1,44085.0,,47205.5,32355.0,,58904.0,38539.7,93728.7,51599.5,27630.9,4045.0,7544.0,24275.1,3725.0,,6845.5,-8005.0,,18544.0,-1820.3,53368.7,11239.5,-12729.1,-36315.0,False,True,,True,False,,False,True,False,False,False,False
Tennessee,225436,105258.0,67634.8,133108.0,,92832.8,51278.0,,126639.0,142547.4,117814.7,115111.0,94860.3,55632.0,-120178.0,-157801.2,-92328.0,,-132603.2,-174158.0,,-98797.0,-82888.6,-107621.3,-110325.0,-130575.7,-169804.0,False,True,,False,False,,True,True,True,True,False,False
Texas,553210,316800.0,470267.2,588480.0,,311072.0,88768.0,,321522.0,267725.3,466494.4,385157.0,141188.1,317776.0,-236410.0,-82942.8,35270.0,,-242138.0,-464442.0,,-231688.0,-285484.7,-86715.6,-168053.0,-412021.9,-235434.0,True,True,,False,False,,True,False,True,True,False,True
Utah,118735,93474.0,150748.8,123756.0,,84454.2,19380.0,,101675.0,76733.4,60953.3,147204.0,100666.0,48130.0,-25261.0,32013.8,5021.0,,-34280.8,-99355.0,,-17060.0,-42001.6,-57781.7,28469.0,-18069.0,-70605.0,False,True,,False,False,,True,False,False,False,True,False
Vermont,3996,1008.0,36741.8,2254.0,,95.3,638.0,,958.0,888.1,8227.5,1631.5,793.7,1364.0,-2988.0,32745.8,-1742.0,,-3900.7,-3358.0,,-3038.0,-3107.9,4231.5,-2364.5,-3202.3,-2632.0,False,True,,False,False,,False,False,False,True,False,True
Virginia,112099,58098.0,12967.5,81989.0,,59190.9,22691.0,,45672.0,56058.5,97416.3,76165.5,37650.0,61463.0,-54001.0,-99131.5,-30110.0,,-52908.1,-89408.0,,-66427.0,-56040.5,-14682.7,-35933.5,-74449.0,-50636.0,False,True,,True,False,,False,False,True,True,False,True
Washington,102379,51060.0,73681.3,133273.0,,71105.3,16727.0,,40554.0,29529.6,52429.6,66912.0,38857.9,69890.0,-51319.0,-28697.7,30894.0,,-31273.7,-85652.0,,-61825.0,-72849.4,-49949.4,-35467.0,-63521.1,-32489.0,True,True,,True,False,,False,False,True,True,False,True
West Virginia,43606,18894.0,34072.1,33971.0,,19344.6,14119.0,,20910.0,18034.2,73785.5,32546.0,8312.1,10744.0,-24712.0,-9533.9,-9635.0,,-24261.4,-29487.0,,-22696.0,-25571.8,30179.5,-11060.0,-35293.9,-32862.0,True,True,,True,False,,True,False,False,True,False,False
Wisconsin,213176,226566.0,238142.9,252865.0,,208633.6,89329.0,,246426.0,243562.5,437692.7,224435.0,318345.1,95703.0,13390.0,24966.9,39689.0,,-4542.4,-123847.0,,33250.0,30386.5,224516.7,11259.0,105169.1,-117473.0,False,False,,True,False,,False,False,False,True,False,False
Wyoming,24891,19794.0,15598.4,18344.0,,18478.5,15852.0,,20575.0,16301.2,62555.3,34903.5,25009.8,7786.0,-5097.0,-9292.6,-6547.0,,-6412.5,-9039.0,,-4316.0,-8589.8,37664.3,10012.5,118.8,-17105.0,False,False,,False,False,,True,False,False,False,True,False
US,7723376,4362924.0,6019121.4,7039105.0,12232477.0,6423943.3,3782478.0,4877045.0,3659873.0,3780271.0,5549416.9,7943316.0,5840444.3,3493623.0,-3360452.0,-1704254.6,-684271.0,4509101.0,-1299432.7,-3940898.0,-2846331.0,-4063503.0,-3943105.0,-2173959.1,219940.0,-1882931.7,-4229753.0,True,True,False,True,False,True,False,False,True,True,True,False
