,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,304,276.0,,279.9,,278.0,112.0,,,,,322.2,224.5,,,,300.0,,395.9,,145.0,201.5,,316.0,301.3,,,305.0,421.0,30.5,,,,,237.9,277.7,,,,159.3,-28.0,,-24.1,,-26.0,-192.0,,,,,18.2,-79.5,,,,-4.0,,91.9,,-159.0,-102.5,,12.0,-2.7,,,1.0,117.0,-273.5,,,,,-66.1,-26.3,,,,-144.7,,True,,True,False,,,,,True,False,,,,True,,False,,False,False,,True,True,,,True,False,False,,,,,False,True,,,,False
01023,35,32.0,,31.2,,30.0,10.0,,,,,45.8,17.0,,,,88.0,,75.5,,12.9,,,19.0,30.6,,,35.0,79.0,4.7,,,,,,62.4,,,,22.6,-3.0,,-3.8,,-5.0,-25.0,,,,,10.8,-18.0,,,,53.0,,40.5,,-22.1,,,-16.0,-4.4,,,0.0,44.0,-30.3,,,,,,27.4,,,,-12.4,,False,,False,False,,,,,False,False,,,,False,,False,,False,,,False,False,,,True,False,False,,,,,,False,,,,False
01025,514,152.0,,151.0,,148.0,98.0,,,,,188.5,138.0,,,,169.0,,163.9,,82.1,,,121.0,169.8,,,187.0,228.0,7.1,,,,,,172.2,,,,91.8,-362.0,,-363.0,,-366.0,-416.0,,,,,-325.5,-376.0,,,,-345.0,,-350.1,,-431.9,,,-393.0,-344.2,,,-327.0,-286.0,-506.9,,,,,,-341.8,,,,-422.2,,False,,False,False,,,,,True,False,,,,True,,True,,False,,,False,True,,,True,True,False,,,,,,True,,,,False
01027,96,74.0,,75.8,,74.0,50.0,,,,,113.6,70.3,,,,100.0,,79.9,,31.4,,,88.0,94.2,,,73.0,119.0,10.3,,,,,,74.6,,,,24.7,-22.0,,-20.2,,-22.0,-46.0,,,,,17.6,-25.7,,,,4.0,,-16.1,,-64.6,,,-8.0,-1.8,,,-23.0,23.0,-85.7,,,,,,-21.4,,,,-71.3,,True,,False,False,,,,,True,False,,,,True,,True,,False,,,True,True,,,False,False,False,,,,,,True,,,,False
01029,124,94.0,,70.9,,70.0,14.0,,,,,107.2,83.9,,,,121.0,,70.3,,34.4,,,80.0,94.9,,,79.0,136.0,8.9,,,,,,131.8,,,,33.4,-30.0,,-53.1,,-54.0,-110.0,,,,,-16.8,-40.1,,,,-3.0,,-53.7,,-89.6,,,-44.0,-29.1,,,-45.0,12.0,-115.1,,,,,,7.8,,,,-90.6,,False,,False,False,,,,,True,False,,,,True,,False,,False,,,False,True,,,False,True,False,,,,,,True,,,,False
01031,518,366.0,,378.1,,314.0,455.0,,,,,366.8,314.9,,,,295.0,,308.9,,260.0,302.0,,341.0,389.0,,,437.0,488.0,61.8,,,,,308.5,441.4,,,,97.3,-152.0,,-139.9,,-204.0,-63.0,,,,,-151.2,-203.1,,,,-223.0,,-209.1,,-258.0,-216.0,,-177.0,-129.0,,,-81.0,-30.0,-456.2,,,,,-209.5,-76.6,,,,-420.7,,True,,False,True,,,,,True,False,,,,False,,False,,False,False,,False,True,,,True,True,False,,,,,False,True,,,,False
01033,574,794.0,,827.6,,619.0,635.0,,,,,512.1,535.0,,,,634.0,,911.5,,374.2,449.0,,649.0,560.5,,,937.0,841.0,21.4,,,,,580.2,894.7,,,,491.7,220.0,,253.6,,45.0,61.0,,,,,-61.9,-39.0,,,,60.0,,337.5,,-199.8,-125.0,,75.0,-13.5,,,363.0,267.0,-552.6,,,,,6.2,320.7,,,,-82.3,,False,,True,True,,,,,True,True,,,,True,,False,,True,True,,True,True,,,False,False,False,,,,,True,False,,,,True
01035,70,102.0,,106.5,,73.0,52.0,,,,,82.2,47.9,,,,69.0,,121.7,,31.8,,,21.0,74.0,,,113.0,123.0,5.5,,,,,,104.1,,,,75.9,32.0,,36.5,,3.0,-18.0,,,,,12.2,-22.1,,,,-1.0,,51.7,,-38.2,,,-49.0,4.0,,,43.0,53.0,-64.5,,,,,,34.1,,,,5.9,,False,,True,True,,,,,True,True,,,,True,,False,,False,,,False,True,,,False,False,False,,,,,,False,,,,True
01037,61,98.0,,95.4,,94.0,129.0,,,,,69.6,68.8,,,,55.0,,102.5,,25.1,,,116.0,81.7,,,128.0,116.0,5.1,,,,,,82.1,,,,79.8,37.0,,34.4,,33.0,68.0,,,,,8.6,7.8,,,,-6.0,,41.5,,-35.9,,,55.0,20.7,,,67.0,55.0,-55.9,,,,,,21.1,,,,18.8,,True,,True,False,,,,,True,True,,,,True,,False,,True,,,False,True,,,False,False,False,,,,,,True,,,,True
01039,341,338.0,,362.6,,222.0,154.0,,,,,267.4,244.5,,,,242.0,,492.5,,137.4,185.0,,160.0,285.2,,,400.0,405.0,14.8,,,,,278.7,325.5,,,,223.1,-3.0,,21.6,,-119.0,-187.0,,,,,-73.6,-96.5,,,,-99.0,,151.5,,-203.6,-156.0,,-181.0,-55.8,,,59.0,64.0,-326.2,,,,,-62.3,-15.5,,,,-117.9,,False,,False,False,,,,,False,False,,,,False,,False,,False,False,,False,False,,,False,False,False,,,,,False,False,,,,False
01041,88,60.0,,70.7,,58.0,28.0,,,,,77.2,51.8,,,,74.0,,41.5,,28.3,,,54.0,70.2,,,61.0,110.0,6.1,,,,,,76.6,,,,53.0,-28.0,,-17.3,,-30.0,-60.0,,,,,-10.8,-36.2,,,,-14.0,,-46.5,,-59.7,,,-34.0,-17.8,,,-27.0,22.0,-81.9,,,,,,-11.4,,,,-35.0,,True,,False,False,,,,,True,False,,,,True,,False,,False,,,False,True,,,True,True,False,,,,,,True,,,,False
01043,1256,1182.0,,1270.5,,917.0,762.0,,,,,898.6,874.1,,,,917.0,,982.0,,542.8,809.5,,1368.0,1013.3,,,1315.0,1266.0,41.7,,,,,1044.0,936.9,,,,332.1,-74.0,,14.5,,-339.0,-494.0,,,,,-357.4,-381.9,,,,-339.0,,-274.0,,-713.2,-446.5,,112.0,-242.7,,,59.0,10.0,-1214.3,,,,,-212.0,-319.1,,,,-923.9,,True,,False,False,,,,,False,False,,,,False,,False,,False,False,,False,False,,,True,True,False,,,,,False,False,,,,False
01045,480,368.0,,374.7,,305.0,218.0,,,,,314.3,299.3,,,,299.0,,311.6,,161.7,214.0,,478.0,368.5,,,441.0,479.0,25.7,,,,,288.7,479.4,,,,188.2,-112.0,,-105.3,,-175.0,-262.0,,,,,-165.7,-180.7,,,,-181.0,,-168.4,,-318.3,-266.0,,-2.0,-111.5,,,-39.0,-1.0,-454.3,,,,,-191.3,-0.6,,,,-291.8,,True,,False,False,,,,,False,False,,,,False,,False,,False,False,,True,True,,,True,True,False,,,,,False,True,,,,False
01047,216,232.0,,230.1,,178.0,113.0,,,,,275.8,173.2,,,,218.0,,214.8,,184.3,153.0,,156.0,206.5,,,226.0,325.0,12.5,,,,,176.6,201.3,,,,117.1,16.0,,14.1,,-38.0,-103.0,,,,,59.8,-42.8,,,,2.0,,-1.2,,-31.7,-63.0,,-60.0,-9.5,,,10.0,109.0,-203.5,,,,,-39.4,-14.7,,,,-98.9,,True,,False,False,,,,,False,False,,,,True,,True,,False,False,,False,True,,,True,False,False,,,,,False,True,,,,False
01049,1078,854.0,,879.4,,749.0,888.0,,,,,758.3,786.9,,,,749.0,,693.5,,419.5,594.5,,763.0,815.3,,,1051.0,956.0,40.4,,,,,585.4,616.4,,,,236.7,-224.0,,-198.6,,-329.0,-190.0,,,,,-319.7,-291.1,,,,-329.0,,-384.5,,-658.5,-483.5,,-315.0,-262.7,,,-27.0,-122.0,-1037.6,,,,,-492.6,-461.6,,,,-841.3,,True,,False,True,,,,,False,False,,,,False,,False,,False,False,,False,False,,,True,True,False,,,,,False,False,,,,False
01051,1026,756.0,,762.8,,688.0,819.0,,,,,682.3,536.1,,,,469.0,,861.8,,379.7,504.5,,688.0,720.7,,,876.0,905.0,63.7,,,,,696.9,854.2,,,,586.8,-270.0,,-263.2,,-338.0,-207.0,,,,,-343.7,-489.9,,,,-557.0,,-164.2,,-646.3,-521.5,,-338.0,-305.3,,,-150.0,-121.0,-962.3,,,,,-329.1,-171.8,,,,-439.2,,True,,False,True,,,,,False,False,,,,False,,True,,False,False,,False,False,,,True,True,False,,,,,False,True,,,,False
01053,283,226.0,,214.3,,193.0,15.0,,,,,207.7,131.2,,,,254.0,,310.2,,96.7,155.0,,93.0,194.3,,,262.0,318.0,13.4,,,,,,247.5,,,,191.0,-57.0,,-68.7,,-90.0,-268.0,,,,,-75.3,-151.8,,,,-29.0,,27.2,,-186.3,-128.0,,-190.0,-88.7,,,-21.0,35.0,-269.6,,,,,,-35.5,,,,-92.0,,False,,False,False,,,,,False,False,,,,True,,True,,False,False,,False,False,,,True,True,False,,,,,,True,,,,False
01055,1655,1784.0,,1871.9,,1529.0,1780.0,,,,,1279.6,968.6,,,,998.0,,2167.0,,889.0,1069.5,,1916.0,1529.3,,,2114.0,1839.0,135.7,,,,,1673.7,1620.0,,,,800.0,129.0,,216.9,,-126.0,125.0,,,,,-375.4,-686.4,,,,-657.0,,512.0,,-766.0,-585.5,,261.0,-125.7,,,459.0,184.0,-1519.3,,,,,18.7,-35.0,,,,-855.0,,False,,True,True,,,,,False,False,,,,False,,False,,False,False,,False,True,,,False,False,False,,,,,True,True,,,,False
01057,249,258.0,,257.9,,252.0,149.0,,,,,202.8,227.2,,,,160.0,,299.0,,123.9,,,283.0,250.7,,,335.0,251.0,21.8,,,,,,238.7,,,,273.7,9.0,,8.9,,3.0,-100.0,,,,,-46.2,-21.8,,,,-89.0,,50.0,,-125.1,,,34.0,1.7,,,86.0,2.0,-227.2,,,,,,-10.3,,,,24.7,,True,,True,False,,,,,False,False,,,,False,,False,,False,,,False,True,,,False,True,False,,,,,,False,,,,False
01059,326,318.0,,324.4,,301.0,101.0,,,,,348.4,278.0,,,,399.0,,351.4,,153.7,218.0,,300.0,300.5,,,411.0,383.0,19.2,,,,,284.6,327.6,,,,317.3,-8.0,,-1.6,,-25.0,-225.0,,,,,22.4,-48.0,,,,73.0,,25.4,,-172.3,-108.0,,-26.0,-25.5,,,85.0,57.0,-306.8,,,,,-41.4,1.6,,,,-8.7,,True,,False,False,,,,,False,False,,,,False,,False,,False,False,,False,False,,,False,False,False,,,,,False,True,,,,False
01061,178,168.0,,165.2,,152.0,111.0,,,,,160.9,143.0,,,,170.0,,139.0,,85.8,,,148.0,180.4,,,175.0,240.0,14.0,,,,,,213.5,,,,145.7,-10.0,,-12.8,,-26.0,-67.0,,,,,-17.1,-35.0,,,,-8.0,,-39.0,,-92.2,,,-30.0,2.4,,,-3.0,62.0,-164.0,,,,,,35.5,,,,-32.3,,False,,False,False,,,,,False,False,,,,True,,False,,False,,,False,True,,,True,False,False,,,,,,False,,,,False
01063,117,80.0,,80.3,,80.0,0.0,,,,,78.9,62.2,,,,47.0,,92.5,,24.7,,,131.0,85.5,,,106.0,85.0,8.4,,,,,,77.0,,,,116.0,-37.0,,-36.7,,-37.0,-117.0,,,,,-38.1,-54.8,,,,-70.0,,-24.5,,-92.3,,,14.0,-31.5,,,-11.0,-32.0,-108.6,,,,,,-40.0,,,,-1.0,,True,,False,False,,,,,False,False,,,,False,,True,,False,,,True,True,,,True,True,False,,,,,,False,,,,True
01065,236,108.0,,112.7,,108.0,14.0,,,,,137.8,92.0,,,,107.0,,127.8,,72.0,,,70.0,110.9,,,147.0,141.0,18.9,,,,,,107.4,,,,117.8,-128.0,,-123.3,,-128.0,-222.0,,,,,-98.2,-144.0,,,,-129.0,,-108.2,,-164.0,,,-166.0,-125.1,,,-89.0,-95.0,-217.1,,,,,,-128.6,,,,-118.2,,True,,False,False,,,,,True,False,,,,False,,True,,False,,,False,True,,,True,True,False,,,,,,False,,,,True
01067,160,134.0,,130.9,,113.0,4.0,,,,,110.0,90.8,,,,95.0,,161.6,,49.7,,,64.0,113.1,,,145.0,171.0,4.7,,,,,,119.2,,,,186.7,-26.0,,-29.1,,-47.0,-156.0,,,,,-50.0,-69.2,,,,-65.0,,1.6,,-110.3,,,-96.0,-46.9,,,-15.0,11.0,-155.3,,,,,,-40.8,,,,26.7,,False,,False,False,,,,,False,False,,,,False,,True,,False,,,False,False,,,True,True,False,,,,,,False,,,,False
01069,877,788.0,,818.0,,734.0,907.0,,,,,721.0,492.2,,,,584.0,,793.7,,361.5,583.0,,841.0,733.6,,,754.0,1032.0,40.8,,,,,694.0,853.1,,,,924.5,-89.0,,-59.0,,-143.0,30.0,,,,,-156.0,-384.8,,,,-293.0,,-83.3,,-515.5,-294.0,,-36.0,-143.4,,,-123.0,155.0,-836.2,,,,,-183.0,-23.9,,,,47.5,,True,,False,True,,,,,False,False,,,,False,,True,,False,False,,True,False,,,False,False,False,,,,,False,True,,,,True
01071,802,1270.0,,1226.9,,1068.0,512.0,,,,,800.2,899.7,,,,560.0,,2446.2,,480.4,766.0,,2389.5,1068.3,,,1470.0,1173.0,91.8,,,,,1001.1,1070.3,,,,1631.7,468.0,,424.9,,266.0,-290.0,,,,,-1.8,97.7,,,,-242.0,,1644.2,,-321.6,-36.0,,1587.5,266.3,,,668.0,371.0,-710.2,,,,,199.1,268.3,,,,829.7,,True,,True,True,,,,,True,True,,,,True,,False,,True,True,,False,True,,,False,True,False,,,,,True,True,,,,False
01073,9090,7376.0,,7375.7,7367.6,7692.0,12567.0,,,,,6638.9,8356.2,,10542.4,,5175.0,,7874.7,,4342.5,5113.5,,7844.0,8085.2,,,7510.0,8256.0,361.5,,,,,7882.0,6093.8,8341.0,,,9426.9,-1714.0,,-1714.3,-1722.4,-1398.0,3477.0,,,,,-2451.1,-733.8,,1452.4,,-3915.0,,-1215.3,,-4747.5,-3976.5,,-1246.0,-1004.8,,,-1580.0,-834.0,-8728.5,,,,,-1208.0,-2996.2,-749.0,,,336.9,,False,False,True,False,,,,,False,True,,True,,False,,True,,False,False,,True,True,,,True,True,False,,,,,True,False,True,,,True
01075,197,130.0,,126.1,,130.0,89.0,,,,,123.1,100.5,,,,121.0,,247.5,,47.3,,,192.0,140.9,,,189.0,162.0,16.0,,,,,,119.7,,,,177.6,-67.0,,-70.9,,-67.0,-108.0,,,,,-73.9,-96.5,,,,-76.0,,50.5,,-149.7,,,-5.0,-56.1,,,-8.0,-35.0,-181.0,,,,,,-77.3,,,,-19.4,,False,,False,False,,,,,False,False,,,,False,,True,,False,,,True,True,,,True,True,False,,,,,,False,,,,True
01077,938,1030.0,,1051.9,,925.0,1088.0,,,,,798.3,635.6,,,,1091.0,,955.7,,559.5,727.5,,910.0,924.7,,,1132.0,1235.0,135.5,,,,,772.3,1057.6,,,,1011.9,92.0,,113.9,,-13.0,150.0,,,,,-139.7,-302.4,,,,153.0,,17.7,,-378.5,-210.5,,-28.0,-13.3,,,194.0,297.0,-802.5,,,,,-165.7,119.6,,,,73.9,,False,,True,False,,,,,False,False,,,,False,,True,,False,False,,True,True,,,False,False,False,,,,,False,False,,,,True
01079,318,284.0,,284.2,,252.0,255.0,,,,,209.4,231.7,,,,345.0,,246.4,,144.9,204.5,,231.0,248.0,,,321.0,368.0,13.0,,,,,,274.3,,,,302.1,-34.0,,-33.8,,-66.0,-63.0,,,,,-108.6,-86.3,,,,27.0,,-71.6,,-173.1,-113.5,,-87.0,-70.0,,,3.0,50.0,-305.0,,,,,,-43.7,,,,-15.9,,True,,False,False,,,,,False,False,,,,True,,False,,False,False,,False,False,,,True,False,False,,,,,,False,,,,True
01081,1152,748.0,,734.5,,774.0,964.0,,,,,1005.9,558.5,,805.3,,816.0,,671.5,,441.3,559.0,,857.0,885.9,,,914.0,1197.0,54.4,,,,,624.6,1046.7,917.0,,,775.9,-404.0,,-417.5,,-378.0,-188.0,,,,,-146.1,-593.5,,-346.7,,-336.0,,-480.5,,-710.7,-593.0,,-295.0,-266.1,,,-238.0,45.0,-1097.6,,,,,-527.4,-105.3,-235.0,,,-376.1,,False,,True,True,,,,,True,False,,True,,True,,False,,False,False,,True,True,,,True,True,False,,,,,False,True,True,,,True
