,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Hawaii,5617,4832.0,12532.5,,5013.3,,,5552.7,5240.7,4053.9,8237.9,2237.0,-785.0,6915.5,,-603.7,,,-64.3,-376.3,-1563.1,2620.9,-3380.0,False,,True,,,True,True,False,False,False
Idaho,70375,48896.0,155798.7,,52247.4,,37392.0,61589.7,66769.6,16352.3,28292.1,27162.0,-21479.0,85423.7,,-18127.6,,-32983.0,-8785.3,-3605.4,-54022.7,-42082.9,-43213.0,False,,True,,False,True,True,False,False,False
Illinois,519466,252120.0,405040.2,,293749.6,,187438.0,359345.5,227710.5,111946.9,184386.8,205105.0,-267346.0,-114425.8,,-225716.4,,-332028.0,-160120.5,-291755.5,-407519.1,-335079.2,-314361.0,True,,True,,False,True,False,False,False,False
Indiana,297417,115816.0,162349.0,,119553.0,,110980.0,203806.8,130668.9,50119.1,115229.0,178342.0,-181601.0,-135068.0,,-177864.0,,-186437.0,-93610.2,-166748.1,-247297.9,-182188.0,-119075.0,True,,True,,False,True,True,False,False,True
Iowa,152123,65104.0,103604.7,,71847.7,,57826.0,79688.6,99431.7,20394.9,47157.8,73160.0,-87019.0,-48518.3,,-80275.3,,-94297.0,-72434.4,-52691.3,-131728.1,-104965.2,-78963.0,True,,True,,False,True,True,False,False,True
Kansas,125131,44120.0,63393.1,,44610.5,,38603.0,41567.8,89962.4,18584.4,21235.8,21583.0,-81011.0,-61737.9,,-80520.5,,-86528.0,-83563.2,-35168.6,-106546.6,-103895.2,-103548.0,True,,True,,False,False,True,False,False,False
Kentucky,145083,69464.0,116881.2,,67916.7,,65462.0,106338.2,98408.8,30627.5,79859.4,97244.0,-75619.0,-28201.8,,-77166.3,,-79621.0,-38744.8,-46674.2,-114455.5,-65223.6,-47839.0,True,,False,,False,True,True,False,True,True
Louisiana,99831,33856.0,25434.1,,34563.1,,35941.0,30502.2,33292.8,15570.8,23931.8,16666.0,-65975.0,-74396.9,,-65267.9,,-63890.0,-69328.8,-66538.2,-84260.2,-75899.2,-83165.0,False,,True,,True,False,False,False,False,False
Maine,12602,1792.0,628.3,,1595.7,,2281.0,2287.7,11678.1,1327.4,6973.5,2727.0,-10810.0,-11973.7,,-11006.3,,-10321.0,-10314.3,-923.9,-11274.6,-5628.5,-9875.0,False,,False,,True,True,True,False,True,True
Maryland,109267,34880.0,38978.8,,37653.5,,28084.0,50157.3,23807.6,19661.4,38679.7,35964.0,-74387.0,-70288.2,,-71613.5,,-81183.0,-59109.7,-85459.4,-89605.6,-70587.3,-73303.0,True,,True,,False,True,False,False,True,True
Massachusetts,169782,52464.0,47098.8,,54226.7,,33699.0,53183.9,28126.1,28049.5,68889.8,55530.0,-117318.0,-122683.2,,-115555.3,,-136083.0,-116598.1,-141655.9,-141732.5,-100892.2,-114252.0,False,,True,,False,True,False,False,True,True
Michigan,320444,116056.0,233548.1,,141653.7,,117365.0,238605.6,125097.4,52361.8,86557.2,251934.0,-204388.0,-86895.9,,-178790.3,,-203079.0,-81838.4,-195346.6,-268082.2,-233886.8,-68510.0,True,,True,,True,True,True,False,False,True
Minnesota,262513,88256.0,135999.3,,140269.0,,111153.0,129539.4,92175.4,26980.7,72230.9,73729.0,-174257.0,-126513.7,,-122244.0,,-151360.0,-132973.6,-170337.6,-235532.3,-190282.1,-188784.0,True,,True,,True,True,True,False,False,False
Mississippi,77023,40656.0,40164.9,,32430.9,,37058.0,75226.4,46261.2,12296.4,18732.9,24937.0,-36367.0,-36858.1,,-44592.1,,-39965.0,-1796.6,-30761.8,-64726.6,-58290.1,-52086.0,False,,False,,False,True,True,False,False,False
Missouri,225613,101768.0,106817.2,,110998.7,,76868.0,158938.1,184122.7,52831.7,68010.7,47831.0,-123845.0,-118795.8,,-114614.3,,-148745.0,-66674.9,-41490.3,-172781.3,-157602.3,-177782.0,True,,True,,False,True,True,False,False,False
Montana,49477,39336.0,44158.3,,38686.1,,40019.0,49611.3,160194.5,11855.0,20439.0,19576.0,-10141.0,-5318.7,,-10790.9,,-9458.0,134.3,110717.5,-37622.0,-29038.0,-29901.0,True,,False,,True,True,False,False,False,False
Nebraska,92200,47064.0,136191.5,,55061.0,,43281.0,64776.8,80882.3,20727.3,18410.8,16993.0,-45136.0,43991.5,,-37139.0,,-48919.0,-27423.2,-11317.7,-71472.7,-73789.2,-75207.0,True,,True,,False,True,True,False,False,False
Nevada,107046,41280.0,22261.6,,44038.4,,26163.0,60139.0,34604.8,16408.8,45388.1,28659.0,-65766.0,-84784.4,,-63007.6,,-80883.0,-46907.0,-72441.2,-90637.2,-61657.9,-78387.0,False,,True,,False,True,False,False,True,False
New Hampshire,26124,4904.0,899.2,,4529.1,,4179.0,10831.0,10155.8,2392.5,10472.4,6871.0,-21220.0,-25224.8,,-21594.9,,-21945.0,-15293.0,-15968.2,-23731.5,-15651.6,-19253.0,False,,False,,False,True,True,False,True,True
New Jersey,234255,68808.0,95400.5,,145428.7,,46497.0,71821.4,31096.6,45307.1,78590.1,74074.0,-165447.0,-138854.5,,-88826.3,,-187758.0,-162433.6,-203158.4,-188947.9,-155664.9,-160181.0,True,,True,,False,True,False,False,True,True
New Mexico,87890,37576.0,65930.7,,41078.4,,35721.0,71187.0,43840.1,13254.6,40003.7,44079.0,-50314.0,-21959.3,,-46811.6,,-52169.0,-16703.0,-44049.9,-74635.4,-47886.3,-43811.0,True,,True,,False,True,True,False,True,True
New York,350046,87528.0,46969.7,,100380.5,,61802.0,118071.8,66541.3,37921.8,139156.5,98872.0,-262518.0,-303076.3,,-249665.5,,-288244.0,-231974.2,-283504.7,-312124.2,-210889.5,-251174.0,False,,True,,False,True,False,False,True,True
North Carolina,213976,116536.0,217925.7,,108085.5,,115990.0,168474.6,129854.4,57508.4,98387.8,93362.0,-97440.0,3949.7,,-105890.5,,-97986.0,-45501.4,-84121.6,-156467.6,-115588.2,-120614.0,True,,False,,False,True,True,False,False,False
North Dakota,52910,44904.0,24517.4,,39927.9,,46567.0,33074.3,98678.1,38733.0,16248.4,45791.0,-8006.0,-28392.6,,-12982.1,,-6343.0,-19835.7,45768.1,-14177.0,-36661.6,-7119.0,False,,False,,True,False,False,False,False,True
Ohio,418623,124648.0,735853.1,,137370.5,,122242.0,231418.1,108657.3,48908.5,169626.8,155498.0,-293975.0,317230.1,,-281252.5,,-296381.0,-187204.9,-309965.7,-369714.5,-248996.2,-263125.0,False,,True,,False,True,False,False,True,True
Oklahoma,140183,73736.0,120885.0,,71389.9,,74765.0,82080.3,94208.8,27006.9,52957.2,50134.0,-66447.0,-19298.0,,-68793.1,,-65418.0,-58102.7,-45974.2,-113176.1,-87225.8,-90049.0,True,,False,,True,True,True,False,False,False
Oregon,60075,19392.0,36269.6,,17562.1,,17126.0,25811.7,28714.2,6373.3,32931.2,19666.0,-40683.0,-23805.4,,-42512.9,,-42949.0,-34263.3,-31360.8,-53701.7,-27143.8,-40409.0,True,,False,,False,True,True,False,True,True
Pennsylvania,355525,93616.0,121067.0,,109249.0,,87071.0,131344.2,102768.7,37929.3,109053.1,84120.0,-261909.0,-234458.0,,-246276.0,,-268454.0,-224180.8,-252756.3,-317595.7,-246471.9,-271405.0,True,,True,,False,True,True,False,True,False
Rhode Island,47694,19416.0,21465.1,,25761.0,,12023.0,21180.3,14625.8,8527.1,7601.4,9817.0,-28278.0,-26228.9,,-21933.0,,-35671.0,-26513.7,-33068.2,-39166.9,-40092.6,-37877.0,True,,True,,False,True,False,False,False,False
South Carolina,101196,49016.0,117070.6,,59174.4,,51711.0,55098.6,47522.8,14589.0,43282.9,36364.0,-52180.0,15874.6,,-42021.6,,-49485.0,-46097.4,-53673.2,-86607.0,-57913.1,-64832.0,True,,True,,True,True,False,False,False,False
South Dakota,56195,44240.0,54325.7,,43021.0,,44291.0,40546.8,91441.3,26912.1,25242.9,15693.0,-11955.0,-1869.3,,-13174.0,,-11904.0,-15648.2,35246.3,-29282.9,-30952.1,-40502.0,True,,False,,True,False,False,False,False,False
Tennessee,259564,143584.0,219404.8,,137229.6,,117585.0,186343.9,166934.4,59899.4,151926.1,72531.0,-115980.0,-40159.2,,-122334.4,,-141979.0,-73220.1,-92629.6,-199664.6,-107637.9,-187033.0,True,,False,,False,True,True,False,True,False
Texas,687537,319360.0,319156.6,,300653.0,,355244.0,258606.4,319296.7,144299.8,344098.1,211783.0,-368177.0,-368380.4,,-386884.0,,-332293.0,-428930.6,-368240.3,-543237.2,-343438.9,-475754.0,False,,False,,True,False,False,False,True,False
Utah,145853,78560.0,62745.7,,75608.4,,77690.0,71187.8,42256.2,35433.8,55944.4,52791.0,-67293.0,-83107.3,,-70244.6,,-68163.0,-74665.2,-103596.8,-110419.2,-89908.6,-93062.0,False,,False,,False,False,False,False,False,False
Vermont,4300,936.0,218.4,,404.4,,757.0,1075.3,4903.3,377.8,16618.2,2585.0,-3364.0,-4081.6,,-3895.6,,-3543.0,-3224.7,603.3,-3922.2,12318.2,-1715.0,False,,False,,False,True,True,False,False,True
Virginia,130600,55968.0,162851.9,,60254.8,,47722.0,76398.8,72542.9,32287.6,45536.0,43561.0,-74632.0,32251.9,,-70345.2,,-82878.0,-54201.2,-58057.1,-98312.4,-85064.0,-87039.0,True,,True,,False,True,True,False,False,False
Washington,117531,36744.0,76084.9,,44024.1,,24716.0,50038.9,34683.8,13560.4,51299.5,41530.0,-80787.0,-41446.1,,-73506.9,,-92815.0,-67492.1,-82847.2,-103970.6,-66231.5,-76001.0,True,,True,,False,True,False,False,True,True
West Virginia,49499,15288.0,49647.1,,18564.9,,13126.0,22797.0,76998.7,5427.5,11404.0,7848.0,-34211.0,148.1,,-30934.1,,-36373.0,-26702.0,27499.7,-44071.5,-38095.0,-41651.0,True,,True,,False,True,True,False,False,False
Wisconsin,285540,226832.0,463478.8,,197403.5,,223227.0,166209.6,322801.4,223198.9,88949.3,65769.0,-58708.0,177938.8,,-88136.5,,-62313.0,-119330.4,37261.4,-62341.1,-196590.7,-219771.0,False,,False,,False,False,True,False,False,False
Wyoming,30683,15912.0,67642.4,,17543.0,,15015.0,21017.0,51872.7,13652.2,11991.8,8238.0,-14771.0,36959.4,,-13140.0,,-15668.0,-9666.0,21189.7,-17030.8,-18691.2,-22445.0,False,,True,,False,True,False,False,False,False
US,9166772,3750344.0,5068131.2,6263879.0,6368646.9,4094557.0,3407566.0,4575898.7,4222106.3,2939830.9,3493345.8,3457281.0,-5416428.0,-4098640.8,-2902893.0,-2798125.1,-5072215.0,-5759206.0,-4590873.3,-4944665.7,-6226941.1,-5673426.2,-5709491.0,True,True,True,True,False,True,True,False,False,False
