,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01021,608,335.0,,296.0,,,,350.0,,148.7,255.9,,301.5,,,290.7,,,-273.0,,-312.0,,,,-258.0,,-459.3,-352.1,,-306.5,,,-317.3,,,,False,,,,True,,False,False,,False,,,False,,
01023,63,15.0,,0.0,,,,80.0,,19.7,42.6,,11.0,,,,,,-48.0,,-63.0,,,,17.0,,-43.3,-20.4,,-52.0,,,,,,,False,,,,True,,True,True,,False,,,,,
01025,680,300.0,,214.0,,,,176.0,,112.6,199.0,,305.0,,,232.6,,,-380.0,,-466.0,,,,-504.0,,-567.4,-481.0,,-375.0,,,-447.4,,,,False,,,,False,,False,False,,True,,,False,,
01027,207,165.0,,139.0,,,,120.0,,26.2,68.0,,173.0,,,,,,-42.0,,-68.0,,,,-87.0,,-180.8,-139.0,,-34.0,,,,,,,False,,,,False,,False,False,,True,,,,,
01029,284,185.0,,96.0,,,,155.0,,74.6,93.5,,138.0,,,,,,-99.0,,-188.0,,,,-129.0,,-209.4,-190.5,,-146.0,,,,,,,False,,,,False,,False,False,,False,,,,,
01031,1000,925.0,,822.0,,,,334.0,,1186.5,690.5,,1398.0,,,640.3,,,-75.0,,-178.0,,,,-666.0,,186.5,-309.5,,398.0,,,-359.7,,,,False,,,,False,,False,False,,False,,,False,,
01033,1383,1285.0,,1554.0,,,,809.0,,339.8,823.6,,1719.0,,,444.8,,,-98.0,,171.0,,,,-574.0,,-1043.2,-559.4,,336.0,,,-938.2,,,,False,,,,False,,False,False,,False,,,False,,
01035,166,175.0,,61.0,,,,75.0,,426.9,63.5,,244.0,,,,,,9.0,,-105.0,,,,-91.0,,260.9,-102.5,,78.0,,,,,,,False,,,,False,,False,False,,False,,,,,
01037,187,160.0,,109.0,,,,70.0,,62.8,56.1,,188.0,,,,,,-27.0,,-78.0,,,,-117.0,,-124.2,-130.9,,1.0,,,,,,,False,,,,False,,False,False,,True,,,,,
01039,677,405.0,,327.0,,,,272.0,,78.8,308.2,,368.0,,,257.8,,,-272.0,,-350.0,,,,-405.0,,-598.2,-368.8,,-309.0,,,-419.2,,,,False,,,,False,,False,False,,False,,,False,,
01041,158,150.0,,73.0,,,,81.0,,295.2,71.4,,169.0,,,,,,-8.0,,-85.0,,,,-77.0,,137.2,-86.6,,11.0,,,,,,,False,,,,False,,False,False,,False,,,,,
01043,2590,2555.0,,3040.0,,,,1085.0,,2058.4,1559.3,,3016.0,,,1220.7,,,-35.0,,450.0,,,,-1505.0,,-531.6,-1030.7,,426.0,,,-1369.3,,,,False,,,,False,,False,False,,False,,,False,,
01045,833,650.0,,911.0,,,,341.0,,191.1,601.4,,809.0,,,339.6,,,-183.0,,78.0,,,,-492.0,,-641.9,-231.6,,-24.0,,,-493.4,,,,True,,,,False,,False,False,,True,,,False,,
01047,539,370.0,,209.0,,,,256.0,,353.8,284.1,,737.0,,,123.0,,,-169.0,,-330.0,,,,-283.0,,-185.2,-254.9,,198.0,,,-416.0,,,,False,,,,False,,False,False,,False,,,False,,
01049,2185,1590.0,,1292.0,,,,926.0,,739.1,1005.2,,1494.5,,,830.8,,,-595.0,,-893.0,,,,-1259.0,,-1445.9,-1179.8,,-690.5,,,-1354.2,,,,False,,,,False,,False,False,,False,,,False,,
01051,1848,930.0,,1111.0,,,,524.0,,1070.4,563.5,,1038.0,,,574.9,,,-918.0,,-737.0,,,,-1324.0,,-777.6,-1284.5,,-810.0,,,-1273.1,,,,True,,,,False,,True,False,,True,,,False,,
01053,510,230.0,,54.0,,,,281.0,,90.6,199.4,,409.0,,,182.2,,,-280.0,,-456.0,,,,-229.0,,-419.4,-310.6,,-101.0,,,-327.8,,,,False,,,,True,,False,False,,True,,,False,,
01055,3533,2185.0,,2404.0,,,,1170.0,,1037.5,1256.7,,2687.5,,,1230.8,,,-1348.0,,-1129.0,,,,-2363.0,,-2495.5,-2276.3,,-845.5,,,-2302.2,,,,True,,,,False,,False,False,,True,,,False,,
01057,567,345.0,,279.0,,,,170.0,,1102.8,161.4,,515.0,,,,,,-222.0,,-288.0,,,,-397.0,,535.8,-405.6,,-52.0,,,,,,,False,,,,False,,False,False,,True,,,,,
01059,691,375.0,,141.0,,,,510.0,,48.1,382.3,,289.0,,,196.4,,,-316.0,,-550.0,,,,-181.0,,-642.9,-308.7,,-402.0,,,-494.6,,,,False,,,,True,,False,True,,False,,,False,,
01061,399,340.0,,394.0,,,,189.0,,152.4,202.2,,525.0,,,259.8,,,-59.0,,-5.0,,,,-210.0,,-246.6,-196.8,,126.0,,,-139.2,,,,True,,,,False,,False,False,,False,,,False,,
01063,209,80.0,,0.0,,,,51.0,,43.7,44.1,,67.0,,,,,,-129.0,,-209.0,,,,-158.0,,-165.3,-164.9,,-142.0,,,,,,,False,,,,False,,False,False,,False,,,,,
01065,392,225.0,,70.0,,,,115.0,,66.6,123.6,,179.0,,,,,,-167.0,,-322.0,,,,-277.0,,-325.4,-268.4,,-213.0,,,,,,,False,,,,False,,False,False,,False,,,,,
01067,271,170.0,,59.0,,,,93.0,,46.0,121.9,,175.0,,,,,,-101.0,,-212.0,,,,-178.0,,-225.0,-149.1,,-96.0,,,,,,,False,,,,False,,False,False,,True,,,,,
01069,1814,1205.0,,1769.0,,,,804.0,,578.6,891.7,,2024.5,,,970.2,,,-609.0,,-45.0,,,,-1010.0,,-1235.4,-922.3,,210.5,,,-843.8,,,,True,,,,False,,False,False,,True,,,False,,
01071,1953,1115.0,,1009.0,,,,723.0,,465.5,695.5,,1120.5,,,609.1,,,-838.0,,-944.0,,,,-1230.0,,-1487.5,-1257.5,,-832.5,,,-1343.9,,,,False,,,,False,,False,False,,True,,,False,,
01073,17513,9760.0,,17674.0,,,,5240.0,,9942.8,6606.9,,16407.5,,,4925.9,,,-7753.0,,161.0,,,,-12273.0,,-7570.2,-10906.1,,-1105.5,,,-12587.1,,,,True,,,,False,,True,False,,True,,,False,,
01075,360,140.0,,139.0,,,,155.0,,120.9,72.0,,102.0,,,,,,-220.0,,-221.0,,,,-205.0,,-239.1,-288.0,,-258.0,,,,,,,False,,,,True,,False,False,,False,,,,,
01077,2272,1740.0,,1208.0,,,,1340.0,,441.5,1287.2,,1806.0,,,529.1,,,-532.0,,-1064.0,,,,-932.0,,-1830.5,-984.8,,-466.0,,,-1742.9,,,,False,,,,False,,False,False,,True,,,False,,
01079,668,380.0,,314.0,,,,465.0,,78.2,252.9,,315.0,,,,,,-288.0,,-354.0,,,,-203.0,,-589.8,-415.1,,-353.0,,,,,,,False,,,,True,,False,False,,False,,,,,
01081,2102,1515.0,,2764.0,,,,1090.0,,1368.3,741.1,,2948.5,,,1190.5,,,-587.0,,662.0,,,,-1012.0,,-733.7,-1360.9,,846.5,,,-911.5,,,,False,,,,False,,False,False,,False,,,False,,
01083,2308,1520.0,,1790.0,,,,1123.0,,973.7,872.0,,1732.0,,,982.1,,,-788.0,,-518.0,,,,-1185.0,,-1334.3,-1436.0,,-576.0,,,-1325.9,,,,True,,,,False,,False,False,,True,,,False,,
01085,136,65.0,,0.0,,,,54.0,,17.6,52.9,,60.0,,,,,,-71.0,,-136.0,,,,-82.0,,-118.4,-83.1,,-76.0,,,,,,,False,,,,False,,False,False,,False,,,,,
01087,248,255.0,,311.0,,,,85.0,,124.5,145.9,,324.5,,,,,,7.0,,63.0,,,,-163.0,,-123.5,-102.1,,76.5,,,,,,,False,,,,False,,False,False,,False,,,,,
01089,7907,4355.0,,7186.0,,,,3172.0,,5978.3,3296.3,,6811.5,,,2272.5,,,-3552.0,,-721.0,,,,-4735.0,,-1928.7,-4610.7,,-1095.5,,,-5634.5,,,,True,,,,False,,True,False,,True,,,False,,
01091,466,200.0,,52.0,,,,151.0,,76.3,154.0,,128.0,,,156.6,,,-266.0,,-414.0,,,,-315.0,,-389.7,-312.0,,-338.0,,,-309.4,,,,False,,,,False,,False,False,,False,,,False,,
01093,578,300.0,,558.0,,,,357.0,,95.6,206.3,,495.0,,,150.0,,,-278.0,,-20.0,,,,-221.0,,-482.4,-371.7,,-83.0,,,-428.0,,,,True,,,,True,,False,False,,True,,,False,,
01095,3081,2170.0,,2803.0,,,,1226.0,,2910.1,1269.6,,3992.5,,,917.2,,,-911.0,,-278.0,,,,-1855.0,,-170.9,-1811.4,,911.5,,,-2163.8,,,,True,,,,False,,True,False,,False,,,False,,
01097,4779,3580.0,,5213.0,,,,2838.0,,1278.9,5226.5,,3219.5,,,1825.1,,,-1199.0,,434.0,,,,-1941.0,,-3500.1,447.5,,-1559.5,,,-2953.9,,,,True,,,,False,,False,True,,False,,,False,,
01099,302,155.0,,154.0,,,,125.0,,198.5,111.9,,178.0,,,,,,-147.0,,-148.0,,,,-177.0,,-103.5,-190.1,,-124.0,,,,,,,False,,,,False,,True,False,,True,,,,,
01101,3167,2240.0,,3079.0,,,,1444.0,,809.6,2243.5,,2134.5,,,1208.7,,,-927.0,,-88.0,,,,-1723.0,,-2357.4,-923.5,,-1032.5,,,-1958.3,,,,True,,,,False,,False,True,,False,,,False,,
01103,3943,2575.0,,3531.0,,,,1458.0,,2105.8,1706.7,,2956.5,,,1318.9,,,-1368.0,,-412.0,,,,-2485.0,,-1837.2,-2236.3,,-986.5,,,-2624.1,,,,True,,,,False,,False,False,,True,,,False,,
01105,147,105.0,,0.0,,,,60.0,,67.2,45.3,,62.0,,,,,,-42.0,,-147.0,,,,-87.0,,-79.8,-101.7,,-85.0,,,,,,,False,,,,False,,False,False,,False,,,,,
01107,487,380.0,,190.0,,,,187.0,,127.2,238.4,,420.0,,,,,,-107.0,,-297.0,,,,-300.0,,-359.8,-248.6,,-67.0,,,,,,,False,,,,False,,False,False,,True,,,,,
01109,321,335.0,,284.0,,,,229.0,,150.1,241.6,,363.0,,,374.0,,,14.0,,-37.0,,,,-92.0,,-170.9,-79.4,,42.0,,,53.0,,,,False,,,,False,,False,False,,False,,,False,,
01111,227,255.0,,190.0,,,,201.0,,71.9,159.8,,205.0,,,,,,28.0,,-37.0,,,,-26.0,,-155.1,-67.2,,-22.0,,,,,,,False,,,,True,,False,False,,True,,,,,
01113,522,180.0,,118.0,,,,379.0,,15.9,242.8,,210.0,,,144.7,,,-342.0,,-404.0,,,,-143.0,,-506.1,-279.2,,-312.0,,,-377.3,,,,False,,,,True,,False,True,,True,,,False,,
01115,2013,1310.0,,1086.0,,,,710.0,,419.3,935.4,,1410.0,,,736.0,,,-703.0,,-927.0,,,,-1303.0,,-1593.7,-1077.6,,-603.0,,,-1277.0,,,,False,,,,False,,False,False,,True,,,False,,
01117,4850,3655.0,,6348.0,,,,1471.0,,4906.1,2318.8,,5962.0,,,2169.1,,,-1195.0,,1498.0,,,,-3379.0,,56.1,-2531.2,,1112.0,,,-2680.9,,,,False,,,,False,,True,False,,True,,,False,,
01119,212,105.0,,35.0,,,,74.0,,165.9,67.5,,129.0,,,,,,-107.0,,-177.0,,,,-138.0,,-46.1,-144.5,,-83.0,,,,,,,False,,,,False,,True,False,,True,,,,,
01121,1506,925.0,,501.0,,,,723.0,,520.9,687.3,,1390.0,,,802.2,,,-581.0,,-1005.0,,,,-783.0,,-985.1,-818.7,,-116.0,,,-703.8,,,,False,,,,False,,False,False,,True,,,False,,
01123,571,625.0,,144.0,,,,289.0,,591.8,393.4,,841.0,,,367.5,,,54.0,,-427.0,,,,-282.0,,20.8,-177.6,,270.0,,,-203.5,,,,False,,,,False,,True,False,,False,,,False,,
01125,4839,2925.0,,3252.0,,,,1952.0,,1397.9,2076.6,,3216.5,,,2908.5,,,-1914.0,,-1587.0,,,,-2887.0,,-3441.1,-2762.4,,-1622.5,,,-1930.5,,,,True,,,,False,,False,False,,True,,,False,,
01127,1421,745.0,,665.0,,,,714.0,,117.4,569.4,,659.0,,,334.1,,,-676.0,,-756.0,,,,-707.0,,-1303.6,-851.6,,-762.0,,,-1086.9,,,,False,,,,False,,False,False,,False,,,False,,
01129,220,315.0,,0.0,,,,116.0,,295.1,143.0,,297.0,,,,,,95.0,,-220.0,,,,-104.0,,75.1,-77.0,,77.0,,,,,,,False,,,,False,,True,True,,True,,,,,
01131,205,80.0,,0.0,,,,51.0,,29.3,52.3,,105.0,,,,,,-125.0,,-205.0,,,,-154.0,,-175.7,-152.7,,-100.0,,,,,,,False,,,,False,,False,False,,True,,,,,
01133,597,520.0,,331.0,,,,330.0,,363.4,308.7,,475.0,,,352.7,,,-77.0,,-266.0,,,,-267.0,,-233.6,-288.3,,-122.0,,,-244.3,,,,False,,,,False,,False,False,,False,,,False,,
02013,25,5.0,,0.0,,,,,,6.7,5.9,,7.0,,,,,,-20.0,,-25.0,,,,,,-18.3,-19.1,,-18.0,,,,,,,False,,,,,,True,True,,True,,,,,
02016,64,10.0,,0.0,,,,,,8.6,4.3,,9.0,,,,,,-54.0,,-64.0,,,,,,-55.4,-59.7,,-55.0,,,,,,,False,,,,,,False,False,,False,,,,,
02020,9547,10325.0,,11460.0,,,,,,13204.4,5993.9,,16124.5,,,8482.9,,,778.0,,1913.0,,,,,,3657.4,-3553.1,,6577.5,,,-1064.1,,,,False,,,,,,False,False,,False,,,False,,
02050,1179,1225.0,,,,,,,,3184.8,386.5,,1210.5,,,,,,46.0,,,,,,,,2005.8,-792.5,,31.5,,,,,,,,,,,,,False,False,,True,,,,,
02060,0,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,True,,,,,,True,True,,,,,,,
02068,23,25.0,,0.0,,,,,,14.5,16.2,,16.0,,,,,,2.0,,-23.0,,,,,,-8.5,-6.8,,-7.0,,,,,,,False,,,,,,False,False,,False,,,,,
02070,34,65.0,,0.0,,,,,,298.0,50.0,,66.0,,,,,,31.0,,-34.0,,,,,,264.0,16.0,,32.0,,,,,,,False,,,,,,False,True,,False,,,,,
02090,1774,1570.0,,31.0,,,,,,288.1,867.8,,1743.0,,,1530.4,,,-204.0,,-1743.0,,,,,,-1485.9,-906.2,,-31.0,,,-243.6,,,,False,,,,,,False,False,,True,,,False,,
02100,6,5.0,,0.0,,,,,,6.5,0.9,,5.0,,,,,,-1.0,,-6.0,,,,,,0.5,-5.1,,-1.0,,,,,,,False,,,,,,True,False,,False,,,,,
02105,0,0.0,,0.0,,,,,,0.0,2.7,,,,,,,,0.0,,0.0,,,,,,0.0,2.7,,,,,,,,,True,,,,,,True,False,,,,,,,
02110,255,395.0,,596.0,,,,,,90.5,239.8,,547.0,,,,,,140.0,,341.0,,,,,,-164.5,-15.2,,292.0,,,,,,,False,,,,,,False,True,,False,,,,,
02122,1761,1945.0,,2460.0,,,,,,3183.8,1281.9,,2306.0,,,871.1,,,184.0,,699.0,,,,,,1422.8,-479.1,,545.0,,,-889.9,,,,False,,,,,,False,False,,False,,,False,,
02130,66,240.0,,93.0,,,,,,5208.7,38.4,,440.0,,,,,,174.0,,27.0,,,,,,5142.7,-27.6,,374.0,,,,,,,True,,,,,,False,True,,False,,,,,
02150,643,105.0,,0.0,,,,,,60.0,94.8,,176.0,,,,,,-538.0,,-643.0,,,,,,-583.0,-548.2,,-467.0,,,,,,,False,,,,,,False,False,,True,,,,,
02158,321,170.0,,48.0,,,,,,71.2,,,28.0,,,,,,-151.0,,-273.0,,,,,,-249.8,,,-293.0,,,,,,,False,,,,,,False,,,False,,,,,
02164,29,65.0,,1.0,,,,,,38.0,9.2,,58.0,,,,,,36.0,,-28.0,,,,,,9.0,-19.9,,29.0,,,,,,,True,,,,,,True,True,,True,,,,,
02170,3543,1950.0,,100.0,,,,,,1050.7,1764.3,,1511.0,,,1948.1,,,-1593.0,,-3443.0,,,,,,-2492.3,-1778.7,,-2032.0,,,-1594.9,,,,False,,,,,,False,False,,False,,,False,,
02180,102,55.0,,0.0,,,,,,14.1,37.4,,71.0,,,,,,-47.0,,-102.0,,,,,,-87.9,-64.6,,-31.0,,,,,,,False,,,,,,False,False,,True,,,,,
02185,375,315.0,,0.0,,,,,,1452.4,133.7,,206.0,,,,,,-60.0,,-375.0,,,,,,1077.4,-241.3,,-169.0,,,,,,,False,,,,,,False,False,,False,,,,,
02188,83,115.0,,0.0,,,,,,30.1,74.2,,72.0,,,,,,32.0,,-83.0,,,,,,-52.9,-8.8,,-11.0,,,,,,,False,,,,,,False,True,,True,,,,,
02195,7,10.0,,0.0,,,,,,1.3,0.8,,9.0,,,,,,3.0,,-7.0,,,,,,-5.7,-6.2,,2.0,,,,,,,False,,,,,,False,False,,True,,,,,
02198,24,30.0,,,,,,,,2769.5,10.4,,16.0,,,,,,6.0,,,,,,,,2745.5,-13.6,,-8.0,,,,,,,,,,,,,False,False,,False,,,,,
02220,137,110.0,,10.0,,,,,,498.9,54.6,,214.0,,,,,,-27.0,,-127.0,,,,,,361.9,-82.4,,77.0,,,,,,,False,,,,,,False,False,,False,,,,,
02230,8,0.0,,0.0,,,,,,0.0,10.1,,,,,,,,-8.0,,-8.0,,,,,,-8.0,2.1,,,,,,,,,False,,,,,,False,True,,,,,,,
02240,232,250.0,,0.0,,,,,,751.3,53.4,,387.5,,,,,,18.0,,-232.0,,,,,,519.3,-178.6,,155.5,,,,,,,False,,,,,,False,False,,False,,,,,
02261,97,110.0,,,,,,,,151.4,78.7,,152.0,,,,,,13.0,,,,,,,,54.4,-18.3,,55.0,,,,,,,,,,,,,False,False,,False,,,,,
02275,6,0.0,,0.0,,,,,,0.0,0.8,,1.0,,,,,,-6.0,,-6.0,,,,,,-6.0,-5.2,,-5.0,,,,,,,False,,,,,,False,True,,True,,,,,
02282,12,20.0,,0.0,,,,,,21.3,0.0,,10.0,,,,,,8.0,,-12.0,,,,,,9.3,-12.0,,-2.0,,,,,,,False,,,,,,False,False,,True,,,,,
02290,72,35.0,,0.0,,,,,,9.0,11.8,,22.0,,,,,,-37.0,,-72.0,,,,,,-63.0,-60.2,,-50.0,,,,,,,False,,,,,,False,False,,False,,,,,
04001,2429,1185.0,,672.0,,,,1542.0,,1799.8,1143.4,,1206.0,,,495.3,,,-1244.0,,-1757.0,,,,-887.0,,-629.2,-1285.6,,-1223.0,,,-1933.7,,,,False,,,,True,,True,False,,True,,,False,,
04003,3310,1490.0,,2662.0,,,,1297.0,,9664.4,2520.4,,1923.0,,,627.4,,,-1820.0,,-648.0,,,,-2013.0,,6354.4,-789.6,,-1387.0,,,-2682.6,,,,True,,,,False,,False,True,,True,,,False,,
04005,3609,2375.0,,2870.0,,,,1559.0,,3192.6,2151.5,,2441.0,,,1040.3,,,-1234.0,,-739.0,,,,-2050.0,,-416.4,-1457.5,,-1168.0,,,-2568.7,,,,True,,,,False,,True,False,,True,,,False,,
04007,1613,1025.0,,862.0,,,,557.0,,803.3,755.9,,760.0,,,449.0,,,-588.0,,-751.0,,,,-1056.0,,-809.7,-857.1,,-853.0,,,-1164.0,,,,False,,,,False,,False,False,,False,,,False,,
04009,1120,1200.0,,1535.0,,,,486.0,,1891.5,803.5,,1211.0,,,507.3,,,80.0,,415.0,,,,-634.0,,771.5,-316.5,,91.0,,,-612.7,,,,False,,,,False,,False,False,,False,,,False,,
04011,226,95.0,,0.0,,,,88.0,,473.8,49.1,,10.0,,,,,,-131.0,,-226.0,,,,-138.0,,247.8,-176.9,,-216.0,,,,,,,False,,,,False,,False,False,,False,,,,,
04012,483,185.0,,138.0,,,,162.0,,327.5,116.5,,208.0,,,,,,-298.0,,-345.0,,,,-321.0,,-155.5,-366.5,,-275.0,,,,,,,False,,,,False,,True,False,,True,,,,,
04013,102114,46275.0,,74247.0,,,,31607.0,,46562.0,78451.5,,70041.5,,,20697.8,,,-55839.0,,-27867.0,,,,-70507.0,,-55552.0,-23662.5,,-32072.5,,,-81416.2,,,,True,,,,False,,True,True,,True,,,False,,
04015,4703,1700.0,,2800.0,,,,1513.0,,1925.9,2478.8,,3276.0,,,757.7,,,-3003.0,,-1903.0,,,,-3190.0,,-2777.1,-2224.2,,-1427.0,,,-3945.3,,,,True,,,,False,,True,True,,True,,,False,,
04017,3093,1600.0,,141.0,,,,2160.0,,1237.5,2480.9,,1709.0,,,602.9,,,-1493.0,,-2952.0,,,,-933.0,,-1855.5,-612.1,,-1384.0,,,-2490.1,,,,False,,,,True,,False,True,,True,,,False,,
04019,25839,10705.0,,15352.0,,,,6606.0,,21152.7,12982.0,,12743.5,,,4843.7,,,-15134.0,,-10487.0,,,,-19233.0,,-4686.3,-12857.0,,-13095.5,,,-20995.3,,,,True,,,,False,,True,True,,True,,,False,,
04021,9918,3985.0,,5819.0,,,,2923.0,,3392.6,6079.4,,4570.0,,,1750.1,,,-5933.0,,-4099.0,,,,-6995.0,,-6525.4,-3838.6,,-5348.0,,,-8167.9,,,,True,,,,False,,False,True,,True,,,False,,
04023,2051,760.0,,2.0,,,,388.0,,1471.4,755.1,,1029.0,,,332.9,,,-1291.0,,-2049.0,,,,-1663.0,,-579.6,-1295.9,,-1022.0,,,-1718.1,,,,False,,,,False,,True,False,,True,,,False,,
04025,5567,1470.0,,3279.0,,,,1600.0,,2577.2,3474.8,,2387.5,,,613.9,,,-4097.0,,-2288.0,,,,-3967.0,,-2989.8,-2092.2,,-3179.5,,,-4953.1,,,,True,,,,True,,True,True,,True,,,False,,
04027,9412,4295.0,,2058.0,,,,1323.0,,6758.8,5541.2,,4491.5,,,1917.6,,,-5117.0,,-7354.0,,,,-8089.0,,-2653.2,-3870.8,,-4920.5,,,-7494.4,,,,False,,,,False,,True,True,,True,,,False,,
05001,346,305.0,,205.0,,,,355.0,,81.0,197.8,,308.0,,,,,,-41.0,,-141.0,,,,9.0,,-265.0,-148.2,,-38.0,,,,,,,False,,,,True,,False,False,,True,,,,,
05003,475,290.0,,0.0,,,,272.0,,233.1,170.0,,286.5,,,,,,-185.0,,-475.0,,,,-203.0,,-241.9,-305.0,,-188.5,,,,,,,False,,,,False,,False,False,,False,,,,,
05005,737,865.0,,974.0,,,,568.0,,782.0,550.3,,817.0,,,,,,128.0,,237.0,,,,-169.0,,45.0,-186.7,,80.0,,,,,,,False,,,,False,,True,False,,True,,,,,
05007,5240,4275.0,,3691.0,,,,4791.0,,7174.3,3995.4,,5237.0,,,1995.2,,,-965.0,,-1549.0,,,,-449.0,,1934.3,-1244.6,,-3.0,,,-3244.8,,,,False,,,,True,,False,False,,True,,,False,,
05009,962,795.0,,1089.0,,,,569.0,,4189.1,486.2,,958.0,,,523.2,,,-167.0,,127.0,,,,-393.0,,3227.1,-475.8,,-4.0,,,-438.8,,,,True,,,,False,,False,False,,True,,,False,,
05011,407,50.0,,0.0,,,,195.0,,100.6,26.8,,19.0,,,,,,-357.0,,-407.0,,,,-212.0,,-306.4,-380.2,,-388.0,,,,,,,False,,,,True,,True,False,,False,,,,,
