,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Georgia,114736,62280.0,55683.9,53863.1,63652.0,54710.0,,67967.1,120901.0,104446.5,69750.9,,75981.0,80369.2,45329.3,73990.0,46734.9,64764.6,44045.5,49818.7,63806.4,86358.0,83716.0,,159113.0,59180.8,,60317.4,91869.0,,52397.3,64406.0,77590.7,-52456.0,-59052.1,-60872.9,-51084.0,-60026.0,,-46768.9,6165.0,-10289.5,-44985.1,,-38755.0,-34366.8,-69406.7,-40746.0,-68001.1,-49971.4,-70690.5,-64917.3,-50929.6,-28378.0,-31020.0,,44377.0,-55555.2,,-54418.6,-22867.0,,-62338.7,-50330.0,-37145.3,False,False,True,False,,True,True,True,True,,True,True,False,True,False,True,False,False,True,True,True,,True,False,,False,True,,False,True,True
Hawaii,2293,2163.0,5584.0,2189.6,2111.0,2529.0,,2266.3,1791.0,1535.8,3661.6,,,2197.5,1522.3,2588.0,3485.6,2114.5,2028.5,2073.6,2498.2,2404.0,2144.0,,1814.9,1905.0,,1662.9,3220.0,,2121.5,2939.0,1957.9,-130.0,3291.0,-103.4,-182.0,236.0,,-26.7,-502.0,-757.2,1368.6,,,-95.5,-770.7,295.0,1192.6,-178.5,-264.5,-219.4,205.2,111.0,-149.0,,-478.1,-388.0,,-630.1,927.0,,-171.5,646.0,-335.1,False,True,False,False,,True,False,False,False,,,True,False,False,False,False,False,False,False,True,False,,False,False,,False,False,,False,False,False
Idaho,29409,26478.0,24334.6,26144.7,25776.0,24156.0,,25997.8,29292.0,23553.6,33469.0,,29557.0,38335.8,23303.5,31840.0,15949.4,24932.3,27509.0,24485.6,31468.7,28749.0,30723.0,,26580.6,25129.8,,22741.6,52318.7,,13029.8,23147.0,30724.9,-2931.0,-5074.4,-3264.3,-3633.0,-5253.0,,-3411.2,-117.0,-5855.4,4060.0,,148.0,8926.8,-6105.5,2431.0,-13459.6,-4476.7,-1900.0,-4923.4,2059.7,-660.0,1314.0,,-2828.4,-4279.2,,-6667.4,22909.7,,-16379.2,-6262.0,1315.9,False,False,False,False,,False,True,False,False,,True,False,False,True,False,False,True,False,True,True,True,,True,False,,False,False,,False,False,True
Illinois,181431,199950.0,207751.0,201875.5,185193.0,165791.0,,188367.3,286452.0,291711.1,273712.2,,215538.0,298307.4,143344.4,225065.0,159201.7,135540.5,145212.0,155205.3,163090.7,179992.0,215203.0,,164048.1,467188.5,,281227.9,488194.6,136427.4,99833.5,164973.0,207068.4,18519.0,26320.0,20444.5,3762.0,-15640.0,,6936.3,105021.0,110280.1,92281.2,,34107.0,116876.4,-38086.6,43634.0,-22229.3,-45890.5,-36219.0,-26225.7,-18340.3,-1439.0,33772.0,,-17382.9,285757.5,,99796.9,306763.6,-45003.6,-81597.5,-16458.0,25637.4,False,False,True,True,,True,False,False,False,,False,False,False,False,False,False,False,False,True,True,False,,True,False,,False,False,False,False,True,False
Indiana,128863,119475.0,143303.3,117185.4,118903.0,100683.0,,114306.9,184832.0,157395.7,165683.7,,119876.0,180505.2,117265.3,137390.0,77457.4,66706.4,100456.5,88777.6,122243.4,128641.0,135090.0,,146388.6,217485.7,,138706.0,270426.9,97663.2,54220.7,107609.0,181520.5,-9388.0,14440.3,-11677.6,-9960.0,-28180.0,,-14556.1,55969.0,28532.7,36820.7,,-8987.0,51642.2,-11597.7,8527.0,-51405.6,-62156.6,-28406.5,-40085.4,-6619.6,-222.0,6227.0,,17525.6,88622.7,,9843.0,141563.9,-31199.8,-74642.3,-21254.0,52657.5,False,False,False,False,,False,False,False,False,,True,False,False,True,False,False,False,False,True,True,True,,False,False,,False,False,False,False,False,False
Iowa,39780,53928.0,47168.0,49488.3,49324.0,40819.0,,52970.6,110502.0,75979.9,68451.1,,60174.0,89454.3,31661.9,66652.0,35489.0,29272.2,29817.5,38122.4,52373.1,41732.0,63472.0,,5055.5,115291.7,,56163.4,168583.8,,16977.0,40134.0,68691.0,14148.0,7388.0,9708.3,9544.0,1039.0,,13190.6,70722.0,36199.9,28671.1,,20394.0,49674.3,-8118.1,26872.0,-4291.0,-10507.8,-9962.5,-1657.6,12593.1,1952.0,23692.0,,-34724.5,75511.7,,16383.4,128803.8,,-22803.0,354.0,28911.0,True,True,True,True,,True,False,False,False,,False,False,True,False,True,True,True,True,True,True,False,,False,False,,False,False,,False,True,False
Kansas,48029,55302.0,64320.3,55724.2,52337.0,47946.0,,52730.6,113291.0,21889.0,66467.9,,53545.0,84787.6,59526.7,66689.0,34681.6,41496.1,26172.0,37974.1,51701.6,69349.0,66482.0,,34550.7,77212.3,,51663.0,106574.8,,17381.5,39146.0,61974.9,7273.0,16291.3,7695.2,4308.0,-83.0,,4701.6,65262.0,-26140.0,18438.9,,5516.0,36758.6,11497.7,18660.0,-13347.4,-6532.9,-21857.0,-10054.9,3672.6,21320.0,18453.0,,-13478.3,29183.3,,3634.0,58545.8,,-30647.5,-8883.0,13945.9,False,False,True,True,,True,False,False,False,,True,False,False,False,False,True,False,False,True,False,False,,False,False,,True,False,,False,False,False
Kentucky,66381,54822.0,76606.4,54335.7,58839.0,55127.0,,59676.3,57462.0,65634.1,75155.2,,61136.0,81056.6,77258.6,67721.0,38293.9,64176.6,73125.0,56223.2,68150.3,67436.0,66776.0,,125152.4,67162.5,,50264.6,110191.6,,38029.9,58309.0,67593.9,-11559.0,10225.4,-12045.3,-7542.0,-11254.0,,-6704.7,-8919.0,-746.9,8774.2,,-5245.0,14675.6,10877.6,1340.0,-28087.1,-2204.4,6744.0,-10157.8,1769.3,1055.0,395.0,,58771.4,781.5,,-16116.4,43810.6,,-28351.1,-8072.0,1212.9,True,False,True,True,,True,True,True,True,,True,False,True,True,False,True,True,True,True,True,True,,False,True,,False,False,,False,True,True
Louisiana,51832,41679.0,55180.3,40950.4,47794.0,56299.0,,43690.4,40277.0,158046.3,48903.5,,48727.0,59056.9,77118.3,50372.0,46848.0,89490.8,61192.0,32873.3,52233.2,56456.0,61921.0,,88894.8,20842.0,,29753.5,93881.4,,15170.3,36667.0,47137.6,-10153.0,3348.3,-10881.6,-4038.0,4467.0,,-8141.6,-11555.0,106214.3,-2928.5,,-3105.0,7224.9,25286.3,-1460.0,-4984.0,37658.8,9360.0,-18958.7,401.2,4624.0,10089.0,,37062.8,-30990.0,,-22078.5,42049.4,,-36661.7,-15165.0,-4694.4,True,False,True,True,,True,False,False,True,,True,True,False,True,True,False,True,False,True,True,True,,False,False,,False,False,,False,False,True
Maine,7450,3495.0,3286.4,3226.6,3894.0,3244.0,,4032.8,10539.0,4444.7,4001.6,,5389.0,5826.9,4865.5,4546.0,5055.3,2177.0,4369.5,3421.8,6455.4,3518.0,9564.0,,2516.7,11757.4,,6019.1,7737.8,,1645.8,2904.0,4190.8,-3955.0,-4163.6,-4223.4,-3556.0,-4206.0,,-3417.2,3089.0,-3005.3,-3448.4,,-2061.0,-1623.1,-2584.5,-2904.0,-2394.7,-5273.0,-3080.5,-4028.2,-994.6,-3932.0,2114.0,,-4933.3,4307.4,,-1430.9,287.8,,-5804.2,-4546.0,-3259.2,False,False,True,False,,True,True,True,True,,True,True,True,True,True,False,True,False,True,True,True,,False,False,,True,True,,False,False,True
Maryland,54306,43431.0,74243.3,42481.7,47470.0,35671.0,,41606.3,97598.0,72685.3,57778.2,,48370.0,65742.2,65695.0,49908.0,47196.1,35221.8,37821.5,41766.8,59461.6,60159.0,53216.0,,95170.6,51943.5,,46107.6,74551.5,,31180.1,50922.0,62109.3,-10875.0,19937.3,-11824.3,-6836.0,-18635.0,,-12699.7,43292.0,18379.3,3472.2,,-5936.0,11436.2,11389.0,-4398.0,-7109.9,-19084.2,-16484.5,-12539.2,5155.6,5853.0,-1090.0,,40864.6,-2362.5,,-8198.4,20245.5,,-23125.9,-3384.0,7803.3,False,False,True,False,,False,False,False,True,,True,False,False,True,True,False,False,False,True,True,True,,False,True,,True,False,,False,True,True
Massachusetts,96801,54942.0,52006.8,55325.3,56599.0,44839.0,,53193.0,90666.0,57227.3,83886.1,,54668.0,80080.1,50037.1,64092.0,63171.9,71589.3,62768.0,57092.2,72930.4,55692.0,71816.0,,72840.2,116365.6,,70061.6,98932.9,,44467.0,56990.0,69209.7,-41859.0,-44794.2,-41475.7,-40202.0,-51962.0,,-43608.0,-6135.0,-39573.7,-12914.9,,-42133.0,-16720.9,-46763.9,-32709.0,-33629.1,-25211.7,-34033.0,-39708.8,-23870.6,-41109.0,-24985.0,,-23960.8,19564.6,,-26739.4,2131.9,,-52334.0,-39811.0,-27591.3,False,True,True,False,,False,True,True,True,,False,True,False,True,True,True,True,True,True,True,True,,True,True,,True,True,,False,True,True
Michigan,117904,147393.0,169348.4,152324.1,143433.0,123616.0,,144482.0,262395.0,153884.8,251243.0,,158612.0,226913.1,122259.7,176359.0,148317.8,109000.9,132492.0,130603.3,133074.5,150366.0,172955.0,,234887.9,394989.4,,136679.4,322158.4,141916.7,72529.5,139604.0,212655.2,29489.0,51444.4,34420.1,25529.0,5712.0,,26578.0,144491.0,35980.8,133339.0,,40708.0,109009.1,4355.7,58455.0,30413.8,-8903.1,14588.0,12699.3,15170.5,32462.0,55051.0,,116983.9,277085.4,,18775.4,204254.4,24012.7,-45374.5,21700.0,94751.2,False,False,True,True,,True,False,False,False,,False,False,True,False,False,True,True,True,True,False,False,,False,False,,True,False,True,False,True,False
Minnesota,90612,123213.0,133208.8,120775.6,124925.0,103284.0,,105882.5,295191.0,136650.0,185431.1,,121334.0,214037.3,122101.7,142147.0,66803.3,98216.7,142504.0,117694.9,134450.2,122914.0,140004.0,,129142.1,266476.4,,138068.6,292649.9,,116286.9,103854.0,201270.4,32601.0,42596.8,30163.6,34313.0,12672.0,,15270.5,204579.0,46038.0,94819.1,,30722.0,123425.3,31489.7,51535.0,-23808.7,7604.7,51892.0,27082.9,43838.2,32302.0,49392.0,,38530.1,175864.4,,47456.6,202037.9,,25674.9,13242.0,110658.4,False,True,False,True,,True,False,False,False,,True,False,True,False,True,True,False,True,False,True,False,,False,False,,False,False,,True,True,False
Mississippi,42171,22617.0,26530.3,22654.6,25680.0,22807.0,,22616.7,29161.0,39082.5,27437.7,,24553.0,30925.9,25209.7,28361.0,17179.8,35914.8,24137.0,28655.5,31572.2,30833.0,32772.0,,34258.6,18463.1,,24147.0,48090.1,,24456.5,19802.0,27408.5,-19554.0,-15640.7,-19516.4,-16491.0,-19364.0,,-19554.3,-13010.0,-3088.5,-14733.3,,-17618.0,-11245.1,-16961.3,-13810.0,-24991.2,-6256.2,-18034.0,-13515.5,-10598.8,-11338.0,-9399.0,,-7912.4,-23707.9,,-18024.0,5919.1,,-17714.5,-22369.0,-14762.5,True,True,True,True,,False,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,,True,False,,True,True,,True,False,True
Missouri,87161,78822.0,109473.7,78534.0,79057.0,64819.0,,80834.3,184502.0,91386.0,92703.1,,86145.0,121544.0,56118.3,94211.0,50653.5,53194.5,48524.5,69444.7,84298.1,78612.0,99390.0,,81169.4,155572.2,,97638.1,187615.1,,37625.6,65645.0,93029.3,-8339.0,22312.7,-8627.0,-8104.0,-22342.0,,-6326.7,97341.0,4225.0,5542.1,,-1016.0,34383.0,-31042.7,7050.0,-36507.5,-33966.5,-38636.5,-17716.3,-2862.9,-8549.0,12229.0,,-5991.6,68411.2,,10477.1,100454.1,,-49535.4,-21516.0,5868.3,False,False,True,False,,True,False,True,True,,True,False,False,True,False,False,False,False,True,False,False,,True,False,,False,False,,False,False,True
Montana,15774,18909.0,21467.9,20646.6,19978.0,15698.0,,20020.1,13305.0,13246.3,26280.1,,20005.0,31466.2,32016.3,22548.0,7926.4,25268.4,20590.0,17007.9,21287.5,17430.0,20957.0,,35880.4,27576.4,,12952.5,44206.2,,8355.8,14997.0,22273.9,3135.0,5693.9,4872.6,4204.0,-76.0,,4246.1,-2469.0,-2527.7,10506.1,,4231.0,15692.2,16242.3,6774.0,-7847.6,9494.4,4816.0,1233.9,5513.5,1656.0,5183.0,,20106.4,11802.4,,-2821.5,28432.2,,-7418.2,-777.0,6499.9,False,False,False,True,,False,True,True,False,,False,False,False,False,False,False,False,True,False,True,False,,False,False,,True,False,,False,True,False
Nebraska,30092,36882.0,35486.4,35522.9,34297.0,28525.0,,33731.6,55418.0,44739.1,51443.2,,42118.0,53314.1,19635.0,47646.0,22329.3,27284.1,24785.0,31294.7,40085.6,27894.0,43215.0,,21664.8,50149.0,,37890.1,92356.9,,16967.1,27827.0,44832.8,6790.0,5394.4,5430.9,4205.0,-1567.0,,3639.6,25326.0,14647.1,21351.2,,12026.0,23222.1,-10457.0,17554.0,-7762.7,-2807.9,-5307.0,1202.7,9993.6,-2198.0,13123.0,,-8427.2,20057.0,,7798.1,62264.9,,-13124.9,-2265.0,14740.8,True,True,True,True,,True,False,False,False,,False,False,False,False,False,True,True,True,False,True,False,,False,False,,False,False,,False,True,False
Nevada,52629,52488.0,72783.2,51548.8,57207.0,53731.0,,45433.3,73381.0,50725.3,62294.1,,51408.0,61542.7,64779.6,61034.0,41822.2,72801.9,68440.0,42050.4,60224.7,68221.0,56251.0,,62686.4,52254.2,,36414.0,73291.8,,31376.6,57297.0,89839.0,-141.0,20154.2,-1080.2,4578.0,1102.0,,-7195.7,20752.0,-1903.7,9665.1,,-1221.0,8913.7,12150.6,8405.0,-10806.8,20172.9,15811.0,-10578.6,7595.7,15592.0,3622.0,,10057.4,-374.8,,-16215.0,20662.8,,-21252.4,4668.0,37210.0,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False
New Hampshire,16220,8130.0,12727.7,8362.2,10306.0,8536.0,,9037.1,24102.0,8657.7,12813.4,,11023.0,13095.3,14887.1,9657.0,9259.7,10605.4,12196.5,9971.5,14499.9,10560.0,13309.0,,16272.8,18408.2,,10855.4,13791.5,,11686.4,8670.0,10652.6,-8090.0,-3492.3,-7857.8,-5914.0,-7684.0,,-7182.9,7882.0,-7562.3,-3406.6,,-5197.0,-3124.7,-1332.9,-6563.0,-6960.3,-5614.6,-4023.5,-6248.5,-1720.1,-5660.0,-2911.0,,52.8,2188.2,,-5364.6,-2428.5,,-4533.6,-7550.0,-5567.4,True,True,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,,True,True,True
New Jersey,112229,82542.0,92030.5,83395.1,87314.0,71866.0,,85303.1,187649.0,113417.8,112693.1,,82255.0,111538.7,94850.5,103033.0,96054.4,75531.6,87511.0,78623.8,102537.1,97848.0,98382.0,,92960.6,174619.9,,118081.0,158365.4,,57728.4,85033.0,121316.0,-29687.0,-20198.5,-28833.9,-24915.0,-40363.0,,-26925.9,75420.0,1188.8,464.1,,-29974.0,-690.3,-17378.5,-9196.0,-16174.6,-36697.4,-24718.0,-33605.2,-9691.9,-14381.0,-13847.0,,-19268.4,62390.9,,5852.0,46136.4,,-54500.6,-27196.0,9087.0,True,True,True,False,,True,False,True,True,,False,True,True,True,True,False,True,False,True,True,True,,True,False,,True,False,,False,True,True
