,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,44260,38669.0,40752.5,37858.0,41846.0,39080.0,,39397.3,36340.0,43298.2,47224.3,42225.2,,48954.0,35247.0,47606.0,40125.8,48069.3,41201.0,23723.0,52890.5,48446.1,47906.0,46788.8,46415.9,48630.0,41402.0,,45520.1,28432.2,,37624.2,37179.7,40535.2,,41714.0,37188.5,,-5591.0,-3507.5,-6402.0,-2414.0,-5180.0,,-4862.7,-7920.0,-961.8,2964.3,-2034.8,,4694.0,-9013.0,3346.0,-4134.2,3809.3,-3059.0,-20537.0,8630.5,4186.1,3646.0,2528.8,2155.9,4370.0,-2858.0,,1260.1,-15827.8,,-6635.8,-7080.3,-3724.8,,-2546.0,-7071.5,,True,False,True,True,,True,False,True,True,True,,True,False,True,True,True,True,False,False,True,True,True,True,True,True,,True,False,,False,False,True,,True,False,
Hawaii,864,773.0,822.6,778.4,747.0,762.0,,720.1,542.0,977.0,958.9,1002.2,,778.4,,,765.4,557.7,713.0,948.0,764.5,737.0,640.0,869.4,758.5,883.0,661.0,,892.5,652.5,,700.9,906.6,960.0,,816.0,751.9,676.9,-91.0,-41.4,-85.6,-117.0,-102.0,,-143.9,-322.0,113.0,94.9,138.2,,-85.6,,,-98.6,-306.3,-151.0,84.0,-99.5,-127.0,-224.0,5.4,-105.5,19.0,-203.0,,28.5,-211.5,,-163.1,42.6,96.0,,-48.0,-112.1,-187.1,True,True,False,False,,False,False,False,False,False,,True,,,False,False,False,True,False,False,False,True,False,True,False,,True,False,,False,True,False,,True,False,False
Idaho,8437,10927.0,13040.8,10883.7,10721.0,10381.0,,10998.6,8602.0,8842.5,10160.8,10470.0,,10515.6,11544.0,12553.0,12567.5,12309.4,12182.0,6145.1,9466.0,11232.3,8889.0,9164.6,9879.4,11950.0,10255.0,,12233.4,7827.1,,10299.3,12942.2,10378.0,,11396.0,12682.6,10776.1,2490.0,4603.8,2446.7,2284.0,1944.0,,2561.6,165.0,405.5,1723.8,2033.0,,2078.6,3107.0,4116.0,4130.5,3872.4,3745.0,-2291.9,1029.0,2795.3,452.0,727.6,1442.4,3513.0,1818.0,,3796.4,-609.9,,1862.3,4505.2,1941.0,,2959.0,4245.6,2339.1,False,True,True,True,,False,True,True,True,True,,True,False,False,False,False,False,True,True,False,True,True,True,False,True,,False,True,,True,False,True,,False,False,True
Illinois,52679,61713.0,68184.8,60510.6,60056.0,60018.0,,60652.7,62937.0,57349.6,57616.7,69365.6,,58496.3,65933.0,65874.0,63770.3,48945.5,52724.0,43950.3,62326.0,56037.8,52250.5,57548.4,56699.7,59812.0,53901.0,,59363.8,34481.1,,68068.9,87115.4,61616.3,65299.0,60093.0,65604.0,,9034.0,15505.8,7831.6,7377.0,7339.0,,7973.7,10258.0,4670.6,4937.7,16686.6,,5817.3,13254.0,13195.0,11091.3,-3733.5,45.0,-8728.7,9647.0,3358.8,-428.5,4869.4,4020.7,7133.0,1222.0,,6684.8,-18197.9,,15389.9,34436.4,8937.3,12620.0,7414.0,12925.0,,False,True,True,True,,True,False,True,True,False,,True,False,False,False,True,True,True,False,True,True,True,True,True,True,,True,False,,False,False,True,False,True,False,
Indiana,38335,44517.0,50001.8,44384.6,44517.0,41221.0,,46562.9,54411.0,42981.3,40958.2,51300.9,,47948.0,50091.0,48488.0,50282.4,39705.3,43773.0,24887.6,45472.0,48076.5,37679.0,43367.4,45721.9,48445.0,38853.0,,48388.5,28026.0,,40883.3,60675.8,43936.4,43861.7,47018.0,50572.0,41126.4,6182.0,11666.8,6049.6,6182.0,2886.0,,8227.9,16076.0,4646.3,2623.2,12965.9,,9613.0,11756.0,10153.0,11947.4,1370.3,5438.0,-13447.4,7137.0,9741.5,-656.0,5032.4,7386.9,10110.0,518.0,,10053.5,-10309.0,,2548.3,22340.8,5601.4,5526.7,8683.0,12237.0,2791.4,False,True,False,True,,False,False,True,True,False,,False,False,False,False,True,True,False,False,False,True,True,False,False,True,,False,False,,True,False,True,True,False,False,True
Iowa,11950,11624.0,18675.5,11682.7,10971.0,10184.0,,12168.2,23779.0,11076.8,8184.4,12062.3,,9414.1,13228.0,15082.0,12103.6,8062.3,11369.0,7431.2,11897.0,9265.9,8711.0,11265.1,10184.0,10296.0,10392.0,,8208.5,8802.7,,11511.6,27938.0,13935.8,,10894.0,15979.6,9573.2,-326.0,6725.5,-267.3,-979.0,-1766.0,,218.2,11829.0,-873.2,-3765.6,112.3,,-2535.9,1278.0,3132.0,153.6,-3887.7,-581.0,-4518.8,-53.0,-2684.1,-3239.0,-684.9,-1766.0,-1654.0,-1558.0,,-3741.5,-3147.3,,-438.4,15988.0,1985.8,,-1056.0,4029.6,-2376.8,False,True,False,False,,True,False,False,False,True,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False
Kansas,15197,17097.0,22240.4,16801.9,16068.0,15728.0,,17065.6,24507.0,5945.9,20576.1,14930.4,,14870.5,15158.0,17890.0,17844.1,13240.1,18805.0,9177.4,13277.5,18443.8,15488.0,13638.7,17029.7,17820.0,16107.0,,15307.4,19201.3,,17415.6,26058.9,18020.5,,17032.0,21544.1,13480.1,1900.0,7043.4,1604.9,871.0,531.0,,1868.6,9310.0,-9251.1,5379.1,-266.6,,-326.5,-39.0,2693.0,2647.1,-1956.9,3608.0,-6019.6,-1919.5,3246.8,291.0,-1558.3,1832.7,2623.0,910.0,,110.4,4004.3,,2218.6,10861.9,2823.5,,1835.0,6347.1,-1716.9,False,True,True,True,,True,False,False,False,True,,True,True,False,False,False,False,False,False,False,True,True,True,False,True,,True,False,,False,False,False,,True,False,True
Kentucky,19904,22595.0,24431.4,23118.0,23428.0,21703.0,,23715.7,20305.0,19353.0,21958.6,26105.5,,24981.8,26148.0,28246.0,27106.6,23333.4,22360.0,12683.0,23713.5,29402.8,21219.5,22941.2,23806.8,25773.0,20094.0,,26198.8,23246.9,,21235.2,31099.3,23717.7,,24246.0,27221.4,25002.7,2691.0,4527.4,3214.0,3524.0,1799.0,,3811.7,401.0,-551.0,2054.6,6201.5,,5077.8,6244.0,8342.0,7202.6,3429.4,2456.0,-7221.0,3809.5,9498.8,1315.5,3037.2,3902.8,5869.0,190.0,,6294.8,3342.9,,1331.2,11195.3,3813.7,,4342.0,7317.4,5098.7,False,False,False,True,,False,True,True,True,False,,False,False,False,False,False,True,False,False,False,True,False,False,False,True,,False,False,,True,False,False,,False,False,False
Louisiana,18243,17014.0,20876.2,17360.6,17914.0,16884.0,,18669.5,26493.0,112263.1,16240.4,14798.2,,19954.9,12840.0,18790.0,19033.8,19057.6,16276.0,12627.4,17135.5,23338.3,16339.5,17951.6,19110.2,18854.0,17853.0,,16173.2,28543.3,,15450.9,23264.1,17627.5,,16860.0,21600.5,17584.7,-1229.0,2633.2,-882.4,-329.0,-1359.0,,426.5,8250.0,94020.1,-2002.6,-3444.8,,1711.9,-5403.0,547.0,790.8,814.6,-1967.0,-5615.6,-1107.5,5095.3,-1903.5,-291.4,867.2,611.0,-390.0,,-2069.8,10300.3,,-2792.1,5021.1,-615.5,,-1383.0,3357.5,-658.3,False,True,True,False,,True,False,False,False,False,,False,False,True,True,True,False,False,True,False,False,True,True,True,True,,False,False,,False,False,True,,False,False,True
Maine,3118,2493.0,2038.4,2461.1,2624.0,2955.0,,2328.3,2643.0,1919.6,2782.4,2451.5,,3017.8,2081.0,3091.0,2584.7,3029.2,2872.0,2005.5,2216.5,2580.3,2610.0,2637.4,2699.6,2848.0,2816.0,,3071.4,2627.8,,2747.3,2296.9,2588.4,,2730.0,2567.8,1965.5,-625.0,-1079.6,-656.9,-494.0,-163.0,,-789.7,-475.0,-1198.4,-335.6,-666.5,,-100.2,-1037.0,-27.0,-533.3,-88.8,-246.0,-1112.5,-901.5,-537.7,-508.0,-480.6,-418.4,-270.0,-302.0,,-46.6,-490.2,,-370.7,-821.1,-529.6,,-388.0,-550.2,-1152.5,False,False,True,True,,False,True,False,True,False,,True,False,True,True,True,True,False,False,True,True,True,True,True,True,,True,True,,True,False,True,,True,True,False
Maryland,16745,19625.0,21011.2,19872.6,20682.0,21353.0,,20278.3,27510.0,22174.5,21856.7,21477.6,,22315.7,20197.0,23175.0,21113.7,20626.6,21182.0,14453.8,20361.0,22297.3,20045.0,20736.9,20836.3,22819.0,20292.0,,21969.4,19338.0,,19554.4,24009.1,19247.2,,20312.0,23554.8,18686.6,2880.0,4266.2,3127.6,3937.0,4608.0,,3533.3,10765.0,5429.5,5111.7,4732.6,,5570.7,3452.0,6430.0,4368.7,3881.6,4437.0,-2291.2,3616.0,5552.3,3300.0,3991.9,4091.3,6074.0,3547.0,,5224.4,2593.0,,2809.4,7264.1,2502.2,,3567.0,6809.8,1941.6,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,True,,True,False,True,,False,False,True
Massachusetts,33545,33708.0,40958.7,33891.7,38378.0,36571.0,,36184.9,34257.0,22639.1,41192.6,44478.5,,45369.5,27372.0,39409.0,39289.3,48459.9,38296.0,25207.6,32419.0,42498.6,39836.0,37347.1,39477.4,33932.0,33569.0,,42723.5,26364.4,,35644.2,36621.1,29703.6,,42558.0,43379.1,43977.2,163.0,7413.7,346.7,4833.0,3026.0,,2639.9,712.0,-10905.9,7647.6,10933.5,,11824.5,-6173.0,5864.0,5744.3,14914.9,4751.0,-8337.4,-1126.0,8953.6,6291.0,3802.1,5932.4,387.0,24.0,,9178.5,-7180.6,,2099.2,3076.1,-3841.4,,9013.0,9834.1,10432.2,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,,False,False,False,,False,False,False
Michigan,30897,38583.0,47824.1,38896.7,39150.0,32397.0,,42418.3,49269.0,66523.1,28405.4,46049.5,,39150.1,45873.0,46802.0,47919.9,38288.0,38580.0,30090.4,47301.5,38719.7,29487.0,33491.4,36197.8,40869.0,32334.0,,36389.7,40670.6,,44829.4,69157.4,38976.6,26034.2,37006.0,55852.7,44750.0,7686.0,16927.1,7999.7,8253.0,1500.0,,11521.3,18372.0,35626.1,-2491.6,15152.5,,8253.1,14976.0,15905.0,17022.9,7391.0,7683.0,-806.6,16404.5,7822.7,-1410.0,2594.4,5300.8,9972.0,1437.0,,5492.7,9773.6,,13932.4,38260.4,8079.6,-4862.8,6109.0,24955.7,13853.0,False,False,False,True,,False,False,False,True,False,,False,False,False,False,True,True,True,False,False,True,True,True,False,True,,True,False,,False,False,False,True,True,False,False
Minnesota,19237,30117.0,37854.0,31331.5,28009.0,26641.0,,33013.1,44275.0,21967.1,21756.3,30600.6,,26668.2,35006.0,34644.0,35631.5,24664.8,27518.0,17485.9,28423.0,25832.2,18226.0,24063.8,26800.5,27865.0,25243.0,,27698.8,25711.4,,28319.6,58641.2,26717.2,,29160.0,46174.7,32052.9,10880.0,18617.0,12094.5,8772.0,7404.0,,13776.1,25038.0,2730.1,2519.3,11363.6,,7431.2,15769.0,15407.0,16394.5,5427.8,8281.0,-1751.1,9186.0,6595.2,-1011.0,4826.8,7563.5,8628.0,6006.0,,8461.8,6474.4,,9082.6,39404.2,7480.2,,9923.0,26937.7,12815.9,False,False,True,True,,False,False,True,True,False,,True,False,False,False,True,True,True,True,True,True,True,True,True,True,,True,True,,True,False,True,,True,False,False
Mississippi,14164,14489.0,17806.9,14645.7,14900.0,11735.0,,14659.2,12279.0,14288.1,16326.5,15909.4,,18076.6,15244.0,15242.0,16584.5,18173.0,15837.0,6670.3,13777.0,15306.5,15059.0,14568.9,15759.7,17574.0,14343.0,,18263.6,5982.4,,13976.7,17091.5,14481.1,,17159.0,17257.8,17635.6,325.0,3642.9,481.7,736.0,-2429.0,,495.2,-1885.0,124.1,2162.5,1745.4,,3912.6,1080.0,1078.0,2420.5,4009.0,1673.0,-7493.7,-387.0,1142.5,895.0,404.9,1595.7,3410.0,179.0,,4099.6,-8181.6,,-187.3,2927.5,317.1,,2995.0,3093.8,3471.6,False,False,False,False,,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,,True,False,True,,False,False,False
Missouri,22053,24800.0,28996.7,24412.3,24631.0,21519.0,,24353.8,34380.0,26200.8,25041.6,29788.0,,22698.1,28566.0,28896.0,24852.2,18597.4,24419.0,14546.2,28745.0,23114.9,20143.5,25805.7,23510.5,25009.0,24170.0,,21674.3,14006.0,,24630.6,37613.9,24807.2,,25712.0,29010.2,,2747.0,6943.7,2359.3,2578.0,-534.0,,2300.8,12327.0,4147.8,2988.6,7735.0,,645.1,6513.0,6843.0,2799.2,-3455.6,2366.0,-7506.8,6692.0,1061.9,-1909.5,3752.7,1457.5,2956.0,2117.0,,-378.7,-8047.0,,2577.6,15560.9,2754.2,,3659.0,6957.2,,False,True,True,True,,True,False,False,False,False,,True,False,False,False,False,True,False,False,True,True,False,True,False,True,,True,False,,True,False,False,,False,False,
