,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,82929,63614.0,81934.3,62696.4,66767.0,74120.0,,45721.0,71615.0,80353.8,86229.8,,67159.9,68270.0,58867.0,58467.3,66946.4,75132.0,32500.3,103023.0,63683.7,66753.0,69639.2,66263.4,67360.8,79212.0,79772.0,,104938.4,39059.5,,69111.8,51182.0,83235.6,,62626.0,68541.5,,-19315.0,-994.7,-20232.6,-16162.0,-8809.0,,-37208.0,-11314.0,-2575.2,3300.8,,-15769.1,-14659.0,-24062.0,-24461.7,-15982.6,-7797.0,-50428.7,20094.0,-19245.3,-16176.0,-13289.8,-16665.6,-15568.2,-3717.0,-3157.0,,22009.4,-43869.5,,-13817.2,-31747.0,306.6,,-20303.0,-14387.5,,True,False,True,True,,False,True,True,True,,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,,False,False,,True,False,True,,False,True,
Hawaii,1637,1312.0,2779.9,1329.2,1309.0,1289.0,,1314.0,1114.0,1224.9,2206.8,,1326.1,,,1377.6,1250.1,1406.0,1664.1,1290.0,1400.2,1227.0,1721.8,1722.6,1702.4,1398.0,1362.0,,1355.3,1206.1,,1098.5,2110.7,1911.2,,1311.0,1143.0,149.9,-325.0,1142.9,-307.8,-328.0,-348.0,,-323.0,-523.0,-412.1,569.8,,-310.9,,,-259.4,-386.9,-231.0,27.1,-347.0,-236.8,-410.0,84.8,85.6,65.4,-239.0,-275.0,,-281.7,-430.9,,-538.5,473.7,274.2,,-326.0,-494.0,-1487.1,False,True,False,False,,True,False,False,False,,True,,,True,False,True,True,False,True,False,True,True,True,True,True,,True,False,,False,False,True,,False,False,False
Idaho,19364,20090.0,27263.9,20303.4,19818.0,19298.0,,18944.7,18080.0,19664.5,16233.2,,18334.6,21678.0,21398.0,23072.5,18140.4,19307.0,11512.3,18333.5,21001.1,18307.0,19866.2,18106.6,18706.5,21567.0,21013.0,,18408.3,16262.8,,20858.4,28150.3,19860.3,,18848.0,22452.0,2783.4,726.0,7899.9,939.4,454.0,-66.0,,-419.3,-1284.0,300.5,-3130.8,,-1029.4,2314.0,2034.0,3708.5,-1223.6,-57.0,-7851.7,-1030.5,1637.1,-1057.0,502.2,-1257.4,-657.5,2203.0,1649.0,,-955.7,-3101.2,,1494.4,8786.3,496.3,,-516.0,3088.0,-16580.6,False,False,True,True,,True,False,True,False,,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,,False,False,,False,False,True,,True,False,False
Illinois,114392,134078.0,143554.7,127911.4,129903.0,141815.0,,127713.5,152032.0,165197.2,111476.1,,114179.8,150204.0,128521.0,139390.0,100058.1,126648.0,91674.7,140609.5,110939.2,117179.0,120798.7,105658.2,103790.3,115613.0,128117.0,,146758.5,80440.7,,155542.0,209892.9,141264.8,114033.8,117425.0,137595.4,,19686.0,29162.7,13519.4,15511.0,27423.0,,13321.5,37640.0,50805.2,-2915.9,,-212.2,35812.0,14129.0,24998.0,-14333.9,12256.0,-22717.3,26217.5,-3452.8,2787.0,6406.7,-8733.8,-10601.7,1221.0,13725.0,,32366.5,-33951.3,,41150.0,95500.9,26872.8,-358.2,3033.0,23203.4,,False,True,True,False,,True,False,False,True,,True,False,True,False,True,True,False,False,True,True,True,True,True,True,True,,False,False,,False,False,False,True,True,False,
Indiana,82852,92022.0,106520.6,93373.5,95677.0,89721.0,,88979.4,114003.0,99657.4,82736.2,,95981.9,116299.0,89930.0,114325.7,78589.2,83587.0,51599.0,94781.0,96594.0,103494.0,98677.0,86491.9,87954.3,93865.0,89791.0,,129974.8,61852.3,,111731.0,134541.1,99648.1,80780.9,98936.0,122585.6,12806.4,9170.0,23668.6,10521.5,12825.0,6869.0,,6127.4,31151.0,16805.4,-115.8,,13129.9,33447.0,7078.0,31473.7,-4262.8,735.0,-31253.0,11929.0,13742.0,20642.0,15825.0,3639.9,5102.3,11013.0,6939.0,,47122.8,-20999.7,,28879.0,51689.1,16796.1,-2071.1,16084.0,39733.6,-70045.6,False,False,False,True,,True,False,False,True,,False,False,True,False,True,True,False,False,False,False,False,True,True,False,True,,False,False,,False,False,False,True,False,False,False
Iowa,23574,32412.0,42155.3,33151.7,31786.0,23826.0,,31922.2,62981.0,36808.0,25582.8,,21289.5,36674.0,35126.0,33773.4,18450.8,35421.0,18359.3,31085.0,21114.6,22894.0,26030.9,24592.7,22977.5,25222.0,33236.0,,28779.8,21023.3,,32372.0,73745.6,38527.7,,22412.0,38423.9,3358.9,8838.0,18581.3,9577.7,8212.0,252.0,,8348.2,39407.0,13234.0,2008.8,,-2284.5,13100.0,11552.0,10199.4,-5123.2,11847.0,-5214.7,7511.0,-2459.4,-680.0,2456.9,1018.7,-596.5,1648.0,9662.0,,5205.8,-2550.7,,8798.0,50171.6,14953.7,,-1162.0,14849.9,-20215.1,False,False,True,True,,True,False,False,True,,True,False,False,False,True,False,True,True,True,True,True,True,True,True,False,,True,True,,True,False,False,,True,False,False
Kansas,32312,31726.0,51720.9,31340.8,30655.0,27166.0,,35718.5,49438.0,17363.9,10743.0,,4014.4,37457.0,30630.0,43906.4,29463.0,35723.0,20054.2,28528.0,24889.0,21610.5,24397.7,27708.4,29570.5,31746.0,30307.0,,26965.0,39518.9,,31386.6,65802.8,36976.4,,19425.0,33137.5,5465.6,-586.0,19408.9,-971.2,-1657.0,-5146.0,,3406.5,17126.0,-14948.1,-21569.0,,-28297.6,5145.0,-1682.0,11594.4,-2849.0,3411.0,-12257.8,-3784.0,-7423.0,-10701.5,-7914.3,-4603.6,-2741.5,-566.0,-2005.0,,-5347.0,7206.9,,-925.4,33490.8,4664.4,,-12887.0,825.5,-26846.4,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,False,,False,False,False
Kentucky,42499,47764.0,62508.7,47946.1,48910.0,47587.0,,46032.3,38838.0,50459.8,59090.2,,55019.7,49796.0,45174.0,60042.2,52436.3,44491.0,25095.7,53399.0,58049.7,45508.5,47831.6,45275.0,46854.6,54033.0,49098.0,,68147.4,45837.0,,55254.2,62308.4,57152.5,,51000.0,57447.0,7796.2,5265.0,20009.7,5447.1,6411.0,5088.0,,3533.3,-3661.0,7960.8,16591.2,,12520.7,7297.0,2675.0,17543.2,9937.3,1992.0,-17403.3,10900.0,15550.7,3009.5,5332.6,2776.0,4355.6,11534.0,6599.0,,25648.4,3338.0,,12755.2,19809.4,14653.5,,8501.0,14948.0,-34702.8,False,False,False,True,,True,True,False,False,,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,,False,True,,False,False,False,,False,False,False
Louisiana,35257,33150.0,36460.5,33907.8,36275.0,36769.0,,36827.8,36827.0,306957.8,60147.8,,31388.9,29885.0,38472.0,42650.5,66317.5,34916.0,26712.8,33247.5,62655.2,28936.0,34348.3,45843.1,45108.9,35771.0,39642.0,,28334.7,52808.0,,29368.8,52326.0,39599.3,,34718.0,38452.9,5493.7,-2107.0,1203.5,-1349.2,1018.0,1512.0,,1570.8,1570.0,271700.8,24890.8,,-3868.1,-5372.0,3215.0,7393.5,31060.5,-341.0,-8544.2,-2009.5,27398.2,-6321.0,-908.7,10586.1,9851.9,514.0,4385.0,,-6922.3,17551.0,,-5888.2,17069.0,4342.3,,-539.0,3195.9,-29763.3,True,True,True,True,,True,True,False,False,,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,,False,False,,False,False,False,,True,False,False
Maine,5611,3678.0,3909.8,3493.3,3806.0,4390.0,,2787.3,5004.0,2580.6,7367.9,,1977.9,3738.0,4109.0,3722.4,3621.1,3971.0,3404.6,3269.0,3982.4,3925.0,3951.6,3927.5,4071.0,3921.0,5717.0,,5318.1,5253.2,,4724.4,4390.6,4575.4,,3631.0,3822.0,460.5,-1933.0,-1701.2,-2117.7,-1805.0,-1221.0,,-2823.7,-607.0,-3030.4,1756.9,,-3633.1,-1873.0,-1502.0,-1888.6,-1989.9,-1640.0,-2206.4,-2342.0,-1628.6,-1686.0,-1659.4,-1683.5,-1540.0,-1690.0,106.0,,-292.9,-357.8,,-886.6,-1220.4,-1035.6,,-1980.0,-1789.0,-5150.5,True,False,True,True,,False,True,False,True,,False,True,True,True,False,True,False,False,True,True,True,True,True,True,True,,True,True,,True,True,True,,False,True,False
Maryland,36370,35872.0,42901.0,35557.1,40220.0,42495.0,,35668.7,58248.0,46921.4,45765.7,,44602.2,36431.0,33049.0,40991.0,36234.8,33967.0,31092.3,37520.0,43735.2,36555.5,42264.7,40972.5,41447.3,42106.0,41939.0,,48050.0,36694.6,,41066.3,49344.3,38005.8,,36413.0,42698.0,7550.3,-498.0,6531.0,-812.9,3850.0,6125.0,,-701.3,21878.0,10551.4,9395.7,,8232.2,61.0,-3321.0,4621.0,-135.2,-2403.0,-5277.7,1150.0,7365.2,185.5,5894.7,4602.5,5077.3,5736.0,5569.0,,11680.0,324.6,,4696.3,12974.3,1635.8,,43.0,6328.0,-28819.7,False,False,False,False,,False,False,False,False,,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,,False,True,,False,False,False,,True,False,False
Massachusetts,67253,59096.0,60680.9,61040.9,62450.0,81425.0,,48121.5,58394.0,48920.7,66468.0,,69120.4,58016.0,59152.0,54666.0,68858.6,71917.0,48009.0,52095.0,78496.6,73313.0,72994.7,72727.8,73104.5,52017.0,66902.0,,66879.1,50819.8,,70418.4,61978.6,56758.8,,74951.0,86075.4,6349.2,-8157.0,-6572.1,-6212.1,-4803.0,14172.0,,-19131.5,-8859.0,-18332.3,-785.0,,1867.4,-9237.0,-8101.0,-12587.0,1605.6,4664.0,-19244.0,-15158.0,11243.6,6060.0,5741.7,5474.8,5851.5,-15236.0,-351.0,,-373.9,-16433.2,,3165.4,-5274.4,-10494.2,,7698.0,18822.4,-60903.8,True,True,True,False,,False,False,False,True,,True,False,True,False,True,True,False,False,False,True,True,True,True,False,True,,True,False,,True,True,False,,True,False,False
Michigan,69480,96848.0,122899.0,94398.3,99989.0,84892.0,,107567.2,124959.0,138426.2,71267.4,,103251.9,121601.0,109017.0,122399.6,97577.4,99331.0,75111.4,116363.0,104090.3,79589.5,88398.0,83072.6,84858.7,102352.0,91617.0,,91965.0,86047.0,,104564.6,170453.9,94962.3,82594.0,74055.0,141802.7,15420.5,27368.0,53419.0,24918.3,30509.0,15412.0,,38087.2,55479.0,68946.2,1787.4,,33771.9,52121.0,39537.0,52919.6,28097.4,29851.0,5631.4,46883.0,34610.3,10109.5,18918.0,13592.6,15378.7,32872.0,22137.0,,22485.0,16567.0,,35084.6,100973.9,25482.3,13114.0,4575.0,72322.7,-54059.5,False,True,False,True,,False,False,False,True,,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,,True,True,,False,False,True,True,True,False,False
Minnesota,49354,82516.0,82462.8,83401.3,80451.0,79886.0,,88326.1,170289.0,67432.8,78932.8,,70808.1,96332.0,85286.0,100087.0,62898.1,78216.0,39672.2,77081.0,69505.9,49331.5,69849.3,74751.4,74038.6,74409.0,76278.0,,73026.9,57346.6,,89825.7,145120.3,74307.9,,81003.0,128263.1,14363.9,33162.0,33108.8,34047.3,31097.0,30532.0,,38972.1,120935.0,18078.8,29578.8,,21454.1,46978.0,35932.0,50733.0,13544.1,28862.0,-9681.8,27727.0,20151.9,-22.5,20495.3,25397.4,24684.6,25055.0,26924.0,,23672.9,7992.6,,40471.7,95766.3,24953.9,,31649.0,78909.1,-34990.1,True,False,True,True,,False,False,True,True,,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,,False,False,True,,True,False,False
Mississippi,28653,27036.0,22879.2,27295.8,26647.0,23147.0,,21983.7,22873.0,29709.5,28310.9,,32190.2,26753.0,26946.0,27378.0,33574.4,30423.0,12960.7,24662.0,25704.7,26795.0,27135.8,27123.7,27595.5,31686.0,32057.0,,36636.5,12163.4,,23165.8,25225.2,28639.8,,31370.0,29338.0,3762.1,-1617.0,-5773.8,-1357.2,-2006.0,-5506.0,,-6669.3,-5780.0,1056.5,-342.1,,3537.2,-1900.0,-1707.0,-1275.0,4921.4,1770.0,-15692.3,-3991.0,-2948.3,-1858.0,-1517.2,-1529.3,-1057.5,3033.0,3404.0,,7983.5,-16489.6,,-5487.2,-3427.8,-13.2,,2717.0,685.0,-24890.9,False,True,False,False,,False,False,True,True,,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,,False,False,,False,False,True,,False,True,False
