,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01083,2568,1680.0,,2378.0,,,,,937.0,,1757.4,1417.0,843.3,1351.0,-888.0,,-190.0,,,,,-1631.0,,-810.6,-1151.0,-1724.7,-1217.0,,True,,,,,False,,True,False,False,False
01085,149,114.0,,0.0,,,,,42.0,,92.7,81.0,,0.0,-35.0,,-149.0,,,,,-107.0,,-56.3,-68.0,,-149.0,,False,,,,,False,,False,False,,False
01087,287,240.0,,370.0,,,,,65.0,,309.7,401.0,,198.0,-47.0,,83.0,,,,,-222.0,,22.7,114.0,,-89.0,,False,,,,,False,,True,False,,False
01089,8720,3624.0,,8947.0,,,,,2595.0,,3042.0,3339.5,2207.7,642.0,-5096.0,,227.0,,,,,-6125.0,,-5678.0,-5380.5,-6512.3,-8078.0,,True,,,,,False,,False,False,False,False
01091,502,174.0,,50.0,,,,,142.0,,155.2,110.0,113.6,36.0,-328.0,,-452.0,,,,,-360.0,,-346.8,-392.0,-388.4,-466.0,,False,,,,,False,,False,False,False,False
01093,632,492.0,,1194.0,,,,,300.0,,488.9,657.5,270.5,359.0,-140.0,,562.0,,,,,-332.0,,-143.1,25.5,-361.5,-273.0,,False,,,,,False,,False,True,False,False
01095,3473,1632.0,,2967.0,,,,,1065.0,,1427.4,2484.0,662.8,2528.0,-1841.0,,-506.0,,,,,-2408.0,,-2045.6,-989.0,-2810.2,-945.0,,True,,,,,False,,False,True,False,True
01097,5446,2808.0,,3977.0,,,,,2667.0,,2227.6,3374.0,1444.6,542.0,-2638.0,,-1469.0,,,,,-2779.0,,-3218.4,-2072.0,-4001.4,-4904.0,,True,,,,,False,,False,True,False,False
01099,332,144.0,,68.0,,,,,105.0,,121.9,114.0,,104.0,-188.0,,-264.0,,,,,-227.0,,-210.1,-218.0,,-228.0,,False,,,,,False,,False,False,,False
01101,3600,2556.0,,3427.0,,,,,1112.0,,2198.0,2526.5,1355.6,1888.0,-1044.0,,-173.0,,,,,-2488.0,,-1402.0,-1073.5,-2244.4,-1712.0,,True,,,,,False,,False,False,False,False
01103,4404,2064.0,,2612.0,,,,,1216.0,,2481.2,2019.0,825.2,801.0,-2340.0,,-1792.0,,,,,-3188.0,,-1922.8,-2385.0,-3578.8,-3603.0,,True,,,,,False,,True,False,False,False
01105,168,84.0,,0.0,,,,,43.0,,67.9,48.0,,53.0,-84.0,,-168.0,,,,,-125.0,,-100.1,-120.0,,-115.0,,False,,,,,False,,False,False,,False
01107,560,450.0,,277.0,,,,,143.0,,573.8,341.5,,134.0,-110.0,,-283.0,,,,,-417.0,,13.8,-218.5,,-426.0,,False,,,,,False,,True,False,,False
01109,385,276.0,,233.0,,,,,187.0,,247.7,281.0,128.9,313.0,-109.0,,-152.0,,,,,-198.0,,-137.3,-104.0,-256.1,-72.0,,False,,,,,False,,False,True,False,True
01111,275,174.0,,198.0,,,,,166.0,,168.5,96.0,,104.0,-101.0,,-77.0,,,,,-109.0,,-106.5,-179.0,,-171.0,,True,,,,,False,,False,False,,False
01113,559,108.0,,111.0,,,,,303.0,,104.4,81.0,67.8,30.0,-451.0,,-448.0,,,,,-256.0,,-454.6,-478.0,-491.2,-529.0,,True,,,,,True,,False,False,False,False
01115,2246,1446.0,,1538.0,,,,,588.0,,1872.0,1493.0,591.2,19.0,-800.0,,-708.0,,,,,-1658.0,,-374.0,-753.0,-1654.8,-2227.0,,True,,,,,False,,True,True,False,False
01117,5515,2796.0,,3762.0,,,,,1168.0,,2320.2,3594.0,1718.3,1515.0,-2719.0,,-1753.0,,,,,-4347.0,,-3194.8,-1921.0,-3796.7,-4000.0,,True,,,,,False,,False,True,False,False
01119,231,114.0,,75.0,,,,,65.0,,54.1,111.0,,129.0,-117.0,,-156.0,,,,,-166.0,,-176.9,-120.0,,-102.0,,False,,,,,False,,False,False,,True
01121,1690,828.0,,580.0,,,,,585.0,,763.2,945.5,525.5,512.0,-862.0,,-1110.0,,,,,-1105.0,,-926.8,-744.5,-1164.5,-1178.0,,False,,,,,False,,False,True,False,False
01123,689,414.0,,80.0,,,,,230.0,,422.3,565.0,202.2,211.0,-275.0,,-609.0,,,,,-459.0,,-266.7,-124.0,-486.8,-478.0,,False,,,,,False,,True,True,False,False
01125,5375,2442.0,,1858.0,,,,,1766.0,,1842.7,2965.0,1355.0,716.0,-2933.0,,-3517.0,,,,,-3609.0,,-3532.3,-2410.0,-4020.0,-4659.0,,False,,,,,False,,False,True,False,False
01127,1569,1080.0,,1485.0,,,,,644.0,,1231.7,1150.0,519.6,548.0,-489.0,,-84.0,,,,,-925.0,,-337.3,-419.0,-1049.4,-1021.0,,True,,,,,False,,True,True,False,False
01129,277,228.0,,2.0,,,,,121.0,,208.5,305.0,,52.0,-49.0,,-275.0,,,,,-156.0,,-68.5,28.0,,-225.0,,False,,,,,False,,False,True,,False
01131,220,96.0,,0.0,,,,,44.0,,66.8,74.0,,30.0,-124.0,,-220.0,,,,,-176.0,,-153.2,-146.0,,-190.0,,False,,,,,False,,False,False,,False
01133,689,372.0,,203.0,,,,,250.0,,372.3,341.0,,189.0,-317.0,,-486.0,,,,,-439.0,,-316.7,-348.0,,-500.0,,False,,,,,False,,True,False,,False
02013,26,18.0,,0.0,,,,,,,17.7,6.0,,99.0,-8.0,,-26.0,,,,,,,-8.3,-20.0,,73.0,,False,,,,,,,False,False,,False
02016,66,24.0,,0.0,,,,,,,18.4,6.0,,28.0,-42.0,,-66.0,,,,,,,-47.6,-60.0,,-38.0,,False,,,,,,,False,False,,True
02020,11612,9090.0,,10780.0,,,,,,,14003.2,16668.5,8015.0,0.0,-2522.0,,-832.0,,,,,,,2391.2,5056.5,-3597.0,-11612.0,,True,,,,,,,True,False,False,False
02050,1424,1002.0,,0.0,,,,,,,3472.6,1727.0,,261.0,-422.0,,-1424.0,,,,,,,2048.6,303.0,,-1163.0,,False,,,,,,,False,True,,False
02060,0,0.0,,0.0,,,,,,,0.5,,,,0.0,,0.0,,,,,,,0.5,,,,,True,,,,,,,False,,,
02068,28,12.0,,0.0,,,,,,,40.1,17.0,,1.0,-16.0,,-28.0,,,,,,,12.1,-11.0,,-27.0,,False,,,,,,,True,True,,False
02070,47,36.0,,0.0,,,,,,,36.8,44.0,,10.0,-11.0,,-47.0,,,,,,,-10.2,-3.0,,-37.0,,False,,,,,,,True,True,,False
02090,2088,1464.0,,0.0,,,,,,,2482.3,1352.5,1684.1,373.0,-624.0,,-2088.0,,,,,,,394.3,-735.5,-403.9,-1715.0,,False,,,,,,,True,False,True,False
02100,7,12.0,,0.0,,,,,,,24.0,6.0,,14.0,5.0,,-7.0,,,,,,,17.0,-1.0,,7.0,,False,,,,,,,False,True,,False
02105,0,0.0,,0.0,,,,,,,4.8,,,,0.0,,0.0,,,,,,,4.8,,,,,True,,,,,,,False,,,
02110,334,432.0,,868.0,,,,,,,821.2,367.0,,230.0,98.0,,534.0,,,,,,,487.2,33.0,,-104.0,,False,,,,,,,False,True,,False
02122,2150,1254.0,,2375.0,,,,,,,3145.9,4069.0,362.8,594.0,-896.0,,225.0,,,,,,,995.9,1919.0,-1787.2,-1556.0,,True,,,,,,,False,False,False,False
02130,114,186.0,,55.0,,,,,,,179.4,198.0,,732.0,72.0,,-59.0,,,,,,,65.4,84.0,,618.0,,True,,,,,,,True,False,,False
02150,664,102.0,,0.0,,,,,,,423.8,134.0,,101.0,-562.0,,-664.0,,,,,,,-240.2,-530.0,,-563.0,,False,,,,,,,True,True,,False
02158,355,474.0,,83.0,,,,,,,1234.5,380.0,,107.0,119.0,,-272.0,,,,,,,879.5,25.0,,-248.0,,False,,,,,,,False,True,,False
02164,42,18.0,,0.0,,,,,,,48.0,9.0,,0.0,-24.0,,-42.0,,,,,,,6.0,-33.0,,-42.0,,False,,,,,,,True,False,,False
02170,3933,2664.0,,26.0,,,,,,,10806.4,4180.0,1876.6,673.0,-1269.0,,-3907.0,,,,,,,6873.4,247.0,-2056.4,-3260.0,,False,,,,,,,False,True,False,False
02180,113,84.0,,0.0,,,,,,,96.8,115.0,,90.0,-29.0,,-113.0,,,,,,,-16.2,2.0,,-23.0,,False,,,,,,,True,True,,True
02185,438,222.0,,0.0,,,,,,,179.2,114.5,,82.0,-216.0,,-438.0,,,,,,,-258.8,-323.5,,-356.0,,False,,,,,,,False,False,,False
02188,106,150.0,,0.0,,,,,,,299.4,119.0,,0.0,44.0,,-106.0,,,,,,,193.4,13.0,,-106.0,,False,,,,,,,False,True,,False
02195,9,6.0,,0.0,,,,,,,10.4,6.0,,9.0,-3.0,,-9.0,,,,,,,1.4,-3.0,,0.0,,False,,,,,,,True,False,,True
02198,30,18.0,,0.0,,,,,,,7.3,10.0,,125.0,-12.0,,-30.0,,,,,,,-22.7,-20.0,,95.0,,False,,,,,,,False,False,,False
02220,159,90.0,,14.0,,,,,,,119.6,30.0,,144.0,-69.0,,-145.0,,,,,,,-39.4,-129.0,,-15.0,,False,,,,,,,True,False,,True
02230,8,0.0,,0.0,,,,,,,0.1,,,0.0,-8.0,,-8.0,,,,,,,-7.9,,,-8.0,,False,,,,,,,True,,,False
02240,282,84.0,,0.0,,,,,,,219.0,68.0,,68.0,-198.0,,-282.0,,,,,,,-63.0,-214.0,,-214.0,,False,,,,,,,True,False,,False
02261,119,132.0,,,,,,,,,208.5,107.0,,192.0,13.0,,,,,,,,,89.5,-12.0,,73.0,,,,,,,,,False,True,,False
02275,6,0.0,,0.0,,,,,,,0.6,0.0,,0.0,-6.0,,-6.0,,,,,,,-5.4,-6.0,,-6.0,,False,,,,,,,True,False,,False
02282,16,0.0,,0.0,,,,,,,1.1,12.0,,0.0,-16.0,,-16.0,,,,,,,-14.9,-4.0,,-16.0,,False,,,,,,,True,True,,False
02290,79,42.0,,0.0,,,,,,,108.5,0.0,,19.0,-37.0,,-79.0,,,,,,,29.5,-79.0,,-60.0,,False,,,,,,,True,False,,False
04001,2666,744.0,,760.0,,,,,1329.0,,494.3,755.5,196.5,180.0,-1922.0,,-1906.0,,,,,-1337.0,,-2171.7,-1910.5,-2469.5,-2486.0,,True,,,,,True,,False,True,False,False
04003,3608,1062.0,,3522.0,,,,,1146.0,,918.2,619.0,427.3,811.0,-2546.0,,-86.0,,,,,-2462.0,,-2689.8,-2989.0,-3180.7,-2797.0,,True,,,,,True,,False,False,False,False
04005,4084,2388.0,,3047.0,,,,,1258.0,,1492.4,3207.0,780.2,1407.0,-1696.0,,-1037.0,,,,,-2826.0,,-2591.6,-877.0,-3303.8,-2677.0,,True,,,,,False,,False,True,False,False
04007,1818,954.0,,1866.0,,,,,405.0,,1009.0,887.0,450.8,1149.0,-864.0,,48.0,,,,,-1413.0,,-809.0,-931.0,-1367.2,-669.0,,True,,,,,False,,True,False,False,True
04009,1360,972.0,,1702.0,,,,,365.0,,1218.3,1260.0,355.3,526.0,-388.0,,342.0,,,,,-995.0,,-141.7,-100.0,-1004.7,-834.0,,True,,,,,False,,True,True,False,False
04011,245,42.0,,0.0,,,,,84.0,,34.1,13.0,,12.0,-203.0,,-245.0,,,,,-161.0,,-210.9,-232.0,,-233.0,,False,,,,,True,,False,False,,False
04012,520,72.0,,70.0,,,,,89.0,,273.8,81.0,,54.0,-448.0,,-450.0,,,,,-431.0,,-246.2,-439.0,,-466.0,,False,,,,,True,,True,True,,False
04013,111369,41646.0,,86677.0,,,,,26211.0,,30550.4,58552.0,18325.4,41892.0,-69723.0,,-24692.0,,,,,-85158.0,,-80818.6,-52817.0,-93043.6,-69477.0,,True,,,,,False,,False,True,False,True
04015,5043,1692.0,,3762.0,,,,,1186.0,,1387.1,2220.0,901.2,1718.0,-3351.0,,-1281.0,,,,,-3857.0,,-3655.9,-2823.0,-4141.8,-3325.0,,True,,,,,False,,False,True,False,True
04017,3413,1740.0,,394.0,,,,,1767.0,,1225.5,1888.5,680.1,3088.0,-1673.0,,-3019.0,,,,,-1646.0,,-2187.5,-1524.5,-2732.9,-325.0,,False,,,,,True,,False,True,False,True
04019,27980,8808.0,,11697.0,,,,,4901.0,,7305.1,15005.0,3845.0,12730.0,-19172.0,,-16283.0,,,,,-23079.0,,-20674.9,-12975.0,-24135.0,-15250.0,,True,,,,,False,,False,True,False,True
04021,10715,3906.0,,7185.0,,,,,2155.0,,3256.8,4452.5,1518.8,5811.0,-6809.0,,-3530.0,,,,,-8560.0,,-7458.2,-6262.5,-9196.2,-4904.0,,True,,,,,False,,False,True,False,True
04023,2203,396.0,,81.0,,,,,303.0,,290.5,432.0,133.0,0.0,-1807.0,,-2122.0,,,,,-1900.0,,-1912.5,-1771.0,-2070.0,-2203.0,,False,,,,,False,,False,True,False,False
04025,5861,1524.0,,5908.0,,,,,1233.0,,1183.2,573.0,886.4,848.0,-4337.0,,47.0,,,,,-4628.0,,-4677.8,-5288.0,-4974.6,-5013.0,,True,,,,,False,,False,False,False,False
04027,10271,2682.0,,1084.0,,,,,752.0,,2184.1,3947.0,1239.3,5066.0,-7589.0,,-9187.0,,,,,-9519.0,,-8086.9,-6324.0,-9031.7,-5205.0,,False,,,,,False,,False,True,False,True
05001,407,378.0,,280.0,,,,,294.0,,478.3,332.0,,0.0,-29.0,,-127.0,,,,,-113.0,,71.3,-75.0,,-407.0,,False,,,,,False,,False,False,,False
05003,533,324.0,,10.0,,,,,254.0,,259.8,296.0,,259.0,-209.0,,-523.0,,,,,-279.0,,-273.2,-237.0,,-274.0,,False,,,,,False,,False,False,,False
05005,910,942.0,,1237.0,,,,,593.0,,2106.4,936.0,,509.0,32.0,,327.0,,,,,-317.0,,1196.4,26.0,,-401.0,,False,,,,,False,,False,True,,False
05007,6095,5526.0,,15708.0,,,,,4270.0,,4334.9,6588.5,3254.1,4301.0,-569.0,,9613.0,,,,,-1825.0,,-1760.1,493.5,-2840.9,-1794.0,,False,,,,,False,,False,True,False,False
05009,1121,618.0,,963.0,,,,,622.0,,531.2,630.0,446.0,916.0,-503.0,,-158.0,,,,,-499.0,,-589.8,-491.0,-675.0,-205.0,,True,,,,,True,,False,True,False,True
05011,417,60.0,,0.0,,,,,94.0,,39.7,29.0,,49.0,-357.0,,-417.0,,,,,-323.0,,-377.3,-388.0,,-368.0,,False,,,,,True,,False,False,,False
05013,119,114.0,,88.0,,,,,71.0,,214.2,133.0,,155.0,-5.0,,-31.0,,,,,-48.0,,95.2,14.0,,36.0,,False,,,,,False,,False,False,,False
05015,812,324.0,,223.0,,,,,357.0,,280.2,210.5,179.8,214.0,-488.0,,-589.0,,,,,-455.0,,-531.8,-601.5,-632.2,-598.0,,False,,,,,True,,False,False,False,False
05017,284,42.0,,0.0,,,,,153.0,,19.6,17.0,21.6,17.0,-242.0,,-284.0,,,,,-131.0,,-264.4,-267.0,-262.4,-267.0,,False,,,,,True,,False,False,False,False
05019,598,450.0,,277.0,,,,,329.0,,446.4,491.0,,498.0,-148.0,,-321.0,,,,,-269.0,,-151.6,-107.0,,-100.0,,False,,,,,False,,False,True,,True
05021,629,348.0,,229.0,,,,,261.0,,327.1,326.0,,184.0,-281.0,,-400.0,,,,,-368.0,,-301.9,-303.0,,-445.0,,False,,,,,False,,False,False,,False
05023,473,414.0,,526.0,,,,,503.0,,599.4,234.0,,537.0,-59.0,,53.0,,,,,30.0,,126.4,-239.0,,64.0,,True,,,,,True,,False,False,,False
05025,227,162.0,,5.0,,,,,113.0,,261.6,230.0,,90.0,-65.0,,-222.0,,,,,-114.0,,34.6,3.0,,-137.0,,False,,,,,False,,True,True,,False
05027,606,318.0,,298.0,,,,,301.0,,330.8,281.0,,355.0,-288.0,,-308.0,,,,,-305.0,,-275.2,-325.0,,-251.0,,False,,,,,False,,True,False,,True
05029,663,252.0,,233.0,,,,,492.0,,197.2,162.0,,363.0,-411.0,,-430.0,,,,,-171.0,,-465.8,-501.0,,-300.0,,False,,,,,True,,False,False,,True
05031,3600,3786.0,,6879.0,,,,,2189.0,,3814.3,3671.0,3562.0,5809.0,186.0,,3279.0,,,,,-1411.0,,214.3,71.0,-38.0,2209.0,,False,,,,,False,,False,True,True,False
05033,1616,1254.0,,1979.0,,,,,1556.0,,1351.6,1175.0,1279.1,1129.0,-362.0,,363.0,,,,,-60.0,,-264.4,-441.0,-336.9,-487.0,,False,,,,,True,,True,False,True,False
05035,1262,1050.0,,1149.0,,,,,716.0,,919.6,1074.0,744.7,196.0,-212.0,,-113.0,,,,,-546.0,,-342.4,-188.0,-517.3,-1066.0,,True,,,,,False,,False,True,False,False
05037,568,162.0,,162.0,,,,,334.0,,223.2,113.0,,0.0,-406.0,,-406.0,,,,,-234.0,,-344.8,-455.0,,-568.0,,False,,,,,True,,True,False,,False
05039,226,96.0,,0.0,,,,,114.0,,67.4,23.0,,170.0,-130.0,,-226.0,,,,,-112.0,,-158.6,-203.0,,-56.0,,False,,,,,True,,False,False,,True
05041,373,192.0,,127.0,,,,,155.0,,162.1,132.0,,93.0,-181.0,,-246.0,,,,,-218.0,,-210.9,-241.0,,-280.0,,False,,,,,False,,False,False,,False
05043,810,192.0,,131.0,,,,,270.0,,176.2,143.0,,189.0,-618.0,,-679.0,,,,,-540.0,,-633.8,-667.0,,-621.0,,False,,,,,True,,False,False,,False
05045,2798,1314.0,,1692.0,,,,,1773.0,,1208.6,1253.0,820.9,1017.0,-1484.0,,-1106.0,,,,,-1025.0,,-1589.4,-1545.0,-1977.1,-1781.0,,True,,,,,True,,False,False,False,False
05047,371,312.0,,228.0,,,,,370.0,,355.3,237.0,,0.0,-59.0,,-143.0,,,,,-1.0,,-15.7,-134.0,,-371.0,,False,,,,,True,,True,False,,False
05049,369,234.0,,167.0,,,,,160.0,,287.8,124.0,,123.0,-135.0,,-202.0,,,,,-209.0,,-81.2,-245.0,,-246.0,,False,,,,,False,,True,False,,False
