,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Georgia,10221,9115.0,9916.6,9194.1,8503.0,10259.0,,8203.8,5281.0,8758.9,9389.5,,7494.0,9080.7,7506.4,10760.5,6428.3,6321.3,8503.3,9659.9,9534.7,9853.0,,11686.3,531.6,8467.3,9920.6,9232.0,-1106.0,-304.4,-1026.9,-1718.0,38.0,,-2017.2,-4940.0,-1462.1,-831.5,,-2727.0,-1140.3,-2714.6,539.5,-3792.7,-3899.7,-1717.7,-561.1,-686.3,-368.0,,1465.3,-9689.4,-1753.7,-300.4,-989.0,True,True,False,True,,False,False,False,True,,False,False,False,True,False,False,False,True,True,True,,False,False,False,True,True
Hawaii,604,578.0,568.5,579.8,573.0,548.0,,621.9,182.0,482.5,478.4,,,737.4,610.9,584.7,877.6,590.1,567.5,579.7,674.0,575.0,,505.4,537.1,512.5,537.9,538.0,-26.0,-35.5,-24.2,-31.0,-56.0,,17.9,-422.0,-121.5,-125.6,,,133.4,6.9,-19.3,273.6,-13.9,-36.5,-24.3,70.0,-29.0,,-98.6,-66.9,-91.5,-66.1,-66.0,False,True,False,False,,True,False,False,False,,,False,True,True,False,True,False,True,False,False,,False,False,False,False,False
Idaho,6112,4881.0,4144.1,4865.4,4603.0,4603.0,,4267.0,1388.0,7773.6,5581.4,,3504.0,4495.8,5018.0,5019.0,2250.3,6622.8,4373.5,5301.6,5269.0,6105.0,,5702.3,955.4,4161.7,4678.2,5060.0,-1231.0,-1967.9,-1246.6,-1509.0,-1509.0,,-1845.0,-4724.0,1661.6,-530.6,,-2608.0,-1616.2,-1094.0,-1093.0,-3861.7,510.8,-1738.5,-810.4,-843.0,-7.0,,-409.7,-5156.6,-1950.3,-1433.8,-1052.0,False,False,False,False,,False,False,False,True,,False,False,True,True,False,True,False,True,True,True,,True,False,False,False,True
Illinois,31515,23935.0,28950.6,24433.7,23935.0,26021.0,,20623.6,7721.0,22816.6,27244.5,,18596.0,18263.3,18844.3,20513.1,13048.2,25413.6,27756.6,29647.3,21264.0,27459.0,,31741.3,17610.7,21767.8,23426.0,26686.0,-7580.0,-2564.4,-7081.3,-7580.0,-5494.0,,-10891.4,-23794.0,-8698.4,-4270.5,,-12919.0,-13251.7,-12670.7,-11001.9,-18466.8,-6101.4,-3758.4,-1867.7,-10251.0,-4056.0,,226.3,-13904.3,-9747.2,-8089.0,-4829.0,True,True,False,True,,False,False,False,True,,False,False,False,False,False,True,True,True,False,True,,True,False,False,False,True
Indiana,14477,12566.0,15520.7,12663.8,12266.0,14334.0,,11235.6,6097.0,11283.7,15570.9,,9274.0,10095.4,11214.5,12455.3,8641.6,13213.6,11571.3,13592.9,12520.6,15087.0,,14384.4,9504.2,11257.0,16228.0,14552.0,-1911.0,1043.7,-1813.2,-2211.0,-143.0,,-3241.4,-8380.0,-3193.3,1093.9,,-5203.0,-4381.6,-3262.5,-2021.7,-5835.4,-1263.4,-2905.7,-884.1,-1956.4,610.0,,-92.6,-4972.8,-3220.0,1751.0,75.0,True,True,False,True,,False,False,False,True,,False,False,False,False,False,True,False,True,False,True,,True,False,False,True,True
Iowa,8138,7656.0,6897.3,7610.2,7446.0,7844.0,,7397.7,5143.0,7919.4,9344.4,,6518.0,7870.9,8124.6,8659.5,3215.3,8046.1,5776.6,7571.6,7866.7,9257.0,,8480.0,1873.4,6589.9,7386.6,8263.0,-482.0,-1240.7,-527.8,-692.0,-294.0,,-740.3,-2995.0,-218.6,1206.4,,-1620.0,-267.1,-13.4,521.5,-4922.7,-91.9,-2361.4,-566.4,-271.3,1119.0,,342.0,-6264.6,-1548.1,-751.4,125.0,False,False,False,True,,False,False,True,False,,False,True,True,False,False,True,False,False,True,False,,True,False,False,False,True
Kansas,5515,4984.0,5261.6,5000.6,4668.0,4666.0,,4638.6,3123.0,5450.7,5746.8,,5930.0,5051.8,7723.4,5406.8,2890.2,4499.3,3223.7,4668.4,5179.2,5816.0,,5603.7,4058.0,4589.4,5119.7,4678.0,-531.0,-253.4,-514.4,-847.0,-849.0,,-876.4,-2392.0,-64.3,231.8,,415.0,-463.2,2208.4,-108.2,-2624.8,-1015.7,-2291.3,-846.6,-335.8,301.0,,88.7,-1457.0,-925.6,-395.3,-837.0,True,True,False,False,,False,False,True,True,,True,True,False,True,False,False,False,False,True,True,,True,False,False,True,False
Kentucky,8683,7352.0,10283.6,7293.4,7352.0,7797.0,,7447.5,6652.0,12299.3,9239.0,,8090.0,7711.2,6934.5,7352.4,4624.8,9085.4,6603.0,7798.0,8297.3,8667.0,,8881.0,5566.8,6193.7,7651.1,7800.0,-1331.0,1600.6,-1389.6,-1331.0,-886.0,,-1235.5,-2031.0,3616.3,556.0,,-593.0,-971.8,-1748.5,-1330.6,-4058.2,402.4,-2080.0,-885.0,-385.7,-16.0,,198.0,-3116.2,-2489.3,-1031.9,-883.0,False,False,False,True,,True,False,False,True,,True,True,False,True,False,True,False,True,True,True,,True,False,False,True,True
Louisiana,4232,3760.0,3030.5,3792.7,3326.0,3570.0,,3417.4,1422.0,9831.6,3749.7,,3326.0,3560.0,3083.0,4718.7,2993.1,2793.5,4377.5,4212.4,4080.3,3563.0,,3180.9,0.0,3280.4,4561.1,2953.0,-472.0,-1201.5,-439.3,-906.0,-662.0,,-814.6,-2810.0,5599.6,-482.3,,-906.0,-672.0,-1149.0,486.7,-1238.9,-1438.5,145.5,-19.6,-151.7,-669.0,,-1051.1,-4232.0,-951.6,329.1,-1279.0,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,True,True,True,False,,False,False,False,True,False
Maine,224,217.0,491.5,215.5,216.0,206.0,,200.3,148.0,230.7,228.1,,278.0,234.9,230.9,210.4,365.2,266.8,189.6,211.6,289.1,238.0,,233.4,155.1,200.3,214.3,212.0,-7.0,267.5,-8.5,-8.0,-18.0,,-23.7,-76.0,6.7,4.1,,54.0,10.9,6.9,-13.6,141.2,42.8,-34.4,-12.4,65.1,14.0,,9.4,-68.9,-23.7,-9.7,-12.0,False,False,False,False,,False,False,True,True,,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,False
Maryland,4360,4332.0,5172.7,4319.7,4159.0,4411.0,,4058.1,1797.0,4534.3,5073.4,,4159.0,4289.7,3338.2,4452.3,4295.7,3819.8,4000.7,4621.0,4653.6,4840.0,,4932.5,3756.6,4075.7,4764.7,4517.0,-28.0,812.7,-40.3,-201.0,51.0,,-301.9,-2563.0,174.3,713.4,,-201.0,-70.3,-1021.8,92.3,-64.3,-540.2,-359.3,261.0,293.6,480.0,,572.5,-603.4,-284.3,404.7,157.0,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Massachusetts,6558,4590.0,5509.5,4649.8,4286.0,4416.0,,4285.9,1546.0,6068.6,5147.6,,3603.0,4311.3,3892.8,4400.2,4364.8,5565.9,4193.1,4748.7,4974.5,4759.0,,4811.5,2775.5,4124.3,3558.7,4633.0,-1968.0,-1048.5,-1908.2,-2272.0,-2142.0,,-2272.1,-5012.0,-489.4,-1410.4,,-2955.0,-2246.7,-2665.2,-2157.8,-2193.2,-992.1,-2364.9,-1809.3,-1583.5,-1799.0,,-1746.5,-3782.5,-2433.7,-2999.3,-1925.0,True,True,False,False,,False,False,True,True,,False,False,False,False,False,True,False,True,True,True,,True,False,False,False,True
Michigan,14507,11652.0,15462.4,11555.6,11096.0,13418.0,,9769.5,1338.0,9068.0,13387.9,,8932.0,8824.9,8909.4,11496.3,13010.4,13084.3,5757.2,11726.6,11032.0,13891.0,,14962.0,10015.4,10721.3,6751.6,12947.0,-2855.0,955.4,-2951.4,-3411.0,-1089.0,,-4737.5,-13169.0,-5439.0,-1119.1,,-5575.0,-5682.1,-5597.6,-3010.7,-1496.6,-1422.7,-8749.8,-2780.4,-3475.0,-616.0,,455.0,-4491.6,-3785.7,-7755.4,-1560.0,True,False,False,True,,False,False,False,True,,False,False,False,False,True,True,False,True,False,True,,True,False,False,False,True
Minnesota,11032,10262.0,12684.7,10281.2,10262.0,11144.0,,9055.0,9288.0,9140.3,11421.9,,9599.0,9153.1,9001.9,10844.1,5770.6,10210.1,11330.5,11445.6,10416.7,12224.0,,11044.6,6124.3,9274.4,11261.3,10819.0,-770.0,1652.7,-750.8,-770.0,112.0,,-1977.0,-1744.0,-1891.7,389.9,,-1433.0,-1878.9,-2030.1,-187.9,-5261.4,-821.9,298.5,413.6,-615.3,1192.0,,12.6,-4907.7,-1757.6,229.3,-213.0,False,True,False,True,,False,False,False,True,,False,False,False,True,False,False,True,True,True,False,,True,False,False,True,True
Mississippi,5082,5368.0,5708.8,5437.9,4930.0,4984.0,,4542.7,1868.0,3533.2,6651.3,,3985.0,4450.3,4378.0,5839.6,2005.9,6848.6,3395.8,4930.4,5686.9,6263.0,,6582.8,469.6,4685.1,5530.9,5659.0,286.0,626.8,355.9,-152.0,-98.0,,-539.3,-3214.0,-1548.8,1569.3,,-1097.0,-631.7,-704.0,757.6,-3076.1,1766.6,-1686.2,-151.6,604.9,1181.0,,1500.8,-4612.4,-396.9,448.9,577.0,False,False,True,True,,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False
Missouri,12721,11426.0,12928.2,11685.1,12124.0,10980.0,,11985.8,8914.0,12636.1,7010.9,,12868.0,11814.7,14355.7,12486.3,6118.5,14832.5,13501.7,12208.1,13489.5,16583.0,,13088.7,8430.9,9345.4,12426.8,13205.0,-1295.0,207.2,-1035.9,-597.0,-1741.0,,-735.2,-3807.0,-84.9,-5710.1,,147.0,-906.3,1634.7,-234.7,-6602.5,2111.5,780.7,-512.9,768.5,3862.0,,367.7,-4290.1,-3375.6,-294.2,484.0,True,True,True,False,,True,False,True,False,,True,True,False,True,False,False,True,True,True,False,,True,False,False,True,True
Montana,4917,4108.0,5649.2,4179.6,4180.0,3202.0,,4392.0,2480.0,3823.4,4885.8,,4492.0,4620.0,7854.1,4145.4,829.7,4120.6,4199.2,4360.2,4686.2,5830.0,,5162.6,4455.0,3279.9,5409.6,4305.0,-809.0,732.2,-737.4,-737.0,-1715.0,,-525.0,-2437.0,-1093.6,-31.2,,-425.0,-297.0,2937.1,-771.6,-4087.3,-796.4,-717.8,-556.8,-230.8,913.0,,245.6,-462.0,-1637.1,492.6,-612.0,True,True,True,False,,True,False,False,True,,True,True,False,True,False,True,True,True,True,False,,True,True,False,True,True
Nebraska,5883,5445.0,7020.5,5437.9,5445.0,5470.0,,5142.9,5235.0,6265.3,6991.5,,4435.0,4637.0,6540.1,6232.3,3043.6,5963.6,5251.0,6196.9,5855.7,6919.0,,6728.3,1744.1,4869.9,6445.8,6642.0,-438.0,1137.5,-445.1,-438.0,-413.0,,-740.1,-648.0,382.3,1108.5,,-1448.0,-1246.0,657.1,349.3,-2839.4,80.6,-632.0,313.9,-27.3,1036.0,,845.3,-4138.9,-1013.1,562.8,759.0,False,False,False,True,,False,False,True,False,,False,False,False,True,False,True,False,True,True,False,,False,False,False,False,False
Nevada,5160,4253.0,5174.4,4237.9,4238.0,4675.0,,4053.7,1158.0,3867.1,4529.7,,3276.0,3943.1,3612.7,3795.8,2049.5,5747.7,4314.3,4966.3,5041.7,5462.0,,5112.3,0.0,3691.3,4581.9,4705.0,-907.0,14.4,-922.1,-922.0,-485.0,,-1106.3,-4002.0,-1292.9,-630.3,,-1884.0,-1216.9,-1547.3,-1364.2,-3110.5,587.7,-845.7,-193.7,-118.3,302.0,,-47.7,-5160.0,-1468.7,-578.1,-455.0,True,False,False,True,,False,False,False,True,,False,False,False,False,False,True,True,True,True,True,,True,False,False,True,True
New Hampshire,613,533.0,419.2,539.1,533.0,619.0,,557.5,712.0,467.0,544.7,,487.0,479.4,582.5,525.3,721.2,716.5,344.6,434.7,637.8,754.0,,709.7,336.4,481.5,543.4,618.0,-80.0,-193.8,-73.9,-80.0,6.0,,-55.5,99.0,-146.0,-68.3,,-126.0,-133.6,-30.5,-87.7,108.2,103.5,-268.4,-178.3,24.8,141.0,,96.7,-276.6,-131.5,-69.6,5.0,False,True,False,True,,True,False,False,True,,False,False,True,False,False,False,False,False,True,False,,False,False,False,True,True
New Jersey,8601,5861.0,5868.0,5855.9,5861.0,6406.0,,5739.7,2616.0,7454.5,6284.5,,6156.0,5357.7,4460.1,6002.2,9304.3,7285.4,5631.9,6578.9,6692.7,5861.0,,6594.2,2976.5,5339.5,4636.9,6186.0,-2740.0,-2733.0,-2745.1,-2740.0,-2195.0,,-2861.3,-5985.0,-1146.5,-2316.5,,-2445.0,-3243.3,-4140.9,-2598.8,703.3,-1315.6,-2969.1,-2022.1,-1908.3,-2740.0,,-2006.8,-5624.5,-3261.5,-3964.1,-2415.0,True,False,False,True,,False,False,True,True,,True,False,False,True,True,True,False,True,True,False,,True,False,False,False,True
New Mexico,4697,3621.0,4331.3,3645.8,3607.0,3822.0,,3153.4,567.0,3122.4,4370.5,,3389.0,2489.7,3271.2,3382.0,1851.0,5026.2,3607.0,4134.1,3937.6,4567.0,,4849.9,1131.1,3060.3,4736.3,3944.0,-1076.0,-365.7,-1051.2,-1090.0,-875.0,,-1543.6,-4130.0,-1574.6,-326.5,,-1308.0,-2207.3,-1425.8,-1315.0,-2846.0,329.2,-1090.0,-562.9,-759.4,-130.0,,152.9,-3565.9,-1636.7,39.3,-753.0,True,True,False,True,,False,False,False,True,,False,False,False,False,False,True,False,True,True,True,,True,False,False,True,True
New York,10941,9748.0,5908.4,9634.8,9382.0,10497.0,,7345.3,5242.0,11390.3,10116.1,,7312.0,9158.6,8373.1,9615.6,15104.0,14688.8,9382.0,10762.2,10342.1,10519.0,,10081.1,5413.8,8181.8,7839.1,9783.0,-1193.0,-5032.6,-1306.2,-1559.0,-444.0,,-3595.7,-5699.0,449.3,-824.9,,-3629.0,-1782.4,-2567.9,-1325.4,4163.0,3747.8,-1559.0,-178.8,-598.9,-422.0,,-859.9,-5527.2,-2759.2,-3101.9,-1158.0,False,False,False,True,,False,False,True,True,,False,False,False,False,False,False,False,True,True,True,,True,False,False,False,True
North Carolina,14567,13973.0,20288.2,13623.4,13973.0,15116.0,,13222.1,6489.0,13151.7,15729.3,,12244.0,12904.6,13199.0,14984.9,7188.4,14824.4,14834.6,16703.5,14813.9,17945.0,,16331.8,4783.6,12122.3,13095.0,14971.0,-594.0,5721.2,-943.6,-594.0,549.0,,-1344.9,-8078.0,-1415.3,1162.3,,-2323.0,-1662.4,-1368.0,417.9,-7378.6,257.4,267.6,2136.5,246.9,3378.0,,1764.8,-9783.4,-2444.7,-1472.0,404.0,False,False,False,True,,False,False,False,False,,False,False,False,True,False,True,True,False,True,False,,False,False,False,False,True
North Dakota,5613,4634.0,4612.0,4560.9,4561.0,3832.0,,4013.3,3317.0,4457.6,5911.8,,3663.0,4465.7,5408.4,4423.7,990.5,4636.5,4892.2,5127.5,4655.9,5529.0,,5365.0,2563.3,4029.1,4990.3,5047.0,-979.0,-1001.0,-1052.1,-1052.0,-1781.0,,-1599.7,-2296.0,-1155.4,298.8,,-1950.0,-1147.3,-204.6,-1189.3,-4622.5,-976.5,-720.8,-485.5,-957.1,-84.0,,-248.0,-3049.7,-1583.9,-622.7,-566.0,False,False,False,False,,False,False,False,True,,False,False,True,False,False,True,True,True,True,True,,True,False,False,True,True
Ohio,15581,12767.0,7499.4,12959.8,11657.0,14685.0,,11195.6,5466.0,11812.7,15346.9,,11098.0,10406.4,11657.3,12442.3,12348.2,15297.2,11519.3,14824.5,13144.1,15504.0,,16136.3,2968.6,11280.4,13580.1,13222.0,-2814.0,-8081.6,-2621.2,-3924.0,-896.0,,-4385.4,-10115.0,-3768.3,-234.1,,-4483.0,-5174.6,-3923.7,-3138.7,-3232.8,-283.8,-4061.7,-756.5,-2436.9,-77.0,,555.3,-12612.4,-4300.6,-2000.9,-2359.0,False,True,False,True,,False,False,False,True,,False,False,False,False,False,True,False,True,True,True,,True,False,False,True,True
Oklahoma,9217,7847.0,12260.3,7872.9,7873.0,8087.0,,7746.0,5263.0,8888.8,7552.1,,8200.0,9323.8,8252.6,8100.1,4933.0,9223.0,6453.8,8234.8,9183.0,9580.0,,8780.8,5298.9,6331.0,8008.8,8079.0,-1370.0,3043.3,-1344.1,-1344.0,-1130.0,,-1471.0,-3954.0,-328.2,-1664.9,,-1017.0,106.8,-964.4,-1116.9,-4284.0,6.0,-2763.2,-982.2,-34.0,363.0,,-436.2,-3918.1,-2886.0,-1208.2,-1138.0,False,True,True,True,,False,False,True,False,,True,True,True,True,False,True,False,True,True,True,,True,False,False,True,True
Oregon,2424,2391.0,1981.4,2445.7,2391.0,2598.0,,2454.5,889.0,2158.6,2595.4,,2489.0,2470.0,2756.3,2527.1,2971.6,2150.7,2029.8,2312.2,2805.6,2990.0,,2512.6,1079.1,1959.6,2435.4,2601.0,-33.0,-442.6,21.7,-33.0,174.0,,30.5,-1535.0,-265.4,171.4,,65.0,46.0,332.3,103.1,547.6,-273.3,-394.2,-111.8,381.6,566.0,,88.6,-1344.9,-464.4,11.4,177.0,False,True,False,False,,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False
