,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01045,247,354.0,241.5,,195.0,276.0,,,,,112.0,,158.3,146.5,,265.5,167.9,409.0,,39.5,,277.2,,,484.0,260.9,107.0,-5.5,,-52.0,29.0,,,,,-135.0,,-88.7,-100.5,,18.5,-79.1,162.0,,-207.5,,30.2,,,237.0,13.9,True,,True,True,,,,,False,,True,True,,True,True,False,,False,,True,,,False,True
01047,59,48.0,242.8,,47.0,59.0,,,,,114.0,,39.0,34.3,,10.4,49.2,,,32.9,,33.7,,,15.0,177.0,-11.0,183.8,,-12.0,0.0,,,,,55.0,,-20.0,-24.7,,-48.6,-9.8,,,-26.1,,-25.3,,,-44.0,118.0,False,,False,True,,,,,False,,False,False,,False,True,,,False,,False,,,False,False
01049,827,435.0,417.7,,428.0,724.0,,,,,302.0,,264.2,138.7,,567.9,464.8,560.0,,2882.8,,383.0,,,445.0,216.1,-392.0,-409.3,,-399.0,-103.0,,,,,-525.0,,-562.8,-688.3,,-259.1,-362.2,-267.0,,2055.8,,-444.0,,,-382.0,-610.9,False,,False,True,,,,,False,,False,False,,True,True,True,,False,,False,,,True,False
01051,383,450.0,360.0,,331.0,573.0,,,,,168.0,,364.0,140.1,,286.7,323.0,400.0,,96.1,,359.0,,,258.0,342.0,67.0,-23.0,,-52.0,190.0,,,,,-215.0,,-19.0,-242.9,,-96.3,-60.0,17.0,,-286.9,,-24.0,,,-125.0,-41.0,True,,True,False,,,,,False,,True,False,,False,True,True,,False,,True,,,False,True
01053,78,126.0,153.5,,85.0,6.0,,,,,157.0,,78.2,72.0,,50.1,75.7,118.0,,95.8,,69.4,,,40.0,199.6,48.0,75.5,,7.0,-72.0,,,,,79.0,,0.2,-6.0,,-27.9,-2.3,40.0,,17.8,,-8.6,,,-38.0,121.6,False,,True,False,,,,,False,,True,True,,True,True,True,,True,,True,,,True,False
01055,596,537.0,537.8,,417.0,639.0,,,,,413.0,,465.6,339.0,,396.6,372.4,420.0,,255.0,,375.3,,,479.0,513.5,-59.0,-58.2,,-179.0,43.0,,,,,-183.0,,-130.4,-257.0,,-199.4,-223.6,-176.0,,-341.0,,-220.7,,,-117.0,-82.5,True,,False,True,,,,,False,,False,False,,False,False,False,,False,,False,,,False,False
01057,98,57.0,41.2,,54.0,64.0,,,,,56.0,,56.1,38.9,,38.1,67.3,35.0,,42.5,,54.2,,,34.0,79.7,-41.0,-56.8,,-44.0,-34.0,,,,,-42.0,,-41.9,-59.1,,-59.9,-30.7,-63.0,,-55.5,,-43.8,,,-64.0,-18.3,False,,False,True,,,,,False,,False,False,,False,True,False,,False,,False,,,False,True
01059,216,195.0,237.6,,134.0,128.0,,,,,188.0,,126.7,74.7,,93.0,143.2,235.0,,117.5,,156.5,,,211.0,85.8,-21.0,21.6,,-82.0,-88.0,,,,,-28.0,,-89.3,-141.3,,-123.0,-72.8,19.0,,-98.5,,-59.5,,,-5.0,-130.2,False,,False,False,,,,,False,,False,False,,False,False,True,,False,,False,,,True,False
01061,170,315.0,295.5,,157.0,500.0,,,,,70.0,,157.6,122.8,,166.5,150.4,344.0,,35.9,,218.0,,,310.0,237.0,145.0,125.5,,-13.0,330.0,,,,,-100.0,,-12.4,-47.2,,-3.5,-19.6,174.0,,-134.1,,48.0,,,140.0,67.0,True,,True,False,,,,,True,,True,True,,True,True,False,,True,,True,,,True,True
01063,36,12.0,20.8,,10.0,0.0,,,,,16.0,,15.1,10.1,,2.0,9.6,6.0,,15.3,,9.8,,,4.0,6.7,-24.0,-15.2,,-26.0,-36.0,,,,,-20.0,,-20.9,-25.9,,-34.0,-26.4,-30.0,,-20.7,,-26.2,,,-32.0,-29.3,True,,False,False,,,,,True,,True,False,,False,False,False,,True,,False,,,False,False
01065,102,90.0,110.5,,52.0,21.0,,,,,56.0,,73.2,26.2,,14.3,52.0,53.0,,35.0,,71.2,,,47.0,89.3,-12.0,8.5,,-50.0,-81.0,,,,,-46.0,,-28.8,-75.8,,-87.7,-50.0,-49.0,,-67.0,,-30.8,,,-55.0,-12.7,True,,False,False,,,,,False,,False,False,,False,False,False,,False,,False,,,False,False
01067,151,156.0,179.1,,92.0,82.0,,,,,30.0,,71.2,57.7,,103.2,112.4,179.0,,63.0,,131.0,,,148.0,184.4,5.0,28.1,,-59.0,-69.0,,,,,-121.0,,-79.8,-93.3,,-47.8,-38.6,28.0,,-88.0,,-20.0,,,-3.0,33.4,False,,False,False,,,,,False,,False,False,,False,False,False,,False,,False,,,True,False
01069,817,1284.0,1087.7,,789.0,2468.0,,,,,260.0,,332.3,473.1,,985.5,500.3,1606.0,,193.9,,1026.0,,,1472.0,1905.1,467.0,270.7,,-28.0,1651.0,,,,,-557.0,,-484.7,-343.9,,168.5,-316.7,789.0,,-623.1,,209.0,,,655.0,1088.1,True,,True,False,,,,,False,,False,True,,True,True,False,,False,,True,,,False,False
01071,479,285.0,283.1,,259.0,313.0,,,,,254.0,,239.7,115.5,,282.2,302.5,359.0,,100.3,,190.2,,,251.0,208.3,-194.0,-195.9,,-220.0,-166.0,,,,,-225.0,,-239.3,-363.6,,-196.8,-176.5,-120.0,,-378.7,,-288.8,,,-228.0,-270.7,False,,False,True,,,,,False,,False,False,,False,True,True,,False,,False,,,False,False
01073,2545,2724.0,2020.4,2313.3,2155.0,1960.0,,,,,1936.0,,2299.4,1587.5,,2461.9,2043.7,2222.0,,2081.5,,1994.9,1444.0,,2264.0,1990.4,179.0,-524.6,-231.7,-390.0,-585.0,,,,,-609.0,,-245.6,-957.5,,-83.1,-501.3,-323.0,,-463.5,,-550.1,-1101.0,,-281.0,-554.6,False,False,False,False,,,,,False,,False,False,,True,False,False,,False,,False,False,,False,False
01075,95,90.0,95.6,,59.0,27.0,,,,,52.0,,76.2,25.4,,31.6,73.7,54.0,,22.0,,73.1,,,53.0,63.6,-5.0,0.6,,-36.0,-68.0,,,,,-43.0,,-18.8,-69.6,,-63.4,-21.3,-41.0,,-73.0,,-21.9,,,-42.0,-31.4,True,,False,False,,,,,False,,False,False,,False,False,False,,False,,False,,,False,False
01077,455,282.0,265.4,,235.0,547.0,,,,,421.0,,229.0,139.6,,171.6,228.9,322.0,,203.3,,250.3,,,254.0,176.3,-173.0,-189.6,,-220.0,92.0,,,,,-34.0,,-226.0,-315.4,,-283.4,-226.1,-133.0,,-251.7,,-204.7,,,-201.0,-278.7,False,,False,True,,,,,True,,False,False,,False,False,True,,False,,False,,,False,False
01079,198,96.0,85.1,,81.0,94.0,,,,,128.0,,87.8,51.7,,36.3,73.9,77.0,,25.2,,75.9,,,51.0,84.7,-102.0,-112.9,,-117.0,-104.0,,,,,-70.0,,-110.2,-146.3,,-161.7,-124.1,-121.0,,-172.8,,-122.1,,,-147.0,-113.3,False,,False,False,,,,,True,,False,False,,False,False,False,,False,,False,,,False,False
01081,417,660.0,1036.1,,523.0,1768.0,,,,,414.0,,489.9,508.6,,509.9,586.0,364.0,,471.1,,474.7,231.0,,137.0,,243.0,619.1,,106.0,1351.0,,,,,-3.0,,72.9,91.6,,92.9,169.0,-53.0,,54.1,,57.7,-186.0,,-280.0,,False,,True,False,,,,,True,,True,True,,True,True,True,,True,,True,True,,False,
01083,613,384.0,381.8,,358.0,373.0,,,,,372.0,,315.2,155.4,,364.2,395.5,433.0,,88.5,,226.0,,,283.0,195.0,-229.0,-231.2,,-255.0,-240.0,,,,,-241.0,,-297.8,-457.6,,-248.8,-217.5,-180.0,,-524.5,,-387.0,,,-330.0,-418.0,False,,False,False,,,,,False,,False,False,,False,True,True,,False,,False,,,False,False
01085,47,27.0,11.4,,15.0,0.0,,,,,16.0,,16.8,9.0,,1.6,16.0,21.0,,4.7,,27.5,,,0.0,33.8,-20.0,-35.6,,-32.0,-47.0,,,,,-31.0,,-30.2,-38.0,,-45.4,-31.0,-26.0,,-42.3,,-19.5,,,-47.0,-13.2,False,,False,False,,,,,False,,False,False,,False,False,False,,False,,True,,,False,True
01087,45,33.0,1.2,,20.0,17.0,,,,,22.0,,22.3,21.0,,4.9,23.6,17.0,,1.8,,33.3,,,8.0,44.5,-12.0,-43.8,,-25.0,-28.0,,,,,-23.0,,-22.7,-24.0,,-40.1,-21.4,-28.0,,-43.2,,-11.7,,,-37.0,-0.5,False,,False,False,,,,,False,,False,False,,False,False,False,,False,,True,,,False,True
01089,1098,903.0,735.7,881.0,804.0,730.0,,,,,950.0,,745.5,892.1,,835.4,846.0,751.0,,747.4,,525.4,505.0,,506.0,1244.3,-195.0,-362.3,-217.0,-294.0,-368.0,,,,,-148.0,,-352.5,-205.9,,-262.6,-252.0,-347.0,,-350.6,,-572.6,-593.0,,-592.0,146.3,False,False,False,False,,,,,True,,False,False,,False,False,False,,False,,False,False,,False,True
01091,267,63.0,60.1,,43.0,3.0,,,,,80.0,,42.2,27.6,,21.9,52.5,27.0,,25.9,,45.1,,,47.0,72.1,-204.0,-206.9,,-224.0,-264.0,,,,,-187.0,,-224.8,-239.4,,-245.1,-214.5,-240.0,,-241.1,,-221.9,,,-220.0,-194.9,False,,False,False,,,,,True,,False,False,,False,False,False,,False,,False,,,False,True
01093,85,84.0,80.2,,71.0,76.0,,,,,106.0,,68.9,72.0,,45.1,71.3,44.0,,68.8,,58.4,,,28.0,175.4,-1.0,-4.8,,-14.0,-9.0,,,,,21.0,,-16.1,-13.0,,-39.9,-13.7,-41.0,,-16.2,,-26.6,,,-57.0,90.4,False,,False,False,,,,,False,,False,False,,False,False,False,,False,,False,,,False,False
01095,356,246.0,129.7,,177.0,434.0,,,,,390.0,,172.6,208.9,,126.6,169.6,195.0,,67.4,,179.0,,,113.0,375.5,-110.0,-226.3,,-179.0,78.0,,,,,34.0,,-183.4,-147.1,,-229.4,-186.4,-161.0,,-288.6,,-177.0,,,-243.0,19.5,False,,False,True,,,,,True,,False,False,,False,False,False,,False,,False,,,False,True
01097,3157,957.0,925.5,762.9,865.0,1087.0,,,,,1362.0,,743.0,616.6,,755.3,797.0,780.0,,758.8,,928.3,587.0,,798.0,1166.3,-2200.0,-2231.5,-2394.1,-2292.0,-2070.0,,,,,-1795.0,,-2414.0,-2540.4,,-2401.7,-2360.0,-2377.0,,-2398.2,,-2228.7,-2570.0,,-2359.0,-1990.7,False,False,False,True,,,,,True,,False,False,,False,False,False,,False,,False,False,,False,True
01099,51,18.0,41.6,,16.0,0.0,,,,,55.0,,19.5,18.0,,4.5,22.0,21.0,,14.6,,14.8,,,6.0,182.9,-33.0,-9.4,,-35.0,-51.0,,,,,4.0,,-31.5,-33.0,,-46.5,-29.0,-30.0,,-36.4,,-36.2,,,-45.0,131.9,True,,False,False,,,,,True,,True,True,,False,True,True,,False,,False,,,False,False
01101,1209,462.0,378.8,472.3,388.0,358.0,,,,,559.0,,348.0,320.5,,295.7,404.3,340.0,,213.1,,448.0,238.0,,251.0,,-747.0,-830.2,-736.7,-821.0,-851.0,,,,,-650.0,,-861.0,-888.5,,-913.3,-804.7,-869.0,,-995.9,,-761.0,-971.0,,-958.0,,False,True,False,False,,,,,True,,False,False,,False,False,False,,False,,False,False,,False,
01103,700,384.0,447.9,,392.0,452.0,,,,,445.0,,282.6,142.9,,332.2,417.6,364.0,,596.6,,304.7,,,315.0,355.3,-316.0,-252.1,,-308.0,-248.0,,,,,-255.0,,-417.4,-557.1,,-367.8,-282.4,-336.0,,-103.4,,-395.3,,,-385.0,-344.7,True,,True,True,,,,,True,,False,False,,False,True,False,,True,,False,,,False,False
01105,47,6.0,11.8,,6.0,0.0,,,,,15.0,,6.1,7.4,,1.5,7.5,,,5.0,,7.2,,,1.0,37.9,-41.0,-35.2,,-41.0,-47.0,,,,,-32.0,,-40.9,-39.6,,-45.5,-39.5,,,-42.0,,-39.8,,,-46.0,-9.1,True,,False,False,,,,,True,,True,True,,False,True,,,False,,True,,,False,True
01107,168,51.0,8.7,,45.0,44.0,,,,,70.0,,45.1,39.9,,25.6,55.1,24.0,,42.3,,46.1,,,29.0,85.1,-117.0,-159.3,,-123.0,-124.0,,,,,-98.0,,-122.9,-128.1,,-142.4,-112.9,-144.0,,-125.7,,-121.9,,,-139.0,-82.9,False,,False,False,,,,,True,,False,False,,False,True,False,,False,,False,,,False,True
01109,101,108.0,140.6,,94.0,127.0,,,,,114.0,,83.3,63.4,,27.0,76.5,60.0,,95.2,,80.9,,,31.0,516.9,7.0,39.6,,-7.0,26.0,,,,,13.0,,-17.7,-37.6,,-74.0,-24.5,-41.0,,-5.8,,-20.1,,,-70.0,415.9,False,,False,False,,,,,False,,False,False,,False,False,False,,True,,False,,,False,False
01111,132,132.0,96.8,,105.0,88.0,,,,,67.0,,105.1,79.4,,75.9,128.4,73.0,,180.6,,92.4,,,71.0,152.8,0.0,-35.2,,-27.0,-44.0,,,,,-65.0,,-26.9,-52.6,,-56.1,-3.6,-59.0,,48.6,,-39.6,,,-61.0,20.8,False,,False,False,,,,,False,,False,False,,False,False,False,,False,,False,,,False,False
01113,133,162.0,172.9,,125.0,100.0,,,,,135.0,,142.6,75.2,,97.5,125.6,100.0,,75.9,,123.1,,,88.0,159.1,29.0,39.9,,-8.0,-33.0,,,,,2.0,,9.6,-57.8,,-35.5,-7.4,-33.0,,-57.1,,-9.9,,,-45.0,26.1,False,,True,False,,,,,True,,True,False,,False,True,False,,False,,True,,,False,True
01115,478,375.0,400.0,,301.0,334.0,,,,,207.0,,299.6,222.0,,288.1,286.1,313.0,,316.8,,304.9,,,175.0,427.7,-103.0,-78.0,,-177.0,-144.0,,,,,-271.0,,-178.4,-256.0,,-189.9,-191.9,-165.0,,-161.2,,-173.1,,,-303.0,-50.3,True,,False,False,,,,,False,,False,False,,False,False,False,,False,,False,,,False,True
01117,1017,1029.0,949.4,,874.0,738.0,,,,,443.0,,930.4,835.1,,1023.7,860.8,740.0,,1136.7,,644.5,587.0,,542.0,1360.1,12.0,-67.6,,-143.0,-279.0,,,,,-574.0,,-86.6,-181.9,,6.7,-156.2,-277.0,,119.7,,-372.5,-430.0,,-475.0,343.1,False,,False,False,,,,,False,,False,False,,True,False,False,,False,,False,False,,False,False
01119,35,0.0,0.0,,2.0,0.0,,,,,35.0,,1.1,12.9,,1.3,17.3,5.0,,4.4,,8.6,,,1.0,20.6,-35.0,-35.0,,-33.0,-35.0,,,,,0.0,,-33.9,-22.1,,-33.7,-17.7,-30.0,,-30.6,,-26.4,,,-34.0,-14.4,False,,True,False,,,,,True,,True,True,,True,True,True,,True,,True,,,True,True
01121,406,243.0,647.4,,177.0,176.0,,,,,238.0,,123.4,200.2,,148.0,182.6,239.0,,41.1,,171.1,,,69.0,1072.4,-163.0,241.4,,-229.0,-230.0,,,,,-168.0,,-282.6,-205.8,,-258.0,-223.4,-167.0,,-364.9,,-234.9,,,-337.0,666.4,False,,False,False,,,,,False,,False,False,,False,False,False,,False,,False,,,False,False
01123,127,90.0,110.7,,68.0,28.0,,,,,95.0,,65.6,78.3,,47.0,71.3,54.0,,80.3,,67.8,,,29.0,169.4,-37.0,-16.3,,-59.0,-99.0,,,,,-32.0,,-61.4,-48.7,,-80.0,-55.7,-73.0,,-46.7,,-59.2,,,-98.0,42.4,True,,False,False,,,,,True,,False,False,,False,False,False,,False,,False,,,False,False
