,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01065,146,305.0,43.0,,,,,195.0,,294.4,27.2,,89.9,43.5,,5.7,,,,159.0,-103.0,,,,,49.0,,148.4,-118.8,,-56.1,-102.5,,-140.3,,,,True,,,,,True,,True,True,,True,True,,True,,,
01067,247,540.0,139.0,,,,,96.0,,416.9,61.1,,308.5,76.8,,124.1,,,,293.0,-108.0,,,,,-151.0,,169.9,-185.9,,61.5,-170.2,,-122.9,,,,True,,,,,True,,True,True,,True,True,,True,,,
01069,1474,3525.0,11732.0,,,,,934.0,,1771.0,485.7,,3165.1,603.1,,397.3,1889.5,,,2051.0,10258.0,,,,,-540.0,,297.0,-988.3,,1691.1,-870.9,,-1076.7,415.5,,,False,,,,,True,,True,True,,True,True,,True,True,,
01071,657,700.0,672.0,,,,,567.0,,148.3,212.5,,438.4,118.7,,172.1,496.5,,,43.0,15.0,,,,,-90.0,,-508.7,-444.5,,-218.6,-538.3,,-484.9,-160.5,,,True,,,,,False,,False,False,,False,False,,False,False,,
01073,4365,8170.0,31932.0,,,,,6458.0,,233.0,2212.5,,7488.8,2803.5,,2459.6,4505.0,,,3805.0,27567.0,,,,,2093.0,,-4132.0,-2152.5,,3123.8,-1561.5,,-1905.4,140.0,,,False,,,,,True,,False,True,,True,True,,True,True,,
01075,151,280.0,0.0,,,,,162.0,,238.6,47.9,,196.4,41.5,,46.5,,,,129.0,-151.0,,,,,11.0,,87.6,-103.1,,45.4,-109.5,,-104.5,,,,False,,,,,True,,True,True,,True,True,,True,,,
01077,659,615.0,1370.0,,,,,1067.0,,72.4,244.2,,452.9,196.5,,204.5,462.8,,,-44.0,711.0,,,,,408.0,,-586.6,-414.8,,-206.1,-462.5,,-454.5,-196.2,,,False,,,,,False,,False,False,,False,False,,False,False,,
01079,266,265.0,44.0,,,,,340.0,,118.9,136.6,,131.7,97.1,,58.0,,,,-1.0,-222.0,,,,,74.0,,-147.1,-129.4,,-134.3,-168.9,,-208.0,,,,False,,,,,False,,False,False,,False,False,,False,,,
01081,881,10560.0,30276.0,,,,,2196.0,,4993.1,667.7,,8713.3,2157.5,,531.6,4351.3,,,9679.0,29395.0,,,,,1315.0,,4112.1,-213.3,,7832.3,1276.5,,-349.4,3470.3,,,False,,,,,True,,True,True,,True,True,,True,True,,
01083,866,985.0,2236.0,,,,,1103.0,,165.8,210.4,,902.1,398.5,,187.4,501.9,,,119.0,1370.0,,,,,237.0,,-700.2,-655.6,,36.1,-467.5,,-678.6,-364.1,,,False,,,,,False,,False,False,,True,False,,False,False,,
01085,67,205.0,0.0,,,,,69.0,,2.9,10.3,,47.6,0.3,,15.7,,,,138.0,-67.0,,,,,2.0,,-64.1,-56.7,,-19.4,-66.7,,-51.3,,,,True,,,,,True,,True,True,,True,True,,True,,,
01087,61,280.0,136.0,,,,,77.0,,493.2,52.3,,30.8,39.6,,26.8,,,,219.0,75.0,,,,,16.0,,432.2,-8.7,,-30.2,-21.4,,-34.2,,,,True,,,,,True,,False,True,,True,True,,True,,,
01089,1893,3580.0,3875.0,,,,,2861.0,,155.1,1336.5,,4087.7,590.3,,470.7,1695.2,,,1687.0,1982.0,,,,,968.0,,-1737.9,-556.5,,2194.7,-1302.7,,-1422.3,-197.8,,,False,,,,,True,,False,True,,False,True,,True,True,,
01091,324,215.0,0.0,,,,,251.0,,199.4,45.6,,85.1,0.3,,25.6,,,,-109.0,-324.0,,,,,-73.0,,-124.6,-278.4,,-238.9,-323.7,,-298.4,,,,False,,,,,True,,False,False,,False,False,,False,,,
01093,158,790.0,0.0,,,,,287.0,,407.9,127.4,,996.1,140.3,,33.0,,,,632.0,-158.0,,,,,129.0,,249.9,-30.6,,838.1,-17.7,,-125.0,,,,True,,,,,True,,True,True,,False,True,,True,,,
01095,593,1425.0,72.0,,,,,1268.0,,110.8,204.1,,1042.5,329.4,,67.0,747.6,,,832.0,-521.0,,,,,675.0,,-482.2,-388.9,,449.5,-263.6,,-526.0,154.6,,,True,,,,,True,,True,True,,True,True,,True,True,,
01097,3885,2805.0,818.0,,,,,2482.0,,94.8,989.3,,2260.3,395.4,,56.8,2809.2,,,-1080.0,-3067.0,,,,,-1403.0,,-3790.2,-2895.7,,-1624.7,-3489.6,,-3828.2,-1075.8,,,False,,,,,False,,False,False,,False,False,,False,True,,
01099,73,655.0,0.0,,,,,178.0,,361.6,44.2,,34.5,27.2,,25.2,,,,582.0,-73.0,,,,,105.0,,288.6,-28.8,,-38.5,-45.8,,-47.8,,,,True,,,,,True,,True,True,,True,True,,True,,,
01101,1661,2660.0,12707.0,,,,,2079.0,,137.8,431.0,,1492.4,889.4,,482.8,2187.6,,,999.0,11046.0,,,,,418.0,,-1523.2,-1230.0,,-168.6,-771.6,,-1178.2,526.6,,,False,,,,,True,,False,False,,True,True,,False,True,,
01103,970,1185.0,2727.0,,,,,1272.0,,131.9,262.9,,710.7,158.3,,243.3,774.5,,,215.0,1757.0,,,,,302.0,,-838.1,-707.1,,-259.3,-811.7,,-726.7,-195.5,,,False,,,,,False,,False,False,,False,False,,False,True,,
01105,56,260.0,0.0,,,,,54.0,,9.6,16.4,,29.6,0.0,,3.0,,,,204.0,-56.0,,,,,-2.0,,-46.4,-39.6,,-26.4,-56.0,,-53.0,,,,True,,,,,True,,True,True,,True,True,,True,,,
01107,219,350.0,188.0,,,,,201.0,,334.4,60.9,,144.8,76.4,,77.0,,,,131.0,-31.0,,,,,-18.0,,115.4,-158.1,,-74.2,-142.6,,-142.0,,,,True,,,,,True,,True,False,,True,False,,False,,,
01109,194,1360.0,599.0,,,,,692.0,,734.9,98.3,,514.0,155.9,,113.0,,,,1166.0,405.0,,,,,498.0,,540.9,-95.7,,320.0,-38.1,,-81.0,,,,True,,,,,True,,True,True,,True,True,,True,,,
01111,221,525.0,0.0,,,,,263.0,,332.3,93.2,,299.8,61.0,,0.8,,,,304.0,-221.0,,,,,42.0,,111.3,-127.8,,78.8,-160.0,,-220.2,,,,True,,,,,True,,True,True,,True,True,,True,,,
01113,253,680.0,31.0,,,,,576.0,,314.3,106.6,,163.1,33.6,,47.8,370.2,,,427.0,-222.0,,,,,323.0,,61.3,-146.4,,-89.9,-219.4,,-205.2,117.2,,,True,,,,,True,,True,True,,True,True,,True,True,,
