,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MSRA-DeepST,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MSRA-DeepST,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,96,66.0,,70.9,,54.0,53.0,,,,,,89.6,,51.0,,54.1,33.1,,43.0,63.5,,,63.0,30.0,,,,64.3,,,64.0,77.3,-30.0,,-25.1,,-42.0,-43.0,,,,,,-6.4,,-45.0,,-41.9,-62.9,,-53.0,-32.5,,,-33.0,-66.0,,,,-31.7,,,-32.0,-18.7,,True,,False,False,,,,,,True,,False,,False,False,,False,False,,,False,False,,,,False,,,False,True
01023,7,11.0,,10.6,,9.0,7.0,,,,,,14.5,,18.0,,7.8,6.2,,3.3,9.3,,,15.0,5.0,,,,,,,10.0,6.3,4.0,,3.6,,2.0,0.0,,,,,,7.5,,11.0,,0.8,-0.8,,-3.7,2.3,,,8.0,-2.0,,,,,,,3.0,-0.7,,True,,True,True,,,,,,False,,False,,True,True,,True,True,,,False,True,,,,,,,True,True
01025,90,43.0,,36.2,,38.0,44.0,,,,,,50.9,,42.0,,48.3,11.1,,23.2,37.8,,,66.0,0.0,,,,37.6,,,27.0,35.3,-47.0,,-53.8,,-52.0,-46.0,,,,,,-39.1,,-48.0,,-41.7,-78.9,,-66.8,-52.2,,,-24.0,-90.0,,,,-52.4,,,-63.0,-54.7,,False,,False,True,,,,,,True,,False,,True,False,,False,False,,,True,False,,,,False,,,False,False
01027,42,56.0,,52.5,,41.0,38.0,,,,,,38.3,,13.0,,43.1,10.4,,31.8,46.8,,,65.0,22.0,,,,,,,40.0,46.0,14.0,,10.5,,-1.0,-4.0,,,,,,-3.7,,-29.0,,1.1,-31.6,,-10.2,4.8,,,23.0,-20.0,,,,,,,-2.0,4.0,,True,,True,True,,,,,,True,,False,,True,False,,True,True,,,False,False,,,,,,,True,True
01029,48,48.0,,46.6,,37.0,33.0,,,,,,25.0,,17.0,,40.8,10.3,,32.5,44.5,,,56.0,109.0,,,,,,,41.0,36.7,0.0,,-1.4,,-11.0,-15.0,,,,,,-23.0,,-31.0,,-7.2,-37.7,,-15.5,-3.5,,,8.0,61.0,,,,,,,-7.0,-11.3,,False,,False,False,,,,,,False,,False,,False,False,,False,False,,,False,False,,,,,,,False,False
01031,141,94.0,,127.1,,88.0,91.0,,,,,,69.7,,46.0,,75.6,55.3,,81.2,93.5,,,86.0,101.0,,,,87.7,,,94.0,82.0,-47.0,,-13.9,,-53.0,-50.0,,,,,,-71.3,,-95.0,,-65.4,-85.7,,-59.8,-47.5,,,-55.0,-40.0,,,,-53.3,,,-47.0,-59.0,,True,,False,False,,,,,,False,,False,,False,False,,False,False,,,False,True,,,,False,,,False,False
01033,129,79.0,,82.9,,77.0,93.0,,,,,,70.6,,87.0,,68.5,30.1,,49.5,77.0,,,93.0,73.0,,,,65.7,,,83.0,45.9,-50.0,,-46.1,,-52.0,-36.0,,,,,,-58.4,,-42.0,,-60.5,-98.9,,-79.5,-52.0,,,-36.0,-56.0,,,,-63.3,,,-46.0,-83.1,,True,,False,True,,,,,,False,,True,,False,False,,False,False,,,True,False,,,,False,,,True,False
01035,8,7.0,,8.8,,5.0,0.0,,,,,,19.7,,12.0,,6.1,3.9,,1.2,5.2,0.0,,8.0,1.0,,,,,,,5.0,20.2,-1.0,,0.8,,-3.0,-8.0,,,,,,11.7,,4.0,,-1.9,-4.1,,-6.8,-2.8,-8.0,,0.0,-7.0,,,,,,,-3.0,12.2,,True,,False,False,,,,,,False,,False,,False,False,,False,False,False,,True,False,,,,,,,False,False
01037,7,9.0,,9.3,,7.0,0.0,,,,,,11.4,,7.0,,8.5,5.2,,3.4,6.7,0.0,,10.0,0.0,,,,,,,6.0,13.0,2.0,,2.3,,0.0,-7.0,,,,,,4.4,,0.0,,1.5,-1.8,,-3.6,-0.3,-7.0,,3.0,-7.0,,,,,,,-1.0,6.0,,False,,True,False,,,,,,False,,True,,True,True,,False,True,False,,False,False,,,,,,,True,False
01039,101,99.0,,93.5,,74.0,102.0,,,,,,85.4,,44.0,,76.7,32.9,,40.1,72.0,0.1,,111.0,6.0,,,,87.6,,,64.0,62.1,-2.0,,-7.5,,-27.0,1.0,,,,,,-15.6,,-57.0,,-24.3,-68.1,,-60.9,-29.0,-100.9,,10.0,-95.0,,,,-13.4,,,-37.0,-38.9,,False,,False,True,,,,,,False,,False,,False,False,,False,False,False,,False,False,,,,False,,,False,False
01041,18,21.0,,32.8,,14.0,2.0,,,,,,19.8,,13.0,,19.1,11.9,,13.5,23.8,0.0,,26.0,15.0,,,,,,,21.0,26.7,3.0,,14.8,,-4.0,-16.0,,,,,,1.8,,-5.0,,1.1,-6.1,,-4.5,5.8,-18.0,,8.0,-3.0,,,,,,,3.0,8.7,,False,,False,False,,,,,,True,,False,,True,False,,False,False,False,,False,False,,,,,,,False,False
01043,241,176.0,,204.7,,145.0,276.0,,,,,,114.4,,132.0,,137.9,42.9,,133.9,188.6,1.3,,205.0,115.0,,,,152.8,,,230.0,55.1,-65.0,,-36.3,,-96.0,35.0,,,,,,-126.6,,-109.0,,-103.1,-198.1,,-107.1,-52.4,-239.7,,-36.0,-126.0,,,,-88.2,,,-11.0,-185.9,,True,,False,True,,,,,,False,,False,,False,False,,False,True,False,,True,False,,,,False,,,True,False
01045,147,62.0,,93.0,,55.0,74.0,,,,,,77.8,,42.0,,35.8,35.0,,48.5,62.5,0.1,,45.0,117.0,,,,62.8,,,42.0,79.2,-85.0,,-54.0,,-92.0,-73.0,,,,,,-69.2,,-105.0,,-111.2,-112.0,,-98.5,-84.5,-146.9,,-102.0,-30.0,,,,-84.2,,,-105.0,-67.8,,True,,False,True,,,,,,True,,False,,False,False,,False,True,False,,False,True,,,,True,,,False,True
01047,22,16.0,,24.8,,15.0,14.0,,,,,,44.6,,41.0,,17.7,12.1,,3.1,15.9,0.0,,17.0,5.0,,,,14.5,,,20.0,38.4,-6.0,,2.8,,-7.0,-8.0,,,,,,22.6,,19.0,,-4.3,-9.9,,-18.9,-6.1,-22.0,,-5.0,-17.0,,,,-7.5,,,-2.0,16.4,,True,,False,False,,,,,,False,,False,,True,False,,False,False,False,,True,False,,,,False,,,True,False
01049,289,292.0,,295.0,,260.0,470.0,,,,,,216.4,,130.0,,260.8,42.9,,245.6,276.4,110.4,,365.0,94.0,,,,259.8,,,278.0,121.3,3.0,,6.0,,-29.0,181.0,,,,,,-72.6,,-159.0,,-28.2,-246.1,,-43.4,-12.6,-178.6,,76.0,-195.0,,,,-29.2,,,-11.0,-167.7,,False,,False,False,,,,,,False,,False,,False,False,,False,False,False,,False,False,,,,False,,,False,False
01051,124,129.0,,125.5,,117.0,138.0,,,,,,182.1,,63.0,,123.8,60.4,,75.3,118.4,1.4,,139.0,46.0,,,,116.2,,,123.0,112.5,5.0,,1.5,,-7.0,14.0,,,,,,58.1,,-61.0,,-0.2,-63.6,,-48.7,-5.6,-122.6,,15.0,-78.0,,,,-7.8,,,-1.0,-11.5,,True,,False,False,,,,,,False,,False,,True,False,,False,False,False,,False,False,,,,False,,,True,False
01053,24,18.0,,19.7,,17.0,0.0,,,,,,53.2,,55.0,,20.6,19.2,,4.9,22.3,0.0,,20.0,0.0,,,,15.7,,,14.0,49.6,-6.0,,-4.3,,-7.0,-24.0,,,,,,29.2,,31.0,,-3.4,-4.8,,-19.1,-1.7,-24.0,,-4.0,-24.0,,,,-8.3,,,-10.0,25.6,,True,,False,False,,,,,,False,,False,,True,True,,False,True,False,,True,False,,,,False,,,False,False
01055,295,182.0,,168.5,,167.0,133.0,,,,,,208.8,,165.0,,139.0,78.9,,180.3,215.7,2.0,,175.0,138.0,,,,169.7,,,176.0,149.9,-113.0,,-126.5,,-128.0,-162.0,,,,,,-86.2,,-130.0,,-156.0,-216.1,,-114.7,-79.3,-293.0,,-120.0,-157.0,,,,-125.3,,,-119.0,-145.1,,False,,False,False,,,,,,True,,False,,False,False,,False,True,False,,False,False,,,,False,,,False,False
01057,36,39.0,,45.3,,25.0,25.0,,,,,,21.1,,23.0,,31.1,13.9,,14.3,24.8,0.1,,39.0,103.0,,,,,,,45.0,29.1,3.0,,9.3,,-11.0,-11.0,,,,,,-14.9,,-13.0,,-4.9,-22.1,,-21.7,-11.2,-35.9,,3.0,67.0,,,,,,,9.0,-6.9,,False,,False,False,,,,,,False,,False,,False,False,,False,False,False,,False,False,,,,,,,False,False
01059,75,88.0,,93.6,,63.0,44.0,,,,,,70.4,,62.0,,45.5,28.4,,63.2,78.8,3.1,,88.0,137.0,,,,80.8,,,64.0,41.9,13.0,,18.6,,-12.0,-31.0,,,,,,-4.6,,-13.0,,-29.5,-46.6,,-11.8,3.8,-71.9,,13.0,62.0,,,,5.8,,,-11.0,-33.1,,False,,True,False,,,,,,True,,False,,False,False,,True,True,False,,False,False,,,,True,,,True,False
01061,78,38.0,,40.1,,37.0,69.0,,,,,,38.4,,28.0,,47.2,28.2,,20.9,37.5,0.0,,35.0,3.0,,,,,,,28.0,54.9,-40.0,,-37.9,,-41.0,-9.0,,,,,,-39.6,,-50.0,,-30.8,-49.8,,-57.1,-40.5,-78.0,,-43.0,-75.0,,,,,,,-50.0,-23.1,,True,,False,True,,,,,,True,,False,,True,False,,False,False,False,,False,False,,,,,,,False,True
01063,6,3.0,,1.3,,3.0,0.0,,,,,,9.7,,8.0,,14.6,2.3,,4.7,11.0,0.0,,,0.0,,,,,,,18.0,4.4,-3.0,,-4.7,,-3.0,-6.0,,,,,,3.7,,2.0,,8.6,-3.7,,-1.3,5.0,-6.0,,,-6.0,,,,,,,12.0,-1.6,,False,,False,False,,,,,,False,,True,,False,False,,True,False,False,,,False,,,,,,,False,True
01065,28,38.0,,38.9,,21.0,13.0,,,,,,23.4,,21.0,,31.2,12.4,,14.0,30.2,0.2,,47.0,0.0,,,,,,,36.0,18.8,10.0,,10.9,,-7.0,-15.0,,,,,,-4.6,,-7.0,,3.2,-15.6,,-14.0,2.2,-27.8,,19.0,-28.0,,,,,,,8.0,-9.2,,False,,True,False,,,,,,True,,True,,True,False,,False,True,False,,False,False,,,,,,,True,True
01067,89,28.0,,32.7,,21.0,21.0,,,,,,19.6,,13.0,,34.0,19.2,,18.2,29.6,0.0,,25.0,0.0,,,,,,,34.0,21.4,-61.0,,-56.3,,-68.0,-68.0,,,,,,-69.4,,-76.0,,-55.0,-69.8,,-70.8,-59.4,-89.0,,-64.0,-89.0,,,,,,,-55.0,-67.6,,True,,False,False,,,,,,False,,False,,True,False,,False,True,False,,False,False,,,,,,,True,False
01069,541,117.0,,140.6,,110.0,76.0,,,,,,351.4,,94.0,,112.9,98.3,,108.4,129.4,0.3,,117.0,22.0,,,,109.7,,,99.0,270.3,-424.0,,-400.4,,-431.0,-465.0,,,,,,-189.6,,-447.0,,-428.1,-442.7,,-432.6,-411.6,-540.7,,-424.0,-519.0,,,,-431.3,,,-442.0,-270.7,,True,,False,False,,,,,,True,,False,,False,False,,False,True,False,,False,False,,,,False,,,False,True
01071,174,165.0,,168.8,,143.0,195.0,,,,,,110.0,,105.0,,144.5,31.1,,136.5,145.7,70.7,,212.0,181.0,,,,141.0,,,189.0,76.0,-9.0,,-5.2,,-31.0,21.0,,,,,,-64.0,,-69.0,,-29.5,-142.9,,-37.5,-28.3,-103.3,,38.0,7.0,,,,-33.0,,,15.0,-98.0,,True,,False,False,,,,,,False,,False,,False,False,,False,False,False,,False,True,,,,False,,,False,False
01073,991,859.0,,747.5,811.1,783.0,969.0,,,,,,918.1,,579.0,,723.5,360.7,,773.2,892.1,80.9,,904.0,623.0,,,,793.7,845.0,,946.0,804.4,-132.0,,-243.5,-179.9,-208.0,-22.0,,,,,,-72.9,,-412.0,,-267.5,-630.3,,-217.8,-98.9,-910.1,,-87.0,-368.0,,,,-197.3,-146.0,,-45.0,-186.6,,False,False,False,True,,,,,,True,,False,,False,False,,False,True,False,,True,False,,,,False,False,,True,False
01075,39,33.0,,32.2,,22.0,16.0,,,,,,21.2,,20.0,,22.2,7.9,,28.4,33.3,0.1,,36.0,100.0,,,,,,,38.0,21.8,-6.0,,-6.8,,-17.0,-23.0,,,,,,-17.8,,-19.0,,-16.8,-31.1,,-10.6,-5.7,-38.9,,-3.0,61.0,,,,,,,-1.0,-17.2,,False,,False,False,,,,,,False,,False,,False,False,,False,True,False,,True,False,,,,,,,True,False
01077,249,115.0,,114.9,,111.0,111.0,,,,,,127.5,,146.0,,79.6,39.6,,102.7,128.6,7.0,,135.0,95.0,,,,110.3,,,80.0,57.6,-134.0,,-134.1,,-138.0,-138.0,,,,,,-121.5,,-103.0,,-169.4,-209.4,,-146.3,-120.4,-242.0,,-114.0,-154.0,,,,-138.7,,,-169.0,-191.4,,False,,False,False,,,,,,True,,True,,False,False,,False,True,False,,True,False,,,,False,,,False,False
01079,69,71.0,,71.6,,61.0,68.0,,,,,,77.7,,50.0,,70.4,17.1,,43.3,60.8,27.8,,99.0,93.0,,,,,,,34.0,22.2,2.0,,2.6,,-8.0,-1.0,,,,,,8.7,,-19.0,,1.4,-51.9,,-25.7,-8.2,-41.2,,30.0,24.0,,,,,,,-35.0,-46.8,,False,,False,True,,,,,,False,,False,,True,False,,False,False,False,,False,False,,,,,,,False,False
01081,119,140.0,,169.3,,112.0,112.0,,,,,,390.6,,142.0,,106.7,113.3,,86.2,143.1,1.6,,121.0,173.0,,,,137.1,73.0,,117.0,421.2,21.0,,50.3,,-7.0,-7.0,,,,,,271.6,,23.0,,-12.3,-5.7,,-32.8,24.1,-117.4,,2.0,54.0,,,,18.1,-46.0,,-2.0,302.2,,False,,True,True,,,,,,False,,False,,True,True,,False,False,False,,True,False,,,,True,False,,True,False
01083,199,180.0,,180.3,,180.0,228.0,,,,,,203.5,,136.0,,216.1,45.7,,164.2,185.8,157.3,,234.0,121.0,,,,140.9,,,203.0,87.3,-19.0,,-18.7,,-19.0,29.0,,,,,,4.5,,-63.0,,17.1,-153.3,,-34.8,-13.2,-41.7,,35.0,-78.0,,,,-58.1,,,4.0,-111.7,,True,,False,False,,,,,,True,,False,,True,False,,False,True,False,,False,False,,,,False,,,True,False
01085,15,17.0,,10.6,,7.0,0.0,,,,,,18.7,,7.0,,13.2,6.4,,6.6,16.5,0.0,,20.0,32.0,,,,,,,0.0,9.6,2.0,,-4.4,,-8.0,-15.0,,,,,,3.7,,-8.0,,-1.8,-8.6,,-8.4,1.5,-15.0,,5.0,17.0,,,,,,,-15.0,-5.4,,False,,False,False,,,,,,False,,False,,True,False,,False,True,False,,False,False,,,,,,,False,False
01087,9,15.0,,10.0,,10.0,7.0,,,,,,17.9,,10.0,,18.3,6.8,,3.7,14.7,0.0,,24.0,5.0,,,,,,,15.0,15.6,6.0,,1.0,,1.0,-2.0,,,,,,8.9,,1.0,,9.3,-2.2,,-5.3,5.7,-9.0,,15.0,-4.0,,,,,,,6.0,6.6,,True,,True,True,,,,,,False,,True,,False,True,,True,True,False,,False,True,,,,,,,False,False
01089,406,410.0,,393.8,405.3,384.0,486.0,,,,,,488.2,,374.0,,306.8,172.7,,374.3,412.0,25.8,,415.0,426.0,,,,352.8,437.0,,322.0,346.0,4.0,,-12.2,-0.7,-22.0,80.0,,,,,,82.2,,-32.0,,-99.2,-233.3,,-31.7,6.0,-380.2,,9.0,20.0,,,,-53.2,31.0,,-84.0,-60.0,,False,True,False,False,,,,,,False,,False,,False,False,,False,False,False,,False,False,,,,False,False,,False,False
01091,54,80.0,,99.0,,44.0,4.0,,,,,,42.5,,30.0,,145.2,8.9,,43.9,65.3,29.1,,154.0,0.0,,,,,,,127.0,21.7,26.0,,45.0,,-10.0,-50.0,,,,,,-11.5,,-24.0,,91.2,-45.1,,-10.1,11.3,-24.9,,100.0,-54.0,,,,,,,73.0,-32.3,,False,,True,False,,,,,,True,,True,,False,False,,True,True,True,,False,False,,,,,,,False,False
01093,41,17.0,,11.6,,14.0,15.0,,,,,,29.1,,43.0,,12.3,13.2,,9.0,20.4,0.1,,15.0,13.0,,,,15.4,,,17.0,22.9,-24.0,,-29.4,,-27.0,-26.0,,,,,,-11.9,,2.0,,-28.7,-27.8,,-32.0,-20.6,-40.9,,-26.0,-28.0,,,,-25.6,,,-24.0,-18.1,,False,,False,False,,,,,,True,,True,,False,False,,False,True,False,,False,False,,,,False,,,False,True
01095,142,103.0,,103.5,,99.0,117.0,,,,,,144.5,,159.0,,94.5,40.0,,75.3,113.8,2.9,,140.0,24.0,,,,85.3,,,104.0,72.1,-39.0,,-38.5,,-43.0,-25.0,,,,,,2.5,,17.0,,-47.5,-102.0,,-66.7,-28.2,-139.1,,-2.0,-118.0,,,,-56.7,,,-38.0,-69.9,,True,,False,True,,,,,,True,,True,,False,False,,False,True,False,,True,False,,,,False,,,True,False
01097,2604,297.0,,301.4,298.8,295.0,261.0,,,,,,355.3,,529.0,,214.4,161.0,,295.5,362.6,6.5,,302.0,343.0,,,,292.6,258.0,,299.0,210.4,-2307.0,,-2302.6,-2305.2,-2309.0,-2343.0,,,,,,-2248.7,,-2075.0,,-2389.6,-2443.0,,-2308.5,-2241.4,-2597.5,,-2302.0,-2261.0,,,,-2311.4,-2346.0,,-2305.0,-2393.6,,True,True,False,False,,,,,,True,,True,,False,False,,False,True,False,,True,True,,,,False,False,,True,False
01099,21,16.0,,5.3,,5.0,0.0,,,,,,22.9,,24.0,,13.1,5.6,,4.1,14.2,0.0,,17.0,1.0,,,,,,,16.0,42.4,-5.0,,-15.7,,-16.0,-21.0,,,,,,1.9,,3.0,,-7.9,-15.4,,-16.9,-6.8,-21.0,,-4.0,-20.0,,,,,,,-5.0,21.4,,False,,False,False,,,,,,True,,True,,False,False,,False,False,False,,True,False,,,,,,,False,False
01101,641,374.0,,408.3,338.9,351.0,382.0,,,,,,273.8,,163.0,,276.3,113.0,,279.7,363.4,12.6,,436.0,412.0,,,,376.1,364.0,,463.0,191.3,-267.0,,-232.7,-302.1,-290.0,-259.0,,,,,,-367.2,,-478.0,,-364.7,-528.0,,-361.3,-277.6,-628.4,,-205.0,-229.0,,,,-264.9,-277.0,,-178.0,-449.7,,True,False,False,True,,,,,,False,,False,,False,False,,False,False,False,,True,True,,,,True,False,,True,False
