,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01021,156,146.0,169.2,,125.0,100.0,,,,,351.4,,,91.0,,124.9,67.9,,75.7,132.0,,106.0,351.0,,,,150.6,,,,122.0,146.8,,-10.0,13.2,,-31.0,-56.0,,,,,195.4,,,-65.0,,-31.1,-88.1,,-80.3,-24.0,,-50.0,195.0,,,,-5.4,,,,-34.0,-9.2,,False,,False,False,,,,,False,,,False,,False,False,,False,False,,False,False,,,,True,,,,False,True,
01023,15,28.0,26.9,,23.0,14.0,,,,,89.8,,,30.0,,25.3,10.9,,6.1,20.5,,17.0,85.0,,,,,,,,43.0,12.2,,13.0,11.9,,8.0,-1.0,,,,,74.8,,,15.0,,10.3,-4.1,,-8.9,5.5,,2.0,70.0,,,,,,,,28.0,-2.8,,True,,True,True,,,,,False,,,False,,True,True,,True,True,,True,False,,,,,,,,False,True,
01025,127,146.0,144.3,,106.0,112.0,,,,,106.2,,,79.0,,120.1,20.4,,85.5,100.0,,160.0,383.0,,,,138.2,,,,103.0,67.7,,19.0,17.3,,-21.0,-15.0,,,,,-20.8,,,-48.0,,-6.9,-106.6,,-41.5,-27.0,,33.0,256.0,,,,11.2,,,,-24.0,-59.3,,True,,False,True,,,,,False,,,False,,True,False,,False,False,,False,False,,,,True,,,,False,False,
01027,100,66.0,41.4,,58.0,63.0,,,,,79.7,,,22.0,,56.5,21.1,,36.9,60.5,,61.0,178.0,,,,,,,,60.0,70.3,,-34.0,-58.6,,-42.0,-37.0,,,,,-20.3,,,-78.0,,-43.5,-78.9,,-63.1,-39.5,,-39.0,78.0,,,,,,,,-40.0,-29.7,,False,,False,False,,,,,True,,,False,,False,False,,False,False,,False,False,,,,,,,,False,True,
01029,89,86.0,80.0,,63.0,64.0,,,,,95.3,,,31.0,,63.1,21.2,,36.2,61.2,,78.0,64.0,,,,,,,,35.0,61.1,,-3.0,-9.0,,-26.0,-25.0,,,,,6.3,,,-58.0,,-25.9,-67.8,,-52.8,-27.8,,-11.0,-25.0,,,,,,,,-54.0,-27.9,,False,,False,False,,,,,False,,,False,,False,False,,False,False,,False,False,,,,,,,,False,False,
01031,242,138.0,211.0,,133.0,181.0,,,,,144.2,,,94.0,,144.8,98.5,,79.0,127.5,,152.0,564.0,,,,106.9,,,,204.0,158.7,,-104.0,-31.0,,-109.0,-61.0,,,,,-97.8,,,-148.0,,-97.2,-143.5,,-163.0,-114.5,,-90.0,322.0,,,,-135.1,,,,-38.0,-83.3,,True,,False,True,,,,,True,,,False,,True,False,,False,False,,True,False,,,,False,,,,True,True,
01033,201,164.0,169.7,,155.0,202.0,,,,,157.7,,,158.0,,131.8,57.6,,93.7,162.5,,212.0,261.0,,,,157.8,,,,162.0,80.1,,-37.0,-31.3,,-46.0,1.0,,,,,-43.3,,,-43.0,,-69.2,-143.4,,-107.3,-38.5,,11.0,60.0,,,,-43.2,,,,-39.0,-120.9,,True,,False,True,,,,,False,,,False,,False,False,,False,False,,True,False,,,,False,,,,False,False,
01035,15,14.0,30.4,,14.0,0.0,,,,,64.0,,,20.0,,12.4,7.6,,2.4,12.8,0.0,7.0,70.0,,,,,,,,8.0,29.5,,-1.0,15.4,,-1.0,-15.0,,,,,49.0,,,5.0,,-2.6,-7.4,,-12.6,-2.2,-15.0,-8.0,55.0,,,,,,,,-7.0,14.5,,False,,False,False,,,,,False,,,False,,False,False,,False,False,False,False,False,,,,,,,,False,False,
01037,16,16.0,16.0,,13.0,2.0,,,,,82.5,,,11.0,,18.5,11.1,,4.2,12.5,0.0,10.0,96.0,,,,,,,,22.0,24.0,,0.0,-0.0,,-3.0,-14.0,,,,,66.5,,,-5.0,,2.5,-4.9,,-11.8,-3.5,-16.0,-6.0,80.0,,,,,,,,6.0,8.0,,False,,False,False,,,,,False,,,False,,False,False,,False,False,False,False,False,,,,,,,,False,False,
01039,199,128.0,54.1,,121.0,165.0,,,,,148.9,,,90.0,,148.0,69.7,,121.2,150.2,0.1,139.0,474.0,,,,88.6,,,,160.0,247.4,,-71.0,-144.9,,-78.0,-34.0,,,,,-50.1,,,-109.0,,-51.0,-129.3,,-77.8,-48.8,-198.9,-60.0,275.0,,,,-110.4,,,,-39.0,48.4,,False,,False,True,,,,,True,,,False,,True,False,,False,True,False,True,False,,,,False,,,,True,True,
01041,45,32.0,68.1,,26.0,2.0,,,,,72.9,,,24.0,,25.9,16.1,,18.5,34.8,0.0,15.0,101.0,,,,,,,,19.0,44.0,62.1,-13.0,23.1,,-19.0,-43.0,,,,,27.9,,,-21.0,,-19.1,-28.9,,-26.5,-10.2,-45.0,-30.0,56.0,,,,,,,,-26.0,-1.0,17.1,False,,False,False,,,,,False,,,False,,False,False,,False,True,False,False,False,,,,,,,,False,True,False
01043,404,180.0,330.7,,168.0,219.0,,,,,244.7,,,248.0,,159.0,78.3,,94.9,159.9,79.9,175.0,605.0,,,,148.1,,,,198.0,170.3,,-224.0,-73.3,,-236.0,-185.0,,,,,-159.3,,,-156.0,,-245.0,-325.7,,-309.1,-244.1,-324.1,-229.0,201.0,,,,-255.9,,,,-206.0,-233.7,,True,,False,True,,,,,True,,,True,,False,False,,False,False,False,False,True,,,,False,,,,True,False,
01045,209,76.0,164.3,,75.0,234.0,,,,,177.4,,,82.0,,73.7,64.1,,31.7,70.0,0.2,,296.0,,,,73.7,,,,197.0,116.3,,-133.0,-44.7,,-134.0,25.0,,,,,-31.6,,,-127.0,,-135.3,-144.9,,-177.3,-139.0,-208.8,,87.0,,,,-135.3,,,,-12.0,-92.7,,True,,False,True,,,,,True,,,True,,False,False,,False,False,False,,True,,,,False,,,,True,True,
01047,36,46.0,67.2,,43.0,31.0,,,,,150.4,,,68.0,,44.2,26.1,,16.9,42.2,0.1,30.0,212.0,,,,38.4,,,,33.0,132.8,,10.0,31.2,,7.0,-5.0,,,,,114.4,,,32.0,,8.2,-9.9,,-19.1,6.2,-35.9,-6.0,176.0,,,,2.4,,,,-3.0,96.8,,False,,True,True,,,,,False,,,False,,True,True,,False,True,False,True,False,,,,True,,,,True,False,
01049,585,484.0,479.3,,400.0,935.0,,,,,255.6,,,248.0,,452.6,78.5,,419.0,418.1,15.8,662.0,997.0,,,,395.8,,,,651.0,196.2,,-101.0,-105.7,,-185.0,350.0,,,,,-329.4,,,-337.0,,-132.4,-506.5,,-166.0,-166.9,-569.2,77.0,412.0,,,,-189.2,,,,66.0,-388.8,,False,,False,False,,,,,False,,,False,,False,False,,False,False,False,True,False,,,,False,,,,True,False,
01051,255,256.0,291.9,,219.0,309.0,,,,,533.4,,,108.0,,225.2,83.1,,196.7,217.2,4.4,272.0,338.0,,,,210.3,,,,257.0,210.3,,1.0,36.9,,-36.0,54.0,,,,,278.4,,,-147.0,,-29.8,-171.9,,-58.3,-37.8,-250.6,17.0,83.0,,,,-44.7,,,,2.0,-44.7,,False,,False,False,,,,,False,,,False,,False,False,,False,False,False,False,False,,,,False,,,,False,False,
01053,44,68.0,78.9,,61.0,0.0,,,,,118.0,,,108.0,,74.5,44.8,,28.3,51.9,0.1,66.0,211.0,,,,46.1,,,,95.0,144.6,,24.0,34.9,,17.0,-44.0,,,,,74.0,,,64.0,,30.5,0.8,,-15.7,7.9,-43.9,22.0,167.0,,,,2.1,,,,51.0,100.6,,False,,True,False,,,,,False,,,False,,False,True,,True,True,False,True,False,,,,True,,,,False,False,
01055,496,200.0,123.1,,179.0,143.0,,,,,358.0,,,309.0,,185.1,158.6,,173.1,223.7,3.9,163.0,400.0,,,,166.0,,,,189.0,304.4,,-296.0,-372.9,,-317.0,-353.0,,,,,-138.0,,,-187.0,,-310.9,-337.4,,-322.9,-272.3,-492.1,-333.0,-96.0,,,,-330.0,,,,-307.0,-191.6,,False,,False,False,,,,,True,,,True,,False,False,,False,True,False,False,True,,,,False,,,,False,True,
01057,77,42.0,58.4,,40.0,35.0,,,,,76.4,,,39.0,,24.2,23.5,,34.0,56.1,0.2,21.0,61.0,,,,,,,,14.0,58.7,,-35.0,-18.6,,-37.0,-42.0,,,,,-0.6,,,-38.0,,-52.8,-53.5,,-43.0,-20.9,-76.8,-56.0,-16.0,,,,,,,,-63.0,-18.3,,True,,False,False,,,,,True,,,False,,False,False,,False,True,False,False,True,,,,,,,,False,True,
01059,166,100.0,99.6,,84.0,66.0,,,,,166.6,,,113.0,,72.9,34.4,,40.2,88.3,5.8,127.0,18.0,,,,82.3,,,,123.0,364.8,,-66.0,-66.4,,-82.0,-100.0,,,,,0.6,,,-53.0,,-93.1,-131.6,,-125.8,-77.7,-160.2,-39.0,-148.0,,,,-83.7,,,,-43.0,198.8,,False,,False,False,,,,,True,,,True,,False,False,,False,False,False,True,False,,,,False,,,,True,False,
01061,115,110.0,137.7,,86.0,210.0,,,,,102.3,,,57.0,,145.8,59.3,,54.9,86.2,0.0,181.0,416.0,,,,,,,,198.0,69.4,,-5.0,22.7,,-29.0,95.0,,,,,-12.7,,,-58.0,,30.8,-55.7,,-60.1,-28.8,-115.0,66.0,301.0,,,,,,,,83.0,-45.6,,False,,False,False,,,,,False,,,False,,False,False,,False,False,False,False,False,,,,,,,,False,False,
01063,17,38.0,33.8,,16.0,0.0,,,,,75.4,,,11.0,,35.1,5.6,,10.9,17.5,0.0,14.0,103.0,,,,,,,,63.0,16.9,,21.0,16.8,,-1.0,-17.0,,,,,58.4,,,-6.0,,18.1,-11.4,,-6.1,0.5,-17.0,-3.0,86.0,,,,,,,,46.0,-0.1,,True,,True,True,,,,,False,,,True,,True,True,,True,True,True,True,False,,,,,,,,False,True,
01065,71,62.0,66.4,,37.0,21.0,,,,,83.1,,,33.0,,60.6,16.9,,22.0,45.4,0.5,62.0,152.0,,,,,,,,60.0,36.1,,-9.0,-4.6,,-34.0,-50.0,,,,,12.1,,,-38.0,,-10.4,-54.1,,-49.0,-25.6,-70.5,-9.0,81.0,,,,,,,,-11.0,-34.9,,True,,False,False,,,,,False,,,False,,False,False,,False,False,False,False,False,,,,,,,,False,False,
01067,115,72.0,97.0,,53.0,52.0,,,,,82.4,,,27.0,,84.7,26.9,,24.8,53.7,0.0,106.0,303.0,,,,,,,,130.0,58.8,,-43.0,-18.0,,-62.0,-63.0,,,,,-32.6,,,-88.0,,-30.3,-88.1,,-90.2,-61.3,-115.0,-9.0,188.0,,,,,,,,15.0,-56.2,,True,,False,False,,,,,True,,,False,,True,False,,False,False,False,True,False,,,,,,,,True,False,
01069,666,302.0,244.7,,241.0,380.0,,,,,533.2,,,180.0,,417.9,196.3,,142.7,216.2,0.8,,1728.0,,,,241.4,,,,959.0,418.3,,-364.0,-421.3,,-425.0,-286.0,,,,,-132.8,,,-486.0,,-248.1,-469.7,,-523.3,-449.8,-665.2,,1062.0,,,,-424.6,,,,293.0,-247.7,,False,,False,True,,,,,True,,,False,,True,False,,False,False,False,,False,,,,False,,,,True,True,
01071,350,258.0,289.0,,218.0,336.0,,,,,144.5,,,202.0,,231.4,66.8,,230.9,240.5,1.1,378.0,486.0,,,,189.3,,,,290.0,109.9,,-92.0,-61.0,,-132.0,-14.0,,,,,-205.5,,,-148.0,,-118.6,-283.2,,-119.1,-109.5,-348.9,28.0,136.0,,,,-160.7,,,,-60.0,-240.1,,True,,False,True,,,,,False,,,False,,False,False,,False,False,False,True,False,,,,False,,,,True,False,
01073,1794,1502.0,1285.7,1424.5,1339.0,1636.0,,,,,2242.4,,,1135.0,,1191.2,789.0,,1312.4,1466.3,155.6,1498.0,4461.0,,,,1193.8,1126.0,,,1252.0,1468.8,,-292.0,-508.3,-369.5,-455.0,-158.0,,,,,448.4,,,-659.0,,-602.8,-1005.0,,-481.6,-327.7,-1638.4,-296.0,2667.0,,,,-600.2,-668.0,,,-542.0,-325.2,,False,False,False,True,,,,,False,,,False,,False,False,,False,False,False,False,False,,,,False,False,,,False,False,
01075,78,32.0,32.0,,32.0,18.0,,,,,83.8,,,35.0,,22.9,14.8,,25.2,44.9,0.2,32.0,10.0,,,,,,,,23.0,44.3,,-46.0,-46.0,,-46.0,-60.0,,,,,5.8,,,-43.0,,-55.1,-63.2,,-52.8,-33.1,-77.8,-46.0,-68.0,,,,,,,,-55.0,-33.7,,False,,False,False,,,,,True,,,True,,False,False,,False,True,False,False,False,,,,,,,,False,True,
01077,348,214.0,204.9,,194.0,255.0,,,,,251.3,,,259.0,,189.5,77.2,,117.7,195.0,101.5,264.0,337.0,,,,191.9,,,,220.0,99.7,,-134.0,-143.1,,-154.0,-93.0,,,,,-96.7,,,-89.0,,-158.5,-270.8,,-230.3,-153.0,-246.5,-84.0,-11.0,,,,-156.1,,,,-128.0,-248.3,,False,,False,True,,,,,True,,,True,,False,False,,False,False,False,True,True,,,,False,,,,True,False,
01079,139,118.0,122.2,,95.0,97.0,,,,,329.8,,,89.0,,101.8,38.8,,70.0,99.6,51.1,163.0,297.0,,,,,,,,58.0,65.1,,-21.0,-16.8,,-44.0,-42.0,,,,,190.8,,,-50.0,,-37.2,-100.2,,-69.0,-39.4,-87.9,24.0,158.0,,,,,,,,-81.0,-73.9,,True,,False,False,,,,,False,,,False,,False,False,,False,False,False,False,False,,,,,,,,False,False,
01081,253,328.0,334.5,,293.0,423.0,,,,,2144.2,,,250.0,,316.0,291.5,,228.8,303.1,2.8,220.0,451.0,,,,299.6,127.0,,,303.0,654.0,,75.0,81.5,,40.0,170.0,,,,,1891.2,,,-3.0,,63.0,38.5,,-24.2,50.1,-250.2,-33.0,198.0,,,,46.6,-126.0,,,50.0,401.0,,False,,True,False,,,,,False,,,True,,True,True,,True,True,False,True,False,,,,True,False,,,True,False,
01083,364,498.0,475.0,,402.0,589.0,,,,,303.5,,,251.0,,458.3,82.9,,405.8,428.9,292.7,689.0,929.0,,,,354.4,,,,573.0,219.8,,134.0,111.0,,38.0,225.0,,,,,-60.5,,,-113.0,,94.3,-281.1,,41.8,64.9,-71.3,325.0,565.0,,,,-9.6,,,,209.0,-144.2,,True,,True,False,,,,,True,,,True,,True,False,,True,True,True,False,False,,,,True,,,,False,False,
01085,30,34.0,13.9,,14.0,0.0,,,,,82.0,,,10.0,,25.7,5.7,,11.6,29.7,0.1,16.0,65.0,,,,,,,,0.0,23.9,,4.0,-16.1,,-16.0,-30.0,,,,,52.0,,,-20.0,,-4.3,-24.3,,-18.4,-0.3,-29.9,-14.0,35.0,,,,,,,,-30.0,-6.1,,False,,False,False,,,,,False,,,False,,False,False,,False,True,False,False,False,,,,,,,,False,False,
01087,24,42.0,27.4,,24.0,14.0,,,,,93.8,,,14.0,,34.5,13.5,,12.9,32.8,0.0,59.0,73.0,,,,,,,,59.0,24.1,62.0,18.0,3.4,,0.0,-10.0,,,,,69.8,,,-10.0,,10.5,-10.5,,-11.1,8.8,-24.0,35.0,49.0,,,,,,,,35.0,0.1,38.0,True,,True,True,,,,,False,,,True,,True,True,,True,True,False,False,False,,,,,,,,False,True,False
01089,797,602.0,583.6,694.9,600.0,620.0,,,,,798.2,,,676.0,,523.2,432.0,,553.1,712.3,111.1,519.0,716.0,,,,437.4,506.0,,,525.0,622.7,,-195.0,-213.4,-102.1,-197.0,-177.0,,,,,1.2,,,-121.0,,-273.8,-365.0,,-243.9,-84.7,-685.9,-278.0,-81.0,,,,-359.6,-291.0,,,-272.0,-174.3,,False,True,False,True,,,,,True,,,True,,False,False,,False,True,False,False,True,,,,False,False,,,False,True,
01091,132,270.0,283.4,,108.0,3.0,,,,,129.2,,,52.0,,212.3,15.3,,220.7,95.8,37.7,297.0,1117.0,,,,,,,,196.0,169.2,,138.0,151.4,,-24.0,-129.0,,,,,-2.8,,,-80.0,,80.3,-116.7,,88.7,-36.2,-94.3,165.0,985.0,,,,,,,,64.0,37.2,,False,,True,True,,,,,True,,,True,,True,True,,True,True,True,False,False,,,,,,,,True,True,
01093,57,56.0,19.7,,44.0,43.0,,,,,141.8,,,74.0,,55.5,33.6,,18.2,41.9,0.2,40.0,91.0,,,,,,,,69.0,73.6,,-1.0,-37.3,,-13.0,-14.0,,,,,84.8,,,17.0,,-1.5,-23.4,,-38.8,-15.1,-56.8,-17.0,34.0,,,,,,,,12.0,16.6,,False,,False,False,,,,,False,,,False,,False,False,,False,False,False,False,False,,,,,,,,False,False,
01095,244,224.0,220.1,,203.0,270.0,,,,,291.6,,,303.0,,196.4,112.4,,181.9,205.7,6.6,235.0,749.0,,,,182.4,,,,222.0,164.6,,-20.0,-23.9,,-41.0,26.0,,,,,47.6,,,59.0,,-47.6,-131.6,,-62.1,-38.3,-237.4,-9.0,505.0,,,,-61.6,,,,-22.0,-79.4,,False,,False,False,,,,,False,,,False,,False,False,,False,False,False,True,False,,,,False,,,,False,False,
01097,2929,456.0,521.9,456.0,445.0,406.0,,,,,710.1,,,1021.0,,364.1,378.5,,368.7,452.8,14.8,371.0,957.0,,,,438.8,391.0,,,332.0,499.4,,-2473.0,-2407.1,-2473.0,-2484.0,-2523.0,,,,,-2218.9,,,-1908.0,,-2564.9,-2550.5,,-2560.3,-2476.2,-2914.2,-2558.0,-1972.0,,,,-2490.2,-2538.0,,,-2597.0,-2429.6,,True,True,False,False,,,,,True,,,True,,False,False,,False,False,False,False,True,,,,False,False,,,False,True,
01099,38,26.0,11.6,,23.0,0.0,,,,,90.7,,,43.0,,24.3,10.9,,4.4,21.5,0.0,12.0,118.0,,,,,,,,23.0,32.3,22.8,-12.0,-26.4,,-15.0,-38.0,,,,,52.7,,,5.0,,-13.7,-27.1,,-33.6,-16.5,-38.0,-26.0,80.0,,,,,,,,-15.0,-5.7,-15.2,False,,False,False,,,,,False,,,True,,False,False,,False,False,False,False,False,,,,,,,,False,True,False
01101,987,444.0,561.3,398.8,370.0,420.0,,,,,718.2,,,290.0,,327.4,175.2,,312.2,480.6,22.1,530.0,860.0,,,,415.3,320.0,,,424.0,334.7,,-543.0,-425.7,-588.2,-617.0,-567.0,,,,,-268.8,,,-697.0,,-659.6,-811.8,,-674.8,-506.4,-964.9,-457.0,-127.0,,,,-571.7,-667.0,,,-563.0,-652.3,,True,False,False,False,,,,,True,,,False,,False,False,,False,True,False,True,True,,,,False,False,,,False,False,
