,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,68057,96530.0,,72657.4,73660.0,,82674.0,59734.6,49030.7,36071.9,60490.1,48339.2,45849.0,28473.0,,4600.4,5603.0,,14617.0,-8322.4,-19026.3,-31985.1,-7566.9,-19717.8,-22208.0,,True,True,,True,True,True,False,True,True,True
Hawaii,5065,10878.0,,9495.5,6905.0,,,9549.5,5946.7,3358.5,21027.3,5986.3,7377.0,5813.0,,4430.5,1840.0,,,4484.5,881.7,-1706.5,15962.3,921.3,2312.0,,True,True,,,True,True,True,False,True,True
Idaho,25220,12642.0,,10542.7,10449.0,,12121.0,8212.1,6583.0,589.1,7920.0,1713.4,7018.0,-12578.0,,-14677.3,-14771.0,,-13099.0,-17007.9,-18637.0,-24630.9,-17300.0,-23506.6,-18202.0,,False,False,,False,False,False,False,False,False,False
Illinois,124799,119252.0,,91060.3,14400.0,,74215.0,84068.0,53749.0,60988.0,137005.1,149763.9,84948.0,-5547.0,,-33738.7,-110399.0,,-50584.0,-40731.0,-71050.0,-63811.0,12206.1,24964.9,-39851.0,,False,False,,False,False,False,False,False,False,False
Indiana,61493,45689.0,,45050.6,31671.0,,37413.0,40166.7,26306.2,26053.3,32934.5,36915.3,37213.0,-15804.0,,-16442.4,-29822.0,,-24080.0,-21326.3,-35186.8,-35439.7,-28558.5,-24577.7,-24280.0,,False,False,,False,False,False,False,False,False,False
Iowa,45146,42546.0,,47126.8,39361.0,,45050.0,49988.8,17507.8,15277.4,28277.4,17380.9,19491.0,-2600.0,,1980.8,-5785.0,,-96.0,4842.8,-27638.2,-29868.6,-16868.6,-27765.1,-25655.0,,True,False,,True,False,False,False,False,False,False
Kansas,32670,28427.0,,28911.6,20764.0,,25376.0,25960.7,10992.5,9548.9,13857.3,13464.1,15902.0,-4243.0,,-3758.4,-11906.0,,-7294.0,-6709.3,-21677.5,-23121.1,-18812.7,-19205.9,-16768.0,,True,False,,False,False,False,False,False,False,False
Kentucky,43016,34209.0,,34599.8,29329.0,,35642.0,31173.1,16849.2,14538.3,23950.4,29420.0,25710.0,-8807.0,,-8416.2,-13687.0,,-7374.0,-11842.9,-26166.8,-28477.7,-19065.6,-13596.0,-17306.0,,True,False,,True,False,False,False,False,False,False
Louisiana,30244,36610.0,,22971.7,19488.0,,34323.0,20051.2,21958.0,14256.4,22259.0,24854.5,15002.0,6366.0,,-7272.3,-10756.0,,4079.0,-10192.8,-8286.0,-15987.6,-7985.0,-5389.5,-15242.0,,False,False,,True,False,False,False,False,True,False
Maine,1504,987.0,,1024.4,385.0,,1003.0,1301.3,720.8,1019.4,887.8,1905.4,1024.0,-517.0,,-479.6,-1119.0,,-501.0,-202.7,-783.2,-484.6,-616.2,401.4,-480.0,,True,False,,True,True,False,True,False,True,True
Maryland,27880,30191.0,,31094.2,1208.0,,23576.0,21527.5,16219.3,11580.3,26169.9,41164.5,27674.0,2311.0,,3214.2,-26672.0,,-4304.0,-6352.5,-11660.7,-16299.7,-1710.1,13284.5,-206.0,,False,False,,False,False,False,False,True,False,True
Massachusetts,27292,0.0,,71477.1,891.0,,11028.0,14848.9,6891.8,6538.5,7522.0,65461.0,0.0,-27292.0,,44185.1,-26401.0,,-16264.0,-12443.1,-20400.2,-20753.5,-19770.0,38169.0,-27292.0,,False,True,,True,True,True,True,True,False,False
Michigan,58421,42385.0,,28489.7,14204.0,,36057.0,37222.0,15136.9,3075.6,63550.7,20129.5,24770.0,-16036.0,,-29931.3,-44217.0,,-22364.0,-21199.0,-43284.1,-55345.4,5129.7,-38291.5,-33651.0,,False,False,,False,False,False,False,True,False,False
Minnesota,52242,39361.0,,41203.2,2049.0,,47736.0,34854.7,22061.2,25481.4,29754.1,37788.3,40637.0,-12881.0,,-11038.8,-50193.0,,-4506.0,-17387.3,-30180.8,-26760.6,-22487.9,-14453.7,-11605.0,,True,False,,True,False,False,False,False,False,True
Mississippi,28610,31143.0,,22278.2,15118.0,,33269.0,17823.9,15496.6,10774.5,20770.2,14986.6,16440.0,2533.0,,-6331.8,-13492.0,,4659.0,-10786.1,-13113.4,-17835.5,-7839.8,-13623.4,-12170.0,,False,False,,False,False,False,False,False,False,False
Missouri,76789,70021.0,,63304.9,48795.0,,52475.0,55474.5,45657.1,28985.2,42763.3,90890.8,49232.0,-6768.0,,-13484.1,-27994.0,,-24314.0,-21314.5,-31131.9,-47803.8,-34025.7,14101.8,-27557.0,,False,False,,False,False,False,False,False,False,False
Montana,18978,6391.0,,6948.5,4032.0,,9051.0,5794.4,4751.6,3704.1,2202.1,7119.9,7573.0,-12587.0,,-12029.5,-14946.0,,-9927.0,-13183.6,-14226.4,-15273.9,-16775.9,-11858.1,-11405.0,,True,False,,True,False,False,False,False,True,True
Nebraska,27410,14364.0,,14771.8,1000.0,,17714.0,13614.0,4889.1,2892.9,11432.0,6952.5,12961.0,-13046.0,,-12638.2,-26410.0,,-9696.0,-13796.0,-22520.9,-24517.1,-15978.0,-20457.5,-14449.0,,True,False,,True,False,False,False,False,False,False
Nevada,23710,18487.0,,17046.2,13827.0,,15399.0,13545.7,10544.8,6431.7,11874.7,10881.0,10202.0,-5223.0,,-6663.8,-9883.0,,-8311.0,-10164.3,-13165.2,-17278.3,-11835.3,-12829.0,-13508.0,,False,False,,False,False,False,False,False,False,False
New Hampshire,2814,1246.0,,1195.4,7.0,,840.0,926.8,741.2,756.2,953.9,2730.2,2079.0,-1568.0,,-1618.6,-2807.0,,-1974.0,-1887.2,-2072.8,-2057.8,-1860.1,-83.8,-735.0,,False,False,,False,False,False,False,False,True,True
New Jersey,39298,16989.0,,9155.9,61.0,,16328.0,13412.3,8574.2,17942.9,15254.5,12821.2,19095.0,-22309.0,,-30142.1,-39237.0,,-22970.0,-25885.7,-30723.8,-21355.1,-24043.5,-26476.8,-20203.0,,False,False,,False,False,False,True,False,False,True
New Mexico,14992,6090.0,,5469.2,2211.0,,5711.0,4414.9,3266.4,1910.8,4545.4,4067.2,4737.0,-8902.0,,-9522.8,-12781.0,,-9281.0,-10577.1,-11725.6,-13081.2,-10446.6,-10924.8,-10255.0,,False,False,,False,False,False,False,False,False,False
New York,56720,37590.0,,15461.3,91.0,,15473.0,33038.0,19065.1,38667.9,28876.1,41956.3,42738.0,-19130.0,,-41258.7,-56629.0,,-41247.0,-23682.0,-37654.9,-18052.1,-27843.9,-14763.7,-13982.0,,False,False,,False,False,False,True,False,True,True
North Carolina,77597,75173.0,,68043.3,81634.0,,82693.0,63599.8,35445.5,30122.8,45823.4,50345.0,68119.0,-2424.0,,-9553.7,4037.0,,5096.0,-13997.2,-42151.5,-47474.2,-31773.6,-27252.0,-9478.0,,False,False,,False,False,False,False,False,False,False
North Dakota,23540,12950.0,,18537.9,72.0,,13679.0,12621.5,11219.7,6901.6,9531.4,13495.2,10305.0,-10590.0,,-5002.1,-23468.0,,-9861.0,-10918.5,-12320.3,-16638.3,-14008.6,-10044.8,-13235.0,,True,False,,True,False,False,False,False,True,False
Ohio,66021,59255.0,,54065.9,34302.0,,56020.0,52700.6,27712.0,15614.4,39228.1,64076.1,55797.0,-6766.0,,-11955.1,-31719.0,,-10001.0,-13320.4,-38309.0,-50406.6,-26792.9,-1944.9,-10224.0,,False,False,,False,False,False,False,False,True,False
Oklahoma,52498,40838.0,,38652.5,25313.0,,39504.0,30806.2,21037.0,16081.3,24999.5,38828.0,33042.0,-11660.0,,-13845.5,-27185.0,,-12994.0,-21691.8,-31461.0,-36416.7,-27498.5,-13670.0,-19456.0,,False,False,,False,False,False,False,False,False,False
Oregon,13883,10941.0,,10172.2,8152.0,,8647.0,8932.1,5860.0,5544.1,6154.8,11124.2,9632.0,-2942.0,,-3710.8,-5731.0,,-5236.0,-4950.9,-8023.0,-8338.9,-7728.2,-2758.8,-4251.0,,False,False,,False,False,False,False,False,True,False
Pennsylvania,54090,39928.0,,42153.7,2296.0,,28254.0,35118.1,19731.9,14036.4,41723.1,53995.2,50105.0,-14162.0,,-11936.3,-51794.0,,-25836.0,-18971.9,-34358.1,-40053.6,-12366.9,-94.8,-3985.0,,True,False,,False,False,False,False,True,True,True
Rhode Island,8005,3920.0,,2193.2,1.0,,4467.0,3067.2,1072.4,233.4,4656.3,2941.0,1388.0,-4085.0,,-5811.8,-8004.0,,-3538.0,-4937.8,-6932.6,-7771.6,-3348.7,-5064.0,-6617.0,,False,False,,True,False,False,False,True,False,False
South Carolina,45052,49280.0,,38892.0,14585.0,,37213.0,36844.8,24805.7,14845.0,32918.4,40578.8,35289.0,4228.0,,-6160.0,-30467.0,,-7839.0,-8207.2,-20246.3,-30207.0,-12133.6,-4473.2,-9763.0,,False,False,,False,False,False,False,False,False,False
South Dakota,23252,13629.0,,17017.3,258.0,,14143.0,17229.9,6357.6,6660.6,19051.3,7118.3,7962.0,-9623.0,,-6234.7,-22994.0,,-9109.0,-6022.1,-16894.4,-16591.4,-4200.7,-16133.7,-15290.0,,True,False,,True,True,False,False,True,False,False
Tennessee,81725,70574.0,,71400.1,32034.0,,59341.0,51969.8,45574.4,35743.7,36677.7,59846.8,35510.0,-11151.0,,-10324.9,-49691.0,,-22384.0,-29755.2,-36150.6,-45981.3,-45047.3,-21878.2,-46215.0,,True,False,,False,False,False,False,False,False,False
Texas,238219,203448.0,,154807.9,123992.0,,228634.0,133458.1,76629.0,72426.5,115537.0,102185.1,119906.0,-34771.0,,-83411.1,-114227.0,,-9585.0,-104760.9,-161590.0,-165792.5,-122682.0,-136033.9,-118313.0,,False,False,,True,False,False,False,False,False,False
Utah,48845,20062.0,,21179.5,7882.0,,17458.0,17545.6,11784.0,6969.3,13006.5,19579.4,16222.0,-28783.0,,-27665.5,-40963.0,,-31387.0,-31299.4,-37061.0,-41875.7,-35838.5,-29265.6,-32623.0,,True,False,,False,False,False,False,False,False,False
Vermont,396,294.0,,198.4,61.0,,343.0,415.2,39.7,143.7,389.6,138.0,234.0,-102.0,,-197.6,-335.0,,-53.0,19.2,-356.3,-252.3,-6.4,-258.0,-162.0,,False,False,,True,True,False,False,True,False,False
Virginia,46645,48209.0,,46984.6,6781.0,,31631.0,40440.3,29323.4,31265.9,36828.9,52742.8,0.0,1564.0,,339.6,-39864.0,,-15014.0,-6204.7,-17321.6,-15379.1,-9816.1,6097.8,-46645.0,,True,False,,False,False,False,False,False,False,False
Washington,27090,20699.0,,14697.4,34982.0,,13505.0,17660.6,11806.5,10907.0,14218.7,15045.4,16268.0,-6391.0,,-12392.6,7892.0,,-13585.0,-9429.4,-15283.5,-16183.0,-12871.3,-12044.6,-10822.0,,False,False,,False,False,False,False,False,False,False
West Virginia,10423,9261.0,,12556.8,5402.0,,6668.0,10585.4,5222.1,4759.6,4587.4,20012.9,14048.0,-1162.0,,2133.8,-5021.0,,-3755.0,162.4,-5200.9,-5663.4,-5835.6,9589.9,3625.0,,False,False,,False,True,False,False,False,False,False
Wisconsin,124839,38500.0,,42184.8,23417.0,,35249.0,27743.3,25948.2,26374.3,32415.8,70159.3,31339.0,-86339.0,,-82654.2,-101422.0,,-89590.0,-97095.7,-98890.8,-98464.7,-92423.2,-54679.7,-93500.0,,True,False,,False,False,False,False,False,True,False
Wyoming,6815,1365.0,,1230.4,919.0,,2934.0,1173.8,699.6,1041.0,953.2,1995.3,410.0,-5450.0,,-5584.6,-5896.0,,-3881.0,-5641.2,-6115.4,-5774.0,-5861.8,-4819.7,-6405.0,,False,False,,True,False,False,False,False,True,False
US,2348536,1987132.0,2218382.0,1326235.0,1038413.0,1737297.8,2064419.0,1546641.8,852507.7,843024.0,1226356.9,1630560.6,1330712.0,-361404.0,-130154.0,-1022301.0,-1310123.0,-611238.2,-284117.0,-801894.2,-1496028.3,-1505512.0,-1122179.1,-717975.4,-1017824.0,True,False,False,False,True,False,False,False,False,False,False
