,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01089,3050,2280.0,,,2708.0,419.2,0.0,1249.4,,,-770.0,,,-342.0,-2630.8,-3050.0,-1800.6,,,,,True,False,False,False,,
01091,381,136.0,,,357.0,0.6,28.0,134.8,,,-245.0,,,-24.0,-380.4,-353.0,-246.2,,,,,True,False,False,False,,
01093,313,480.0,,,357.0,86.2,75.2,199.0,,,167.0,,,44.0,-226.8,-237.8,-114.0,,,,,True,False,False,True,,
01095,821,496.0,,,1100.0,67.0,65.5,750.2,,,-325.0,,,279.0,-754.0,-755.5,-70.8,,,,,True,False,False,True,,
01097,4764,3288.0,,,3796.0,1167.4,456.7,6967.8,,,-1476.0,,,-968.0,-3596.6,-4307.3,2203.8,,,,,True,False,False,False,,
01099,102,0.0,,,326.0,31.9,5.3,14.8,,,-102.0,,,224.0,-70.1,-96.7,-87.2,,,,,False,True,True,True,,
01101,2369,2024.0,,,2284.0,277.8,1577.2,1859.6,,,-345.0,,,-85.0,-2091.2,-791.8,-509.4,,,,,True,False,False,False,,
01103,1272,1320.0,,,1210.0,199.7,338.6,898.6,,,48.0,,,-62.0,-1072.3,-933.4,-373.4,,,,,False,False,False,False,,
01105,76,72.0,,,108.0,0.0,6.9,72.6,,,-4.0,,,32.0,-76.0,-69.1,-3.4,,,,,False,False,False,True,,
01107,297,272.0,,,279.0,96.1,112.4,114.7,,,-25.0,,,-18.0,-200.9,-184.6,-182.3,,,,,True,False,False,False,,
01109,386,344.0,,,655.0,85.3,69.4,268.3,,,-42.0,,,269.0,-300.7,-316.6,-117.7,,,,,False,False,False,False,,
01111,317,240.0,,,241.0,46.8,7.3,182.7,,,-77.0,,,-76.0,-270.2,-309.7,-134.3,,,,,True,False,False,False,,
01113,346,304.0,,,655.0,127.4,28.1,386.2,,,-42.0,,,309.0,-218.6,-317.9,40.2,,,,,False,False,False,True,,
01115,1135,856.0,,,691.0,229.8,137.9,440.8,,,-279.0,,,-444.0,-905.2,-997.1,-694.2,,,,,False,False,False,False,,
01117,2913,2400.0,,,1644.0,1014.2,3585.1,1185.4,,,-513.0,,,-1269.0,-1898.8,672.1,-1727.6,,,,,False,False,False,False,,
01119,64,40.0,,,152.0,0.3,2.2,58.3,,,-24.0,,,88.0,-63.7,-61.8,-5.7,,,,,False,False,False,True,,
01121,915,576.0,,,781.0,289.2,136.1,380.5,,,-339.0,,,-134.0,-625.8,-778.9,-534.5,,,,,True,False,False,False,,
01123,291,40.0,,,477.0,37.5,64.7,123.9,,,-251.0,,,186.0,-253.5,-226.3,-167.1,,,,,True,False,True,True,,
01125,4409,2488.0,,,2497.0,394.7,951.7,1533.3,,,-1921.0,,,-1912.0,-4014.3,-3457.3,-2875.7,,,,,True,False,False,False,,
01127,889,816.0,,,738.0,91.6,44.6,376.0,,,-73.0,,,-151.0,-797.4,-844.4,-513.0,,,,,False,False,False,False,,
01129,229,96.0,,,245.0,0.0,13.4,85.2,,,-133.0,,,16.0,-229.0,-215.6,-143.8,,,,,True,False,False,False,,
01131,57,80.0,,,137.0,0.6,73.1,55.6,,,23.0,,,80.0,-56.4,16.1,-1.4,,,,,False,False,True,True,,
01133,361,320.0,,,306.0,75.2,105.9,214.6,,,-41.0,,,-55.0,-285.8,-255.1,-146.4,,,,,False,False,False,False,,
02013,12,0.0,,,,,0.0,0.8,,,-12.0,,,,,-12.0,-11.2,,,,,,,False,True,,
02016,4,16.0,,,,,8.9,12.7,,,12.0,,,,,4.9,8.7,,,,,,,True,True,,
02020,3940,2384.0,,,,1077.4,1304.3,1297.1,,,-1556.0,,,,-2862.6,-2635.7,-2642.9,,,,,,False,False,False,,
02050,312,152.0,,,,,26.7,96.6,,,-160.0,,,,,-285.3,-215.4,,,,,,,False,False,,
02060,0,0.0,,,,,0.5,,,,0.0,,,,,0.5,,,,,,,,False,,,
02068,20,0.0,,,,,0.0,,,,-20.0,,,,,-20.0,,,,,,,,False,,,
02070,19,0.0,,,,,0.2,2.0,,,-19.0,,,,,-18.8,-17.0,,,,,,,True,True,,
02090,1285,568.0,,,,317.9,295.2,277.9,,,-717.0,,,,-967.1,-989.8,-1007.1,,,,,,False,False,False,,
02100,4,0.0,,,,,0.0,5.9,,,-4.0,,,,,-4.0,1.9,,,,,,,False,True,,
02105,0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,True,,,
02110,226,112.0,,,,56.8,29.9,41.3,,,-114.0,,,,-169.2,-196.1,-184.7,,,,,,False,False,False,,
02122,249,88.0,,,,286.1,9.1,75.8,,,-161.0,,,,37.1,-239.9,-173.2,,,,,,True,False,False,,
02130,18,16.0,,,,,12.9,26.5,,,-2.0,,,,,-5.1,8.5,,,,,,,False,False,,
02150,37,0.0,,,,,2.7,,,,-37.0,,,,,-34.3,,,,,,,,True,,,
02158,157,0.0,,,,,0.0,2.5,,,-157.0,,,,,-157.0,-154.5,,,,,,,True,True,,
02164,28,0.0,,,,,0.0,,,,-28.0,,,,,-28.0,,,,,,,,False,,,
02170,524,368.0,,,,586.2,93.5,213.9,,,-156.0,,,,62.2,-430.5,-310.1,,,,,,True,False,False,,
02180,86,48.0,,,,,19.9,52.7,,,-38.0,,,,,-66.1,-33.3,,,,,,,False,True,,
02185,198,48.0,,,,,7.3,,,,-150.0,,,,,-190.7,,,,,,,,False,,,
02188,158,24.0,,,,,0.5,,,,-134.0,,,,,-157.5,,,,,,,,False,,,
02195,4,0.0,,,,,0.0,0.8,,,-4.0,,,,,-4.0,-3.2,,,,,,,False,True,,
02198,10,24.0,,,,,14.1,,,,14.0,,,,,4.1,,,,,,,,True,,,
02220,18,32.0,,,,,8.9,21.1,,,14.0,,,,,-9.1,3.1,,,,,,,True,True,,
02230,6,0.0,,,,,0.0,,,,-6.0,,,,,-6.0,,,,,,,,False,,,
02240,33,0.0,,,,,0.3,12.3,,,-33.0,,,,,-32.7,-20.7,,,,,,,True,True,,
02261,35,32.0,,,,,19.4,20.8,,,-3.0,,,,,-15.6,-14.2,,,,,,,False,False,,
02275,2,16.0,,,,,1.7,22.5,,,14.0,,,,,-0.3,20.5,,,,,,,True,False,,
02282,13,72.0,,,,,253.1,35.6,,,59.0,,,,,240.1,22.6,,,,,,,False,True,,
02290,34,40.0,,,,,7.4,108.3,,,6.0,,,,,-26.6,74.3,,,,,,,False,False,,
04001,537,312.0,,,324.0,7.2,81.8,433.8,,,-225.0,,,-213.0,-529.8,-455.2,-103.2,,,,,True,False,False,True,,
04003,294,192.0,,,670.0,227.0,20.9,175.9,,,-102.0,,,376.0,-67.0,-273.1,-118.1,,,,,False,True,False,False,,
04005,1707,600.0,,,528.0,104.9,11.6,479.9,,,-1107.0,,,-1179.0,-1602.1,-1695.4,-1227.1,,,,,False,False,False,False,,
04007,740,240.0,,,153.0,38.3,96.1,112.3,,,-500.0,,,-587.0,-701.7,-643.9,-627.7,,,,,False,False,False,False,,
04009,397,400.0,,,191.0,0.0,226.2,189.6,,,3.0,,,-206.0,-397.0,-170.8,-207.4,,,,,False,False,False,False,,
04011,47,8.0,,,32.0,,4.7,13.1,,,-39.0,,,-15.0,,-42.3,-33.9,,,,,True,,False,True,,
04012,117,24.0,,,109.0,0.0,5.0,33.0,,,-93.0,,,-8.0,-117.0,-112.0,-84.0,,,,,True,False,False,True,,
04013,19788,13632.0,,,12213.0,2254.1,658.9,10210.5,,,-6156.0,,,-7575.0,-17533.9,-19129.2,-9577.5,,,,,False,False,False,False,,
04015,679,904.0,,,1399.0,220.0,237.7,648.5,,,225.0,,,720.0,-459.0,-441.3,-30.5,,,,,False,False,False,True,,
04017,721,736.0,,,371.0,20.3,11.4,641.2,,,15.0,,,-350.0,-700.7,-709.6,-79.8,,,,,False,False,False,False,,
04019,6284,5496.0,,,4652.0,1929.7,2631.6,2910.0,,,-788.0,,,-1632.0,-4354.3,-3652.4,-3374.0,,,,,False,False,False,False,,
04021,2175,2920.0,,,1848.0,394.3,632.8,3022.3,,,745.0,,,-327.0,-1780.7,-1542.2,847.3,,,,,True,False,False,False,,
04023,257,0.0,,,598.0,3.6,15.0,88.0,,,-257.0,,,341.0,-253.4,-242.0,-169.0,,,,,False,True,True,True,,
04025,587,416.0,,,1007.0,410.4,227.5,353.8,,,-171.0,,,420.0,-176.6,-359.5,-233.2,,,,,False,False,False,False,,
04027,1288,1360.0,,,2057.0,22.5,219.3,2325.2,,,72.0,,,769.0,-1265.5,-1068.7,1037.2,,,,,False,False,False,False,,
05001,378,112.0,,,242.0,46.1,41.3,146.4,,,-266.0,,,-136.0,-331.9,-336.7,-231.6,,,,,True,False,False,True,,
05003,143,96.0,,,233.0,0.2,13.3,213.7,,,-47.0,,,90.0,-142.8,-129.7,70.7,,,,,False,False,False,False,,
05005,511,200.0,,,271.0,229.2,18.3,71.5,,,-311.0,,,-240.0,-281.8,-492.7,-439.5,,,,,True,True,False,False,,
05007,2720,1976.0,,,2356.0,268.2,307.8,1109.2,,,-744.0,,,-364.0,-2451.8,-2412.2,-1610.8,,,,,True,False,False,False,,
05009,704,472.0,,,415.0,282.4,0.0,520.9,,,-232.0,,,-289.0,-421.6,-704.0,-183.1,,,,,False,False,False,True,,
05011,80,304.0,,,161.0,84.1,128.6,168.1,,,224.0,,,81.0,4.1,48.6,88.1,,,,,True,True,True,True,,
05013,26,0.0,,,30.0,,1.7,,,,-26.0,,,4.0,,-24.3,,,,,,True,,True,,,
05015,525,240.0,,,233.0,32.0,103.0,155.1,,,-285.0,,,-292.0,-493.0,-422.0,-369.9,,,,,False,False,False,False,,
05017,91,184.0,,,213.0,2.0,19.6,772.7,,,93.0,,,122.0,-89.0,-71.4,681.7,,,,,False,True,True,False,,
05019,269,160.0,,,245.0,89.0,3.1,64.6,,,-109.0,,,-24.0,-180.0,-265.9,-204.4,,,,,True,False,False,False,,
05021,296,104.0,,,176.0,104.4,165.6,112.6,,,-192.0,,,-120.0,-191.6,-130.4,-183.4,,,,,True,True,True,True,,
05023,201,104.0,,,287.0,119.8,4.8,34.2,,,-97.0,,,86.0,-81.2,-196.2,-166.8,,,,,True,True,False,False,,
05025,91,64.0,,,69.0,10.1,5.3,146.1,,,-27.0,,,-22.0,-80.9,-85.7,55.1,,,,,True,False,False,False,,
05027,396,144.0,,,307.0,78.8,19.5,87.8,,,-252.0,,,-89.0,-317.2,-376.5,-308.2,,,,,True,False,False,False,,
05029,140,104.0,,,375.0,129.1,4.9,49.7,,,-36.0,,,235.0,-10.9,-135.1,-90.3,,,,,False,True,False,False,,
05031,2543,1232.0,,,1588.0,476.4,1049.8,759.2,,,-1311.0,,,-955.0,-2066.6,-1493.2,-1783.8,,,,,True,False,False,False,,
05033,1086,664.0,,,768.0,321.8,468.9,604.2,,,-422.0,,,-318.0,-764.2,-617.1,-481.8,,,,,True,False,False,False,,
05035,701,576.0,,,704.0,10.9,231.2,941.1,,,-125.0,,,3.0,-690.1,-469.8,240.1,,,,,True,False,False,False,,
05037,303,224.0,,,232.0,95.5,40.8,142.0,,,-79.0,,,-71.0,-207.5,-262.2,-161.0,,,,,True,False,False,False,,
05039,68,216.0,,,70.0,33.6,65.2,147.1,,,148.0,,,2.0,-34.4,-2.8,79.1,,,,,True,True,True,True,,
05041,161,136.0,,,165.0,0.0,45.5,83.9,,,-25.0,,,4.0,-161.0,-115.5,-77.1,,,,,True,False,False,False,,
05043,124,48.0,,,279.0,0.0,8.5,79.6,,,-76.0,,,155.0,-124.0,-115.5,-44.4,,,,,False,False,False,True,,
05045,1647,1312.0,,,1335.0,445.4,499.8,742.8,,,-335.0,,,-312.0,-1201.6,-1147.2,-904.2,,,,,True,False,False,False,,
05047,357,88.0,,,243.0,94.2,17.4,115.7,,,-269.0,,,-114.0,-262.8,-339.6,-241.3,,,,,True,True,False,True,,
05049,245,96.0,,,62.0,,28.1,258.9,,,-149.0,,,-183.0,,-216.9,13.9,,,,,False,,False,True,,
05051,1028,896.0,,,1068.0,528.0,218.3,679.4,,,-132.0,,,40.0,-500.0,-809.7,-348.6,,,,,True,False,False,False,,
05053,175,152.0,,,130.0,136.2,43.7,78.8,,,-23.0,,,-45.0,-38.8,-131.3,-96.2,,,,,False,False,False,False,,
05055,798,408.0,,,522.0,244.0,112.3,406.3,,,-390.0,,,-276.0,-554.0,-685.6,-391.7,,,,,True,False,False,False,,
05057,211,208.0,,,213.0,114.1,24.3,178.0,,,-3.0,,,2.0,-96.9,-186.7,-33.0,,,,,True,False,False,False,,
05059,476,288.0,,,411.0,12.6,389.9,103.8,,,-188.0,,,-65.0,-463.4,-86.1,-372.2,,,,,True,False,True,False,,
05061,148,256.0,,,143.0,1.6,89.1,171.0,,,108.0,,,-5.0,-146.4,-58.9,23.0,,,,,True,False,True,True,,
05063,691,632.0,,,616.0,236.7,96.7,840.9,,,-59.0,,,-75.0,-454.3,-594.3,149.9,,,,,False,False,False,False,,
05065,455,160.0,,,134.0,48.5,150.4,137.3,,,-295.0,,,-321.0,-406.5,-304.6,-317.7,,,,,False,False,False,False,,
05067,510,88.0,,,218.0,65.0,202.2,160.5,,,-422.0,,,-292.0,-445.0,-307.8,-349.5,,,,,True,False,True,True,,
05069,2039,1608.0,,,848.0,449.2,608.4,1230.6,,,-431.0,,,-1191.0,-1589.8,-1430.6,-808.4,,,,,False,False,False,False,,
05071,251,152.0,,,494.0,4.9,26.8,97.7,,,-99.0,,,243.0,-246.1,-224.2,-153.3,,,,,False,False,False,False,,
05073,102,8.0,,,53.0,,6.7,16.6,,,-94.0,,,-49.0,,-95.3,-85.4,,,,,True,,False,True,,
05075,547,72.0,,,173.0,91.0,4.0,42.1,,,-475.0,,,-374.0,-456.0,-543.0,-504.9,,,,,True,True,False,False,,
05077,106,80.0,,,154.0,3.0,0.4,397.8,,,-26.0,,,48.0,-103.0,-105.6,291.8,,,,,False,False,False,False,,
05079,734,1568.0,,,304.0,4.0,714.0,1052.5,,,834.0,,,-430.0,-730.0,-20.0,318.5,,,,,True,True,True,True,,
05081,170,176.0,,,106.0,0.0,17.4,263.8,,,6.0,,,-64.0,-170.0,-152.6,93.8,,,,,False,False,False,False,,
05083,222,120.0,,,313.0,3.6,58.2,307.1,,,-102.0,,,91.0,-218.4,-163.8,85.1,,,,,True,False,False,True,,
05085,981,504.0,,,650.0,419.2,422.7,420.3,,,-477.0,,,-331.0,-561.8,-558.3,-560.7,,,,,True,False,False,False,,
05087,130,72.0,,,188.0,32.9,6.6,127.7,,,-58.0,,,58.0,-97.1,-123.4,-2.3,,,,,False,False,False,True,,
05089,103,24.0,,,97.0,,3.6,67.4,,,-79.0,,,-6.0,,-99.4,-35.6,,,,,True,,False,True,,
05091,773,264.0,,,404.0,85.4,20.9,136.4,,,-509.0,,,-369.0,-687.6,-752.1,-636.6,,,,,True,False,False,False,,
05093,859,768.0,,,770.0,7.1,100.8,545.2,,,-91.0,,,-89.0,-851.9,-758.2,-313.8,,,,,True,False,False,False,,
05095,119,24.0,,,49.0,,8.1,47.2,,,-95.0,,,-70.0,,-110.9,-71.8,,,,,True,,False,True,,
05097,91,288.0,,,78.0,,22.7,294.3,,,197.0,,,-13.0,,-68.3,203.3,,,,,True,,True,False,,
05099,131,48.0,,,81.0,9.6,43.2,53.4,,,-83.0,,,-50.0,-121.4,-87.8,-77.6,,,,,True,False,False,True,,
05101,182,72.0,,,87.0,9.9,0.0,78.9,,,-110.0,,,-95.0,-172.1,-182.0,-103.1,,,,,True,False,False,True,,
05103,225,136.0,,,233.0,122.5,110.4,166.9,,,-89.0,,,8.0,-102.5,-114.6,-58.1,,,,,True,False,False,True,,
05105,75,24.0,,,68.0,,13.5,72.9,,,-51.0,,,-7.0,,-61.5,-2.1,,,,,True,,False,True,,
05107,329,184.0,,,316.0,0.1,95.0,191.9,,,-145.0,,,-13.0,-328.9,-234.1,-137.1,,,,,True,False,False,True,,
05109,90,144.0,,,107.0,0.0,25.0,200.2,,,54.0,,,17.0,-90.0,-65.0,110.2,,,,,True,False,False,False,,
05111,539,640.0,,,304.0,164.3,155.1,730.9,,,101.0,,,-235.0,-374.7,-383.9,191.9,,,,,False,False,False,False,,
05113,130,184.0,,,173.0,176.2,78.3,183.0,,,54.0,,,43.0,46.2,-51.7,53.0,,,,,True,True,True,True,,
05115,978,1088.0,,,840.0,35.4,633.9,631.8,,,110.0,,,-138.0,-942.6,-344.1,-346.2,,,,,False,False,False,False,,
05117,90,0.0,,,96.0,35.6,19.8,112.1,,,-90.0,,,6.0,-54.4,-70.2,22.1,,,,,True,True,True,True,,
05119,4730,4112.0,,,3055.0,885.0,1922.5,2317.9,,,-618.0,,,-1675.0,-3845.0,-2807.5,-2412.1,,,,,False,False,False,False,,
05121,329,160.0,,,235.0,116.1,54.3,190.8,,,-169.0,,,-94.0,-212.9,-274.7,-138.2,,,,,True,False,False,True,,
05123,349,640.0,,,585.0,5.2,10.6,469.5,,,291.0,,,236.0,-343.8,-338.4,120.5,,,,,True,False,False,True,,
05125,1223,1440.0,,,1009.0,720.2,813.5,952.7,,,217.0,,,-214.0,-502.8,-409.5,-270.3,,,,,True,False,False,False,,
05127,122,16.0,,,103.0,,2.3,69.8,,,-106.0,,,-19.0,,-119.7,-52.2,,,,,True,,False,True,,
05129,102,296.0,,,81.0,25.0,61.6,168.0,,,194.0,,,-21.0,-77.0,-40.4,66.0,,,,,True,True,True,True,,
05131,1911,1408.0,,,1919.0,15.4,314.9,657.8,,,-503.0,,,8.0,-1895.6,-1596.1,-1253.2,,,,,True,False,False,False,,
05133,174,312.0,,,258.0,17.0,153.6,133.6,,,138.0,,,84.0,-157.0,-20.4,-40.4,,,,,True,False,True,True,,
05135,196,112.0,,,93.0,85.1,23.1,174.6,,,-84.0,,,-103.0,-110.9,-172.9,-21.4,,,,,False,False,False,True,,
05137,209,320.0,,,123.0,45.3,79.7,337.1,,,111.0,,,-86.0,-163.7,-129.3,128.1,,,,,True,False,False,False,,
05139,427,520.0,,,496.0,260.0,203.2,108.8,,,93.0,,,69.0,-167.0,-223.8,-318.2,,,,,True,False,False,False,,
05141,90,328.0,,,146.0,110.0,96.4,110.4,,,238.0,,,56.0,20.0,6.4,20.4,,,,,True,True,True,True,,
05143,4448,2024.0,,,2905.0,80.4,132.1,904.7,,,-2424.0,,,-1543.0,-4367.6,-4315.9,-3543.3,,,,,True,False,False,False,,
05145,918,576.0,,,1043.0,820.7,38.4,849.4,,,-342.0,,,125.0,-97.3,-879.6,-68.6,,,,,True,True,False,True,,
05147,85,8.0,,,94.0,,13.8,22.7,,,-77.0,,,9.0,,-71.2,-62.3,,,,,True,,True,True,,
05149,198,264.0,,,277.0,3.1,75.7,562.2,,,66.0,,,79.0,-194.9,-122.3,364.2,,,,,False,False,False,False,,
06001,5368,9232.0,,,8151.0,3097.0,154.0,7441.2,,,3864.0,,,2783.0,-2271.0,-5214.0,2073.2,,,,,True,True,False,True,,
06003,1,0.0,,,0.0,,0.0,0.0,,,-1.0,,,-1.0,,-1.0,-1.0,,,,,False,,False,True,,
06005,46,104.0,,,30.0,157.3,30.3,174.4,,,58.0,,,-16.0,111.3,-15.7,128.4,,,,,True,False,True,False,,
06007,1173,2432.0,,,731.0,951.6,3044.1,1392.8,,,1259.0,,,-442.0,-221.4,1871.1,219.8,,,,,True,True,False,True,,
06009,106,312.0,,,25.0,224.9,1033.3,202.6,,,206.0,,,-81.0,118.9,927.3,96.6,,,,,True,True,False,True,,
06011,109,176.0,,,36.0,0.7,38.9,274.4,,,67.0,,,-73.0,-108.3,-70.1,165.4,,,,,False,False,False,False,,
06013,4961,9600.0,,,5684.0,2968.3,4674.2,6198.4,,,4639.0,,,723.0,-1992.7,-286.8,1237.4,,,,,True,True,True,True,,
06015,57,48.0,,,4.0,39.8,6.0,124.7,,,-9.0,,,-53.0,-17.2,-51.0,67.7,,,,,False,False,False,False,,
06017,364,440.0,,,301.0,412.9,244.4,207.0,,,76.0,,,-63.0,48.9,-119.6,-157.0,,,,,True,True,False,False,,
06019,6045,14176.0,,,8654.0,3567.8,12041.7,8249.9,,,8131.0,,,2609.0,-2477.2,5996.7,2204.9,,,,,True,True,True,True,,
06021,218,120.0,,,51.0,0.0,76.9,156.1,,,-98.0,,,-167.0,-218.0,-141.1,-61.9,,,,,False,False,False,True,,
06023,194,184.0,,,70.0,418.7,127.4,192.7,,,-10.0,,,-124.0,224.7,-66.6,-1.3,,,,,False,False,False,True,,
