,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Kentucky,16035,14888.0,14572.2,14130.0,12334.0,,13312.2,10344.0,22681.8,12655.4,,16297.0,13414.0,15355.4,16617.3,8878.5,17630.9,11969.6,14972.1,19813.0,,11941.2,11282.4,14686.3,14791.0,15810.6,17609.0,-1147.0,-1462.8,-1905.0,-3701.0,,-2722.8,-5691.0,6646.8,-3379.6,,262.0,-2621.0,-679.6,582.3,-7156.5,1595.9,-4065.4,-1062.9,3778.0,,-4093.8,-4752.6,-1348.7,-1244.0,-224.4,1574.0,False,False,False,,False,False,False,False,,True,False,True,True,False,False,False,True,False,,False,False,False,False,True,False
Louisiana,9197,6954.0,6961.0,6609.0,7658.0,,6828.4,3286.0,15665.3,1867.5,,5416.0,7251.0,4177.4,6996.9,5820.3,5559.9,7366.1,7686.7,6488.0,,1915.2,62.5,5171.6,9322.0,6011.9,5355.0,-2243.0,-2236.0,-2588.0,-1539.0,,-2368.6,-5911.0,6468.3,-7329.5,,-3781.0,-1946.0,-5019.6,-2200.1,-3376.7,-3637.1,-1830.9,-1510.3,-2709.0,,-7281.8,-9134.5,-4025.4,125.0,-3185.1,-3842.0,True,False,True,,False,False,False,False,,False,True,False,True,False,False,True,True,False,,False,False,False,True,False,False
Maine,441,422.0,412.0,426.0,513.0,,430.7,307.0,525.5,464.8,,405.0,509.0,408.6,423.6,791.7,534.5,338.5,441.0,493.0,,251.7,311.7,383.6,403.5,388.1,411.0,-19.0,-29.0,-15.0,72.0,,-10.3,-134.0,84.5,23.8,,-36.0,68.0,-32.4,-17.4,350.7,93.5,-102.5,0.0,52.0,,-189.3,-129.3,-57.4,-37.5,-52.9,-30.0,False,True,False,,True,False,False,False,,False,False,False,True,False,False,False,True,False,,False,False,False,False,False,False
Maryland,8692,7952.0,7725.9,7164.0,8544.0,,7378.9,1447.0,8045.2,6945.7,,8041.0,7275.0,9320.2,6628.2,9273.8,7448.0,7066.0,8941.0,9495.0,,6253.3,8060.6,6665.3,9255.3,9003.2,8816.0,-740.0,-966.1,-1528.0,-148.0,,-1313.1,-7245.0,-646.8,-1746.3,,-651.0,-1417.0,628.2,-2063.8,581.8,-1244.0,-1626.0,249.0,803.0,,-2438.7,-631.4,-2026.7,563.3,311.2,124.0,False,False,True,,False,False,True,False,,True,False,True,False,True,False,False,True,False,,False,True,False,True,True,True
Massachusetts,11148,8074.0,7953.3,7595.0,7422.0,,8616.6,7079.0,10239.5,7891.1,,6222.0,6761.0,10312.9,6929.2,8566.4,10360.8,6551.4,8971.6,9890.0,,6408.8,5556.4,6350.1,6432.3,9234.5,8131.0,-3074.0,-3194.7,-3553.0,-3726.0,,-2531.4,-4069.0,-908.5,-3256.9,,-4926.0,-4387.0,-835.1,-4218.8,-2581.6,-787.2,-4596.6,-2176.4,-1258.0,,-4739.2,-5591.6,-4797.9,-4715.7,-1913.5,-3017.0,False,False,False,,True,False,True,False,,False,False,True,False,True,True,False,True,True,,False,False,False,False,True,True
Michigan,26159,16364.0,16674.4,14860.0,20932.0,,14577.5,7738.0,12423.7,13349.1,,16362.0,14589.0,21135.3,14612.5,17953.6,16585.5,9242.1,16895.3,22071.0,,16297.2,19619.8,14333.0,9533.1,13863.8,19105.0,-9795.0,-9484.6,-11299.0,-5227.0,,-11581.5,-18421.0,-13735.3,-12809.9,,-9797.0,-11570.0,-5023.7,-11546.5,-8205.4,-9573.5,-16916.9,-9263.7,-4088.0,,-9861.8,-6539.2,-11826.0,-16625.9,-12295.2,-7054.0,True,False,True,,False,False,False,False,,False,False,True,False,True,True,False,True,True,,False,True,False,False,False,True
Minnesota,21294,16082.0,16146.4,15894.0,17830.0,,15039.1,16584.0,16297.2,13530.5,,16862.0,15492.0,18659.2,14492.2,8644.9,17922.7,17202.9,18768.6,20681.0,,14571.2,12511.0,14204.9,16706.2,23138.2,17328.0,-5212.0,-5147.6,-5400.0,-3464.0,,-6254.9,-4710.0,-4996.8,-7763.5,,-4432.0,-5802.0,-2634.8,-6801.8,-12649.1,-3371.3,-4091.1,-2525.4,-613.0,,-6722.8,-8783.0,-7089.1,-4587.8,1844.2,-3966.0,True,False,True,,False,True,True,False,,True,False,True,False,False,True,True,True,True,,False,False,False,True,True,True
Mississippi,10450,8942.0,8731.5,7802.0,8788.0,,6853.7,3211.0,6747.8,4451.0,,9462.0,6319.0,11300.3,7999.4,3639.5,8182.9,6608.1,9108.8,10838.0,,10489.5,1201.8,7803.9,9458.9,8464.6,9713.0,-1508.0,-1718.5,-2648.0,-1662.0,,-3596.3,-7239.0,-3702.2,-5999.0,,-988.0,-4131.0,850.3,-2450.6,-6810.5,-2267.1,-3841.9,-1341.2,388.0,,39.5,-9248.2,-2646.1,-991.1,-1985.4,-737.0,False,False,False,,False,False,False,False,,True,False,True,False,False,False,False,True,True,,True,False,False,True,False,True
Missouri,24147,26104.0,25631.0,19881.0,20578.0,,19021.1,19180.0,20682.3,25825.4,,31404.0,18350.0,21590.8,20524.4,11715.5,19483.3,14702.8,20071.9,34597.0,,19078.3,17340.8,21988.9,25139.0,31676.5,27736.0,1957.0,1484.0,-4266.0,-3569.0,,-5125.9,-4967.0,-3464.7,1678.4,,7257.0,-5797.0,-2556.2,-3622.6,-12431.5,-4663.7,-9444.2,-4075.1,10450.0,,-5068.7,-6806.2,-2158.1,992.0,7529.5,3589.0,True,False,False,,False,False,False,True,,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False
Montana,9025,7522.0,7812.6,7520.0,7847.0,,6378.4,3719.0,7530.4,6126.9,,7411.0,6908.0,9205.1,10566.3,1310.8,7700.4,8773.2,8983.9,10917.0,,11027.5,8009.8,5402.1,14672.5,11760.1,7916.0,-1503.0,-1212.4,-1505.0,-1178.0,,-2646.6,-5306.0,-1494.6,-2898.1,,-1614.0,-2117.0,180.1,1541.3,-7714.2,-1324.6,-251.8,-41.1,1892.0,,2002.5,-1015.2,-3622.9,5647.5,2735.1,-1109.0,True,False,True,,False,False,True,False,,False,False,True,False,False,True,True,True,False,,False,True,False,False,False,True
Nebraska,11328,8968.0,9023.4,8548.0,9279.0,,7316.4,7685.0,9645.5,8145.9,,10528.0,6475.0,6803.1,6606.6,5279.9,9484.9,8860.2,9457.5,12526.0,,13320.8,3581.1,7344.2,9209.0,12801.1,9715.0,-2360.0,-2304.6,-2780.0,-2049.0,,-4011.6,-3643.0,-1682.5,-3182.1,,-800.0,-4853.0,-4524.9,-4721.4,-6048.1,-1843.1,-2467.8,-1870.5,1198.0,,1992.8,-7746.9,-3983.8,-2119.0,1473.1,-1613.0,True,False,True,,False,False,True,False,,True,False,False,False,False,True,False,True,True,,True,False,False,True,True,True
Nevada,9413,7382.0,7463.5,6856.0,7302.0,,7198.9,2364.0,6534.4,2885.0,,7845.0,4182.0,9821.5,6343.2,4065.6,11586.9,6171.1,8582.3,10597.0,,8482.5,0.0,5621.5,9030.3,8443.0,8089.0,-2031.0,-1949.5,-2557.0,-2111.0,,-2214.1,-7049.0,-2878.6,-6528.0,,-1568.0,-5231.0,408.5,-3069.8,-5347.4,2173.9,-3241.9,-830.7,1184.0,,-930.5,-9413.0,-3791.5,-382.7,-970.0,-1324.0,True,False,False,,False,False,False,False,,True,False,True,False,False,False,False,True,True,,True,False,False,True,True,True
New Hampshire,1146,990.0,1014.4,951.0,1828.0,,828.7,883.0,1010.8,679.3,,1036.0,773.0,785.5,901.7,1199.4,1242.5,906.3,1015.2,1633.0,,1150.2,39.2,767.2,1009.4,1769.2,1609.0,-156.0,-131.6,-195.0,682.0,,-317.3,-263.0,-135.2,-466.7,,-110.0,-373.0,-360.5,-244.3,53.4,96.5,-239.7,-130.8,487.0,,4.2,-1106.8,-378.8,-136.6,623.2,463.0,True,False,False,,False,False,True,False,,True,False,False,False,True,True,False,True,False,,True,False,False,True,False,False
New Jersey,14462,10602.0,10481.7,10542.0,12538.0,,10632.2,3875.0,12333.3,6895.4,,6430.0,8726.0,13027.3,8376.8,19522.2,13109.6,9649.2,12327.8,11178.0,,10447.5,5936.7,9738.2,8082.5,11222.7,13070.0,-3860.0,-3980.3,-3920.0,-1924.0,,-3829.8,-10587.0,-2128.7,-7566.6,,-8032.0,-5736.0,-1434.7,-6085.2,5060.2,-1352.4,-4812.8,-2134.2,-3284.0,,-4014.5,-8525.3,-4723.8,-6379.5,-3239.3,-1392.0,False,False,True,,True,False,True,False,,False,False,True,False,False,True,False,True,True,,False,False,False,False,True,True
New Mexico,8318,4852.0,4865.9,4669.0,6264.0,,4002.7,1240.0,4461.7,2597.9,,4989.0,3662.0,7083.4,4736.9,3488.5,4062.0,4601.5,5673.6,7064.0,,4850.8,2214.1,3889.9,5235.6,7162.4,5709.0,-3466.0,-3452.1,-3649.0,-2054.0,,-4315.3,-7078.0,-3856.3,-5720.1,,-3329.0,-4656.0,-1234.6,-3581.1,-4829.5,-4256.0,-3716.5,-2644.4,-1254.0,,-3467.2,-6103.9,-4428.1,-3082.4,-1155.6,-2609.0,True,False,True,,False,False,False,False,,True,False,True,False,False,False,False,True,True,,False,False,False,True,True,True
New York,20689,19566.0,18967.6,18973.0,25852.0,,17722.1,7394.0,20295.8,8310.4,,10561.0,13753.0,29455.3,17097.1,27259.4,30805.6,15589.4,21388.1,21110.0,,24692.2,10831.4,17609.0,14648.7,23771.1,25948.0,-1123.0,-1721.4,-1716.0,5163.0,,-2966.9,-13295.0,-393.2,-12378.6,,-10128.0,-6936.0,8766.3,-3591.9,6570.4,10116.6,-5099.6,699.1,421.0,,4003.2,-9857.6,-3080.0,-6040.3,3082.1,5259.0,False,False,False,,False,False,True,False,,False,False,False,False,False,False,False,True,True,,False,False,False,False,False,False
North Carolina,28540,25732.0,25207.4,25188.0,34511.0,,19522.1,14700.0,23501.7,15098.6,,27635.0,22126.0,33208.4,25169.2,13802.3,25550.7,22517.8,30160.4,35722.0,,27088.3,10146.4,26483.8,23473.4,33888.2,31381.0,-2808.0,-3332.6,-3352.0,5971.0,,-9017.9,-13840.0,-5038.3,-13441.4,,-905.0,-6414.0,4668.4,-3370.8,-14737.7,-2989.3,-6022.2,1620.4,7182.0,,-1451.7,-18393.6,-2056.2,-5066.6,5348.2,2841.0,False,False,False,,False,False,False,False,,True,False,False,False,False,False,False,True,False,,True,False,True,False,False,False
North Dakota,10247,6986.0,7145.8,7099.0,5872.0,,5859.9,5610.0,7906.2,7863.7,,7623.0,5479.0,8339.1,7487.8,2509.7,8671.9,7578.9,8049.9,8442.0,,6112.4,4995.8,7731.6,8286.5,9105.2,7573.0,-3261.0,-3101.2,-3148.0,-4375.0,,-4387.1,-4637.0,-2340.8,-2383.3,,-2624.0,-4768.0,-1907.9,-2759.2,-7737.3,-1575.1,-2668.1,-2197.1,-1805.0,,-4134.6,-5251.2,-2515.4,-1960.5,-1141.8,-2674.0,True,True,False,,False,False,True,True,,True,False,True,True,False,True,True,True,True,,False,False,True,True,True,True
Ohio,28348,18984.0,18651.8,18590.0,23545.0,,15791.2,12206.0,19191.6,13488.7,,19248.0,16889.0,20155.2,19110.1,23228.7,23412.4,16516.6,23629.3,25237.0,,17120.8,6452.5,14999.4,19448.4,24130.8,19709.0,-9364.0,-9696.2,-9758.0,-4803.0,,-12556.8,-16142.0,-9156.4,-14859.3,,-9100.0,-11459.0,-8192.8,-9237.9,-5119.3,-4935.6,-11831.4,-4718.7,-3111.0,,-11227.2,-21895.5,-13348.6,-8899.6,-4217.2,-8639.0,False,False,True,,False,False,True,False,,True,False,True,True,True,True,False,True,True,,False,False,False,True,True,True
Oklahoma,17064,15746.0,15457.3,15487.0,17416.0,,15327.9,12136.0,18281.5,17947.2,,18037.0,14889.0,18929.7,14659.2,9363.9,17763.9,12313.1,17219.1,19840.0,,15498.2,11032.3,11340.0,16402.2,17862.9,15513.0,-1318.0,-1606.7,-1577.0,352.0,,-1736.1,-4928.0,1217.5,883.2,,973.0,-2175.0,1865.7,-2404.8,-7700.1,699.9,-4750.9,155.1,2776.0,,-1565.8,-6031.7,-5724.0,-661.8,798.9,-1551.0,False,False,True,,False,False,True,True,,True,False,False,False,False,True,False,True,False,,False,False,False,True,True,False
Oregon,4815,4826.0,4808.3,4746.0,5551.0,,4400.6,2583.0,4794.3,3941.2,,4962.0,3476.0,5723.9,5089.8,5583.7,4464.2,4415.6,5438.9,6533.0,,4301.5,2256.1,3775.1,4809.0,6461.5,5415.0,11.0,-6.7,-69.0,736.0,,-414.4,-2232.0,-20.7,-873.8,,147.0,-1339.0,908.9,274.8,768.7,-350.8,-399.4,623.9,1718.0,,-513.5,-2558.9,-1039.9,-6.0,1646.5,600.0,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False
Pennsylvania,21573,19118.0,18979.1,18457.0,28032.0,,14343.0,5655.0,18111.4,11812.4,,16296.0,13335.0,19283.2,16014.1,21734.5,24917.0,13935.1,18926.6,22247.0,,18432.4,13310.2,21147.3,15268.1,20534.8,17656.0,-2455.0,-2593.9,-3116.0,6459.0,,-7230.0,-15918.0,-3461.6,-9760.6,,-5277.0,-8238.0,-2289.8,-5558.9,161.5,3344.0,-7637.9,-2646.4,674.0,,-3140.6,-8262.8,-425.7,-6304.9,-1038.2,-3917.0,False,False,False,,False,False,False,False,,False,False,True,False,True,False,False,False,True,,False,False,True,False,True,False
