,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Georgia,27436,24888.0,26143.5,21531.0,21587.0,,24534.9,17833.0,26723.3,16586.0,18444.2,21742.5,36401.3,21036.7,21714.2,18445.0,21024.3,23210.0,,13627.7,4258.9,19505.4,23418.7,18344.0,-2548.0,-1292.5,-5905.0,-5849.0,,-2901.1,-9603.0,-712.7,-10850.0,-8991.8,-5693.5,8965.3,-6399.3,-5721.8,-8991.0,-6411.7,-4226.0,,-13808.3,-23177.1,-7930.6,-4017.3,-9092.0,True,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Hawaii,1837,2148.0,2130.2,1741.0,1830.0,,1983.1,948.0,1508.6,,1922.0,1978.4,3174.8,3356.4,1654.6,1644.5,1950.5,1821.0,,948.0,586.5,1659.1,2095.5,1797.0,311.0,293.2,-96.0,-7.0,,146.1,-889.0,-328.4,,85.0,141.4,1337.8,1519.4,-182.4,-192.5,113.5,-16.0,,-889.0,-1250.5,-177.9,258.5,-40.0,True,True,True,,True,False,False,,True,True,False,False,True,True,True,True,,False,False,True,True,True
Idaho,14992,10218.0,10152.1,9873.0,12675.0,,10171.1,4426.0,15634.2,7509.0,13555.1,12126.8,10690.7,6717.9,6644.1,6970.9,10111.0,16543.0,,5529.0,2944.8,6372.0,10709.3,9511.0,-4774.0,-4839.9,-5119.0,-2317.0,,-4820.9,-10566.0,642.2,-7483.0,-1436.9,-2865.2,-4301.3,-8274.1,-8347.9,-8021.1,-4881.0,1551.0,,-9463.0,-12047.2,-8620.0,-4282.7,-5481.0,False,False,True,,False,False,True,False,True,True,True,False,False,False,False,True,,False,False,False,True,False
Illinois,72119,42027.0,42602.5,36207.0,43641.0,,38645.1,13994.0,45185.6,35692.0,52234.9,36013.7,42052.4,37939.6,34443.4,30146.1,38294.7,50324.0,,25716.6,63414.9,34275.6,34651.9,43184.0,-30092.0,-29516.5,-35912.0,-28478.0,,-33473.9,-58125.0,-26933.4,-36427.0,-19884.1,-36105.3,-30066.6,-34179.4,-37675.6,-41972.9,-33824.3,-21795.0,,-46402.4,-8704.1,-37843.4,-37467.1,-28935.0,True,False,True,,False,False,True,False,True,False,True,False,False,False,False,True,,False,True,False,False,True
Indiana,36395,22530.0,22772.5,21203.0,28735.0,,21562.2,13331.0,20762.0,18269.0,20454.0,19334.4,33182.1,25273.0,19658.2,19565.9,24973.8,30097.0,,25518.1,28371.3,17550.9,22008.3,29266.0,-13865.0,-13622.5,-15192.0,-7660.0,,-14832.8,-23064.0,-15633.0,-18126.0,-15941.0,-17060.6,-3212.9,-11122.0,-16736.8,-16829.1,-11421.2,-6298.0,,-10876.9,-8023.7,-18844.1,-14386.7,-7129.0,True,False,True,,False,False,False,False,False,False,True,True,False,False,True,True,,True,True,False,False,True
Iowa,22535,19179.0,19212.4,16413.0,20788.0,,20427.1,15024.0,16838.2,15404.0,23886.9,20057.3,18375.3,11924.9,23438.1,11247.1,16287.0,23759.0,,9604.6,5658.2,16050.8,18465.6,20347.0,-3356.0,-3322.6,-6122.0,-1747.0,,-2107.9,-7511.0,-5696.8,-7131.0,1351.9,-2477.7,-4159.7,-10610.1,903.1,-11287.9,-6248.0,1224.0,,-12930.4,-16876.8,-6484.2,-4069.4,-2188.0,True,False,True,,True,False,False,False,True,True,False,False,True,False,False,True,,False,False,False,False,True
Kansas,15725,12216.0,11585.3,11253.0,10767.0,,12748.5,10749.0,14702.5,11815.0,11864.5,14258.1,,10419.1,13180.3,6944.2,10601.8,13838.0,,5628.4,12934.9,10733.6,12199.5,8984.0,-3509.0,-4139.7,-4472.0,-4958.0,,-2976.5,-4976.0,-1022.5,-3910.0,-3860.5,-1466.9,,-5305.9,-2544.7,-8780.8,-5123.2,-1887.0,,-10096.6,-2790.1,-4991.4,-3525.5,-6741.0,False,False,False,,True,False,True,False,False,True,,False,True,False,False,True,,False,True,False,False,False
Kentucky,23479,17895.0,17760.7,16681.0,21797.0,,16728.4,14128.0,34715.9,15784.0,20124.1,16727.1,29484.7,14616.0,15249.2,14295.9,19265.9,26303.0,,13131.1,17203.6,13461.7,18410.6,21985.0,-5584.0,-5718.3,-6798.0,-1682.0,,-6750.6,-9351.0,11236.9,-7695.0,-3354.9,-6751.9,6005.7,-8863.0,-8229.8,-9183.1,-4213.1,2824.0,,-10347.9,-6275.4,-10017.3,-5068.4,-1494.0,False,False,True,,False,False,False,False,True,False,False,False,False,False,True,True,,False,False,False,True,True
Louisiana,13777,10419.0,10440.0,9535.0,10734.0,,9663.0,5462.0,36627.1,8681.0,11576.2,9745.8,3449.3,12523.1,8414.2,8549.7,9698.9,9095.0,,10901.0,0.0,6906.0,15264.5,6852.0,-3358.0,-3337.0,-4242.0,-3043.0,,-4114.0,-8315.0,22850.1,-5096.0,-2200.8,-4031.2,-10327.7,-1253.9,-5362.8,-5227.3,-4078.1,-4682.0,,-2876.0,-13777.0,-6871.0,1487.5,-6925.0,True,False,True,,False,False,False,False,True,False,False,True,False,False,False,False,,True,False,False,True,False
Maine,652,678.0,664.4,674.0,887.0,,679.2,451.0,663.2,496.0,661.5,730.0,730.1,1287.4,785.6,575.5,721.8,719.0,,499.5,294.0,573.2,628.7,627.0,26.0,12.4,22.0,235.0,,27.2,-201.0,11.2,-156.0,9.5,78.0,78.1,635.4,133.6,-76.5,69.8,67.0,,-152.5,-358.0,-78.8,-23.3,-25.0,True,True,False,,False,False,True,False,True,False,False,False,False,False,False,False,,False,False,False,True,True
Maryland,12668,11541.0,11615.0,11474.0,14923.0,,10975.3,2130.0,11852.6,9236.0,10687.6,9533.9,13920.8,19909.2,11289.3,8989.7,11822.1,12755.0,,9317.4,13434.6,10241.4,13276.6,13017.0,-1127.0,-1053.0,-1194.0,2255.0,,-1692.7,-10538.0,-815.4,-3432.0,-1980.4,-3134.1,1252.8,7241.2,-1378.7,-3678.3,-845.9,87.0,,-3350.6,766.6,-2426.6,608.6,349.0,True,False,False,,False,False,True,False,False,False,False,False,False,False,True,True,,False,True,False,True,True
Massachusetts,15185,12759.0,12660.5,12663.0,18139.0,,14010.4,3309.0,14919.5,7914.0,16447.1,10678.7,16616.3,14912.7,13098.0,10601.4,15042.1,15110.0,,14718.4,6538.8,10722.1,8885.6,16111.0,-2426.0,-2524.5,-2522.0,2954.0,,-1174.6,-11876.0,-265.5,-7271.0,1262.1,-4506.3,1431.3,-272.3,-2087.0,-4583.6,-142.9,-75.0,,-466.6,-8646.2,-4462.9,-6299.4,926.0,False,False,False,,True,False,True,False,True,False,True,True,True,False,True,True,,True,False,False,False,True
Michigan,34341,20694.0,20244.0,19869.0,26571.0,,20095.0,4046.0,19801.0,24837.0,24889.4,19050.4,28379.4,31476.9,18657.9,10709.6,18893.9,28560.0,,5661.1,29029.7,20427.6,13612.9,22655.0,-13647.0,-14097.0,-14472.0,-7770.0,,-14246.0,-30295.0,-14540.0,-9504.0,-9451.6,-15290.6,-5961.6,-2864.1,-15683.1,-23631.4,-15447.1,-5781.0,,-28679.9,-5311.3,-13913.4,-20728.1,-11686.0,False,False,True,,False,False,False,True,True,False,True,True,False,False,False,True,,False,True,False,False,True
Minnesota,29335,21384.0,21613.5,19810.0,24748.0,,18838.4,9220.0,21457.1,26321.0,27221.3,19147.4,31952.4,14839.7,18781.5,18537.6,21352.8,31018.0,,15522.6,19761.5,17595.0,21138.2,23901.0,-7951.0,-7721.5,-9525.0,-4587.0,,-10496.6,-20115.0,-7877.9,-3014.0,-2113.7,-10187.6,2617.4,-14495.3,-10553.5,-10797.4,-7982.2,1683.0,,-13812.4,-9573.5,-11740.0,-8196.8,-5434.0,True,False,True,,False,False,True,True,True,False,True,False,False,False,False,True,,False,False,False,False,True
Mississippi,14921,10470.0,10437.8,9990.0,11828.0,,10339.9,4799.0,10769.8,8881.0,13694.1,10467.9,15048.1,6139.5,5846.4,7875.7,10433.9,13006.0,,5766.9,0.0,7781.8,11783.2,10433.0,-4451.0,-4483.2,-4931.0,-3093.0,,-4581.1,-10122.0,-4151.2,-6040.0,-1226.9,-4453.1,127.1,-8781.5,-9074.6,-7045.3,-4487.1,-1915.0,,-9154.1,-14921.0,-7139.2,-3137.8,-4488.0,False,False,True,,False,False,True,False,True,False,True,False,False,False,False,True,,False,False,False,True,False
Missouri,37296,27372.0,27286.4,27451.0,31498.0,,30000.0,26713.0,30989.7,24887.0,31868.7,25895.9,39614.5,20381.8,29155.5,79782.1,23587.2,34388.0,,32624.1,25289.4,16843.5,31505.8,23383.0,-9924.0,-10009.6,-9845.0,-5798.0,,-7296.0,-10583.0,-6306.3,-12409.0,-5427.3,-11400.1,2318.5,-16914.2,-8140.5,42486.1,-13708.8,-2908.0,,-4671.9,-12006.6,-20452.5,-5790.2,-13913.0,False,True,True,,True,False,True,False,True,False,True,False,True,False,False,True,,True,False,False,True,False
Montana,12786,7347.0,7417.9,7283.0,8493.0,,7521.6,4315.0,5396.0,8823.0,10416.5,10155.9,11920.9,2355.5,7404.8,6665.3,8304.5,11688.0,,4597.5,10752.2,4418.5,11336.5,9572.0,-5439.0,-5368.1,-5503.0,-4293.0,,-5264.4,-8471.0,-7390.0,-3963.0,-2369.5,-2630.1,-865.1,-10430.5,-5381.2,-6120.7,-4481.5,-1098.0,,-8188.5,-2033.8,-8367.5,-1449.5,-3214.0,True,False,True,,True,False,False,True,True,True,True,False,True,False,True,True,,False,True,False,True,True
Nebraska,15812,11421.0,11519.9,10595.0,11099.0,,10561.0,6116.0,10899.6,8126.0,10674.5,11959.2,11750.4,9777.8,9644.1,8254.6,11111.0,16810.0,,8092.3,5492.6,11061.3,9787.6,11013.0,-4391.0,-4292.1,-5217.0,-4713.0,,-5251.0,-9696.0,-4912.4,-7686.0,-5137.5,-3852.8,-4061.6,-6034.2,-6167.9,-7557.4,-4701.0,998.0,,-7719.7,-10319.4,-4750.7,-6024.4,-4799.0,True,False,False,,False,False,False,False,False,True,True,False,False,False,False,True,,False,False,False,False,False
Nevada,13104,10059.0,10255.3,9180.0,10009.0,,9653.8,2849.0,9491.7,5541.0,12015.2,9138.9,13018.2,6687.2,7679.6,7565.2,10541.7,16046.0,,9623.2,0.0,7195.3,13505.0,11056.0,-3045.0,-2848.7,-3924.0,-3095.0,,-3450.2,-10255.0,-3612.3,-7563.0,-1088.8,-3965.1,-85.8,-6416.8,-5424.4,-5538.8,-2562.3,2942.0,,-3480.8,-13104.0,-5908.7,401.0,-2048.0,True,False,False,,False,False,False,False,True,False,True,False,False,False,True,True,,False,False,False,True,True
New Hampshire,1641,1428.0,1446.8,1183.0,1508.0,,1094.1,145.0,1130.8,691.0,1020.8,1235.7,2114.3,2012.2,1646.5,1202.1,1189.1,2115.0,,816.2,53.3,1163.5,1196.1,2288.0,-213.0,-194.2,-458.0,-133.0,,-546.9,-1496.0,-510.2,-950.0,-620.2,-405.3,473.3,371.2,5.5,-438.9,-451.9,474.0,,-824.8,-1587.7,-477.5,-444.9,647.0,True,False,True,,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False
New Jersey,23590,14178.0,14087.4,13757.0,20025.0,,12154.1,5049.0,14569.3,10775.0,15640.9,10257.6,22415.9,36371.3,15970.8,11211.9,16245.9,14968.0,,12028.0,2102.3,12331.3,10616.6,19445.0,-9412.0,-9502.6,-9833.0,-3565.0,,-11435.9,-18541.0,-9020.7,-12815.0,-7949.1,-13332.4,-1174.1,12781.3,-7619.2,-12378.1,-7344.1,-8622.0,,-11562.0,-21487.7,-11258.7,-12973.4,-4145.0,False,False,True,,False,False,True,False,True,False,True,False,True,False,True,True,,False,False,False,False,True
New Mexico,10744,4812.0,4822.7,4582.0,6908.0,,4769.8,1207.0,4362.8,3930.0,6393.0,4807.0,8718.2,4823.8,2643.3,4025.0,5921.2,8025.0,,2869.6,4794.0,4047.3,5101.3,5671.0,-5932.0,-5921.3,-6162.0,-3836.0,,-5974.2,-9537.0,-6381.2,-6814.0,-4351.0,-5937.0,-2025.8,-5920.2,-8100.7,-6719.0,-4822.8,-2719.0,,-7874.4,-5950.0,-6696.7,-5642.7,-5073.0,True,False,True,,False,False,False,False,True,False,True,True,False,False,True,True,,False,False,False,True,True
New York,31425,25800.0,26738.7,26609.0,40592.0,,30475.0,5751.0,26358.4,10969.0,23466.2,18792.8,44338.1,44710.9,41124.9,21231.0,32184.4,26352.0,,31116.0,11186.6,23952.0,18280.1,33560.0,-5625.0,-4686.3,-4816.0,9167.0,,-950.0,-25674.0,-5066.6,-20456.0,-7958.8,-12632.2,12913.1,13285.9,9699.9,-10194.0,759.4,-5073.0,,-309.0,-20238.4,-7473.0,-13144.9,2135.0,True,True,False,,True,False,True,False,False,False,False,False,False,False,True,True,,True,False,False,False,True
North Carolina,41406,27336.0,26918.9,25384.0,44586.0,,27601.5,17490.0,20300.6,26705.0,30608.5,24493.8,,29455.5,21601.9,18743.3,27167.3,36734.0,,18447.2,16678.9,20702.3,34209.9,27037.0,-14070.0,-14487.1,-16022.0,3180.0,,-13804.5,-23916.0,-21105.4,-14701.0,-10797.5,-16912.2,,-11950.5,-19804.1,-22662.7,-14238.7,-4672.0,,-22958.8,-24727.1,-20703.7,-7196.1,-14369.0,False,False,True,,True,False,False,False,True,False,,True,False,False,False,True,,False,False,False,True,False
North Dakota,13740,8262.0,8334.8,8179.0,7064.0,,8263.0,6717.0,9399.8,7869.0,10358.4,10221.1,10471.4,3306.1,12817.6,7359.3,8246.7,9910.0,,6061.4,7371.9,6950.2,11433.6,8810.0,-5478.0,-5405.2,-5561.0,-6676.0,,-5477.0,-7023.0,-4340.2,-5871.0,-3381.6,-3518.9,-3268.6,-10433.9,-922.4,-6380.7,-5493.3,-3830.0,,-7678.6,-6368.1,-6789.8,-2306.4,-4930.0,True,False,False,,True,False,True,False,True,True,True,False,True,False,False,True,,False,False,False,True,True
Ohio,37840,23871.0,24055.0,23257.0,31286.0,,20592.8,17329.0,24152.3,19640.0,24280.1,23295.9,25177.8,38335.0,18391.8,17563.6,25176.7,30342.0,,18932.4,9904.9,19731.8,24061.5,27004.0,-13969.0,-13785.0,-14583.0,-6554.0,,-17247.2,-20511.0,-13687.7,-18200.0,-13559.9,-14544.1,-12662.2,495.0,-19448.2,-20276.4,-12663.3,-7498.0,,-18907.6,-27935.1,-18108.2,-13778.5,-10836.0,True,False,True,,False,False,True,False,True,False,True,True,False,False,True,True,,False,False,False,True,True
Oklahoma,24937,21714.0,21732.7,19686.0,22959.0,,23040.1,17794.0,17819.2,19686.0,25683.2,22174.8,29678.5,16555.9,26940.9,9301.7,17336.1,27066.0,,3969.4,15522.5,12425.3,23154.0,17456.0,-3223.0,-3204.3,-5251.0,-1978.0,,-1896.9,-7143.0,-7117.8,-5251.0,746.2,-2762.2,4741.5,-8381.1,2003.9,-15635.3,-7600.9,2129.0,,-20967.6,-9414.5,-12511.7,-1783.0,-7481.0,True,False,True,,True,False,False,False,True,True,False,False,True,False,False,True,,False,False,False,True,False
Oregon,7228,5790.0,5577.9,5649.0,6150.0,,5873.3,3386.0,5523.3,4904.0,7375.7,6327.8,8307.2,9987.6,5085.9,4707.7,6424.9,8910.0,,4032.2,2333.9,3490.1,6102.2,5607.0,-1438.0,-1650.1,-1579.0,-1078.0,,-1354.7,-3842.0,-1704.7,-2324.0,147.7,-900.2,1079.2,2759.6,-2142.1,-2520.3,-803.1,1682.0,,-3195.8,-4894.1,-3737.9,-1125.8,-1621.0,False,False,True,,True,False,False,False,True,True,True,False,False,False,True,False,,False,False,False,True,False
Pennsylvania,31132,18915.0,18697.7,19428.0,21901.0,,19623.6,3838.0,24913.9,13858.0,20204.1,20949.5,,35927.1,15500.0,18008.4,25719.1,20361.0,,25680.2,19925.2,19587.5,16883.2,19779.0,-12217.0,-12434.3,-11704.0,-9231.0,,-11508.4,-27294.0,-6218.1,-17274.0,-10927.9,-10182.5,,4795.1,-15632.0,-13123.6,-5412.9,-10771.0,,-5451.8,-11206.8,-11544.5,-14248.8,-11353.0,False,True,True,,True,False,True,False,True,True,,True,False,False,True,True,,True,True,True,False,True
Rhode Island,5042,2685.0,2714.6,2244.0,2307.0,,2381.4,383.0,5909.4,2552.0,3416.3,2665.4,,3409.9,2650.3,1413.7,2132.9,2756.0,,250.2,3301.4,2363.1,2066.3,2187.0,-2357.0,-2327.4,-2798.0,-2735.0,,-2660.6,-4659.0,867.4,-2490.0,-1625.7,-2376.6,,-1632.1,-2391.7,-3628.3,-2909.1,-2286.0,,-4791.8,-1740.6,-2678.9,-2975.7,-2855.0,True,False,False,,False,False,True,False,True,False,,True,False,False,False,True,,False,True,False,False,False
South Carolina,18450,16854.0,15451.9,15128.0,18585.0,,18098.0,10411.0,16329.3,15844.0,19521.0,13959.8,,7969.5,23947.4,12785.5,15575.7,22111.0,,11647.9,11889.5,9884.7,19462.3,15421.0,-1596.0,-2998.1,-3322.0,135.0,,-352.0,-8039.0,-2120.7,-2606.0,1071.0,-4490.2,,-10480.5,5497.4,-5664.5,-2874.3,3661.0,,-6802.1,-6560.5,-8565.3,1012.3,-3029.0,False,False,True,,True,False,False,False,True,False,,False,False,False,False,False,,False,False,False,True,False
South Dakota,14155,8559.0,8669.0,8589.0,8785.0,,8747.6,6390.0,6322.1,10435.0,10044.6,10842.0,11606.8,1501.3,7813.6,8249.9,8478.1,12386.0,,5934.3,9661.6,7250.0,10977.8,8615.0,-5596.0,-5486.0,-5566.0,-5370.0,,-5407.4,-7765.0,-7832.9,-3720.0,-4110.4,-3313.0,-2548.2,-12653.7,-6341.4,-5905.1,-5676.9,-1769.0,,-8220.7,-4493.4,-6905.0,-3177.2,-5540.0,True,True,True,,True,False,False,True,True,True,True,False,False,False,False,True,,False,True,False,True,True
Tennessee,44492,26112.0,27136.3,23753.0,24951.0,,28738.8,17591.0,32112.4,23009.0,25329.3,25706.8,27179.9,17168.0,19756.8,22123.5,22880.5,25316.0,,18375.1,13013.3,16303.3,25359.3,22170.0,-18380.0,-17355.7,-20739.0,-19541.0,,-15753.2,-26901.0,-12379.6,-21483.0,-19162.7,-18785.2,-17312.1,-27324.0,-24735.2,-22368.5,-21611.5,-19176.0,,-26116.9,-31478.7,-28188.7,-19132.7,-22322.0,True,False,False,,True,False,True,False,False,False,True,False,False,False,False,False,,False,False,False,False,False
