,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,35732,35408.0,34614.1,30444.0,44614.0,,31984.5,25951.0,67831.7,,42055.0,30998.7,31437.8,26525.3,31562.0,18670.7,28563.6,,19622.8,9439.9,24032.6,39351.5,25473.0,26752.0,-324.0,-1117.9,-5288.0,8882.0,,-3747.5,-9781.0,32099.7,,6323.0,-4733.3,-4294.2,-9206.7,-4170.0,-17061.3,-7168.4,,-16109.2,-26292.1,-11699.4,3619.5,-10259.0,-8980.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False,False
Hawaii,2553,2768.0,2786.3,2614.0,6641.0,,2564.6,1541.0,5652.1,,,1156.0,2638.8,4681.3,2622.1,2371.7,2778.7,,1148.7,939.0,2356.5,2062.6,2869.6,2058.0,215.0,233.3,61.0,4088.0,,11.6,-1012.0,3099.1,,,-1397.0,85.8,2128.3,69.1,-181.3,225.7,,-1404.3,-1614.0,-196.5,-490.4,316.6,-495.0,False,True,False,,True,False,False,,,False,True,False,True,True,False,,False,False,True,False,False,False
Idaho,18398,12196.0,12328.3,10318.0,23163.0,,9965.4,5228.0,22689.9,,7830.0,14141.6,14779.1,7570.0,8446.8,7703.7,12955.9,,4062.0,4302.2,7456.7,9888.9,12589.5,10599.0,-6202.0,-6069.7,-8080.0,4765.0,,-8432.6,-13170.0,4291.9,,-10568.0,-4256.4,-3618.9,-10828.0,-9951.2,-10694.3,-5442.1,,-14336.0,-14095.8,-10941.3,-8509.1,-5808.5,-7799.0,True,False,True,,False,False,True,,False,True,True,False,False,False,True,,False,False,False,False,True,False
Illinois,86128,54928.0,57683.9,47868.0,79591.0,,44785.3,9181.0,84504.7,,48358.0,62896.5,46501.7,47385.4,43033.4,37720.8,53636.7,,36132.7,82397.0,56287.7,42455.7,56348.1,47980.0,-31200.0,-28444.1,-38260.0,-6537.0,,-41342.7,-76947.0,-1623.3,,-37770.0,-23231.5,-39626.3,-38742.6,-43094.6,-48407.2,-32491.3,,-49995.3,-3731.0,-29840.3,-43672.3,-29779.9,-38148.0,True,False,True,,False,False,True,,False,True,False,False,False,False,False,,False,True,True,False,True,False
Indiana,43905,23160.0,23505.7,23118.0,36452.0,,22612.5,17476.0,37932.6,,14671.0,22690.6,18892.3,27676.6,26479.3,19728.5,23504.3,,13993.6,37467.7,17986.1,22179.3,28993.8,21249.0,-20745.0,-20399.3,-20787.0,-7453.0,,-21292.5,-26429.0,-5972.4,,-29234.0,-21214.4,-25012.7,-16228.4,-17425.7,-24176.5,-20400.7,,-29911.4,-6437.3,-25918.9,-21725.7,-14911.2,-22656.0,True,False,True,,False,False,True,,False,False,False,True,True,False,True,,False,True,False,False,True,False
Iowa,28928,24416.0,23103.3,23159.0,25662.0,,21084.0,18546.0,32080.3,,26290.0,24735.0,27201.4,14973.0,30298.5,17679.9,23506.3,,12116.3,8688.6,21175.9,21926.1,23442.7,16228.0,-4512.0,-5824.7,-5769.0,-3266.0,,-7844.0,-10382.0,3152.3,,-2638.0,-4193.0,-1726.6,-13955.0,1370.5,-11248.1,-5421.7,,-16811.7,-20239.4,-7752.1,-7001.9,-5485.3,-12700.0,False,False,True,,False,False,True,,True,True,True,False,True,False,False,,False,False,False,False,False,False
Kansas,20300,16668.0,16489.1,14374.0,14851.0,,13735.3,14374.0,14565.3,,14679.0,12616.6,21962.8,12321.0,17433.2,9335.0,15683.5,,4999.2,17905.7,16660.2,15634.5,12395.8,17366.0,-3632.0,-3810.9,-5926.0,-5449.0,,-6564.7,-5926.0,-5734.7,,-5621.0,-7683.4,1662.8,-7979.0,-2866.8,-10965.0,-4616.5,,-15300.8,-2394.3,-3639.8,-4665.5,-7904.2,-2934.0,False,False,False,,False,False,False,,False,False,True,False,True,False,False,,False,True,False,False,False,True
Kentucky,29444,19720.0,19731.5,19377.0,43399.0,,17508.3,17204.0,53501.4,,21497.0,21919.3,20625.1,17077.0,19594.1,13238.1,19186.4,,10891.1,22868.4,15997.9,19110.9,21342.2,19409.0,-9724.0,-9712.5,-10067.0,13955.0,,-11935.7,-12240.0,24057.4,,-7947.0,-7524.7,-8818.9,-12367.0,-9849.9,-16205.9,-10257.6,,-18552.8,-6575.6,-13446.1,-10333.1,-8101.8,-10035.0,True,False,False,,False,False,False,,True,True,True,False,False,False,False,,False,True,False,False,True,False
Louisiana,17451,14580.0,14576.8,12585.0,17579.0,,10604.8,8084.0,54191.6,,21463.0,12813.3,12278.2,15679.0,11702.5,10091.2,12945.3,,7831.0,0.0,8616.1,22748.1,9548.0,8471.0,-2871.0,-2874.2,-4866.0,128.0,,-6846.2,-9367.0,36740.6,,4012.0,-4637.7,-5172.8,-1772.0,-5748.5,-7359.8,-4505.7,,-9620.0,-17451.0,-8834.9,5297.1,-7903.0,-8980.0,False,False,True,,False,False,False,,False,False,False,True,False,False,False,,False,False,False,False,False,False
Maine,878,896.0,915.3,888.0,1697.0,,833.1,278.0,1210.0,,737.0,1082.0,1141.0,1543.8,1003.1,533.9,835.7,,493.7,400.5,933.9,790.6,779.6,1050.0,18.0,37.3,10.0,819.0,,-44.9,-600.0,332.0,,-141.0,204.0,263.0,665.8,125.1,-344.1,-42.3,,-384.3,-477.5,55.9,-87.4,-98.4,172.0,False,True,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False,False
Maryland,16515,12912.0,13417.5,11917.0,10316.0,,12168.1,795.0,21937.1,,13181.0,13374.4,9740.7,24163.6,16410.5,9168.6,12585.6,,6262.7,18134.4,8789.1,17687.6,9960.1,10052.0,-3603.0,-3097.5,-4598.0,-6199.0,,-4346.9,-15720.0,5422.1,,-3334.0,-3140.6,-6774.3,7648.6,-104.5,-7346.4,-3929.4,,-10252.3,1619.4,-7725.9,1172.6,-6554.9,-6463.0,True,False,False,,False,False,False,,True,True,False,False,True,False,False,,False,True,False,True,False,False
Massachusetts,19438,11476.0,11415.2,11013.0,14687.0,,9871.9,292.0,19272.4,,7543.0,15716.0,7905.4,13026.6,10919.1,10664.9,15433.5,,12895.8,8750.1,11259.0,10094.9,19634.3,15295.0,-7962.0,-8022.8,-8425.0,-4751.0,,-9566.1,-19146.0,-165.6,,-11895.0,-3722.0,-11532.6,-6411.4,-8518.9,-8773.1,-4004.5,,-6542.2,-10687.9,-8179.0,-9343.1,196.3,-4143.0,False,False,True,,False,False,True,,False,True,False,True,False,False,True,,True,False,False,False,True,True
Michigan,41239,25144.0,25977.5,23064.0,47495.0,,20127.9,3195.0,29736.6,,27204.0,30299.7,23463.4,37738.5,24135.8,12212.2,21620.0,,2366.3,37771.0,30491.7,17715.2,17512.8,22903.0,-16095.0,-15261.5,-18175.0,6256.0,,-21111.1,-38044.0,-11502.4,,-14035.0,-10939.3,-17775.6,-3500.5,-17103.2,-29026.8,-19619.0,,-38872.7,-3468.0,-10747.3,-23523.8,-23726.2,-18336.0,True,False,True,,False,False,True,,True,True,False,True,False,False,False,,False,True,True,False,False,False
Minnesota,36463,27752.0,27752.0,24576.0,97900.0,,19226.9,3248.0,32496.4,,34396.0,21046.8,22678.1,17109.6,20656.8,23608.0,29775.3,,21023.0,26564.7,23981.5,20555.6,48222.1,29971.0,-8711.0,-8711.0,-11887.0,61437.0,,-17236.1,-33215.0,-3966.6,,-2067.0,-15416.2,-13784.9,-19353.4,-15806.2,-12855.0,-6687.7,,-15440.0,-9898.3,-12481.5,-15907.4,11759.1,-6492.0,False,False,False,,False,False,True,,True,False,False,False,False,False,True,,False,False,False,False,False,True
Mississippi,18411,14360.0,14052.0,11724.0,15453.0,,11611.3,6453.0,18035.0,,12403.0,12940.9,13023.2,7617.1,7972.5,9000.2,13562.5,,6357.4,40.0,10821.7,16210.9,11606.4,10429.0,-4051.0,-4359.0,-6687.0,-2958.0,,-6799.7,-11958.0,-376.0,,-6008.0,-5470.1,-5387.8,-10793.9,-10438.5,-9410.8,-4848.5,,-12053.6,-18371.0,-7589.3,-2200.1,-6804.6,-7982.0,False,False,True,,False,False,True,,False,False,False,False,False,False,False,,False,False,False,True,False,False
Missouri,46323,42568.0,43284.3,39491.0,52903.0,,42401.5,31419.0,77274.0,,31786.0,48341.3,42453.1,25747.6,37936.1,33909.7,39994.9,,23198.2,130715.8,27280.2,42700.8,44302.3,30963.0,-3755.0,-3038.7,-6832.0,6580.0,,-3921.5,-14904.0,30951.0,,-14537.0,2018.3,-3869.9,-20575.4,-8386.9,-12413.3,-6328.1,,-23124.8,84392.8,-19042.8,-3622.2,-2020.7,-15360.0,True,False,False,,False,False,False,,False,True,False,False,False,False,False,,False,False,False,True,True,False
Montana,15235,6976.0,6894.4,6620.0,6726.0,,5825.2,2056.0,15328.1,,8399.0,7104.5,10378.7,2882.4,5964.0,6099.2,8154.7,,3888.6,12948.5,3997.6,8075.1,13316.5,7906.0,-8259.0,-8340.6,-8615.0,-8509.0,,-9409.8,-13179.0,93.1,,-6836.0,-8130.5,-4856.3,-12352.6,-9271.0,-9135.8,-7080.3,,-11346.4,-2286.5,-11237.4,-7159.9,-1918.5,-7329.0,False,False,False,,False,False,True,,True,True,True,False,False,False,True,,False,True,False,True,True,True
Nebraska,19619,11196.0,11244.3,11229.0,38670.0,,11386.0,1658.0,13372.9,,8635.0,14619.0,12608.3,10377.0,12084.5,9004.9,13623.5,,6541.1,7458.2,8560.4,8099.5,13515.4,8768.0,-8423.0,-8374.7,-8390.0,19051.0,,-8233.0,-17961.0,-6246.1,,-10984.0,-5000.0,-7010.7,-9242.0,-7534.5,-10614.1,-5995.5,,-13077.9,-12160.8,-11058.6,-11519.5,-6103.6,-10851.0,True,True,False,,True,False,True,,False,True,True,False,True,False,True,,False,False,False,False,True,False
Nevada,16457,11744.0,11371.7,9237.0,22980.0,,8459.4,4243.0,14607.4,,5834.0,11257.7,9657.8,6125.4,4871.7,9085.3,13638.5,,6216.3,22141.5,8205.4,13812.2,16091.0,11713.0,-4713.0,-5085.3,-7220.0,6523.0,,-7997.6,-12214.0,-1849.6,,-10623.0,-5199.3,-6799.2,-10331.6,-11585.3,-7371.7,-2818.5,,-10240.7,5684.5,-8251.6,-2644.8,-366.0,-4744.0,False,False,False,,False,False,True,,False,False,False,False,False,False,True,,False,False,False,True,True,False
New Hampshire,2117,804.0,790.2,901.0,953.0,,916.9,1.0,1422.2,,960.0,1077.6,770.8,2146.8,2126.2,702.3,1020.0,,535.0,81.9,774.6,1040.5,1217.8,715.0,-1313.0,-1326.8,-1216.0,-1164.0,,-1200.1,-2116.0,-694.8,,-1157.0,-1039.4,-1346.2,29.8,9.2,-1414.7,-1097.0,,-1582.0,-2035.1,-1342.4,-1076.5,-899.2,-1402.0,False,True,True,,True,False,True,,True,True,False,True,True,False,True,,False,False,False,True,True,False
New Jersey,24489,14164.0,14038.3,13591.0,58631.0,,8937.4,45.0,24213.5,,10570.0,14477.1,9308.8,41805.4,12712.6,11605.9,18899.4,,12839.0,2914.4,13885.2,11700.4,22603.0,17926.0,-10325.0,-10450.7,-10898.0,34142.0,,-15551.6,-24444.0,-275.5,,-13919.0,-10011.9,-15180.2,17316.4,-11776.4,-12883.1,-5589.6,,-11650.0,-21574.6,-10603.8,-12788.6,-1886.0,-6563.0,False,False,False,,False,False,True,,False,True,False,False,False,False,True,,False,False,False,False,True,True
New Mexico,12348,4720.0,4895.8,4726.0,9877.0,,3574.3,1206.0,4795.4,,7299.0,5068.8,4751.5,6489.2,3700.9,4017.7,5680.2,,,18197.3,3449.8,5287.3,10870.7,6082.0,-7628.0,-7452.2,-7622.0,-2471.0,,-8773.7,-11142.0,-7552.6,,-5049.0,-7279.2,-7596.5,-5858.8,-8647.1,-8330.3,-6667.8,,,5849.3,-8898.2,-7060.7,-1477.3,-6266.0,True,True,True,,False,False,True,,True,True,True,True,False,False,True,,,True,False,True,True,True
New York,40159,22888.0,23246.4,20146.0,31387.0,,9993.7,26.0,45314.9,,10246.0,26203.3,16633.5,46874.7,19859.3,16089.2,23595.8,,15651.7,15175.7,15098.8,20662.3,27088.4,24631.0,-17271.0,-16912.6,-20013.0,-8772.0,,-30165.3,-40133.0,5155.9,,-29913.0,-13955.7,-23525.5,6715.7,-20299.7,-24069.8,-16563.2,,-24507.3,-24983.3,-25060.2,-19496.7,-13070.6,-15528.0,True,False,True,,False,False,True,,False,True,False,True,False,False,True,,False,False,False,False,True,True
North Carolina,50518,55252.0,54034.7,42730.0,63416.0,,40058.5,42288.0,89758.2,,37751.0,37026.0,56193.1,40230.6,28326.3,32331.2,47655.8,,23596.4,83762.9,37423.6,47038.4,124035.0,58516.0,4734.0,3516.7,-7788.0,12898.0,,-10459.5,-8230.0,39240.2,,-12767.0,-13492.0,5675.1,-10287.4,-22191.7,-18186.8,-2862.2,,-26921.6,33244.9,-13094.4,-3479.6,73517.0,7998.0,True,False,False,,False,False,False,,False,False,False,False,False,False,True,,False,False,False,True,False,False
North Dakota,16494,11092.0,11211.8,10177.0,9451.0,,9803.0,13.0,13302.1,,13007.0,13879.4,13402.6,3434.9,16905.7,9275.3,10638.9,,6875.3,9799.2,9124.0,16018.7,9723.4,5874.0,-5402.0,-5282.2,-6317.0,-7043.0,,-6691.0,-16481.0,-3191.9,,-3487.0,-2614.6,-3091.4,-13059.1,411.7,-7218.7,-5855.1,,-9618.7,-6694.8,-7370.0,-475.3,-6770.6,-10620.0,True,False,False,,False,False,True,,True,True,True,False,True,False,False,,False,False,False,True,False,False
Ohio,45797,25848.0,26050.4,23847.0,36125.0,,22305.4,22305.0,40498.2,,19898.0,22529.6,22881.2,35313.2,24521.4,18513.8,26563.8,,12922.5,14387.5,15564.7,25890.9,24287.3,21533.0,-19949.0,-19746.6,-21950.0,-9672.0,,-23491.6,-23492.0,-5298.8,,-25899.0,-23267.4,-22915.8,-10483.8,-21275.6,-27283.2,-19233.2,,-32874.5,-31409.5,-30232.3,-19906.1,-21509.7,-24264.0,True,False,True,,False,False,True,,False,False,False,True,False,False,True,,False,False,False,True,False,False
Oklahoma,32175,30824.0,31840.0,27327.0,36749.0,,28656.7,21026.0,48532.1,,25873.0,37385.7,42616.4,19489.9,34712.4,19394.5,27356.2,,15471.6,29100.5,17570.6,27817.7,23269.2,23395.0,-1351.0,-335.0,-4848.0,4574.0,,-3518.3,-11149.0,16357.1,,-6302.0,5210.7,10441.4,-12685.1,2537.4,-12780.5,-4818.8,,-16703.4,-3074.5,-14604.4,-4357.3,-8905.8,-8780.0,True,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False,False
Oregon,9158,7928.0,8103.5,7784.0,17246.0,,6484.6,3819.0,9489.6,,6892.0,7712.6,9096.2,10877.8,4313.2,5769.5,9215.1,,5033.0,20338.3,5109.6,6966.1,13165.3,9774.0,-1230.0,-1054.5,-1374.0,8088.0,,-2673.4,-5339.0,331.6,,-2266.0,-1445.4,-61.8,1719.8,-4844.8,-3388.5,57.1,,-4125.0,11180.3,-4048.4,-2191.9,4007.3,616.0,True,False,False,,False,False,True,,False,False,True,False,False,False,True,,False,False,False,False,False,True
Pennsylvania,37437,22788.0,23260.3,21175.0,24350.0,,19741.2,2891.0,35673.3,,16646.0,25365.0,21176.0,45744.5,19406.9,16016.4,24930.7,,12215.9,63720.4,21345.2,21443.7,24385.0,19837.0,-14649.0,-14176.7,-16262.0,-13087.0,,-17695.8,-34546.0,-1763.7,,-20791.0,-12072.0,-16261.0,8307.5,-18030.1,-21420.6,-12506.3,,-25221.1,26283.4,-16091.8,-15993.3,-13052.0,-17600.0,True,False,True,,False,False,True,,False,True,False,True,False,False,True,,False,False,False,False,True,False
Rhode Island,5937,2244.0,2237.0,2028.0,2936.0,,2539.0,0.0,2508.1,,5002.0,3529.4,2084.6,3392.6,3659.2,884.0,1687.5,,310.9,4230.0,2094.4,2513.0,1647.1,1027.0,-3693.0,-3700.0,-3909.0,-3001.0,,-3398.0,-5937.0,-3428.9,,-935.0,-2407.6,-3852.4,-2544.4,-2277.8,-5053.0,-4249.5,,-5626.1,-1707.0,-3842.6,-3424.0,-4289.9,-4910.0,False,False,True,,True,False,True,,True,True,False,True,True,False,False,,False,True,False,True,False,False
South Carolina,24068,32132.0,32172.9,25055.0,31076.0,,23678.9,10769.0,60189.6,,23992.0,27467.1,30319.1,8883.3,33851.7,17234.3,25596.0,,,32649.5,20396.7,30675.0,22418.8,22769.0,8064.0,8104.9,987.0,7008.0,,-389.1,-13299.0,36121.6,,-76.0,3399.1,6251.1,-15184.7,9783.7,-6833.7,1528.0,,,8581.5,-3671.3,6607.0,-1649.2,-1299.0,False,True,True,,True,False,False,,True,True,True,False,False,True,True,,,False,True,True,True,True
South Dakota,17008,10756.0,11074.8,10139.0,8585.0,,8151.6,86.0,13693.3,,9924.0,11168.4,14067.6,1697.3,7450.1,10538.2,13127.6,,8468.7,12437.7,10108.3,10252.8,15940.1,7284.0,-6252.0,-5933.2,-6869.0,-8423.0,,-8856.4,-16922.0,-3314.7,,-7084.0,-5839.6,-2940.4,-15310.7,-9557.9,-6469.8,-3880.4,,-8539.3,-4570.3,-6899.7,-6755.2,-1067.9,-9724.0,True,False,False,,False,False,True,,False,True,True,False,False,False,True,,False,True,False,False,True,False
Tennessee,53196,37808.0,37312.6,34823.0,40025.0,,35071.9,21349.0,70908.1,,34490.0,31129.5,34244.8,22030.6,27887.2,36437.0,41799.6,,25512.6,69783.4,19349.7,38015.6,35104.6,27287.0,-15388.0,-15883.4,-18373.0,-13171.0,,-18124.1,-31847.0,17712.1,,-18706.0,-22066.5,-18951.2,-31165.4,-25308.8,-16759.0,-11396.4,,-27683.4,16587.4,-33846.3,-15180.4,-18091.4,-25909.0,False,False,True,,False,False,False,,False,False,False,False,False,False,True,,False,False,False,True,False,False
Texas,138119,185484.0,183453.8,129648.0,94362.0,,139075.9,55842.0,270134.4,,197611.0,115162.7,159994.6,71299.1,155029.1,70660.2,109006.5,,32534.8,151042.6,145193.5,161952.4,103840.9,97145.0,47365.0,45334.8,-8471.0,-43757.0,,956.9,-82277.0,132015.4,,59492.0,-22956.3,21875.6,-66819.9,16910.1,-67458.8,-29112.5,,-105584.2,12923.6,7074.5,23833.4,-34278.1,-40974.0,True,True,True,,True,False,False,,False,True,True,False,True,False,True,,False,True,True,True,True,True
Utah,33570,26780.0,26994.7,25807.0,23269.0,,26995.6,9579.0,45709.1,,25614.0,37603.0,24553.8,12024.5,36770.2,24005.5,29651.9,,19968.4,33637.2,14662.4,28617.5,34694.7,30815.0,-6790.0,-6575.3,-7763.0,-10301.0,,-6574.4,-23991.0,12139.1,,-7956.0,4033.0,-9016.2,-21545.5,3200.2,-9564.5,-3918.1,,-13601.6,67.2,-18907.6,-4952.5,1124.7,-2755.0,True,False,False,,True,False,False,,False,True,False,False,True,False,True,,False,True,False,True,True,True
