,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,284,456.0,520.1,,349.0,717.0,,,,,521.2,,603.0,,387.2,151.1,,196.4,288.5,,,180.4,,263.9,,,,,754.5,172.0,236.1,,65.0,433.0,,,,,237.2,,319.0,,103.2,-132.9,,-87.6,4.5,,,-103.6,,-20.1,,,,,470.5,False,,True,False,,,,,False,,False,,True,True,,True,True,,,True,,True,,,,,False
01023,43,12.0,7.5,,15.0,5.0,,,,,34.1,,86.0,,22.3,16.1,,6.4,34.5,,,28.5,,15.4,,,,,20.5,-31.0,-35.5,,-28.0,-38.0,,,,,-8.9,,43.0,,-20.7,-26.9,,-36.6,-8.5,,,-14.5,,-27.6,,,,,-22.5,False,,True,False,,,,,True,,False,,True,True,,False,True,,,True,,True,,,,,True
01025,253,168.0,142.7,,130.0,108.0,,,,,179.4,,269.0,,173.2,38.2,,61.4,119.5,,,8.8,,159.3,,,,,116.1,-85.0,-110.3,,-123.0,-145.0,,,,,-73.6,,16.0,,-79.8,-214.8,,-191.6,-133.5,,,-244.2,,-93.7,,,,,-136.9,False,,False,False,,,,,True,,True,,True,False,,False,False,,,False,,False,,,,,False
01027,157,196.0,193.4,,128.0,212.0,,,,,135.8,,103.0,,187.0,43.0,,62.2,125.8,,,46.6,,131.1,,,,,207.4,39.0,36.4,,-29.0,55.0,,,,,-21.2,,-54.0,,30.0,-114.0,,-94.8,-31.2,,,-110.4,,-25.9,,,,,50.4,True,,True,False,,,,,True,,False,,True,False,,False,True,,,False,,True,,,,,False
01029,176,240.0,242.3,,162.0,214.0,,,,,125.6,,148.0,,200.7,25.6,,129.0,161.7,,,40.9,,158.6,,,,,242.9,64.0,66.3,,-14.0,38.0,,,,,-50.4,,-28.0,,24.7,-150.4,,-47.0,-14.3,,,-135.1,,-17.4,,,,,66.9,False,,True,True,,,,,True,,True,,True,False,,True,True,,,False,,True,,,,,False
01031,415,312.0,113.1,,245.0,276.0,,,,,375.4,,534.0,,222.4,230.0,,170.1,236.5,,,324.9,,280.0,,,,,515.0,-103.0,-301.9,,-170.0,-139.0,,,,,-39.6,,119.0,,-192.6,-185.0,,-244.9,-178.5,,,-90.1,,-135.0,,,,,100.0,False,,False,False,,,,,True,,False,,False,False,,False,False,,,True,,False,,,,,True
01033,359,212.0,229.4,,193.0,550.0,,,,,224.2,,476.0,,171.4,116.3,,122.9,247.0,,,171.0,,137.5,,,,,125.7,-147.0,-129.6,,-166.0,191.0,,,,,-134.8,,117.0,,-187.6,-242.7,,-236.1,-112.0,,,-188.0,,-221.5,,,,,-233.3,True,,False,False,,,,,True,,True,,False,False,,False,True,,,False,,False,,,,,False
01035,28,48.0,51.9,,26.0,26.0,,,,,63.8,,76.0,,56.7,22.0,,4.0,30.1,0.0,,12.4,,26.3,,,,,60.9,20.0,23.9,,-2.0,-2.0,,,,,35.8,,48.0,,28.7,-6.0,,-24.0,2.1,-28.0,,-15.6,,-1.7,,,,,32.9,False,,True,True,,,,,False,,False,,False,True,,False,True,False,,True,,True,,,,,False
01037,32,40.0,61.1,,25.0,104.0,,,,,35.9,,78.0,,28.9,21.3,,4.5,25.3,3.8,,10.3,,24.0,,,,,31.1,8.0,29.1,,-7.0,72.0,,,,,3.9,,46.0,,-3.1,-10.7,,-27.5,-6.7,-28.2,,-21.7,,-8.0,,,,,-0.9,False,,True,False,,,,,True,,False,,True,False,,False,True,False,,False,,True,,,,,True
01039,339,396.0,496.7,,186.0,281.0,,,,,426.1,,399.0,,419.6,131.8,,109.5,174.7,0.4,,55.5,,162.2,,,,,468.7,57.0,157.7,,-153.0,-58.0,,,,,87.1,,60.0,,80.6,-207.2,,-229.5,-164.3,-338.6,,-283.5,,-176.8,,,,,129.7,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,False,,,,,False
01041,72,60.0,14.3,,49.0,1.0,,,,,86.4,,139.0,,67.9,40.3,,19.5,49.5,0.0,,68.7,,104.1,,,,,94.9,-12.0,-57.7,,-23.0,-71.0,,,,,14.4,,67.0,,-4.1,-31.7,,-52.5,-22.5,-72.0,,-3.3,,32.1,,,,,22.9,False,,False,False,,,,,False,,False,,True,False,,False,False,False,,True,,False,,,,,False
01043,541,276.0,419.3,,177.0,321.0,,,,,468.2,,1103.0,,213.3,180.3,,43.1,165.2,148.1,,104.8,,170.7,,,,,634.2,-265.0,-121.7,,-364.0,-220.0,,,,,-72.8,,562.0,,-327.7,-360.7,,-497.9,-375.8,-392.9,,-436.2,,-370.3,,,,,93.2,True,,False,True,,,,,True,,False,,False,False,,False,False,False,,False,,False,,,,,True
01045,365,236.0,434.2,,144.0,294.0,,,,,336.5,,393.0,,146.4,157.0,,107.8,161.0,0.8,,116.4,,147.7,,,,,499.2,-129.0,69.2,,-221.0,-71.0,,,,,-28.5,,28.0,,-218.6,-208.0,,-257.2,-204.0,-364.2,,-248.6,,-217.3,,,,,134.2,True,,False,True,,,,,True,,True,,False,False,,False,False,False,,False,,False,,,,,False
01047,75,216.0,274.0,,126.0,230.0,,,,,297.2,,350.0,,167.4,60.4,,25.8,111.9,1.3,,35.8,,123.9,,,,,219.3,141.0,199.0,,51.0,155.0,,,,,222.2,,275.0,,92.4,-14.6,,-49.2,36.9,-73.7,,-39.2,,48.9,,,,,144.3,False,,True,False,,,,,False,,False,,True,True,,True,True,True,,True,,True,,,,,False
01049,972,280.0,285.2,,226.0,737.0,,,,,312.6,,882.0,,225.6,188.6,,147.4,253.6,14.0,,78.4,,194.8,,,,,278.8,-692.0,-686.8,,-746.0,-235.0,,,,,-659.4,,-90.0,,-746.4,-783.4,,-824.6,-718.4,-958.0,,-893.6,,-777.2,,,,,-693.2,True,,False,True,,,,,True,,True,,False,False,,False,False,False,,False,,False,,,,,False
01051,533,592.0,616.1,,376.0,350.0,,,,,596.3,,627.0,,536.5,188.5,,222.7,307.8,15.6,,300.5,,417.0,,,,,756.0,59.0,83.1,,-157.0,-183.0,,,,,63.3,,94.0,,3.5,-344.5,,-310.3,-225.2,-517.4,,-232.5,,-116.0,,,,,223.0,False,,False,False,,,,,False,,False,,True,False,,False,False,False,,False,,False,,,,,False
01053,120,204.0,327.3,,91.0,13.0,,,,,315.6,,403.0,,201.1,90.8,,38.6,111.4,0.5,,23.2,,106.4,,,,,365.2,84.0,207.3,,-29.0,-107.0,,,,,195.6,,283.0,,81.1,-29.2,,-81.4,-8.6,-119.5,,-96.8,,-13.6,,,,,245.2,False,,True,False,,,,,False,,False,,True,True,,True,True,False,,False,,True,,,,,False
01055,775,624.0,711.9,,422.0,547.0,,,,,779.9,,1012.0,,407.0,399.4,,422.2,525.2,20.7,,303.8,,322.2,,,,,1069.2,-151.0,-63.1,,-353.0,-228.0,,,,,4.9,,237.0,,-368.0,-375.6,,-352.8,-249.8,-754.3,,-471.2,,-452.8,,,,,294.2,True,,False,False,,,,,True,,False,,False,False,,False,False,False,,False,,False,,,,,False
01057,117,156.0,158.0,,129.0,116.0,,,,,99.9,,138.0,,162.3,53.6,,99.3,136.9,0.6,,121.6,,121.6,,,,,182.7,39.0,41.0,,12.0,-1.0,,,,,-17.1,,21.0,,45.3,-63.4,,-17.7,19.9,-116.4,,4.6,,4.6,,,,,65.7,False,,True,True,,,,,True,,True,,False,False,,True,True,False,,True,,True,,,,,False
01059,281,120.0,113.4,,113.0,131.0,,,,,191.7,,503.0,,107.8,91.3,,62.7,148.0,11.0,,160.0,,116.3,,,,,246.2,-161.0,-167.6,,-168.0,-150.0,,,,,-89.3,,222.0,,-173.2,-189.7,,-218.3,-133.0,-270.0,,-121.0,,-164.7,,,,,-34.8,False,,False,True,,,,,True,,False,,False,False,,False,True,False,,True,,False,,,,,True
01061,275,248.0,221.4,,188.0,736.0,,,,,183.0,,218.0,,207.9,145.4,,86.8,186.5,1.6,,127.3,,148.9,,,,,346.8,-27.0,-53.6,,-87.0,461.0,,,,,-92.0,,-57.0,,-67.1,-129.6,,-188.2,-88.5,-273.4,,-147.7,,-126.1,,,,,71.8,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,False,,,,,False
01063,40,12.0,16.8,,6.0,0.0,,,,,26.9,,39.0,,29.1,11.7,,0.1,4.5,0.0,,6.0,,9.0,,,,,22.1,-28.0,-23.2,,-34.0,-40.0,,,,,-13.1,,-1.0,,-10.9,-28.3,,-39.9,-35.5,-40.0,,-34.0,,-31.0,,,,,-17.9,True,,False,False,,,,,True,,True,,True,False,,False,False,False,,False,,False,,,,,True
01065,132,92.0,44.1,,59.0,30.0,,,,,65.1,,192.0,,97.1,25.3,,38.5,89.9,1.6,,59.0,,60.4,,,,,121.4,-40.0,-87.9,,-73.0,-102.0,,,,,-66.9,,60.0,,-34.9,-106.7,,-93.5,-42.1,-130.4,,-73.0,,-71.6,,,,,-10.6,False,,False,False,,,,,False,,False,,True,False,,False,False,False,,False,,False,,,,,True
01067,203,152.0,179.2,,97.0,46.0,,,,,119.3,,95.0,,119.2,55.9,,28.0,92.5,0.1,,107.0,,118.3,,,,,203.3,-51.0,-23.8,,-106.0,-157.0,,,,,-83.7,,-108.0,,-83.8,-147.2,,-175.0,-110.5,-202.9,,-96.0,,-84.7,,,,,0.3,True,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,False,,,,,True
01069,1245,816.0,1201.2,,453.0,688.0,,,,,1278.2,,780.0,,505.8,526.9,,378.5,499.6,19.4,,255.3,,519.1,,,,,1399.4,-429.0,-43.8,,-792.0,-557.0,,,,,33.2,,-465.0,,-739.2,-718.1,,-866.5,-745.4,-1225.6,,-989.7,,-725.9,,,,,154.4,True,,False,False,,,,,True,,False,,False,False,,False,False,False,,False,,False,,,,,True
01071,574,324.0,302.9,,226.0,256.0,,,,,292.2,,554.0,,231.0,127.4,,146.9,255.3,2.0,,156.9,,168.7,,,,,244.4,-250.0,-271.1,,-348.0,-318.0,,,,,-281.8,,-20.0,,-343.0,-446.6,,-427.1,-318.7,-572.0,,-417.1,,-405.3,,,,,-329.6,False,,False,False,,,,,False,,True,,False,False,,False,False,False,,False,,False,,,,,False
01073,3453,3060.0,3471.9,2631.2,2149.0,1343.0,,,,,3342.1,,5649.0,,2591.8,1805.6,,2046.8,2344.7,275.1,,594.6,,1869.1,1935.0,,,,1943.6,-393.0,18.9,-821.8,-1304.0,-2110.0,,,,,-110.9,,2196.0,,-861.2,-1647.4,,-1406.2,-1108.3,-3177.9,,-2858.4,,-1583.9,-1518.0,,,,-1509.4,True,False,False,False,,,,,True,,False,,False,False,,False,False,False,,False,,False,False,,,,False
01075,125,88.0,59.6,,57.0,22.0,,,,,75.9,,152.0,,99.3,30.0,,29.2,79.5,2.8,,44.7,,66.3,,,,,83.4,-37.0,-65.4,,-68.0,-103.0,,,,,-49.1,,27.0,,-25.7,-95.0,,-95.8,-45.5,-122.2,,-80.3,,-58.7,,,,,-41.6,False,,False,False,,,,,False,,True,,True,False,,False,False,False,,False,,False,,,,,False
01077,549,288.0,317.2,,252.0,288.0,,,,,268.1,,803.0,,255.5,164.1,,181.8,312.7,186.4,,214.6,,235.9,,,,,220.6,-261.0,-231.8,,-297.0,-261.0,,,,,-280.9,,254.0,,-293.5,-384.9,,-367.2,-236.3,-362.6,,-334.4,,-313.1,,,,,-328.4,True,,False,False,,,,,False,,True,,False,False,,False,True,False,,False,,False,,,,,False
01079,230,152.0,163.3,,127.0,343.0,,,,,142.4,,301.0,,138.1,71.6,,35.7,100.5,57.4,,14.8,,126.8,,,,,156.0,-78.0,-66.7,,-103.0,113.0,,,,,-87.6,,71.0,,-91.9,-158.4,,-194.3,-129.5,-172.6,,-215.2,,-103.2,,,,,-74.0,True,,False,False,,,,,False,,True,,False,False,,False,False,False,,False,,False,,,,,True
01081,637,768.0,1490.5,,766.0,1048.0,,,,,3190.4,,1517.0,,868.2,685.9,,302.9,687.3,6.9,,843.7,,517.9,1085.0,,,,2098.5,131.0,853.5,,129.0,411.0,,,,,2553.4,,880.0,,231.2,48.9,,-334.1,50.3,-630.1,,206.7,,-119.1,448.0,,,,1461.5,False,,True,False,,,,,False,,False,,False,True,,False,True,False,,False,,True,False,,,,False
01083,741,512.0,475.6,,425.0,1171.0,,,,,446.0,,946.0,,424.6,147.9,,362.8,460.3,151.8,,256.4,,250.4,,,,,561.4,-229.0,-265.4,,-316.0,430.0,,,,,-295.0,,205.0,,-316.4,-593.1,,-378.2,-280.7,-589.2,,-484.6,,-490.6,,,,,-179.6,False,,False,False,,,,,False,,True,,False,False,,False,False,False,,False,,False,,,,,True
01085,56,32.0,17.8,,14.0,0.0,,,,,38.7,,69.0,,23.9,9.5,,2.0,20.0,0.1,,9.9,,19.4,,,,,39.2,-24.0,-38.2,,-42.0,-56.0,,,,,-17.3,,13.0,,-32.1,-46.5,,-54.0,-36.0,-55.9,,-46.1,,-36.6,,,,,-16.8,False,,False,False,,,,,True,,True,,False,False,,False,False,False,,False,,False,,,,,True
01087,56,16.0,3.6,,22.0,34.0,,,,,79.8,,67.0,,23.6,31.7,,4.0,26.3,0.0,,27.3,,28.8,,,,,112.5,-40.0,-52.4,,-34.0,-22.0,,,,,23.8,,11.0,,-32.4,-24.3,,-52.0,-29.7,-56.0,,-28.7,,-27.2,,,,,56.5,False,,True,True,,,,,True,,True,,True,True,,False,True,False,,True,,True,,,,,False
01089,1399,1496.0,1379.5,1389.1,1030.0,1148.0,,,,,1205.7,,2318.0,,1028.4,1146.1,,1026.7,1180.3,655.4,,767.3,,667.4,856.0,,,,1665.1,97.0,-19.5,-9.9,-369.0,-251.0,,,,,-193.3,,919.0,,-370.6,-252.9,,-372.3,-218.7,-743.6,,-631.7,,-731.6,-543.0,,,,266.1,True,True,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,False,False,,,,False
01091,288,84.0,62.7,,44.0,7.0,,,,,92.6,,219.0,,78.1,29.2,,35.0,76.7,0.3,,24.8,,45.8,,,,,84.5,-204.0,-225.3,,-244.0,-281.0,,,,,-195.4,,-69.0,,-209.9,-258.8,,-253.0,-211.3,-287.7,,-263.2,,-242.2,,,,,-203.5,False,,False,False,,,,,True,,True,,False,False,,False,False,False,,False,,False,,,,,True
01093,113,108.0,152.0,,70.0,59.0,,,,,182.3,,250.0,,72.5,79.4,,28.9,80.4,0.9,,64.0,,59.2,,,,,294.8,-5.0,39.0,,-43.0,-54.0,,,,,69.3,,137.0,,-40.5,-33.6,,-84.1,-32.6,-112.1,,-49.0,,-53.8,,,,,181.8,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,False,,,,,False
01095,438,488.0,395.6,,328.0,672.0,,,,,335.8,,1149.0,,404.6,196.7,,174.6,329.9,15.9,,65.5,,288.3,,,,,492.4,50.0,-42.4,,-110.0,234.0,,,,,-102.2,,711.0,,-33.4,-241.3,,-263.4,-108.1,-422.1,,-372.5,,-149.7,,,,,54.4,True,,False,False,,,,,False,,False,,True,False,,False,False,False,,False,,False,,,,,False
01097,3476,1336.0,1428.5,1462.7,1176.0,689.0,,,,,1263.9,,2455.0,,1161.9,973.4,,930.8,1416.6,319.6,,791.7,,1447.3,865.0,,,,797.1,-2140.0,-2047.5,-2013.3,-2300.0,-2787.0,,,,,-2212.1,,-1021.0,,-2314.1,-2502.6,,-2545.2,-2059.4,-3156.4,,-2684.3,,-2028.7,-2611.0,,,,-2678.9,True,True,False,False,,,,,False,,True,,False,False,,False,True,False,,False,,True,False,,,,False
01099,57,56.0,50.4,,26.0,0.0,,,,,107.5,,144.0,,47.7,20.3,,5.2,36.3,0.1,,22.4,,33.5,,,,,85.7,-1.0,-6.6,,-31.0,-57.0,,,,,50.5,,87.0,,-9.3,-36.7,,-51.8,-20.7,-56.9,,-34.6,,-23.5,,,,,28.7,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,False,,,,,False
01101,1363,824.0,1051.0,874.4,664.0,817.0,,,,,831.3,,1839.0,,658.1,435.7,,328.7,545.6,48.6,,448.0,,581.0,962.0,,,,1035.8,-539.0,-312.0,-488.6,-699.0,-546.0,,,,,-531.7,,476.0,,-704.9,-927.3,,-1034.3,-817.4,-1314.4,,-915.0,,-782.0,-401.0,,,,-327.2,True,True,False,False,,,,,True,,True,,False,False,,False,False,False,,False,,False,True,,,,True
01103,828,444.0,436.8,,355.0,550.0,,,,,450.3,,1119.0,,353.1,160.8,,219.8,420.5,139.4,,259.3,,297.0,,,,,480.8,-384.0,-391.2,,-473.0,-278.0,,,,,-377.7,,291.0,,-474.9,-667.2,,-608.2,-407.5,-688.6,,-568.7,,-531.0,,,,,-347.2,False,,False,True,,,,,True,,True,,False,False,,False,False,False,,False,,False,,,,,True
01105,49,16.0,10.2,,8.0,0.0,,,,,63.3,,45.0,,17.4,10.3,,1.1,7.2,0.0,,8.0,,13.4,,,,,40.4,-33.0,-38.8,,-41.0,-49.0,,,,,14.3,,-4.0,,-31.6,-38.7,,-47.9,-41.8,-49.0,,-41.0,,-35.6,,,,,-8.6,False,,False,False,,,,,True,,True,,True,False,,False,False,False,,False,,False,,,,,True
01107,185,124.0,118.7,,101.0,124.0,,,,,125.0,,192.0,,111.7,58.2,,65.1,111.1,1.1,,62.9,,75.2,,,,,126.9,-61.0,-66.3,,-84.0,-61.0,,,,,-60.0,,7.0,,-73.3,-126.8,,-119.9,-73.9,-183.9,,-122.1,,-109.8,,,,,-58.1,False,,False,False,,,,,True,,True,,False,False,,False,False,False,,False,,False,,,,,True
01109,137,188.0,246.2,,163.0,500.0,,,,,324.2,,546.0,,199.2,83.7,,27.3,122.7,0.0,,118.6,,175.6,,,,,244.7,51.0,109.2,,26.0,363.0,,,,,187.2,,409.0,,62.2,-53.3,,-109.7,-14.3,-137.0,,-18.4,,38.6,,,,,107.7,False,,True,False,,,,,False,,False,,False,False,,False,True,False,,True,,True,,,,,False
01111,176,160.0,53.2,,80.0,48.0,,,,,123.8,,220.0,,162.6,78.9,,53.6,119.9,2.7,,137.5,,77.4,,,,,130.8,-16.0,-122.8,,-96.0,-128.0,,,,,-52.2,,44.0,,-13.4,-97.1,,-122.4,-56.1,-173.3,,-38.5,,-98.6,,,,,-45.2,False,,False,False,,,,,False,,False,,True,False,,False,False,False,,False,,False,,,,,False
01113,187,196.0,261.4,,185.0,454.0,,,,,221.6,,401.0,,188.1,87.8,,40.9,118.9,0.7,,63.1,,227.7,,,,,202.7,9.0,74.4,,-2.0,267.0,,,,,34.6,,214.0,,1.1,-99.2,,-146.1,-68.1,-186.3,,-123.9,,40.7,,,,,15.7,False,,True,False,,,,,False,,False,,True,False,,False,False,False,,False,,False,,,,,False
01115,603,436.0,470.2,,277.0,530.0,,,,,687.9,,706.0,,389.4,228.1,,177.5,250.4,80.8,,72.9,,260.4,,,,,1035.4,-167.0,-132.8,,-326.0,-73.0,,,,,84.9,,103.0,,-213.6,-374.9,,-425.5,-352.6,-522.2,,-530.1,,-342.6,,,,,432.4,True,,False,True,,,,,True,,True,,False,False,,False,False,False,,False,,False,,,,,False
01117,1360,1332.0,1129.2,,1007.0,1111.0,,,,,2151.1,,1568.0,,1237.9,1048.4,,883.2,981.1,207.1,,931.7,,677.7,1069.0,,,,2451.7,-28.0,-230.8,,-353.0,-249.0,,,,,791.1,,208.0,,-122.1,-311.6,,-476.8,-378.9,-1152.9,,-428.3,,-682.3,-291.0,,,,1091.7,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,False,False,,,,False
