,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Oregon,12583,7800.0,11219.0,,7953.7,5921.0,,6853.0,8076.0,10769.5,13940.2,4847.5,3758.0,4176.8,7916.7,6608.0,-4783.0,-1364.0,,-4629.3,-6662.0,,-5730.0,-4507.0,-1813.5,1357.2,-7735.5,-8825.0,-8406.2,-4666.3,-5975.0,True,,True,False,,False,True,True,True,False,False,False,True,False
Pennsylvania,48735,32130.0,54590.0,,35391.7,1667.0,,26646.0,44812.1,29777.8,40762.4,11665.4,4541.8,18502.2,19898.2,35729.0,-16605.0,5855.0,,-13343.3,-47068.0,,-22089.0,-3922.9,-18957.2,-7972.6,-37069.6,-44193.2,-30232.8,-28836.8,-13006.0,True,,True,False,,False,True,False,True,False,False,False,False,True
Rhode Island,7343,3972.0,3210.0,,2170.1,0.0,,7290.0,2375.5,2386.8,7045.2,1341.5,1729.9,4037.0,2353.6,2444.0,-3371.0,-4133.0,,-5172.9,-7343.0,,-53.0,-4967.5,-4956.2,-297.8,-6001.5,-5613.1,-3306.0,-4989.4,-4899.0,False,,False,False,,True,False,False,True,False,False,True,False,False
South Carolina,39363,34134.0,33123.0,,34284.6,12362.0,,29358.0,38383.4,32304.0,10124.7,39958.9,13847.9,16067.0,71612.4,20455.0,-5229.0,-6240.0,,-5078.4,-27001.0,,-10005.0,-979.6,-7059.0,-29238.3,595.9,-25515.1,-23296.0,32249.4,-18908.0,False,,True,False,,False,True,False,False,True,False,False,False,False
South Dakota,21704,9288.0,7699.0,,10731.5,185.0,,11071.0,11417.3,10641.6,1898.1,6522.0,4408.2,6080.1,6084.4,3445.0,-12416.0,-14005.0,,-10972.5,-21519.0,,-10633.0,-10286.7,-11062.4,-19805.9,-15182.0,-17295.8,-15623.9,-15619.6,-18259.0,False,,True,False,,True,True,True,False,False,False,False,False,False
Tennessee,73196,51174.0,205443.0,,48129.3,26937.0,,45097.0,48887.4,72526.5,33009.6,26043.0,18681.6,22440.8,34761.3,27627.0,-22022.0,132247.0,,-25066.7,-46259.0,,-28099.0,-24308.6,-669.5,-40186.4,-47153.0,-54514.4,-50755.2,-38434.7,-45569.0,False,,False,False,,False,False,True,False,False,False,False,False,False
Texas,214725,131406.0,222067.0,,103448.6,87774.0,,191940.0,73213.6,139247.6,84565.9,94229.4,53170.3,81737.7,99346.0,59067.0,-83319.0,7342.0,,-111276.4,-126951.0,,-22785.0,-141511.4,-75477.4,-130159.1,-120495.6,-161554.7,-132987.3,-115379.0,-155658.0,True,,False,False,,True,False,True,False,False,False,False,False,False
Utah,45870,17850.0,23562.0,,23417.3,6974.0,,16011.0,22077.6,17361.4,8419.7,13806.9,14917.0,10386.7,29407.7,18046.0,-28020.0,-22308.0,,-22452.7,-38896.0,,-29859.0,-23792.4,-28508.6,-37450.3,-32063.1,-30953.0,-35483.3,-16462.3,-27824.0,True,,True,False,,False,True,False,False,False,False,False,True,True
Vermont,366,180.0,178.0,,293.6,59.0,,353.0,139.8,1000.4,848.8,130.5,121.4,300.3,222.5,104.0,-186.0,-188.0,,-72.4,-307.0,,-13.0,-226.2,634.4,482.8,-235.5,-244.6,-65.7,-143.5,-262.0,False,,True,False,,True,False,False,False,False,False,True,True,False
Virginia,39504,43122.0,72434.0,,46839.7,6026.0,,26574.0,48665.3,57967.8,32787.4,25693.0,23620.8,31321.3,43900.0,0.0,3618.0,32930.0,,7335.7,-33478.0,,-12930.0,9161.3,18463.8,-6716.6,-13811.0,-15883.2,-8182.7,4396.0,-39504.0,False,,False,False,,False,False,False,False,False,False,False,False,False
Washington,22788,15840.0,15541.0,,18535.3,29713.0,,11145.0,17456.2,14837.2,18892.4,11030.5,7890.1,12120.7,14631.0,13083.0,-6948.0,-7247.0,,-4252.7,6925.0,,-11643.0,-5331.8,-7950.8,-3895.6,-11757.5,-14897.9,-10667.3,-8157.0,-9705.0,False,,True,True,,False,True,False,True,False,False,False,False,False
West Virginia,9188,7410.0,7830.0,,12287.9,5486.0,,6345.0,12185.5,13327.8,8253.6,6076.0,5978.5,5705.8,12663.6,7074.0,-1778.0,-1358.0,,3099.9,-3702.0,,-2843.0,2997.5,4139.8,-934.4,-3112.0,-3209.5,-3482.2,3475.6,-2114.0,True,,False,False,,False,False,False,True,False,False,False,False,False
Wisconsin,117536,43818.0,118781.0,,56151.0,26798.0,,36883.0,60327.0,64183.9,27765.7,42002.2,39872.5,31194.5,113086.4,40753.0,-73718.0,1245.0,,-61385.0,-90738.0,,-80653.0,-57209.0,-53352.1,-89770.3,-75533.8,-77663.5,-86341.5,-4449.6,-76783.0,True,,True,False,,False,True,True,False,False,False,False,True,False
Wyoming,6508,1842.0,1996.0,,1371.4,743.0,,1675.0,2050.8,9511.8,1830.8,1248.4,1655.4,1368.9,3856.4,1840.0,-4666.0,-4512.0,,-5136.6,-5765.0,,-4833.0,-4457.2,3003.8,-4677.2,-5259.6,-4852.6,-5139.1,-2651.6,-4668.0,True,,False,False,,False,True,True,False,False,False,False,True,False
US,2096219,1441464.0,2346304.0,1439605.0,1096486.6,813943.0,1279840.0,1577805.0,1394066.3,1552450.5,1189074.8,882051.1,689748.5,832546.6,1314709.5,924348.0,-654755.0,250085.0,-656614.0,-999732.4,-1282276.0,-816379.0,-518414.0,-702152.7,-543768.5,-907144.2,-1214167.9,-1406470.5,-1263672.4,-781509.5,-1171871.0,True,False,False,False,False,True,False,True,False,False,False,False,False,False
