,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Missouri,86661,65728.0,,68289.3,53310.0,35145.2,32354.9,77767.5,48393.0,-20933.0,,-18371.7,-33351.0,-51515.8,-54306.1,-8893.5,-38268.0,,True,False,False,False,True,False
Montana,19891,7000.0,,6715.6,9436.0,4984.8,3447.0,11268.5,5990.0,-12891.0,,-13175.4,-10455.0,-14906.2,-16444.0,-8622.5,-13901.0,,False,True,False,False,True,False
Nebraska,29462,15784.0,,16800.1,15722.0,7431.1,13130.4,26084.8,10335.0,-13678.0,,-12661.9,-13740.0,-22030.9,-16331.6,-3377.2,-19127.0,,True,False,False,False,True,False
Nevada,26351,27136.0,,23597.3,20090.0,8974.4,23394.8,11636.7,9568.0,785.0,,-2753.7,-6261.0,-17376.6,-2956.2,-14714.3,-16783.0,,False,False,False,False,False,False
New Hampshire,2992,1216.0,,736.1,987.0,755.7,705.3,877.5,858.0,-1776.0,,-2255.9,-2005.0,-2236.3,-2286.7,-2114.5,-2134.0,,False,False,False,False,False,False
New Jersey,36019,15792.0,,7006.4,11315.0,8567.0,15867.7,13815.7,10946.0,-20227.0,,-29012.6,-24704.0,-27452.0,-20151.3,-22203.3,-25073.0,,False,False,False,True,False,False
New Mexico,15862,7008.0,,6151.3,6496.0,2672.2,4287.6,6099.6,5654.0,-8854.0,,-9710.7,-9366.0,-13189.8,-11574.4,-9762.4,-10208.0,,False,False,False,False,False,False
New York,61976,33896.0,,7714.2,14448.0,34168.9,23595.0,29176.8,28684.0,-28080.0,,-54261.8,-47528.0,-27807.1,-38381.0,-32799.2,-33292.0,,False,False,True,False,False,False
North Carolina,87915,91488.0,,77971.5,90772.0,48898.0,58053.4,102641.1,68609.0,3573.0,,-9943.5,2857.0,-39017.0,-29861.6,14726.1,-19306.0,,False,True,False,False,False,False
North Dakota,25390,13984.0,,19668.7,13864.0,11649.8,10693.5,16585.8,8202.0,-11406.0,,-5721.3,-11526.0,-13740.2,-14696.5,-8804.2,-17188.0,,True,False,False,False,True,False
Ohio,74486,57240.0,,43778.8,56200.0,25794.9,48467.2,76353.3,37383.0,-17246.0,,-30707.2,-18286.0,-48691.1,-26018.8,1867.3,-37103.0,,False,False,False,False,True,False
Oklahoma,58332,38032.0,,36040.4,46403.0,16129.6,27225.1,45210.0,24280.0,-20300.0,,-22291.6,-11929.0,-42202.4,-31106.9,-13122.0,-34052.0,,False,True,False,False,True,False
Oregon,15446,12664.0,,11851.5,9394.0,5734.6,10226.4,10441.8,8531.0,-2782.0,,-3594.5,-6052.0,-9711.4,-5219.6,-5004.2,-6915.0,,False,False,False,False,False,False
Pennsylvania,59794,35328.0,,30504.0,23606.0,18668.2,25254.1,30419.7,24708.0,-24466.0,,-29290.0,-36188.0,-41125.8,-34539.9,-29374.3,-35086.0,,False,False,False,False,False,False
Rhode Island,8565,5288.0,,2544.9,3240.0,373.4,6088.4,3589.8,3237.0,-3277.0,,-6020.1,-5325.0,-8191.6,-2476.6,-4975.2,-5328.0,,False,False,False,True,False,False
South Carolina,52092,47632.0,,39581.5,38531.0,38878.5,44254.9,66134.7,29049.0,-4460.0,,-12510.5,-13561.0,-13213.5,-7837.1,14042.7,-23043.0,,False,False,False,False,False,False
South Dakota,25199,14456.0,,21481.7,10125.0,12241.6,10890.5,30489.1,12025.0,-10743.0,,-3717.3,-15074.0,-12957.4,-14308.5,5290.1,-13174.0,,True,False,False,False,True,False
Tennessee,91807,81576.0,,63357.8,66005.0,34186.9,42906.6,39328.5,35708.0,-10231.0,,-28449.2,-25802.0,-57620.1,-48900.4,-52478.5,-56099.0,,False,False,False,False,False,False
Texas,267110,299776.0,,201039.7,304894.0,77338.1,211214.5,106737.2,124541.0,32666.0,,-66070.3,37784.0,-189771.9,-55895.5,-160372.8,-142569.0,,False,False,False,False,False,False
Utah,51711,20736.0,,22779.2,18879.0,8562.2,19740.7,22976.8,14301.0,-30975.0,,-28931.8,-32832.0,-43148.8,-31970.3,-28734.2,-37410.0,,True,False,False,False,True,False
Vermont,438,416.0,,330.3,464.0,131.2,456.8,1111.4,500.0,-22.0,,-107.7,26.0,-306.8,18.8,673.4,62.0,,False,False,False,True,False,False
Virginia,53563,53808.0,,45904.6,37030.0,27169.5,47754.0,67239.6,0.0,245.0,,-7658.4,-16533.0,-26393.5,-5809.0,13676.6,-53563.0,,False,False,False,False,False,False
Washington,30184,26272.0,,13851.1,19510.0,8330.9,20670.5,21468.5,22914.0,-3912.0,,-16332.9,-10674.0,-21853.1,-9513.5,-8715.5,-7270.0,,False,False,False,False,False,False
West Virginia,11746,6280.0,,5510.2,6170.0,2557.5,4445.3,13181.2,5557.0,-5466.0,,-6235.8,-5576.0,-9188.5,-7300.7,1435.2,-6189.0,,False,False,False,False,True,False
Wisconsin,130339,38328.0,,45326.3,41894.0,14185.2,20974.9,31176.7,27749.0,-92011.0,,-85012.7,-88445.0,-116153.8,-109364.1,-99162.3,-102590.0,,True,True,False,False,False,False
Wyoming,7010,2016.0,,1679.8,2664.0,60.4,1603.2,375.4,1841.0,-4994.0,,-5330.2,-4346.0,-6949.6,-5406.8,-6634.6,-5169.0,,False,True,False,False,False,False
US,2630292,2352192.0,1634642.0,1160520.9,2430151.0,1106616.3,2072151.1,1660827.8,1320274.0,-278100.0,-995650.0,-1469771.1,-200141.0,-1523675.7,-558140.9,-969464.2,-1310018.0,False,False,True,False,False,False,False
