,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,44584,60580.0,53652.0,,46604.8,35387.0,,59327.0,51749.8,58929.3,28935.3,42694.7,35603.1,,25086.2,43611.1,42352.7,38153.0,15996.0,9068.0,,2020.8,-9197.0,,14743.0,7165.8,14345.3,-15648.7,-1889.3,-8980.9,,-19497.8,-972.9,-2231.3,-6431.0,True,,True,True,,True,True,True,True,True,True,,False,True,True,True
Hawaii,3273,3690.0,1154.0,,2617.0,2628.0,,,2028.3,3789.1,5326.7,4362.3,2233.8,,964.2,3911.2,2009.0,1863.0,417.0,-2119.0,,-656.0,-645.0,,,-1244.7,516.1,2053.7,1089.3,-1039.2,,-2308.8,638.2,-1264.0,-1410.0,False,,False,False,,,False,False,False,False,False,,False,False,False,False
Idaho,21447,10400.0,11416.0,,9240.5,6140.0,,9154.0,8428.1,14924.1,7761.0,6185.5,6140.2,,5988.8,6882.0,11542.2,8042.0,-11047.0,-10031.0,,-12206.5,-15307.0,,-12293.0,-13018.9,-6522.9,-13686.0,-15261.5,-15306.8,,-15458.2,-14565.0,-9904.8,-13405.0,True,,False,False,,False,False,True,False,False,False,,False,False,True,False
Illinois,99860,65210.0,101355.0,,51153.9,11709.0,,51848.0,70327.3,58847.9,49210.4,52314.1,40262.1,,43399.7,58248.6,55752.5,45996.0,-34650.0,1495.0,,-48706.1,-88151.0,,-48012.0,-29532.7,-41012.1,-50649.6,-47545.9,-59597.9,,-56460.3,-41611.4,-44107.5,-53864.0,True,,False,False,,False,True,False,False,False,False,,False,False,False,False
Indiana,49695,30990.0,39565.0,,27971.1,22116.0,,19701.0,29443.4,37196.1,26534.4,34963.5,19208.3,,17501.2,25719.8,28028.0,25263.0,-18705.0,-10130.0,,-21723.9,-27579.0,,-29994.0,-20251.6,-12498.9,-23160.6,-14731.5,-30486.7,,-32193.8,-23975.2,-21667.0,-24432.0,True,,False,False,,False,False,True,False,True,False,,False,False,False,False
Iowa,35032,27995.0,37385.0,,22190.9,23570.0,,24888.0,22605.0,33203.8,16140.3,36623.8,19437.4,,18440.0,21462.6,33790.8,16672.0,-7037.0,2353.0,,-12841.1,-11462.0,,-10144.0,-12427.0,-1828.2,-18891.7,1591.8,-15594.6,,-16592.0,-13569.4,-1241.2,-18360.0,True,,False,False,,False,False,True,False,True,False,,False,False,True,False
Kansas,25919,19140.0,25455.0,,15447.3,17889.0,,15121.0,12951.9,29711.9,12516.6,21900.8,10232.7,,6756.5,19243.7,13928.5,13783.0,-6779.0,-464.0,,-10471.7,-8030.0,,-10798.0,-12967.1,3792.9,-13402.4,-4018.2,-15686.3,,-19162.5,-6675.3,-11990.5,-12136.0,True,,False,False,,False,False,True,False,True,False,,False,True,False,False
Kentucky,34374,23455.0,25531.0,,21244.1,21348.0,,25620.0,22396.3,30884.3,20444.2,24322.4,14945.6,,13693.7,20334.1,22944.1,21162.0,-10919.0,-8843.0,,-13129.9,-13026.0,,-8754.0,-11977.7,-3489.7,-13929.8,-10051.6,-19428.4,,-20680.3,-14039.9,-11429.9,-13212.0,True,,False,False,,True,False,True,False,True,False,,False,False,False,False
Louisiana,21281,20545.0,28184.0,,14409.2,11232.0,,31461.0,13723.3,17146.3,14581.7,14851.9,13144.7,,10332.5,18308.4,11062.6,12686.0,-736.0,6903.0,,-6871.8,-10049.0,,10180.0,-7557.7,-4134.7,-6699.3,-6429.1,-8136.3,,-10948.5,-2972.6,-10218.4,-8595.0,False,,False,False,,False,False,False,False,False,False,,False,False,False,False
Maine,1102,1000.0,1509.0,,829.9,282.0,,2375.0,1245.4,2295.9,1642.3,1186.7,713.3,,337.8,775.2,1950.4,1229.0,-102.0,407.0,,-272.1,-820.0,,1273.0,143.4,1193.9,540.3,84.7,-388.7,,-764.2,-326.8,848.4,127.0,False,,False,False,,False,False,False,False,True,False,,False,False,False,False
Maryland,19743,21055.0,24891.0,,18017.8,768.0,,18214.0,24101.1,17995.9,26215.0,24096.9,12005.8,,9839.9,18059.5,18535.4,17116.0,1312.0,5148.0,,-1725.2,-18975.0,,-1529.0,4358.1,-1747.1,6472.0,4353.9,-7737.2,,-9903.1,-1683.5,-1207.6,-2627.0,False,,False,False,,False,False,False,False,False,False,,False,False,True,False
Massachusetts,22307,13205.0,19252.0,,3634.3,108.0,,8188.0,13169.6,8713.0,12301.3,17170.0,9390.1,,3785.1,11553.5,31546.2,19507.0,-9102.0,-3055.0,,-18672.7,-22199.0,,-14119.0,-9137.4,-13594.0,-10005.7,-5137.0,-12916.9,,-18521.9,-10753.5,9239.2,-2800.0,True,,False,False,,False,False,False,False,True,False,,False,False,False,True
Michigan,47525,25145.0,26906.0,,21863.9,8461.0,,31856.0,27856.6,25392.8,31423.8,30070.8,9417.7,,4326.9,16862.0,14704.3,11604.0,-22380.0,-20619.0,,-25661.1,-39064.0,,-15669.0,-19668.4,-22132.2,-16101.2,-17454.2,-38107.3,,-43198.1,-30663.0,-32820.7,-35921.0,True,,False,False,,True,True,True,True,True,False,,False,False,False,False
Minnesota,43401,25665.0,26684.0,,19843.0,3875.0,,26965.0,24904.2,27285.2,17099.6,15797.2,26332.5,,20141.4,23201.1,75383.3,35798.0,-17736.0,-16717.0,,-23558.0,-39526.0,,-16436.0,-18496.8,-16115.8,-26301.4,-27603.8,-17068.5,,-23259.6,-20199.9,31982.3,-7603.0,True,,False,False,,True,False,True,False,False,True,,False,False,False,True
Mississippi,22001,17335.0,11428.0,,12054.1,8436.0,,18000.0,17577.7,14844.1,9372.5,10510.6,11214.0,,6485.0,11599.5,12371.2,9988.0,-4666.0,-10573.0,,-9946.9,-13565.0,,-4001.0,-4423.3,-7156.9,-12628.5,-11490.4,-10787.0,,-15516.0,-10401.5,-9629.8,-12013.0,False,,False,False,,True,True,False,False,False,False,,False,False,False,False
Missouri,56965,52870.0,65300.0,,48535.0,37124.0,,36794.0,50527.8,61053.4,29044.8,43950.5,33089.9,,27633.3,36616.1,45233.3,38066.0,-4095.0,8335.0,,-8430.0,-19841.0,,-20171.0,-6437.2,4088.4,-27920.2,-13014.5,-23875.1,,-29331.7,-20348.9,-11731.7,-18899.0,False,,False,False,,False,False,True,False,False,False,,False,False,False,False
Montana,16979,6190.0,2667.0,,5178.5,2676.0,,7030.0,4963.5,8189.2,3414.9,4656.8,5340.4,,2966.1,3599.1,13938.7,6759.0,-10789.0,-14312.0,,-11800.5,-14303.0,,-9949.0,-12015.5,-8789.8,-13564.1,-12322.2,-11638.6,,-14012.9,-13379.9,-3040.3,-10220.0,False,,False,False,,True,False,True,False,False,False,,False,False,True,True
Nebraska,22418,13385.0,16641.0,,12215.1,1550.0,,8720.0,17371.9,18150.5,7102.4,14651.8,8839.5,,5724.8,11991.5,14629.7,8892.0,-9033.0,-5777.0,,-10202.9,-20868.0,,-13698.0,-5046.1,-4267.5,-15315.5,-7766.2,-13578.5,,-16693.2,-10426.5,-7788.3,-13526.0,True,,False,False,,False,True,True,False,True,False,,False,False,True,False
Nevada,19393,10995.0,9826.0,,9296.3,6121.0,,5760.0,8365.8,9504.8,5656.2,6670.2,7639.6,,7626.5,8727.8,10064.6,10492.0,-8398.0,-9567.0,,-10096.7,-13272.0,,-13633.0,-11027.2,-9888.2,-13736.8,-12722.8,-11753.4,,-11766.5,-10665.2,-9328.4,-8901.0,False,,False,False,,False,False,False,False,False,False,,False,False,False,False
New Hampshire,2318,1340.0,3120.0,,1449.7,2.0,,985.0,1349.0,1552.6,1775.9,2875.3,839.6,,702.7,1236.6,2466.3,1310.0,-978.0,802.0,,-868.3,-2316.0,,-1333.0,-969.0,-765.4,-542.1,557.3,-1478.4,,-1615.3,-1081.4,148.3,-1008.0,True,,True,False,,False,True,True,True,True,False,,False,False,True,False
New Jersey,28030,14860.0,28061.0,,8879.3,76.0,,11924.0,17340.9,10534.0,36620.6,15714.3,9688.3,,24049.0,18656.2,22797.9,18649.0,-13170.0,31.0,,-19150.7,-27954.0,,-16106.0,-10689.1,-17496.0,8590.6,-12315.7,-18341.7,,-3981.0,-9373.8,-5232.1,-9381.0,True,,False,False,,False,True,False,True,True,False,,True,True,True,True
New Mexico,13528,4255.0,3108.0,,3444.9,1387.0,,6008.0,3989.6,4635.1,5814.0,1699.2,2786.6,,1678.9,3298.3,4597.0,4132.0,-9273.0,-10420.0,,-10083.1,-12141.0,,-7520.0,-9538.4,-8892.9,-7714.0,-11828.8,-10741.4,,-11849.1,-10229.7,-8931.0,-9396.0,False,,False,False,,True,False,True,True,False,False,,False,False,True,False
New York,44794,26990.0,31263.0,,9586.8,26.0,,12341.0,30449.5,23200.4,36381.8,23773.8,17251.5,,29226.9,23578.7,24701.2,29217.0,-17804.0,-13531.0,,-35207.2,-44768.0,,-32453.0,-14344.5,-21593.6,-8412.2,-21020.2,-27542.5,,-15567.1,-21215.3,-20092.8,-15577.0,True,,False,False,,False,True,False,True,False,False,,True,False,False,True
North Carolina,60026,42545.0,36980.0,,35631.5,54812.0,,44026.0,42501.9,48652.5,42173.9,34988.5,29507.6,,26763.6,33337.0,44165.1,31503.0,-17481.0,-23046.0,,-24394.5,-5214.0,,-16000.0,-17524.1,-11373.5,-17852.1,-25037.5,-30518.4,,-33262.4,-26689.0,-15860.9,-28523.0,False,,False,True,,True,False,True,False,False,False,,False,False,True,False
North Dakota,19267,12280.0,7047.0,,11778.0,24.0,,11928.0,10795.8,13338.0,3253.4,20593.4,9745.0,,7866.1,7697.1,12075.6,7044.0,-6987.0,-12220.0,,-7489.0,-19243.0,,-7339.0,-8471.2,-5929.0,-16013.6,1326.4,-9522.0,,-11400.9,-11569.9,-7191.4,-12223.0,False,,False,False,,False,False,True,False,True,False,,False,False,False,False
Ohio,52259,34895.0,32489.0,,31851.3,27972.0,,27298.0,35566.5,42128.4,35538.6,31028.4,19857.8,,16115.3,25739.5,26972.8,28202.0,-17364.0,-19770.0,,-20407.7,-24287.0,,-24961.0,-16692.5,-10130.6,-16720.4,-21230.6,-32401.2,,-36143.7,-26519.5,-25286.2,-24057.0,False,,False,False,,False,True,True,True,False,False,,False,False,False,False
Oklahoma,39881,35725.0,39536.0,,29139.2,23974.0,,27716.0,43400.3,49327.5,20190.0,35815.0,26178.3,,26836.9,19970.8,44598.2,27484.0,-4156.0,-345.0,,-10741.8,-15907.0,,-12165.0,3519.3,9446.5,-19691.0,-4066.0,-13702.7,,-13044.1,-19910.2,4717.2,-12397.0,True,,False,False,,False,True,False,False,True,False,,False,False,False,False
Oregon,11140,5930.0,4823.0,,7168.8,4535.0,,5784.0,6644.9,9815.2,10417.8,5339.7,5654.5,,4458.8,3709.2,12608.8,7507.0,-5210.0,-6317.0,,-3971.2,-6605.0,,-5356.0,-4495.1,-1324.8,-722.2,-5800.3,-5485.5,,-6681.2,-7430.8,1468.8,-3633.0,False,,True,False,,False,True,True,True,False,False,,False,False,True,True
Pennsylvania,43134,28005.0,64261.0,,28145.9,2095.0,,24502.0,33364.3,30723.0,32409.8,23482.6,15397.7,,14065.4,20983.7,25096.0,25864.0,-15129.0,21127.0,,-14988.1,-41039.0,,-18632.0,-9769.7,-12411.0,-10724.2,-19651.4,-27736.3,,-29068.6,-22150.3,-18038.0,-17270.0,False,,True,False,,False,True,True,True,False,False,,False,False,False,False
Rhode Island,6628,3575.0,1978.0,,3380.5,0.0,,4912.0,4537.0,2898.2,4417.0,4718.7,1440.6,,522.9,3312.0,1791.0,2401.0,-3053.0,-4650.0,,-3247.5,-6628.0,,-1716.0,-2091.0,-3729.8,-2211.0,-1909.3,-5187.4,,-6105.1,-3316.0,-4837.0,-4227.0,False,,False,False,,True,True,False,True,True,False,,False,False,False,False
South Carolina,32101,36310.0,37155.0,,30716.3,11459.0,,29236.0,31077.0,35224.5,8536.5,40532.8,16306.4,,6488.5,23282.5,19793.1,23046.0,4209.0,5054.0,,-1384.7,-20642.0,,-2865.0,-1024.0,3123.5,-23564.5,8431.8,-15794.6,,-25612.5,-8818.5,-12307.9,-9055.0,False,,True,False,,True,True,True,False,False,False,,False,False,False,False
South Dakota,19697,10035.0,7587.0,,8142.9,129.0,,10320.0,11619.9,11800.5,1632.5,15078.5,8369.8,,6370.8,7732.5,14412.1,6793.0,-9662.0,-12110.0,,-11554.1,-19568.0,,-9377.0,-8077.1,-7896.5,-18064.5,-4618.5,-11327.2,,-13326.2,-11964.5,-5284.9,-12904.0,False,,False,False,,True,True,True,False,True,False,,False,False,True,False
Tennessee,62648,52740.0,55396.0,,41638.7,25142.0,,45733.0,28825.4,75491.6,26533.0,27186.0,41383.3,,34320.5,30323.5,47736.5,40760.0,-9908.0,-7252.0,,-21009.3,-37506.0,,-16915.0,-33822.6,12843.6,-36115.0,-35462.0,-21264.7,,-28327.5,-32324.5,-14911.5,-21888.0,True,,False,False,,False,False,False,False,False,False,,False,False,False,False
Texas,184529,151575.0,240346.0,,93037.6,66739.0,,160026.0,91747.8,165201.9,69604.3,93079.1,96515.9,,42491.1,115957.3,147620.9,138440.0,-32954.0,55817.0,,-91491.4,-117790.0,,-24503.0,-92781.2,-19327.1,-114924.7,-91449.9,-88013.1,,-142038.0,-68571.7,-36908.1,-46089.0,False,,False,False,,True,False,True,False,False,False,,False,False,False,False
Utah,40265,28025.0,57814.0,,24973.7,7068.0,,19727.0,26853.6,24336.6,7477.5,33738.7,23739.2,,25804.6,15265.2,68346.8,29203.0,-12240.0,17549.0,,-15291.3,-33197.0,,-20538.0,-13411.4,-15928.4,-32787.5,-6526.3,-16525.8,,-14460.4,-24999.8,28081.8,-11062.0,False,,False,False,,False,False,False,False,True,False,,False,False,False,True
Vermont,333,165.0,370.0,,297.8,69.0,,173.0,87.6,1032.8,627.5,180.6,46.9,,159.3,240.9,120.2,131.0,-168.0,37.0,,-35.2,-264.0,,-160.0,-245.4,699.8,294.5,-152.4,-286.1,,-173.7,-92.1,-212.8,-202.0,True,,True,False,,True,False,False,False,True,False,,False,True,False,False
Virginia,32717,33390.0,41791.0,,31351.5,4915.0,,22049.0,33877.5,49996.3,26210.2,31246.6,21309.1,,21550.5,24536.1,27759.4,849.0,673.0,9074.0,,-1365.5,-27802.0,,-10668.0,1160.5,17279.3,-6506.8,-1470.4,-11407.9,,-11166.5,-8180.9,-4957.6,-31868.0,False,,False,False,,False,False,False,False,False,False,,False,False,False,False
Washington,20065,13615.0,24811.0,,10052.5,24517.0,,7598.0,12827.3,12459.4,13668.5,8369.1,9123.7,,6947.8,11139.1,15849.3,11938.0,-6450.0,4746.0,,-10012.5,4452.0,,-12467.0,-7237.7,-7605.6,-6396.5,-11695.9,-10941.3,,-13117.2,-8925.9,-4215.7,-8127.0,True,,False,True,,False,False,False,True,False,False,,False,False,True,False
West Virginia,7827,6805.0,8531.0,,7578.5,5666.0,,4566.0,8862.3,12364.3,7228.6,6383.5,5268.7,,3673.0,3610.0,8223.1,6888.0,-1022.0,704.0,,-248.5,-2161.0,,-3261.0,1035.3,4537.3,-598.4,-1443.5,-2558.3,,-4154.0,-4217.0,396.1,-939.0,True,,True,False,,False,False,False,True,False,False,,False,False,True,True
Wisconsin,105577,48380.0,92133.0,,52914.5,29761.0,,36391.0,53860.7,75330.3,24963.1,52678.6,99874.0,,53805.7,33464.0,189658.3,78565.0,-57197.0,-13444.0,,-52662.5,-75816.0,,-69186.0,-51716.3,-30246.7,-80613.9,-52898.4,-5703.0,,-51771.3,-72113.0,84081.3,-27012.0,True,,True,False,,False,True,True,False,True,True,,True,False,False,True
Wyoming,6024,2420.0,2556.0,,2078.9,583.0,,2612.0,1853.9,9258.2,1486.6,1268.9,2138.6,,2055.8,1471.7,6378.6,3220.0,-3604.0,-3468.0,,-3945.1,-5441.0,,-3412.0,-4170.1,3234.2,-4537.4,-4755.1,-3885.4,,-3968.2,-4552.3,354.6,-2804.0,True,,False,False,,True,False,True,False,False,False,,False,False,True,True
US,1814052,1399235.0,1994384.0,1190783.0,778774.6,661522.0,1400735.0,1216209.0,1255790.2,1543188.6,957462.5,1163578.7,897265.6,1499389.0,747455.1,1067251.4,1622407.3,1255126.0,-414817.0,180332.0,-623269.0,-1035277.4,-1152530.0,-413317.0,-597843.0,-558261.8,-270863.4,-856589.5,-650473.3,-916786.4,-314663.0,-1066596.9,-746800.6,-191644.7,-558926.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False
