,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01029,296,224.0,,,,,106.0,,106.5,,14.2,211.6,,,-72.0,,,,,-190.0,,-189.5,,-281.8,-84.4,,,,,,,False,,False,,False,False,,
01031,641,154.0,,,,,655.0,,29.8,,34.1,184.7,,,-487.0,,,,,14.0,,-611.2,,-606.9,-456.3,,,,,,,True,,False,,False,True,,
01033,521,392.0,,,,,716.0,,117.5,,15.7,324.8,,,-129.0,,,,,195.0,,-403.5,,-505.3,-196.2,,,,,,,False,,False,,False,False,,
01035,69,0.0,,,,,104.0,,82.4,0.0,25.0,12.9,,,-69.0,,,,,35.0,,13.4,-69.0,-44.0,-56.1,,,,,,,True,,True,True,True,True,,
01037,62,0.0,,,,,72.0,,0.0,16.2,11.9,22.6,,,-62.0,,,,,10.0,,-62.0,-45.8,-50.1,-39.4,,,,,,,True,,True,True,True,True,,
01039,579,42.0,,,,,460.0,,39.7,67.9,17.6,59.0,,,-537.0,,,,,-119.0,,-539.3,-511.1,-561.5,-520.0,,,,,,,True,,False,True,False,True,,
01041,122,77.0,,,,,209.0,,2.2,0.0,1.9,230.8,,,-45.0,,,,,87.0,,-119.8,-122.0,-120.1,108.8,,,,,,,False,,False,False,False,False,,
01043,815,210.0,,,,,997.0,,6.8,183.4,65.2,247.2,,,-605.0,,,,,182.0,,-808.2,-631.6,-749.8,-567.8,,,,,,,True,,False,False,False,True,,
01045,611,154.0,,,,,515.0,,11.1,197.9,70.7,145.1,,,-457.0,,,,,-96.0,,-599.9,-413.1,-540.3,-465.9,,,,,,,True,,False,True,False,False,,
01047,212,189.0,,,,,442.0,,15.5,1.5,83.0,127.6,,,-23.0,,,,,230.0,,-196.5,-210.5,-129.0,-84.4,,,,,,,False,,False,False,False,False,,
01049,1203,420.0,,,,,676.0,,152.1,112.2,145.1,452.8,,,-783.0,,,,,-527.0,,-1050.9,-1090.8,-1057.9,-750.2,,,,,,,True,,False,False,False,True,,
01051,915,721.0,,,,,721.0,,260.6,186.8,359.1,652.2,,,-194.0,,,,,-194.0,,-654.4,-728.2,-555.9,-262.8,,,,,,,False,,False,False,False,False,,
01053,284,252.0,,,,,527.0,,6.8,0.7,104.1,137.1,,,-32.0,,,,,243.0,,-277.2,-283.3,-179.9,-146.9,,,,,,,False,,False,False,False,False,,
01055,1250,721.0,,,,,961.0,,239.8,334.3,350.0,374.9,,,-529.0,,,,,-289.0,,-1010.2,-915.7,-900.0,-875.1,,,,,,,True,,False,False,False,False,,
01057,215,189.0,,,,,166.0,,125.1,89.8,95.9,195.5,,,-26.0,,,,,-49.0,,-89.9,-125.2,-119.1,-19.5,,,,,,,False,,False,False,False,True,,
01059,446,448.0,,,,,611.0,,146.9,322.0,74.1,322.6,,,2.0,,,,,165.0,,-299.1,-124.0,-371.9,-123.4,,,,,,,False,,False,False,False,False,,
01061,433,140.0,,,,,287.0,,14.3,159.0,79.5,102.9,,,-293.0,,,,,-146.0,,-418.7,-274.0,-353.5,-330.1,,,,,,,True,,False,True,False,False,,
01063,46,56.0,,,,,41.0,,3.3,0.2,93.2,31.5,,,10.0,,,,,-5.0,,-42.7,-45.8,47.2,-14.5,,,,,,,True,,False,False,False,False,,
01065,191,63.0,,,,,139.0,,2.9,1.5,15.8,109.1,,,-128.0,,,,,-52.0,,-188.1,-189.5,-175.2,-81.9,,,,,,,True,,False,False,False,True,,
01067,307,175.0,,,,,132.0,,17.9,58.3,80.0,177.8,,,-132.0,,,,,-175.0,,-289.1,-248.7,-227.0,-129.2,,,,,,,False,,False,False,False,True,,
01069,1922,700.0,,,,,993.0,,187.7,414.7,198.7,497.9,,,-1222.0,,,,,-929.0,,-1734.3,-1507.3,-1723.3,-1424.1,,,,,,,True,,False,False,False,False,,
01071,792,385.0,,,,,449.0,,141.4,189.7,49.7,281.3,,,-407.0,,,,,-343.0,,-650.6,-602.3,-742.3,-510.7,,,,,,,True,,False,False,False,False,,
01073,6127,6265.0,,,,,5064.0,,3466.1,825.9,1952.3,3822.8,,,138.0,,,,,-1063.0,,-2660.9,-5301.1,-4174.7,-2304.2,,,,,,,False,,False,False,False,False,,
01075,193,84.0,,,,,172.0,,9.9,44.3,18.5,36.0,,,-109.0,,,,,-21.0,,-183.1,-148.7,-174.5,-157.0,,,,,,,True,,False,False,False,False,,
01077,796,483.0,,,,,1172.0,,215.8,216.8,100.8,263.9,,,-313.0,,,,,376.0,,-580.2,-579.2,-695.2,-532.1,,,,,,,False,,False,False,False,False,,
01079,322,413.0,,,,,353.0,,177.2,118.4,26.2,317.9,,,91.0,,,,,31.0,,-144.8,-203.6,-295.8,-4.1,,,,,,,True,,False,False,False,True,,
01081,1466,1862.0,,,,,2073.0,,628.2,614.9,412.8,1159.0,,,396.0,,,,,607.0,,-837.8,-851.1,-1053.2,-307.0,,,,,,,False,,False,False,False,True,,
01083,1112,560.0,,,,,983.0,,170.4,265.8,266.3,335.6,,,-552.0,,,,,-129.0,,-941.6,-846.2,-845.7,-776.4,,,,,,,True,,False,False,False,False,,
01085,88,28.0,,,,,98.0,,1.3,0.5,8.4,20.9,,,-60.0,,,,,10.0,,-86.7,-87.5,-79.6,-67.1,,,,,,,True,,False,False,False,False,,
01087,84,133.0,,,,,73.0,,9.0,0.0,40.0,103.4,,,49.0,,,,,-11.0,,-75.0,-84.0,-44.0,19.4,,,,,,,True,,False,False,True,True,,
01089,2661,2674.0,,,,,2584.0,,1812.9,419.7,615.7,1236.8,,,13.0,,,,,-77.0,,-848.1,-2241.3,-2045.3,-1424.2,,,,,,,False,,False,False,False,False,,
01091,358,140.0,,,,,243.0,,20.5,0.5,35.3,125.1,,,-218.0,,,,,-115.0,,-337.5,-357.5,-322.7,-232.9,,,,,,,True,,False,False,False,False,,
01093,277,147.0,,,,,343.0,,38.5,79.2,53.9,64.9,,,-130.0,,,,,66.0,,-238.5,-197.8,-223.1,-212.1,,,,,,,True,,False,False,False,False,,
01095,767,147.0,,,,,1076.0,,27.0,38.8,64.0,402.9,,,-620.0,,,,,309.0,,-740.0,-728.2,-703.0,-364.1,,,,,,,True,,False,False,False,True,,
01097,4410,2296.0,,,,,2779.0,,1064.0,955.1,232.6,4532.7,,,-2114.0,,,,,-1631.0,,-3346.0,-3454.9,-4177.4,122.7,,,,,,,True,,False,False,False,True,,
01099,94,0.0,,,,,204.0,,0.0,25.8,2.4,10.3,,,-94.0,,,,,110.0,,-94.0,-68.2,-91.6,-83.7,,,,,,,False,,True,True,True,True,,
01101,2166,1687.0,,,,,1895.0,,423.5,208.3,394.6,1624.9,,,-479.0,,,,,-271.0,,-1742.5,-1957.7,-1771.4,-541.1,,,,,,,True,,False,False,False,False,,
01103,1178,658.0,,,,,1167.0,,141.3,184.8,239.5,308.9,,,-520.0,,,,,-11.0,,-1036.7,-993.2,-938.5,-869.1,,,,,,,True,,False,False,False,False,,
01105,68,21.0,,,,,58.0,,4.5,0.0,5.5,25.3,,,-47.0,,,,,-10.0,,-63.5,-68.0,-62.5,-42.7,,,,,,,True,,False,False,False,True,,
01107,275,105.0,,,,,224.0,,32.1,1.7,6.3,79.3,,,-170.0,,,,,-51.0,,-242.9,-273.3,-268.7,-195.7,,,,,,,True,,False,False,False,False,,
01109,300,203.0,,,,,645.0,,19.6,0.2,101.7,175.0,,,-97.0,,,,,345.0,,-280.4,-299.8,-198.3,-125.0,,,,,,,False,,False,False,False,False,,
01111,287,217.0,,,,,208.0,,30.8,38.6,58.5,128.9,,,-70.0,,,,,-79.0,,-256.2,-248.4,-228.5,-158.1,,,,,,,False,,False,False,False,False,,
01113,307,203.0,,,,,582.0,,12.2,88.3,59.2,257.8,,,-104.0,,,,,275.0,,-294.8,-218.7,-247.8,-49.2,,,,,,,False,,False,False,False,True,,
01115,1006,539.0,,,,,651.0,,145.8,195.7,63.8,274.7,,,-467.0,,,,,-355.0,,-860.2,-810.3,-942.2,-731.3,,,,,,,True,,False,False,False,False,,
01117,2535,2359.0,,,,,1595.0,,794.8,1042.7,305.4,1150.0,,,-176.0,,,,,-940.0,,-1740.2,-1492.3,-2229.6,-1385.0,,,,,,,False,,False,False,False,False,,
01119,57,56.0,,,,,90.0,,2.1,0.2,9.7,47.3,,,-1.0,,,,,33.0,,-54.9,-56.8,-47.3,-9.7,,,,,,,False,,False,False,False,False,,
01121,823,98.0,,,,,650.0,,48.5,256.2,45.4,168.4,,,-725.0,,,,,-173.0,,-774.5,-566.8,-777.6,-654.6,,,,,,,True,,False,True,False,True,,
01123,254,133.0,,,,,380.0,,34.3,35.0,19.6,111.8,,,-121.0,,,,,126.0,,-219.7,-219.0,-234.4,-142.2,,,,,,,False,,False,False,False,False,,
01125,4084,1414.0,,,,,2922.0,,589.5,744.6,886.9,937.6,,,-2670.0,,,,,-1162.0,,-3494.5,-3339.4,-3197.1,-3146.4,,,,,,,True,,False,False,False,False,,
01127,774,700.0,,,,,723.0,,232.4,80.6,357.5,269.7,,,-74.0,,,,,-51.0,,-541.6,-693.4,-416.5,-504.3,,,,,,,True,,False,False,False,False,,
01129,220,28.0,,,,,169.0,,86.7,0.0,6.0,41.4,,,-192.0,,,,,-51.0,,-133.3,-220.0,-214.0,-178.6,,,,,,,True,,True,False,False,True,,
01131,49,0.0,,,,,79.0,,174.6,0.3,3.2,24.8,,,-49.0,,,,,30.0,,125.6,-48.7,-45.8,-24.2,,,,,,,True,,False,True,True,True,,
01133,324,175.0,,,,,284.0,,42.0,96.0,133.2,128.1,,,-149.0,,,,,-40.0,,-282.0,-228.0,-190.8,-195.9,,,,,,,True,,False,False,False,False,,
02013,6,0.0,,,,,,,,,0.0,0.4,,,-6.0,,,,,,,,,-6.0,-5.6,,,,,,,,,,,False,True,,
02016,3,0.0,,,,,,,,,0.4,0.3,,,-3.0,,,,,,,,,-2.6,-2.7,,,,,,,,,,,True,True,,
02020,3670,1974.0,,,,,,,1248.8,1274.5,888.9,917.4,,,-1696.0,,,,,,,-2421.2,-2395.5,-2781.1,-2752.6,,,,,,,,,False,False,False,False,,
02050,308,14.0,,,,,,,11.4,,32.1,24.6,,,-294.0,,,,,,,-296.6,,-275.9,-283.4,,,,,,,,,False,,True,True,,
02060,0,0.0,,,,,,,0.3,,7.7,,,,0.0,,,,,,,0.3,,7.7,,,,,,,,,,False,,False,,,
02068,19,7.0,,,,,,,,,0.1,,,,-12.0,,,,,,,,,-18.9,,,,,,,,,,,,False,,,
02070,19,0.0,,,,,,,0.1,,0.6,0.6,,,-19.0,,,,,,,-18.9,,-18.4,-18.4,,,,,,,,,True,,True,True,,
02090,1177,770.0,,,,,,,1089.3,564.3,1514.1,371.7,,,-407.0,,,,,,,-87.7,-612.7,337.1,-805.3,,,,,,,,,True,False,True,False,,
02100,4,0.0,,,,,,,,,0.0,1.6,,,-4.0,,,,,,,,,-4.0,-2.4,,,,,,,,,,,True,True,,
02105,0,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,True,,,
02110,211,105.0,,,,,,,30.6,114.5,43.4,77.9,,,-106.0,,,,,,,-180.4,-96.5,-167.6,-133.1,,,,,,,,,False,True,False,False,,
02122,237,84.0,,,,,,,9.4,233.5,12.3,79.5,,,-153.0,,,,,,,-227.6,-3.5,-224.7,-157.5,,,,,,,,,False,True,False,False,,
02130,14,21.0,,,,,,,1.4,,0.7,26.2,,,7.0,,,,,,,-12.6,,-13.3,12.2,,,,,,,,,False,,False,False,,
02150,33,21.0,,,,,,,1.3,,11.4,,,,-12.0,,,,,,,-31.7,,-21.6,,,,,,,,,,False,,False,,,
02158,157,0.0,,,,,,,,,0.0,0.6,,,-157.0,,,,,,,,,-157.0,-156.4,,,,,,,,,,,True,True,,
02164,26,0.0,,,,,,,,,0.0,,,,-26.0,,,,,,,,,-26.0,,,,,,,,,,,,False,,,
02170,491,238.0,,,,,,,151.3,690.0,98.6,122.5,,,-253.0,,,,,,,-339.7,199.0,-392.4,-368.5,,,,,,,,,False,True,False,False,,
02180,78,56.0,,,,,,,2.1,,6.5,,,,-22.0,,,,,,,-75.9,,-71.5,,,,,,,,,,False,,False,,,
02185,186,84.0,,,,,,,4.4,,49.9,,,,-102.0,,,,,,,-181.6,,-136.1,,,,,,,,,,False,,False,,,
02188,153,35.0,,,,,,,2.7,,0.4,,,,-118.0,,,,,,,-150.3,,-152.6,,,,,,,,,,False,,False,,,
02195,4,0.0,,,,,,,0.1,,0.0,0.5,,,-4.0,,,,,,,-3.9,,-4.0,-3.5,,,,,,,,,True,,False,True,,
02198,6,28.0,,,,,,,0.9,,2.4,,,,22.0,,,,,,,-5.1,,-3.6,,,,,,,,,,True,,True,,,
02220,18,0.0,,,,,,,1.1,,2.7,4.2,,,-18.0,,,,,,,-16.9,,-15.3,-13.8,,,,,,,,,True,,True,True,,
02230,6,0.0,,,,,,,,,0.0,,,,-6.0,,,,,,,,,-6.0,,,,,,,,,,,,False,,,
02240,32,7.0,,,,,,,0.3,,1.3,,,,-25.0,,,,,,,-31.7,,-30.7,,,,,,,,,,False,,False,,,
02261,33,14.0,,,,,,,2.5,,0.5,,,,-19.0,,,,,,,-30.5,,-32.5,,,,,,,,,,False,,False,,,
02275,1,7.0,,,,,,,,,1.6,,,,6.0,,,,,,,,,0.6,,,,,,,,,,,,True,,,
02282,11,14.0,,,,,,,,,9.0,,,,3.0,,,,,,,,,-2.0,,,,,,,,,,,,True,,,
02290,33,7.0,,,,,,,4.3,,0.5,,,,-26.0,,,,,,,-28.7,,-32.5,,,,,,,,,,False,,False,,,
04001,515,133.0,,,,,275.0,,45.6,5.1,33.5,255.2,,,-382.0,,,,,-240.0,,-469.4,-509.9,-481.5,-259.8,,,,,,,True,,False,False,False,True,,
04003,267,189.0,,,,,324.0,,20.8,184.0,41.4,158.6,,,-78.0,,,,,57.0,,-246.2,-83.0,-225.6,-108.4,,,,,,,True,,False,False,False,False,,
04005,1626,567.0,,,,,731.0,,269.5,99.9,10.2,315.4,,,-1059.0,,,,,-895.0,,-1356.5,-1526.1,-1615.8,-1310.6,,,,,,,True,,False,False,False,False,,
04007,716,168.0,,,,,70.0,,51.9,26.9,46.2,89.3,,,-548.0,,,,,-646.0,,-664.1,-689.1,-669.8,-626.7,,,,,,,False,,False,False,False,False,,
04009,355,294.0,,,,,130.0,,187.8,0.0,148.4,431.3,,,-61.0,,,,,-225.0,,-167.2,-355.0,-206.6,76.3,,,,,,,False,,False,False,False,False,,
04011,47,0.0,,,,,14.0,,1.0,,9.1,2.8,,,-47.0,,,,,-33.0,,-46.0,,-37.9,-44.2,,,,,,,True,,True,,True,True,,
04012,98,133.0,,,,,77.0,,4.1,0.0,3.5,60.4,,,35.0,,,,,-21.0,,-93.9,-98.0,-94.5,-37.6,,,,,,,True,,False,False,False,False,,
04013,17321,17269.0,,,,,11592.0,,11057.0,1765.6,410.2,10204.6,,,-52.0,,,,,-5729.0,,-6264.0,-15555.4,-16910.8,-7116.4,,,,,,,False,,False,False,False,False,,
04015,529,1050.0,,,,,1025.0,,436.8,239.4,261.9,620.1,,,521.0,,,,,496.0,,-92.2,-289.6,-267.1,91.1,,,,,,,True,,True,True,True,True,,
04017,663,406.0,,,,,302.0,,163.3,15.4,33.6,354.4,,,-257.0,,,,,-361.0,,-499.7,-647.6,-629.4,-308.6,,,,,,,False,,False,False,False,False,,
04019,5583,4907.0,,,,,2709.0,,2901.8,1951.4,2082.1,2760.5,,,-676.0,,,,,-2874.0,,-2681.2,-3631.6,-3500.9,-2822.5,,,,,,,False,,False,False,False,False,,
04021,1750,2975.0,,,,,1115.0,,2263.4,393.2,479.5,2027.2,,,1225.0,,,,,-635.0,,513.4,-1356.8,-1270.5,277.2,,,,,,,True,,True,False,False,True,,
04023,206,357.0,,,,,186.0,,56.1,2.5,27.7,191.7,,,151.0,,,,,-20.0,,-149.9,-203.5,-178.3,-14.3,,,,,,,True,,True,False,False,True,,
04025,520,469.0,,,,,750.0,,194.8,422.4,128.0,409.2,,,-51.0,,,,,230.0,,-325.2,-97.6,-392.0,-110.8,,,,,,,False,,False,False,False,False,,
04027,1190,686.0,,,,,4391.0,,105.9,16.1,130.1,2560.1,,,-504.0,,,,,3201.0,,-1084.1,-1173.9,-1060.0,1370.1,,,,,,,False,,False,False,False,False,,
05001,361,119.0,,,,,178.0,,31.5,27.3,9.6,72.7,,,-242.0,,,,,-183.0,,-329.5,-333.7,-351.4,-288.3,,,,,,,True,,False,False,False,False,,
05003,142,7.0,,,,,114.0,,1.9,0.1,2.4,127.4,,,-135.0,,,,,-28.0,,-140.1,-141.9,-139.6,-14.6,,,,,,,True,,False,False,False,True,,
05005,496,105.0,,,,,225.0,,12.6,219.5,25.8,159.4,,,-391.0,,,,,-271.0,,-483.4,-276.5,-470.2,-336.6,,,,,,,True,,False,True,False,True,,
05007,2434,2002.0,,,,,2785.0,,710.8,254.5,936.9,1483.9,,,-432.0,,,,,351.0,,-1723.2,-2179.5,-1497.1,-950.1,,,,,,,True,,False,False,False,False,,
05009,627,539.0,,,,,453.0,,169.1,296.3,98.9,334.3,,,-88.0,,,,,-174.0,,-457.9,-330.7,-528.1,-292.7,,,,,,,False,,False,False,False,False,,
05011,66,98.0,,,,,77.0,,36.2,0.0,98.4,154.0,,,32.0,,,,,11.0,,-29.8,-66.0,32.4,88.0,,,,,,,True,,True,False,False,False,,
05013,25,0.0,,,,,7.0,,,,18.1,,,,-25.0,,,,,-18.0,,,,-6.9,,,,,,,,True,,,,True,,,
05015,498,189.0,,,,,335.0,,109.0,0.1,103.5,91.5,,,-309.0,,,,,-163.0,,-389.0,-497.9,-394.5,-406.5,,,,,,,True,,False,False,False,False,,
05017,80,77.0,,,,,109.0,,3.1,0.9,25.6,316.4,,,-3.0,,,,,29.0,,-76.9,-79.1,-54.4,236.4,,,,,,,False,,False,False,False,False,,
05019,240,203.0,,,,,165.0,,63.3,81.9,175.1,158.6,,,-37.0,,,,,-75.0,,-176.7,-158.1,-64.9,-81.4,,,,,,,False,,False,False,False,False,,
05021,268,196.0,,,,,157.0,,186.5,75.6,109.8,148.4,,,-72.0,,,,,-111.0,,-81.5,-192.4,-158.2,-119.6,,,,,,,False,,False,False,False,False,,
05023,191,56.0,,,,,245.0,,19.2,79.4,1.3,27.7,,,-135.0,,,,,54.0,,-171.8,-111.6,-189.7,-163.3,,,,,,,True,,False,True,False,False,,
05025,85,42.0,,,,,28.0,,4.2,9.6,5.6,60.7,,,-43.0,,,,,-57.0,,-80.8,-75.4,-79.4,-24.3,,,,,,,False,,False,False,False,True,,
05027,372,168.0,,,,,134.0,,70.6,0.0,85.1,110.8,,,-204.0,,,,,-238.0,,-301.4,-372.0,-286.9,-261.2,,,,,,,False,,False,False,False,False,,
05029,125,105.0,,,,,340.0,,24.8,105.9,55.5,61.3,,,-20.0,,,,,215.0,,-100.2,-19.1,-69.5,-63.7,,,,,,,False,,False,True,False,False,,
05031,2350,1351.0,,,,,1747.0,,564.2,551.3,1003.0,683.8,,,-999.0,,,,,-603.0,,-1785.8,-1798.7,-1347.0,-1666.2,,,,,,,True,,False,False,False,False,,
05033,1025,427.0,,,,,833.0,,208.1,404.4,241.8,282.9,,,-598.0,,,,,-192.0,,-816.9,-620.6,-783.2,-742.1,,,,,,,True,,False,False,False,False,,
05035,633,476.0,,,,,603.0,,179.6,8.2,153.1,572.2,,,-157.0,,,,,-30.0,,-453.4,-624.8,-479.9,-60.8,,,,,,,True,,False,False,False,True,,
05037,266,259.0,,,,,223.0,,44.7,71.6,49.7,213.3,,,-7.0,,,,,-43.0,,-221.3,-194.4,-216.3,-52.7,,,,,,,False,,False,False,False,False,,
05039,48,140.0,,,,,28.0,,14.2,0.1,58.1,59.8,,,92.0,,,,,-20.0,,-33.8,-47.9,10.1,11.8,,,,,,,True,,True,True,True,True,,
05041,146,105.0,,,,,90.0,,17.2,0.0,45.0,56.8,,,-41.0,,,,,-56.0,,-128.8,-146.0,-101.0,-89.2,,,,,,,False,,False,False,False,False,,
05043,117,49.0,,,,,168.0,,43.2,0.0,3.0,82.2,,,-68.0,,,,,51.0,,-73.8,-117.0,-114.0,-34.8,,,,,,,True,,False,False,False,True,,
05045,1526,847.0,,,,,1349.0,,549.4,447.2,412.3,366.7,,,-679.0,,,,,-177.0,,-976.6,-1078.8,-1113.7,-1159.3,,,,,,,True,,False,False,False,False,,
05047,335,154.0,,,,,238.0,,128.0,73.0,16.1,80.6,,,-181.0,,,,,-97.0,,-207.0,-262.0,-318.9,-254.4,,,,,,,True,,False,False,False,False,,
05049,228,119.0,,,,,60.0,,9.8,,47.8,181.9,,,-109.0,,,,,-168.0,,-218.2,,-180.2,-46.1,,,,,,,False,,False,,False,True,,
05051,927,707.0,,,,,893.0,,544.6,465.7,386.2,393.0,,,-220.0,,,,,-34.0,,-382.4,-461.3,-540.8,-534.0,,,,,,,True,,False,False,False,False,,
05053,155,133.0,,,,,88.0,,38.6,116.8,30.4,59.2,,,-22.0,,,,,-67.0,,-116.4,-38.2,-124.6,-95.8,,,,,,,False,,False,False,False,False,,
05055,763,245.0,,,,,517.0,,154.4,206.3,113.7,253.5,,,-518.0,,,,,-246.0,,-608.6,-556.7,-649.3,-509.5,,,,,,,True,,False,False,False,True,,
05057,205,42.0,,,,,105.0,,3.1,0.3,23.5,159.9,,,-163.0,,,,,-100.0,,-201.9,-204.7,-181.5,-45.1,,,,,,,True,,False,False,False,True,,
05059,448,196.0,,,,,278.0,,108.7,7.7,242.5,58.8,,,-252.0,,,,,-170.0,,-339.3,-440.3,-205.5,-389.2,,,,,,,True,,False,False,True,False,,
05061,134,98.0,,,,,80.0,,14.5,0.7,61.5,70.2,,,-36.0,,,,,-54.0,,-119.5,-133.3,-72.5,-63.8,,,,,,,False,,False,False,False,False,,
05063,640,357.0,,,,,543.0,,126.6,194.8,54.9,610.2,,,-283.0,,,,,-97.0,,-513.4,-445.2,-585.1,-29.8,,,,,,,True,,False,False,False,True,,
05065,444,77.0,,,,,120.0,,7.7,35.5,22.9,97.3,,,-367.0,,,,,-324.0,,-436.3,-408.5,-421.1,-346.7,,,,,,,True,,False,False,False,True,,
05067,498,84.0,,,,,249.0,,42.3,0.5,7.8,117.7,,,-414.0,,,,,-249.0,,-455.7,-497.5,-490.2,-380.3,,,,,,,True,,False,False,False,True,,
05069,1880,1113.0,,,,,623.0,,1205.0,10.6,879.5,952.9,,,-767.0,,,,,-1257.0,,-675.0,-1869.4,-1000.5,-927.1,,,,,,,False,,True,False,False,False,,
05071,227,168.0,,,,,493.0,,36.8,3.3,52.1,91.4,,,-59.0,,,,,266.0,,-190.2,-223.7,-174.9,-135.6,,,,,,,False,,False,False,False,False,,
05073,93,56.0,,,,,14.0,,8.1,,6.7,38.8,,,-37.0,,,,,-79.0,,-84.9,,-86.3,-54.2,,,,,,,False,,False,,False,False,,
05075,532,105.0,,,,,158.0,,22.1,66.3,40.3,97.6,,,-427.0,,,,,-374.0,,-509.9,-465.7,-491.7,-434.4,,,,,,,True,,False,False,False,False,,
05077,97,63.0,,,,,88.0,,10.7,1.7,25.8,87.3,,,-34.0,,,,,-9.0,,-86.3,-95.3,-71.2,-9.7,,,,,,,True,,False,False,False,True,,
