,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt
Idaho,49620,70315.0,,68459.4,,68305.0,101490.5,43669.2,,60655.1,38441.0,10105.1,20695.0,,18839.4,,18685.0,51870.5,-5950.8,,11035.1,-11179.0,-39514.9,,True,,True,False,True,,True,True,False
Illinois,318552,469273.0,,384480.2,,404759.0,501330.8,203991.0,,680662.0,213153.0,,150721.0,,65928.2,,86207.0,182778.8,-114561.0,,362110.0,-105399.0,,,True,,True,False,True,,False,True,
Indiana,233500,322077.0,,307915.8,,303271.0,558548.1,187800.7,,471247.8,209694.0,46025.9,88577.0,,74415.8,,69771.0,325048.1,-45699.3,,237747.8,-23806.0,-187474.1,,True,,True,False,True,,False,True,False
Iowa,69237,113442.0,,98385.6,,115808.0,121469.6,32194.1,,107767.5,37080.0,7002.3,44205.0,,29148.6,,46571.0,52232.6,-37042.9,,38530.5,-32157.0,-62234.7,,True,,False,False,True,,True,True,False
Kansas,97963,111041.0,,122902.7,,96917.0,193133.8,65736.8,,113311.7,32489.0,19978.1,13078.0,,24939.7,,-1046.0,95170.8,-32226.2,,15348.7,-65474.0,-77984.9,,False,,True,False,False,,False,False,False
Kentucky,146503,167174.0,,172350.9,,141973.0,311160.3,170015.3,,197826.7,112794.0,34303.2,20671.0,,25847.9,,-4530.0,164657.3,23512.3,,51323.7,-33709.0,-112199.8,,False,,True,False,False,,False,False,False
Louisiana,133078,116025.0,,124917.6,,133183.0,221030.4,314687.2,,91950.4,68628.0,23759.4,-17053.0,,-8160.4,,105.0,87952.4,181609.2,,-41127.6,-64450.0,-109318.6,,True,,True,False,False,,False,False,False
Maine,23471,12873.0,,10258.8,,15605.0,15726.8,12952.1,,21512.6,8147.0,1937.3,-10598.0,,-13212.2,,-7866.0,-7744.2,-10518.9,,-1958.4,-15324.0,-21533.7,,False,,True,True,True,,True,False,False
Maryland,126923,125552.0,,124565.8,,106313.0,200265.1,108980.6,,186470.7,75462.0,42546.2,-1371.0,,-2357.2,,-20610.0,73342.1,-17942.4,,59547.7,-51461.0,-84376.8,,False,,False,False,False,,False,False,False
Massachusetts,244076,206836.0,,201145.5,,206682.0,267075.3,226823.0,,244716.9,181993.0,25573.9,-37240.0,,-42930.5,,-37394.0,22999.3,-17253.0,,640.9,-62083.0,-218502.1,,False,,False,True,True,,True,False,False
Michigan,170170,338968.0,,366120.4,,364067.0,538407.0,246010.3,,386119.3,136370.0,55599.6,168798.0,,195950.4,,193897.0,368237.0,75840.3,,215949.3,-33800.0,-114570.4,,False,,False,False,True,,False,True,True
Minnesota,108527,288806.0,,278488.6,,315780.0,440258.9,139455.8,,322878.6,150087.0,54961.1,180279.0,,169961.6,,207253.0,331731.9,30928.8,,214351.6,41560.0,-53565.9,,True,,False,False,True,,False,True,True
Mississippi,99565,94626.0,,78914.7,,93437.0,141882.5,128038.2,,63923.7,76762.0,17901.2,-4939.0,,-20650.3,,-6128.0,42317.5,28473.2,,-35641.3,-22803.0,-81663.8,,False,,False,False,False,,False,False,False
Missouri,172107,185451.0,,187098.6,,177270.0,284389.7,66499.3,,197659.6,97224.0,,13344.0,,14991.6,,5163.0,112282.7,-105607.7,,25552.6,-74883.0,,,False,,True,False,False,,False,False,
Montana,24341,43568.0,,38628.8,,47807.0,76822.0,22915.3,,24048.7,18674.0,7227.4,19227.0,,14287.8,,23466.0,52481.0,-1425.7,,-292.3,-5667.0,-17113.6,,True,,False,False,True,,True,True,True
Nebraska,48286,92715.0,,89047.3,,95149.0,88144.7,42547.0,,72121.1,51658.0,10559.4,44429.0,,40761.3,,46863.0,39858.7,-5739.0,,23835.1,3372.0,-37726.6,,True,,False,True,True,,True,True,True
Nevada,104085,114793.0,,127178.3,,105620.0,218016.2,142772.7,,113400.1,61661.0,45554.8,10708.0,,23093.3,,1535.0,113931.2,38687.7,,9315.1,-42424.0,-58530.2,,False,,True,False,False,,True,False,False
New Hampshire,36628,29449.0,,31263.1,,36183.0,53227.2,51057.7,,38033.7,20592.0,10271.3,-7179.0,,-5364.9,,-445.0,16599.2,14429.7,,1405.7,-16036.0,-26356.7,,True,,True,False,False,,True,False,False
New Jersey,261017,227031.0,,226479.4,,199207.0,367195.9,209068.9,,550998.0,138441.0,53480.1,-33986.0,,-34537.6,,-61810.0,106178.9,-51948.1,,289981.0,-122576.0,-207536.9,,False,,False,False,False,,False,False,False
New Mexico,61723,90118.0,,86821.8,,82780.0,191540.1,70034.4,,88922.2,37662.0,54244.6,28395.0,,25098.8,,21057.0,129817.1,8311.4,,27199.2,-24061.0,-7478.4,,True,,True,False,True,,True,True,True
New York,618629,431809.0,,918698.5,,365494.0,652271.1,1472004.1,,497393.7,334969.0,138744.0,-186820.0,,300069.5,,-253135.0,33642.1,853375.1,,-121235.3,-283660.0,-479885.0,,False,,False,True,False,,True,False,False
North Carolina,324164,214158.0,,219486.5,,249368.0,384779.7,218843.6,,160032.7,182670.0,56171.5,-110006.0,,-104677.5,,-74796.0,60615.7,-105320.4,,-164131.3,-141494.0,-267992.5,,True,,True,True,True,,False,False,False
North Dakota,14216,31983.0,,32927.8,,34985.0,42388.8,8067.2,,9747.7,10977.0,3877.1,17767.0,,18711.8,,20769.0,28172.8,-6148.8,,-4468.3,-3239.0,-10338.9,,False,,False,False,True,,True,True,True
Ohio,392409,425103.0,,484666.2,,451630.0,765987.0,396719.3,,483145.4,225250.0,120104.4,32694.0,,92257.2,,59221.0,373578.0,4310.3,,90736.4,-167159.0,-272304.6,,False,,False,False,True,,False,False,False
Oklahoma,156904,135947.0,,156501.8,,170248.0,201973.4,97046.4,,151880.0,85201.0,37794.4,-20957.0,,-402.2,,13344.0,45069.4,-59857.6,,-5024.0,-71703.0,-119109.6,,True,,True,False,False,,True,False,False
Oregon,54357,75159.0,,79018.9,,70277.0,138503.3,121544.8,,113016.6,50463.0,25515.7,20802.0,,24661.9,,15920.0,84146.3,67187.8,,58659.6,-3894.0,-28841.3,,False,,True,False,False,,False,True,False
Pennsylvania,387950,417830.0,,439304.3,,402441.0,702275.8,546568.6,,402213.5,318296.0,115627.8,29880.0,,51354.3,,14491.0,314325.8,158618.6,,14263.5,-69654.0,-272322.2,,False,,True,False,False,,True,False,False
Rhode Island,47598,57281.0,,51837.5,,52204.0,89672.0,53380.4,,34616.1,28162.0,10253.6,9683.0,,4239.5,,4606.0,42074.0,5782.4,,-12981.9,-19436.0,-37344.4,,True,,True,False,True,,False,False,False
South Carolina,184554,100268.0,,88929.5,,106208.0,143511.0,71442.6,,118418.3,88634.0,16345.7,-84286.0,,-95624.5,,-78346.0,-41043.0,-113111.4,,-66135.7,-95920.0,-168208.3,,False,,True,True,False,,True,False,False
South Dakota,21659,43435.0,,38730.3,,42147.0,49983.9,17535.3,,52755.6,18088.0,3948.8,21776.0,,17071.3,,20488.0,28324.9,-4123.7,,31096.6,-3571.0,-17710.2,,True,,True,False,True,,False,True,True
Tennessee,308354,238392.0,,230239.1,,266702.0,321190.2,187315.8,,227074.2,142604.0,30041.5,-69962.0,,-78114.9,,-41652.0,12836.2,-121038.2,,-81279.8,-165750.0,-278312.5,,False,,True,True,False,,False,False,False
Texas,867584,686462.0,,591604.9,,586682.0,1076974.1,1122560.1,,711689.1,462348.0,96661.0,-181122.0,,-275979.1,,-280902.0,209390.1,254976.1,,-155894.9,-405236.0,-770923.0,,False,,False,False,False,,True,False,False
Utah,122045,145299.0,,146637.1,,144199.0,280748.7,65184.5,,113034.7,79713.0,18335.7,23254.0,,24592.1,,22154.0,158703.7,-56860.5,,-9010.3,-42332.0,-103709.3,,False,,True,False,False,,True,False,False
Vermont,6014,6027.0,,4840.8,,6123.0,11762.0,9553.9,,16013.4,4500.0,1836.0,13.0,,-1173.2,,109.0,5748.0,3539.9,,9999.4,-1514.0,-4178.0,,False,,False,False,False,,False,False,False
Virginia,217482,122892.0,,154925.3,,118460.0,255491.5,171847.7,,133241.9,84884.0,62542.1,-94590.0,,-62556.7,,-99022.0,38009.5,-45634.3,,-84240.1,-132598.0,-154939.9,,True,,False,True,True,,True,False,False
Washington,117117,106113.0,,113211.8,,82622.0,222184.7,160782.4,,226769.4,44234.0,,-11004.0,,-3905.2,,-34495.0,105067.7,43665.4,,109652.4,-72883.0,,,True,,False,False,False,,False,False,
West Virginia,61180,54089.0,,49205.0,,51215.0,89285.5,63634.1,,80530.1,39416.0,15384.3,-7091.0,,-11975.0,,-9965.0,28105.5,2454.1,,19350.1,-21764.0,-45795.7,,False,,False,False,True,,False,False,False
Wisconsin,142085,230433.0,,221707.3,,183404.0,245475.4,77512.0,,192214.3,86474.0,22433.5,88348.0,,79622.3,,41319.0,103390.4,-64573.0,,50129.3,-55611.0,-119651.5,,True,,True,False,True,,True,True,False
Wyoming,14642,27566.0,,24915.7,,27650.0,31278.4,13499.7,,24175.9,10067.0,4411.6,12924.0,,10273.7,,13008.0,16636.4,-1142.3,,9533.9,-4575.0,-10230.4,,True,,False,False,True,,True,True,True
US,10338878,9356452.0,14279549.0,12140808.1,9853220.0,8989297.0,14695549.7,10866114.7,10526654.0,10148692.7,5935360.0,,-982426.0,3940671.0,1801930.1,-485658.0,-1349581.0,4356671.7,527236.7,187776.0,-190185.3,-4403518.0,,False,False,True,False,False,True,True,True,False,
