,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,631,544.0,,548.8,,564.0,344.0,,,,,675.0,456.4,,,977.0,,443.6,,367.8,571.0,,724.0,396.6,,,710.0,696.3,,,,,336.5,,,,363.6,-87.0,,-82.2,,-67.0,-287.0,,,,,44.0,-174.6,,,346.0,,-187.4,,-263.2,-60.0,,93.0,-234.4,,,79.0,65.3,,,,,-294.5,,,,-267.4,,True,,True,False,,,,,True,False,,,False,,False,,False,True,,False,False,,,True,True,,,,,False,,,,False
01023,34,52.0,,49.5,,64.0,18.0,,,,,110.9,70.3,,,289.0,,102.4,,63.1,,,80.0,39.7,,,157.0,83.5,,,,,,,,,41.4,18.0,,15.5,,30.0,-16.0,,,,,76.9,36.3,,,255.0,,68.4,,29.1,,,46.0,5.7,,,123.0,49.5,,,,,,,,,7.4,,True,,False,True,,,,,False,False,,,False,,False,,False,,,False,True,,,False,False,,,,,,,,,True
01025,697,436.0,,427.3,,424.0,317.0,,,,,603.4,339.9,,,467.0,,662.3,,340.3,,,631.0,379.0,,,507.0,278.4,,,,,308.3,,,,312.8,-261.0,,-269.7,,-273.0,-380.0,,,,,-93.6,-357.1,,,-230.0,,-34.7,,-356.7,,,-66.0,-318.0,,,-190.0,-418.6,,,,,-388.7,,,,-384.2,,False,,False,False,,,,,True,False,,,True,,True,,False,,,True,False,,,True,False,,,,,False,,,,False
01027,196,204.0,,207.9,,206.0,223.0,,,,,264.1,160.1,,,278.0,,161.5,,119.0,,,228.0,189.5,,,247.0,213.0,,,,,,,,,232.6,8.0,,11.9,,10.0,27.0,,,,,68.1,-35.9,,,82.0,,-34.5,,-77.0,,,32.0,-6.5,,,51.0,17.0,,,,,,,,,36.6,,False,,False,False,,,,,False,False,,,False,,False,,False,,,False,True,,,False,False,,,,,,,,,False
01029,223,200.0,,179.8,,207.0,5.0,,,,,247.2,174.9,,,346.0,,237.7,,135.7,,,234.0,153.4,,,247.0,247.7,,,,,,,,,252.9,-23.0,,-43.2,,-16.0,-218.0,,,,,24.2,-48.1,,,123.0,,14.7,,-87.3,,,11.0,-69.6,,,24.0,24.7,,,,,,,,,29.9,,False,,True,False,,,,,False,False,,,False,,True,,False,,,True,False,,,False,False,,,,,,,,,False
01031,1213,956.0,,973.0,,900.0,857.0,,,,,860.8,688.2,,,890.0,,1034.8,,627.0,799.0,,1286.5,718.6,,,1085.0,677.3,,,,,801.0,,,,566.8,-257.0,,-240.0,,-313.0,-356.0,,,,,-352.2,-524.8,,,-323.0,,-178.2,,-586.0,-414.0,,73.5,-494.4,,,-128.0,-535.7,,,,,-412.0,,,,-646.2,,True,,False,False,,,,,False,False,,,False,,True,,False,False,,True,False,,,True,False,,,,,False,,,,False
01033,1085,1244.0,,1252.6,,1054.0,795.0,,,,,1069.8,832.2,,,1452.0,,639.0,,843.0,933.5,,1539.0,856.0,,,1286.0,1063.9,,,,,696.8,,,,1113.8,159.0,,167.6,,-31.0,-290.0,,,,,-15.2,-252.8,,,367.0,,-446.0,,-242.0,-151.5,,454.0,-229.0,,,201.0,-21.1,,,,,-388.2,,,,28.8,,False,,True,False,,,,,True,False,,,False,,False,,False,True,,False,False,,,False,True,,,,,False,,,,True
01035,154,84.0,,90.9,,85.0,66.0,,,,,184.1,96.2,,,203.0,,34.4,,87.2,,,96.0,60.0,0.0,,145.0,163.0,,,,,,,,,44.5,-70.0,,-63.1,,-69.0,-88.0,,,,,30.1,-57.8,,,49.0,,-119.6,,-66.8,,,-58.0,-94.0,-154.0,,-9.0,9.0,,,,,,,,,-109.5,,True,,True,False,,,,,True,True,,,True,,False,,True,,,True,False,False,,True,True,,,,,,,,,False
01037,157,92.0,,83.1,,77.0,18.0,,,,,102.7,101.5,,,161.0,,38.2,,81.9,,,77.0,63.0,0.0,,152.0,131.5,,,,,,,,,58.5,-65.0,,-73.9,,-80.0,-139.0,,,,,-54.3,-55.5,,,4.0,,-118.8,,-75.1,,,-80.0,-94.0,-157.0,,-5.0,-25.5,,,,,,,,,-98.5,,False,,False,False,,,,,True,True,,,True,,False,,False,,,False,False,False,,True,True,,,,,,,,,False
01039,595,372.0,,422.8,,402.0,132.0,,,,,650.1,326.3,,,684.0,,449.7,,287.8,398.5,,609.0,263.2,149.2,,663.0,615.8,,,,,358.1,,,,248.1,-223.0,,-172.2,,-193.0,-463.0,,,,,55.1,-268.7,,,89.0,,-145.3,,-307.2,-196.5,,14.0,-331.8,-445.8,,68.0,20.8,,,,,-236.9,,,,-346.9,,True,,True,False,,,,,True,False,,,True,,True,,False,True,,True,False,False,,True,True,,,,,False,,,,False
01041,338,280.0,,295.7,,256.0,289.0,,,,,238.3,158.1,,,213.0,,535.3,,158.5,,,445.0,209.6,36.9,,302.0,232.7,,,,,,,,,143.4,-58.0,,-42.3,,-82.0,-49.0,,,,,-99.7,-179.9,,,-125.0,,197.3,,-179.5,,,107.0,-128.4,-301.1,,-36.0,-105.3,,,,,,,,,-194.6,,True,,False,True,,,,,False,False,,,False,,False,,False,,,False,False,False,,True,False,,,,,,,,,False
01043,1532,1936.0,,1989.9,,1577.0,1389.0,,,,,1646.0,1448.3,,,2451.0,,1492.6,,1164.5,1326.5,,2427.0,1208.6,601.8,,1884.0,1513.1,,,,,1520.6,,,,2136.0,404.0,,457.9,,45.0,-143.0,,,,,114.0,-83.7,,,919.0,,-39.4,,-367.5,-205.5,,895.0,-323.4,-930.2,,352.0,-18.9,,,,,-11.4,,,,604.0,,False,,True,True,,,,,True,True,,,False,,True,,True,True,,False,True,False,,True,True,,,,,True,,,,False
01045,934,688.0,,691.1,,708.0,714.0,,,,,818.9,574.8,,,886.0,,946.7,,576.6,562.5,,1292.0,539.0,250.5,,854.0,745.4,,,,,372.1,,,,807.8,-246.0,,-242.9,,-226.0,-220.0,,,,,-115.1,-359.2,,,-48.0,,12.7,,-357.4,-371.5,,358.0,-395.0,-683.5,,-80.0,-188.6,,,,,-561.9,,,,-126.2,,True,,True,True,,,,,True,False,,,True,,True,,False,False,,False,False,False,,True,True,,,,,False,,,,True
01047,446,364.0,,367.6,,356.0,339.0,,,,,599.0,352.7,,,622.0,,240.6,,338.8,334.0,,533.0,280.5,0.0,,517.0,547.5,,,,,202.5,,,,261.6,-82.0,,-78.4,,-90.0,-107.0,,,,,153.0,-93.3,,,176.0,,-205.4,,-107.2,-112.0,,87.0,-165.5,-446.0,,71.0,101.5,,,,,-243.5,,,,-184.4,,True,,False,False,,,,,False,False,,,False,,False,,False,False,,False,False,False,,True,False,,,,,False,,,,False
01049,1161,1400.0,,1512.8,,1284.0,1148.0,,,,,1617.2,1026.5,,,2144.0,,1530.9,,948.1,1099.5,,1960.5,845.0,443.6,,1450.0,1063.9,,,,,1036.0,,,,1191.8,239.0,,351.8,,123.0,-13.0,,,,,456.2,-134.5,,,983.0,,369.9,,-212.9,-61.5,,799.5,-316.0,-717.4,,289.0,-97.1,,,,,-125.0,,,,30.8,,False,,True,True,,,,,False,True,,,False,,False,,True,True,,False,False,False,,False,True,,,,,True,,,,True
01051,2242,1876.0,,1913.0,,1614.0,1607.0,,,,,1717.4,1200.5,,,1453.0,,2360.4,,1144.8,1415.5,,3046.0,1413.7,285.0,,1817.0,1236.6,,,,,1316.1,,,,1703.2,-366.0,,-329.0,,-628.0,-635.0,,,,,-524.6,-1041.5,,,-789.0,,118.4,,-1097.2,-826.5,,804.0,-828.3,-1957.0,,-425.0,-1005.4,,,,,-925.9,,,,-538.8,,True,,False,False,,,,,False,False,,,False,,True,,False,False,,False,False,False,,False,False,,,,,False,,,,False
01053,826,560.0,,562.8,,533.0,10.0,,,,,641.8,371.6,,,742.0,,539.0,,473.5,530.5,,789.0,321.4,78.5,,663.0,556.0,,,,,480.3,,,,512.1,-266.0,,-263.2,,-293.0,-816.0,,,,,-184.2,-454.4,,,-84.0,,-287.0,,-352.5,-295.5,,-37.0,-504.6,-747.5,,-163.0,-270.0,,,,,-345.7,,,,-313.9,,True,,False,False,,,,,True,False,,,True,,False,,False,False,,True,False,False,,True,False,,,,,False,,,,False
01055,2451,3184.0,,3149.8,,2467.0,2367.0,,,,,2698.2,1899.6,,,2820.0,,2406.0,,1896.7,1049.5,,3354.0,1856.6,645.8,,2801.0,2254.9,,,,,1667.5,,,,3098.5,733.0,,698.8,,16.0,-84.0,,,,,247.2,-551.4,,,369.0,,-45.0,,-554.3,-1401.5,,903.0,-594.4,-1805.2,,350.0,-196.1,,,,,-783.5,,,,647.5,,True,,True,True,,,,,True,True,,,True,,True,,True,False,,False,True,False,,True,True,,,,,False,,,,True
01057,397,348.0,,338.0,,318.0,174.0,,,,,342.5,260.4,,,387.0,,208.8,,250.2,,,392.0,232.7,54.6,,369.0,307.2,,,,,,,,,360.5,-49.0,,-59.0,,-79.0,-223.0,,,,,-54.5,-136.6,,,-10.0,,-188.2,,-146.8,,,-5.0,-164.3,-342.4,,-28.0,-89.8,,,,,,,,,-36.5,,False,,False,False,,,,,False,False,,,True,,False,,False,,,True,False,False,,True,False,,,,,,,,,True
01059,606,496.0,,508.5,,419.0,173.0,,,,,730.4,336.0,,,970.0,,335.8,,411.3,379.0,,568.0,395.3,87.5,,663.0,506.3,,,,,264.9,,,,336.7,-110.0,,-97.5,,-187.0,-433.0,,,,,124.4,-270.0,,,364.0,,-270.2,,-194.7,-227.0,,-38.0,-210.7,-518.5,,57.0,-99.7,,,,,-341.1,,,,-269.3,,True,,False,False,,,,,False,False,,,False,,False,,False,False,,True,False,False,,True,True,,,,,False,,,,False
01061,517,408.0,,390.3,,360.0,347.0,,,,,349.8,335.2,,,533.0,,263.1,,245.4,,,426.0,310.8,92.7,,450.0,390.5,,,,,,,,,199.2,-109.0,,-126.7,,-157.0,-170.0,,,,,-167.2,-181.8,,,16.0,,-253.9,,-271.6,,,-91.0,-206.2,-424.3,,-67.0,-126.5,,,,,,,,,-317.8,,False,,False,False,,,,,False,False,,,True,,False,,False,,,True,False,False,,True,False,,,,,,,,,False
01063,154,168.0,,180.9,,130.0,6.0,,,,,170.9,118.1,,,128.0,,108.8,,115.9,,,158.0,139.4,0.0,,133.0,129.7,,,,,,,,,78.1,14.0,,26.9,,-24.0,-148.0,,,,,16.9,-35.9,,,-26.0,,-45.2,,-38.1,,,4.0,-14.6,-154.0,,-21.0,-24.3,,,,,,,,,-75.9,,False,,False,False,,,,,False,False,,,False,,False,,False,,,True,False,False,,False,False,,,,,,,,,False
01065,476,452.0,,480.7,,386.0,144.0,,,,,388.5,203.1,,,278.0,,741.8,,276.1,,,668.0,355.5,46.3,,330.0,553.0,,,,,,,,,340.1,-24.0,,4.7,,-90.0,-332.0,,,,,-87.5,-272.9,,,-198.0,,265.8,,-199.9,,,192.0,-120.5,-429.7,,-146.0,77.0,,,,,,,,,-135.9,,True,,False,False,,,,,False,False,,,False,,False,,False,,,False,False,False,,False,False,,,,,,,,,False
01067,435,316.0,,306.0,,289.0,1.0,,,,,298.2,243.4,,,273.0,,529.0,,225.4,,,643.5,266.0,68.8,,339.0,318.3,,,,,,,,,232.4,-119.0,,-129.0,,-146.0,-434.0,,,,,-136.8,-191.6,,,-162.0,,94.0,,-209.6,,,208.5,-169.0,-366.2,,-96.0,-116.7,,,,,,,,,-202.6,,False,,False,False,,,,,False,False,,,False,,True,,False,,,False,False,False,,True,True,,,,,,,,,False
01069,2117,1376.0,,1457.9,,1405.0,788.0,,,,,1634.9,1259.0,,,1707.0,,1590.1,,1095.3,1389.0,,1893.5,982.2,455.5,,1813.0,1754.0,,,,,901.2,,,,749.8,-741.0,,-659.1,,-712.0,-1329.0,,,,,-482.1,-858.0,,,-410.0,,-526.9,,-1021.7,-728.0,,-223.5,-1134.8,-1661.5,,-304.0,-363.0,,,,,-1215.8,,,,-1367.2,,True,,True,False,,,,,True,False,,,True,,True,,False,True,,True,False,False,,True,True,,,,,False,,,,False
01071,1107,972.0,,780.1,,752.0,531.0,,,,,1139.2,801.9,,,1442.0,,316.0,,675.9,297.0,,644.0,512.7,0.0,,1058.0,992.8,,,,,650.0,,,,1382.0,-135.0,,-326.9,,-355.0,-576.0,,,,,32.2,-305.1,,,335.0,,-791.0,,-431.1,-810.0,,-463.0,-594.3,-1107.0,,-49.0,-114.2,,,,,-457.0,,,,275.0,,False,,False,False,,,,,True,False,,,False,,False,,False,False,,False,False,False,,True,True,,,,,False,,,,False
01073,15159,16744.0,,16190.2,15762.6,14152.0,9425.0,,,,,13727.1,12628.5,,19614.6,17023.0,,17316.3,,10435.6,11753.0,,23699.5,12519.8,5381.5,,14350.0,11443.1,,,,,10639.2,10531.0,,,11724.3,1585.0,,1031.2,603.6,-1007.0,-5734.0,,,,,-1431.9,-2530.5,,4455.6,1864.0,,2157.3,,-4723.4,-3406.0,,8540.5,-2639.2,-9777.5,,-809.0,-3715.9,,,,,-4519.8,-4628.0,,,-3434.7,,True,True,True,False,,,,,True,False,,False,False,,False,,False,False,,False,False,False,,True,False,,,,,False,False,,,False
01075,192,272.0,,252.9,,259.0,143.0,,,,,269.2,190.5,,,295.0,,322.0,,172.4,,,407.0,178.1,30.9,,289.0,260.8,,,,,,,,,296.9,80.0,,60.9,,67.0,-49.0,,,,,77.2,-1.5,,,103.0,,130.0,,-19.6,,,215.0,-13.9,-161.1,,97.0,68.8,,,,,,,,,104.9,,True,,True,True,,,,,True,True,,,False,,False,,True,,,False,True,False,,False,True,,,,,,,,,False
01077,1808,2032.0,,2017.7,,1735.0,1692.0,,,,,1551.4,1676.0,,,2471.0,,1450.9,,1359.5,1596.5,,2419.5,1659.8,755.2,,2220.0,2133.4,,,,,993.4,,,,2491.5,224.0,,209.7,,-73.0,-116.0,,,,,-256.6,-132.0,,,663.0,,-357.1,,-448.5,-211.5,,611.5,-148.2,-1052.8,,412.0,325.4,,,,,-814.6,,,,683.5,,True,,True,True,,,,,False,True,,,False,,False,,False,True,,False,True,False,,False,False,,,,,False,,,,False
01079,609,740.0,,733.3,,717.0,685.0,,,,,534.9,479.5,,,949.0,,804.1,,355.1,583.5,,1156.0,545.6,64.7,,748.0,607.6,,,,,,,,,859.8,131.0,,124.3,,108.0,76.0,,,,,-74.1,-129.5,,,340.0,,195.1,,-253.9,-25.5,,547.0,-63.4,-544.3,,139.0,-1.4,,,,,,,,,250.8,,True,,True,True,,,,,True,True,,,False,,False,,False,True,,False,True,False,,False,True,,,,,,,,,False
01081,3337,2068.0,,2006.3,,2060.0,1140.0,,,,,2522.7,1352.0,,2911.6,2476.0,,2697.2,,1706.9,1861.0,,3364.0,1801.2,1.1,,2556.0,2182.5,,,,,1705.9,1417.0,,,452.6,-1269.0,,-1330.7,,-1277.0,-2197.0,,,,,-814.3,-1985.0,,-425.4,-861.0,,-639.8,,-1630.1,-1476.0,,27.0,-1535.8,-3335.9,,-781.0,-1154.5,,,,,-1631.1,-1920.0,,,-2884.4,,False,,False,False,,,,,True,False,,True,True,,True,,False,False,,True,False,False,,True,True,,,,,False,False,,,False
01083,1841,2224.0,,2064.3,,1964.0,1930.0,,,,,1789.7,1742.6,,,2192.0,,2619.7,,1415.5,1919.5,,3133.5,1518.0,514.5,,2219.0,1672.3,,,,,1977.3,,,,1781.8,383.0,,223.3,,123.0,89.0,,,,,-51.3,-98.4,,,351.0,,778.7,,-425.5,78.5,,1292.5,-323.0,-1326.5,,378.0,-168.7,,,,,136.3,,,,-59.2,,True,,True,True,,,,,True,True,,,True,,False,,False,True,,False,True,False,,True,True,,,,,True,,,,True
01085,231,92.0,,79.7,,95.0,,,,,,204.5,66.4,,,106.0,,77.2,,75.7,,,143.0,74.4,0.0,,138.0,150.8,,,,,,,,,100.9,-139.0,,-151.3,,-136.0,,,,,,-26.5,-164.6,,,-125.0,,-153.8,,-155.3,,,-88.0,-156.6,-231.0,,-93.0,-80.2,,,,,,,,,-130.1,,False,,True,,,,,,True,False,,,True,,False,,False,,,True,False,False,,True,True,,,,,,,,,True
01087,259,252.0,,252.4,,239.0,256.0,,,,,254.1,220.6,,,230.0,,221.8,,171.2,,,246.0,203.8,27.0,,282.0,220.6,,,,,,,,,322.1,-7.0,,-6.6,,-20.0,-3.0,,,,,-4.9,-38.4,,,-29.0,,-37.2,,-87.8,,,-13.0,-55.2,-232.0,,23.0,-38.4,,,,,,,,,63.1,,True,,False,True,,,,,True,False,,,False,,False,,False,,,False,False,False,,False,False,,,,,,,,,False
01089,7120,7904.0,,7806.5,7636.8,7300.0,6056.0,,,,,6067.5,7407.6,,9861.8,7979.0,,8323.4,,5652.4,5014.0,,11219.0,5989.3,2181.9,,7173.0,6111.1,,,,,8066.1,5015.0,,,11910.0,784.0,,686.5,516.8,180.0,-1064.0,,,,,-1052.5,287.6,,2741.8,859.0,,1203.4,,-1467.6,-2106.0,,4099.0,-1130.7,-4938.1,,53.0,-1008.9,,,,,946.1,-2105.0,,,4790.0,,True,True,True,False,,,,,False,True,,False,False,,False,,False,False,,False,False,False,,True,False,,,,,False,False,,,False
