,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Kentucky,20243,23927.0,22753.3,23664.3,23664.0,23282.0,,26102.0,17339.0,101778.7,18629.5,24475.6,,27323.8,27586.0,39463.0,24501.0,15085.3,20739.6,15758.5,20644.9,28289.2,22995.8,24086.4,29153.0,19323.0,,27757.6,,13067.6,,17585.0,26133.7,19697.5,23013.1,25905.0,28426.2,,3684.0,2510.3,3421.3,3421.0,3039.0,,5859.0,-2904.0,81535.7,-1613.5,4232.6,,7080.8,7343.0,19220.0,4258.0,-5157.7,496.6,-4484.5,401.9,8046.2,2752.8,3843.4,8910.0,-920.0,,7514.6,,-7175.4,,-2658.0,5890.7,-545.5,2770.1,5662.0,8183.2,,True,True,True,True,,False,True,False,True,False,,False,False,False,False,False,True,False,True,False,True,False,False,True,,False,,False,,True,False,True,True,False,False,
Louisiana,15402,23422.0,22409.2,23377.9,23378.0,24532.0,,24493.8,16142.0,109569.5,26707.2,20418.5,,24312.4,24420.0,24301.1,21877.0,15030.3,23439.1,19095.5,20602.4,24154.3,18595.0,25829.3,25068.0,20033.0,,24424.8,,18846.4,,17267.4,29530.6,18380.3,19536.8,22090.0,30731.8,,8020.0,7007.2,7975.9,7976.0,9130.0,,9091.8,740.0,94167.5,11305.2,5016.5,,8910.4,9018.0,8899.1,6475.0,-371.7,8037.1,3693.5,5200.4,8752.3,3193.0,10427.3,9666.0,4631.0,,9022.8,,3444.4,,1865.4,14128.6,2978.3,4134.8,6688.0,15329.8,,True,True,True,False,,False,True,False,False,True,,False,False,False,True,True,False,True,True,False,True,False,False,True,,False,,True,,True,False,True,True,True,False,
Maine,3379,4200.0,4001.5,4140.4,4172.0,4245.0,,4179.6,3177.0,4056.9,4400.4,4189.9,,4567.1,4128.0,2988.6,4926.0,4121.5,5376.2,4088.0,3794.5,4172.1,5275.5,4464.9,5318.0,3568.0,,3973.2,,4616.1,,3609.4,4882.0,3020.1,4677.5,4608.0,5090.9,,821.0,622.5,761.4,793.0,866.0,,800.6,-202.0,677.9,1021.4,810.9,,1188.1,749.0,-390.4,1547.0,742.5,1997.2,709.0,415.5,793.1,1896.5,1085.9,1939.0,189.0,,594.2,,1237.1,,230.4,1503.0,-358.9,1298.5,1229.0,1711.9,,True,True,True,False,,True,True,True,False,True,,False,True,True,False,True,False,True,True,True,False,False,False,True,,True,,False,,True,False,True,False,False,False,
Maryland,15276,20667.0,18725.4,20725.3,20380.0,19450.0,,21665.1,73032.0,17171.6,20642.6,21843.8,,22502.6,24124.0,19020.7,21022.0,15380.1,19703.3,20092.0,18898.8,16629.5,16361.0,21506.3,23032.0,20036.0,,20380.0,,22306.3,,16591.8,23596.7,17054.7,19151.7,21572.0,26042.2,,5391.0,3449.4,5449.3,5104.0,4174.0,,6389.1,57756.0,1895.6,5366.6,6567.8,,7226.6,8848.0,3744.7,5746.0,104.1,4427.3,4816.0,3622.8,1353.5,1085.0,6230.3,7756.0,4760.0,,5104.0,,7030.3,,1315.8,8320.7,1778.7,3875.7,6296.0,10766.2,,True,False,True,True,,False,False,True,True,False,,False,False,True,False,True,True,True,True,True,True,False,False,True,,True,,False,,True,False,True,True,False,False,
Massachusetts,30367,38591.0,39601.1,37504.5,40282.0,38022.0,,42266.3,29176.0,39565.6,23926.7,41506.2,,42086.0,44046.0,44860.4,40183.0,22043.3,40761.4,36456.0,33916.4,41376.5,31778.2,41373.0,44830.0,31128.0,,39728.8,,34575.0,,28298.0,49938.6,27958.7,43848.7,42366.0,45911.3,,8224.0,9234.1,7137.5,9915.0,7655.0,,11899.3,-1191.0,9198.6,-6440.3,11139.2,,11719.0,13679.0,14493.4,9816.0,-8323.7,10394.4,6089.0,3549.4,11009.5,1411.2,11006.0,14463.0,761.0,,9361.8,,4208.0,,-2069.0,19571.6,-2408.3,13481.7,11999.0,15544.3,,False,True,False,True,,False,True,False,True,False,,False,False,False,False,False,False,True,True,False,True,False,False,True,,False,,True,,True,False,True,False,False,False,
Michigan,14961,19232.0,21284.6,18598.4,18598.0,18472.0,,20326.4,5873.0,37149.6,13931.2,17442.0,,20059.4,24246.0,23012.7,19074.0,17643.1,14016.3,12703.5,17787.0,23935.7,26182.0,19401.3,21336.0,11530.0,,14836.6,,9085.5,,17692.2,21528.8,19680.1,16025.0,20075.0,27779.5,,4271.0,6323.6,3637.4,3637.0,3511.0,,5365.4,-9088.0,22188.6,-1029.8,2481.0,,5098.4,9285.0,8051.7,4113.0,2682.1,-944.7,-2257.5,2826.0,8974.7,11221.0,4440.3,6375.0,-3431.0,,-124.4,,-5875.5,,2731.2,6567.8,4719.1,1064.0,5114.0,12818.5,,False,True,True,True,,False,False,False,True,True,,False,False,False,True,True,True,True,True,False,False,False,False,True,,True,,False,,True,False,False,True,False,False,
Minnesota,8761,10634.0,11612.7,11263.7,11264.0,9119.0,,11447.0,2901.0,10098.8,6879.9,13093.2,,10317.8,13871.0,11944.3,13763.0,8110.1,9659.8,6311.5,8552.4,13341.0,9766.5,11597.5,11965.0,8057.0,,10575.4,,4198.9,,7546.5,12141.3,9380.0,13955.0,11324.0,14065.5,,1873.0,2851.7,2502.7,2503.0,358.0,,2686.0,-5860.0,1337.8,-1881.1,4332.2,,1556.8,5110.0,3183.3,5002.0,-650.9,898.8,-2449.5,-208.6,4580.0,1005.5,2836.5,3204.0,-704.0,,1814.4,,-4562.1,,-1214.5,3380.3,619.0,5194.0,2563.0,5304.5,,False,False,False,True,,False,False,True,False,False,,True,False,False,False,True,True,False,True,False,True,False,False,True,,True,,False,,True,False,True,False,False,False,
Mississippi,12154,14001.0,15229.4,13931.5,14201.0,13823.0,,15435.1,13141.0,14300.8,11407.1,15501.2,,14932.1,17877.0,13597.4,15237.0,9766.0,18190.2,11653.0,12339.7,14257.6,13716.5,15280.0,16546.0,11116.0,,14201.0,,9515.4,,10915.0,19694.0,11844.3,14368.3,14102.0,15812.9,,1847.0,3075.4,1777.5,2047.0,1669.0,,3281.1,987.0,2146.8,-746.9,3347.2,,2778.1,5723.0,1443.4,3083.0,-2388.0,6036.2,-501.0,185.7,2103.6,1562.5,3126.0,4392.0,-1038.0,,2047.0,,-2638.6,,-1239.0,7540.0,-309.7,2214.3,1948.0,3658.9,,False,True,False,True,,False,True,False,True,False,,False,False,True,False,False,False,True,True,False,True,False,False,True,,False,,False,,True,False,True,False,False,False,
Missouri,11989,15998.0,18518.3,16026.5,16040.0,12983.0,,18735.6,10149.0,14589.0,16213.5,16621.8,,16039.7,21912.0,16736.6,16821.0,12114.0,14593.5,12165.0,13194.7,21057.6,17348.1,18420.1,18456.0,12657.0,,15269.6,,8896.3,,12062.0,22807.1,14937.2,16371.0,17837.0,22557.7,,4009.0,6529.3,4037.5,4051.0,994.0,,6746.6,-1840.0,2600.0,4224.5,4632.8,,4050.7,9923.0,4747.6,4832.0,125.0,2604.5,176.0,1205.7,9068.6,5359.1,6431.1,6467.0,668.0,,3280.6,,-3092.7,,73.0,10818.1,2948.2,4382.0,5848.0,10568.7,,False,False,False,True,,False,True,True,False,False,,False,False,False,False,True,True,True,True,False,False,False,False,True,,True,,True,,True,False,True,False,False,False,
Montana,2354,2954.0,2899.2,2837.7,2910.0,2910.0,,3262.3,1064.0,2399.3,3587.4,3359.4,,3461.5,3681.0,5170.1,3611.0,1898.5,2434.1,2491.0,2849.3,1687.3,2629.9,3220.4,3565.0,2651.0,,3111.5,,1788.3,,2235.5,2562.7,3505.2,3407.6,3147.0,3251.7,,600.0,545.2,483.7,556.0,556.0,,908.3,-1290.0,45.3,1233.4,1005.4,,1107.5,1327.0,2816.1,1257.0,-455.5,80.1,137.0,495.3,-666.7,275.9,866.4,1211.0,297.0,,757.5,,-565.7,,-118.5,208.7,1151.2,1053.6,793.0,897.7,,True,True,True,True,,False,False,True,False,False,,False,False,False,False,True,True,True,True,False,True,False,False,True,,False,,True,,True,True,False,False,False,False,
