,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01041,274,192.0,,207.7,,164.0,217.0,,,,,184.4,50.6,,,140.0,143.4,110.9,,,121.0,173.6,21.3,,228.0,201.0,109.1,,,,,,,,,256.5,166.0,-82.0,,-66.3,,-110.0,-57.0,,,,,-89.6,-223.4,,,-134.0,-130.6,-163.1,,,-153.0,-100.4,-252.7,,-46.0,-73.0,-164.9,,,,,,,,,-17.5,-108.0,,True,,False,True,,,,,False,False,,,False,False,False,,,False,False,False,,True,True,False,,,,,,,,,True,False
01043,1015,1551.0,,1594.9,,1289.0,1600.0,,,,,1146.9,1158.6,,,1370.0,843.2,829.2,926.0,,820.5,1266.8,302.1,,1570.0,1356.0,1485.1,,,,,1326.3,,,,2003.2,863.0,536.0,,579.9,,274.0,585.0,,,,,131.9,143.6,,,355.0,-171.8,-185.8,-89.0,,-194.5,251.8,-712.9,,555.0,341.0,470.1,,,,,311.3,,,,988.2,-152.0,,False,,True,False,,,,,True,True,,,True,True,True,True,,True,True,False,,False,True,True,,,,,True,,,,False,True
01045,692,726.0,,737.3,,606.0,1120.0,,,,,603.6,413.4,,,603.0,507.2,451.9,458.5,,700.0,599.1,153.0,,809.0,727.0,613.8,,,,,490.2,,,,632.9,485.0,34.0,,45.3,,-86.0,428.0,,,,,-88.4,-278.6,,,-89.0,-184.8,-240.1,-233.5,,8.0,-92.9,-539.0,,117.0,35.0,-78.2,,,,,-201.8,,,,-59.1,-207.0,,False,,False,False,,,,,False,False,,,False,False,False,False,,True,False,False,,False,False,False,,,,,False,,,,False,False
01047,304,426.0,,428.4,,382.0,537.0,,,,,422.9,143.8,,,382.0,371.5,289.5,236.5,,297.0,339.0,42.5,,439.0,482.0,541.8,,,,,279.9,,,,462.8,367.0,122.0,,124.4,,78.0,233.0,,,,,118.9,-160.2,,,78.0,67.5,-14.5,-67.5,,-7.0,35.0,-261.5,,135.0,178.0,237.8,,,,,-24.1,,,,158.8,63.0,,False,,True,False,,,,,True,False,,,True,True,True,True,,True,True,False,,False,False,False,,,,,True,,,,False,True
01049,867,882.0,,955.6,,659.0,335.0,,,,,1061.9,836.8,,,1242.0,305.3,590.5,706.0,,341.0,633.9,0.0,,872.0,860.0,679.5,,,,,571.1,,,,899.4,782.0,15.0,,88.6,,-208.0,-532.0,,,,,194.9,-30.2,,,375.0,-561.7,-276.5,-161.0,,-526.0,-233.1,-867.0,,5.0,-7.0,-187.5,,,,,-295.9,,,,32.4,-85.0,,False,,False,False,,,,,False,False,,,False,False,False,False,,False,False,False,,True,True,False,,,,,False,,,,False,False
01051,1558,2052.0,,2052.3,,1501.0,2463.0,,,,,1327.3,1045.5,,,936.0,1695.9,1011.0,1105.5,,1838.0,1734.4,196.9,,2214.0,1506.0,1159.5,,,,,1694.1,,,,2316.5,1590.0,494.0,,494.3,,-57.0,905.0,,,,,-230.7,-512.5,,,-622.0,137.9,-547.0,-452.5,,280.0,176.4,-1361.1,,656.0,-52.0,-398.5,,,,,136.1,,,,758.5,32.0,,False,,True,False,,,,,True,False,,,False,True,False,True,,True,True,False,,False,True,True,,,,,True,,,,False,True
01053,632,582.0,,569.0,,468.0,334.0,,,,,509.0,295.7,,,466.0,521.6,340.9,424.5,,398.0,471.7,47.8,,704.0,551.0,472.0,,,,,366.3,,,,580.2,496.0,-50.0,,-63.0,,-164.0,-298.0,,,,,-123.0,-336.3,,,-166.0,-110.4,-291.1,-207.5,,-234.0,-160.3,-584.2,,72.0,-81.0,-160.0,,,,,-265.7,,,,-51.8,-136.0,,False,,False,False,,,,,False,False,,,False,False,False,False,,False,False,False,,False,False,False,,,,,False,,,,False,False
01055,1805,1938.0,,1970.7,,1549.0,1245.0,,,,,1926.5,1774.8,,,1618.0,844.0,1267.8,785.5,,1437.0,1751.6,0.0,,2039.0,1816.0,1260.2,,,,,1597.7,,,,2518.1,1590.0,133.0,,165.7,,-256.0,-560.0,,,,,121.5,-30.2,,,-187.0,-961.0,-537.2,-1019.5,,-368.0,-53.4,-1805.0,,234.0,11.0,-544.8,,,,,-207.3,,,,713.1,-215.0,,False,,False,False,,,,,True,True,,,False,False,False,False,,False,True,False,,False,True,False,,,,,False,,,,False,False
01057,322,225.0,,219.9,,207.0,98.0,,,,,221.7,233.7,,,255.0,104.8,162.2,,,143.0,187.3,0.0,,235.0,235.0,289.1,,,,,,,,,278.5,190.0,-97.0,,-102.1,,-115.0,-224.0,,,,,-100.3,-88.3,,,-67.0,-217.2,-159.8,,,-179.0,-134.7,-322.0,,-87.0,-87.0,-32.9,,,,,,,,,-43.5,-132.0,,False,,False,False,,,,,False,True,,,True,False,False,,,False,False,False,,True,True,True,,,,,,,,,True,False
01059,424,546.0,,560.9,,457.0,459.0,,,,,532.8,430.4,,,631.0,453.5,293.1,397.5,,456.0,462.4,40.3,,555.0,501.0,443.4,,,,,363.6,,,,559.4,364.0,122.0,,136.9,,33.0,35.0,,,,,108.8,6.4,,,207.0,29.5,-130.9,-26.5,,32.0,38.4,-383.7,,131.0,77.0,19.4,,,,,-60.4,,,,135.4,-60.0,,False,,True,True,,,,,True,True,,,False,True,False,True,,True,True,False,,False,True,True,,,,,True,,,,False,True
