,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Georgia,233370,185952.0,299521.1,182818.2,187703.0,168102.0,,210891.4,133601.0,437044.7,168560.2,,233526.8,220666.0,252458.7,184656.5,189433.0,129746.6,175858.0,367569.6,250449.0,154439.2,192227.8,238468.0,,161749.1,126364.8,,148572.4,268360.0,152900.4,191426.0,148352.4,-47418.0,66151.1,-50551.8,-45667.0,-65268.0,,-22478.6,-99769.0,203674.7,-64809.8,,156.8,-12704.0,19088.7,-48713.5,-43937.0,-103623.4,-57512.0,134199.6,17079.0,-78930.8,-41142.2,5098.0,,-71620.9,-107005.2,,-84797.6,34990.0,-80469.6,-41944.0,-85017.6,False,False,True,False,,True,False,False,False,,True,True,True,False,True,False,False,False,True,False,True,True,,False,False,,False,True,False,True,False
Hawaii,3980,3524.0,5205.3,3529.9,3581.0,2941.0,,3681.2,1419.0,12087.6,3909.9,,4140.3,,4558.2,3410.3,3276.0,9788.5,3737.0,3382.0,3467.0,3345.1,3979.0,5989.0,,3472.2,3035.7,,2543.6,4688.8,3793.7,3598.0,1669.9,-456.0,1225.3,-450.1,-399.0,-1039.0,,-298.8,-2561.0,8107.6,-70.1,,160.3,,578.2,-569.7,-704.0,5808.5,-243.0,-598.0,-513.0,-634.9,-1.0,2009.0,,-507.8,-944.3,,-1436.4,708.8,-186.3,-382.0,-2310.1,False,True,True,False,,True,False,False,True,,True,,False,False,False,False,True,False,False,False,True,False,,False,False,,False,False,True,True,False
Idaho,23538,26872.0,17300.1,26595.5,24611.0,16099.0,,30926.8,17173.0,67986.7,30650.4,,18288.6,32913.0,35383.2,18758.6,23794.0,20961.5,13843.0,33514.6,26672.5,16847.1,25206.0,29504.0,,10720.0,24174.1,,19829.7,46981.1,30477.0,23553.0,20321.8,3334.0,-6237.9,3057.5,1073.0,-7439.0,,7388.8,-6365.0,44448.7,7112.4,,-5249.4,9375.0,11845.2,-4779.4,256.0,-2576.5,-9695.0,9976.6,3134.5,-6690.9,1668.0,5966.0,,-12818.0,636.1,,-3708.3,23443.1,6939.0,15.0,-3216.2,False,True,True,False,,False,False,False,False,,False,False,False,False,True,True,False,False,True,False,True,False,,False,True,,False,False,False,True,True
Illinois,164385,159100.0,144625.8,165663.0,135800.0,106101.0,,148074.9,74777.0,208146.4,141236.6,,101354.4,173706.0,214765.9,80173.3,149495.0,135378.6,75831.0,151134.6,132595.5,107185.4,131562.8,160682.0,,93783.2,75505.3,,118738.6,244784.6,136195.6,159422.0,102224.5,-5285.0,-19759.2,1278.0,-28585.0,-58284.0,,-16310.1,-89608.0,43761.4,-23148.4,,-63030.6,9321.0,50380.9,-84211.7,-14890.0,-29006.4,-88554.0,-13250.4,-31789.5,-57199.6,-32822.2,-3703.0,,-70601.8,-88879.7,,-45646.4,80399.6,-28189.4,-4963.0,-62160.5,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,,False,False,False,True,False
Indiana,116498,136600.0,140574.3,138717.5,117193.0,87789.0,,134873.2,89926.0,166273.0,89668.1,,90889.3,142054.0,159955.7,66049.7,123341.0,84130.8,72252.5,136734.1,87462.0,82014.3,104803.0,131600.0,,73857.5,80939.8,,80004.8,201773.9,116046.9,125555.0,112549.4,20102.0,24076.3,22219.5,695.0,-28709.0,,18375.2,-26572.0,49775.0,-26829.9,,-25608.7,25556.0,43457.7,-50448.3,6843.0,-32367.2,-44245.5,20236.1,-29036.0,-34483.7,-11695.0,15102.0,,-42640.5,-35558.2,,-36493.2,85275.9,-451.1,9057.0,-3948.6,False,False,True,False,,True,False,False,False,,False,False,False,False,True,False,False,False,False,False,True,True,,False,False,,False,False,True,True,True
Iowa,37829,31336.0,20564.9,33070.3,28901.0,18573.0,,35208.1,28860.0,43910.0,44444.1,,20885.9,46807.0,40891.1,16962.5,31934.0,31470.0,8955.5,19805.4,35596.5,22929.6,29193.3,51449.0,,19685.6,10458.8,,23990.5,75392.8,38325.6,31071.0,23134.8,-6493.0,-17264.1,-4758.7,-8928.0,-19256.0,,-2620.9,-8969.0,6081.0,6615.1,,-16943.1,8978.0,3062.1,-20866.5,-5895.0,-6359.0,-28873.5,-18023.6,-2232.5,-14899.4,-8635.7,13620.0,,-18143.4,-27370.2,,-13838.5,37563.8,496.6,-6758.0,-14694.2,False,True,False,False,,True,False,True,False,,False,False,True,False,True,True,False,False,True,False,False,False,,False,False,,False,False,True,False,False
Kansas,56327,37360.0,36729.1,34138.4,37709.0,18475.0,,45509.2,68235.0,21588.0,60839.0,,60133.3,55823.0,78664.8,35734.6,31393.0,33052.5,17784.0,46454.1,52805.0,20952.6,40867.8,44848.0,,19187.5,25505.7,,42621.9,93948.7,47012.3,33485.0,26660.8,-18967.0,-19597.9,-22188.6,-18618.0,-37852.0,,-10817.8,11908.0,-34739.0,4512.0,,3806.3,-504.0,22337.8,-20592.4,-24934.0,-23274.5,-38543.0,-9872.9,-3522.0,-35374.4,-15459.2,-11479.0,,-37139.5,-30821.3,,-13705.1,37621.7,-9314.7,-22842.0,-29666.2,False,False,True,False,,True,True,False,True,,True,True,False,False,False,False,False,True,True,False,True,True,,False,False,,True,False,True,False,False
Kentucky,89005,59996.0,100471.6,61892.9,58112.0,42395.0,,65017.7,36811.0,225825.8,74471.3,,44331.2,69170.0,85125.4,48834.4,47827.0,53000.3,28939.0,62304.2,58284.5,38043.7,67819.1,55521.0,,40140.9,72737.2,,46407.6,117048.9,73535.9,65995.0,49443.3,-29009.0,11466.6,-27112.1,-30893.0,-46610.0,,-23987.3,-52194.0,136820.8,-14533.7,,-44673.8,-19835.0,-3879.6,-40170.6,-41178.0,-36004.7,-60066.0,-26700.8,-30720.5,-50961.3,-21185.9,-33484.0,,-48864.1,-16267.8,,-42597.4,28043.9,-15469.1,-23010.0,-39561.7,True,True,False,False,,True,False,False,True,,False,True,True,False,False,False,False,True,False,False,True,False,,False,True,,False,True,True,True,False
Louisiana,83756,56260.0,82039.9,55814.5,56956.0,40391.0,,66557.7,86725.0,9099877.2,71284.2,,53712.3,77626.0,66314.8,46627.1,66574.0,51892.6,32211.0,74827.0,57415.0,37566.4,61104.9,77133.0,,34940.6,120612.4,,50256.6,100997.5,43426.7,52123.0,39116.9,-27496.0,-1716.1,-27941.5,-26800.0,-43365.0,,-17198.3,2969.0,9016121.2,-12471.8,,-30043.7,-6130.0,-17441.2,-37128.9,-17182.0,-31863.4,-51545.0,-8929.0,-26341.0,-46189.6,-22651.1,-6623.0,,-48815.4,36856.4,,-33499.4,17241.5,-40329.3,-31633.0,-44639.1,True,False,True,False,,True,True,False,True,,False,True,True,False,True,False,False,True,True,False,True,True,,False,False,,False,True,False,False,False
Maine,15051,11236.0,17657.4,11274.8,14767.0,9985.0,,15192.9,13833.0,12855.9,15936.4,,18834.8,14295.0,21979.9,20835.2,16721.0,17625.1,16048.5,27562.1,17908.0,10601.4,18634.5,13707.0,,9011.9,18322.3,,12271.6,19063.2,13404.4,14064.0,8172.8,-3815.0,2606.4,-3776.2,-284.0,-5066.0,,141.9,-1218.0,-2195.1,885.4,,3783.8,-756.0,6928.9,5784.2,1670.0,2574.1,997.5,12511.1,2857.0,-4449.6,3583.5,-1344.0,,-6039.1,3271.3,,-2779.4,4012.2,-1646.6,-987.0,-6878.2,True,True,True,False,,True,True,True,True,,True,True,False,False,True,True,True,False,True,False,True,True,,False,True,,True,False,True,True,False
Maryland,73867,66744.0,77557.9,67064.3,65981.0,66946.0,,65178.6,69939.0,82152.2,46497.8,,59760.7,67600.0,76570.9,39271.5,74283.0,72817.9,74387.5,66958.5,51392.0,54093.9,68470.0,73186.0,,50070.0,100126.6,,71129.0,110966.6,55874.3,60158.0,51293.9,-7123.0,3690.9,-6802.7,-7886.0,-6921.0,,-8688.4,-3928.0,8285.2,-27369.2,,-14106.3,-6267.0,2703.9,-34595.5,416.0,-1049.1,520.5,-6908.5,-22475.0,-19773.1,-5397.0,-681.0,,-23797.0,26259.6,,-2738.0,37099.6,-17992.7,-13709.0,-22573.1,True,True,False,True,,False,True,False,False,,False,True,True,False,True,True,True,True,False,False,True,True,,False,False,,True,False,False,False,False
Massachusetts,146491,121328.0,145114.4,120800.8,112116.0,84993.0,,136308.8,117924.0,119966.4,129698.9,,110030.2,140358.0,183381.0,89572.7,101113.0,110410.0,82432.0,272246.0,109232.5,97727.3,140581.1,112237.0,,98386.2,182719.9,,99640.2,221329.1,114082.9,141708.0,93033.5,-25163.0,-1376.6,-25690.2,-34375.0,-61498.0,,-10182.2,-28567.0,-26524.6,-16792.1,,-36460.8,-6133.0,36890.0,-56918.3,-45378.0,-36081.0,-64059.0,125755.0,-37258.5,-48763.7,-5909.9,-34254.0,,-48104.8,36228.9,,-46850.8,74838.1,-32408.1,-4783.0,-53457.5,True,False,False,False,,True,False,False,True,,False,True,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,False,True,False
Michigan,80420,81080.0,72049.8,82024.8,72663.0,37738.0,,72491.5,64431.0,574856.1,116008.9,,45542.7,106158.0,87585.0,33354.0,33564.0,77001.3,29643.0,76210.5,61127.5,54372.1,79452.2,79907.0,,42455.8,64964.5,,178199.1,144343.7,82225.5,84499.0,80180.3,660.0,-8370.2,1604.8,-7757.0,-42682.0,,-7928.5,-15989.0,494436.1,35588.9,,-34877.3,25738.0,7165.0,-47066.0,-46856.0,-3418.7,-50777.0,-4209.5,-19292.5,-26047.9,-967.8,-513.0,,-37964.2,-15455.5,,97779.1,63923.7,1805.5,4079.0,-239.7,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,,False,False,False,False,True
Minnesota,47263,47640.0,57277.2,49740.6,41830.0,24764.0,,47840.9,65826.0,68641.7,56642.2,,19145.5,68290.0,51242.9,15647.3,23564.0,50056.3,16418.0,37799.2,31335.5,36417.1,51629.7,56797.0,,22318.0,39094.3,,36877.3,108758.8,37971.7,54225.0,36087.3,377.0,10014.2,2477.6,-5433.0,-22499.0,,577.9,18563.0,21378.7,9379.2,,-28117.5,21027.0,3979.9,-31615.7,-23699.0,2793.3,-30845.0,-9463.8,-15927.5,-10845.9,4366.7,9534.0,,-24945.0,-8168.7,,-10385.7,61495.8,-9291.3,6962.0,-11175.7,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False
Mississippi,58000,51648.0,55313.0,50521.8,52666.0,34001.0,,58021.3,71641.0,95867.4,36214.2,,48147.4,61565.0,60403.8,42385.1,59277.0,37685.2,41140.0,90471.6,61959.5,36033.8,52047.2,59873.0,,42591.1,38183.3,,46245.9,92497.5,47553.1,53023.0,41044.4,-6352.0,-2687.0,-7478.2,-5334.0,-23999.0,,21.3,13641.0,37867.4,-21785.8,,-9852.6,3565.0,2403.8,-15614.9,1277.0,-20314.8,-16860.0,32471.6,3959.5,-21966.2,-5952.8,1873.0,,-15408.9,-19816.7,,-11754.1,34497.5,-10446.9,-4977.0,-16955.6,True,False,True,False,,True,False,False,False,,False,True,True,False,True,False,False,False,True,False,True,True,,False,False,,False,False,False,True,False
Missouri,70936,71700.0,122810.2,73393.8,66365.0,46342.0,,74116.3,64901.0,149204.9,56090.5,,51710.9,85918.0,83953.4,39601.7,78005.0,54102.4,38981.0,66328.9,69450.5,51330.5,65312.0,117242.0,,60334.4,52977.3,,73072.9,137151.0,66775.2,65075.0,51327.2,764.0,51874.2,2457.8,-4571.0,-24594.0,,3180.3,-6035.0,78268.9,-14845.5,,-19225.1,14982.0,13017.4,-31334.3,7069.0,-16833.6,-31955.0,-4607.1,-1485.5,-19605.5,-5624.0,46306.0,,-10601.6,-17958.7,,2136.9,66215.0,-4160.8,-5861.0,-19608.8,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False
Montana,11977,11256.0,17341.4,10971.4,9856.0,6179.0,,11579.4,5037.0,32673.6,11662.4,,6581.9,14827.0,12166.6,5856.0,8049.0,8967.0,3731.5,9402.2,10302.5,7263.4,12611.1,15243.0,,10124.0,12440.6,,8009.4,14974.7,9937.5,11304.0,6996.8,-721.0,5364.4,-1005.6,-2121.0,-5798.0,,-397.6,-6940.0,20696.6,-314.6,,-5395.1,2850.0,189.6,-6121.0,-3928.0,-3010.0,-8245.5,-2574.8,-1674.5,-4713.6,634.1,3266.0,,-1853.0,463.6,,-3967.6,2997.7,-2039.5,-673.0,-4980.2,False,False,False,False,,True,False,False,True,,False,False,True,False,False,False,False,False,False,False,True,False,,False,True,,False,False,False,True,False
Nebraska,25517,23688.0,10397.9,22665.3,20120.0,20143.0,,24054.7,17140.0,25997.9,25617.8,,12503.6,27136.0,29618.2,9248.5,21762.0,20697.6,11723.5,17355.2,18175.5,17203.2,21620.7,32487.0,,14931.1,28956.8,,32867.9,44552.3,16744.0,22222.0,16244.9,-1829.0,-15119.1,-2851.7,-5397.0,-5374.0,,-1462.3,-8377.0,480.9,100.8,,-13013.4,1619.0,4101.2,-16268.5,-3755.0,-4819.4,-13793.5,-8161.8,-7341.5,-8313.8,-3896.3,6970.0,,-10585.9,3439.8,,7350.9,19035.3,-8773.0,-3295.0,-9272.1,False,False,False,False,,True,False,True,True,,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False
Nevada,54060,55180.0,60829.6,55164.7,52390.0,33766.0,,55706.4,46911.0,135358.3,49542.2,,49216.7,62573.0,76332.7,35841.6,64082.0,31592.7,34158.0,40847.0,59399.5,43644.3,51104.8,46971.0,,34881.2,59763.1,,52690.1,104164.9,37155.9,52744.0,19259.7,1120.0,6769.6,1104.7,-1670.0,-20294.0,,1646.4,-7149.0,81298.3,-4517.8,,-4843.3,8513.0,22272.7,-18218.4,10022.0,-22467.3,-19902.0,-13213.0,5339.5,-10415.7,-2955.2,-7089.0,,-19178.8,5703.1,,-1369.9,50104.9,-16904.1,-1316.0,-34800.3,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False
New Hampshire,21643,17296.0,28300.5,17794.1,17850.0,11271.0,,20030.1,21466.0,17075.9,26260.4,,15529.6,20770.0,29572.4,18296.9,18850.0,19405.7,24586.0,12429.5,21372.0,14958.3,22851.9,16630.0,,8969.0,55060.5,,17906.9,37630.4,13079.3,23760.0,12191.6,-4347.0,6657.5,-3848.9,-3793.0,-10372.0,,-1612.9,-177.0,-4567.1,4617.4,,-6113.4,-873.0,7929.4,-3346.1,-2793.0,-2237.3,2943.0,-9213.5,-271.0,-6684.7,1208.9,-5013.0,,-12674.0,33417.5,,-3736.1,15987.4,-8563.7,2117.0,-9451.4,False,True,True,False,,True,True,False,False,,False,True,False,True,True,True,True,False,True,False,True,False,,False,False,,True,False,False,True,False
