,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt
Minnesota,78410,180702.0,114220.0,,181690.0,180791.0,,216315.0,207240.1,88433.8,100684.3,105202.5,,144225.9,93929.0,153955.5,102292.0,35810.0,,103280.0,102381.0,,137905.0,128830.1,10023.8,22274.3,26792.5,,65815.9,15519.0,75545.5,True,,False,False,,False,False,True,True,True,,True,True,True
Mississippi,85076,86934.0,67706.0,,93786.9,77003.0,,91144.0,153129.2,135501.6,47078.2,104591.0,,85060.2,88440.0,185752.6,1858.0,-17370.0,,8710.9,-8073.0,,6068.0,68053.2,50425.6,-37997.8,19515.0,,-15.8,3364.0,100676.6,False,,False,False,,False,False,False,False,False,,True,False,False
Missouri,110847,148800.0,121131.0,,142702.3,180704.0,,154467.0,144545.3,79338.3,94693.8,136627.0,,150675.4,95879.0,,37953.0,10284.0,,31855.3,69857.0,,43620.0,33698.3,-31508.7,-16153.2,25780.0,,39828.4,-14968.0,,True,,True,False,,False,True,True,True,True,,False,True,
Montana,18766,33450.0,19454.0,,30893.7,12108.0,,37681.0,34921.8,14748.2,12064.5,22928.0,,18232.9,19476.0,18674.1,14684.0,688.0,,12127.7,-6658.0,,18915.0,16155.8,-4017.8,-6701.5,4162.0,,-533.1,710.0,-91.9,True,,True,True,,False,False,True,True,True,,True,True,True
Nebraska,39166,54720.0,26906.0,,57787.4,53590.0,,67994.0,58782.6,37135.9,36525.4,41670.0,,49438.3,28204.0,47465.0,15554.0,-12260.0,,18621.4,14424.0,,28828.0,19616.6,-2030.1,-2640.6,2504.0,,10272.3,-10962.0,8299.0,True,,False,True,,False,False,True,True,True,,True,True,True
Nevada,85764,109926.0,90353.0,,124925.4,101138.0,,111735.0,180544.0,97517.2,73861.3,115743.0,,126076.6,82747.0,164712.3,24162.0,4589.0,,39161.4,15374.0,,25971.0,94780.0,11753.2,-11902.7,29979.0,,40312.6,-3017.0,78948.3,True,,False,True,,False,False,True,True,False,,False,True,False
New Hampshire,31332,36636.0,42847.0,,39984.4,47531.0,,46715.0,66937.8,71802.4,31032.2,53056.0,,53967.9,23669.0,83787.7,5304.0,11515.0,,8652.4,16199.0,,15383.0,35605.8,40470.4,-299.8,21724.0,,22635.9,-7663.0,52455.7,False,,False,False,,False,False,False,True,False,,False,False,False
New Jersey,221765,207060.0,197910.0,,218164.3,329228.0,,219094.0,259749.9,221323.7,202439.3,192629.5,,219113.5,164959.0,264131.8,-14705.0,-23855.0,,-3600.7,107463.0,,-2671.0,37984.9,-441.3,-19325.7,-29135.5,,-2651.5,-56806.0,42366.8,False,,True,False,,True,False,True,False,False,,True,False,False
New Mexico,50221,69012.0,54049.0,,62889.1,49939.0,,78835.0,107331.8,28586.3,41262.5,65775.0,,38525.6,38576.0,51131.5,18791.0,3828.0,,12668.1,-282.0,,28614.0,57110.8,-21634.7,-8958.5,15554.0,,-11695.4,-11645.0,910.5,True,,True,True,,False,False,False,True,True,,True,True,True
New York,549084,413046.0,390177.0,,623911.0,889196.0,,428659.0,730496.3,1490483.5,529812.9,434191.5,,325246.6,329365.0,783235.1,-136038.0,-158907.0,,74827.0,340112.0,,-120425.0,181412.3,941399.5,-19271.1,-114892.5,,-223837.4,-219719.0,234151.1,False,,True,False,,True,False,False,True,True,,False,False,False
North Carolina,282940,247344.0,286239.0,,287837.9,293278.0,,293715.0,356662.6,360263.5,201124.9,320782.0,,176615.7,232970.0,369857.9,-35596.0,3299.0,,4897.9,10338.0,,10775.0,73722.6,77323.5,-81815.1,37842.0,,-106324.3,-49970.0,86917.9,True,,True,True,,True,False,False,False,False,,False,False,False
North Dakota,9130,30516.0,8470.0,,24089.9,7512.0,,37393.0,24693.1,10229.5,12831.1,10324.5,,16825.0,18352.0,12046.7,21386.0,-660.0,,14959.9,-1618.0,,28263.0,15563.1,1099.5,3701.1,1194.5,,7695.0,9222.0,2916.7,True,,True,True,,False,True,True,True,True,,True,True,True
Ohio,306380,516174.0,416113.0,,536499.8,649785.0,,564733.0,656891.7,626753.8,302013.5,420780.0,,726488.1,367930.0,507932.9,209794.0,109733.0,,230119.8,343405.0,,258353.0,350511.7,320373.8,-4366.5,114400.0,,420108.1,61550.0,201552.9,True,,False,False,,False,False,False,True,True,,False,True,True
Oklahoma,136813,120546.0,97429.0,,135108.1,289005.0,,161362.0,164587.8,69973.5,71553.6,98562.5,,113448.0,97961.0,113022.4,-16267.0,-39384.0,,-1704.9,152192.0,,24549.0,27774.8,-66839.5,-65259.4,-38250.5,,-23365.0,-38852.0,-23790.6,False,,True,False,,False,False,False,False,False,,False,False,False
Oregon,44761,57576.0,46985.0,,65138.0,78657.0,,64184.0,99036.3,71730.8,65810.5,43739.0,,95411.4,39309.0,112648.7,12815.0,2224.0,,20377.0,33896.0,,19423.0,54275.3,26969.8,21049.5,-1022.0,,50650.4,-5452.0,67887.7,True,,False,False,,False,False,False,False,True,,False,True,False
Pennsylvania,318255,418170.0,395638.0,,475531.8,729030.0,,473374.0,734391.1,654396.2,370691.0,549582.0,,276897.2,371653.0,633624.1,99915.0,77383.0,,157276.8,410775.0,,155119.0,416136.1,336141.2,52436.0,231327.0,,-41357.8,53398.0,315369.1,True,,False,False,,False,False,False,True,False,,True,True,False
Rhode Island,38917,52086.0,35398.0,,55120.1,28574.0,,56236.0,74892.6,59356.7,25577.9,45837.5,,24457.6,29177.0,92838.8,13169.0,-3519.0,,16203.1,-10343.0,,17319.0,35975.6,20439.7,-13339.1,6920.5,,-14459.4,-9740.0,53921.8,True,,False,True,,False,False,False,False,True,,False,True,False
South Carolina,164991,117378.0,148827.0,,130372.2,120167.0,,131520.0,173165.9,179092.2,85185.9,159044.0,,113080.0,116332.0,161914.2,-47613.0,-16164.0,,-34618.8,-44824.0,,-33471.0,8174.9,14101.2,-79805.1,-5947.0,,-51911.0,-48659.0,-3076.8,True,,True,True,,True,True,True,False,True,,False,False,True
South Dakota,16556,30618.0,18363.0,,28469.7,16470.0,,33721.0,32202.0,13875.1,13195.1,19113.0,,36298.1,16073.0,20978.8,14062.0,1807.0,,11913.7,-86.0,,17165.0,15646.0,-2680.9,-3360.9,2557.0,,19742.1,-483.0,4422.8,True,,True,True,,False,False,True,True,True,,False,True,True
Tennessee,262923,272586.0,227258.0,,292422.9,163602.0,,308231.0,343550.0,298069.9,146588.7,380271.0,,239767.5,253620.0,366669.6,9663.0,-35665.0,,29499.9,-99321.0,,45308.0,80627.0,35146.9,-116334.3,117348.0,,-23155.5,-9303.0,103746.6,False,,False,False,,False,False,False,False,False,,False,True,False
Texas,768197,534510.0,580327.0,,544653.4,661486.0,,656113.0,843697.2,822237.5,605266.6,492296.5,,480411.9,372267.0,633291.4,-233687.0,-187870.0,,-223543.6,-106711.0,,-112084.0,75500.2,54040.5,-162930.4,-275900.5,,-287785.1,-395930.0,-134905.6,True,,True,True,,True,True,True,True,False,,False,False,True
Utah,103068,113862.0,70261.0,,127317.6,148766.0,,145159.0,155242.6,59096.3,59710.6,96960.5,,71092.6,79190.0,90166.5,10794.0,-32807.0,,24249.6,45698.0,,42091.0,52174.6,-43971.7,-43357.4,-6107.5,,-31975.4,-23878.0,-12901.5,False,,False,False,,False,False,False,False,True,,False,False,False
Vermont,5282,4392.0,5445.0,,5292.5,23585.0,,6590.0,6389.2,7968.1,3944.2,4712.5,,6939.3,4019.0,6125.9,-890.0,163.0,,10.5,18303.0,,1308.0,1107.2,2686.1,-1337.8,-569.5,,1657.3,-1263.0,843.9,True,,True,False,,False,False,False,False,True,,False,False,True
Virginia,190040,164652.0,231542.0,,174393.1,117487.0,,162714.0,232549.2,263170.9,150057.0,182254.5,,151731.5,151887.0,204145.0,-25388.0,41502.0,,-15646.9,-72553.0,,-27326.0,42509.2,73130.9,-39983.0,-7785.5,,-38308.5,-38153.0,14105.0,False,,True,False,,False,False,False,False,True,,False,False,True
Washington,91481,143652.0,205131.0,,151284.3,221040.0,,112870.0,235706.6,140943.6,149832.5,112434.5,,222971.9,109470.0,,52171.0,113650.0,,59803.3,129559.0,,21389.0,144225.6,49462.6,58351.5,20953.5,,131490.9,17989.0,,False,,False,False,,True,False,True,False,True,,False,True,
West Virginia,52601,51474.0,51174.0,,53678.5,90317.0,,54130.0,76832.4,60794.8,26534.8,49862.0,,69618.2,42420.0,64517.9,-1127.0,-1427.0,,1077.5,37716.0,,1529.0,24231.4,8193.8,-26066.2,-2739.0,,17017.2,-10181.0,11916.9,False,,True,False,,False,False,False,False,False,,False,False,False
Wisconsin,114012,168438.0,131142.0,,161117.4,65154.0,,175298.0,180244.5,63944.6,94996.7,139401.0,,137777.5,102967.0,85242.8,54426.0,17130.0,,47105.4,-48858.0,,61286.0,66232.5,-50067.4,-19015.3,25389.0,,23765.5,-11045.0,-28769.2,True,,True,True,,False,False,True,True,True,,True,True,True
Wyoming,11676,17796.0,11968.0,,15769.0,19138.0,,21115.0,19545.9,7841.4,6173.4,10472.0,,14036.5,13308.0,9654.4,6120.0,292.0,,4093.0,7462.0,,9439.0,7869.9,-3834.6,-5502.6,-1204.0,,2360.5,1632.0,-2021.6,True,,True,False,,False,False,True,True,True,,True,True,True
US,8796566,8885886.0,8736526.0,14449624.0,10697968.0,10255099.0,9518190.0,9203903.0,13603205.6,12487741.3,7281074.0,10723209.5,9787465.0,7728828.5,6962010.0,,89320.0,-60040.0,5653058.0,1901402.0,1458533.0,721624.0,407337.0,4806639.6,3691175.3,-1515492.0,1926643.5,990899.0,-1067737.5,-1834556.0,,True,False,False,False,False,False,False,False,False,False,False,False,False,
