,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,177036,169002.0,171766.7,170095.0,171951.0,202114.0,,170876.4,114151.0,160099.7,114404.9,,209100.4,165766.0,159053.1,180970.0,97849.4,124274.0,255152.1,185707.0,181869.2,185192.3,209276.0,179680.0,,175062.4,125948.2,,163202.7,221053.4,112070.6,163184.0,219028.8,,-8034.0,-5269.3,-6941.0,-5085.0,25078.0,,-6159.6,-62885.0,-16936.3,-62631.1,,32064.4,-11270.0,-17982.9,3934.0,-79186.6,-52762.0,78116.1,8671.0,4833.2,8156.3,32240.0,2644.0,,-1973.6,-51087.8,,-13833.3,44017.4,-64965.4,-13852.0,41992.8,,True,True,True,False,,True,False,False,False,,False,False,False,True,False,False,False,False,True,False,False,True,,True,False,,False,False,False,False,False,
Hawaii,3055,2775.0,2969.1,2776.9,2839.0,16310.0,,2537.2,991.0,3775.3,2789.2,,3209.8,,2813.2,2603.0,6754.1,2758.0,2631.4,2886.5,2876.8,3808.2,3379.0,4570.0,,2779.1,2404.1,,2040.8,3953.9,4416.7,2354.0,2962.0,2278.9,-280.0,-85.9,-278.1,-216.0,13255.0,,-517.8,-2064.0,720.3,-265.8,,154.8,,-241.8,-452.0,3699.1,-297.0,-423.6,-168.5,-178.2,753.2,324.0,1515.0,,-275.9,-650.9,,-1014.2,898.9,1361.7,-701.0,-93.0,-776.1,True,True,True,False,,False,False,False,True,,True,,True,False,False,False,False,True,True,False,False,False,,True,False,,False,False,False,False,True,False
Idaho,17126,19236.0,25126.6,19697.7,15709.0,22741.0,,17205.4,10994.0,16133.1,18942.7,,10181.2,18643.0,11720.5,17596.0,13932.9,11764.5,13291.7,12597.5,13394.9,17734.5,17824.0,14806.0,,9613.7,16657.0,,16520.4,25355.7,23950.1,17097.0,21466.8,10948.1,2110.0,8000.6,2571.7,-1417.0,5615.0,,79.4,-6132.0,-992.9,1816.7,,-6944.8,1517.0,-5405.5,470.0,-3193.1,-5361.5,-3834.3,-4528.5,-3731.1,608.5,698.0,-2320.0,,-7512.3,-469.0,,-605.6,8229.7,6824.1,-29.0,4340.8,-6177.9,False,False,True,False,,True,False,True,True,,False,True,False,True,False,False,False,False,False,True,True,False,,False,True,,True,False,False,True,False,False
Illinois,123175,123630.0,139525.7,122191.8,104800.0,191369.0,,104224.4,33719.0,78132.6,120259.9,,81759.6,110902.0,101640.3,110701.0,77420.5,78542.0,91076.3,95387.0,109698.0,104804.4,104864.0,124291.0,,99991.5,46607.5,,103111.1,120281.6,116789.8,103763.0,128653.7,,455.0,16350.7,-983.2,-18375.0,68194.0,,-18950.6,-89456.0,-45042.4,-2915.1,,-41415.4,-12273.0,-21534.7,-12474.0,-45754.5,-44633.0,-32098.7,-27788.0,-13477.0,-18370.6,-18311.0,1116.0,,-23183.5,-76567.5,,-20063.9,-2893.4,-6385.2,-19412.0,5478.7,,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,
Indiana,85429,93207.0,113245.3,91863.2,80660.0,116893.0,,86215.2,54471.0,69217.4,104769.3,,67852.7,83726.0,75623.1,84477.0,57054.8,65088.5,94145.0,62704.5,80660.1,78750.3,91363.0,77221.0,,74372.0,52273.2,,99398.4,124765.6,70562.1,84984.0,116627.7,60636.1,7778.0,27816.3,6434.2,-4769.0,31464.0,,786.2,-30958.0,-16211.6,19340.3,,-17576.3,-1703.0,-9805.9,-952.0,-28374.2,-20340.5,8716.0,-22724.5,-4768.9,-6678.7,5934.0,-8208.0,,-11057.0,-33155.8,,13969.4,39336.6,-14866.9,-445.0,31198.7,-24792.9,False,True,True,False,,True,False,False,False,,False,True,False,True,False,False,False,False,True,True,True,False,,False,False,,False,False,False,True,False,False
Iowa,28727,27306.0,33024.7,27478.4,22509.0,24646.0,,24182.1,17300.0,18090.2,21048.8,,18857.5,27134.0,20087.7,24675.0,19807.4,13702.0,22351.6,18145.0,24202.5,24071.9,23112.0,38934.0,,22698.0,7879.9,,15893.0,35235.4,21446.9,20869.0,28665.8,17622.9,-1421.0,4297.7,-1248.6,-6218.0,-4081.0,,-4544.9,-11427.0,-10636.8,-7678.2,,-9869.5,-1593.0,-8639.3,-4052.0,-8919.6,-15025.0,-6375.4,-10582.0,-4524.5,-4655.1,-5615.0,10207.0,,-6029.0,-20847.1,,-12834.0,6508.4,-7280.1,-7858.0,-61.2,-11104.1,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,True,False
Kansas,38957,51975.0,46583.6,48299.4,40374.0,105839.0,,40220.1,46552.0,10484.1,37446.3,,36073.3,35777.0,80919.2,,24939.8,23248.0,31672.9,10086.0,42007.9,39886.9,46868.0,50658.0,,28310.1,18271.5,,56151.1,49997.9,46428.3,36644.0,43647.1,28933.6,13018.0,7626.6,9342.4,1417.0,66882.0,,1263.1,7595.0,-28472.9,-1510.7,,-2883.7,-3180.0,41962.2,,-14017.2,-15709.0,-7284.1,-28871.0,3050.9,929.9,7911.0,11701.0,,-10646.9,-20685.5,,17194.1,11040.9,7471.3,-2313.0,4690.1,-10023.4,True,True,True,False,,True,True,False,True,,True,True,False,,False,False,True,False,True,True,True,True,,True,False,,False,True,True,True,True,True
Kentucky,70597,55224.0,63744.2,56761.1,52172.0,100443.0,,44730.5,21804.0,38936.3,60399.5,,49597.8,53728.0,67597.5,51420.0,36497.2,36916.0,48887.9,67286.5,48713.5,55311.7,53998.0,52273.0,,51312.0,37370.3,,46736.8,59989.1,52250.6,52828.0,65901.8,29697.6,-15373.0,-6852.8,-13835.9,-18425.0,29846.0,,-25866.5,-48793.0,-31660.7,-10197.5,,-20999.2,-16869.0,-2999.5,-19177.0,-34099.8,-33681.0,-21709.1,-3310.5,-21883.5,-15285.3,-16599.0,-18324.0,,-19285.0,-33226.7,,-23860.2,-10607.9,-18346.4,-17769.0,-4695.2,-40899.4,True,True,False,False,,False,False,False,True,,False,False,True,False,False,False,False,True,False,True,False,False,,False,False,,False,True,False,False,True,False
Louisiana,64980,56328.0,53553.6,58930.2,54183.0,159882.0,,53673.6,51379.0,678614.2,38362.5,,57955.8,53370.0,78612.1,65541.0,35520.7,44960.0,52860.9,50402.5,49056.9,64834.3,54843.0,61521.0,,45631.1,58157.8,,58578.2,57496.3,45257.6,34039.0,54418.0,43721.0,-8652.0,-11426.4,-6049.8,-10797.0,94902.0,,-11306.4,-13601.0,613634.2,-26617.5,,-7024.2,-11610.0,13632.1,561.0,-29459.3,-20020.0,-12119.1,-14577.5,-15923.1,-145.7,-10137.0,-3459.0,,-19348.9,-6822.2,,-6401.8,-7483.7,-19722.4,-30941.0,-10562.0,-21259.0,False,True,False,False,,False,False,False,False,,True,False,False,True,False,False,False,False,False,True,False,True,,False,True,,True,True,False,False,False,False
Maine,11353,11094.0,8645.7,11252.7,11424.0,15834.0,,11563.2,10188.0,8919.0,10054.4,,11611.7,9874.0,13230.3,12668.0,13971.2,9597.0,18279.6,10302.5,10712.9,13841.6,15719.0,10211.0,,11135.2,14498.5,,9133.0,15028.3,13181.6,13787.0,12163.3,11810.8,-259.0,-2707.3,-100.3,71.0,4481.0,,210.2,-1165.0,-2434.0,-1298.6,,258.7,-1479.0,1877.3,1315.0,2618.2,-1756.0,6926.6,-1050.5,-640.1,2488.6,4366.0,-1142.0,,-217.8,3145.5,,-2220.0,3675.3,1828.6,2434.0,810.3,457.8,False,True,True,False,,True,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,,True,False,,False,False,False,False,False,False
Maryland,56136,53193.0,52198.2,54824.0,52292.0,74604.0,,51084.2,36270.0,45205.4,54347.6,,52186.6,52447.0,61922.8,52853.0,44645.2,50015.0,52327.3,55160.5,58071.3,52013.8,57362.0,48100.0,,46088.0,75320.3,,53531.0,80261.2,56101.5,52291.0,63311.5,34069.8,-2943.0,-3937.8,-1312.0,-3844.0,18468.0,,-5051.8,-19866.0,-10930.6,-1788.4,,-3949.4,-3689.0,5786.8,-3283.0,-11490.8,-6121.0,-3808.7,-975.5,1935.3,-4122.2,1226.0,-8036.0,,-10048.0,19184.3,,-2605.0,24125.2,-34.5,-3845.0,7175.5,-22066.2,False,True,False,False,,False,False,False,True,,False,False,False,False,False,False,False,True,True,False,True,False,,False,False,,True,False,True,False,False,False
Massachusetts,111912,103737.0,102762.3,103401.6,100573.0,163046.0,,101143.6,74798.0,52520.5,79188.5,,92322.5,106048.0,121186.1,100772.0,69237.6,70285.0,186113.8,95069.0,88486.4,104496.7,77590.0,91885.0,,81661.9,122195.6,,118542.4,161825.7,96584.0,112722.0,114125.8,74120.6,-8175.0,-9149.7,-8510.4,-11339.0,51134.0,,-10768.4,-37114.0,-59391.5,-32723.5,,-19589.5,-5864.0,9274.1,-11140.0,-42674.4,-41627.0,74201.8,-16843.0,-23425.6,-7415.3,-34322.0,-20027.0,,-30250.1,10283.6,,6630.4,49913.7,-15328.0,810.0,2213.8,-37791.4,False,False,False,False,,False,False,False,False,,False,True,False,False,False,False,False,False,False,True,False,False,,False,False,,True,False,False,True,True,False
Michigan,58625,65385.0,80371.4,61979.6,53797.0,109228.0,,51950.2,38196.0,147294.9,65788.2,,36567.4,60749.0,67514.9,59094.0,68841.7,45545.5,42225.2,56454.5,53689.0,49748.4,62138.0,58403.0,,31477.9,30911.8,,107965.0,50989.3,42953.7,51698.0,73837.8,30732.1,6760.0,21746.4,3354.6,-4828.0,50603.0,,-6674.8,-20429.0,88669.9,7163.2,,-22057.6,2124.0,8889.9,469.0,10216.7,-13079.5,-16399.8,-2170.5,-4936.0,-8876.6,3513.0,-222.0,,-27147.1,-27713.2,,49340.0,-7635.7,-15671.3,-6927.0,15212.8,-27892.9,False,True,True,False,,True,False,False,False,,False,True,False,True,False,False,False,True,True,False,True,True,,False,False,,False,False,False,False,False,False
Minnesota,35976,33861.0,56351.2,35770.2,29937.0,56728.0,,28753.9,42488.0,22879.4,25497.3,,17261.2,34664.0,26721.9,19261.0,30931.1,14957.0,19174.5,35968.5,28882.3,36349.1,26032.0,36561.0,,13162.4,17738.2,,33044.3,20517.3,12552.1,30809.0,34596.1,17423.6,-2115.0,20375.2,-205.8,-6039.0,20752.0,,-7222.1,6512.0,-13096.6,-10478.7,,-18714.8,-1312.0,-9254.1,-16715.0,-5044.9,-21019.0,-16801.5,-7.5,-7093.7,373.1,-9944.0,585.0,,-22813.6,-18237.8,,-2931.7,-15458.7,-23423.9,-5167.0,-1379.9,-18552.4,False,True,False,False,,False,False,False,False,,False,True,False,False,False,False,False,True,False,True,False,True,,False,False,,False,False,False,False,True,False
Mississippi,42746,45762.0,43073.5,45229.0,43799.0,59144.0,,41386.1,51987.0,45201.0,36853.1,,43653.1,43721.0,46495.4,45125.0,27537.6,37769.5,56210.8,40995.5,42553.6,44066.2,46785.0,42925.0,,43638.2,28125.9,,35421.5,63916.3,44005.3,41574.0,52629.2,36438.6,3016.0,327.5,2483.0,1053.0,16398.0,,-1359.9,9241.0,2455.0,-5892.9,,907.1,975.0,3749.4,2379.0,-15208.4,-4976.5,13464.8,-1750.5,-192.4,1320.2,4039.0,179.0,,892.2,-14620.1,,-7324.5,21170.3,1259.3,-1172.0,9883.2,-6307.4,True,True,True,False,,True,False,True,False,,True,True,False,True,False,False,False,True,True,True,False,True,,True,False,,False,False,True,True,False,False
Missouri,51064,59517.0,72947.5,59801.6,56211.0,81116.0,,50965.0,37546.0,50321.8,48416.2,,56043.2,58041.0,50029.1,58636.0,38205.1,46119.0,44066.7,46155.0,64671.8,56167.6,57233.0,64863.0,,48876.1,27700.4,,60051.2,91736.1,64348.5,50509.0,59339.6,,8453.0,21883.5,8737.6,5147.0,30052.0,,-99.0,-13518.0,-742.2,-2647.8,,4979.2,6977.0,-1034.9,7572.0,-12858.9,-4945.0,-6997.3,-4909.0,13607.8,5103.6,6169.0,13799.0,,-2187.9,-23363.6,,8987.2,40672.1,13284.5,-555.0,8275.6,,False,False,True,False,,True,False,True,True,,True,True,True,True,False,True,True,True,False,True,True,False,,True,False,,False,False,False,True,True,
Montana,9466,7533.0,13061.2,7308.8,5954.0,5590.0,,7009.9,2878.0,6590.5,5512.8,,4436.0,8449.0,7531.5,7917.0,5464.7,3785.5,5820.7,4220.5,4968.2,8125.4,6762.0,7351.0,,4048.9,7696.6,,6172.8,5011.1,4431.5,5486.0,7626.5,4588.5,-1933.0,3595.2,-2157.2,-3512.0,-3876.0,,-2456.1,-6588.0,-2875.5,-3953.2,,-5030.0,-1017.0,-1934.5,-1549.0,-4001.3,-5680.5,-3645.3,-5245.5,-4497.8,-1340.6,-2704.0,-2115.0,,-5417.1,-1769.4,,-3293.2,-4454.9,-5034.5,-3980.0,-1839.5,-4877.5,False,False,False,False,,False,False,False,False,,False,True,False,True,False,False,False,False,False,True,False,False,,False,True,,False,False,False,False,True,False
Nebraska,18592,20775.0,24679.2,20697.6,17506.0,32427.0,,17459.0,6902.0,13002.6,19320.8,,12698.7,17127.0,18317.2,21117.0,14871.2,11153.0,11468.7,13497.0,17735.9,17653.8,17572.0,24074.0,,15201.5,19306.4,,28349.4,20230.2,17461.8,18221.0,23093.6,11580.1,2183.0,6087.2,2105.6,-1086.0,13835.0,,-1133.0,-11690.0,-5589.4,728.8,,-5893.3,-1465.0,-274.8,2525.0,-3720.8,-7439.0,-7123.3,-5095.0,-856.1,-938.2,-1020.0,5482.0,,-3390.5,714.4,,9757.4,1638.2,-1130.2,-371.0,4501.6,-7011.9,False,True,True,False,,True,False,False,True,,False,True,True,False,False,False,False,False,True,True,True,False,,False,True,,False,True,True,True,False,False
Nevada,40842,39654.0,44478.6,39473.3,37270.0,36127.0,,37150.4,27043.0,45876.3,40067.9,,31759.9,41063.0,33823.6,38865.0,24436.4,31615.0,30948.0,31418.5,37080.3,37399.7,37814.0,35609.0,,35136.1,34808.0,,39474.2,59002.2,35033.6,39302.0,45592.4,,-1188.0,3636.6,-1368.7,-3572.0,-4715.0,,-3691.6,-13799.0,5034.3,-774.1,,-9082.1,221.0,-7018.4,-1977.0,-16405.6,-9227.0,-9894.0,-9423.5,-3761.7,-3442.3,-3028.0,-5233.0,,-5705.9,-6034.0,,-1367.8,18160.2,-5808.4,-1540.0,4750.4,,False,False,False,False,,False,False,False,True,,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,
