,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01021,206,436.0,,443.5,,443.0,544.0,,,,,492.6,494.9,,,539.0,596.1,200.8,287.0,,422.0,473.6,,,512.0,478.0,427.6,,,,,,306.5,440.3,,,,392.9,267.8,230.0,,237.5,,237.0,338.0,,,,,286.6,288.9,,,333.0,390.1,-5.2,81.0,,216.0,267.6,,,306.0,272.0,221.6,,,,,,100.5,234.3,,,,186.9,61.8,,False,,False,False,,,,,False,False,,,False,False,True,True,,True,False,,,False,False,True,,,,,,True,False,,,,True,True
01023,19,16.0,,15.4,,20.0,8.0,,,,,66.9,36.6,,,133.0,3.4,31.8,,,14.0,20.2,,,7.0,68.0,38.7,,,,,,,122.9,,,,22.9,32.7,-3.0,,-3.6,,1.0,-11.0,,,,,47.9,17.6,,,114.0,-15.6,12.8,,,-5.0,1.2,,,-12.0,49.0,19.7,,,,,,,103.9,,,,3.9,13.7,,False,,True,False,,,,,False,False,,,False,False,False,,,False,True,,,False,False,False,,,,,,,False,,,,False,False
01025,361,362.0,,356.4,,333.0,407.0,,,,,412.7,446.5,,,244.0,250.6,167.2,,,354.0,389.1,,,437.0,346.0,475.4,,,,,,294.3,358.7,,,,227.8,259.6,1.0,,-4.6,,-28.0,46.0,,,,,51.7,85.5,,,-117.0,-110.4,-193.8,,,-7.0,28.1,,,76.0,-15.0,114.4,,,,,,-66.7,-2.3,,,,-133.2,-101.4,,False,,False,False,,,,,False,False,,,False,False,False,,,False,False,,,False,False,False,,,,,,False,False,,,,False,False
01027,76,130.0,,131.5,,131.0,147.0,,,,,182.7,165.1,,,157.0,83.9,59.3,,,106.0,152.1,,,133.0,143.0,130.7,,,,,,,171.7,,,,168.1,86.3,54.0,,55.5,,55.0,71.0,,,,,106.7,89.1,,,81.0,7.9,-16.7,,,30.0,76.1,,,57.0,67.0,54.7,,,,,,,95.7,,,,92.1,10.3,,False,,False,False,,,,,False,False,,,False,True,True,,,True,False,,,False,False,False,,,,,,,False,,,,False,True
01029,99,142.0,,134.2,,120.0,87.0,,,,,161.0,174.5,,,195.0,87.8,58.2,,,105.5,133.6,,,164.0,160.0,126.0,,,,,,,209.8,,,,197.1,93.7,43.0,,35.2,,21.0,-12.0,,,,,62.0,75.5,,,96.0,-11.2,-40.8,,,6.5,34.6,,,65.0,61.0,27.0,,,,,,,110.8,,,,98.1,-5.3,,True,,True,True,,,,,False,False,,,False,True,True,,,True,True,,,False,False,True,,,,,,,False,,,,False,True
01031,501,856.0,,874.5,,690.0,1415.0,,,,,666.3,916.8,,,549.0,639.5,277.4,601.0,,681.0,863.4,,,963.0,799.0,666.9,,,,,,734.8,837.0,,,,1302.4,548.0,355.0,,373.5,,189.0,914.0,,,,,165.3,415.8,,,48.0,138.5,-223.6,100.0,,180.0,362.4,,,462.0,298.0,165.9,,,,,,233.8,336.0,,,,801.4,47.0,,False,,True,False,,,,,True,False,,,True,True,True,True,,True,False,,,False,True,True,,,,,,True,True,,,,False,True
01033,432,648.0,,653.1,,639.0,679.0,,,,,736.6,908.0,,,782.0,440.2,341.3,471.0,,598.5,683.7,,,702.0,681.0,609.4,,,,,,463.9,729.4,,,,748.9,402.9,216.0,,221.1,,207.0,247.0,,,,,304.6,476.0,,,350.0,8.2,-90.7,39.0,,166.5,251.7,,,270.0,249.0,177.4,,,,,,31.9,297.4,,,,316.9,-29.1,,False,,True,False,,,,,False,False,,,False,True,True,True,,True,False,,,False,False,True,,,,,,True,False,,,,False,True
01035,73,80.0,,82.8,,81.0,93.0,,,,,132.5,126.4,,,101.0,164.0,42.6,,,51.0,77.6,,,125.0,106.0,70.1,,,,,,,142.0,,,,81.9,48.4,7.0,,9.8,,8.0,20.0,,,,,59.5,53.4,,,28.0,91.0,-30.4,,,-22.0,4.6,,,52.0,33.0,-2.9,,,,,,,69.0,,,,8.9,-24.6,,False,,False,False,,,,,False,False,,,False,False,False,,,False,True,,,False,False,True,,,,,,,False,,,,False,False
01037,56,110.0,,104.5,,104.0,160.0,,,,,88.5,110.9,,,94.0,198.5,37.6,,,137.0,95.0,,,138.0,113.0,72.8,,,,,,,169.8,,,,110.9,48.6,54.0,,48.5,,48.0,104.0,,,,,32.5,54.9,,,38.0,142.5,-18.4,,,81.0,39.0,,,82.0,57.0,16.8,,,,,,,113.8,,,,54.9,-7.4,,True,,True,False,,,,,True,False,,,True,False,True,,,False,True,,,False,False,True,,,,,,,False,,,,False,True
01039,240,394.0,,427.7,,388.0,663.0,,,,,478.9,480.5,,,409.0,372.1,164.9,246.0,,537.0,366.8,,,445.0,432.0,324.3,,,,,,295.3,454.5,,,,404.5,248.0,154.0,,187.7,,148.0,423.0,,,,,238.9,240.5,,,169.0,132.1,-75.1,6.0,,297.0,126.8,,,205.0,192.0,84.3,,,,,,55.3,214.5,,,,164.5,8.0,,False,,True,False,,,,,False,False,,,False,True,True,True,,False,True,,,False,False,True,,,,,,True,False,,,,False,True
01041,118,312.0,,341.7,,225.0,354.0,,,,,170.8,243.4,,,141.0,153.6,98.8,,,228.0,252.4,,,321.0,231.0,137.6,,,,,,,311.0,,,,468.2,179.7,194.0,,223.7,,107.0,236.0,,,,,52.8,125.4,,,23.0,35.6,-19.2,,,110.0,134.4,,,203.0,113.0,19.6,,,,,,,193.0,,,,350.2,61.7,,False,,True,False,,,,,True,True,,,True,True,True,,,True,True,,,False,True,True,,,,,,,True,,,,False,True
01043,591,848.0,,886.7,,848.0,547.0,,,,,1087.4,1190.8,,,1333.0,692.1,572.3,556.5,,650.0,919.0,,,953.0,921.0,1001.1,,,,,,758.5,840.8,,,,896.0,666.7,257.0,,295.7,,257.0,-44.0,,,,,496.4,599.8,,,742.0,101.1,-18.7,-34.5,,59.0,328.0,,,362.0,330.0,410.1,,,,,,167.5,249.8,,,,305.0,75.7,,False,,False,True,,,,,False,False,,,False,True,True,True,,True,False,,,False,False,False,,,,,,True,True,,,,False,True
01045,409,566.0,,573.1,,566.0,844.0,,,,,595.7,682.3,,,540.0,510.4,309.2,423.0,,828.0,643.7,,,686.0,592.0,457.1,,,,,,414.3,560.7,,,,687.5,352.4,157.0,,164.1,,157.0,435.0,,,,,186.7,273.3,,,131.0,101.4,-99.8,14.0,,419.0,234.7,,,277.0,183.0,48.1,,,,,,5.3,151.7,,,,278.5,-56.6,,False,,False,False,,,,,False,False,,,True,True,True,True,,False,False,,,False,False,True,,,,,,True,True,,,,False,True
01047,215,178.0,,176.4,,193.0,158.0,,,,,396.0,265.3,,,352.0,371.4,173.2,150.0,,161.0,196.9,,,243.0,287.0,224.5,,,,,,178.7,258.3,,,,268.8,168.2,-37.0,,-38.6,,-22.0,-57.0,,,,,181.0,50.3,,,137.0,156.4,-41.8,-65.0,,-54.0,-18.1,,,28.0,72.0,9.5,,,,,,-36.3,43.3,,,,53.8,-46.8,,False,,True,False,,,,,False,False,,,False,False,False,False,,False,True,,,True,False,True,,,,,,True,False,,,,False,False
01049,519,696.0,,724.2,,663.0,706.0,,,,,1026.4,995.2,,,1179.0,318.9,434.0,452.5,,540.0,703.5,,,721.0,769.0,712.4,,,,,,565.6,615.0,,,,540.9,552.0,177.0,,205.2,,144.0,187.0,,,,,507.4,476.2,,,660.0,-200.1,-85.0,-66.5,,21.0,184.5,,,202.0,250.0,193.4,,,,,,46.6,96.0,,,,21.9,33.0,,False,,True,False,,,,,False,False,,,False,False,True,True,,True,False,,,False,False,False,,,,,,True,True,,,,True,True
01051,849,1418.0,,1425.8,,1336.0,1620.0,,,,,1278.8,1513.6,,,828.0,1488.6,727.2,852.0,,1076.0,1335.7,,,1680.0,1394.0,926.7,,,,,,1157.1,1113.6,,,,1576.0,1027.2,569.0,,576.8,,487.0,771.0,,,,,429.8,664.6,,,-21.0,639.6,-121.8,3.0,,227.0,486.7,,,831.0,545.0,77.7,,,,,,308.1,264.6,,,,727.0,178.2,,False,,True,False,,,,,True,False,,,True,False,True,True,,True,True,,,False,True,True,,,,,,True,True,,,,False,True
01053,392,480.0,,468.5,,435.0,253.0,,,,,493.9,544.7,,,403.0,439.0,217.2,300.0,,463.0,480.0,,,593.0,481.0,313.1,,,,,,410.8,422.6,,,,495.1,314.2,88.0,,76.5,,43.0,-139.0,,,,,101.9,152.7,,,11.0,47.0,-174.8,-92.0,,71.0,88.0,,,201.0,89.0,-78.9,,,,,,18.8,30.6,,,,103.1,-77.8,,True,,True,False,,,,,False,False,,,True,True,False,False,,True,False,,,False,False,True,,,,,,True,True,,,,False,True
01055,1012,1586.0,,1658.3,,1466.0,2123.0,,,,,1707.2,2016.1,,,1466.0,654.1,813.5,832.5,,982.0,1656.6,,,1646.0,1573.0,939.6,,,,,,1256.7,1733.8,,,,1728.4,1114.4,574.0,,646.3,,454.0,1111.0,,,,,695.2,1004.1,,,454.0,-357.9,-198.5,-179.5,,-30.0,644.6,,,634.0,561.0,-72.4,,,,,,244.7,721.8,,,,716.4,102.4,,False,,True,False,,,,,False,False,,,True,True,True,True,,True,False,,,False,True,True,,,,,,True,False,,,,False,True
01057,217,210.0,,209.8,,201.0,154.0,,,,,236.9,272.1,,,219.0,78.9,97.0,,,242.0,215.8,,,211.0,202.0,188.9,,,,,,,236.6,,,,173.7,130.5,-7.0,,-7.2,,-16.0,-63.0,,,,,19.9,55.1,,,2.0,-138.1,-120.0,,,25.0,-1.2,,,-6.0,-15.0,-28.1,,,,,,,19.6,,,,-43.3,-86.5,,False,,False,False,,,,,False,False,,,True,False,False,,,False,True,,,True,False,False,,,,,,,False,,,,False,False
01059,227,394.0,,405.0,,332.0,327.0,,,,,478.1,520.5,,,553.0,299.2,180.8,284.0,,301.5,416.3,,,439.0,415.0,301.3,,,,,,276.1,429.8,,,,335.4,212.0,167.0,,178.0,,105.0,100.0,,,,,251.1,293.5,,,326.0,72.2,-46.2,57.0,,74.5,189.3,,,212.0,188.0,74.3,,,,,,49.1,202.8,,,,108.4,-15.0,,False,,True,True,,,,,False,False,,,False,True,True,True,,True,False,,,False,False,True,,,,,,True,False,,,,True,True
01061,220,324.0,,319.0,,328.0,416.0,,,,,288.8,363.8,,,328.0,329.9,147.4,,,416.0,359.3,,,385.0,344.0,241.3,,,,,,,336.9,,,,312.4,195.3,104.0,,99.0,,108.0,196.0,,,,,68.8,143.8,,,108.0,109.9,-72.6,,,196.0,139.3,,,165.0,124.0,21.3,,,,,,,116.9,,,,92.4,-24.7,,True,,False,False,,,,,True,False,,,False,False,True,,,False,False,,,False,False,True,,,,,,,False,,,,True,True
01063,53,88.0,,91.0,,86.0,78.0,,,,,123.8,94.3,,,63.0,90.2,58.3,,,56.0,95.9,,,114.0,99.0,74.5,,,,,,,154.5,,,,104.7,54.1,35.0,,38.0,,33.0,25.0,,,,,70.8,41.3,,,10.0,37.2,5.3,,,3.0,42.9,,,61.0,46.0,21.5,,,,,,,101.5,,,,51.7,1.1,,False,,True,True,,,,,False,False,,,True,False,True,,,True,False,,,False,False,True,,,,,,,False,,,,False,True
01065,193,328.0,,340.0,,253.0,248.0,,,,,276.9,356.2,,,162.0,129.9,124.7,,,241.0,280.3,,,256.0,265.0,214.3,,,,,,,356.7,,,,594.9,187.4,135.0,,147.0,,60.0,55.0,,,,,83.9,163.2,,,-31.0,-63.1,-68.3,,,48.0,87.3,,,63.0,72.0,21.3,,,,,,,163.7,,,,401.9,-5.6,,False,,True,True,,,,,True,False,,,True,True,True,,,True,True,,,True,True,True,,,,,,,False,,,,False,True
01067,171,280.0,,276.9,,258.0,203.0,,,,,222.6,285.9,,,178.0,295.0,130.1,,,314.0,257.8,,,361.0,268.0,188.1,,,,,,,348.0,,,,220.5,175.1,109.0,,105.9,,87.0,32.0,,,,,51.6,114.9,,,7.0,124.0,-40.9,,,143.0,86.8,,,190.0,97.0,17.1,,,,,,,177.0,,,,49.5,4.1,,True,,True,True,,,,,True,False,,,True,False,True,,,False,True,,,False,True,True,,,,,,,False,,,,True,True
01069,876,1316.0,,1396.1,,1316.0,1772.0,,,,,1300.5,1544.9,,,1044.0,1780.7,558.6,920.5,,1428.0,1319.3,,,1603.0,1457.0,1100.2,,,,,,1251.2,1114.6,,,,1536.3,860.9,440.0,,520.1,,440.0,896.0,,,,,424.5,668.9,,,168.0,904.7,-317.4,44.5,,552.0,443.3,,,727.0,581.0,224.2,,,,,,375.2,238.6,,,,660.3,-15.1,,False,,False,False,,,,,True,False,,,True,False,True,True,,False,False,,,False,False,True,,,,,,True,True,,,,False,True
01071,424,700.0,,669.1,,694.0,981.0,,,,,824.6,908.9,,,806.0,758.3,322.9,276.0,,603.0,761.0,,,752.0,706.0,660.2,,,,,,489.5,664.0,,,,649.6,471.3,276.0,,245.1,,270.0,557.0,,,,,400.6,484.9,,,382.0,334.3,-101.1,-148.0,,179.0,337.0,,,328.0,282.0,236.2,,,,,,65.5,240.0,,,,225.6,47.3,,True,,True,False,,,,,False,False,,,False,False,True,True,,True,False,,,False,False,True,,,,,,True,True,,,,True,True
01073,6043,9546.0,,9545.8,7817.1,8942.0,14142.0,,,,,9488.2,11152.6,,9437.2,8048.0,7617.4,5527.1,7149.0,,9232.0,9981.0,,,10333.0,9261.0,7379.4,,,,,,6831.4,10378.9,8876.0,,,11754.0,5590.0,3503.0,,3502.8,1774.1,2899.0,8099.0,,,,,3445.2,5109.6,,3394.2,2005.0,1574.4,-515.9,1106.0,,3189.0,3938.0,,,4290.0,3218.0,1336.4,,,,,,788.4,4335.9,2833.0,,,5711.0,-453.0,,True,True,True,False,,,,,True,False,,True,True,True,True,True,,True,False,,,False,True,True,,,,,,True,False,True,,,False,True
01075,69,126.0,,123.0,,125.0,92.0,,,,,173.2,159.3,,,153.0,71.3,76.2,,,117.0,128.3,,,135.0,143.0,139.0,,,,,,,160.7,,,,131.6,90.7,57.0,,54.0,,56.0,23.0,,,,,104.2,90.3,,,84.0,2.3,7.2,,,48.0,59.3,,,66.0,74.0,70.0,,,,,,,91.7,,,,62.6,21.7,,True,,True,True,,,,,False,False,,,False,True,True,,,True,False,,,False,False,False,,,,,,,False,,,,False,True
01077,698,1072.0,,1085.9,,889.0,758.0,,,,,1098.2,1440.7,,,1313.0,771.3,603.2,855.5,,842.0,1084.9,,,1186.0,1147.0,839.6,,,,,,725.7,809.0,,,,1280.4,764.5,374.0,,387.9,,191.0,60.0,,,,,400.2,742.7,,,615.0,73.3,-94.8,157.5,,144.0,386.9,,,488.0,449.0,141.6,,,,,,27.7,111.0,,,,582.4,66.5,,False,,True,True,,,,,False,False,,,False,True,True,True,,True,False,,,False,False,True,,,,,,True,True,,,,False,True
01079,218,426.0,,426.1,,404.0,466.0,,,,,382.1,533.4,,,519.0,236.0,203.2,302.0,,321.0,444.7,,,489.0,413.0,332.3,,,,,,336.6,393.6,,,,404.7,255.8,208.0,,208.1,,186.0,248.0,,,,,164.1,315.4,,,301.0,18.0,-14.8,84.0,,103.0,226.7,,,271.0,195.0,114.3,,,,,,118.6,175.6,,,,186.7,37.8,,False,,True,False,,,,,True,False,,,False,True,True,True,,True,False,,,False,True,True,,,,,,True,True,,,,True,True
01081,1639,1980.0,,1940.3,,1980.0,3395.0,,,,,1900.1,2139.4,,2323.0,1533.0,1608.0,888.8,1404.0,,2517.5,2081.5,,,2335.0,2032.0,1591.8,,,,,,1716.5,2040.9,2358.0,,,2610.9,1588.0,341.0,,301.3,,341.0,1756.0,,,,,261.1,500.4,,684.0,-106.0,-31.0,-750.2,-235.0,,878.5,442.5,,,696.0,393.0,-47.2,,,,,,77.5,401.9,719.0,,,971.9,-51.0,,True,,False,False,,,,,True,False,,False,True,True,False,True,,False,False,,,False,False,True,,,,,,True,False,False,,,False,True
01083,772,1112.0,,1038.3,,1073.0,1372.0,,,,,1193.5,1470.7,,,1186.0,642.2,619.3,874.5,,1011.0,1206.8,,,1235.0,1160.0,1097.4,,,,,,964.2,912.6,,,,980.5,809.5,340.0,,266.3,,301.0,600.0,,,,,421.5,698.7,,,414.0,-129.8,-152.7,102.5,,239.0,434.8,,,463.0,388.0,325.4,,,,,,192.2,140.6,,,,208.5,37.5,,True,,True,False,,,,,False,False,,,False,True,True,True,,True,False,,,False,False,True,,,,,,True,True,,,,True,True
