,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt
Louisiana,97821,91215.0,93411.0,,92266.0,97941.0,,91987.0,107226.1,62514.0,78658.9,124449.1,63107.0,,,81125.7,58881.0,118062.7,-6606.0,-4410.0,,-5555.0,120.0,,-5834.0,9405.1,-35307.0,-19162.1,26628.1,-34714.0,,,-16695.3,-38940.0,20241.7,True,,True,True,,True,False,False,False,False,False,,,False,False,False
Maine,17860,15590.0,16745.0,,17746.2,11846.0,,16416.0,30422.1,42030.1,20932.3,33746.4,20052.0,,,18171.2,17171.0,45272.0,-2270.0,-1115.0,,-113.8,-6014.0,,-1444.0,12562.1,24170.1,3072.3,15886.4,2192.0,,,311.2,-689.0,27412.0,True,,True,False,,True,False,False,False,False,True,,,True,True,False
Maryland,90553,83725.0,57768.0,,93287.4,84453.0,,87830.0,114005.5,73911.7,93868.1,85504.1,68437.0,,,99948.9,61506.0,148923.0,-6828.0,-32785.0,,2734.4,-6100.0,,-2723.0,23452.5,-16641.3,3315.1,-5048.9,-22116.0,,,9395.9,-29047.0,58370.0,False,,True,True,,True,False,False,True,True,False,,,False,False,False
Massachusetts,176823,167725.0,134152.0,,190973.3,114635.0,,183726.0,287578.5,161015.5,147499.8,337310.1,139708.5,,,130449.1,128385.0,490606.1,-9098.0,-42671.0,,14150.3,-62188.0,,6903.0,110755.5,-15807.5,-29323.2,160487.1,-37114.5,,,-46373.9,-48438.0,313783.1,False,,False,False,,True,False,False,False,False,False,,,False,False,False
Michigan,100690,154485.0,99883.0,,127982.7,54578.0,,154300.0,175840.2,51300.3,141721.6,114989.3,105042.0,,,255750.7,86258.0,130934.0,53795.0,-807.0,,27292.7,-46112.0,,53610.0,75150.2,-49389.7,41031.6,14299.3,4352.0,,,155060.7,-14432.0,30244.0,True,,True,True,,True,False,True,True,True,True,,,False,True,True
Minnesota,59173,96185.0,48453.0,,94869.9,43832.0,,116325.0,117682.1,24924.7,62623.6,59018.3,48115.0,,,77714.7,51469.0,82412.2,37012.0,-10720.0,,35696.9,-15341.0,,57152.0,58509.1,-34248.3,3450.6,-154.7,-11058.0,,,18541.7,-7704.0,23239.2,True,,True,True,,False,False,True,True,True,True,,,True,True,True
Mississippi,70912,70820.0,49793.0,,81341.3,76970.0,,79324.0,107268.2,79005.6,49479.0,109593.6,78039.5,,,72580.5,59130.0,165491.6,-92.0,-21119.0,,10429.3,6058.0,,8412.0,36356.2,8093.6,-21433.0,38681.6,7127.5,,,1668.5,-11782.0,94579.6,False,,False,False,,False,False,False,False,False,False,,,False,False,False
Missouri,88794,110765.0,92241.0,,105137.4,50653.0,,100997.0,151177.2,82232.3,81572.9,87599.4,83286.0,,,98248.9,86271.0,,21971.0,3447.0,,16343.4,-38141.0,,12203.0,62383.2,-6561.7,-7221.1,-1194.6,-5508.0,,,9454.9,-2523.0,,True,,True,False,,True,False,True,True,True,True,,,True,True,
Montana,14791,19875.0,11676.0,,18452.6,9812.0,,24837.0,21728.8,8758.4,13787.7,13273.4,16068.5,,,11889.9,11997.0,16691.8,5084.0,-3115.0,,3661.6,-4979.0,,10046.0,6937.8,-6032.6,-1003.3,-1517.6,1277.5,,,-2901.1,-2794.0,1900.8,True,,True,True,,False,False,False,True,True,True,,,True,True,True
Nebraska,31439,38635.0,25945.0,,34619.6,9676.0,,37622.0,39567.6,14813.1,35515.4,24741.8,24473.5,,,13619.6,19948.0,28934.7,7196.0,-5494.0,,3180.6,-21763.0,,6183.0,8128.6,-16625.9,4076.4,-6697.2,-6965.5,,,-17819.4,-11491.0,-2504.3,True,,True,False,,True,False,False,True,True,True,,,False,False,True
Nevada,67855,89545.0,70532.0,,89254.8,52657.0,,87067.0,115791.8,64877.6,60003.3,92483.4,70004.0,,,96068.1,63229.0,,21690.0,2677.0,,21399.8,-15198.0,,19212.0,47936.8,-2977.4,-7851.7,24628.4,2149.0,,,28213.1,-4626.0,,True,,True,True,,True,False,True,True,False,True,,,False,True,
New Hampshire,25967,26825.0,18799.0,,31696.6,25269.0,,33195.0,50056.0,40423.2,27881.8,75354.4,24788.5,,,35113.8,19542.0,108313.8,858.0,-7168.0,,5729.6,-698.0,,7228.0,24089.0,14456.2,1914.8,49387.4,-1178.5,,,9146.8,-6425.0,82346.8,False,,False,True,,False,False,False,False,False,False,,,False,False,False
New Jersey,186452,154605.0,119956.0,,135087.6,102278.0,,146571.0,196730.8,115181.9,194532.9,167221.0,131190.5,,,154693.9,121944.0,234765.8,-31847.0,-66496.0,,-51364.4,-84174.0,,-39881.0,10278.8,-71270.1,8080.9,-19231.0,-55261.5,,,-31758.1,-64508.0,48313.8,False,,False,False,,False,True,False,True,True,False,,,True,False,False
New Mexico,39649,52860.0,38294.0,,47792.8,20781.0,,53805.0,50615.4,32140.3,21390.9,38597.9,33159.0,,,28394.7,37218.0,38706.5,13211.0,-1355.0,,8143.8,-18868.0,,14156.0,10966.4,-7508.7,-18258.1,-1051.1,-6490.0,,,-11254.3,-2431.0,-942.5,True,,True,False,,False,True,True,False,True,True,,,True,True,True
New York,475534,366530.0,338565.0,,413130.6,383075.0,,344384.0,579249.4,654218.6,530410.7,778879.4,354951.5,,,664864.7,305860.0,653920.5,-109004.0,-136969.0,,-62403.4,-92459.0,,-131150.0,103715.4,178684.6,54876.7,303345.4,-120582.5,,,189330.7,-169674.0,178386.5,False,,True,True,,False,True,False,True,False,False,,,False,False,False
North Carolina,240448,212460.0,198070.0,,228474.2,245659.0,,231567.0,336458.4,262084.8,163388.3,348803.3,240557.5,,,253776.4,200632.0,485939.7,-27988.0,-42378.0,,-11973.8,5211.0,,-8881.0,96010.4,21636.8,-77059.7,108355.3,109.5,,,13328.4,-39816.0,245491.7,False,,True,True,,True,False,True,False,False,True,,,True,False,False
North Dakota,6936,10970.0,4937.0,,12145.3,6768.0,,20169.0,10981.4,5126.7,11526.5,7263.0,4023.0,,,4350.2,6066.0,9922.7,4034.0,-1999.0,,5209.3,-168.0,,13233.0,4045.4,-1809.3,4590.5,327.0,-2913.0,,,-2585.8,-870.0,2986.7,True,,False,True,,False,False,True,False,True,True,,,True,True,True
Ohio,245412,304840.0,233902.0,,326561.8,286342.0,,336160.0,413007.5,213291.1,231714.7,368120.7,280627.5,,,277091.7,217887.0,545338.6,59428.0,-11510.0,,81149.8,40930.0,,90748.0,167595.5,-32120.9,-13697.3,122708.7,35215.5,,,31679.7,-27525.0,299926.6,True,,False,True,,False,False,True,True,False,True,,,True,True,False
Oklahoma,114281,112660.0,92914.0,,118397.2,68005.0,,124472.0,134172.1,80412.8,67750.3,105344.5,117301.0,,,96222.0,96150.0,106185.7,-1621.0,-21367.0,,4116.2,-46276.0,,10191.0,19891.1,-33868.2,-46530.7,-8936.5,3020.0,,,-18059.0,-18131.0,-8095.3,False,,False,False,,False,False,False,False,False,False,,,False,False,False
Oregon,35786,44875.0,41730.0,,45127.8,46214.0,,42650.0,61298.8,25408.3,59682.7,43551.4,39621.5,,,35962.9,32973.0,51718.5,9089.0,5944.0,,9341.8,10428.0,,6864.0,25512.8,-10377.7,23896.7,7765.4,3835.5,,,176.9,-2813.0,15932.5,True,,False,False,,True,False,False,False,True,True,,,True,True,False
Pennsylvania,250690,337825.0,243695.0,,360831.4,301743.0,,354103.0,541489.5,440490.5,280149.7,481287.4,277582.5,,,211806.0,238506.0,726375.6,87135.0,-6995.0,,110141.4,51053.0,,103413.0,290799.5,189800.5,29459.7,230597.4,26892.5,,,-38884.0,-12184.0,475685.6,True,,False,True,,False,False,False,True,False,True,,,True,True,False
Rhode Island,31923,34970.0,27415.0,,36047.5,22858.0,,35757.0,52367.9,21586.6,27234.6,32576.9,26670.5,,,31068.7,13985.0,83349.2,3047.0,-4508.0,,4124.5,-9065.0,,3834.0,20444.9,-10336.4,-4688.4,653.9,-5252.5,,,-854.3,-17938.0,51426.2,False,,False,False,,False,False,False,False,True,False,,,True,False,False
South Carolina,143252,108695.0,106785.0,,118417.3,51374.0,,111568.0,175824.0,145088.8,70561.9,196972.4,126411.5,,,101023.0,78474.0,268692.1,-34557.0,-36467.0,,-24834.7,-91878.0,,-31684.0,32572.0,1836.8,-72690.1,53720.4,-16840.5,,,-42229.0,-64778.0,125440.1,False,,True,False,,True,True,True,False,False,True,,,False,False,False
South Dakota,12627,19645.0,11265.0,,18475.9,3736.0,,22752.0,21969.9,8293.5,11792.0,12647.3,10265.5,,,27927.6,12314.0,15213.8,7018.0,-1362.0,,5848.9,-8891.0,,10125.0,9342.9,-4333.5,-835.0,20.3,-2361.5,,,15300.6,-313.0,2586.8,True,,True,False,,False,False,True,True,True,True,,,False,True,True
Tennessee,202225,303490.0,233129.0,,330448.5,235109.0,,336534.0,416405.6,714622.4,137088.9,344394.9,479201.0,,,310948.6,350372.0,731269.4,101265.0,30904.0,,128223.5,32884.0,,134309.0,214180.6,512397.4,-65136.1,142169.9,276976.0,,,108723.6,148147.0,529044.4,True,,False,True,,False,False,False,True,False,False,,,False,False,False
Texas,657306,556770.0,775824.0,,591328.6,435332.0,,588598.0,813850.5,571051.5,533244.8,651871.8,512402.5,,,525117.3,442050.0,414894.5,-100536.0,118518.0,,-65977.4,-221974.0,,-68708.0,156544.5,-86254.5,-124061.2,-5434.2,-144903.5,,,-132188.7,-215256.0,-242411.5,False,,True,False,,True,False,True,False,True,False,,,False,False,False
Utah,85919,85745.0,44010.0,,93323.7,31767.0,,95971.0,116983.5,36305.3,52432.0,74314.4,63947.5,,,62486.7,65183.0,95291.8,-174.0,-41909.0,,7404.7,-54152.0,,10052.0,31064.5,-49613.7,-33487.0,-11604.6,-21971.5,,,-23432.3,-20736.0,9372.8,False,,False,False,,False,False,False,False,False,False,,,False,False,False
Vermont,4565,3585.0,3060.0,,3622.7,3402.0,,4137.0,4928.1,4034.1,6829.6,13586.1,3431.5,,,8953.6,2525.0,7239.2,-980.0,-1505.0,,-942.3,-1163.0,,-428.0,363.1,-530.9,2264.6,9021.1,-1133.5,,,4388.6,-2040.0,2674.2,False,,True,False,,True,True,True,False,False,False,,,False,False,False
Virginia,165683,121785.0,116299.0,,132502.2,133764.0,,119220.0,205482.8,206249.0,137284.9,210530.5,135117.5,,,110140.1,102518.0,249093.7,-43898.0,-49384.0,,-33180.8,-31919.0,,-46463.0,39799.8,40566.0,-28398.1,44847.5,-30565.5,,,-55542.9,-63165.0,83410.7,False,,True,True,,False,True,True,True,False,True,,,False,False,False
Washington,77598,69415.0,43320.0,,43042.2,49942.0,,84773.0,113355.1,37659.9,79787.0,76701.7,72827.0,,,65328.7,34907.0,,-8183.0,-34278.0,,-34555.8,-27656.0,,7175.0,35757.1,-39938.1,2189.0,-896.3,-4771.0,,,-12269.3,-42691.0,,False,,False,False,,True,False,False,True,True,True,,,False,False,
West Virginia,43537,45320.0,43930.0,,47434.1,24910.0,,43842.0,64614.8,45646.2,31958.1,48500.1,45536.0,,,52719.6,37326.0,69988.2,1783.0,393.0,,3897.1,-18627.0,,305.0,21077.8,2109.2,-11578.9,4963.1,1999.0,,,9182.6,-6211.0,26451.2,True,,False,False,,True,False,False,False,False,False,,,False,False,False
Wisconsin,89324,123440.0,104037.0,,113291.2,16341.0,,115808.0,167941.2,56746.9,83375.2,79521.0,90664.0,,,102331.3,80837.0,98350.4,34116.0,14713.0,,23967.2,-72983.0,,26484.0,78617.2,-32577.1,-5948.8,-9803.0,1340.0,,,13007.3,-8487.0,9026.4,True,,True,False,,True,False,True,True,True,True,,,True,True,True
Wyoming,9095,12905.0,7479.0,,10397.5,6090.0,,13770.0,12752.6,4251.1,7093.3,5489.1,5667.5,,,10086.2,6456.0,7220.8,3810.0,-1616.0,,1302.5,-3005.0,,4675.0,3657.6,-4843.9,-2001.7,-3605.9,-3427.5,,,991.2,-2639.0,-1874.2,True,,True,True,,False,True,False,True,True,True,,,True,True,True
US,7279332,7561860.0,6727010.0,12921368.0,7867380.1,7127420.0,7522227.0,7586452.0,11254444.6,9013113.9,6259375.6,11246497.5,6200560.0,7172490.0,7764610.0,6448181.2,6183977.0,,282528.0,-552322.0,5642036.0,588048.1,-151912.0,242895.0,307120.0,3975112.6,1733781.9,-1019956.4,3967165.5,-1078772.0,-106842.0,485278.0,-831150.8,-1095355.0,,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,
