,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Mississippi,26155,33182.0,31247.7,33209.3,33611.0,36439.0,,30216.6,26911.0,44131.8,36883.2,,39715.2,34418.0,36432.0,29962.0,18400.7,31723.5,37723.3,38243.5,40238.4,29842.3,33111.7,36463.0,30012.0,,39445.1,,19965.3,,30067.1,37755.3,37407.7,33867.2,28089.0,38579.9,,7027.0,5092.7,7054.3,7456.0,10284.0,,4061.6,756.0,17976.8,10728.2,,13560.2,8263.0,10277.0,3807.0,-7754.3,5568.5,11568.3,12088.5,14083.4,3687.3,6956.7,10308.0,3857.0,,13290.1,,-6189.7,,3912.1,11600.3,11252.7,7712.2,1934.0,12424.9,,True,False,False,False,,True,True,False,False,,False,False,False,True,False,True,False,False,False,True,True,False,True,,False,,True,,True,False,False,False,True,False,
Missouri,38857,43276.0,47796.6,42842.2,43469.0,49870.0,,39411.2,22402.0,53306.4,52302.5,,49321.6,49624.0,35549.0,42905.0,24648.5,37640.5,31137.1,38008.5,53936.5,44157.4,43665.6,44482.0,45661.0,,45972.9,,25314.0,,44339.6,36920.0,50716.8,47339.3,40644.0,45440.5,,4419.0,8939.6,3985.2,4612.0,11013.0,,554.2,-16455.0,14449.4,13445.5,,10464.6,10767.0,-3308.0,4048.0,-14208.5,-1216.5,-7719.9,-848.5,15079.5,5300.4,4808.6,5625.0,6804.0,,7115.9,,-13543.0,,5482.6,-1937.0,11859.8,8482.3,1787.0,6583.5,,False,True,False,False,,True,False,False,False,,False,False,True,True,False,True,False,True,False,False,False,False,False,,False,,False,,False,True,False,False,True,False,
Montana,5308,8316.0,8831.8,8209.8,7238.0,8809.0,,6095.8,2112.0,8209.1,7463.6,,7028.0,7634.0,5343.5,9273.0,3502.3,5755.5,4091.8,4147.5,7978.3,6196.7,8013.5,7845.0,9181.0,,7576.7,,4437.7,,6843.7,1707.3,13135.0,9037.2,6171.0,6776.5,,3008.0,3523.8,2901.8,1930.0,3501.0,,787.8,-3196.0,2901.1,2155.6,,1720.0,2326.0,35.5,3965.0,-1805.7,447.5,-1216.2,-1160.5,2670.3,888.7,2705.5,2537.0,3873.0,,2268.7,,-870.3,,1535.7,-3600.7,7827.0,3729.2,863.0,1468.5,,False,True,True,False,,True,False,True,True,,True,True,True,False,True,True,True,True,True,True,True,True,False,,True,,True,,True,False,False,False,True,True,
Nebraska,11234,14716.0,16937.3,14598.1,13426.0,13157.0,,13177.0,2671.0,12545.6,17028.6,,13459.2,15323.0,12394.6,15360.0,10313.9,12154.0,8361.8,10329.0,14814.5,10879.2,15381.1,14160.0,14899.0,,13500.0,,11324.5,,17492.1,9307.6,19187.7,14555.8,13169.0,13209.6,,3482.0,5703.3,3364.1,2192.0,1923.0,,1943.0,-8563.0,1311.6,5794.6,,2225.2,4089.0,1160.6,4126.0,-920.1,920.0,-2872.2,-905.0,3580.5,-354.8,4147.1,2926.0,3665.0,,2266.0,,90.5,,6258.1,-1926.4,7953.7,3321.8,1935.0,1975.6,,False,True,True,True,,True,False,True,False,,True,False,True,False,True,True,True,True,False,True,False,True,False,,True,,True,,False,True,False,True,True,True,
Nevada,23404,34876.0,32015.3,35414.7,32593.0,57215.0,,29883.2,17379.0,43694.1,34248.0,,36334.2,33048.0,25671.1,35140.0,15338.5,30898.5,27190.6,33508.5,35748.6,30112.3,31213.8,31668.0,32465.0,,32651.9,,21266.6,,36769.6,27565.0,33785.8,35766.1,30959.0,31815.9,,11472.0,8611.3,12010.7,9189.0,33811.0,,6479.2,-6025.0,20290.1,10844.0,,12930.2,9644.0,2267.1,11736.0,-8065.5,7494.5,3786.6,10104.5,12344.6,6708.3,7809.8,8264.0,9061.0,,9247.9,,-2137.4,,13365.6,4161.0,10381.8,12362.1,7555.0,8411.9,,True,False,True,False,,True,True,False,True,,False,True,True,False,True,True,True,True,False,True,True,True,True,,True,,True,,False,True,True,False,True,True,
New Hampshire,9624,11330.0,11356.6,11526.8,11221.0,17850.0,,10518.2,6599.0,13337.1,11045.7,,11123.8,11135.0,17687.7,11784.0,8888.1,11246.5,9794.1,9113.5,9514.8,13671.2,11519.4,11765.0,9588.0,,11740.8,,18870.1,,9447.1,14263.4,11393.6,10544.1,11539.0,14630.9,,1706.0,1732.6,1902.8,1597.0,8226.0,,894.2,-3025.0,3713.1,1421.7,,1499.8,1511.0,8063.7,2160.0,-735.9,1622.5,170.1,-510.5,-109.2,4047.2,1895.4,2141.0,-36.0,,2116.8,,9246.1,,-176.9,4639.4,1769.6,920.1,1915.0,5006.9,,False,False,True,False,,True,False,False,True,,True,True,False,False,True,True,True,True,True,False,False,False,True,,False,,False,,True,False,False,True,False,False,
New Jersey,78286,76096.0,73059.4,76228.5,75962.0,108169.0,,77483.1,42986.0,89421.6,89081.0,,244081.4,71479.0,77168.2,75559.0,58519.1,73463.5,65261.6,77505.5,89739.8,76445.9,79749.9,68146.0,64571.0,,78634.6,,44686.7,,69367.7,80605.1,80919.5,83522.2,75519.0,86741.4,,-2190.0,-5226.6,-2057.5,-2324.0,29883.0,,-802.9,-35300.0,11135.6,10795.0,,165795.4,-6807.0,-1117.8,-2727.0,-19766.9,-4822.5,-13024.4,-780.5,11453.8,-1840.1,1463.9,-10140.0,-13715.0,,348.6,,-33599.3,,-8918.3,2319.1,2633.5,5236.2,-2767.0,8455.4,,False,True,False,False,,True,False,False,False,,False,False,True,False,False,False,False,True,False,True,True,False,False,,True,,False,,False,False,False,False,False,False,
New Mexico,13625,19150.0,20031.2,18702.4,18162.0,22679.0,,16932.2,4871.0,19856.1,20401.5,,19396.8,18640.0,17630.5,18614.0,9067.7,17835.0,12692.5,20087.0,21956.0,11785.2,18199.5,18553.0,16380.0,,18030.5,,10378.8,,17780.9,12417.4,25031.5,20630.9,17397.0,18724.3,,5525.0,6406.2,5077.4,4537.0,9054.0,,3307.2,-8754.0,6231.1,6776.5,,5771.8,5015.0,4005.5,4989.0,-4557.3,4210.0,-932.5,6462.0,8331.0,-1839.8,4574.5,4928.0,2755.0,,4405.5,,-3246.2,,4155.9,-1207.6,11406.5,7005.9,3772.0,5099.3,,False,True,True,False,,True,False,False,False,,False,True,True,True,True,True,True,False,False,True,True,True,True,,True,,True,,True,True,False,False,True,True,
New York,204028,215238.0,172773.1,217054.5,230384.0,277342.0,,216301.5,175243.0,259943.9,244847.4,,285720.6,206242.0,288218.1,,184762.6,197112.0,241572.2,261984.5,268519.8,190231.4,226560.1,244436.0,206765.0,,232032.6,,204840.2,,274861.2,223135.2,192046.2,280570.1,217211.0,287340.8,,11210.0,-31254.9,13026.5,26356.0,73314.0,,12273.5,-28785.0,55915.9,40819.4,,81692.6,2214.0,84190.1,,-19265.4,-6916.0,37544.2,57956.5,64491.8,-13796.6,22532.1,40408.0,2737.0,,28004.6,,812.2,,70833.2,19107.2,-11981.8,76542.1,13183.0,83312.8,,False,False,False,False,,False,False,False,False,,False,True,False,,False,True,False,False,False,False,False,False,True,,False,,True,,False,False,False,False,False,False,
North Carolina,98361,111836.0,112281.7,114265.3,119947.0,142742.0,,110407.6,86801.0,157952.5,130899.5,,153990.0,124801.0,130481.0,123593.0,67816.0,102024.5,126641.4,141332.5,127061.7,90469.8,116864.3,129952.0,106850.0,,137387.3,,61700.3,,109619.4,115749.9,108298.0,117246.3,124461.0,158764.2,,13475.0,13920.7,15904.3,21586.0,44381.0,,12046.6,-11560.0,59591.5,32538.5,,55629.0,26440.0,32120.0,25232.0,-30545.0,3663.5,28280.4,42971.5,28700.7,-7891.2,18503.3,31591.0,8489.0,,39026.3,,-36660.7,,11258.4,17388.9,9937.0,18885.3,26100.0,60403.2,,False,False,False,False,,True,True,False,False,,False,False,False,False,False,True,False,False,False,True,False,False,True,,False,,False,,True,False,True,False,False,False,
North Dakota,2162,3334.0,4874.0,3316.8,2870.0,2486.0,,3003.3,674.0,3030.4,3280.0,,2778.2,4497.0,2007.7,3744.0,2986.5,2734.5,1625.2,2372.0,3705.9,1414.4,3881.6,2796.0,4754.0,,2513.2,,1435.5,,4142.3,0.0,5645.3,2551.9,2637.0,3084.5,,1172.0,2712.0,1154.8,708.0,324.0,,841.3,-1488.0,868.4,1118.0,,616.2,2335.0,-154.3,1582.0,824.5,572.5,-536.8,210.0,1543.9,-747.6,1719.6,634.0,2592.0,,351.2,,-726.5,,1980.3,-2162.0,3483.3,389.9,475.0,922.5,,False,True,True,True,,True,False,True,True,,True,False,True,False,True,True,True,True,False,True,False,True,False,,True,,True,,False,False,False,True,True,True,
Ohio,88864,112608.0,125863.3,118347.8,111746.0,133672.0,,101102.4,47691.0,151494.1,116336.6,,113550.1,119430.0,98381.7,122205.0,58961.1,96094.0,91422.5,101600.5,112953.7,94805.5,108705.4,117576.0,99561.0,,108553.8,,59729.0,,111832.5,89077.2,114444.1,133604.6,113413.0,128513.7,,23744.0,36999.3,29483.8,22882.0,44808.0,,12238.4,-41173.0,62630.1,27472.6,,24686.1,30566.0,9517.7,33341.0,-29902.9,7230.0,2558.5,12736.5,24089.7,5941.5,19841.4,28712.0,10697.0,,19689.8,,-29135.0,,22968.5,213.2,25580.1,44740.6,24549.0,39649.7,,False,False,True,False,,True,False,False,False,,False,False,True,False,False,True,True,True,False,True,True,False,True,,True,,False,,True,True,False,False,False,False,
Oklahoma,45274,57640.0,53221.2,57531.9,55165.0,78847.0,,52409.9,31958.0,74647.2,61439.1,,71613.7,53017.0,54060.3,60059.0,23782.5,49465.0,39670.4,52626.0,65580.7,50639.5,56737.3,54643.0,54089.0,,63942.1,,25629.1,,54594.1,52410.2,60975.6,53472.8,46458.0,62104.5,,12366.0,7947.2,12257.9,9891.0,33573.0,,7135.9,-13316.0,29373.2,16165.1,,26339.7,7743.0,8786.3,14785.0,-21491.5,4191.0,-5603.6,7352.0,20306.7,5365.5,11463.3,9369.0,8815.0,,18668.1,,-19644.9,,9320.1,7136.2,15701.6,8198.8,1184.0,16830.5,,True,True,True,False,,True,False,False,False,,False,True,True,False,False,True,True,True,False,True,True,True,True,,False,,False,,True,True,False,True,True,False,
Oregon,13124,16256.0,17676.9,15331.8,16229.0,20457.0,,15138.6,9034.0,22386.7,18053.0,,17879.6,16967.0,17979.9,17094.0,13690.1,15592.5,13722.4,12638.0,17432.2,13526.2,18424.5,18907.0,13468.0,,17864.7,,20060.1,,15005.4,17368.3,20523.0,15719.2,15503.0,15870.5,,3132.0,4552.9,2207.8,3105.0,7333.0,,2014.6,-4090.0,9262.7,4929.0,,4755.6,3843.0,4855.9,3970.0,566.1,2468.5,598.4,-486.0,4308.2,402.2,5300.5,5783.0,344.0,,4740.7,,6936.1,,1881.4,4244.3,7399.0,2595.2,2379.0,2746.5,,False,True,True,False,,True,False,False,False,,False,False,False,False,True,True,True,True,False,True,False,False,True,,False,,False,,True,False,False,True,True,True,
Pennsylvania,86308,113394.0,113810.7,114485.3,112297.0,143189.0,,100088.2,61332.0,159423.0,119986.8,,108004.9,111090.0,90008.5,127695.0,73935.2,106077.5,91799.6,112745.5,127670.2,90463.4,106689.8,116401.0,94237.0,,113756.6,,146262.2,,120816.9,121933.0,110915.8,151729.9,111890.0,141457.0,,27086.0,27502.7,28177.3,25989.0,56881.0,,13780.2,-24976.0,73115.0,33678.8,,21696.9,24782.0,3700.5,41387.0,-12372.8,19769.5,5491.6,26437.5,41362.2,4155.4,20381.8,30093.0,7929.0,,27448.6,,59954.2,,34508.9,35625.0,24607.8,65421.9,25582.0,55149.0,,False,False,True,False,,True,True,False,False,,True,True,True,False,True,True,True,True,False,True,True,False,True,,False,,False,,False,False,True,False,True,False,
Rhode Island,12121,19330.0,14877.4,17705.5,14819.0,21584.0,,15738.0,5823.0,35385.8,18986.3,,18577.6,15428.0,14214.2,23311.0,7546.7,12505.0,12528.7,13969.5,15056.0,15116.8,16958.0,10814.0,17414.0,,14551.7,,9829.6,,15366.3,11311.4,12487.8,18157.0,8334.0,11641.5,,7209.0,2756.4,5584.5,2698.0,9463.0,,3617.0,-6298.0,23264.8,6865.3,,6456.6,3307.0,2093.2,11190.0,-4574.3,384.0,407.7,1848.5,2935.0,2995.8,4837.0,-1307.0,5293.0,,2430.7,,-2291.4,,3245.3,-809.6,366.8,6036.0,-3787.0,-479.5,,True,True,True,False,,True,True,False,True,,True,True,True,False,True,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,True,True,
South Carolina,63705,74732.0,58702.2,76671.6,73444.0,112835.0,,65992.3,92575.0,91272.7,54798.0,,84353.6,58999.0,72399.4,77912.0,29568.5,63216.0,88177.2,70683.0,67706.4,54334.7,67688.8,76335.0,73508.0,,75801.8,,63270.5,,71805.5,60297.6,77594.8,79810.7,68267.0,85528.6,,11027.0,-5002.8,12966.6,9739.0,49130.0,,2287.3,28870.0,27567.7,-8907.0,,20648.6,-4706.0,8694.4,14207.0,-34136.5,-489.0,24472.2,6978.0,4001.4,-9370.3,3983.8,12630.0,9803.0,,12096.8,,-434.5,,8100.5,-3407.4,13889.8,16105.7,4562.0,21823.6,,True,False,True,False,,True,False,False,True,,False,True,True,False,False,True,False,True,True,True,True,False,True,,False,,True,,True,True,False,False,True,False,
South Dakota,4062,6144.0,7089.6,6513.7,5573.0,4979.0,,5361.6,3751.0,6889.8,6341.2,,4981.2,5944.0,3265.1,6929.0,3517.1,5281.5,3446.7,4363.0,5784.5,2391.2,6521.9,5366.0,6815.0,,4489.6,,3575.9,,6448.4,2271.6,9588.4,5965.4,4959.0,6406.3,,2082.0,3027.6,2451.7,1511.0,917.0,,1299.6,-311.0,2827.8,2279.2,,919.2,1882.0,-796.9,2867.0,-544.9,1219.5,-615.3,301.0,1722.5,-1670.8,2459.9,1304.0,2753.0,,427.6,,-486.1,,2386.4,-1790.4,5526.4,1903.4,897.0,2344.3,,False,False,True,True,,True,True,False,False,,True,True,True,False,True,True,True,True,True,True,False,True,False,,True,,True,,False,True,False,True,True,False,
Tennessee,59426,84636.0,103322.1,85229.9,86518.0,95946.0,,89442.4,79461.0,120493.0,88226.0,,84986.0,107366.0,61885.5,97207.0,50545.0,87971.0,100934.7,67338.0,86566.8,83868.8,86822.9,90581.0,77092.0,,84908.4,,88766.4,,75638.3,123084.8,78825.2,86869.5,75999.0,115102.7,,25210.0,43896.1,25803.9,27092.0,36520.0,,30016.4,20035.0,61067.0,28800.0,,25560.0,47940.0,2459.5,37781.0,-8881.0,28545.0,41508.7,7912.0,27140.8,24442.8,27396.9,31155.0,17666.0,,25482.4,,29340.4,,16212.3,63658.8,19399.2,27443.5,16573.0,55676.7,,False,False,False,False,,False,True,False,False,,False,False,True,False,True,False,False,True,False,True,False,False,True,,False,,False,,True,False,True,False,True,False,
Texas,290558,301468.0,272878.8,312917.5,299328.0,428398.0,,288160.5,211062.0,353369.4,211234.9,,348380.7,292174.0,358435.3,434856.0,195419.9,236368.5,270115.5,257346.0,298023.1,263810.3,337045.3,314972.0,300103.0,,313596.0,,215730.7,,269969.9,297989.0,318585.1,315147.1,276246.0,318297.4,,10910.0,-17679.2,22359.5,8770.0,137840.0,,-2397.5,-79496.0,62811.4,-79323.1,,57822.7,1616.0,67877.3,144298.0,-95138.1,-54189.5,-20442.5,-33212.0,7465.1,-26747.7,46487.3,24414.0,9545.0,,23038.0,,-74827.3,,-20588.1,7431.0,28027.1,24589.1,-14312.0,27739.4,,False,False,True,False,,True,False,False,False,,False,True,False,False,False,False,False,False,True,False,False,False,True,,False,,False,,False,True,False,False,False,False,
Utah,31166,44138.0,43418.3,44982.2,41626.0,30615.0,,41646.0,36993.0,49535.0,47499.0,,51650.4,43335.0,34867.8,45077.0,16012.3,37732.0,29499.9,42291.5,45906.5,42432.3,40821.4,53896.0,40337.0,,51657.8,,19504.8,,38428.6,34984.6,33355.9,42860.6,40579.0,36703.0,,12972.0,12252.3,13816.2,10460.0,-551.0,,10480.0,5827.0,18369.0,16333.0,,20484.4,12169.0,3701.8,13911.0,-15153.7,6566.0,-1666.1,11125.5,14740.5,11266.3,9655.4,22730.0,9171.0,,20491.8,,-11661.2,,7262.6,3818.6,2189.9,11694.6,9413.0,5537.0,,True,False,True,True,,True,True,False,False,,False,True,True,False,False,True,True,True,False,True,True,False,True,,False,,True,,True,True,True,True,True,True,
Vermont,2118,2202.0,1489.4,2175.3,2374.0,3448.0,,1893.3,1319.0,2494.2,2582.4,,3285.9,2497.0,3255.0,2566.0,2199.0,1922.0,3321.8,3913.5,2609.2,2625.9,2868.8,2897.0,2114.0,,2550.1,,1079.0,,2352.2,1766.7,2898.5,1910.7,2444.0,2017.2,,84.0,-628.6,57.3,256.0,1330.0,,-224.7,-799.0,376.2,464.4,,1167.9,379.0,1137.0,448.0,81.0,-196.0,1203.8,1795.5,491.2,507.9,750.8,779.0,-4.0,,432.1,,-1039.0,,234.2,-351.3,780.5,-207.3,326.0,-100.8,,False,True,False,False,,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,True,,False,,False,,False,False,False,False,False,False,
Virginia,74940,69920.0,67456.3,70027.8,71567.0,84158.0,,67777.4,50718.0,80954.0,82198.7,,87969.6,69258.0,79086.4,69543.0,55167.0,66874.0,76565.9,70482.0,78206.6,65226.3,74368.1,81127.0,67177.0,,77760.3,,38602.9,,56064.9,76281.5,73869.6,76481.5,59696.0,76495.9,,-5020.0,-7483.7,-4912.2,-3373.0,9218.0,,-7162.6,-24222.0,6014.0,7258.7,,13029.6,-5682.0,4146.4,-5397.0,-19773.0,-8066.0,1625.9,-4458.0,3266.6,-9713.7,-571.9,6187.0,-7763.0,,2820.3,,-36337.1,,-18875.1,1341.5,-1070.4,1541.5,-15244.0,1555.9,,False,True,True,False,,False,False,False,False,,False,False,True,False,False,False,True,True,True,False,True,False,False,,True,,False,,False,True,True,True,False,True,
Washington,28603,49686.0,42456.4,46220.9,38357.0,42127.0,,42926.1,22958.0,32581.0,44285.3,,41700.7,35704.0,72853.5,45837.0,21158.6,29143.5,40276.2,30334.0,33995.7,49481.8,35813.7,39406.0,45417.0,,42064.8,,45094.8,,48284.1,19249.5,55152.4,34470.4,31805.0,38039.4,,21083.0,13853.4,17617.9,9754.0,13524.0,,14323.1,-5645.0,3978.0,15682.3,,13097.7,7101.0,44250.5,17234.0,-7444.4,540.5,11673.2,1731.0,5392.7,20878.8,7210.7,10803.0,16814.0,,13461.8,,16491.8,,19681.1,-9353.5,26549.4,5867.4,3202.0,9436.4,,True,True,True,True,,True,True,True,True,,True,True,False,True,True,True,True,True,True,True,True,True,True,,True,,True,,True,True,False,True,True,True,
West Virginia,14974,20902.0,20620.0,21082.2,21307.0,24644.0,,20663.1,15742.0,27057.9,29083.7,,25125.0,21460.0,25550.6,23160.0,12470.3,21813.0,20041.4,19036.0,21742.4,20749.6,21538.4,24665.0,18542.0,,21715.0,,14017.8,,20930.8,24228.3,21318.3,22836.6,20789.0,24444.3,,5928.0,5646.0,6108.2,6333.0,9670.0,,5689.1,768.0,12083.9,14109.7,,10151.0,6486.0,10576.6,8186.0,-2503.7,6839.0,5067.4,4062.0,6768.4,5775.6,6564.4,9691.0,3568.0,,6741.0,,-956.2,,5956.8,9254.3,6344.3,7862.6,5815.0,9470.3,,True,False,False,False,,True,True,False,False,,False,False,False,False,True,False,True,True,False,True,False,False,True,,False,,True,,False,False,False,False,True,False,
Wisconsin,31869,48964.0,49634.2,50348.9,46266.0,70212.0,,39135.5,10111.0,43767.7,44347.9,,46332.5,44494.0,25325.7,53742.0,22231.4,35766.5,25632.9,42567.0,53761.9,34073.3,46901.3,45088.0,53454.0,,47537.6,,13783.8,,49484.9,23894.3,48602.3,54129.4,38074.0,50834.8,,17095.0,17765.2,18479.9,14397.0,38343.0,,7266.5,-21758.0,11898.7,12478.9,,14463.5,12625.0,-6543.3,21873.0,-9637.6,3897.5,-6236.1,10698.0,21892.9,2204.3,15032.3,13219.0,21585.0,,15668.6,,-18085.2,,17615.9,-7974.7,16733.3,22260.4,6205.0,18965.8,,False,False,True,False,,True,False,True,True,,True,True,True,False,True,True,True,True,False,True,True,True,False,,True,,False,,False,True,True,False,True,False,
Wyoming,3864,4292.0,4832.0,4129.7,3767.0,3740.0,,3364.4,808.0,3564.7,4491.8,,2673.6,3772.0,4056.1,5191.0,1835.8,3195.5,1795.7,3173.0,3871.1,3867.0,3843.5,3911.0,4411.0,,3644.8,,2843.0,,5091.6,904.9,5783.6,5200.1,3233.0,4489.7,,428.0,968.0,265.7,-97.0,-124.0,,-499.6,-3056.0,-299.3,627.8,,-1190.4,-92.0,192.1,1327.0,-2028.2,-668.5,-2068.3,-691.0,7.1,3.0,-20.5,47.0,547.0,,-219.2,,-1021.0,,1227.6,-2959.1,1919.6,1336.1,-631.0,625.7,,False,True,True,True,,False,False,True,False,,False,True,True,False,False,False,False,False,True,True,True,True,False,,True,,False,,False,False,False,False,False,False,
US,2801729,3412200.0,3268198.7,3408488.0,3409591.0,4539321.0,3262149.0,3335873.9,3102710.0,4907570.0,,3773959.0,3872924.7,3159129.0,3465065.3,,2120686.9,,3188188.6,3299332.0,3641050.4,2777709.6,3351827.0,3569958.0,3314488.0,3292482.0,3248997.8,3643451.0,2650546.4,3661333.0,3660992.9,,3387736.8,4031676.7,3250980.0,4177836.0,1828788.8,610471.0,466469.7,606759.0,607862.0,1737592.0,460420.0,534144.9,300981.0,2105841.0,,972230.0,1071195.7,357400.0,663336.3,,-681042.1,,386459.6,497603.0,839321.4,-24019.4,550098.0,768229.0,512759.0,490753.0,447268.8,841722.0,-151182.6,859604.0,859263.9,,586007.8,1229947.7,449251.0,1376107.0,-972940.2,True,True,True,False,True,True,True,False,,False,False,True,False,,False,,True,True,False,True,True,False,True,True,True,False,True,False,False,,True,False,True,False,False
