,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,7393,7370.6,7591.3,7416.0,7533.9,7379.0,7110.0,7336.0,7098.3,7372.0,7391.5,7410.2,7213.1,,7220.6,7525.0,7412.4,7097.4,7257.3,7367.6,7210.4,7203.6,7674.9,7336.0,7688.7,,7240.3,7491.1,7191.0,,7477.5,6939.6,,7464.0,7456.0,7461.9,,7696.4,7371.0,7460.7,7346.9,7337.0,7396.0,7045.8,7255.2,7139.0,-22.4,198.3,23.0,140.9,-14.0,-283.0,-57.0,-294.7,-21.0,-1.5,17.2,-179.9,,-172.4,132.0,19.4,-295.6,-135.7,-25.4,-182.6,-189.4,281.9,-57.0,295.7,,-152.7,98.1,-202.0,,84.5,-453.4,,71.0,63.0,68.9,,303.4,-22.0,67.7,-46.1,-56.0,3.0,-347.2,-137.8,-254.0,False,False,False,True,False,False,False,True,True,True,False,,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,,False,True,False,False,False,True,False,False,False
Hawaii,168,180.0,197.9,180.0,189.0,167.0,143.0,132.0,138.4,148.0,193.0,,188.5,,137.0,,161.9,132.4,210.9,169.2,148.6,149.0,141.0,174.0,176.8,,136.6,173.0,159.0,,,126.4,,166.0,185.0,174.3,,189.7,153.0,172.7,142.4,153.0,219.0,145.7,172.7,,12.0,29.9,12.0,21.0,-1.0,-25.0,-36.0,-29.6,-20.0,25.0,,20.5,,-31.0,,-6.1,-35.6,42.9,1.2,-19.4,-19.0,-27.0,6.0,8.8,,-31.4,5.0,-9.0,,,-41.6,,-2.0,17.0,6.3,,21.7,-15.0,4.7,-25.6,-15.0,51.0,-22.3,4.7,,False,False,False,True,False,False,False,False,False,,False,,False,,True,False,False,True,False,False,False,True,True,,False,True,True,,,False,,True,False,True,,False,False,True,False,False,False,False,True,
Idaho,507,523.0,521.1,501.0,519.0,519.0,508.0,518.0,501.1,505.0,593.0,525.3,538.5,,495.4,555.0,516.5,492.6,569.9,505.9,510.8,507.8,855.5,534.0,547.0,,501.0,542.9,508.0,,,471.6,,523.0,570.0,513.3,,559.4,506.0,506.0,503.4,515.0,527.0,500.5,513.8,524.0,16.0,14.1,-6.0,12.0,12.0,1.0,11.0,-5.9,-2.0,86.0,18.3,31.5,,-11.6,48.0,9.5,-14.4,62.9,-1.1,3.8,0.8,348.5,27.0,40.0,,-6.0,35.9,1.0,,,-35.4,,16.0,63.0,6.3,,52.4,-1.0,-1.0,-3.6,8.0,20.0,-6.5,6.8,17.0,True,True,True,True,True,True,True,True,False,False,False,,True,False,True,True,False,True,True,True,False,False,False,,True,False,True,,,False,,False,False,True,,False,True,True,True,True,False,True,True,False
Illinois,9221,9100.3,9111.3,9098.0,9107.2,9100.0,9374.0,9057.0,9042.0,9116.0,9042.2,9079.6,8956.5,,8785.2,9103.0,9156.0,9455.2,9231.2,9150.0,9018.7,9090.9,8904.8,9090.0,9161.0,9237.5,9067.4,9064.6,9071.0,,9034.6,8922.7,,9131.0,9141.0,9061.5,,9173.3,9098.0,9427.8,10172.5,9091.0,8978.0,8682.7,9047.9,8720.0,-120.7,-109.7,-123.0,-113.8,-121.0,153.0,-164.0,-179.0,-105.0,-178.8,-141.4,-264.5,,-435.8,-118.0,-65.0,234.2,10.2,-71.0,-202.3,-130.1,-316.2,-131.0,-60.0,16.5,-153.6,-156.4,-150.0,,-186.4,-298.3,,-90.0,-80.0,-159.5,,-47.7,-123.0,206.8,951.5,-130.0,-243.0,-538.3,-173.1,-501.0,True,False,True,False,False,False,False,True,False,False,False,,False,True,True,False,True,True,False,False,False,False,True,True,False,False,False,,False,False,,True,True,False,,True,False,False,False,False,False,False,False,False
Indiana,3782,3700.3,3692.8,3712.0,3701.7,3700.0,3804.0,3698.0,3676.0,3779.0,3698.3,3712.8,3666.9,,3681.0,3758.0,3727.7,3933.7,3833.3,3714.3,3645.6,3686.7,3785.5,3725.0,3674.1,3694.0,3700.4,3695.9,3734.0,,3684.8,3632.1,,3718.0,3741.0,3680.3,,3686.4,3719.0,3851.9,4170.8,3702.0,3653.0,3424.4,3693.6,3561.0,-81.7,-89.2,-70.0,-80.3,-82.0,22.0,-84.0,-106.0,-3.0,-83.7,-69.2,-115.1,,-101.0,-24.0,-54.3,151.7,51.3,-67.7,-136.4,-95.3,3.5,-57.0,-107.9,-88.0,-81.6,-86.1,-48.0,,-97.2,-149.9,,-64.0,-41.0,-101.7,,-95.6,-63.0,69.9,388.8,-80.0,-129.0,-357.6,-88.4,-221.0,False,True,True,False,True,False,False,True,False,True,False,,False,True,True,False,True,True,False,False,True,True,False,False,True,False,True,,False,False,,True,True,False,,False,True,True,False,True,False,False,False,False
Iowa,1459,1393.6,1405.1,1386.0,1406.1,1413.0,1560.0,1352.0,1380.2,1472.0,1388.2,1387.9,1471.5,,1440.5,1471.0,1471.5,1441.5,1459.3,1472.6,1388.8,1374.2,1423.0,1452.0,1417.0,,1482.3,1414.4,1376.0,,1425.3,1306.5,,1432.0,1438.0,1406.5,,1429.3,1394.0,1424.0,1554.9,1369.0,1325.0,1353.0,1413.4,1377.0,-65.4,-53.9,-73.0,-52.9,-46.0,101.0,-107.0,-78.8,13.0,-70.8,-71.1,12.5,,-18.5,12.0,12.5,-17.5,0.3,13.6,-70.2,-84.8,-36.0,-7.0,-42.0,,23.3,-44.6,-83.0,,-33.7,-152.5,,-27.0,-21.0,-52.5,,-29.7,-65.0,-35.0,95.9,-90.0,-134.0,-106.0,-45.6,-82.0,True,False,True,True,False,False,False,True,False,False,True,,True,True,True,True,True,True,False,False,True,True,True,,True,True,False,,True,False,,True,True,True,,True,True,True,False,False,False,False,True,False
Kansas,773,786.4,801.9,750.0,798.0,732.0,755.0,738.0,757.0,698.0,740.1,765.6,751.5,,721.3,729.0,720.8,699.6,757.3,762.7,710.0,752.3,684.9,804.0,666.1,,661.4,757.8,838.0,,,641.7,,767.0,815.0,754.1,,678.4,712.0,703.0,711.7,751.0,773.0,651.2,706.5,723.0,14.4,29.9,-22.0,26.0,-40.0,-17.0,-34.0,-15.0,-74.0,-31.9,-6.4,-20.5,,-50.7,-43.0,-51.2,-72.4,-14.7,-9.3,-62.0,-19.7,-87.1,32.0,-105.9,,-110.6,-14.2,66.0,,,-130.3,,-5.0,43.0,-17.9,,-93.6,-60.0,-69.0,-60.3,-21.0,1.0,-120.8,-65.5,-49.0,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,True,False,False,False,False,False,,False,True,False,,,False,,True,False,False,,False,False,False,False,False,True,False,False,False
Kentucky,1249,1256.7,1252.9,1241.0,1261.0,1276.0,1312.0,1320.0,1260.9,1283.0,1295.3,1317.7,1312.9,,1275.2,1452.0,1305.0,1281.8,1349.4,1307.4,1246.5,1246.7,1252.3,1350.0,1278.0,1335.0,1201.9,1265.0,1329.0,,1269.4,1211.6,,1287.0,1325.0,1276.4,,1290.3,1209.0,1247.2,1357.1,1253.0,1272.0,1199.5,1264.5,1227.0,7.7,3.9,-8.0,12.0,27.0,63.0,71.0,11.9,34.0,46.3,68.7,63.9,,26.2,203.0,56.0,32.8,100.4,58.4,-2.5,-2.3,3.3,101.0,29.0,86.0,-47.1,16.0,80.0,,20.4,-37.4,,38.0,76.0,27.4,,41.3,-40.0,-1.8,108.1,4.0,23.0,-49.5,15.5,-22.0,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,True,False,True,False,False,False,False
Louisiana,5635,5748.0,5745.3,5713.0,5762.3,5699.0,5558.0,5790.0,5673.5,5635.0,5737.9,5773.4,5513.0,,5686.9,5802.0,5621.7,5601.1,5573.6,5641.1,5644.0,5612.8,6018.2,5670.0,5930.5,,5548.8,5653.8,5610.0,,5672.2,5677.4,,5761.0,5831.0,5820.8,,5942.8,5664.0,5874.2,5781.7,5675.0,5661.0,5490.8,5698.7,5458.0,113.0,110.3,78.0,127.3,64.0,-77.0,155.0,38.5,0.0,102.9,138.4,-122.0,,51.9,167.0,-13.3,-33.9,-61.4,6.1,9.0,-22.2,383.2,35.0,295.5,,-86.2,18.8,-25.0,,37.2,42.4,,126.0,196.0,185.8,,307.8,29.0,239.2,146.7,40.0,26.0,-144.2,63.7,-177.0,True,True,False,True,True,False,True,True,True,False,False,,True,False,True,True,True,True,True,True,False,True,False,,True,True,True,,True,True,,False,False,False,,False,True,False,False,True,True,False,True,False
Maine,143,147.6,149.3,149.0,151.0,149.0,140.0,147.0,143.0,142.0,151.9,149.4,146.0,,135.3,173.0,147.2,149.7,160.9,147.9,145.7,140.4,156.1,160.0,144.6,,141.2,149.5,143.0,,,143.5,,148.0,172.0,147.4,,156.9,147.0,154.6,156.1,149.0,151.0,144.3,146.1,,4.6,6.3,6.0,8.0,6.0,-3.0,4.0,-0.0,-1.0,8.9,6.4,3.0,,-7.7,30.0,4.2,6.7,17.9,4.9,2.7,-2.6,13.1,17.0,1.6,,-1.8,6.5,0.0,,,0.5,,5.0,29.0,4.4,,13.9,4.0,11.6,13.1,6.0,8.0,1.3,3.1,,False,False,False,False,True,True,True,True,False,False,True,,False,False,True,False,False,False,True,True,False,False,True,,True,False,True,,,True,,False,False,True,,False,True,False,False,False,False,True,True,
Maryland,3995,3996.1,4000.2,4005.0,3997.6,4005.0,4150.0,4054.0,3987.7,3898.0,4010.5,4032.7,4094.5,,4040.6,4032.0,4005.3,4131.8,4003.1,4007.9,3967.5,3963.6,3988.6,4008.0,3919.2,,4068.9,4012.8,4002.0,,3972.1,3940.8,,4005.0,4026.0,3977.7,,3931.6,3995.0,4207.8,4308.3,4006.0,4027.0,3954.7,3993.4,3967.0,1.1,5.2,10.0,2.6,10.0,155.0,59.0,-7.3,-97.0,15.5,37.7,99.5,,45.6,37.0,10.3,136.8,8.1,12.9,-27.5,-31.4,-6.4,13.0,-75.8,,73.9,17.8,7.0,,-22.9,-54.2,,10.0,31.0,-17.3,,-63.4,0.0,212.8,313.3,11.0,32.0,-40.3,-1.6,-28.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,,False,True,False,False,False,False,False,False,False
