,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
New York,33293,34201.4,32943.4,35167.0,,32979.5,33460.8,953.4,-304.6,1919.0,,-268.5,212.8,True,False,,True,True
North Carolina,3765,2794.9,3666.4,4570.0,,2848.0,3155.0,-970.1,-98.6,805.0,,-917.0,-610.0,True,True,,True,True
North Dakota,336,177.0,184.6,216.0,,127.0,171.0,-159.0,-151.4,-120.0,,-209.0,-165.0,True,True,,False,False
Ohio,4997,4948.0,5224.6,4916.0,,4731.6,5871.6,-49.0,227.6,-81.0,,-265.4,874.6,False,False,,False,False
Oklahoma,1095,730.6,1458.7,1976.0,,633.6,757.1,-364.4,363.7,881.0,,-461.4,-337.9,True,False,,False,True
Oregon,599,478.3,693.0,616.0,,369.0,784.7,-120.7,94.0,17.0,,-230.0,185.7,True,True,,False,False
Pennsylvania,8324,8845.4,8324.8,8468.0,,8679.1,8841.8,521.4,0.8,144.0,,355.1,517.8,True,True,,True,True
Rhode Island,1130,1181.7,1100.7,1180.0,,1104.8,1110.3,62.7,-18.3,61.0,,-14.2,-8.7,True,True,,True,True
South Carolina,3551,2773.9,3633.2,3014.0,,2173.5,3608.5,-777.1,82.2,-537.0,,-1377.5,57.5,True,True,,False,True
South Dakota,286,263.3,167.6,197.0,,141.7,201.2,-22.7,-118.4,-89.0,,-144.3,-84.8,False,False,,False,False
Tennessee,2758,1975.3,3052.6,3241.0,,1465.2,2888.0,-782.7,294.6,483.0,,-1292.8,130.0,True,True,,False,True
Texas,16943,10608.9,20943.8,18878.0,10274.0,9291.3,12445.8,-5811.1,4523.8,2458.0,-6146.0,-7128.7,-3974.2,True,True,False,False,True
Utah,510,613.6,1021.6,761.0,,530.2,851.2,103.6,511.6,251.0,,20.2,341.2,False,False,,True,False
Vermont,58,56.0,60.0,57.0,,57.6,72.6,-2.0,2.0,-1.0,,-0.4,14.6,False,True,,True,False
Virginia,3354,3418.9,2535.2,2760.0,,2602.4,3998.7,64.9,-818.8,-594.0,,-751.6,644.7,False,False,,False,False
Washington,2190,2453.7,2644.7,2237.0,,2071.0,2508.8,263.7,454.7,47.0,,-119.0,318.8,False,True,,True,False
West Virginia,387,121.7,445.9,184.0,,132.9,140.6,-265.3,58.9,-203.0,,-254.1,-246.4,True,True,,True,True
Wisconsin,1458,1128.6,1945.1,1286.0,,1130.8,1530.2,-329.4,487.1,-172.0,,-327.2,72.2,False,True,,True,True
Wyoming,54,33.9,103.6,45.0,,28.1,40.9,-20.1,49.6,-9.0,,-25.9,-13.1,False,True,,False,True
US,214373,202640.7,234704.6,198470.0,152533.0,181788.0,210644.7,-11153.3,20910.6,-15324.0,-61261.0,-32006.0,-3149.3,False,False,False,False,True
