,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Oregon,599,341.6,180.0,549.8,190.0,-257.4,-419.0,-49.2,-409.0,False,True,False
Pennsylvania,8324,12871.6,6899.4,7945.6,6524.0,4547.6,-1424.6,-378.4,-1800.0,True,True,True
Rhode Island,1130,1736.3,934.5,1037.5,942.0,706.3,-95.5,7.5,-88.0,True,True,True
South Carolina,3551,1474.6,1134.3,931.5,663.0,-2076.4,-2416.7,-2619.5,-2888.0,False,False,False
South Dakota,286,118.6,157.4,125.5,92.0,-167.4,-128.6,-160.5,-194.0,True,True,False
Tennessee,2758,1382.3,881.3,1485.4,1024.0,-1375.7,-1876.7,-1272.6,-1734.0,False,True,False
Texas,16943,4805.3,4424.2,9062.6,3004.0,-12012.7,-12393.8,-7755.4,-13814.0,False,True,False
Utah,510,263.9,879.3,3637.7,309.0,-246.1,369.3,3127.7,-201.0,False,False,True
Vermont,58,55.0,57.8,97.1,56.0,-3.0,-0.2,39.1,-2.0,True,False,True
Virginia,3351,2996.7,2306.7,2400.2,2000.0,-343.3,-1033.3,-939.8,-1340.0,False,False,False
Washington,2190,1853.4,1845.3,1540.0,1362.0,-336.6,-344.7,-650.0,-828.0,False,False,False
West Virginia,387,244.7,163.6,295.3,86.0,-142.3,-223.4,-91.7,-301.0,False,True,False
Wisconsin,1458,1629.1,1536.4,5634.8,1184.0,171.1,78.4,4176.8,-274.0,True,False,False
Wyoming,54,34.9,28.5,56.6,17.0,-19.1,-25.5,2.6,-37.0,False,True,False
US,214370,220031.9,150246.7,207079.2,137520.0,8639.9,-61145.3,-4312.8,-73872.0,False,True,False
