,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
North Dakota,336,224.0,353.0,251.1,159.0,,208.0,199.0,250.7,235.4,266.3,210.4,215.2,,261.5,248.0,,184.5,,238.6,,284.4,248.0,178.3,218.8,-112.0,17.0,-84.9,-177.0,,-128.0,-137.0,-85.3,-100.6,-69.7,-125.6,-120.8,,-74.5,-88.0,,-151.5,,-97.4,,-51.6,-88.0,-157.7,-117.2,True,True,False,,False,False,True,True,True,False,False,,True,True,,False,,True,,True,True,False,False
Ohio,4614,4890.4,5490.0,4961.1,4939.0,,5162.6,4993.0,5018.5,5327.0,4920.0,4679.9,5125.1,12449.5,4634.4,5178.0,,4661.1,,4574.4,,5577.9,5011.0,4688.0,4746.6,12.4,612.0,83.1,61.0,,284.6,115.0,140.5,449.0,42.0,-198.1,247.1,7571.5,-243.6,300.0,,-216.9,,-303.6,,699.9,133.0,-190.0,-131.4,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False
Oklahoma,1095,1115.3,1314.0,1178.8,1119.0,,1442.3,1171.0,1173.0,1338.6,1139.5,1058.4,1236.3,,1138.8,1216.0,,973.6,,1035.3,,1248.0,1165.0,987.5,1109.6,20.3,219.0,83.8,24.0,,347.3,76.0,78.0,243.6,44.5,-36.6,141.3,,43.8,121.0,,-121.4,,-59.7,,153.0,70.0,-107.5,14.6,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,False,True
Oregon,599,592.7,592.0,598.2,590.0,,690.9,575.0,602.8,824.4,609.9,573.2,662.9,,603.5,625.0,,518.7,,576.0,,617.1,599.0,555.5,590.4,-6.3,-7.0,-0.8,-9.0,,91.9,-24.0,3.8,225.4,10.9,-25.8,63.9,,4.5,26.0,,-80.3,,-23.0,,18.1,0.0,-43.5,-8.6,False,True,False,,False,False,True,False,False,False,False,,True,False,,False,,False,,False,True,False,False
Pennsylvania,8324,8196.9,8422.0,8159.1,7984.0,,8278.9,8042.0,8288.8,8789.0,8219.9,8114.5,8166.7,,8354.6,9661.0,,7886.4,,8083.3,,9302.3,8405.0,8007.5,8133.7,-127.1,98.0,-164.9,-340.0,,-45.1,-282.0,-35.2,465.0,-104.1,-209.5,-157.3,,30.6,1337.0,,-437.6,,-240.7,,978.3,81.0,-316.5,-190.3,True,False,False,,True,False,True,False,True,False,False,,True,False,,False,,False,,False,True,False,False
Rhode Island,1148,1098.7,1115.0,1117.1,1058.0,,1199.0,1090.0,1105.1,1154.3,1135.0,1065.3,1279.0,,1124.9,1321.0,,1137.2,,1090.9,,1182.2,1084.0,0.0,1099.2,-16.3,0.0,2.1,-57.0,,84.0,-25.0,-9.9,39.3,20.0,-49.7,164.0,,9.9,206.0,,22.2,,-24.1,,67.2,-31.0,-1115.0,-15.8,True,True,False,,False,False,True,False,False,False,False,,True,False,,False,,False,,False,False,False,True
South Carolina,3551,3751.6,5305.0,3796.4,3646.0,,3857.9,3491.0,3696.0,3509.6,3495.0,3488.8,3665.1,,3476.1,3491.0,,3186.6,,3588.9,,3615.6,4040.0,3334.5,3515.6,200.6,1754.0,245.4,95.0,,306.9,-60.0,145.0,-41.4,-56.0,-62.2,114.1,,-74.9,-60.0,,-364.4,,37.9,,64.6,489.0,-216.5,-35.4,False,False,True,,False,True,True,True,True,True,True,,True,True,,False,,True,,True,False,False,True
South Dakota,286,202.1,542.0,261.7,184.0,,207.8,225.0,290.9,216.7,269.1,201.4,277.7,,246.3,208.0,,185.1,,229.8,,278.4,255.0,195.0,222.6,-83.9,256.0,-24.3,-102.0,,-78.2,-61.0,4.9,-69.3,-16.9,-84.6,-8.3,,-39.7,-78.0,,-100.9,,-56.2,,-7.6,-31.0,-91.0,-63.4,False,True,False,,True,True,True,True,True,False,True,,True,True,,False,,True,,True,True,False,True
Tennessee,2758,2438.1,2827.0,2482.4,2418.0,,3061.5,2473.0,2485.2,2693.8,2414.9,2397.2,2790.8,,3052.1,2421.0,,2119.5,,2490.1,,2422.3,2403.0,2168.4,2425.7,-319.9,69.0,-275.6,-340.0,,303.5,-285.0,-272.8,-64.2,-343.1,-360.8,32.8,,294.1,-337.0,,-638.5,,-267.9,,-335.7,-355.0,-589.6,-332.3,True,True,False,,True,True,True,True,False,False,True,,True,False,,False,,True,,False,False,False,False
Texas,17208,18370.3,17032.0,16560.1,17754.0,,18424.2,17848.0,17088.3,17286.5,17339.2,15682.7,18991.8,,17596.1,17048.0,,16119.2,15973.0,17414.1,,16491.0,16903.0,15806.0,16878.4,1458.3,120.0,-351.9,842.0,,1512.2,936.0,176.3,374.5,427.2,-1229.3,2079.8,,684.1,136.0,,-792.8,-939.0,502.1,,-421.0,-9.0,-1106.0,-33.6,True,True,True,,False,True,True,True,True,True,False,,True,True,,True,True,True,,True,True,True,True
Utah,510,494.9,544.0,562.4,473.0,,608.7,553.0,512.4,603.0,538.2,490.4,512.4,,555.0,477.0,,456.3,,504.1,,514.1,490.0,395.3,514.0,-15.1,34.0,52.4,-37.0,,98.7,43.0,2.4,93.0,28.2,-19.6,2.4,,45.0,-33.0,,-53.7,,-5.9,,4.1,-20.0,-114.7,4.0,False,False,False,,False,False,True,False,False,False,True,,False,False,,False,,True,,True,False,False,True
Vermont,58,58.0,55.0,59.8,59.0,,58.5,58.0,59.3,71.3,59.8,58.6,62.7,,60.3,60.0,,58.0,,58.3,,64.9,58.0,58.0,62.3,0.0,-3.0,1.8,1.0,,0.5,0.0,1.3,13.3,1.8,0.6,4.7,,2.3,2.0,,0.0,,0.3,,6.9,0.0,0.0,4.3,False,False,False,,False,True,False,False,False,False,False,,False,False,,True,,False,,False,True,False,False
Virginia,3354,3207.4,3247.0,3283.4,2789.0,,3826.7,3048.0,3151.9,3405.2,3158.3,3034.3,3110.5,,2970.6,4080.0,,2870.8,,2982.7,,3437.6,2996.0,2939.6,3094.3,-146.6,-107.0,-70.6,-565.0,,472.7,-306.0,-202.1,51.2,-195.7,-319.7,-243.5,,-383.4,726.0,,-483.2,,-371.3,,83.6,-358.0,-414.4,-259.7,True,True,False,,False,False,False,True,False,False,False,,False,False,,False,,False,,True,False,False,False
Washington,2168,2186.1,2152.0,2109.2,2352.0,,2204.5,2172.0,2208.0,2445.6,2146.0,2121.6,2350.8,,2152.6,2461.0,,2088.7,,2223.1,,2333.8,2141.0,2126.5,2191.9,13.1,-21.0,-63.8,179.0,,31.5,-1.0,35.0,272.6,-27.0,-51.4,177.8,,-20.4,288.0,,-84.3,,50.1,,160.8,-32.0,-46.5,18.9,False,False,False,,False,True,False,False,False,False,False,,False,False,,False,,False,,False,False,False,False
West Virginia,387,419.0,,507.2,316.0,,480.5,311.0,438.2,468.5,409.9,390.8,465.7,,316.6,787.0,,304.3,,322.9,,381.3,558.0,303.9,383.5,32.0,,120.2,-71.0,,93.5,-76.0,51.2,81.5,22.9,3.8,78.7,,-70.4,400.0,,-82.7,,-64.1,,-5.7,171.0,-83.1,-3.5,,False,False,,False,False,False,False,True,True,False,,False,False,,False,,False,,True,False,False,True
Wisconsin,1568,1391.4,1532.0,1447.5,1456.0,,1458.4,1341.0,1360.8,1699.0,1370.3,1343.4,1375.7,3265.0,2547.6,1410.0,,1260.7,,1399.4,,1657.2,1398.0,1299.1,1390.7,-120.6,20.0,-64.5,-56.0,,-53.6,-171.0,-151.2,187.0,-141.7,-168.6,-136.3,1753.0,1035.6,-102.0,,-251.3,,-112.6,,145.2,-114.0,-212.9,-121.3,True,True,True,,True,False,False,False,False,False,False,False,False,True,,False,,True,,False,True,False,False
